measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Generation,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Total Fuel Consumed,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2017-02-01,-0.535,0.0,0.0,541.477,3142.0,8084.0,,,,,,,,,,105.234,970.0,970.0
2017-03-01,-0.684,0.0,0.0,448.417,2602.0,6694.0,,,,,,,,,,196.235,1808.0,1808.0
2017-04-01,-0.672,0.0,0.0,400.572,2324.0,5980.0,,,,,,,,,,206.748,1905.0,1905.0
2017-05-01,-0.661,0.0,0.0,496.947,2884.0,7418.0,,,,,,,,,,259.951,2395.0,2395.0
2017-06-01,-0.682,0.0,0.0,653.809,3794.0,9761.0,,,,,,,,,,281.711,2595.0,2595.0
2017-07-01,-0.664,0.0,0.0,891.58,5174.0,13311.0,,,,,,,,,,256.783,2366.0,2366.0
2017-08-01,-0.664,0.0,0.0,1006.47,5840.0,15026.0,,,,,,,,,,237.307,2186.0,2186.0
2017-09-01,-0.617,0.0,0.0,828.137,4805.0,12363.0,,,,,,,,,,221.594,2042.0,2042.0
2017-10-01,-0.497,0.0,0.0,784.301,4551.0,11709.0,,,,,,,,,,204.14,1881.0,1881.0
2017-11-01,-0.636,0.0,0.0,681.618,3955.0,10176.0,,,,,,,,,,125.445,1156.0,1156.0
2017-12-01,-0.688,0.0,0.0,722.624,4193.0,10788.0,,,,,,,,,,119.637,1102.0,1102.0
2018-01-01,-1.898,0.0,0.0,571.716,3318.0,8374.0,,,,,,,,,,114.453,1042.0,1042.0
2018-02-01,-1.475,0.0,0.0,501.98,2913.0,7353.0,,,,,,,,,,161.11,1467.0,1467.0
2018-03-01,-2.146,0.0,0.0,522.077,3029.0,7647.0,,,,,,,,,,184.219,1677.0,1677.0
2018-04-01,-2.457,0.0,0.0,392.907,2280.0,5755.0,,,,,,,,,,230.297,2097.0,2097.0
2018-05-01,-2.337,0.0,0.0,358.668,2081.0,5254.0,,,,,,,,,,277.595,2527.0,2527.0
2018-06-01,-2.296,0.0,0.0,490.643,2847.0,7187.0,,,,,,,,,,299.091,2723.0,2723.0
2018-07-01,-2.311,0.0,0.0,856.17,4968.0,12541.0,,,,,,,,,,258.525,2354.0,2354.0
2018-08-01,-2.371,0.0,0.0,792.033,4596.0,11601.0,,,,,,,,,,260.324,2370.0,2370.0
2018-09-01,-2.154,0.0,0.0,637.43,3699.0,9337.0,,,,,,,,,,246.434,2244.0,2244.0
2018-10-01,-2.222,0.0,0.0,712.501,4134.0,10437.0,,,,,,,,,,194.157,1768.0,1768.0
2018-11-01,-2.19,0.0,0.0,636.949,3696.0,9330.0,,,,,,,,,,133.55,1216.0,1216.0
2018-12-01,-2.143,0.0,0.0,641.726,3724.0,9400.0,,,,,,,,,,106.245,967.0,967.0
2019-01-01,-3.097,0.0,0.0,667.334,3834.0,8902.0,,,,,,,,,,119.018,1060.0,1060.0
2019-02-01,-2.492,0.0,0.0,618.76,3555.0,8254.0,,,,,,,,,,138.874,1237.0,1237.0
2019-03-01,-2.827,0.0,0.0,539.588,3100.0,7198.0,,,,,,,,,,210.951,1879.0,1879.0
2019-04-01,-2.634,0.0,0.0,378.628,2175.0,5051.0,,,,,,,,,,245.351,2185.0,2185.0
2019-05-01,-2.419,0.0,0.0,326.269,1874.0,4353.0,,,,,,,,,,255.45,2275.0,2275.0
2019-06-01,-2.854,0.0,0.0,436.28,2506.0,5820.0,,,,,,,,,,308.824,2750.0,2750.0
2019-07-01,-2.943,0.0,0.0,687.754,3951.0,9175.0,,,,,,,,,,304.77,2714.0,2714.0
2019-08-01,-3.213,0.0,0.0,807.849,4641.0,10777.0,,,,,,,,,,298.486,2658.0,2658.0
2019-09-01,-2.888,0.0,0.0,710.847,4084.0,9482.0,,,,,,,,,,244.099,2174.0,2174.0
2019-10-01,-3.136,0.0,0.0,728.061,4182.0,9712.0,,,,,,,,,,224.286,1997.0,1997.0
2019-11-01,-2.669,0.0,0.0,714.038,4102.0,9525.0,,,,,,,,,,143.439,1277.0,1277.0
2019-12-01,-2.828,0.0,0.0,740.592,4254.0,9879.0,,,,,,,,,,92.452,823.0,823.0
2020-01-01,-1.485,0.0,0.0,517.605,3003.0,7190.0,,,,,,,,,,126.052,1105.0,1105.0
2020-02-01,-1.147,0.0,0.0,457.095,2652.0,6349.0,,,,,,,,,,170.871,1498.0,1498.0
2020-03-01,-1.76,0.0,0.0,507.406,2943.0,7048.0,,,,,,,,,,167.208,1466.0,1466.0
2020-04-01,-1.561,0.0,0.0,358.837,2082.0,4985.0,,,,,,,,,,210.729,1847.0,1847.0
2020-05-01,-1.512,0.0,0.0,337.404,1957.0,4687.0,,,,,,,,,,275.791,2418.0,2418.0
2020-06-01,-1.343,0.0,0.0,474.63,2753.0,6593.0,,,,,,,,,,274.633,2408.0,2408.0
2020-07-01,-1.588,0.0,0.0,663.958,3852.0,9223.0,,,,,,,,,,310.202,2720.0,2720.0
2020-08-01,-1.583,0.0,0.0,825.678,4790.0,11469.0,,,,,,,,,,256.994,2253.0,2253.0
2020-09-01,-1.711,0.0,0.0,719.037,4171.0,9987.0,,,,,,,,,,201.791,1769.0,1769.0
2020-10-01,-1.827,0.0,0.0,746.737,4332.0,10373.0,,,,,,,,,,186.521,1635.0,1635.0
2020-11-01,-1.801,0.0,0.0,596.467,3460.0,8286.0,,,,,,,,,,147.458,1293.0,1293.0
2020-12-01,-1.682,0.0,0.0,661.146,3835.0,9184.0,,,,,,,,,,116.75,1024.0,1024.0
2021-01-01,-1.697,0.0,0.0,484.69,2756.0,6680.0,,,,,,,,,,119.2,1054.0,1054.0
2021-02-01,-1.811,0.0,0.0,411.033,2337.0,5666.0,,,,,,,,,,156.148,1381.0,1381.0
2021-03-01,-2.037,0.0,0.0,441.939,2513.0,6091.0,,,,,,,,,,201.615,1783.0,1783.0
2021-04-01,-1.978,0.0,0.0,392.148,2230.0,5405.0,,,,,,,,,,252.369,2232.0,2232.0
2021-05-01,-1.674,0.0,0.0,409.845,2331.0,5648.0,,,,,,,,,,275.077,2433.0,2433.0
2021-06-01,-1.932,0.0,0.0,560.44,3187.0,7725.0,,,,,,,,,,267.208,2363.0,2363.0
2021-07-01,-1.934,0.0,0.0,773.396,4398.0,10660.0,,,,,,,,,,255.934,2263.0,2263.0
2021-08-01,-1.94,0.0,0.0,706.136,4016.0,9733.0,,,,,,,,,,251.738,2226.0,2226.0
2021-09-01,-2.155,0.0,0.0,600.839,3417.0,8281.0,,,,,,,,,,217.063,1920.0,1920.0
2021-10-01,-1.862,0.0,0.0,572.784,3257.0,7894.0,,,,,,,,,,180.667,1598.0,1598.0
2021-11-01,-1.997,0.0,0.0,526.417,2994.0,7256.0,,,,,,,,,,143.755,1271.0,1271.0
2021-12-01,-1.983,0.0,0.0,543.333,3090.0,7489.0,,,,,,,,,,98.226,869.0,869.0
2022-01-01,-2.796,0.0,0.0,482.3,3010.0,7321.0,,,,,,,,,,128.318,438.0,438.0
2022-02-01,-2.936,0.0,0.0,400.436,2499.0,6078.0,,,,,,,,,,153.056,522.0,522.0
2022-03-01,-2.718,0.0,0.0,370.51,2313.0,5623.0,,,,,,,,,,202.92,692.0,692.0
2022-04-01,-2.846,0.0,0.0,379.526,2369.0,5760.0,,,,,,,,,,228.901,781.0,781.0
2022-05-01,-3.016,0.0,0.0,348.279,2174.0,5286.0,,,,,,,,,,268.279,915.0,915.0
2022-06-01,-3.047,0.0,0.0,473.683,2957.0,7189.0,,,,,,,,,,279.345,953.0,953.0
2022-07-01,-3.165,0.0,0.0,632.793,3950.0,9604.0,,,,,,,,,,269.425,919.0,919.0
2022-08-01,-3.252,0.0,0.0,763.549,4766.0,11589.0,,,,,,,,,,250.159,854.0,854.0
2022-09-01,-2.916,0.0,0.0,699.791,4368.0,10621.0,,,,,,,,,,211.113,720.0,720.0
2022-10-01,-3.254,0.0,0.0,642.65,4011.0,9754.0,,,,,,,,,,194.496,664.0,664.0
2022-11-01,-3.012,0.0,0.0,590.164,3684.0,8957.0,,,,,,,,,,144.186,492.0,492.0
2022-12-01,-3.042,0.0,0.0,652.319,4071.0,9900.0,,,,,,,,,,100.802,344.0,344.0
2023-01-01,-1.0,0.0,0.0,638.341,3748.0,8800.0,,,,,,,,,,85.0,290.0,290.0
2023-02-01,-1.0,0.0,0.0,543.742,3193.0,7496.0,,,,,,,,,,129.0,440.0,440.0
2023-03-01,0.0,0.0,0.0,522.606,3069.0,7204.0,,,,,,,,,,160.0,546.0,546.0
2023-04-01,0.0,0.0,0.0,408.265,2397.0,5629.0,,,,,,,,,,279.0,952.0,952.0
2023-05-01,-1.0,0.0,0.0,264.431,1553.0,3645.0,,,,,,,,,,300.0,1024.0,1024.0
2023-06-01,-2.0,0.0,0.0,347.868,2043.0,4796.0,,,,,,,,,,301.0,1027.0,1027.0
2023-07-01,-4.0,0.0,0.0,805.248,4728.0,11100.0,,,,,,,,,,315.0,1075.0,1075.0
2023-08-01,-3.0,0.0,0.0,812.511,4771.0,11201.0,,,,,,,,,,228.0,778.0,778.0
2023-09-01,-4.0,0.0,0.0,575.118,3377.0,7928.0,,,,,,,,,,201.0,686.0,686.0
2023-10-01,-3.0,0.0,0.0,702.325,4124.0,9682.0,,,,,,,,,,141.0,481.0,481.0
2023-11-01,-4.0,0.0,0.0,659.756,3874.0,9095.0,,,,,,,,,,98.0,334.0,334.0
2023-12-01,-3.0,0.0,0.0,742.789,4362.0,10240.0,,,,,,,,,,59.0,201.0,201.0
2024-01-01,0.0,0.0,0.0,843.878,5032.0,11912.0,,,,,,,13.115,78.0,186.0,48.0,164.0,164.0
2024-02-01,-1.0,0.0,0.0,572.418,3413.0,8081.0,,,,,,,11.414,68.0,161.0,87.0,297.0,297.0
2024-03-01,-2.0,0.0,0.0,409.72,2443.0,5783.0,,,,,,,13.689,82.0,193.0,151.0,515.0,515.0
2024-04-01,0.0,0.0,0.0,348.778,2080.0,4924.0,,,,,,,11.217,67.0,158.0,206.0,703.0,703.0
2024-05-01,-1.0,0.0,0.0,313.817,1871.0,4430.0,,,,,,,13.241,79.0,187.0,298.0,1017.0,1017.0
2024-06-01,-2.0,0.0,0.0,482.798,2879.0,6816.0,,,,,,,12.355,74.0,174.0,297.0,1013.0,1013.0
2024-07-01,-1.0,0.0,0.0,927.555,5531.0,13094.0,,,,,,,12.806,76.0,181.0,256.0,873.0,873.0
2024-08-01,-1.0,0.0,0.0,805.68,4805.0,11374.0,,,,,,,12.941,77.0,183.0,249.0,850.0,850.0
2024-09-01,0.0,0.0,0.0,709.654,4232.0,10018.0,,,,,,,12.409,74.0,175.0,204.0,696.0,696.0
2024-10-01,-1.0,0.0,0.0,743.503,4434.0,10496.0,,,,,,,12.008,72.0,170.0,151.0,515.0,515.0
2024-11-01,-1.0,0.0,0.0,598.716,3570.0,8452.0,,,,,,,12.807,76.0,181.0,87.0,297.0,297.0
2024-12-01,-1.0,0.0,0.0,657.084,3918.0,9276.0,,,,,,,13.397,80.0,189.0,56.0,191.0,191.0
