measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed,"Wind-Wind Turbine, Onshore Generation","Wind-Wind Turbine, Onshore Quantity Consumed For Electricity","Wind-Wind Turbine, Onshore Total Fuel Consumed"
2011-12-01,5.004,61.0,61.0,1.426,18.0,18.0,,,,446.08,4334.0,4334.0
2012-01-01,3.216,37.0,37.0,2.573,29.0,29.0,,,,519.91,4947.0,4947.0
2012-02-01,5.018,55.0,55.0,2.556,28.0,28.0,,,,398.446,3792.0,3792.0
2012-03-01,2.495,24.0,24.0,2.997,33.0,33.0,,,,476.653,4536.0,4536.0
2012-04-01,10.106,110.0,110.0,1.873,20.0,20.0,,,,451.466,4296.0,4296.0
2012-05-01,9.937,110.0,110.0,6.293,69.0,69.0,,,,458.676,4365.0,4365.0
2012-06-01,12.191,134.0,134.0,12.301,134.0,134.0,,,,370.401,3525.0,3525.0
2012-07-01,5.462,61.0,61.0,28.413,311.0,311.0,,,,224.383,2135.0,2135.0
2012-08-01,2.18,24.0,24.0,9.872,108.0,108.0,,,,245.27,2334.0,2334.0
2012-09-01,3.136,37.0,37.0,5.101,56.0,56.0,,,,306.138,2913.0,2913.0
2012-10-01,7.322,79.0,79.0,3.06,33.0,33.0,,,,475.35,4523.0,4523.0
2012-11-01,5.783,61.0,61.0,4.924,54.0,54.0,,,,485.07,4616.0,4616.0
2012-12-01,6.671,73.0,73.0,5.52,61.0,61.0,,,,465.237,4427.0,4427.0
2013-01-01,2.588,30.0,30.0,4.222,52.0,52.0,,,,506.207,4830.0,4830.0
2013-02-01,2.047,24.0,24.0,5.655,68.0,68.0,,,,420.437,4011.0,4011.0
2013-03-01,3.775,48.0,48.0,4.833,58.0,58.0,,,,430.484,4107.0,4107.0
2013-04-01,6.238,78.0,78.0,2.346,29.0,29.0,,,,445.355,4249.0,4249.0
2013-05-01,3.278,42.0,42.0,5.198,63.0,63.0,,,,437.914,4178.0,4178.0
2013-06-01,3.388,42.0,42.0,5.011,61.0,61.0,,,,331.892,3167.0,3167.0
2013-07-01,3.017,36.0,36.0,14.421,175.0,175.0,,,,265.433,2532.0,2532.0
2013-08-01,3.165,36.0,36.0,12.449,151.0,151.0,,,,204.722,1953.0,1953.0
2013-09-01,2.443,30.0,30.0,9.518,116.0,116.0,,,,352.801,3366.0,3366.0
2013-10-01,2.42,30.0,30.0,2.73,33.0,33.0,,,,403.835,3853.0,3853.0
2013-11-01,2.619,30.0,30.0,5.806,70.0,70.0,,,,530.966,5066.0,5066.0
2013-12-01,8.113,96.0,96.0,7.72,94.0,94.0,,,,388.954,3711.0,3711.0
2014-01-01,-5.816,46.0,46.0,-5.366,34.0,34.0,,,,587.032,5583.0,5583.0
2014-02-01,-6.199,41.0,41.0,-2.663,17.0,17.0,,,,421.832,4012.0,4012.0
2014-03-01,-5.018,35.0,35.0,-1.339,9.0,9.0,,,,550.683,5237.0,5237.0
2014-04-01,-1.952,12.0,12.0,-3.374,22.0,22.0,,,,557.614,5303.0,5303.0
2014-05-01,-7.937,52.0,52.0,-10.926,72.0,72.0,,,,402.537,3828.0,3828.0
2014-06-01,-4.698,29.0,29.0,-9.406,62.0,62.0,,,,328.465,3124.0,3124.0
2014-07-01,-1.064,6.0,6.0,-6.544,43.0,43.0,,,,292.809,2785.0,2785.0
2014-08-01,-2.248,17.0,17.0,-13.424,88.0,88.0,,,,174.092,1656.0,1656.0
2014-09-01,-2.156,12.0,12.0,-6.125,40.0,40.0,,,,311.425,2962.0,2962.0
2014-10-01,-3.058,17.0,17.0,-8.639,57.0,57.0,,,,472.199,4491.0,4491.0
2014-11-01,-6.44,41.0,41.0,-6.29,41.0,41.0,,,,633.167,6021.0,6021.0
2014-12-01,-1.222,6.0,6.0,-9.096,60.0,60.0,,,,459.145,4366.0,4366.0
2015-01-01,-3.083,29.0,29.0,-4.879,41.0,41.0,,,,512.306,4774.0,4774.0
2015-02-01,-1.485,12.0,12.0,-5.257,44.0,44.0,,,,444.449,4142.0,4142.0
2015-03-01,-3.778,29.0,29.0,-5.235,44.0,44.0,,,,463.908,4323.0,4323.0
2015-04-01,-2.326,17.0,17.0,-2.876,24.0,24.0,,,,450.141,4195.0,4195.0
2015-05-01,-6.604,58.0,58.0,-3.478,29.0,29.0,,,,451.757,4210.0,4210.0
2015-06-01,-3.723,29.0,29.0,-6.443,54.0,54.0,,,,254.852,2375.0,2375.0
2015-07-01,-5.573,46.0,46.0,-10.629,89.0,89.0,,,,222.048,2069.0,2069.0
2015-08-01,-2.093,17.0,17.0,-8.171,68.0,68.0,,,,282.795,2635.0,2635.0
2015-09-01,-2.468,23.0,23.0,-5.829,48.0,48.0,,,,374.509,3490.0,3490.0
2015-10-01,-2.567,23.0,23.0,-3.5,30.0,30.0,,,,476.554,4441.0,4441.0
2015-11-01,-2.166,17.0,17.0,-2.16,18.0,18.0,,,,574.092,5350.0,5350.0
2015-12-01,-10.668,87.0,87.0,-7.009,58.0,58.0,,,,515.589,4805.0,4805.0
2016-01-01,-21.203,122.0,122.0,-92.741,475.0,475.0,,,,398.242,3677.0,3677.0
2016-02-01,-15.065,75.0,75.0,-82.21,420.0,420.0,,,,434.18,4008.0,4008.0
2016-03-01,-8.337,41.0,41.0,-79.58,407.0,407.0,,,,425.393,3927.0,3927.0
2016-04-01,-9.083,46.0,46.0,-36.667,187.0,187.0,,,,536.089,4949.0,4949.0
2016-05-01,-19.785,99.0,99.0,-127.493,651.0,651.0,,,,306.059,2826.0,2826.0
2016-06-01,-8.092,41.0,41.0,-113.318,579.0,579.0,,,,299.697,2767.0,2767.0
2016-07-01,-7.346,35.0,35.0,-147.775,755.0,755.0,,,,226.384,2090.0,2090.0
2016-08-01,-9.208,46.0,46.0,-168.825,862.0,862.0,,,,182.179,1682.0,1682.0
2016-09-01,-11.909,58.0,58.0,-68.35,349.0,349.0,,,,356.384,3290.0,3290.0
2016-10-01,-14.704,75.0,75.0,-57.692,295.0,295.0,,,,411.332,3797.0,3797.0
2016-11-01,-7.322,35.0,35.0,-46.061,235.0,235.0,0.0,0.0,0.0,469.852,4338.0,4338.0
2016-12-01,-22.336,116.0,116.0,-48.898,250.0,250.0,0.0,0.0,0.0,554.209,5116.0,5116.0
2017-01-01,-80.576,75.0,75.0,-18.208,17.0,17.0,37.974,350.0,350.0,302.473,2787.0,2787.0
2017-02-01,-16.68,17.0,17.0,-14.814,14.0,14.0,67.19,619.0,619.0,379.83,3499.0,3499.0
2017-03-01,-36.341,35.0,35.0,-24.727,24.0,24.0,90.362,833.0,833.0,423.839,3905.0,3905.0
2017-04-01,-42.453,41.0,41.0,-36.937,35.0,35.0,89.073,821.0,821.0,364.684,3360.0,3360.0
2017-05-01,-76.936,75.0,75.0,-34.45,33.0,33.0,117.121,1079.0,1079.0,326.956,3012.0,3012.0
2017-06-01,-35.059,35.0,35.0,-43.99,43.0,43.0,137.904,1271.0,1271.0,271.178,2498.0,2498.0
2017-07-01,-29.311,29.0,29.0,-88.91,86.0,86.0,150.498,1387.0,1387.0,151.828,1399.0,1399.0
2017-08-01,-21.97,23.0,23.0,-89.0,86.0,86.0,109.01,1004.0,1004.0,142.209,1310.0,1310.0
2017-09-01,-24.155,23.0,23.0,-87.39,85.0,85.0,98.531,908.0,908.0,250.338,2306.0,2306.0
2017-10-01,-39.136,35.0,35.0,-61.455,59.0,59.0,71.753,661.0,661.0,389.244,3586.0,3586.0
2017-11-01,-64.585,64.0,64.0,-74.071,72.0,72.0,42.979,396.0,396.0,363.118,3345.0,3345.0
2017-12-01,-68.714,64.0,64.0,-86.132,83.0,83.0,32.605,300.0,300.0,358.303,3301.0,3301.0
2018-01-01,-4.578,23.0,23.0,-4.553,30.0,30.0,49.685,452.0,452.0,493.181,4490.0,4490.0
2018-02-01,-4.837,35.0,35.0,-4.531,31.0,31.0,59.365,540.0,540.0,340.259,3098.0,3098.0
2018-03-01,-7.427,52.0,52.0,-6.02,41.0,41.0,98.203,894.0,894.0,427.864,3895.0,3895.0
2018-04-01,-4.12,29.0,29.0,-7.906,54.0,54.0,118.684,1080.0,1080.0,421.388,3836.0,3836.0
2018-05-01,-3.91,29.0,29.0,-9.291,63.0,63.0,124.651,1135.0,1135.0,302.515,2754.0,2754.0
2018-06-01,-3.64,23.0,23.0,-8.354,56.0,56.0,114.217,1040.0,1040.0,340.54,3100.0,3100.0
2018-07-01,-1.988,12.0,12.0,-11.007,75.0,75.0,139.205,1267.0,1267.0,203.202,1850.0,1850.0
2018-08-01,-2.427,17.0,17.0,-5.116,34.0,34.0,108.161,985.0,985.0,244.466,2226.0,2226.0
2018-09-01,-5.126,35.0,35.0,-8.774,59.0,59.0,89.014,810.0,810.0,334.847,3048.0,3048.0
2018-10-01,-3.274,23.0,23.0,-5.838,40.0,40.0,65.226,594.0,594.0,335.334,3053.0,3053.0
2018-11-01,-3.064,23.0,23.0,-3.723,25.0,25.0,36.232,330.0,330.0,378.723,3448.0,3448.0
2018-12-01,-2.835,17.0,17.0,-5.661,39.0,39.0,27.357,249.0,249.0,393.681,3584.0,3584.0
2019-01-01,-0.291,87.0,87.0,-0.311,81.0,81.0,38.94,347.0,347.0,380.137,3385.0,3385.0
2019-02-01,-0.27,70.0,70.0,-0.289,77.0,77.0,24.527,218.0,218.0,298.681,2660.0,2660.0
2019-03-01,-0.39,104.0,104.0,-0.318,85.0,85.0,71.104,633.0,633.0,434.497,3869.0,3869.0
2019-04-01,-0.227,58.0,58.0,-0.244,65.0,65.0,87.58,780.0,780.0,459.893,4095.0,4095.0
2019-05-01,-0.4,104.0,104.0,-0.281,75.0,75.0,109.345,974.0,974.0,330.783,2946.0,2946.0
2019-06-01,-0.342,93.0,93.0,-0.374,99.0,99.0,125.074,1114.0,1114.0,262.944,2342.0,2342.0
2019-07-01,-0.204,52.0,52.0,-0.566,151.0,151.0,123.76,1102.0,1102.0,261.36,2327.0,2327.0
2019-08-01,-0.269,70.0,70.0,-0.58,154.0,154.0,116.951,1041.0,1041.0,187.493,1670.0,1670.0
2019-09-01,-0.309,81.0,81.0,-0.421,112.0,112.0,77.962,694.0,694.0,357.822,3186.0,3186.0
2019-10-01,-0.327,87.0,87.0,-0.313,84.0,84.0,58.837,524.0,524.0,427.979,3811.0,3811.0
2019-11-01,-0.287,75.0,75.0,-0.293,78.0,78.0,35.816,319.0,319.0,442.737,3943.0,3943.0
2019-12-01,-0.306,81.0,81.0,-0.388,103.0,103.0,31.104,277.0,277.0,431.674,3844.0,3844.0
2020-01-01,-1.154,46.0,46.0,-1.434,65.0,65.0,32.245,283.0,283.0,319.065,2797.0,2797.0
2020-02-01,-1.2,58.0,58.0,-1.705,79.0,79.0,67.875,595.0,595.0,384.933,3375.0,3375.0
2020-03-01,-1.026,46.0,46.0,-0.716,33.0,33.0,81.797,717.0,717.0,384.13,3368.0,3368.0
2020-04-01,-1.163,52.0,52.0,-0.894,42.0,42.0,107.194,940.0,940.0,382.283,3351.0,3351.0
2020-05-01,-1.341,64.0,64.0,-1.329,62.0,62.0,109.872,963.0,963.0,338.138,2964.0,2964.0
2020-06-01,-1.616,75.0,75.0,-1.481,68.0,68.0,121.54,1066.0,1066.0,396.635,3477.0,3477.0
2020-07-01,-0.824,41.0,41.0,-2.426,112.0,112.0,117.334,1029.0,1029.0,217.282,1905.0,1905.0
2020-08-01,-1.337,64.0,64.0,-1.367,63.0,63.0,116.501,1021.0,1021.0,293.643,2574.0,2574.0
2020-09-01,-1.024,46.0,46.0,-1.064,50.0,50.0,83.899,736.0,736.0,378.276,3316.0,3316.0
2020-10-01,-1.277,58.0,58.0,-1.106,52.0,52.0,62.964,552.0,552.0,422.41,3703.0,3703.0
2020-11-01,-1.715,81.0,81.0,-0.896,42.0,42.0,49.522,434.0,434.0,483.311,4237.0,4237.0
2020-12-01,-1.368,64.0,64.0,-1.537,72.0,72.0,33.257,292.0,292.0,372.894,3269.0,3269.0
2021-01-01,-0.396,35.0,35.0,-3.749,372.0,372.0,40.11,355.0,355.0,363.255,3213.0,3213.0
2021-02-01,-0.656,64.0,64.0,-1.458,144.0,144.0,59.988,531.0,531.0,309.528,2737.0,2737.0
2021-03-01,-0.507,52.0,52.0,-3.004,297.0,297.0,95.058,841.0,841.0,443.179,3919.0,3919.0
2021-04-01,-0.396,41.0,41.0,-3.115,308.0,308.0,97.477,862.0,862.0,426.098,3768.0,3768.0
2021-05-01,-0.389,41.0,41.0,-2.004,198.0,198.0,110.635,978.0,978.0,383.07,3388.0,3388.0
2021-06-01,-0.449,46.0,46.0,-7.357,727.0,727.0,139.293,1232.0,1232.0,260.9,2307.0,2307.0
2021-07-01,-0.161,17.0,17.0,-8.776,868.0,868.0,130.234,1152.0,1152.0,182.061,1610.0,1610.0
2021-08-01,-0.25,23.0,23.0,-7.785,770.0,770.0,125.475,1110.0,1110.0,251.557,2225.0,2225.0
2021-09-01,-0.348,35.0,35.0,-5.151,509.0,509.0,107.114,947.0,947.0,316.327,2798.0,2798.0
2021-10-01,-0.438,41.0,41.0,-6.034,597.0,597.0,66.008,584.0,584.0,354.905,3139.0,3139.0
2021-11-01,-0.421,41.0,41.0,-5.544,548.0,548.0,50.02,442.0,442.0,473.852,4191.0,4191.0
2021-12-01,-0.632,64.0,64.0,-5.98,592.0,592.0,37.588,332.0,332.0,441.268,3903.0,3903.0
2022-01-01,-0.935,64.0,64.0,-5.488,345.0,345.0,44.144,151.0,151.0,446.878,1525.0,1525.0
2022-02-01,-0.379,23.0,23.0,-4.599,289.0,289.0,62.173,212.0,212.0,418.802,1429.0,1429.0
2022-03-01,-0.228,12.0,12.0,-3.963,250.0,250.0,84.919,290.0,290.0,459.124,1567.0,1567.0
2022-04-01,-0.29,17.0,17.0,-1.845,117.0,117.0,77.654,265.0,265.0,480.028,1638.0,1638.0
2022-05-01,-0.819,52.0,52.0,-5.371,338.0,338.0,104.116,355.0,355.0,384.136,1311.0,1311.0
2022-06-01,-0.744,46.0,46.0,-8.011,504.0,504.0,133.037,454.0,454.0,297.794,1016.0,1016.0
2022-07-01,-0.657,41.0,41.0,-9.94,626.0,626.0,127.235,434.0,434.0,217.103,741.0,741.0
2022-08-01,-0.468,29.0,29.0,-9.852,620.0,620.0,118.723,405.0,405.0,205.256,700.0,700.0
2022-09-01,-0.232,17.0,17.0,-7.228,454.0,454.0,105.982,362.0,362.0,300.514,1025.0,1025.0
2022-10-01,-0.537,35.0,35.0,-4.864,306.0,306.0,81.861,279.0,279.0,354.47,1209.0,1209.0
2022-11-01,-0.384,23.0,23.0,-4.021,253.0,253.0,45.582,156.0,156.0,487.726,1664.0,1664.0
2022-12-01,-0.41,23.0,23.0,-5.735,361.0,361.0,26.574,91.0,91.0,419.169,1430.0,1430.0
2023-01-01,-0.861,35.0,35.0,-8.847,355.0,355.0,21.0,72.0,72.0,119.0,406.0,406.0
2023-02-01,-0.855,35.0,35.0,-5.842,234.0,234.0,51.0,174.0,174.0,406.0,1385.0,1385.0
2023-03-01,-0.799,35.0,35.0,-8.307,333.0,333.0,92.0,314.0,314.0,-6.0,0.0,0.0
2023-04-01,-0.644,23.0,23.0,-2.547,102.0,102.0,112.0,382.0,382.0,60.0,205.0,205.0
2023-05-01,-0.607,23.0,23.0,-9.271,372.0,372.0,128.0,437.0,437.0,377.0,1286.0,1286.0
2023-06-01,-0.493,17.0,17.0,-10.958,439.0,439.0,120.0,409.0,409.0,192.0,655.0,655.0
2023-07-01,-0.504,17.0,17.0,-12.559,504.0,504.0,127.0,433.0,433.0,165.0,563.0,563.0
2023-08-01,-0.406,17.0,17.0,-11.481,461.0,461.0,123.0,420.0,420.0,27.0,92.0,92.0
2023-09-01,-0.685,29.0,29.0,-9.257,371.0,371.0,89.0,304.0,304.0,256.0,873.0,873.0
2023-10-01,-0.518,23.0,23.0,-5.891,237.0,237.0,75.0,256.0,256.0,421.0,1436.0,1436.0
2023-11-01,-0.632,23.0,23.0,-5.88,235.0,235.0,58.0,198.0,198.0,465.0,1587.0,1587.0
2023-12-01,-0.806,35.0,35.0,-8.35,334.0,334.0,28.0,96.0,96.0,389.0,1327.0,1327.0
2024-01-01,-1.616,64.0,64.0,-8.437,362.0,362.0,19.0,65.0,65.0,275.0,938.0,938.0
2024-02-01,-1.036,46.0,46.0,-7.677,328.0,328.0,87.0,297.0,297.0,452.0,1542.0,1542.0
2024-03-01,-0.823,35.0,35.0,-4.798,205.0,205.0,105.0,358.0,358.0,548.0,1870.0,1870.0
2024-04-01,-0.661,29.0,29.0,-3.049,130.0,130.0,99.0,338.0,338.0,599.0,2044.0,2044.0
2024-05-01,-0.804,35.0,35.0,-9.081,388.0,388.0,117.0,399.0,399.0,379.0,1293.0,1293.0
2024-06-01,-0.554,23.0,23.0,-9.201,394.0,394.0,111.0,379.0,379.0,341.0,1163.0,1163.0
2024-07-01,-0.546,23.0,23.0,-13.009,556.0,556.0,117.0,399.0,399.0,173.0,590.0,590.0
2024-08-01,-0.662,29.0,29.0,-13.177,563.0,563.0,124.0,423.0,423.0,227.0,775.0,775.0
2024-09-01,-0.496,23.0,23.0,-9.197,393.0,393.0,116.0,396.0,396.0,284.0,969.0,969.0
2024-10-01,-0.751,35.0,35.0,-5.175,221.0,221.0,99.0,338.0,338.0,530.0,1808.0,1808.0
2024-11-01,-0.73,29.0,29.0,-5.97,255.0,255.0,48.0,164.0,164.0,435.0,1484.0,1484.0
