measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2005-03-01,0.06,1.04,1.04,0.06,1.04,1.04,107.007,1000.56,1000.56,754.878,6292.65,6292.65,171.699,6292.65,6292.65,,,
2005-04-01,0.063,1.09,1.09,0.063,1.09,1.09,111.504,1042.6,1042.6,743.788,6200.2,6200.2,169.17700000000002,6200.2,6200.2,,,
2005-05-01,0.07400000000000001,1.28,1.28,0.07400000000000001,1.28,1.28,131.388,1228.53,1228.53,876.806,7309.03,7309.03,199.43200000000002,7309.03,7309.03,,,
2005-06-01,0.067,1.16,1.16,0.067,1.16,1.16,118.95700000000001,1112.3,1112.3,1106.553,9224.2,9224.2,251.68900000000002,9224.2,9224.2,,,
2005-07-01,0.10700000000000001,1.86,1.86,0.10700000000000001,1.86,1.86,190.482,1781.08,1781.08,1386.842,11560.68,11560.68,315.44100000000003,11560.68,11560.68,,,
2005-08-01,0.11800000000000001,2.06,2.06,0.11800000000000001,2.06,2.06,210.79600000000002,1971.03,1971.03,1436.6180000000002,11975.62,11975.62,326.76300000000003,11975.62,11975.62,,,
2005-09-01,0.117,2.04,2.04,0.117,2.04,2.04,209.334,1957.35,1957.35,1093.1760000000002,9112.69,9112.69,248.64600000000002,9112.69,9112.69,,,
2005-10-01,0.07,1.22,1.22,0.07,1.22,1.22,124.909,1167.95,1167.95,873.3140000000001,7279.93,7279.93,198.638,7279.93,7279.93,,,
2005-11-01,0.056,0.97,0.97,0.056,0.97,0.97,0.0,0.0,0.0,745.082,6210.99,6210.99,169.471,6210.99,6210.99,,,
2005-12-01,0.12200000000000001,2.12,2.12,0.12200000000000001,2.12,2.12,0.0,0.0,0.0,727.123,6061.29,6061.29,165.386,6061.29,6061.29,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,792.254,13504.0,13504.0,178.919,0.0,0.0,,,
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,939.937,16021.0,16021.0,212.27100000000002,0.0,0.0,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1072.084,18273.0,18273.0,242.115,0.0,0.0,,,
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1199.15,20439.0,20439.0,270.81100000000004,0.0,0.0,,,
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1388.915,23673.0,23673.0,313.666,0.0,0.0,,,
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1769.855,30166.0,30166.0,399.696,0.0,0.0,,,
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2225.094,37926.0,37926.0,502.505,0.0,0.0,,,
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,2253.155,38404.0,38404.0,508.84200000000004,0.0,0.0,,,
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1533.0520000000001,26130.0,26130.0,346.218,0.0,0.0,,,
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1388.0430000000001,23659.0,23659.0,313.469,0.0,0.0,,,
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1030.838,17570.0,17570.0,232.8,0.0,0.0,,,
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1074.622,18316.0,18316.0,242.68800000000002,0.0,0.0,,,
2007-01-01,0.0,0.0,0.0,,,,,,,1395.476,20998.0,20998.0,388.61400000000003,0.0,0.0,,,
2007-02-01,0.0,0.0,0.0,,,,,,,1406.47,21163.0,21163.0,364.254,0.0,0.0,,,
2007-03-01,0.0,0.0,0.0,,,,,,,1401.351,21086.0,21086.0,365.144,0.0,0.0,,,
2007-04-01,0.0,0.0,0.0,,,,,,,1858.1090000000002,27959.0,27959.0,380.57,0.0,0.0,,,
2007-05-01,0.0,0.0,0.0,,,,,,,1992.385,29980.0,29980.0,429.283,0.0,0.0,,,
2007-06-01,0.0,0.0,0.0,,,,,,,2041.393,30716.0,30716.0,457.192,0.0,0.0,,,
2007-07-01,0.0,0.0,0.0,,,,,,,2260.221,34010.0,34010.0,487.389,0.0,0.0,,,
2007-08-01,0.0,0.0,0.0,,,,,,,2427.7490000000003,36531.0,36531.0,524.7620000000001,0.0,0.0,,,
2007-09-01,0.0,0.0,0.0,,,,,,,2253.743,33913.0,33913.0,468.947,0.0,0.0,,,
2007-10-01,0.0,0.0,0.0,,,,,,,2222.406,33441.0,33441.0,444.78,0.0,0.0,,,
2007-11-01,0.0,0.0,0.0,,,,,,,1785.401,26865.0,26865.0,362.46700000000004,0.0,0.0,,,
2007-12-01,0.0,0.0,0.0,,,,,,,1730.294,26035.0,26035.0,387.59700000000004,0.0,0.0,,,
2008-01-01,0.0,0.0,0.0,,,,,,,218.769,4322.0,4322.0,7.11,0.0,0.0,,,
2008-02-01,0.0,0.0,0.0,,,,,,,203.473,4021.0,4021.0,6.614,0.0,0.0,,,
2008-03-01,0.0,0.0,0.0,,,,,,,241.51,4772.0,4772.0,7.8500000000000005,0.0,0.0,,,
2008-04-01,0.0,0.0,0.0,,,,,,,262.483,5187.0,5187.0,8.532,0.0,0.0,,,
2008-05-01,0.0,0.0,0.0,,,,,,,298.62600000000003,5901.0,5901.0,9.707,0.0,0.0,,,
2008-06-01,0.0,0.0,0.0,,,,,,,325.011,6422.0,6422.0,10.565000000000001,0.0,0.0,,,
2008-07-01,0.0,0.0,0.0,,,,,,,319.051,6304.0,6304.0,10.371,0.0,0.0,,,
2008-08-01,0.0,0.0,0.0,,,,,,,358.28200000000004,7080.0,7080.0,11.646,0.0,0.0,,,
2008-09-01,0.0,0.0,0.0,,,,,,,324.183,6406.0,6406.0,10.538,0.0,0.0,,,
2008-10-01,0.0,0.0,0.0,,,,,,,280.925,5551.0,5551.0,9.132,0.0,0.0,,,
2008-11-01,0.0,0.0,0.0,,,,,,,224.413,4435.0,4435.0,7.295,0.0,0.0,,,
2008-12-01,0.0,0.0,0.0,,,,,,,204.274,4036.0,4036.0,6.640000000000001,0.0,0.0,,,
2009-01-01,,,,,,,,,,349.014,6446.0,6446.0,53.258,0.0,0.0,,,
2009-02-01,,,,,,,,,,335.395,6194.0,6194.0,51.179,0.0,0.0,,,
2009-03-01,,,,,,,,,,388.668,7178.0,7178.0,59.308,0.0,0.0,,,
2009-04-01,,,,,,,,,,420.78,7771.0,7771.0,64.209,0.0,0.0,,,
2009-05-01,,,,,,,,,,495.91900000000004,9158.0,9158.0,75.674,0.0,0.0,,,
2009-06-01,,,,,,,,,,551.27,10181.0,10181.0,84.12,0.0,0.0,,,
2009-07-01,,,,,,,,,,564.669,10428.0,10428.0,86.165,0.0,0.0,,,
2009-08-01,,,,,,,,,,578.802,10689.0,10689.0,88.322,0.0,0.0,,,
2009-09-01,,,,,,,,,,581.634,10741.0,10741.0,88.754,0.0,0.0,,,
2009-10-01,,,,,,,,,,523.83,9674.0,9674.0,79.933,0.0,0.0,,,
2009-11-01,,,,,,,,,,430.425,7948.0,7948.0,65.68,0.0,0.0,,,
2009-12-01,,,,,,,,,,369.594,6826.0,6826.0,56.398,0.0,0.0,,,
2010-01-01,,,,,,,,,,940.4340000000001,14322.0,14322.0,0.0,0.0,0.0,,,
2010-02-01,,,,,,,,,,850.0590000000001,12945.0,12945.0,0.0,0.0,0.0,,,
2010-03-01,,,,,,,,,,943.2130000000001,14362.0,14362.0,0.0,0.0,0.0,,,
2010-04-01,,,,,,,,,,976.104,14864.0,14864.0,0.0,0.0,0.0,,,
2010-05-01,,,,,,,,,,1210.432,18432.0,18432.0,0.0,0.0,0.0,,,
2010-06-01,,,,,,,,,,1346.136,20498.0,20498.0,0.0,0.0,0.0,,,
2010-07-01,,,,,,,,,,1320.132,20102.0,20102.0,0.0,0.0,0.0,,,
2010-08-01,,,,,,,,,,1354.078,20619.0,20619.0,0.0,0.0,0.0,,,
2010-09-01,,,,,,,,,,1328.329,20227.0,20227.0,0.0,0.0,0.0,,,
2010-10-01,,,,,,,,,,1120.507,17062.0,17062.0,0.0,0.0,0.0,,,
2010-11-01,,,,,,,,,,921.822,14037.0,14037.0,0.0,0.0,0.0,,,
2010-12-01,,,,,,,,,,1018.754,15513.0,15513.0,0.0,0.0,0.0,,,
2011-01-01,,,,,,,,,,314.239,4761.0,4761.0,0.0,0.0,0.0,,,
2011-02-01,,,,,,,,,,283.529,4296.0,4296.0,0.0,0.0,0.0,,,
2011-03-01,,,,,,,,,,336.284,5095.0,5095.0,0.0,0.0,0.0,,,
2011-04-01,,,,,,,,,,388.616,5889.0,5889.0,0.0,0.0,0.0,,,
2011-05-01,,,,,,,,,,391.226,5928.0,5928.0,0.0,0.0,0.0,,,
2011-06-01,,,,,,,,,,429.332,6506.0,6506.0,0.0,0.0,0.0,,,
2011-07-01,,,,,,,,,,444.413,6734.0,6734.0,0.0,0.0,0.0,,,
2011-08-01,,,,,,,,,,473.535,7175.0,7175.0,0.0,0.0,0.0,,,
2011-09-01,,,,,,,,,,430.626,6525.0,6525.0,0.0,0.0,0.0,,,
2011-10-01,,,,,,,,,,361.839,5483.0,5483.0,0.0,0.0,0.0,,,
2011-11-01,,,,,,,,,,326.158,4942.0,4942.0,0.0,0.0,0.0,,,
2011-12-01,,,,,,,,,,330.203,5003.0,5003.0,0.0,0.0,0.0,,,
2012-01-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-02-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-03-01,,,,,,,,,,449.377,6677.0,6677.0,123.0,0.0,0.0,,,
2012-04-01,,,,,,,,,,13779.684,204731.0,204731.0,3585.0,0.0,0.0,,,
2012-05-01,,,,,,,,,,10619.668,157781.0,157781.0,2751.0,0.0,0.0,,,
2012-06-01,,,,,,,,,,4490.171,66713.0,66713.0,1136.0,0.0,0.0,,,
2012-07-01,,,,,,,,,,1326.56,19709.0,19709.0,349.0,0.0,0.0,,,
2012-08-01,,,,,,,,,,945.488,14048.0,14048.0,243.0,0.0,0.0,,,
2012-09-01,,,,,,,,,,683.052,10149.0,10149.0,184.0,0.0,0.0,,,
2012-10-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-11-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-12-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
