measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Waste/Other Oil Generation,Waste/Other Oil Quantity Consumed For Electricity,Waste/Other Oil Total Fuel Consumed
2014-11-01,4.879,104.0,104.0,0.0,0.0,0.0
2014-12-01,2.377,52.0,52.0,0.0,0.0,0.0
2015-01-01,18.711,185.0,185.0,0.0,0.0,0.0
2015-02-01,117.052,1161.0,1161.0,0.0,0.0,0.0
2015-03-01,6.316,64.0,64.0,0.0,0.0,0.0
2015-04-01,1.363,12.0,12.0,0.0,0.0,0.0
2015-05-01,8.473,87.0,87.0,0.0,0.0,0.0
2015-06-01,7.905,81.0,81.0,0.0,0.0,0.0
2015-07-01,26.59,266.0,266.0,0.0,0.0,0.0
2015-08-01,13.086,127.0,127.0,0.0,0.0,0.0
2015-09-01,2.481,23.0,23.0,0.0,0.0,0.0
2015-10-01,2.828,29.0,29.0,0.0,0.0,0.0
2015-11-01,8.532,87.0,87.0,0.0,0.0,0.0
2015-12-01,6.663,64.0,64.0,0.0,0.0,0.0
2016-01-01,30.252,528.0,528.0,0.0,0.0,0.0
2016-02-01,10.164,180.0,180.0,0.0,0.0,0.0
2016-03-01,5.053,93.0,93.0,0.0,0.0,0.0
2016-04-01,2.466,46.0,46.0,0.0,0.0,0.0
2016-05-01,4.487,81.0,81.0,0.0,0.0,0.0
2016-06-01,7.752,139.0,139.0,0.0,0.0,0.0
2016-07-01,11.585,209.0,209.0,0.0,0.0,0.0
2016-08-01,10.274,186.0,186.0,0.0,0.0,0.0
2016-09-01,5.842,104.0,104.0,0.0,0.0,0.0
2016-10-01,2.045,35.0,35.0,0.0,0.0,0.0
2016-11-01,1.926,35.0,35.0,0.0,0.0,0.0
2016-12-01,2.154,41.0,41.0,0.0,0.0,0.0
2017-01-01,7.975,58.0,58.0,0.0,0.0,0.0
2017-02-01,10.484,81.0,81.0,0.0,0.0,0.0
2017-03-01,5.106,40.0,40.0,0.0,0.0,0.0
2017-04-01,1.9,17.0,17.0,0.0,0.0,0.0
2017-05-01,5.819,46.0,46.0,0.0,0.0,0.0
2017-06-01,5.057,40.0,40.0,0.0,0.0,0.0
2017-07-01,3.544,29.0,29.0,0.0,0.0,0.0
2017-08-01,4.227,35.0,35.0,0.0,0.0,0.0
2017-09-01,3.645,29.0,29.0,0.0,0.0,0.0
2017-10-01,14.898,116.0,116.0,0.0,0.0,0.0
2017-11-01,7.306,58.0,58.0,0.0,0.0,0.0
2017-12-01,12.039,92.0,92.0,0.0,0.0,0.0
2018-01-01,244.99,2506.0,2506.0,0.0,0.0,0.0
2018-02-01,10.91,110.0,110.0,0.0,0.0,0.0
2018-03-01,8.855,92.0,92.0,0.0,0.0,0.0
2018-04-01,24.411,248.0,248.0,0.0,0.0,0.0
2018-05-01,30.278,312.0,312.0,0.0,0.0,0.0
2018-06-01,25.933,266.0,266.0,0.0,0.0,0.0
2018-07-01,26.294,271.0,271.0,0.0,0.0,0.0
2018-08-01,26.747,271.0,271.0,0.0,0.0,0.0
2018-09-01,37.218,381.0,381.0,0.0,0.0,0.0
2018-10-01,60.853,624.0,624.0,0.0,0.0,0.0
2018-11-01,64.446,658.0,658.0,0.0,0.0,0.0
2018-12-01,58.065,595.0,595.0,0.0,0.0,0.0
2019-01-01,16.685,87.0,87.0,0.0,0.0,0.0
2019-02-01,3.31,17.0,17.0,0.0,0.0,0.0
2019-03-01,5.696,29.0,29.0,0.0,0.0,0.0
2019-04-01,3.327,17.0,17.0,0.0,0.0,0.0
2019-05-01,4.648,23.0,23.0,0.0,0.0,0.0
2019-06-01,8.164,46.0,46.0,0.0,0.0,0.0
2019-07-01,11.194,58.0,58.0,0.0,0.0,0.0
2019-08-01,11.538,64.0,64.0,0.0,0.0,0.0
2019-09-01,9.36,52.0,52.0,0.0,0.0,0.0
2019-10-01,5.974,35.0,35.0,0.0,0.0,0.0
2019-11-01,5.048,29.0,29.0,0.0,0.0,0.0
2019-12-01,5.056,29.0,29.0,0.0,0.0,0.0
2020-01-01,2.714,40.0,40.0,0.0,0.0,0.0
2020-02-01,1.507,23.0,23.0,0.0,0.0,0.0
2020-03-01,3.014,46.0,46.0,0.0,0.0,0.0
2020-04-01,1.672,23.0,23.0,0.0,0.0,0.0
2020-05-01,4.223,64.0,64.0,0.0,0.0,0.0
2020-06-01,3.7,52.0,52.0,0.0,0.0,0.0
2020-07-01,6.514,92.0,92.0,0.0,0.0,0.0
2020-08-01,6.287,92.0,92.0,0.0,0.0,0.0
2020-09-01,7.746,116.0,116.0,0.0,0.0,0.0
2020-10-01,2.571,35.0,35.0,0.0,0.0,0.0
2020-11-01,5.352,75.0,75.0,0.0,0.0,0.0
2020-12-01,8.7,127.0,127.0,0.0,0.0,0.0
2021-01-01,0.654,29.0,29.0,0.0,0.0,0.0
2021-02-01,3.645,133.0,133.0,0.0,0.0,0.0
2021-03-01,1.969,69.0,69.0,0.0,0.0,0.0
2021-04-01,0.968,35.0,35.0,0.0,0.0,0.0
2021-05-01,0.799,29.0,29.0,0.0,0.0,0.0
2021-06-01,1.167,40.0,40.0,0.0,0.0,0.0
2021-07-01,1.363,46.0,46.0,0.0,0.0,0.0
2021-08-01,1.303,46.0,46.0,0.0,0.0,0.0
2021-09-01,1.016,35.0,35.0,0.0,0.0,0.0
2021-10-01,0.864,29.0,29.0,0.0,0.0,0.0
2021-11-01,1.227,46.0,46.0,0.0,0.0,0.0
2021-12-01,1.025,35.0,35.0,0.0,0.0,0.0
2022-01-01,0.79,6.0,6.0,0.0,0.0,0.0
2022-02-01,0.238,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.127,0.0,0.0,0.0,0.0,0.0
2022-04-01,0.131,0.0,0.0,0.0,0.0,0.0
2022-05-01,0.173,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.174,0.0,0.0,0.0,0.0,0.0
2022-07-01,0.529,6.0,6.0,0.0,0.0,0.0
2022-08-01,0.436,6.0,6.0,0.0,0.0,0.0
2022-09-01,0.047,0.0,0.0,0.0,0.0,0.0
2022-10-01,0.08,0.0,0.0,0.0,0.0,0.0
2022-11-01,0.129,0.0,0.0,0.0,0.0,0.0
2022-12-01,1.146,17.0,17.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0
