measured_on,Agricultural By-Products Generation,Agricultural By-Products Quantity Consumed For Electricity,Agricultural By-Products Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2018-02-01,73.242,431.0,5429.0,0.0,0.0,0.0
2018-03-01,87.072,512.0,6443.0,0.0,0.0,0.0
2018-04-01,79.138,466.0,5866.0,0.0,0.0,0.0
2018-05-01,96.801,570.0,7176.0,0.0,0.0,0.0
2018-06-01,90.869,535.0,6724.0,0.0,0.0,0.0
2018-07-01,98.225,578.0,7270.0,0.0,0.0,0.0
2018-08-01,97.24,572.0,7207.0,0.0,0.0,0.0
2018-09-01,83.291,490.0,6162.0,0.0,0.0,0.0
2018-10-01,81.93,482.0,6068.0,0.0,0.0,0.0
2018-11-01,89.618,527.0,6630.0,0.0,0.0,0.0
2018-12-01,85.295,502.0,6318.0,0.0,0.0,0.0
2019-01-01,17.877,105.0,4664.0,0.0,0.0,0.0
2019-02-01,13.376,79.0,3494.0,0.0,0.0,0.0
2019-03-01,14.169,84.0,3697.0,0.0,0.0,0.0
2019-04-01,14.077,83.0,3666.0,0.0,0.0,0.0
2019-05-01,14.428,85.0,3760.0,0.0,0.0,0.0
2019-06-01,16.22,96.0,4228.0,0.0,0.0,0.0
2019-07-01,15.382,91.0,4009.0,0.0,0.0,0.0
2019-08-01,17.678,104.0,4618.0,0.0,0.0,0.0
2019-09-01,15.865,94.0,4134.0,0.0,0.0,0.0
2019-10-01,16.197,95.0,4228.0,0.0,0.0,0.0
2019-11-01,15.433,91.0,4025.0,0.0,0.0,0.0
2019-12-01,14.298,84.0,3728.0,0.0,0.0,0.0
2020-01-01,38.946,229.0,2716.0,0.0,0.0,0.0
2020-02-01,39.934,235.0,2810.0,0.0,0.0,0.0
2020-03-01,42.579,251.0,2999.0,0.0,0.0,0.0
2020-04-01,44.377,261.0,3124.0,0.0,0.0,0.0
2020-05-01,45.63,269.0,3203.0,0.0,0.0,0.0
2020-06-01,44.282,261.0,3109.0,0.0,0.0,0.0
2020-07-01,46.688,275.0,3281.0,0.0,0.0,0.0
2020-08-01,49.38,291.0,3470.0,0.0,0.0,0.0
2020-09-01,41.639,245.0,2920.0,0.0,0.0,0.0
2020-10-01,43.339,255.0,3046.0,0.0,0.0,0.0
2020-11-01,42.053,247.0,2952.0,0.0,0.0,0.0
2020-12-01,40.153,236.0,2826.0,0.0,0.0,0.0
2021-01-01,146.017,1279.0,4852.0,0.0,0.0,0.0
2021-02-01,120.174,1053.0,3978.0,0.0,0.0,0.0
2021-03-01,137.537,1205.0,4555.0,0.0,0.0,0.0
2021-04-01,147.321,1291.0,4883.0,0.0,0.0,0.0
2021-05-01,150.882,1322.0,4992.0,0.0,0.0,0.0
2021-06-01,157.33,1378.0,5210.0,0.0,0.0,0.0
2021-07-01,141.756,1242.0,4696.0,0.0,0.0,0.0
2021-08-01,164.36,1440.0,5444.0,0.0,0.0,0.0
2021-09-01,160.202,1404.0,5304.0,0.0,0.0,0.0
2021-10-01,134.871,1182.0,4462.0,0.0,0.0,0.0
2021-11-01,156.285,1369.0,5179.0,0.0,0.0,0.0
2021-12-01,147.265,1290.0,4883.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,4196.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,3853.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,4087.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,3806.0,0.0,0.0,0.0
2022-05-01,0.0,0.0,4742.0,0.0,0.0,0.0
2022-06-01,0.0,0.0,4352.0,0.0,0.0,0.0
2022-07-01,0.0,0.0,4243.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,4477.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,4212.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,3713.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,3900.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,3744.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,1030.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,905.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,983.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,889.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,1030.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,1139.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,1139.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,1217.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,1139.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,1139.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,1154.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,1170.0,0.0,0.0,0.0
2024-01-01,0.0,0.0,1326.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,1451.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,1310.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,1108.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,1638.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,1513.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,1654.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,1778.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,1700.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,1529.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,1373.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,1576.0,0.0,0.0,0.0
