measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2003-07-01,67.11200000000001,671.0,671.0,,,,0.0,0.0,0.0
2003-08-01,68.424,684.0,684.0,,,,0.0,0.0,0.0
2003-09-01,51.808,518.0,518.0,,,,0.0,0.0,0.0
2003-10-01,50.946000000000005,509.0,509.0,,,,0.0,0.0,0.0
2003-11-01,53.273,533.0,533.0,,,,0.0,0.0,0.0
2003-12-01,60.626000000000005,606.0,606.0,,,,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2004-03-01,7.25,313.0,313.0,,,,0.0,0.0,0.0
2004-04-01,0.558,24.0,24.0,,,,0.0,0.0,0.0
2004-05-01,2.7880000000000003,121.0,121.0,,,,0.0,0.0,0.0
2004-06-01,2.2310000000000003,96.0,96.0,,,,0.0,0.0,0.0
2004-07-01,16.731,723.0,723.0,,,,0.0,0.0,0.0
2004-08-01,88.115,3808.0,3808.0,,,,0.0,0.0,0.0
2004-09-01,2.7880000000000003,121.0,121.0,,,,0.0,0.0,0.0
2004-10-01,11.154,482.0,482.0,,,,0.0,0.0,0.0
2004-11-01,12.827,554.0,554.0,,,,0.0,0.0,0.0
2004-12-01,0.558,24.0,24.0,,,,0.0,0.0,0.0
2005-01-01,99.854,1001.08,1001.08,,,,0.0,0.0,0.0
2005-02-01,34.307,343.94,343.94,,,,0.0,0.0,0.0
2005-03-01,38.025,381.21,381.21,,,,0.0,0.0,0.0
2005-04-01,46.059000000000005,461.76,461.76,,,,0.0,0.0,0.0
2005-05-01,42.777,428.86,428.86,,,,0.0,0.0,0.0
2005-06-01,55.52,556.61,556.61,,,,0.0,0.0,0.0
2005-07-01,56.513000000000005,566.56,566.56,,,,0.0,0.0,0.0
2005-08-01,66.38900000000001,665.57,665.57,,,,0.0,0.0,0.0
2005-09-01,43.459,435.69,435.69,,,,0.0,0.0,0.0
2005-10-01,48.262,483.84,483.84,,,,0.0,0.0,0.0
2005-11-01,38.798,388.97,388.97,,,,0.0,0.0,0.0
2005-12-01,82.03800000000001,822.46,822.46,,,,0.0,0.0,0.0
2006-01-01,47.715,478.0,478.0,,,,0.0,0.0,0.0
2006-02-01,24.968,250.0,250.0,,,,0.0,0.0,0.0
2006-03-01,20.973000000000003,210.0,210.0,,,,0.0,0.0,0.0
2006-04-01,40.175,403.0,403.0,,,,0.0,0.0,0.0
2006-05-01,37.553000000000004,376.0,376.0,,,,0.0,0.0,0.0
2006-06-01,34.133,342.0,342.0,,,,0.0,0.0,0.0
2006-07-01,49.443000000000005,495.0,495.0,,,,0.0,0.0,0.0
2006-08-01,47.959,481.0,481.0,,,,0.0,0.0,0.0
2006-09-01,22.033,221.0,221.0,,,,0.0,0.0,0.0
2006-10-01,23.274,233.0,233.0,,,,0.0,0.0,0.0
2006-11-01,27.406000000000002,275.0,275.0,,,,0.0,0.0,0.0
2006-12-01,30.366000000000003,304.0,304.0,,,,0.0,0.0,0.0
2007-01-01,27.229000000000003,305.0,305.0,,,,0.0,0.0,0.0
2007-02-01,43.275,483.0,483.0,,,,0.0,0.0,0.0
2007-03-01,20.814,230.0,230.0,,,,0.0,0.0,0.0
2007-04-01,19.239,213.0,213.0,,,,0.0,0.0,0.0
2007-05-01,41.697,466.0,466.0,,,,0.0,0.0,0.0
2007-06-01,11.672,132.0,132.0,,,,0.0,0.0,0.0
2007-07-01,15.54,173.0,173.0,,,,0.0,0.0,0.0
2007-08-01,7.291,81.0,81.0,,,,0.0,0.0,0.0
2007-09-01,20.187,224.0,224.0,,,,0.0,0.0,0.0
2007-10-01,24.003,265.0,265.0,,,,0.0,0.0,0.0
2007-11-01,24.711000000000002,276.0,276.0,,,,0.0,0.0,0.0
2007-12-01,34.341,380.0,380.0,,,,0.0,0.0,0.0
2008-01-01,7.104,87.0,87.0,,,,0.0,0.0,0.0
2008-02-01,6.702,75.0,75.0,,,,0.0,0.0,0.0
2008-03-01,5.082,58.0,58.0,,,,0.0,0.0,0.0
2008-04-01,5.308,58.0,58.0,,,,0.0,0.0,0.0
2008-05-01,4.816,52.0,52.0,,,,0.0,0.0,0.0
2008-06-01,5.75,64.0,64.0,,,,0.0,0.0,0.0
2008-07-01,5.373,58.0,58.0,,,,0.0,0.0,0.0
2008-08-01,3.706,41.0,41.0,,,,0.0,0.0,0.0
2008-09-01,5.974,70.0,70.0,,,,0.0,0.0,0.0
2008-10-01,4.988,58.0,58.0,,,,0.0,0.0,0.0
2008-11-01,4.197,46.0,46.0,,,,0.0,0.0,0.0
2008-12-01,11.0,122.0,122.0,,,,0.0,0.0,0.0
2009-01-01,6.173,63.0,63.0,,,,0.0,0.0,0.0
2009-02-01,3.3970000000000002,35.0,35.0,,,,0.0,0.0,0.0
2009-03-01,8.847000000000001,86.0,86.0,,,,0.0,0.0,0.0
2009-04-01,5.356,52.0,52.0,,,,0.0,0.0,0.0
2009-05-01,7.05,69.0,69.0,,,,0.0,0.0,0.0
2009-06-01,3.976,40.0,40.0,,,,0.0,0.0,0.0
2009-07-01,2.474,23.0,23.0,,,,0.0,0.0,0.0
2009-08-01,3.7230000000000003,35.0,35.0,,,,0.0,0.0,0.0
2009-09-01,4.481,46.0,46.0,,,,0.0,0.0,0.0
2009-10-01,4.274,40.0,40.0,,,,0.0,0.0,0.0
2009-11-01,5.308,52.0,52.0,,,,0.0,0.0,0.0
2009-12-01,4.941,46.0,46.0,,,,0.0,0.0,0.0
2010-01-01,5.668,52.0,52.0,,,,0.0,0.0,0.0
2010-02-01,4.736000000000001,52.0,52.0,,,,0.0,0.0,0.0
2010-03-01,2.992,35.0,35.0,,,,0.0,0.0,0.0
2010-04-01,4.365,46.0,46.0,,,,0.0,0.0,0.0
2010-05-01,6.194,63.0,63.0,,,,0.0,0.0,0.0
2010-06-01,11.296000000000001,121.0,121.0,,,,0.0,0.0,0.0
2010-07-01,23.693,253.0,253.0,,,,0.0,0.0,0.0
2010-08-01,4.1690000000000005,46.0,46.0,,,,0.0,0.0,0.0
2010-09-01,7.95,86.0,86.0,,,,0.0,0.0,0.0
2010-10-01,7.469,81.0,81.0,,,,0.0,0.0,0.0
2010-11-01,11.118,115.0,115.0,,,,0.0,0.0,0.0
2010-12-01,4.3500000000000005,46.0,46.0,,,,0.0,0.0,0.0
2011-01-01,17.081,178.0,178.0,,,,0.0,0.0,0.0
2011-02-01,12.206,127.0,127.0,,,,0.0,0.0,0.0
2011-03-01,9.543,98.0,98.0,,,,0.0,0.0,0.0
2011-04-01,5.686,58.0,58.0,,,,0.0,0.0,0.0
2011-05-01,14.326,150.0,150.0,,,,0.0,0.0,0.0
2011-06-01,7.251,75.0,75.0,,,,0.0,0.0,0.0
2011-07-01,5.79,58.0,58.0,,,,0.0,0.0,0.0
2011-08-01,9.894,104.0,104.0,,,,0.0,0.0,0.0
2011-09-01,9.263,98.0,98.0,,,,0.0,0.0,0.0
2011-10-01,9.105,92.0,92.0,,,,0.0,0.0,0.0
2011-11-01,9.402,98.0,98.0,,,,0.0,0.0,0.0
2011-12-01,6.453,69.0,69.0,,,,0.0,0.0,0.0
2013-01-01,8.989,98.0,98.0,,,,0.0,0.0,0.0
2013-02-01,6.777,75.0,75.0,,,,0.0,0.0,0.0
2013-03-01,8.755,98.0,98.0,,,,0.0,0.0,0.0
2013-04-01,8.766,98.0,98.0,,,,0.0,0.0,0.0
2013-05-01,10.443,115.0,115.0,,,,0.0,0.0,0.0
2013-06-01,6.797,75.0,75.0,,,,0.0,0.0,0.0
2013-07-01,5.549,63.0,63.0,,,,0.0,0.0,0.0
2013-08-01,2.99,35.0,35.0,,,,0.0,0.0,0.0
2013-09-01,3.608,40.0,40.0,,,,0.0,0.0,0.0
2013-10-01,3.342,35.0,35.0,,,,0.0,0.0,0.0
2013-11-01,6.879,75.0,75.0,,,,0.0,0.0,0.0
2013-12-01,9.105,98.0,98.0,,,,0.0,0.0,0.0
2014-01-01,2.576,37.0,37.0,,,,0.0,0.0,0.0
2014-02-01,6.797,87.0,87.0,,,,0.0,0.0,0.0
2014-03-01,5.202,62.0,62.0,,,,0.0,0.0,0.0
2014-04-01,1.61,19.0,19.0,,,,0.0,0.0,0.0
2014-05-01,3.902,50.0,50.0,,,,0.0,0.0,0.0
2014-06-01,2.616,31.0,31.0,,,,0.0,0.0,0.0
2014-07-01,1.452,19.0,19.0,,,,0.0,0.0,0.0
2014-08-01,2.101,25.0,25.0,,,,0.0,0.0,0.0
2014-09-01,1.909,25.0,25.0,,,,0.0,0.0,0.0
2014-10-01,2.088,25.0,25.0,,,,0.0,0.0,0.0
2014-11-01,3.686,43.0,43.0,,,,0.0,0.0,0.0
2014-12-01,3.301,43.0,43.0,,,,0.0,0.0,0.0
2024-01-01,,,,0.0,0.0,0.0,,,
2024-02-01,,,,0.0,0.0,0.0,,,
2024-03-01,,,,0.0,0.0,0.0,,,
2024-04-01,,,,0.0,0.0,0.0,,,
2024-05-01,,,,0.0,0.0,0.0,,,
2024-06-01,,,,0.0,0.0,0.0,,,
2024-07-01,,,,0.0,0.0,0.0,,,
2024-08-01,,,,0.0,0.0,0.0,,,
2024-09-01,,,,0.0,0.0,0.0,,,
2024-10-01,,,,0.0,0.0,0.0,,,
2024-11-01,,,,0.0,0.0,0.0,,,
2024-12-01,,,,-37.0,0.0,0.0,,,
