measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2004-12-01,752.202,7226.0,7226.0,735.667,7067.0,7067.0
2005-01-01,6113.497,69383.77,69383.77,380.985,3136.07,3136.07
2005-02-01,1407.2060000000001,15970.77,15970.77,339.868,2797.62,2797.62
2005-03-01,1207.5520000000001,13704.84,13704.84,388.177,3195.27,3195.27
2005-04-01,1208.237,13712.62,13712.62,387.374,3188.66,3188.66
2005-05-01,1218.199,13825.68,13825.68,425.862,3505.47,3505.47
2005-06-01,1475.681,16747.91,16747.91,421.906,3472.91,3472.91
2005-07-01,2794.772,31718.64,31718.64,436.86100000000005,3596.01,3596.01
2005-08-01,2475.3540000000003,28093.48,28093.48,434.886,3579.76,3579.76
2005-09-01,1377.345,15631.86,15631.86,409.66,3372.11,3372.11
2005-10-01,1931.0590000000002,21916.12,21916.12,413.521,3403.89,3403.89
2005-11-01,1300.297,14757.44,14757.44,416.48600000000005,3428.3,3428.3
2005-12-01,3561.802,40423.88,40423.88,417.415,3435.94,3435.94
2006-01-01,2425.6110000000003,26789.0,26789.0,635.505,7109.0,7109.0
2006-02-01,3040.5910000000003,33581.0,33581.0,569.163,6367.0,6367.0
2006-03-01,5536.274,61143.0,61143.0,510.982,5716.0,5716.0
2006-04-01,2625.03,28991.0,28991.0,464.56600000000003,5197.0,5197.0
2006-05-01,1813.028,20023.0,20023.0,540.663,6048.0,6048.0
2006-06-01,1745.53,19278.0,19278.0,367.71700000000004,4113.0,4113.0
2006-07-01,2163.7870000000003,23897.0,23897.0,487.73100000000005,5456.0,5456.0
2006-08-01,2302.491,25429.0,25429.0,479.405,5363.0,5363.0
2006-09-01,1346.098,14866.0,14866.0,445.80600000000004,4987.0,4987.0
2006-10-01,1340.261,14802.0,14802.0,510.863,5715.0,5715.0
2006-11-01,2177.9230000000002,24053.0,24053.0,561.125,6277.0,6277.0
2006-12-01,2426.378,26797.0,26797.0,575.4730000000001,6437.0,6437.0
2007-01-01,1684.9830000000002,16781.0,16781.0,1093.268,10890.0,10890.0
2007-02-01,1304.901,12996.0,12996.0,692.519,6897.0,6897.0
2007-03-01,2580.4390000000003,25701.0,25701.0,758.202,7552.0,7552.0
2007-04-01,1569.576,15629.0,15629.0,972.37,9686.0,9686.0
2007-05-01,1448.09,14421.0,14421.0,974.595,9708.0,9708.0
2007-06-01,1415.6960000000001,14102.0,14102.0,912.812,9092.0,9092.0
2007-07-01,2090.435,20816.0,20816.0,834.428,8311.0,8311.0
2007-08-01,2638.723,26277.0,26277.0,536.337,5341.0,5341.0
2007-09-01,2191.966,21831.0,21831.0,447.38800000000003,4455.0,4455.0
2007-10-01,2647.16,26363.0,26363.0,932.8860000000001,9290.0,9290.0
2007-11-01,1941.9840000000002,19340.0,19340.0,1034.815,10307.0,10307.0
2007-12-01,2784.235,27731.0,27731.0,1006.192,10021.0,10021.0
2008-01-01,3421.1890000000003,31900.0,31900.0,271.77,2531.0,2531.0
2008-02-01,3131.484,29191.0,29191.0,257.637,2401.0,2401.0
2008-03-01,2095.395,19534.0,19534.0,403.89300000000003,3766.0,3766.0
2008-04-01,2114.496,19708.0,19708.0,414.863,3868.0,3868.0
2008-05-01,2211.909,20619.0,20619.0,487.68600000000004,4547.0,4547.0
2008-06-01,1481.7330000000002,13810.0,13810.0,499.151,4652.0,4652.0
2008-07-01,1539.6290000000001,14349.0,14349.0,453.04400000000004,4225.0,4225.0
2008-08-01,1523.661,14204.0,14204.0,449.379,4190.0,4190.0
2008-09-01,1589.7910000000002,14819.0,14819.0,408.321,3808.0,3808.0
2008-10-01,1809.863,16872.0,16872.0,337.34000000000003,3143.0,3143.0
2008-11-01,2207.241,20573.0,20573.0,427.958,3990.0,3990.0
2008-12-01,3745.911,34916.0,34916.0,270.656,2524.0,2524.0
2009-01-01,3533.847,38491.0,38491.0,435.27700000000004,4748.0,4748.0
2009-02-01,2593.594,28259.0,28259.0,376.861,4106.0,4106.0
2009-03-01,2693.873,29349.0,29349.0,529.884,5772.0,5772.0
2009-04-01,2767.898,30158.0,30158.0,552.7620000000001,6021.0,6021.0
2009-05-01,1659.4180000000001,18078.0,18078.0,603.4580000000001,6574.0,6574.0
2009-06-01,1629.555,17756.0,17756.0,690.095,7521.0,7521.0
2009-07-01,1837.169,20018.0,20018.0,577.071,6287.0,6287.0
2009-08-01,1827.6480000000001,19914.0,19914.0,639.133,6962.0,6962.0
2009-09-01,1217.454,13263.0,13263.0,677.7560000000001,7382.0,7382.0
2009-10-01,1206.2830000000001,13142.0,13142.0,557.3430000000001,6071.0,6071.0
2009-11-01,2292.9570000000003,24982.0,24982.0,403.23600000000005,4394.0,4394.0
2009-12-01,2325.889,25338.0,25338.0,468.53900000000004,5102.0,5102.0
2010-01-01,3619.8830000000003,36908.0,36908.0,386.348,3940.0,3940.0
2010-02-01,2876.0660000000003,29321.0,29321.0,270.406,2756.0,2756.0
2010-03-01,2545.65,25952.0,25952.0,378.221,3857.0,3857.0
2010-04-01,2253.7670000000003,22979.0,22979.0,551.945,5628.0,5628.0
2010-05-01,1874.116,19105.0,19105.0,726.258,7404.0,7404.0
2010-06-01,1471.14,14996.0,14996.0,651.04,6635.0,6635.0
2010-07-01,1687.861,17206.0,17206.0,469.2,4781.0,4781.0
2010-08-01,1720.8290000000002,17544.0,17544.0,753.63,7681.0,7681.0
2010-09-01,1575.664,16063.0,16063.0,594.6990000000001,6065.0,6065.0
2010-10-01,1888.7520000000002,19254.0,19254.0,692.096,7056.0,7056.0
2010-11-01,2151.2780000000002,21934.0,21934.0,386.603,3940.0,3940.0
2010-12-01,3913.135,39892.0,39892.0,443.93300000000005,4527.0,4527.0
2011-01-01,3365.971,42935.0,42935.0,191.815,2448.0,2448.0
2011-02-01,3005.951,38347.0,38347.0,290.713,3708.0,3708.0
2011-03-01,2631.676,33573.0,33573.0,225.629,2880.0,2880.0
2011-04-01,1705.092,21750.0,21750.0,272.311,3472.0,3472.0
2011-05-01,1787.083,22797.0,22797.0,328.355,4188.0,4188.0
2011-06-01,1660.342,21179.0,21179.0,324.537,4140.0,4140.0
2011-07-01,1754.56,22382.0,22382.0,307.106,3916.0,3916.0
2011-08-01,1583.63,20200.0,20200.0,342.746,4372.0,4372.0
2011-09-01,1755.009,22388.0,22388.0,308.111,3932.0,3932.0
2011-10-01,3102.675,39581.0,39581.0,305.729,3900.0,3900.0
2011-11-01,2872.625,36642.0,36642.0,218.021,2780.0,2780.0
2011-12-01,2839.048,36214.0,36214.0,171.465,2188.0,2188.0
2012-01-01,2872.492,36167.0,36167.0,109.468,1380.0,1380.0
2012-02-01,1694.192,21331.0,21331.0,138.433,1744.0,1744.0
2012-03-01,2569.562,32352.0,32352.0,166.414,2096.0,2096.0
2012-04-01,1627.011,20487.0,20487.0,176.456,2220.0,2220.0
2012-05-01,2035.97,25636.0,25636.0,278.836,3512.0,3512.0
2012-06-01,1661.421,20918.0,20918.0,228.176,2872.0,2872.0
2012-07-01,2597.751,32707.0,32707.0,246.653,3104.0,3104.0
2012-08-01,2420.609,30476.0,30476.0,278.942,3512.0,3512.0
2012-09-01,2253.5,28374.0,28374.0,284.141,3576.0,3576.0
2012-10-01,1673.866,21075.0,21075.0,255.303,3216.0,3216.0
2012-11-01,1795.205,22601.0,22601.0,224.011,2820.0,2820.0
2012-12-01,2765.049,34816.0,34816.0,178.539,2248.0,2248.0
2013-01-01,2900.163,29853.0,29853.0,326.557,3360.0,3360.0
2013-02-01,2001.008,20603.0,20603.0,340.609,3508.0,3508.0
2013-03-01,2024.017,20838.0,20838.0,430.894,4436.0,4436.0
2013-04-01,2334.62,24037.0,24037.0,594.639,6120.0,6120.0
2013-05-01,2352.872,24223.0,24223.0,602.493,6204.0,6204.0
2013-06-01,1689.694,17397.0,17397.0,489.81,5044.0,5044.0
2013-07-01,1599.889,16473.0,16473.0,646.19,6652.0,6652.0
2013-08-01,1578.529,16250.0,16250.0,608.161,6260.0,6260.0
2013-09-01,1852.57,19071.0,19071.0,654.485,6740.0,6740.0
2013-10-01,1782.679,18352.0,18352.0,644.145,6632.0,6632.0
2013-11-01,2323.59,23920.0,23920.0,553.518,5700.0,5700.0
2013-12-01,2629.599,27075.0,27075.0,599.269,6168.0,6168.0
2014-01-01,2630.63,38341.0,38341.0,408.669,5964.0,5964.0
2014-02-01,2495.973,36369.0,36369.0,291.626,4248.0,4248.0
2014-03-01,2436.526,35501.0,35501.0,350.443,5108.0,5108.0
2014-04-01,2289.286,33356.0,33356.0,480.244,6996.0,6996.0
2014-05-01,1932.935,28167.0,28167.0,577.356,8412.0,8412.0
2014-06-01,1152.119,16790.0,16790.0,602.107,8772.0,8772.0
2014-07-01,2036.831,29679.0,29679.0,666.017,9704.0,9704.0
2014-08-01,1638.772,23876.0,23876.0,660.315,9620.0,9620.0
2014-09-01,1928.076,28092.0,28092.0,528.546,7700.0,7700.0
2014-10-01,2548.742,37138.0,37138.0,620.387,9040.0,9040.0
2014-11-01,1862.944,27144.0,27144.0,575.945,8392.0,8392.0
2014-12-01,2423.253,35309.0,35309.0,584.258,8512.0,8512.0
2015-01-01,2740.55,29481.0,29481.0,317.327,3418.0,3418.0
2015-02-01,2416.957,25990.0,25990.0,300.881,3235.0,3235.0
2015-03-01,2431.392,26147.0,26147.0,305.171,3284.0,3284.0
2015-04-01,2518.04,27078.0,27078.0,367.689,3955.0,3955.0
2015-05-01,2023.664,21761.0,21761.0,424.784,4568.0,4568.0
2015-06-01,2016.131,21680.0,21680.0,394.871,4245.0,4245.0
2015-07-01,2095.121,22529.0,22529.0,505.436,5433.0,5433.0
2015-08-01,2378.625,25583.0,25583.0,588.34,6325.0,6325.0
2015-09-01,2142.244,23041.0,23041.0,454.92,4890.0,4890.0
2015-10-01,2450.871,26357.0,26357.0,379.67,4084.0,4084.0
2015-11-01,1713.688,18428.0,18428.0,385.071,4143.0,4143.0
2015-12-01,1648.039,17724.0,17724.0,336.518,3617.0,3617.0
2016-01-01,2419.263,25711.0,25711.0,34.166,364.0,364.0
2016-02-01,2684.767,28527.0,28527.0,24.802,264.0,264.0
2016-03-01,2540.721,26997.0,26997.0,42.261,448.0,448.0
2016-04-01,2080.705,22110.0,22110.0,40.047,424.0,424.0
2016-05-01,1897.981,20168.0,20168.0,43.4,460.0,460.0
2016-06-01,1909.155,20290.0,20290.0,43.214,460.0,460.0
2016-07-01,1597.101,16968.0,16968.0,42.643,452.0,452.0
2016-08-01,2093.125,22244.0,22244.0,54.883,584.0,584.0
2016-09-01,2132.762,22663.0,22663.0,45.461,484.0,484.0
2016-10-01,2449.13,26025.0,26025.0,47.708,508.0,508.0
2016-11-01,3417.584,36316.0,36316.0,47.766,508.0,508.0
2016-12-01,4614.926,49037.0,49037.0,35.429,376.0,376.0
2017-01-01,2626.131,27125.0,27125.0,119.445,1236.0,1236.0
2017-02-01,2120.441,21895.0,21895.0,109.179,1128.0,1128.0
2017-03-01,2441.5,25211.0,25211.0,117.884,1216.0,1216.0
2017-04-01,2251.036,23245.0,23245.0,110.204,1140.0,1140.0
2017-05-01,2248.608,23221.0,23221.0,115.997,1196.0,1196.0
2017-06-01,2371.703,24490.0,24490.0,114.05,1176.0,1176.0
2017-07-01,2416.891,24955.0,24955.0,116.916,1208.0,1208.0
2017-08-01,2496.502,25781.0,25781.0,117.461,1212.0,1212.0
2017-09-01,2483.175,25641.0,25641.0,108.676,1124.0,1124.0
2017-10-01,2534.425,26171.0,26171.0,111.25,1148.0,1148.0
2017-11-01,2244.775,23181.0,23181.0,115.852,1196.0,1196.0
2017-12-01,2284.367,23588.0,23588.0,120.532,1244.0,1244.0
2018-01-01,2221.528,22686.0,22686.0,237.986,2432.0,2432.0
2018-02-01,2071.866,21151.0,21151.0,224.002,2288.0,2288.0
2018-03-01,2072.169,21156.0,21156.0,241.763,2468.0,2468.0
2018-04-01,2093.132,21366.0,21366.0,225.88,2304.0,2304.0
2018-05-01,2394.98,24449.0,24449.0,227.248,2320.0,2320.0
2018-06-01,2235.977,22826.0,22826.0,230.164,2348.0,2348.0
2018-07-01,2409.363,24594.0,24594.0,236.836,2416.0,2416.0
2018-08-01,2460.379,25118.0,25118.0,237.791,2428.0,2428.0
2018-09-01,2504.487,25566.0,25566.0,215.046,2196.0,2196.0
2018-10-01,2629.678,26845.0,26845.0,235.15,2400.0,2400.0
2018-11-01,2366.074,24152.0,24152.0,233.561,2384.0,2384.0
2018-12-01,2266.596,23140.0,23140.0,244.344,2496.0,2496.0
2019-01-01,2092.805,21732.0,21732.0,57.662,592.0,592.0
2019-02-01,2326.178,24152.0,24152.0,51.922,540.0,540.0
2019-03-01,2305.281,23931.0,23931.0,55.809,580.0,580.0
2019-04-01,2118.527,21994.0,21994.0,52.638,548.0,548.0
2019-05-01,2305.646,23937.0,23937.0,54.427,564.0,564.0
2019-06-01,1981.138,20569.0,20569.0,54.907,572.0,572.0
2019-07-01,2256.565,23431.0,23431.0,56.556,588.0,588.0
2019-08-01,2498.466,25938.0,25938.0,57.398,596.0,596.0
2019-09-01,2966.733,30801.0,30801.0,53.855,560.0,560.0
2019-10-01,3118.001,32372.0,32372.0,55.306,576.0,576.0
2019-11-01,2368.435,24588.0,24588.0,54.397,564.0,564.0
2019-12-01,3159.553,32802.0,32802.0,57.795,600.0,600.0
2020-01-01,3713.991,39695.0,39695.0,10.485,112.0,112.0
2020-02-01,2407.763,25734.0,25734.0,9.599,104.0,104.0
2020-03-01,2430.878,25979.0,25979.0,10.561,112.0,112.0
2020-04-01,2332.679,24932.0,24932.0,9.931,108.0,108.0
2020-05-01,1975.161,21110.0,21110.0,10.238,108.0,108.0
2020-06-01,2486.814,26578.0,26578.0,9.385,100.0,100.0
2020-07-01,3241.618,34646.0,34646.0,10.072,108.0,108.0
2020-08-01,3321.391,35501.0,35501.0,10.199,108.0,108.0
2020-09-01,2111.991,22576.0,22576.0,9.577,104.0,104.0
2020-10-01,2527.832,27020.0,27020.0,9.699,104.0,104.0
2020-11-01,1960.302,20953.0,20953.0,9.508,100.0,100.0
2020-12-01,1943.195,20767.0,20767.0,10.131,108.0,108.0
2021-01-01,2229.928,24321.0,24321.0,0.0,0.0,0.0
2021-02-01,2469.181,26933.0,26933.0,0.0,0.0,0.0
2021-03-01,2670.437,29132.0,29132.0,0.0,0.0,0.0
2021-04-01,2566.973,28003.0,28003.0,0.0,0.0,0.0
2021-05-01,1329.395,14502.0,14502.0,0.0,0.0,0.0
2021-06-01,1784.538,19469.0,19469.0,0.0,0.0,0.0
2021-07-01,1743.946,19022.0,19022.0,0.0,0.0,0.0
2021-08-01,2514.983,27433.0,27433.0,0.0,0.0,0.0
2021-09-01,3257.408,35536.0,35536.0,0.0,0.0,0.0
2021-10-01,3236.305,35303.0,35303.0,0.0,0.0,0.0
2021-11-01,2526.889,27567.0,27567.0,0.0,0.0,0.0
2021-12-01,2809.017,30644.0,30644.0,0.0,0.0,0.0
2022-01-01,2649.408,46885.0,46885.0,0.0,0.0,0.0
2022-02-01,2184.95,38666.0,38666.0,0.0,0.0,0.0
2022-03-01,2530.248,44779.0,44779.0,0.0,0.0,0.0
2022-04-01,2249.434,39806.0,39806.0,0.0,0.0,0.0
2022-05-01,2108.029,37304.0,37304.0,0.0,0.0,0.0
2022-06-01,2567.3,45431.0,45431.0,0.0,0.0,0.0
2022-07-01,2338.312,41382.0,41382.0,0.0,0.0,0.0
2022-08-01,1572.624,27829.0,27829.0,0.0,0.0,0.0
2022-09-01,1842.246,32604.0,32604.0,0.0,0.0,0.0
2022-10-01,2067.019,36577.0,36577.0,0.0,0.0,0.0
2022-11-01,1962.432,34727.0,34727.0,0.0,0.0,0.0
2022-12-01,2669.998,47251.0,47251.0,0.0,0.0,0.0
2023-01-01,3076.14,33186.0,33186.0,0.0,0.0,0.0
2023-02-01,2388.111,25763.0,25763.0,0.0,0.0,0.0
2023-03-01,2253.711,24315.0,24315.0,0.0,0.0,0.0
2023-04-01,2664.123,28742.0,28742.0,0.0,0.0,0.0
2023-05-01,2632.501,28399.0,28399.0,0.0,0.0,0.0
2023-06-01,2266.656,24455.0,24455.0,0.0,0.0,0.0
2023-07-01,2146.313,23157.0,23157.0,0.0,0.0,0.0
2023-08-01,2234.031,24100.0,24100.0,0.0,0.0,0.0
2023-09-01,1937.589,20900.0,20900.0,0.0,0.0,0.0
2023-10-01,2197.895,23710.0,23710.0,0.0,0.0,0.0
2023-11-01,2771.816,29905.0,29905.0,0.0,0.0,0.0
2023-12-01,3044.114,32843.0,32843.0,0.0,0.0,0.0
2024-01-01,2788.272,28370.0,28370.0,20.593,212.0,212.0
2024-02-01,2510.841,25542.0,25542.0,19.158,196.0,196.0
2024-03-01,3026.205,30784.0,30784.0,19.923,204.0,204.0
2024-04-01,3188.279,32436.0,32436.0,18.556,188.0,188.0
2024-05-01,1869.022,19016.0,19016.0,20.382,208.0,208.0
2024-06-01,3336.859,33948.0,33948.0,18.947,192.0,192.0
2024-07-01,1957.419,19912.0,19912.0,19.974,204.0,204.0
2024-08-01,2826.641,28753.0,28753.0,20.502,208.0,208.0
2024-09-01,1877.249,19097.0,19097.0,19.326,196.0,196.0
2024-10-01,2980.565,30324.0,30324.0,19.746,200.0,200.0
2024-11-01,2915.746,29661.0,29661.0,19.414,196.0,196.0
2024-12-01,2479.593,25223.0,25223.0,19.788,200.0,200.0
