measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Generation,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Residual Fuel Oil - Total Fuel Consumed,"Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2008-03-01,406.579,5713.0,5713.0,0.0,0.0,0.0,,,,4602.421,64670.0,64670.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-04-01,1075.569,15237.0,15237.0,0.0,0.0,0.0,,,,13818.431,195753.0,195753.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2008-05-01,568.96,7946.0,7946.0,72.962,882.0,882.0,,,,13654.04,190690.0,190690.0,44050.074,532256.0,532256.0,,,,10000.963,120842.0,120842.0
2008-06-01,1565.941,22893.0,22893.0,13.079,162.0,162.0,,,,11322.059,165518.0,165518.0,68890.201,855378.0,855378.0,,,,149.72,1859.0,1859.0
2008-07-01,231.35600000000002,3416.0,3416.0,0.0,0.0,0.0,,,,4583.644,67682.0,67682.0,67773.141,851484.0,851484.0,,,,576.859,7248.0,7248.0
2008-08-01,2499.2670000000003,33953.0,33953.0,18.121000000000002,226.0,226.0,,,,10481.733,142397.0,142397.0,65952.551,823247.0,823247.0,,,,2934.328,36628.0,36628.0
2008-09-01,555.155,8004.0,8004.0,24.019000000000002,302.0,302.0,,,,16555.845,238695.0,238695.0,46433.524,583053.0,583053.0,,,,14486.457,181903.0,181903.0
2008-10-01,157.494,2227.0,2227.0,0.0,0.0,0.0,,,,721.5060000000001,10203.0,10203.0,20215.0,229856.0,229856.0,,,,0.0,0.0,0.0
2008-11-01,724.667,10486.0,10486.0,16.749000000000002,331.0,331.0,,,,3810.333,55138.0,55138.0,311.84200000000004,6155.0,6155.0,,,,157.40900000000002,3107.0,3107.0
2008-12-01,265.97200000000004,3474.0,3474.0,0.0,0.0,0.0,,,,3298.0280000000002,43080.0,43080.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-01-01,644.376,9599.0,9599.0,59.167,679.0,679.0,,,,3272.6240000000003,48751.0,48751.0,2055.777,23578.0,23578.0,,,,2943.056,33755.0,33755.0
2009-02-01,735.4530000000001,11635.0,11635.0,41.387,487.0,487.0,,,,450.547,7128.0,7128.0,0.0,0.0,0.0,,,,4457.613,52475.0,52475.0
2009-03-01,203.372,2917.0,2917.0,0.0,0.0,0.0,,,,2884.628,41380.0,41380.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-04-01,117.488,1607.0,1607.0,0.0,0.0,0.0,,,,9985.512,136548.0,136548.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2009-05-01,1187.284,16805.0,16805.0,74.6,933.0,933.0,,,,14005.716,198238.0,198238.0,45050.324,563599.0,563599.0,,,,1617.076,20230.0,20230.0
2009-06-01,975.253,13959.0,13959.0,45.593,571.0,571.0,,,,7881.747,112814.0,112814.0,25554.792,320017.0,320017.0,,,,199.615,2500.0,2500.0
2009-07-01,237.369,3749.0,3749.0,0.0,0.0,0.0,,,,1030.631,16279.0,16279.0,34890.11,385350.0,385350.0,,,,19.89,220.0,220.0
2009-08-01,601.931,8439.0,8439.0,58.128,711.0,711.0,,,,6235.069,87413.0,87413.0,52719.924,644645.0,644645.0,,,,16.948,207.0,207.0
2009-09-01,33.026,510.0,510.0,28.108,393.0,393.0,,,,3284.974,50710.0,50710.0,9326.741,130279.0,130279.0,,,,123.15100000000001,1720.0,1720.0
2009-10-01,445.72400000000005,6361.0,6361.0,36.07,449.0,449.0,,,,12368.276,176507.0,176507.0,40041.714,497913.0,497913.0,,,,168.216,2092.0,2092.0
2009-11-01,47.306000000000004,664.0,664.0,0.0,0.0,0.0,,,,2680.694,37630.0,37630.0,15204.0,180271.0,180271.0,,,,0.0,0.0,0.0
2009-12-01,26.691000000000003,432.0,432.0,0.0,0.0,0.0,,,,839.3090000000001,13573.0,13573.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2010-01-01,16924.657,214081.0,214081.0,40.504000000000005,453.0,453.0,,,,314.343,3976.0,3976.0,0.0,0.0,0.0,,,,23525.496,263213.0,263213.0
2010-02-01,67.455,1156.0,1156.0,33.749,377.0,377.0,,,,598.5450000000001,10259.0,10259.0,2.561,29.0,29.0,,,,13912.69,155600.0,155600.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,984.0,11226.0,11226.0,0.0,0.0,0.0,,,,7921.0,89177.0,89177.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,333.0,5488.0,5488.0,0.0,49.0,49.0,,,,0.0,0.0,0.0
2010-05-01,196.674,2840.0,2840.0,60.182,752.0,752.0,,,,7028.326,101496.0,101496.0,49055.526,613233.0,613233.0,,,,610.292,7629.0,7629.0
2010-06-01,472.31,6934.0,6934.0,7.952,99.0,99.0,,,,5593.6900000000005,82124.0,82124.0,61669.125,768072.0,768072.0,,,,4945.923000000001,61600.0,61600.0
2010-07-01,406.704,5907.0,5907.0,195.711,2490.0,2490.0,,,,6904.296,100275.0,100275.0,48526.222,617351.0,617351.0,,,,52.067,662.0,662.0
2010-08-01,841.0590000000001,11986.0,11986.0,22.873,286.0,286.0,,,,6661.941000000001,94941.0,94941.0,55362.320999999996,691097.0,691097.0,,,,804.806,10047.0,10047.0
2010-09-01,67.827,973.0,973.0,46.392,600.0,600.0,,,,7054.173000000001,101154.0,101154.0,38051.206,492026.0,492026.0,,,,172.40200000000002,2229.0,2229.0
2010-10-01,0.0,0.0,0.0,14.938,203.0,203.0,,,,1148.0,15578.0,15578.0,46128.142,627842.0,627842.0,,,,178.92000000000002,2435.0,2435.0
2010-11-01,63.992000000000004,897.0,897.0,0.0,0.0,0.0,,,,699.008,9795.0,9795.0,31543.0,398813.0,398813.0,,,,0.0,0.0,0.0
2010-12-01,264.314,3811.0,3811.0,82.894,1019.0,1019.0,,,,4611.686000000001,66496.0,66496.0,7686.071000000001,94520.0,94520.0,,,,16813.035,206759.0,206759.0
2011-01-01,488.176,8099.0,8099.0,26.989,335.0,335.0,,,,113.824,1888.0,1888.0,17765.882,220407.0,220407.0,,,,7695.129,95467.0,95467.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,325.0,4695.0,4695.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-03-01,12.119,227.0,227.0,0.0,0.0,0.0,,,,75.881,1423.0,1423.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-04-01,462.184,6763.0,6763.0,48.457,681.0,681.0,,,,10490.816,153505.0,153505.0,18135.543,254851.0,254851.0,,,,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,29.383,373.0,373.0,,,,7822.0,112617.0,112617.0,44939.573,570573.0,570573.0,,,,183.044,2324.0,2324.0
2011-06-01,51.55,730.0,730.0,16.709,215.0,215.0,,,,5407.45,76553.0,76553.0,54996.182,706107.0,706107.0,,,,72.109,926.0,926.0
2011-07-01,0.0,0.0,0.0,15.472,204.0,204.0,,,,4079.0,52504.0,52504.0,51950.467,684180.0,684180.0,,,,98.061,1291.0,1291.0
2011-08-01,1220.987,17610.0,17610.0,22.873,304.0,304.0,,,,6476.013,93403.0,93403.0,57693.509,765600.0,765600.0,,,,1270.618,16861.0,16861.0
2011-09-01,260.302,3669.0,3669.0,9.69,128.0,128.0,,,,2381.698,33566.0,33566.0,54524.817,720872.0,720872.0,,,,30.493,403.0,403.0
2011-10-01,34.769,622.0,622.0,0.0,0.0,0.0,,,,497.231,8888.0,8888.0,36829.0,466394.0,466394.0,,,,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,4459.0,61552.0,61552.0,35991.0,428824.0,428824.0,,,,0.0,0.0,0.0
2011-12-01,114.226,2157.0,2157.0,44.257,599.0,599.0,,,,166.774,3149.0,3149.0,19319.779,261416.0,261416.0,,,,343.964,4654.0,4654.0
2012-01-01,666.69,9726.0,9726.0,37.804,488.0,488.0,,,,577.31,8422.0,8422.0,38712.714,499690.0,499690.0,,,,183.482,2368.0,2368.0
2012-02-01,0.0,0.0,0.0,22.06,297.0,297.0,,,,171.0,3093.0,3093.0,33554.982,451567.0,451567.0,,,,83.958,1130.0,1130.0
2012-03-01,21.86,319.0,319.0,61.441,806.0,806.0,,,,1191.14,17388.0,17388.0,41713.678,547532.0,547532.0,,,,156.881,2059.0,2059.0
2012-04-01,0.0,0.0,0.0,19.497,244.0,244.0,,,,1971.0,26909.0,26909.0,43667.011,545675.0,545675.0,,,,43.492,543.0,543.0
2012-05-01,60.432,901.0,901.0,17.55,231.0,231.0,,,,1770.568,26386.0,26386.0,48920.781,643673.0,643673.0,,,,129.669,1706.0,1706.0
2012-06-01,0.0,0.0,0.0,9.149,117.0,117.0,,,,147.0,2782.0,2782.0,41795.187,533586.0,533586.0,,,,97.664,1247.0,1247.0
2012-07-01,95.998,1454.0,1454.0,0.0,0.0,0.0,,,,1451.002,21974.0,21974.0,54183.0,725410.0,725410.0,,,,0.0,0.0,0.0
2012-08-01,399.71,5282.0,5282.0,0.0,0.0,0.0,,,,1895.29,25044.0,25044.0,43780.0,570554.0,570554.0,,,,0.0,0.0,0.0
2012-09-01,269.984,3667.0,3667.0,0.0,0.0,0.0,,,,495.016,6724.0,6724.0,44681.0,565950.0,565950.0,,,,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,13.02,164.0,164.0,,,,1267.0,16080.0,16080.0,41765.98,525170.0,525170.0,,,,0.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,136.0,1689.0,1689.0,39568.0,508516.0,508516.0,,,,0.0,0.0,0.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,322.0,6053.0,6053.0,41505.0,528515.0,528515.0,,,,0.0,0.0,0.0
2013-01-01,0.0,0.0,0.0,54.181,685.0,685.0,,,,128.0,2811.0,2811.0,42245.819,533822.0,533822.0,,,,0.0,0.0,0.0
2013-02-01,102.985,1299.0,1299.0,0.0,0.0,0.0,,,,609.015,7683.0,7683.0,28289.0,370458.0,370458.0,,,,0.0,0.0,0.0
2013-03-01,34.581,548.0,548.0,0.0,0.0,0.0,,,,669.419,10614.0,10614.0,25215.0,376227.0,376227.0,,,,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,907.0,13538.0,13538.0,36498.0,482077.0,482077.0,,,,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,723.0,11654.0,11654.0,49160.0,627181.0,627181.0,,,,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1203.0,17118.0,17118.0,52324.0,688708.0,688708.0,,,,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,629.0,10059.0,10059.0,52907.0,697688.0,697688.0,,,,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,335.0,5801.0,5801.0,53466.0,704478.0,704478.0,,,,0.0,0.0,0.0
2013-09-01,836.847,11180.0,11180.0,0.0,0.0,0.0,,,,1112.153,14858.0,14858.0,50208.0,659112.0,659112.0,,,,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,1102.0,15051.0,15051.0,51488.0,672503.0,672503.0,,,,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,223.0,3533.0,3533.0,39714.0,537255.0,537255.0,,,,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,100.0,2546.0,2546.0,41565.0,484569.0,484569.0,,,,0.0,0.0,0.0
2014-01-01,175.913,2836.0,2836.0,0.0,0.0,0.0,,,,577.087,9304.0,9304.0,43398.0,547232.0,547232.0,,,,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,706.0,8736.0,8736.0,38511.0,471980.0,471980.0,,,,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,129.0,2035.0,2035.0,34369.0,450794.0,450794.0,,,,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,682.0,9914.0,9914.0,40474.0,511233.0,511233.0,,,,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,8219.0,8219.0,48272.0,610194.0,610194.0,,,,0.0,0.0,0.0
2014-06-01,111.697,1490.0,1490.0,0.0,0.0,0.0,0.0,0.0,0.0,1086.303,14493.0,14493.0,51219.0,651922.0,651922.0,,,,0.0,0.0,0.0
2014-07-01,988.964,13650.0,13650.0,0.0,0.0,0.0,0.0,0.0,0.0,4187.036,57793.0,57793.0,58977.0,755602.0,755602.0,,,,0.0,0.0,0.0
2014-08-01,1495.446,20794.0,20794.0,0.0,0.0,0.0,0.0,0.0,0.0,5294.554,73618.0,73618.0,52901.0,688250.0,688250.0,,,,0.0,0.0,0.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4145.0,57144.0,57144.0,47112.0,615142.0,615142.0,,,,0.0,0.0,0.0
