measured_on,"Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2012-02-01,4345.6,82628.0,297237.0
2012-03-01,5898.57,112157.0,351579.0
2012-04-01,6793.88,129181.0,333608.0
2012-05-01,6251.65,118870.0,250599.0
2012-06-01,3374.63,44487.0,44487.0
2012-07-01,0.0,0.0,0.0
2012-08-01,1173.7,22317.0,167739.0
2012-09-01,5987.81,113854.0,311953.0
2012-10-01,6376.78,121250.0,318368.0
2012-11-01,6579.51,125104.0,324613.0
2012-12-01,6397.15,121637.0,314272.0
2013-01-01,6583.817,126451.0,358255.0
2013-02-01,6481.065,124477.0,313599.0
2013-03-01,5972.106,114702.0,317414.0
2013-04-01,6051.811,116233.0,352420.0
2013-05-01,6041.247,116030.0,336656.0
2013-06-01,6268.838,120401.0,175724.0
2013-07-01,1785.198,34287.0,35006.0
2013-08-01,1056.33,20288.0,180567.0
2013-09-01,6264.037,120309.0,311991.0
2013-10-01,6094.064,117044.0,329270.0
2013-11-01,4837.031,92902.0,236892.0
2013-12-01,7677.599,147458.0,344248.0
2014-01-01,5747.396,110386.0,253198.0
2014-02-01,5640.802,108339.0,327213.0
2014-03-01,6299.568,120991.0,311299.0
2014-04-01,6112.31,117395.0,396552.0
2014-05-01,6219.863,119461.0,308494.0
2014-06-01,3925.706,73772.0,73772.0
2014-07-01,0.0,0.0,0.0
2014-08-01,965.102,18536.0,64945.0
2014-09-01,5484.273,105333.0,159268.0
2014-10-01,6511.794,125068.0,367698.0
2014-11-01,6284.203,120696.0,282482.0
2014-12-01,6442.653,123740.0,291701.0
2015-01-01,7692.963,147753.0,248214.0
2015-02-01,6900.716,132537.0,230486.0
2015-03-01,7738.097,148620.0,252391.0
2015-04-01,6589.579,126562.0,201663.0
2015-05-01,0.0,0.0,0.0
2015-06-01,0.0,0.0,0.0
2015-07-01,0.0,0.0,0.0
2015-08-01,4426.023,85008.0,87961.0
2015-09-01,6596.301,126691.0,224967.0
2015-10-01,8627.335,165699.0,267057.0
2015-11-01,8268.183,158801.0,258363.0
2015-12-01,8500.576,163265.0,212474.0
2016-01-01,8051.155,47677.0,267900.0
2016-02-01,7426.0,43975.0,181890.0
2016-03-01,8198.081,48547.0,240960.0
2016-04-01,7873.5,46625.0,226484.0
2016-05-01,5847.267,34626.0,53674.0
2016-06-01,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0
2016-08-01,6508.913,38544.0,99960.0
2016-09-01,7750.581,45897.0,201310.0
2016-10-01,8070.361,47791.0,220618.0
2016-11-01,7364.541,43611.0,183845.0
2016-12-01,7708.328,45647.0,231221.0
2017-01-01,7624.782,45152.0,251788.0
2017-02-01,6998.666,41444.0,222009.0
2017-03-01,5099.193,30196.0,333230.0
2017-04-01,7249.305,42929.0,261828.0
2017-05-01,6842.138,40518.0,165985.0
2017-06-01,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0
2017-08-01,3779.741,22383.0,96613.0
2017-09-01,7615.179,45095.0,205296.0
2017-10-01,8441.037,49986.0,245697.0
2017-11-01,8310.436,49212.0,232124.0
2017-12-01,8451.6,50048.0,250717.0
2018-01-01,0.0,50685.0,297360.0
2018-02-01,0.0,45886.0,279774.0
2018-03-01,0.0,50867.0,305172.0
2018-04-01,0.0,48945.0,293598.0
2018-05-01,0.0,46187.0,265032.0
2018-06-01,0.0,17765.0,111600.0
2018-07-01,0.0,0.0,35532.0
2018-08-01,0.0,31231.0,211608.0
2018-09-01,0.0,40853.0,270828.0
2018-10-01,0.0,0.0,220050.0
2018-11-01,0.0,1922.0,229752.0
2018-12-01,0.0,50100.0,287892.0
2019-01-01,0.0,57515.0,348157.0
2019-02-01,0.0,51510.0,299322.0
2019-03-01,0.0,58345.0,335418.0
2019-04-01,0.0,54222.0,323133.0
2019-05-01,0.0,35644.0,195464.0
2019-06-01,0.0,0.0,22831.0
2019-07-01,0.0,0.0,38953.0
2019-08-01,0.0,37970.0,247401.0
2019-09-01,0.0,51521.0,289510.0
2019-10-01,0.0,44748.0,283784.0
2019-11-01,0.0,51078.0,292005.0
2019-12-01,0.0,53489.0,302324.0
2020-01-01,8632.0,49087.0,283765.0
2020-02-01,4501.0,25596.0,118352.0
2020-03-01,0.0,0.0,23001.0
2020-04-01,0.0,0.0,1701.0
2020-05-01,0.0,0.0,0.0
2020-06-01,0.0,0.0,55056.0
2020-07-01,408.0,2320.0,84426.0
2020-08-01,8448.0,48041.0,299471.0
2020-09-01,10035.0,57066.0,322056.0
2020-10-01,9645.0,54848.0,330580.0
2020-11-01,9524.0,54160.0,336590.0
2020-12-01,9744.0,55411.0,334341.0
2021-01-01,10315.0,58658.0,311718.0
2021-02-01,9013.0,51254.0,313948.0
2021-03-01,9366.0,53261.0,306955.0
2021-04-01,2003.0,11390.0,72236.0
2021-05-01,0.0,0.0,45152.0
2021-06-01,0.0,0.0,28766.0
2021-07-01,0.0,0.0,43149.0
2021-08-01,6401.0,36400.0,267208.0
2021-09-01,9289.0,52823.0,298866.0
2021-10-01,9884.0,56207.0,318578.0
2021-11-01,9589.0,54529.0,299414.0
2021-12-01,10033.0,57054.0,288093.0
2022-01-01,9895.0,56270.0,276285.0
2022-02-01,9331.0,53062.0,351522.0
2022-03-01,10254.0,58311.0,312080.0
2022-04-01,9697.0,55144.0,292960.0
2022-05-01,9509.0,54075.0,290441.0
2022-06-01,110.0,626.0,23425.0
2022-07-01,0.0,0.0,53467.0
2022-08-01,5452.0,31004.0,191102.0
2022-09-01,8528.0,48496.0,347029.0
2022-10-01,9840.0,55957.0,316648.0
2022-11-01,9591.0,54541.0,335411.0
2022-12-01,10097.0,57418.0,348176.0
2023-01-01,10257.0,58328.0,308271.0
2023-02-01,8424.712,49889.0,296944.0
2023-03-01,8997.051,53278.0,318444.0
2023-04-01,9021.058,53421.0,306739.0
2023-05-01,9052.748,53608.0,245225.0
2023-06-01,4026.538,23844.0,126243.0
2023-07-01,0.0,0.0,0.0
2023-08-01,6581.896,38976.0,247645.0
2023-09-01,8400.704,49747.0,293672.0
2023-10-01,9011.455,53364.0,315419.0
2023-11-01,8834.76,52317.0,314019.0
2023-12-01,9235.205,54689.0,327446.0
2024-01-01,9356.0,53204.0,290308.0
2024-02-01,7943.0,45169.0,242195.0
2024-03-01,8687.0,49400.0,239073.0
2024-04-01,9419.0,53563.0,301131.0
2024-05-01,9430.0,53625.0,301377.0
2024-06-01,5448.0,30981.0,169258.0
2024-07-01,0.0,0.0,0.0
2024-08-01,1582.0,8996.0,228137.0
2024-09-01,8906.0,50645.0,297403.0
2024-10-01,8967.0,50992.0,306485.0
2024-11-01,8279.0,47080.0,287546.0
2024-12-01,9052.0,51476.0,341884.0
