measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Generation,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Combustion Turbine Part - Other Gases - Total Fuel Consumed,Other Gases - Combined Cycle Steam Part - Other Gases - Generation,Other Gases - Combined Cycle Steam Part - Other Gases - Quantity Consumed For Electricity,Other Gases - Combined Cycle Steam Part - Other Gases - Total Fuel Consumed,"Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Other Gases - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed"
2011-03-01,39096.579,494249.0,543165.0,9774.579,43864.0,43864.0,,,,,,,,,,723.731,7969.0,43465.0,,,
2011-04-01,47018.486,611736.0,653224.0,11730.87,35144.0,35144.0,,,,,,,,,,894.65,9851.0,52498.0,,,
2011-05-01,42177.923,544226.0,585974.0,10648.855,37442.0,37442.0,,,,,,,,,,676.865,7453.0,39626.0,,,
2011-06-01,46361.036,588301.0,644090.0,11766.822,51736.0,51736.0,,,,,,,,,,682.158,7511.0,40339.0,,,
2011-07-01,32373.976,427901.0,449769.0,8015.461,16821.0,16821.0,,,,,,,,,,677.679,7462.0,39449.0,,,
2011-08-01,33768.347,429727.0,469141.0,8446.686,35096.0,35096.0,,,,,,,,,,620.874,6836.0,37064.0,,,
2011-09-01,34425.797,419508.0,478274.0,8805.661,56507.0,56507.0,,,,,,,,,,438.439,4828.0,26627.0,,,
2011-10-01,37001.41,488417.0,514058.0,9935.199,28395.0,28395.0,,,,,,,,,,0.511,6.0,28.0,,,
2011-11-01,42734.226,569671.0,593703.0,11475.1,27220.0,27220.0,,,,,,,,,,0.0,0.0,0.0,,,
2011-12-01,46559.716,613861.0,646850.0,11839.942,29169.0,29169.0,,,,,,,,,,662.388,7293.0,37820.0,,,
2012-01-01,40702.909,549404.0,562284.0,12446.785,35820.0,35820.0,,,,,,,,,,339.755,3741.0,16326.0,,,
2012-02-01,40418.835,544042.0,558360.0,11926.649,32327.0,32327.0,,,,,,,,,,770.651,8486.0,38168.0,,,
2012-03-01,45167.817,582194.0,623964.0,13306.055,61653.0,61653.0,,,,,,,,,,883.105,9724.0,45503.0,,,
2012-04-01,31668.111,352324.0,437474.0,9167.864,97315.0,97315.0,,,,,,,,,,780.456,8593.0,45526.0,,,
2012-05-01,35219.04,467841.0,486528.0,10101.372,31176.0,31176.0,,,,,,,,,,962.448,10597.0,49326.0,,,
2012-06-01,38220.347,509254.0,527988.0,11012.664,32843.0,32843.0,,,,,,,,,,993.996,10945.0,50620.0,,,
2012-07-01,37868.342,500166.0,523126.0,11058.366,38559.0,38559.0,,,,,,,,,,837.714,9224.0,42550.0,,,
2012-08-01,41653.941,566802.0,575422.0,12284.585,27107.0,27107.0,,,,,,,,,,800.715,8817.0,39273.0,,,
2012-09-01,39436.926,535853.0,544795.0,11751.496,27775.0,27775.0,,,,,,,,,,637.344,7018.0,31053.0,,,
2012-10-01,45643.333,601392.0,630532.0,14338.54,59059.0,59059.0,,,,,,,,,,0.0,0.0,0.0,,,
2012-11-01,37683.076,513295.0,520567.0,11837.88,31973.0,31973.0,,,,,,,,,,0.0,0.0,0.0,,,
2012-12-01,53267.023,727416.0,735848.0,16108.922,36472.0,36472.0,,,,,,,,,,624.548,6877.0,29943.0,,,
2013-01-01,42384.15,534164.0,588209.0,9290.732,34820.0,34820.0,,,,,,,0.0,0.0,0.0,647.888,7134.0,43447.0,,,
2013-02-01,37780.53,467372.0,518453.0,8767.04,45157.0,45157.0,,,,,,,0.0,0.0,0.0,700.16,7709.0,45011.0,,,
2013-03-01,41359.83,545914.0,545914.0,16250.28,38296.0,38296.0,,,,,,,0.0,0.0,0.0,1491.02,16417.0,53603.0,,,
2013-04-01,41118.3,495925.0,559445.0,9606.337,62596.0,62596.0,,,,,,,0.0,0.0,0.0,731.923,8059.0,47394.0,,,
2013-05-01,39663.3,557183.0,557183.0,13699.263,24207.0,24207.0,,,,,,,0.0,0.0,0.0,1165.017,12828.0,49443.0,,,
2013-06-01,43650.0,534992.0,534992.0,13687.548,22999.0,22999.0,,,,,,,0.0,0.0,0.0,1040.932,11462.0,42435.0,,,
2013-07-01,40491.68,581959.0,668157.0,15648.699,36194.0,36194.0,,,,,,,0.0,0.0,0.0,1058.581,11656.0,47647.0,,,
2013-08-01,43989.5,591638.0,591638.0,17209.673,44526.0,44526.0,,,,,,,0.0,0.0,0.0,1206.747,13287.0,44608.0,,,
2013-09-01,38485.72,571102.0,582409.0,16679.916,36318.0,36318.0,,,,,,,0.0,0.0,0.0,944.984,10405.0,35053.0,,,
2013-10-01,38557.5,535256.0,535256.0,15410.39,38235.0,38235.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-11-01,38873.72,490849.0,490849.0,12712.151,40502.0,40502.0,,,,,,,0.0,0.0,0.0,98.639,1086.0,4123.0,,,
2013-12-01,37587.5,495660.0,536157.0,10357.471,32255.0,32255.0,,,,,,,0.0,0.0,0.0,876.099,9647.0,48080.0,,,
