measured_on,"Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Gaseous Propane - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed"
2006-09-01,478.81248,5435.32,7061.07,,,,838.88766,9522.77,12371.11,23567.72987,267533.03,347554.23
2006-10-01,472.53253,5364.03,6968.88,,,,935.51036,10619.6,13796.84,23072.7811,261914.53,340275.74
2006-11-01,377.39504,4284.06,5544.0,,,,807.82718,9170.19,11867.12,23483.71378,266579.3,344979.92
2006-12-01,398.37498,4522.22,5851.6,,,,789.44274,8961.49,11595.86,25032.80928,284164.13,367698.6
2007-01-01,20.262,239.0,309.0,,,,37.951,447.0,580.0,26343.787,310145.0,402261.0
2007-02-01,,,,,,,43.323,515.0,689.0,26426.677,314248.0,420135.0
2007-03-01,,,,,,,20.669,245.0,295.0,29751.331,352411.0,425269.0
2007-04-01,,,,,,,19.599,233.0,285.0,28326.400999999998,336831.0,411909.0
2007-05-01,3.5620000000000003,42.0,57.0,,,,18.457,219.0,296.0,21967.981,260341.0,352780.0
2007-06-01,12.397,146.0,169.0,,,,55.054,647.0,751.0,23665.549,278163.0,322612.0
2007-07-01,,,,,,,20.292,237.0,290.0,28433.708,331307.0,406000.0
2007-08-01,,,,,,,18.206,214.0,266.0,27541.794,323818.0,402407.0
2007-09-01,,,,,,,0.0,0.0,0.0,29385.0,344054.0,400714.0
2007-10-01,13.437000000000001,159.0,198.0,,,,40.311,478.0,593.0,23434.252,277868.0,344615.0
2007-11-01,,,,,,,74.87700000000001,888.0,1121.0,18987.123,225281.0,284261.0
2007-12-01,90.87700000000001,1082.0,1362.0,,,,52.596000000000004,626.0,789.0,26268.527000000002,312485.0,393810.0
2008-01-01,0.0,0.0,0.0,,,,1.96,23.0,32.0,29973.04,355759.0,489334.0
2008-02-01,,,,,,,22.058,263.0,324.0,27360.942,325955.0,401896.0
2008-03-01,,,,,,,1700.669,20082.0,29368.0,22515.331,265870.0,388806.0
2008-04-01,,,,,,,522.256,6086.0,8715.0,24940.744,290662.0,416192.0
2008-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,3077.0,36998.0,54339.0
2008-06-01,0.0,0.0,0.0,,,,1160.153,13706.0,18979.0,9933.847,117358.0,162508.0
2008-07-01,0.0,0.0,0.0,,,,440.24100000000004,5222.0,7003.0,26708.759,316819.0,424862.0
2008-08-01,,,,,,,146.554,1739.0,2393.0,29442.446,349265.0,480750.0
2008-09-01,,,,,,,1611.949,19191.0,25766.0,20716.051,246629.0,331133.0
2008-10-01,0.0,0.0,0.0,,,,288.94100000000003,3455.0,4260.0,28241.059,337714.0,416372.0
2008-11-01,,,,,,,1353.4260000000002,15489.0,23449.0,18894.574,216230.0,327361.0
2008-12-01,73.623,887.0,925.0,,,,612.624,7380.0,7697.0,26276.752,316524.0,330141.0
2009-01-01,0.0,0.0,0.0,,,,0.643,8.0,12.0,24541.357,297935.0,457834.0
2009-02-01,0.0,0.0,0.0,,,,1.014,12.0,17.0,22949.986,277502.0,384777.0
2009-03-01,0.0,0.0,0.0,,,,0.751,9.0,11.0,26951.249,326452.0,394652.0
2009-04-01,0.0,0.0,0.0,,,,1.2890000000000001,16.0,19.0,24314.711,294829.0,358471.0
2009-05-01,0.0,0.0,0.0,,,,1.8170000000000002,22.0,22.0,15263.183,183564.0,184824.0
2009-06-01,0.0,0.0,0.0,,,,2.655,32.0,37.0,24819.345,298345.0,345940.0
2009-07-01,0.0,0.0,0.0,,,,3.047,37.0,44.0,29394.953,352257.0,424423.0
2009-08-01,0.0,0.0,0.0,,,,3.1620000000000004,38.0,47.0,28436.838,342178.0,422722.0
2009-09-01,0.0,0.0,0.0,,,,2.635,32.0,37.0,25172.365,302934.0,353423.0
2009-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,28285.0,341846.0,408576.0
2009-11-01,0.0,0.0,0.0,,,,0.935,11.0,13.0,20657.065,249101.0,287091.0
2009-12-01,0.0,0.0,0.0,,,,0.07300000000000001,1.0,1.0,22051.927,268959.0,302440.0
2010-01-01,0.0,0.0,0.0,,,,1.22,15.0,16.0,26742.78,325463.0,350839.0
2010-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,25703.0,313656.0,391115.0
2010-03-01,0.0,0.0,0.0,,,,0.502,6.0,7.0,26746.498,325482.0,373108.0
2010-04-01,0.0,0.0,0.0,,,,2.807,34.0,36.0,23465.193,286594.0,300981.0
2010-05-01,0.0,0.0,0.0,,,,1.058,13.0,14.0,20468.942,244130.0,270965.0
2010-06-01,0.0,0.0,0.0,,,,1.244,15.0,17.0,25021.756,296585.0,341918.0
2010-07-01,0.0,0.0,0.0,,,,0.932,11.0,12.0,28239.068,336506.0,363697.0
2010-08-01,0.0,0.0,0.0,,,,0.909,11.0,12.0,25975.091,309616.0,342801.0
2010-09-01,0.0,0.0,0.0,,,,0.913,11.0,12.0,25764.087,307660.0,338756.0
2010-10-01,0.0,0.0,0.0,,,,1.945,23.0,26.0,24413.055,293182.0,326384.0
2010-11-01,0.0,0.0,0.0,,,,0.683,8.0,9.0,25809.317,310750.0,339873.0
2010-12-01,0.0,0.0,0.0,,,,2.531,30.0,30.0,23394.469,277300.0,277300.0
2011-01-01,,,,0.0,0.0,0.0,1334.411,16438.0,17765.0,23193.589,285713.0,308782.0
2011-02-01,,,,0.0,0.0,0.0,1563.63,19246.0,22858.0,15792.37,194380.0,230864.0
2011-03-01,,,,0.0,0.0,0.0,843.691,10361.0,10802.0,23440.309,287867.0,300107.0
2011-04-01,,,,0.0,0.0,0.0,620.679,7558.0,8502.0,24741.321,301276.0,338892.0
2011-05-01,,,,0.0,0.0,0.0,1782.461,21494.0,27027.0,13433.539,161986.0,203689.0
2011-06-01,,,,0.0,0.0,0.0,0.777,9.0,10.0,28603.223,344988.0,375445.0
2011-07-01,,,,0.0,0.0,0.0,1218.474,14707.0,16618.0,24051.526,290310.0,328020.0
2011-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,28822.0,349903.0,361172.0
2011-09-01,,,,0.0,0.0,0.0,2336.635,28408.0,34888.0,18301.365,222502.0,273256.0
2011-10-01,,,,0.0,0.0,0.0,1480.281,18051.0,20635.0,18999.719,231685.0,264849.0
2011-11-01,,,,0.0,0.0,0.0,2916.637,34731.0,47560.0,10821.363,128859.0,176456.0
2011-12-01,,,,0.0,0.0,0.0,165.423,2015.0,2164.0,28094.577,342137.0,367596.0
2012-01-01,,,,0.0,0.0,0.0,78.412,956.0,1118.0,25836.588,314889.0,368380.0
2012-02-01,,,,0.0,0.0,0.0,160.167,1956.0,2165.0,23204.833,283435.0,313664.0
2012-03-01,,,,0.0,0.0,0.0,64.364,778.0,871.0,26445.636,319846.0,357874.0
2012-04-01,,,,0.0,0.0,0.0,204.664,2486.0,3005.0,22543.336,273865.0,330994.0
2012-05-01,,,,0.0,0.0,0.0,114.408,1385.0,1756.0,20893.592,252856.0,320686.0
2012-06-01,,,,0.0,0.0,0.0,103.032,1248.0,1572.0,24094.968,291842.0,367625.0
2012-07-01,,,,0.0,0.0,0.0,52.382,632.0,806.0,26962.618,325395.0,414876.0
2012-08-01,,,,0.0,0.0,0.0,193.013,2343.0,3198.0,27070.987,328591.0,448534.0
2012-09-01,,,,0.0,0.0,0.0,208.839,2530.0,3310.0,21566.161,261301.0,341813.0
2012-10-01,,,,0.0,0.0,0.0,413.043,5043.0,6734.0,19340.957,236118.0,315324.0
2012-11-01,,,,0.0,0.0,0.0,115.821,1422.0,1802.0,23685.179,290832.0,368505.0
2012-12-01,,,,0.0,0.0,0.0,287.167,3421.0,4654.0,21688.833,258359.0,351503.0
2013-01-01,,,,0.0,0.0,0.0,1307.796,16095.0,22289.0,23002.204,283095.0,392031.0
2013-02-01,,,,0.0,0.0,0.0,545.609,6774.0,9409.0,20783.391,258030.0,358408.0
2013-03-01,,,,0.0,0.0,0.0,1355.977,16067.0,22068.0,22129.023,262208.0,360141.0
2013-04-01,,,,0.0,0.0,0.0,670.399,7926.0,10726.0,22443.601,265338.0,359085.0
2013-05-01,,,,0.0,0.0,0.0,483.732,5623.0,7580.0,18076.268,210128.0,283252.0
2013-06-01,,,,0.0,0.0,0.0,540.657,6322.0,8517.0,24217.343,283162.0,381497.0
2013-07-01,,,,0.0,0.0,0.0,795.545,9358.0,12927.0,23331.455,274437.0,379118.0
2013-08-01,,,,0.0,0.0,0.0,627.527,7429.0,10253.0,24574.473,290916.0,401516.0
2013-09-01,,,,0.0,0.0,0.0,652.713,7608.0,9726.0,24381.287,284181.0,363303.0
2013-10-01,,,,0.0,0.0,0.0,1484.647,17183.0,21929.0,23087.353,267204.0,341012.0
2013-11-01,,,,0.0,0.0,0.0,937.823,10893.0,13729.0,21323.177,247672.0,312155.0
2013-12-01,,,,0.0,0.0,0.0,767.311,9026.0,12009.0,25756.689,302991.0,403112.0
2014-01-01,,,,0.0,0.0,0.0,234.55,2961.0,3930.0,23109.45,291778.0,387211.0
2014-02-01,,,,0.0,0.0,0.0,87.085,1106.0,1462.0,22123.915,281071.0,371420.0
2014-03-01,,,,0.0,0.0,0.0,303.164,3899.0,4908.0,21528.836,276872.0,348536.0
2014-04-01,,,,0.0,0.0,0.0,61.837,787.0,1051.0,22986.163,292472.0,390679.0
2014-05-01,,,,0.0,0.0,0.0,2.661,34.0,43.0,14059.339,177472.0,227227.0
2014-06-01,,,,0.0,0.0,0.0,85.626,1026.0,1369.0,24836.374,297499.0,397088.0
2014-07-01,,,,0.0,0.0,0.0,172.026,1899.0,2689.0,23047.974,254425.0,360271.0
2014-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,29402.0,352526.0,436995.0
2014-09-01,,,,0.0,0.0,0.0,109.359,1317.0,1652.0,24122.641,290398.0,364401.0
2014-10-01,,,,0.0,0.0,0.0,126.864,1538.0,1971.0,25923.136,314296.0,402750.0
2014-11-01,,,,0.0,0.0,0.0,178.262,2174.0,2701.0,18209.738,222047.0,275911.0
2014-12-01,,,,0.0,0.0,0.0,0.13,2.0,2.0,28594.87,359736.0,441443.0
2015-01-01,,,,0.0,0.0,0.0,72.633,885.0,1209.0,25264.367,307886.0,420536.0
2015-02-01,,,,0.0,0.0,0.0,121.358,1481.0,2269.0,21115.642,257771.0,394794.0
2015-03-01,,,,0.0,0.0,0.0,63.614,777.0,1159.0,23801.386,290737.0,433646.0
2015-04-01,,,,0.0,0.0,0.0,220.621,2673.0,3667.0,17903.379,216938.0,297576.0
2015-05-01,,,,0.0,0.0,0.0,45.168,541.0,724.0,28490.832,341126.0,456684.0
2015-06-01,,,,0.0,0.0,0.0,46.484,554.0,770.0,27619.516,329333.0,457511.0
2015-07-01,,,,0.0,0.0,0.0,118.178,1428.0,2079.0,23690.822,286342.0,416773.0
2015-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,28290.0,340239.0,484728.0
2015-09-01,,,,0.0,0.0,0.0,258.597,3110.0,4433.0,19577.403,235460.0,335606.0
2015-10-01,,,,0.0,0.0,0.0,64.424,775.0,1047.0,25867.576,310989.0,420389.0
2015-11-01,,,,0.0,0.0,0.0,118.896,1427.0,1974.0,25349.104,304309.0,420865.0
2015-12-01,,,,0.0,0.0,0.0,75.216,907.0,1212.0,25845.784,311639.0,416468.0
2016-01-01,,,,0.0,0.0,0.0,279.277,4369.0,4369.0,24925.723,389938.0,389938.0
2016-02-01,,,,0.0,0.0,0.0,101.673,1678.0,1678.0,26550.327,438186.0,438186.0
2016-03-01,,,,0.0,0.0,0.0,5.418,85.0,85.0,27483.582,431145.0,431145.0
2016-04-01,,,,0.0,0.0,0.0,295.642,4359.0,4359.0,21448.358,316239.0,316239.0
2016-05-01,,,,0.0,0.0,0.0,238.816,3266.0,3266.0,15296.184,209187.0,209187.0
2016-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,28893.0,398200.0,398200.0
2016-07-01,,,,0.0,0.0,0.0,447.004,6429.0,6429.0,23619.996,339712.0,339712.0
2016-08-01,,,,0.0,0.0,0.0,215.224,3616.0,3616.0,25021.776,420394.0,420394.0
2016-09-01,,,,0.0,0.0,0.0,36.902,544.0,544.0,28186.098,415515.0,415515.0
2016-10-01,,,,0.0,0.0,0.0,178.513,2646.0,2646.0,27617.487,409358.0,409358.0
2016-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,28848.0,376223.0,376223.0
2016-12-01,,,,0.0,0.0,0.0,799.698,11613.0,11613.0,27107.302,393645.0,393645.0
2017-01-01,,,,0.0,0.0,0.0,192.199,2880.0,2880.0,26023.801,389953.0,389953.0
2017-02-01,,,,0.0,0.0,0.0,47.245,692.0,692.0,25182.755,368851.0,368851.0
2017-03-01,,,,0.0,0.0,0.0,549.59,7967.0,7967.0,26730.41,387491.0,387491.0
2017-04-01,,,,0.0,0.0,0.0,33.23,464.0,464.0,27719.77,387057.0,387057.0
2017-05-01,,,,0.0,0.0,0.0,51.244,707.0,707.0,28419.756,392098.0,392098.0
2017-06-01,,,,0.0,0.0,0.0,98.606,1377.0,1377.0,25047.394,349779.0,349779.0
2017-07-01,,,,0.0,0.0,0.0,95.274,1392.0,1392.0,26368.726,385259.0,385259.0
2017-08-01,,,,0.0,0.0,0.0,69.281,971.0,971.0,25947.719,363668.0,363668.0
2017-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,28320.0,394868.0,394868.0
2017-10-01,,,,0.0,0.0,0.0,321.411,4790.0,4790.0,17605.589,262377.0,262377.0
2017-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,27926.0,370799.0,370799.0
2017-12-01,,,,0.0,0.0,0.0,28.807,397.0,397.0,28671.193,395123.0,395123.0
2018-01-01,,,,0.0,0.0,0.0,295.667,4348.0,4348.0,23134.333,340207.0,340207.0
2018-02-01,,,,0.0,0.0,0.0,336.399,5707.0,5707.0,22632.601,383961.0,383961.0
2018-03-01,,,,0.0,0.0,0.0,0.735,11.0,11.0,27147.265,406193.0,406193.0
2018-04-01,,,,0.0,0.0,0.0,158.548,2561.0,2561.0,23644.452,381925.0,381925.0
2018-05-01,,,,0.0,0.0,0.0,104.087,1643.0,1643.0,19791.913,312412.0,312412.0
2018-06-01,,,,0.0,0.0,0.0,216.795,3664.0,3712.0,20163.205,340814.0,345237.0
2018-07-01,,,,0.0,0.0,0.0,380.255,5278.0,5278.0,24391.745,338562.0,338562.0
2018-08-01,,,,0.0,0.0,0.0,383.115,6575.0,6637.0,22170.885,380509.0,384083.0
2018-09-01,,,,0.0,0.0,0.0,194.418,3274.0,3274.0,24147.582,406644.0,406644.0
2018-10-01,,,,0.0,0.0,0.0,230.77,3973.0,4315.0,10837.23,186580.0,202638.0
2018-11-01,,,,0.0,0.0,0.0,755.528,12786.0,12786.0,19676.472,332990.0,332990.0
2018-12-01,,,,0.0,0.0,0.0,215.863,3141.0,3141.0,25619.137,372782.0,372782.0
2019-01-01,,,,0.0,0.0,0.0,824.627,13248.0,13248.0,13300.373,213676.0,213676.0
2019-02-01,,,,0.0,0.0,0.0,299.981,5252.0,5725.0,14313.019,250574.0,273157.0
2019-03-01,,,,0.0,0.0,0.0,151.642,2654.0,3263.0,5804.358,101604.0,124897.0
2019-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,,,,0.0,0.0,0.0,110.824,1956.0,2165.0,10579.176,186757.0,206669.0
2019-08-01,,,,0.0,0.0,0.0,429.679,7081.0,7081.0,21727.321,358061.0,358061.0
2019-09-01,,,,0.0,0.0,0.0,90.345,1505.0,1505.0,3027.655,50436.0,50436.0
2019-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,,,,0.0,0.0,0.0,38.64,676.0,2105.0,139.36,2439.0,7592.0
2019-12-01,,,,0.0,0.0,0.0,1946.748,38510.0,38510.0,8411.252,166389.0,166389.0
2020-01-01,,,,0.0,0.0,0.0,886.956,15207.0,15207.0,14868.044,254915.0,254915.0
2020-02-01,,,,0.0,0.0,0.0,796.039,13742.0,13742.0,12142.961,209624.0,209624.0
2020-03-01,,,,0.0,0.0,0.0,239.398,3950.0,3950.0,10493.602,173142.0,173142.0
2020-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,,,,0.0,0.0,0.0,286.47,4420.0,4420.0,1884.53,29077.0,29077.0
2020-08-01,,,,0.0,0.0,0.0,49.875,841.0,1729.0,82.125,1384.0,2847.0
2020-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,,,,0.0,0.0,0.0,190.413,3323.0,3358.0,450.587,7863.0,7946.0
2021-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,,,,0.0,0.0,0.0,413.39,7662.0,8432.0,1017.61,18862.0,20756.0
2022-01-01,,,,0.0,0.0,0.0,505.351,9316.0,10236.0,4295.649,79188.0,87009.0
2022-02-01,,,,0.0,0.0,0.0,644.51,12237.0,12899.0,3472.49,65928.0,69497.0
2022-03-01,,,,0.0,0.0,0.0,1112.372,20426.0,20475.0,4867.628,89381.0,89597.0
2022-04-01,,,,0.0,0.0,0.0,356.896,6663.0,8268.0,1492.104,27857.0,34567.0
2022-05-01,,,,0.0,0.0,0.0,883.823,14843.0,14843.0,13675.177,229662.0,229662.0
2022-06-01,,,,0.0,0.0,0.0,832.541,14393.0,15437.0,10912.459,188651.0,202339.0
2022-07-01,,,,0.0,0.0,0.0,846.642,14791.0,15911.0,15243.358,266299.0,286469.0
2022-08-01,,,,0.0,0.0,0.0,541.391,9482.0,9743.0,14066.609,246359.0,253146.0
2022-09-01,,,,0.0,0.0,0.0,619.458,9797.0,14168.0,5714.542,90382.0,130701.0
2022-10-01,,,,0.0,0.0,0.0,1544.249,27569.0,38539.0,6178.751,110306.0,154200.0
2022-11-01,,,,0.0,0.0,0.0,697.613,12519.0,14869.0,5636.387,101145.0,120135.0
2022-12-01,,,,0.0,0.0,0.0,658.655,11720.0,14190.0,11215.345,199571.0,241622.0
2023-01-01,,,,0.0,0.0,0.0,863.202,14245.0,14245.0,16997.798,280506.0,280506.0
2023-02-01,,,,0.0,0.0,0.0,988.9,17817.0,20587.0,12038.1,216885.0,250610.0
2023-03-01,,,,0.0,0.0,0.0,313.245,5601.0,5946.0,17503.755,312976.0,332255.0
2023-04-01,,,,0.0,0.0,0.0,129.316,2340.0,2535.0,4160.684,75305.0,81563.0
2023-05-01,,,,0.0,0.0,0.0,628.252,11444.0,12289.0,13055.748,237810.0,255379.0
2023-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,,,,0.0,0.0,0.0,348.394,6121.0,8735.0,2411.606,42373.0,60464.0
2023-09-01,,,,0.0,0.0,0.0,629.709,12334.0,12416.0,4927.291,96509.0,97152.0
2023-10-01,,,,0.0,0.0,0.0,840.898,15219.0,18959.0,9310.102,168495.0,209907.0
2023-11-01,,,,0.0,0.0,0.0,640.01,11869.0,14390.0,7021.99,130219.0,157883.0
2023-12-01,,,,0.0,0.0,0.0,1092.014,19603.0,24759.0,9816.986,176231.0,222578.0
2024-01-01,,,,0.0,0.0,0.0,663.111,14220.0,14525.0,3286.889,70486.0,71997.0
