measured_on,"Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Agricultural By-Products - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2014-07-01,12673.485,189036.0,189036.0,53.515,798.0,798.0
2014-08-01,11677.505,174324.0,174324.0,36.495,545.0,545.0
2014-09-01,13576.198,147084.0,147084.0,51.802,561.0,561.0
2014-10-01,13422.714,181284.0,181284.0,32.286,436.0,436.0
2014-11-01,12109.251,172236.0,172236.0,32.749,466.0,466.0
2014-12-01,14517.544,202308.0,202308.0,22.456,313.0,313.0
2015-01-01,12458.201,185292.0,185292.0,23.799,354.0,354.0
2015-02-01,12344.714,174816.0,174816.0,25.286,358.0,358.0
2015-03-01,4142.643,56376.0,56376.0,73.357,998.0,998.0
2015-04-01,3630.189,51972.0,51972.0,7.811,112.0,112.0
2015-05-01,5568.168,84024.0,84024.0,35.832,541.0,541.0
2015-06-01,15918.955,223392.0,223392.0,5.045,71.0,71.0
2015-07-01,17201.893,239148.0,239148.0,21.107,293.0,293.0
2015-08-01,14841.018,206244.0,206244.0,38.982,542.0,542.0
2015-09-01,18016.846,239472.0,239472.0,22.154,294.0,294.0
2015-10-01,14689.726,179496.0,179496.0,36.274,443.0,443.0
2015-11-01,17959.481,240852.0,240852.0,3.519,47.0,47.0
2015-12-01,16906.27,234468.0,234468.0,37.73,523.0,523.0
2016-01-01,16872.913,231456.0,231456.0,32.087,440.0,440.0
2016-02-01,17389.597,237756.0,237756.0,5.403,74.0,74.0
2016-03-01,11239.816,168528.0,168528.0,51.184,767.0,767.0
2016-04-01,17846.706,244572.0,244572.0,3.294,45.0,45.0
2016-05-01,16074.053,204540.0,204540.0,23.947,305.0,305.0
2016-06-01,17849.276,254988.0,254988.0,1.724,25.0,25.0
2016-07-01,16739.031,229308.0,229308.0,3.969,54.0,54.0
2016-08-01,17161.944,242556.0,242556.0,39.056,552.0,552.0
2016-09-01,17797.0,248232.0,248232.0,0.0,0.0,0.0
2016-10-01,14068.681,199272.0,199272.0,38.319,543.0,543.0
2016-11-01,17716.0,238512.0,238512.0,0.0,0.0,0.0
2016-12-01,15418.646,216768.0,216768.0,60.354,849.0,849.0
2017-01-01,17556.068,242364.0,242364.0,1.932,27.0,27.0
2017-02-01,14258.443,194208.0,194208.0,24.557,334.0,334.0
2017-03-01,17481.859,254232.0,254232.0,0.141,2.0,2.0
2017-04-01,11379.565,152532.0,152532.0,36.435,488.0,488.0
2017-05-01,15255.415,212604.0,212604.0,127.585,1778.0,1778.0
2017-06-01,17349.545,234864.0,234864.0,0.455,6.0,6.0
2017-07-01,16665.708,227376.0,227376.0,34.292,468.0,468.0
2017-08-01,17033.477,229188.0,229188.0,10.523,142.0,142.0
2017-09-01,16094.857,230220.0,230220.0,0.143,2.0,2.0
2017-10-01,9257.773,130764.0,130764.0,82.227,1161.0,1161.0
2017-11-01,17062.143,224172.0,224172.0,5.857,77.0,77.0
2017-12-01,17417.596,230436.0,230436.0,2.404,32.0,32.0
2018-01-01,15330.786,222276.0,222276.0,76.214,1105.0,1105.0
2018-02-01,15412.438,206280.0,206280.0,15.562,208.0,208.0
2018-03-01,6617.263,95820.0,95820.0,120.737,1748.0,1748.0
2018-04-01,7436.136,122940.0,122940.0,150.864,2494.0,2494.0
2018-05-01,12241.888,184944.0,184944.0,6.112,92.0,92.0
2018-06-01,7558.629,102420.0,102420.0,44.371,601.0,601.0
2018-07-01,18160.851,250272.0,250272.0,0.149,2.0,2.0
2018-08-01,16787.305,220536.0,220536.0,25.695,338.0,338.0
2018-09-01,17914.0,229392.0,229392.0,0.0,0.0,0.0
2018-10-01,15592.741,202236.0,202236.0,37.259,483.0,483.0
2018-11-01,13504.404,187356.0,187356.0,65.596,910.0,910.0
2018-12-01,19114.155,255084.0,255084.0,2.845,38.0,38.0
2019-01-01,16687.477,226800.0,226800.0,126.523,1720.0,1720.0
2019-02-01,16952.962,229812.0,229812.0,73.038,990.0,990.0
2019-03-01,16927.205,244548.0,244548.0,47.795,690.0,690.0
2019-04-01,18046.0,235332.0,235332.0,0.0,0.0,0.0
2019-05-01,9135.733,111420.0,111420.0,152.267,1857.0,1857.0
2019-06-01,18049.398,243168.0,243168.0,16.602,224.0,224.0
2019-07-01,17644.822,238584.0,238584.0,54.178,733.0,733.0
2019-08-01,18686.506,251688.0,251688.0,4.494,61.0,61.0
2019-09-01,15710.724,210144.0,210144.0,11.276,151.0,151.0
2019-10-01,8912.498,129480.0,129480.0,112.502,1634.0,1634.0
2019-11-01,16255.082,214848.0,214848.0,58.918,779.0,779.0
2019-12-01,14545.803,187224.0,187224.0,78.197,1007.0,1007.0
2020-01-01,16233.989,210792.0,210792.0,73.011,948.0,948.0
2020-02-01,15059.892,194988.0,194988.0,64.108,830.0,830.0
2020-03-01,14879.795,207732.0,207732.0,30.205,422.0,422.0
2020-04-01,10074.043,138648.0,138648.0,68.957,949.0,949.0
2020-05-01,18472.639,247008.0,247008.0,9.361,125.0,125.0
2020-06-01,17217.967,218196.0,218196.0,33.033,419.0,419.0
2020-07-01,17881.954,246744.0,246744.0,12.046,166.0,166.0
2020-08-01,14432.253,175452.0,175452.0,85.747,1042.0,1042.0
2020-09-01,15387.603,191916.0,191916.0,46.397,579.0,579.0
2020-10-01,1032.925,14172.0,14172.0,0.075,1.0,1.0
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,5447.0,75168.0,75168.0,0.0,0.0,0.0
2021-01-01,18722.0,258360.0,258360.0,0.0,0.0,0.0
2021-02-01,16779.926,231564.0,231564.0,0.074,1.0,1.0
2021-03-01,18272.427,255156.0,255156.0,20.573,287.0,287.0
2021-04-01,12534.02,168156.0,168156.0,42.98,577.0,577.0
2021-05-01,16239.843,217008.0,217008.0,81.157,1084.0,1084.0
2021-06-01,17361.937,220032.0,220032.0,12.063,153.0,153.0
2021-07-01,15876.707,218904.0,218904.0,80.293,1107.0,1107.0
2021-08-01,17622.383,237708.0,237708.0,6.617,89.0,89.0
2021-09-01,16132.926,225324.0,225324.0,62.074,867.0,867.0
2021-10-01,14175.932,208020.0,208020.0,10.068,148.0,148.0
2021-11-01,11859.813,163644.0,163644.0,10.187,141.0,141.0
2021-12-01,16405.043,225384.0,225384.0,44.957,618.0,618.0
2022-01-01,18593.099,260892.0,260892.0,1.901,27.0,27.0
2022-02-01,16532.685,232248.0,232248.0,1.315,18.0,18.0
2022-03-01,14272.823,200832.0,200832.0,89.177,1255.0,1255.0
2022-04-01,14289.465,200616.0,200616.0,1.535,22.0,22.0
2022-05-01,314.996,4224.0,4224.0,85.004,1140.0,1140.0
2022-06-01,14324.561,212136.0,212136.0,43.439,643.0,643.0
2022-07-01,14960.736,221040.0,221040.0,8.264,122.0,122.0
2022-08-01,12984.307,201996.0,201996.0,3.693,57.0,57.0
2022-09-01,12923.447,196608.0,196608.0,7.553,115.0,115.0
2022-10-01,13075.928,187236.0,187236.0,0.072,1.0,1.0
2022-11-01,54.699,720.0,720.0,52.301,688.0,688.0
2022-12-01,11924.932,178872.0,178872.0,0.068,1.0,1.0
2023-01-01,4615.923,69120.0,69120.0,25.077,376.0,376.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,6244.741,110208.0,110208.0,152.259,2687.0,2687.0
2023-07-01,12574.357,189360.0,189360.0,51.643,778.0,778.0
2023-08-01,12162.66,183360.0,183360.0,0.34,5.0,5.0
2023-09-01,9944.867,155820.0,155820.0,22.133,347.0,347.0
2023-10-01,7246.921,112860.0,112860.0,38.079,593.0,593.0
2023-11-01,5736.371,79752.0,79752.0,39.629,551.0,551.0
2023-12-01,15523.911,214476.0,214476.0,64.089,885.0,885.0
2024-01-01,8610.285,126864.0,126864.0,27.715,408.0,408.0
2024-02-01,11059.152,157548.0,157548.0,85.848,1223.0,1223.0
2024-03-01,851.706,12156.0,12156.0,1.294,18.0,18.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,4192.998,58224.0,58224.0,58.002,805.0,805.0
2024-06-01,15381.44,214056.0,214056.0,22.56,314.0,314.0
2024-07-01,16797.504,235788.0,235788.0,15.496,218.0,218.0
2024-08-01,17336.02,241308.0,241308.0,3.98,55.0,55.0
2024-09-01,17431.977,244740.0,244740.0,1.023,14.0,14.0
2024-10-01,12711.881,178380.0,178380.0,36.119,507.0,507.0
2024-11-01,9809.492,137412.0,137412.0,118.508,1660.0,1660.0
2024-12-01,17411.884,244440.0,244440.0,5.116,72.0,72.0
