measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Other - Natural Gas - Generation,Natural Gas - Other - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Other - Natural Gas - Total Fuel Consumed
2006-03-01,24485.351000000002,224410.43,262058.94,7087.4980000000005,0.0,0.0,,,
2006-04-01,23329.688000000002,213818.68,249690.24,6752.982,0.0,0.0,,,
2006-05-01,27192.675,249223.3,291034.57,7871.157,0.0,0.0,,,
2006-06-01,28822.924,264164.68,308482.61,8343.047,0.0,0.0,,,
2006-07-01,32453.341,297437.78,347337.81,9393.903,0.0,0.0,,,
2006-08-01,33526.277,307271.33,358821.1,9704.473,0.0,0.0,,,
2006-09-01,27298.32,250191.54,292165.25,7901.737,0.0,0.0,,,
2006-10-01,28616.482,262272.62,306273.13,8283.29,0.0,0.0,,,
2006-11-01,24172.808,221545.95,258713.9,6997.03,0.0,0.0,,,
2006-12-01,27107.16,248439.54,290119.33,7846.404,0.0,0.0,,,
2007-01-01,18627.388,160542.0,199255.0,5839.7390000000005,17088.0,17088.0,,,
2007-02-01,18774.13,161806.0,200825.0,5885.743,17223.0,17223.0,,,
2007-03-01,18705.811,161217.0,200094.0,5864.325000000001,17160.0,17160.0,,,
2007-04-01,24802.795,213764.0,265313.0,7775.747,22753.0,22753.0,,,
2007-05-01,26595.175,229213.0,284486.0,8337.663,24398.0,24398.0,,,
2007-06-01,27249.347999999998,234850.0,291484.0,8542.748,24998.0,24998.0,,,
2007-07-01,30170.358,260025.0,322730.0,9458.493,27677.0,27677.0,,,
2007-08-01,32406.589,279300.0,346650.0,10159.558,29728.0,29728.0,,,
2007-09-01,30083.881,259280.0,321805.0,9431.382,27598.0,27598.0,,,
2007-10-01,29665.586000000003,255676.0,317330.0,9300.246000000001,27213.0,27213.0,,,
2007-11-01,23832.261,205401.0,254931.0,7471.482,21862.0,21862.0,,,
2007-12-01,23096.677,199060.0,247063.0,7240.874000000001,21188.0,21188.0,,,
2008-01-01,21310.771,204582.0,238329.0,6411.372,0.0,0.0,0.0,0.0,13740.0
2008-02-01,19820.801,190279.0,221668.0,5963.112,0.0,0.0,0.0,0.0,12780.0
2008-03-01,23526.104,225850.0,263106.0,7077.857,0.0,0.0,0.0,0.0,15169.0
2008-04-01,25569.074,245462.0,285954.0,7692.487,0.0,0.0,0.0,0.0,16486.0
2008-05-01,29089.91,279262.0,325329.0,8751.735,0.0,0.0,0.0,0.0,18757.0
2008-06-01,31660.149,303936.0,354074.0,9524.994,0.0,0.0,0.0,0.0,20414.0
2008-07-01,31079.524,298362.0,347580.0,9350.313,0.0,0.0,0.0,0.0,20040.0
2008-08-01,34901.173,335049.0,390320.0,10500.06,0.0,0.0,0.0,0.0,22504.0
2008-09-01,31579.482,303161.0,353171.0,9500.726,0.0,0.0,0.0,0.0,20362.0
2008-10-01,27365.571,262708.0,306045.0,8232.966,0.0,0.0,0.0,0.0,17645.0
2008-11-01,21860.574,209860.0,244479.0,6576.78,0.0,0.0,0.0,0.0,14095.0
2008-12-01,19898.867,191028.0,222540.0,5986.598,0.0,0.0,0.0,0.0,12830.0
2009-01-01,16586.545,156950.0,186542.0,5025.868,0.0,0.0,0.0,0.0,11144.0
2009-02-01,15939.286,150826.0,179265.0,4829.743,0.0,0.0,0.0,0.0,10709.0
2009-03-01,18471.034,174782.0,207738.0,5596.885,0.0,0.0,0.0,0.0,12410.0
2009-04-01,19997.153,189223.0,224902.0,6059.312,0.0,0.0,0.0,0.0,13435.0
2009-05-01,23568.055,223013.0,265062.0,7141.327,0.0,0.0,0.0,0.0,15834.0
2009-06-01,26198.536,247903.0,294647.0,7938.386,0.0,0.0,0.0,0.0,17602.0
2009-07-01,26835.308,253928.0,301809.0,8131.3330000000005,0.0,0.0,0.0,0.0,18030.0
2009-08-01,27506.986,260284.0,309363.0,8334.857,0.0,0.0,0.0,0.0,18481.0
2009-09-01,27641.543,261558.0,310876.0,8375.629,0.0,0.0,0.0,0.0,18571.0
2009-10-01,24894.463,235564.0,279980.0,7543.24,0.0,0.0,0.0,0.0,16725.0
2009-11-01,20455.523,193560.0,230057.0,6198.202,0.0,0.0,0.0,0.0,13743.0
2009-12-01,17564.568,166205.0,197543.0,5322.218,0.0,0.0,0.0,0.0,11801.0
2010-01-01,18109.850000000002,174571.0,206910.0,5441.7,0.0,0.0,,,
2010-02-01,18671.545,179986.0,213329.0,5610.4800000000005,0.0,0.0,,,
2010-03-01,23300.694,224609.0,266218.0,7001.46,0.0,0.0,,,
2010-04-01,23707.439,228530.0,270866.0,7123.68,0.0,0.0,,,
2010-05-01,20853.766,201021.0,238262.0,6266.2,0.0,0.0,,,
2010-06-01,25434.493000000002,245178.0,290599.0,7642.63,0.0,0.0,,,
2010-07-01,24407.945,235282.0,278870.0,7334.17,0.0,0.0,,,
2010-08-01,23736.493000000002,228810.0,271198.0,7132.41,0.0,0.0,,,
2010-09-01,23939.865,230770.0,273522.0,7193.52,0.0,0.0,,,
2010-10-01,15394.986,148401.0,175894.0,4625.93,0.0,0.0,,,
2010-11-01,19959.572,192402.0,228046.0,5997.51,0.0,0.0,,,
2010-12-01,19475.352,187734.0,222513.0,5852.01,0.0,0.0,,,
2011-01-01,15603.372,157192.0,176076.0,4541.54,0.0,0.0,,,
2011-02-01,15120.141,152323.0,170622.0,4400.89,0.0,0.0,,,
2011-03-01,18429.442,185662.0,207965.0,5364.1,0.0,0.0,,,
2011-04-01,25884.534,260766.0,292092.0,7533.99,0.0,0.0,,,
2011-05-01,24934.735,251197.0,281374.0,7257.54,0.0,0.0,,,
2011-06-01,23511.702,236861.0,265315.0,6843.35,0.0,0.0,,,
2011-07-01,24348.192,245289.0,274755.0,7086.82,0.0,0.0,,,
2011-08-01,25707.905,258987.0,290098.0,7482.58,0.0,0.0,,,
2011-09-01,24648.129,248311.0,278140.0,7174.12,0.0,0.0,,,
2011-10-01,7718.37,77757.0,87097.0,2246.52,0.0,0.0,,,
2011-11-01,18992.656,191336.0,214321.0,5528.03,0.0,0.0,,,
2011-12-01,19785.822,199326.0,223271.0,5758.89,0.0,0.0,,,
2012-01-01,16124.695,153151.0,181155.0,4832.54,0.0,0.0,,,
2012-02-01,16415.988,155918.0,184429.0,4919.84,0.0,0.0,,,
2012-03-01,17827.142,169321.0,200282.0,5342.76,0.0,0.0,,,
2012-04-01,22536.382,214048.0,253189.0,6754.11,0.0,0.0,,,
2012-05-01,27792.605,263972.0,312241.0,8329.39,0.0,0.0,,,
2012-06-01,24649.875,234122.0,276934.0,7387.52,0.0,0.0,,,
2012-07-01,25106.235,238456.0,282061.0,7524.29,0.0,0.0,,,
2012-08-01,25588.487,243037.0,287479.0,7668.82,0.0,0.0,,,
2012-09-01,21885.827,207869.0,245880.0,6559.14,0.0,0.0,,,
2012-10-01,12085.43,114786.0,135776.0,3621.98,0.0,0.0,,,
2012-11-01,17212.19,163480.0,193373.0,5158.46,0.0,0.0,,,
2012-12-01,20180.144,191669.0,226718.0,6047.95,0.0,0.0,,,
2013-01-01,20823.96,165137.0,219288.0,2409.48,0.0,0.0,,,
2013-02-01,17632.66,157008.0,187012.0,4457.15,0.0,0.0,,,
2013-03-01,18698.69,166343.0,200883.0,4704.5,0.0,0.0,,,
2013-04-01,23993.92,217149.0,252375.0,6557.2,0.0,0.0,,,
2013-05-01,25459.59,231744.0,266684.0,7145.02,0.0,0.0,,,
2013-06-01,21290.53,195231.0,224939.0,6176.96,0.0,0.0,,,
2013-07-01,26879.67,248829.0,281158.0,8128.6,0.0,0.0,,,
2013-08-01,26080.39,240259.0,273908.0,7722.17,0.0,0.0,,,
2013-09-01,6410.73,58962.0,67341.0,1884.71,0.0,0.0,,,
2013-10-01,19801.58,179622.0,209966.0,5469.83,0.0,0.0,,,
2013-11-01,15198.93,138061.0,167158.0,4225.32,0.0,0.0,,,
2013-12-01,13703.19,123569.0,144555.0,3682.12,0.0,0.0,,,
2014-01-01,21087.8,193914.0,226280.0,6194.42,0.0,0.0,,,
2014-02-01,21267.25,189605.0,224789.0,5408.72,0.0,0.0,,,
2014-03-01,21239.12,188350.0,226384.0,5260.31,0.0,0.0,,,
2014-04-01,21876.41,196437.0,228267.0,5760.83,0.0,0.0,,,
2014-05-01,24661.28,223119.0,258787.0,6729.86,0.0,0.0,,,
2014-06-01,26174.48,239707.0,273791.0,7550.48,0.0,0.0,,,
2014-07-01,26416.98,243189.0,275207.0,7797.83,0.0,0.0,,,
2014-08-01,26495.55,244719.0,276709.0,7934.6,0.0,0.0,,,
2014-09-01,12004.72,110980.0,125949.0,3609.37,0.0,0.0,,,
2014-10-01,8489.44,77025.0,93074.0,2347.4,0.0,0.0,,,
2014-11-01,20180.85,183772.0,213298.0,5674.5,0.0,0.0,,,
2014-12-01,19335.98,178015.0,203457.0,5709.42,0.0,0.0,,,
2015-01-01,22111.15,203062.0,230900.0,6458.26,0.0,0.0,,,
2015-02-01,22161.59,197396.0,231268.0,5610.48,0.0,0.0,,,
2015-03-01,22516.61,201098.0,235482.0,5776.35,0.0,0.0,,,
2015-04-01,21993.78,194010.0,226539.0,5302.02,0.0,0.0,,,
2015-05-01,25521.67,229820.0,262257.0,6812.31,0.0,0.0,,,
2015-06-01,29524.86,269002.0,303399.0,8321.63,0.0,0.0,,,
2015-07-01,28109.63,259363.0,289257.0,8380.8,0.0,0.0,,,
2015-08-01,29845.93,273917.0,306954.0,8692.17,0.0,0.0,,,
2015-09-01,12719.61,115696.0,130774.0,3557.96,0.0,0.0,,,
2015-10-01,20160.48,179581.0,222305.0,5105.11,0.0,0.0,,,
2015-11-01,32874.27,293167.0,351080.0,8372.07,0.0,0.0,,,
2015-12-01,29455.02,263438.0,313649.0,7608.68,0.0,0.0,,,
2016-01-01,24988.17,231142.0,261103.0,6553.32,0.0,0.0,,,
2016-02-01,25274.32,237795.0,265242.0,7175.09,0.0,0.0,,,
2016-03-01,31932.4,299154.0,331070.0,8890.05,0.0,0.0,,,
2016-04-01,30775.19,286636.0,318662.0,8339.09,0.0,0.0,,,
2016-05-01,32620.13,305040.0,339840.0,9005.48,0.0,0.0,,,
2016-06-01,30943.0,292437.0,325681.0,8962.8,0.0,0.0,,,
2016-07-01,32007.09,302424.0,336350.0,9261.56,0.0,0.0,,,
2016-08-01,31504.63,297221.0,329380.0,9053.98,0.0,0.0,,,
2016-09-01,18527.0,174659.0,194153.0,5306.87,0.0,0.0,,,
2016-10-01,25368.41,238200.0,267037.0,7136.29,0.0,0.0,,,
2016-11-01,30320.26,283473.0,312474.0,8362.37,0.0,0.0,,,
2016-12-01,29507.4,273138.0,306638.0,7764.85,0.0,0.0,,,
2017-01-01,31642.37,290390.0,328255.0,7984.07,0.0,0.0,,,
2017-02-01,26331.62,242991.0,274125.0,6826.86,0.0,0.0,,,
2017-03-01,31728.7,291001.0,330480.0,7981.16,0.0,0.0,,,
2017-04-01,30991.5,287432.0,322422.0,8231.42,0.0,0.0,,,
2017-05-01,31885.84,296496.0,334089.0,8573.83,0.0,0.0,,,
2017-06-01,30131.11,283402.0,312457.0,8541.82,0.0,0.0,,,
2017-07-01,31429.94,296965.0,323305.0,9093.75,0.0,0.0,,,
2017-08-01,30915.84,292814.0,316820.0,9041.37,0.0,0.0,,,
2017-09-01,13031.95,123955.0,141698.0,3882.91,0.0,0.0,,,
2017-10-01,28656.71,270329.0,304086.0,8232.39,0.0,0.0,,,
2017-11-01,30146.63,284952.0,314416.0,8737.76,0.0,0.0,,,
2017-12-01,31346.52,298095.0,329419.0,9331.4,0.0,0.0,,,
2018-01-01,31642.37,290390.0,328255.0,7984.07,0.0,0.0,,,
2018-02-01,26331.62,242991.0,274124.0,6826.86,0.0,0.0,,,
2018-03-01,31728.7,291001.0,330480.0,7981.16,0.0,0.0,,,
2018-04-01,30991.5,287432.0,322422.0,8231.42,0.0,0.0,,,
2018-05-01,31885.84,296496.0,334089.0,8573.83,0.0,0.0,,,
2018-06-01,30131.11,283402.0,312457.0,8541.82,0.0,0.0,,,
2018-07-01,31429.94,296965.0,323305.0,9093.75,0.0,0.0,,,
2018-08-01,30915.84,292814.0,316820.0,9041.37,0.0,0.0,,,
2018-09-01,13031.95,123955.0,141697.0,3882.91,0.0,0.0,,,
2018-10-01,28656.71,270329.0,304086.0,8232.39,0.0,0.0,,,
2018-11-01,30146.63,284952.0,314416.0,8737.76,0.0,0.0,,,
2018-12-01,31346.52,298095.0,329419.0,9331.4,0.0,0.0,,,
2019-01-01,26276.33,243027.0,278063.0,6887.0,0.0,0.0,,,
2019-02-01,24800.96,230175.0,259771.0,6608.61,0.0,0.0,,,
2019-03-01,21484.53,199203.0,225702.0,5698.75,0.0,0.0,,,
2019-04-01,27269.61,260691.0,285887.0,8304.17,0.0,0.0,,,
2019-05-01,27920.48,267856.0,293766.0,8631.06,0.0,0.0,,,
2019-06-01,28572.32,274083.0,301766.0,8828.94,0.0,0.0,,,
2019-07-01,29032.1,277274.0,307609.0,8804.69,0.0,0.0,,,
2019-08-01,30264.0,289288.0,318410.0,9212.09,0.0,0.0,,,
2019-09-01,16347.41,156490.0,172369.0,5007.14,0.0,0.0,,,
2019-10-01,20228.38,192543.0,217230.0,6046.01,0.0,0.0,,,
2019-11-01,26147.32,242287.0,281289.0,6915.13,0.0,0.0,,,
2019-12-01,26485.85,247079.0,288376.0,7230.38,0.0,0.0,,,
2020-01-01,25691.42,238378.0,287151.0,6837.53,0.0,0.0,,,
2020-02-01,25639.04,239351.0,278611.0,7022.8,0.0,0.0,,,
2020-03-01,27448.09,251131.0,288844.0,6821.04,0.0,0.0,,,
2020-04-01,29097.09,272676.0,301514.0,8112.11,0.0,0.0,,,
2020-05-01,29186.33,272790.0,304218.0,8038.39,0.0,0.0,,,
2020-06-01,29702.37,283423.0,310046.0,8973.47,0.0,0.0,,,
2020-07-01,28908.91,275917.0,302998.0,8742.61,0.0,0.0,,,
2020-08-01,29357.05,280495.0,310721.0,8919.15,0.0,0.0,,,
2020-09-01,15384.2,146382.0,162930.0,4591.01,0.0,0.0,,,
2020-10-01,30282.43,284326.0,317774.0,8516.6,0.0,0.0,,,
2020-11-01,26313.19,249169.0,276370.0,7688.22,0.0,0.0,,,
2020-12-01,26829.23,254513.0,281982.0,7901.62,0.0,0.0,,,
2021-01-01,22737.77,210662.0,240233.0,6009.15,0.0,0.0,,,
2021-02-01,23113.16,243973.0,243973.0,12223.94,0.0,0.0,,,
2021-03-01,26294.76,245444.0,279261.0,7198.37,0.0,0.0,,,
2021-04-01,27865.19,259902.0,295868.0,7600.92,0.0,0.0,,,
2021-05-01,29690.73,283580.0,314683.0,9006.45,0.0,0.0,,,
2021-06-01,26572.18,253235.0,281985.0,7984.07,0.0,0.0,,,
2021-07-01,25501.3,242003.0,270647.0,7522.35,0.0,0.0,,,
2021-08-01,27897.2,265440.0,295070.0,8324.54,0.0,0.0,,,
2021-09-01,15196.02,144853.0,160196.0,4570.64,0.0,0.0,,,
2021-10-01,20599.89,195942.0,219763.0,6138.16,0.0,0.0,,,
2021-11-01,24878.56,232116.0,265601.0,6795.82,0.0,0.0,,,
2021-12-01,25778.72,241186.0,277839.0,7133.38,0.0,0.0,,,
2022-01-01,26556.66,249183.0,287712.0,7446.69,0.0,0.0,,,
2022-02-01,22374.02,210606.0,238524.0,6365.14,0.0,0.0,,,
2022-03-01,28033.0,264231.0,298408.0,8023.84,0.0,0.0,,,
2022-04-01,20852.09,196076.0,219834.0,5904.39,0.0,0.0,,,
2022-05-01,18123.48,192501.0,295472.0,8145.09,0.0,0.0,,,
2022-06-01,28906.0,272974.0,300510.0,8343.94,0.0,0.0,,,
2022-07-01,30396.89,282059.0,314975.0,8092.71,0.0,0.0,,,
2022-08-01,29116.49,269605.0,304424.0,7673.67,0.0,0.0,,,
2022-09-01,24055.03,227353.0,253153.0,6969.45,0.0,0.0,,,
2022-10-01,7854.09,72128.0,83038.0,1988.5,0.0,0.0,,,
2022-11-01,25887.36,241982.0,275394.0,7133.38,0.0,0.0,,,
2022-12-01,27297.74,254272.0,290249.0,7400.13,0.0,0.0,,,
2023-01-01,27253.12,254002.0,286997.0,7407.89,0.0,0.0,,,
2023-02-01,24297.53,226742.0,257477.0,6643.53,0.0,0.0,,,
2023-03-01,27909.81,260428.0,296300.0,7628.08,0.0,0.0,,,
2023-04-01,29332.8,271055.0,311604.0,7655.24,0.0,0.0,,,
2023-05-01,27598.44,256127.0,291274.0,7352.6,0.0,0.0,,,
2023-06-01,18686.08,173159.0,197909.0,4943.12,0.0,0.0,,,
2023-07-01,29258.11,275086.0,308312.0,8279.92,0.0,0.0,,,
2023-08-01,28677.08,268745.0,303392.0,7995.71,0.0,0.0,,,
2023-09-01,25694.33,239971.0,271781.0,7051.9,0.0,0.0,,,
2023-10-01,19646.38,181696.0,209378.0,5147.79,0.0,0.0,,,
2023-11-01,26750.66,178783.0,178783.0,237.65,0.0,0.0,,,
2023-12-01,27850.64,260193.0,290088.0,7655.24,0.0,0.0,,,
2024-01-01,27580.98,257400.0,288910.0,7543.69,0.0,0.0,,,
2024-02-01,22993.85,216285.0,244152.0,6520.34,0.0,0.0,,,
2024-03-01,25765.14,242174.0,270794.0,7281.79,0.0,0.0,,,
2024-04-01,28520.91,269455.0,298561.0,8248.88,0.0,0.0,,,
2024-05-01,29806.16,279699.0,312503.0,8361.4,0.0,0.0,,,
2024-06-01,28719.76,270906.0,302126.0,8247.91,0.0,0.0,,,
2024-07-01,29663.57,278519.0,311368.0,8342.97,0.0,0.0,,,
2024-08-01,29594.7,278113.0,310109.0,8356.55,0.0,0.0,,,
2024-09-01,23489.52,217550.0,247226.0,6197.33,0.0,0.0,,,
2024-10-01,12583.81,115880.0,129755.0,3229.13,0.0,0.0,,,
2024-11-01,20553.33,189024.0,211760.0,5240.91,0.0,0.0,,,
2024-12-01,24363.49,224502.0,251882.0,6272.02,0.0,0.0,,,
