measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Generation,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Quantity Consumed For Electricity,Subbituminous Coal - Combustion (Gas) Turbine (including jet engine design) - Coal - Total Fuel Consumed,"Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2006-05-01,1.0,12.0,12.0,28.0,458.0,458.0,631.0,11050.0,11050.0,2169.0,36713.0,36713.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,0.0,6.0,6.0,0.0,0.0,0.0,699.0,11611.0,11611.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,53.0,754.0,754.0,3308.0,54960.0,54960.0,12582.0,182748.0,182748.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,45.0,597.0,597.0,3901.0,57072.0,57072.0,9937.0,136475.0,136475.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,1.0,17.0,17.0,0.0,0.0,0.0,908.0,14878.0,14878.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,12.0,191.0,191.0,623.0,10362.0,10362.0,966.0,16594.0,16594.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,13.0,180.0,180.0,901.0,14480.0,14480.0,3044.0,42826.0,42826.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,7.0,104.0,104.0,2326.0,34852.0,34852.0,534.0,7663.0,7663.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-01-01,52.892,1044.0,1044.0,10.677000000000001,226.0,226.0,767.1080000000001,15142.0,15142.0,331.32300000000004,7019.0,7019.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,26.435,394.0,394.0,1111.0,16933.0,16933.0,6369.5650000000005,95032.0,95032.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,13.893,238.0,238.0,1198.0,14471.0,14471.0,1253.107,21449.0,21449.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,602.0,9463.0,9463.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,877.0,13005.0,13005.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,9.33,209.0,209.0,962.0,14161.0,14161.0,846.67,18947.0,18947.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,17.876,284.0,284.0,1898.0,27650.0,27650.0,3138.1240000000003,49891.0,49891.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,32.198,429.0,429.0,477.0,7488.0,7488.0,13977.802,186326.0,186326.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,9.853,174.0,174.0,1675.0,24481.0,24481.0,1416.1470000000002,25008.0,25008.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,14.879000000000001,244.0,244.0,1934.0,29693.0,29693.0,2104.121,34450.0,34450.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0,942.0,15739.0,15739.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.769,12.0,12.0,0.0,0.0,0.0,2436.231,36755.0,36755.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-01,311.92900000000003,4646.0,4646.0,12.25,307.0,307.0,2962.0710000000004,44116.0,44116.0,614.75,15426.0,15426.0,0.0,0.0,0.0,,,,,,
2008-02-01,11.152000000000001,168.0,168.0,,,,1372.848,20705.0,20705.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-03-01,0.0,0.0,0.0,7.244000000000001,244.0,244.0,2344.0,32601.0,32601.0,339.75600000000003,11426.0,11426.0,0.0,0.0,0.0,,,,,,
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2736.0,40745.0,40745.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,32258.0,32258.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-06-01,0.0,0.0,0.0,-102.0,0.0,0.0,2264.0,34063.0,34063.0,-102.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-07-01,,,,0.0,0.0,0.0,941.0,15110.0,15110.0,-206.0,578.0,578.0,0.0,0.0,0.0,,,,,,
2008-08-01,,,,22.889,383.0,383.0,614.0,9821.0,9821.0,3136.1110000000003,52450.0,52450.0,,,,0.0,0.0,0.0,,,
2008-09-01,,,,-100.0,0.0,0.0,3460.0,50472.0,50472.0,-100.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-10-01,,,,-108.0,0.0,0.0,1514.0,22723.0,22723.0,-108.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-11-01,,,,-108.0,0.0,0.0,439.0,7077.0,7077.0,-108.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-12-01,,,,-153.0,0.0,0.0,1065.0,15881.0,15881.0,-153.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-01-01,,,,-132.0,0.0,0.0,1327.0,20104.0,20104.0,-132.0,0.0,0.0,,,,,,,,,
2009-02-01,,,,-108.0,0.0,0.0,716.0,16515.0,16515.0,-108.0,0.0,0.0,,,,,,,,,
2009-03-01,,,,0.0,0.0,0.0,2635.0,36292.0,36292.0,0.0,0.0,0.0,,,,,,,,,
2009-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2009-05-01,23.704,383.0,383.0,0.0,0.0,0.0,836.296,13506.0,13506.0,0.0,0.0,0.0,,,,,,,,,
2009-06-01,5.061,46.0,46.0,0.0,0.0,0.0,1226.939,11249.0,11249.0,0.0,0.0,0.0,,,,,,,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,433.0,7299.0,7299.0,0.0,52.0,52.0,,,,,,,,,
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,474.0,7946.0,7946.0,0.0,0.0,0.0,,,,,,,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,1646.0,22443.0,22443.0,0.0,0.0,0.0,,,,,,,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,2375.0,33239.0,33239.0,0.0,0.0,0.0,,,,,,,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,1899.0,29318.0,29318.0,0.0,0.0,0.0,,,,,,,,,
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,521.0,8493.0,8493.0,0.0,0.0,0.0,,,,,,,,,
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,518.0,8126.0,8126.0,0.0,0.0,0.0,,,,,,,,,
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1519.0,23193.0,23193.0,0.0,0.0,0.0,,,,,,,,,
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,2386.0,35767.0,35767.0,0.0,0.0,0.0,,,,,,,,,
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,678.0,10838.0,10838.0,0.0,0.0,0.0,,,,,,,,,
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,197.0,3577.0,3577.0,0.0,0.0,0.0,,,,,,,,,
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,289.0,4742.0,4742.0,0.0,0.0,0.0,,,,,,,,,
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2206.0,2206.0,0.0,0.0,0.0,,,,,,,,,
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,147.0,3253.0,3253.0,0.0,0.0,0.0,,,,,,,,,
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,405.0,6494.0,6494.0,0.0,0.0,0.0,,,,,,,,,
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1366.0,1366.0,0.0,0.0,0.0,,,,,,,,,
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,323.0,5416.0,5416.0,0.0,0.0,0.0,,,,,,,,,
2010-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2011-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2011-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2011-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2011-04-01,0.0,0.0,0.0,,,,65.0,1445.0,1445.0,,,,,,,,,,,,
2011-05-01,0.0,0.0,0.0,,,,134.0,2657.0,2657.0,,,,,,,,,,,,
2011-06-01,0.0,0.0,0.0,,,,101.0,2396.0,2396.0,,,,,,,,,,,,
2011-07-01,0.0,0.0,0.0,,,,213.0,4277.0,4277.0,,,,,,,,,,,,
2011-08-01,0.0,0.0,0.0,,,,272.0,4500.0,4500.0,,,,,,,,,,,,
2011-09-01,0.0,0.0,0.0,,,,136.0,2799.0,2799.0,,,,,,,,,,,,
2011-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2011-11-01,0.0,0.0,0.0,,,,328.0,5490.0,5490.0,,,,,,,,,,,,
2011-12-01,0.0,0.0,0.0,,,,94.0,1647.0,1647.0,,,,,,,,,,,,
2012-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2012-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2012-03-01,0.0,0.0,0.0,,,,252.0,3916.0,3916.0,,,,,,,,,,,,
2012-04-01,0.0,0.0,0.0,,,,61.0,1522.0,1522.0,,,,,,,,,,,,
2012-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2012-06-01,0.0,0.0,0.0,,,,1097.0,15583.0,15583.0,,,,,,,,,,,,
2012-07-01,0.0,0.0,0.0,,,,2979.0,55717.0,55717.0,,,,,,,,,,,,
2012-08-01,0.0,0.0,0.0,,,,230.0,3907.0,3907.0,,,,,,,,,,,,
2012-09-01,0.0,0.0,0.0,,,,150.0,2350.0,2350.0,,,,,,,,,,,,
2012-10-01,0.0,0.0,0.0,,,,128.0,2226.0,2226.0,,,,,,,,,,,,
2012-11-01,0.0,0.0,0.0,,,,332.0,5887.0,5887.0,,,,,,,,,,,,
2012-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2013-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2013-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2013-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2013-04-01,0.0,0.0,0.0,,,,149.0,3246.0,3246.0,,,,,,,,,,,,
2013-05-01,0.0,0.0,0.0,,,,59.0,1385.0,1385.0,,,,,,,,,,,,
2013-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2013-07-01,0.0,0.0,0.0,,,,433.0,8740.0,8740.0,,,,,,,,,,,,
2013-08-01,0.0,0.0,0.0,,,,492.0,7747.0,7747.0,,,,,,,,,,,,
2013-09-01,0.0,0.0,0.0,,,,730.0,11568.0,11568.0,,,,,,,,,,,,
2013-10-01,0.0,0.0,0.0,,,,1654.0,26624.0,26624.0,,,,,,,,,,,,
2013-11-01,0.0,0.0,0.0,,,,547.0,8806.0,8806.0,,,,,,,,,,,,
2013-12-01,0.0,0.0,0.0,,,,40.0,1879.0,1879.0,,,,,,,,,,,,
2014-01-01,0.0,0.0,0.0,,,,803.0,13690.0,13690.0,,,,,,,,,,,,
2014-02-01,0.0,0.0,0.0,,,,870.0,14746.0,14746.0,,,,,,,,,,,,
2014-03-01,0.0,0.0,0.0,,,,841.0,15167.0,15167.0,,,,,,,,,,,,
2014-04-01,0.0,0.0,0.0,,,,1589.0,23923.0,23923.0,,,,,,,,,,,,
2014-05-01,0.0,0.0,0.0,,,,919.0,13332.0,13332.0,,,,,,,,,,,,
2014-06-01,0.0,0.0,0.0,,,,571.0,8966.0,8966.0,,,,,,,,,,,,
2014-07-01,0.0,0.0,0.0,,,,40.0,937.0,937.0,,,,,,,,,,,,
2014-08-01,0.0,0.0,0.0,,,,224.0,5484.0,5484.0,,,,,,,,,,,,
2014-09-01,0.0,0.0,0.0,,,,932.0,13940.0,13940.0,,,,,,,,,,,,
2014-10-01,0.0,0.0,0.0,,,,1131.0,18038.0,18038.0,,,,,,,,,,,,
2014-11-01,0.0,0.0,0.0,,,,1460.0,20424.0,20424.0,,,,,,,,,,,,
2014-12-01,0.0,0.0,0.0,,,,617.0,12447.0,12447.0,,,,,,,,,,,,
2015-01-01,0.0,0.0,0.0,,,,265.0,5046.0,5046.0,,,,,,,,,,,,
2015-02-01,0.0,0.0,0.0,,,,303.0,7643.0,7643.0,,,,,,,,,,,,
2015-03-01,0.0,0.0,0.0,,,,1917.0,27198.0,27198.0,,,,,,,,,,,,
2015-04-01,0.0,0.0,0.0,,,,475.0,7582.0,7582.0,,,,,,,,,,,,
2015-05-01,0.0,0.0,0.0,,,,782.0,11755.0,11755.0,,,,,,,,,,,,
2015-06-01,0.0,0.0,0.0,,,,231.0,4541.0,4541.0,,,,,,,,,,,,
2015-07-01,0.0,0.0,0.0,,,,202.0,3988.0,3988.0,,,,,,,,,,,,
2015-08-01,0.0,0.0,0.0,,,,773.0,11851.0,11851.0,,,,,,,,,,,,
2015-09-01,0.0,0.0,0.0,,,,1330.0,19630.0,19630.0,,,,,,,,,,,,
2015-10-01,0.0,0.0,0.0,,,,1131.0,17851.0,17851.0,,,,,,,,,,,,
2015-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2015-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,
2016-01-01,0.0,0.0,0.0,,,,-24.0,1610.0,1610.0,,,,,,,,,,,,
2016-03-01,0.0,0.0,0.0,,,,107.0,4708.0,4708.0,,,,,,,,,,,,
2016-04-01,0.0,0.0,0.0,,,,4097.0,64810.0,64810.0,,,,,,,,,,,,
2016-05-01,0.0,0.0,0.0,,,,758.0,12300.0,12300.0,,,,,,,,,,,,
2016-06-01,0.0,0.0,0.0,,,,280.0,5375.0,5375.0,,,,,,,,,,,,
2016-07-01,0.0,0.0,0.0,,,,2010.0,34410.0,34410.0,,,,,,,,,,,,
2016-08-01,0.0,0.0,0.0,,,,4317.0,72811.0,72811.0,,,,,,,,,,,,
2016-09-01,0.0,0.0,0.0,,,,1406.0,24306.0,24306.0,,,,,,,,,,,,
2016-10-01,0.0,0.0,0.0,,,,921.0,14916.0,14916.0,,,,,,,,,,,,
2016-11-01,0.0,0.0,0.0,,,,467.0,8395.0,8395.0,,,,,,,,,,,,
2016-12-01,0.0,0.0,0.0,,,,2613.0,40565.0,40565.0,,,,,,,,,,,,
2017-01-01,0.0,0.0,0.0,,,,1313.995,21446.0,21446.0,,,,,,,,,,,,
2017-02-01,0.0,0.0,0.0,,,,1227.763,20041.0,20041.0,,,,,,,,,,,,
2017-03-01,0.0,0.0,0.0,,,,1758.264,28700.0,28700.0,,,,,,,,,,,,
2017-04-01,0.0,0.0,0.0,,,,806.332,13162.0,13162.0,,,,,,,,,,,,
2017-05-01,0.0,0.0,0.0,,,,769.934,12567.0,12567.0,,,,,,,,,,,,
2017-06-01,0.0,0.0,0.0,,,,1449.715,23664.0,23664.0,,,,,,,,,,,,
2017-07-01,0.0,0.0,0.0,,,,1988.13,32451.0,32451.0,,,,,,,,,,,,
2017-08-01,0.0,0.0,0.0,,,,1735.621,28330.0,28330.0,,,,,,,,,,,,
2017-09-01,0.0,0.0,0.0,,,,1431.029,23359.0,23359.0,,,,,,,,,,,,
2017-10-01,0.0,0.0,0.0,,,,1411.344,23037.0,23037.0,,,,,,,,,,,,
2017-11-01,0.0,0.0,0.0,,,,1449.909,23667.0,23667.0,,,,,,,,,,,,
2017-12-01,0.0,0.0,0.0,,,,1554.964,25382.0,25382.0,,,,,,,,,,,,
2018-01-01,0.0,0.0,0.0,,,,989.267,16053.0,16053.0,,,,,,,,,,,,
2018-02-01,0.0,0.0,0.0,,,,1057.692,17162.0,17162.0,,,,,,,,,,,,
2018-03-01,0.0,0.0,0.0,,,,1087.625,17648.0,17648.0,,,,,,,,,,,,
