measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-10-01,20589.48376,248263.47,418682.55,,,,615.20224,7417.97,12510.0,,,
2004-11-01,19558.48129,235831.87,397647.88,,,,615.30971,7419.27,12510.0,,,
2004-12-01,22569.57026,272138.91,459081.12,,,,615.02274,7415.81,12510.0,,,
2005-01-01,28992.73869,349588.07,577762.4,,,,648.84131,7823.59,12930.0,,,
2005-02-01,5988.11612,72203.39,280785.4,,,,507.35288,6117.55,23790.0,,,
2005-03-01,8916.386,107511.82,334731.2,,,,0.0,0.0,0.0,,,
2005-04-01,18175.46952,219155.81,399437.9,,,,896.08848,10804.84,19693.12,,,
2005-05-01,3060.27353,36900.1,229625.55,,,,356.47447,4298.29,26747.82,,,
2005-06-01,24865.08609,299817.75,496901.98,,,,3919.90591,47265.36,78335.1,,,
2005-07-01,40980.71558,494136.46,695597.65,,,,4578.79742,55210.13,77719.5,,,
2005-08-01,47817.57906,576573.86,776140.0,,,,2949.63994,35566.11,47876.4,,,
2005-09-01,39584.80551,477304.88,609301.24,,,,4308.58649,51951.99,66319.06,,,
2005-10-01,18828.02481,227024.19,425106.22,,,,2793.12919,33678.94,63064.32,,,
2005-11-01,13036.26536,157188.43,345789.81,,,,1444.09764,17412.61,38305.01,,,
2005-12-01,29381.79551,354279.22,494388.18,,,,4856.74149,58561.52,81721.2,,,
2006-01-01,8761.71255,105646.8,200145.84,,,,1549.70359,18685.98,35400.24,30.05485,362.39,686.55
2006-02-01,14185.59258,171046.77,280851.0,,,,2879.43522,34719.6,57008.0,568.9602,6860.4,11264.46
2006-03-01,13838.59723,166862.76,321607.2,,,,2735.11513,32979.42,63563.72,511.94564,6172.93,11897.55
2006-04-01,11630.88542,140242.67,350511.94,,,,1749.74986,21098.1,52731.0,689.67972,8316.01,20784.4
2006-05-01,22138.31434,266938.94,400322.49,,,,4538.04086,54718.7,82060.44,1792.6978000000001,21615.96,32416.98
2006-06-01,19621.0288,236586.06,378092.4,,,,3450.42805,41604.5,66488.9,1702.36215,20526.71,32804.1
2006-07-01,25094.04013,302578.41,411502.9,,,,5222.00873,62965.83,85632.75,2288.05714,27588.89,37520.55
2006-08-01,31419.78224,378852.82,442787.74,,,,6313.60185,76128.02,88975.33,2763.42791,33320.81,38944.0
2006-09-01,11618.76231,140096.48,256310.1,,,,2518.29129,30365.0,55553.55,867.6344,10461.74,19140.03
2006-10-01,2818.83984,33988.95,92874.0,,,,678.87742,8185.75,22367.38,223.44573,2694.26,7362.0
2006-11-01,11488.16112,138521.73,293126.08,,,,1414.86619,17060.15,36101.01,823.4997000000001,9929.58,21012.0
2006-12-01,9972.36019,120244.52,254345.34,,,,1527.24623,18415.2,38952.46,607.85658,7329.4,15503.4
2007-01-01,18877.733,227611.0,378186.0,,,,2277.7380000000003,27472.0,45631.0,1113.886,13434.0,22315.0
2007-02-01,25483.282,307259.0,447891.0,,,,2412.3810000000003,29088.0,42400.0,1241.759,14976.0,21825.0
2007-03-01,27570.383,332442.0,470160.0,,,,2624.043,31649.0,44748.0,1322.621,15948.0,22555.0
2007-04-01,30858.173,372087.0,511075.0,,,,3139.6780000000003,37863.0,52000.0,1577.422,19018.0,26125.0
2007-05-01,30418.328,366785.0,496110.0,,,,3228.7360000000003,38932.0,52659.0,1292.492,15589.0,21080.0
2007-06-01,32423.272,390965.0,507777.0,,,,3426.909,41330.0,53668.0,1339.357,16148.0,20976.0
2007-07-01,35064.302,422809.0,550566.0,,,,3980.693,47991.0,62503.0,1333.699,16081.0,20941.0
2007-08-01,44937.182,541849.0,659182.0,,,,4753.844,57330.0,69734.0,1034.901,12484.0,15181.0
2007-09-01,36623.570999999996,441590.0,560300.0,,,,3838.639,46281.0,58727.0,1536.511,18522.0,23507.0
2007-10-01,23288.138,280806.0,511002.0,,,,2334.96,28167.0,51235.0,1189.438,14338.0,26099.0
2007-11-01,11014.504,132818.0,279726.0,,,,986.4530000000001,11908.0,25052.0,394.595,4760.0,10021.0
2007-12-01,19312.635000000002,232873.0,387252.0,,,,1502.644,18125.0,30131.0,601.332,7253.0,12058.0
2008-01-01,31260.539,386176.0,532855.0,,,,2523.005,31168.0,43006.0,876.457,10827.0,14940.0
2008-02-01,23034.896,288383.0,437916.0,,,,2086.1040000000003,26117.0,39659.0,0.0,0.0,0.0
2008-03-01,34005.777,423207.0,570694.0,,,,3193.8210000000004,39748.0,53600.0,128.40200000000002,1598.0,2155.0
2008-04-01,21096.438000000002,262229.0,411101.0,,,,1990.5710000000001,24743.0,38790.0,167.991,2088.0,3274.0
2008-05-01,30966.605,384204.0,536188.0,,,,2911.739,36126.0,50417.0,328.656,4078.0,5691.0
2008-06-01,43184.357,536279.0,678083.0,,,,4206.933,52243.0,66057.0,592.711,7361.0,9307.0
2008-07-01,40755.69,507681.0,646012.0,,,,3975.0330000000004,49516.0,63008.0,445.27700000000004,5547.0,7058.0
2008-08-01,42985.418,534907.0,673058.0,,,,4171.262000000001,51907.0,65313.0,829.321,10320.0,12985.0
2008-09-01,29072.358,361648.0,518551.0,,,,2838.603,35311.0,50631.0,734.039,9131.0,13093.0
2008-10-01,15581.256000000001,195570.0,344822.0,,,,1587.8870000000002,19931.0,35141.0,451.857,5672.0,10000.0
2008-11-01,12862.283,176827.0,314321.0,,,,1259.4270000000001,17314.0,30777.0,524.289,7208.0,12812.0
2008-12-01,5406.997,76979.0,202495.0,,,,531.74,7570.0,19914.0,221.263,3150.0,8286.0
2009-01-01,9301.103000000001,136944.0,283945.0,662.44,9753.0,20223.0,1264.457,18617.0,38602.0,,,
2009-02-01,6494.081,80753.0,201069.0,1189.8690000000001,14796.0,36841.0,1274.05,15843.0,39447.0,,,
2009-03-01,3200.597,40243.0,171261.0,699.55,8796.0,37432.0,698.8530000000001,8787.0,37395.0,,,
2009-04-01,0.0,0.0,137079.0,0.0,0.0,30148.0,0.0,0.0,30105.0,,,
2009-05-01,349.861,4379.0,131247.0,78.19200000000001,979.0,29333.0,77.947,976.0,29241.0,,,
2009-06-01,4335.344,54092.0,194049.0,918.427,11459.0,41109.0,717.229,8949.0,32103.0,,,
2009-07-01,1369.921,17084.0,146232.0,304.599,3799.0,32514.0,299.48,3735.0,31968.0,,,
2009-08-01,1247.511,15744.0,130923.0,234.488,2959.0,24609.0,230.001,2903.0,24138.0,,,
2009-09-01,941.738,11742.0,115047.0,205.172,2558.0,25065.0,207.09,2582.0,25299.0,,,
2009-10-01,-7.681,0.0,106704.0,-1.6280000000000001,0.0,22611.0,-1.691,0.0,23490.0,,,
2009-11-01,0.0,0.0,101385.0,0.0,0.0,21350.0,0.0,0.0,22194.0,,,
2009-12-01,541.128,9264.0,130815.0,111.828,1915.0,27034.0,116.04400000000001,1987.0,28053.0,,,
2010-01-01,9050.332,140888.0,293372.0,1985.324,30906.0,64356.0,1382.344,21519.0,44810.0,,,
2010-02-01,9752.865,139807.0,251431.0,3579.681,51315.0,92285.0,2091.454,29981.0,53918.0,,,
2010-03-01,-819.11,4405.0,60034.0,-999.109,5373.0,73226.0,-149.781,805.0,10978.0,,,
2010-04-01,1781.7910000000002,38435.0,122549.0,1382.3590000000002,29819.0,95077.0,176.85,3815.0,12164.0,,,
2010-05-01,3094.949,66516.0,183764.0,1700.8490000000002,36554.0,100989.0,193.202,4152.0,11471.0,,,
2010-06-01,7438.875,113543.0,215499.0,6015.125,91812.0,174254.0,0.0,0.0,0.0,,,
2010-07-01,5913.381,94446.0,194220.0,5379.619000000001,85921.0,176689.0,0.0,0.0,0.0,,,
2010-08-01,4950.206,81629.0,176220.0,5308.794,87542.0,188985.0,0.0,0.0,0.0,,,
2010-09-01,6277.972000000001,94281.0,174618.0,8602.028,129183.0,239260.0,0.0,0.0,0.0,,,
2010-10-01,2678.0350000000003,52338.0,133270.0,3301.735,64527.0,164308.0,23.23,454.0,1156.0,,,
2010-11-01,3696.235,60164.0,131137.0,5697.995,92748.0,202156.0,806.77,13132.0,28623.0,,,
2010-12-01,16563.729,219919.0,326444.0,13003.917000000001,172655.0,256286.0,2113.3540000000003,28059.0,41651.0,,,
2011-01-01,13187.167,169302.0,243768.0,11186.191,143613.0,206779.0,1684.642,21628.0,31141.0,,,
2011-02-01,8276.516,105115.0,168422.0,8272.23,105060.0,168335.0,2256.254,28655.0,45914.0,,,
2011-03-01,666.627,8450.0,62181.0,1191.135,15099.0,111105.0,601.238,7621.0,56081.0,,,
2011-04-01,3515.609,49073.0,109018.0,4741.075,66178.0,147020.0,3359.316,46891.0,104172.0,,,
2011-05-01,6605.099,84336.0,142454.0,9233.215,117893.0,199135.0,5815.686,74257.0,125429.0,,,
2011-06-01,5597.461,78346.0,136838.0,10325.518,144523.0,252422.0,5486.021,76786.0,134114.0,,,
2011-07-01,6600.774,94386.0,153886.0,14917.794,213313.0,347783.0,6665.432,95311.0,155393.0,,,
2011-08-01,9137.475,116504.0,182876.0,17773.438,226613.0,355715.0,5928.087,75584.0,118644.0,,,
2011-09-01,7899.566,99881.0,153092.0,16873.827,213351.0,327012.0,6783.607,85771.0,131465.0,,,
2011-10-01,7168.12,91402.0,137236.0,13838.562,176457.0,264943.0,5549.318,70760.0,106243.0,,,
2011-11-01,7976.555,101257.0,143485.0,15272.212,193871.0,274721.0,5738.233,72843.0,103221.0,,,
2011-12-01,7322.937,91407.0,144291.0,15144.696,189041.0,298411.0,7401.367,92386.0,145837.0,,,
2012-01-01,8288.833,104638.0,155069.0,,,,8464.442,106855.0,158354.0,16711.725,210969.0,312646.0
2012-02-01,8100.075,102282.0,149454.0,,,,8117.037,102496.0,149767.0,17465.888,220546.0,322261.0
2012-03-01,8108.714,102371.0,146230.0,,,,8625.592,108897.0,155552.0,19405.694,244994.0,349957.0
2012-04-01,9737.301,123051.0,157991.0,,,,9943.597,125658.0,161339.0,24918.102,314892.0,404305.0
2012-05-01,7901.515,100697.0,146275.0,,,,7787.925,99249.0,144173.0,18136.56,231132.0,335750.0
2012-06-01,9327.286,121905.0,168173.0,,,,9733.864,127219.0,175503.0,18363.85,240011.0,331104.0
2012-07-01,10606.467,135898.0,177287.0,,,,9427.849,120796.0,157587.0,22231.684,284848.0,371603.0
2012-08-01,7230.301,91923.0,162620.0,,,,7190.093,91412.0,161716.0,22924.606,291454.0,515609.0
2012-09-01,7220.885,92230.0,139690.0,,,,7042.854,89956.0,136246.0,16546.261,211340.0,320093.0
2012-10-01,7665.503,97496.0,141750.0,,,,7522.195,95674.0,139100.0,17261.302,219544.0,319195.0
2012-11-01,8424.727,106492.0,161097.0,,,,6446.54,81487.0,123270.0,15230.733,192522.0,291242.0
2012-12-01,6999.533,90168.0,148787.0,,,,5657.399,72878.0,120257.0,11570.068,149045.0,245941.0
2013-01-01,8830.302,113207.0,173471.0,,,,7655.58,98147.0,150394.0,17881.118,229242.0,351275.0
2013-02-01,5408.671,69618.0,105009.0,,,,9803.824,126190.0,190340.0,15034.505,193516.0,291893.0
2013-03-01,4358.691,54649.0,85831.0,,,,10018.521,125612.0,197284.0,14409.788,180670.0,283756.0
2013-04-01,2112.358,26930.0,46183.0,,,,11628.201,148246.0,254232.0,16431.441,209481.0,359247.0
2013-05-01,3132.371,40519.0,66145.0,,,,11279.056,145901.0,238175.0,14261.573,184481.0,301155.0
2013-06-01,6615.077,84122.0,122435.0,,,,14964.041,190294.0,276961.0,15589.882,198253.0,288544.0
2013-07-01,6988.225,89518.0,139645.0,,,,10150.155,130021.0,202830.0,15904.62,203735.0,317821.0
2013-08-01,7863.071,100131.0,138790.0,,,,14257.783,181563.0,251662.0,20548.146,261666.0,362692.0
2013-09-01,5233.671,66606.0,92533.0,,,,14961.333,190403.0,264522.0,20730.996,263830.0,366532.0
2013-10-01,5620.372,75900.0,94094.0,,,,17028.018,229953.0,285078.0,24111.61,325613.0,403669.0
2013-11-01,4071.619,51635.0,69362.0,,,,16171.802,205085.0,275494.0,20431.579,259106.0,348061.0
2013-12-01,4935.788,62669.0,90099.0,,,,14464.251,183651.0,264033.0,21433.961,272145.0,391259.0
2014-01-01,6031.549,76642.0,107798.0,,,,16883.947,214541.0,301755.0,21286.504,270484.0,380439.0
2014-02-01,3501.876,45094.0,72677.0,,,,12732.176,163955.0,264241.0,16090.948,207207.0,333948.0
2014-03-01,2618.17,33255.0,49230.0,,,,19346.036,245729.0,363766.0,22611.794,287210.0,425172.0
2014-04-01,800.042,10265.0,16092.0,,,,17213.998,220876.0,346234.0,19965.96,256187.0,401586.0
2014-05-01,2029.557,26220.0,41131.0,,,,15262.248,197174.0,309307.0,17143.195,221474.0,347427.0
2014-06-01,2494.66,31889.0,48613.0,,,,18306.871,234018.0,356746.0,20861.469,266673.0,406527.0
2014-07-01,2458.892,31377.0,47003.0,,,,19261.032,245786.0,368182.0,23392.076,298502.0,447148.0
2014-08-01,2694.337,34893.0,53637.0,,,,16630.872,215376.0,331073.0,20893.791,270582.0,415936.0
2014-09-01,3505.075,44542.0,67698.0,,,,20168.898,256304.0,389547.0,23236.027,295280.0,448786.0
2014-10-01,1115.528,14375.0,22060.0,,,,17614.435,226986.0,348339.0,18029.037,232328.0,356538.0
2014-11-01,3282.804,41628.0,59064.0,,,,19990.097,253485.0,359660.0,22363.099,283576.0,402355.0
2014-12-01,1027.971,13190.0,22060.0,,,,16601.525,213019.0,356269.0,17860.504,229173.0,383287.0
2015-01-01,1395.761,17916.0,27872.0,,,,20746.973,266308.0,414301.0,18640.266,239266.0,372231.0
2015-02-01,4978.272,63094.0,93245.0,,,,20304.915,257342.0,380318.0,18280.813,231689.0,342406.0
2015-03-01,1969.016,25089.0,36410.0,,,,23681.113,301746.0,437893.0,17709.871,225660.0,327477.0
2015-04-01,1319.342,16848.0,23590.0,,,,22314.257,284954.0,398989.0,16296.401,208106.0,291387.0
2015-05-01,956.152,12316.0,17800.0,,,,20062.227,258412.0,373474.0,15815.621,203714.0,294420.0
2015-06-01,1323.949,16943.0,23493.0,,,,21787.33,278819.0,386606.0,18377.721,235185.0,326104.0
2015-07-01,1114.121,14329.0,19670.0,,,,20188.416,259644.0,356428.0,18412.463,236804.0,325073.0
2015-08-01,1303.985,16578.0,22394.0,,,,25160.112,319862.0,432084.0,21210.903,269656.0,364262.0
2015-09-01,1129.782,14503.0,20398.0,,,,21447.996,275329.0,387247.0,16938.222,217437.0,305822.0
2015-10-01,1163.848,14927.0,22441.0,,,,22080.738,283191.0,425751.0,16477.414,211327.0,317710.0
2015-11-01,1969.266,25270.0,32581.0,,,,23741.567,304659.0,392803.0,15247.167,195657.0,252264.0
2015-12-01,6165.669,78047.0,103181.0,,,,24691.812,312556.0,413211.0,19215.519,243236.0,321566.0
2016-01-01,4110.181,23462.0,84112.0,,,,20919.444,119416.0,428102.0,16709.375,95383.0,341946.0
2016-02-01,3701.257,20940.0,74411.0,,,,21904.667,123925.0,440379.0,19418.076,109857.0,390387.0
2016-03-01,3880.682,22202.0,74376.0,,,,20240.34,115799.0,387923.0,17384.978,99463.0,333197.0
2016-04-01,4525.313,26138.0,83603.0,,,,20768.478,119960.0,383688.0,17446.209,100770.0,322310.0
2016-05-01,5392.102,30560.0,95399.0,,,,23986.016,135944.0,424368.0,22015.882,124778.0,389511.0
2016-06-01,4629.977,26173.0,83489.0,,,,22008.101,124413.0,396856.0,21802.922,123253.0,393156.0
2016-07-01,5471.377,31073.0,100810.0,,,,21740.088,123466.0,400560.0,20307.535,115330.0,374165.0
2016-08-01,6241.955,35256.0,110600.0,,,,23861.767,134778.0,422802.0,22135.278,125026.0,392211.0
2016-09-01,4074.799,23419.0,76644.0,,,,18394.453,105717.0,345988.0,16925.748,97276.0,318363.0
2016-10-01,4244.947,24231.0,81279.0,,,,20739.892,118389.0,397112.0,19506.161,111346.0,373490.0
2016-11-01,6419.608,37945.0,142982.0,,,,6171.408,36477.0,137454.0,15523.984,91758.0,345760.0
2016-12-01,3607.199,21184.0,81288.0,,,,9928.502,58306.0,223739.0,18811.299,110471.0,423912.0
2017-01-01,4779.316,28671.0,114801.0,,,,7854.636,47120.0,188671.0,13026.048,78143.0,312890.0
2017-02-01,6259.57,35942.0,120151.0,,,,11190.466,64256.0,214798.0,19973.964,114691.0,383396.0
2017-03-01,4777.459,28035.0,108458.0,,,,9459.032,55507.0,214739.0,14251.509,83630.0,323538.0
2017-04-01,3115.032,18310.0,71527.0,,,,10939.723,64304.0,251197.0,15724.245,92427.0,361058.0
2017-05-01,2303.287,14170.0,59255.0,,,,9218.488,56712.0,237158.0,13150.225,80900.0,338308.0
2017-06-01,4749.657,27474.0,90859.0,,,,13588.436,78602.0,259940.0,17653.907,102118.0,337710.0
2017-07-01,6162.687,34933.0,112592.0,,,,19053.159,108002.0,348101.0,23160.154,131282.0,423135.0
2017-08-01,3640.775,21115.0,73657.0,,,,14927.42,86572.0,301997.0,17858.805,103573.0,361302.0
2017-09-01,4524.719,25984.0,81932.0,,,,14605.722,83876.0,264476.0,19812.559,113777.0,358759.0
2017-10-01,5174.043,29544.0,90670.0,,,,16630.65,94962.0,291435.0,21887.307,124978.0,383553.0
2017-11-01,4789.02,27645.0,94348.0,,,,13994.465,80784.0,275703.0,16272.515,93934.0,320583.0
2017-12-01,5476.211,31254.0,108548.0,,,,15803.488,90194.0,313251.0,18218.301,103976.0,361117.0
2018-01-01,5770.23,32832.0,111753.0,,,,17767.543,101095.0,344108.0,19119.227,108786.0,370287.0
2018-02-01,2837.593,16260.0,59478.0,,,,12659.015,72539.0,265342.0,15251.392,87394.0,319680.0
2018-03-01,4018.784,22808.0,79178.0,,,,14874.573,84418.0,293059.0,18703.643,106149.0,368499.0
2018-04-01,3846.961,24116.0,71099.0,,,,16213.861,101644.0,299661.0,18907.178,118528.0,349439.0
2018-05-01,5043.67,28730.0,103579.0,,,,17215.855,98065.0,353552.0,20520.475,116889.0,421417.0
2018-06-01,4627.539,26705.0,96174.0,,,,14795.506,85383.0,307495.0,16479.955,95103.0,342502.0
2018-07-01,4427.445,25494.0,88237.0,,,,16211.123,93346.0,323080.0,21462.432,123583.0,427736.0
2018-08-01,4947.786,28490.0,101636.0,,,,15032.726,86560.0,308797.0,19127.488,110138.0,392910.0
2018-09-01,2805.25,16477.0,54227.0,,,,8396.69,49319.0,162312.0,12264.06,72034.0,237071.0
2018-10-01,5565.036,32139.0,106295.0,,,,17183.853,99240.0,328221.0,23381.111,135031.0,446592.0
2018-11-01,2121.031,12844.0,41065.0,,,,14642.491,88671.0,283493.0,15629.478,94648.0,302602.0
2018-12-01,2349.478,13990.0,53822.0,,,,10926.798,65066.0,250313.0,13415.724,79886.0,307330.0
2019-01-01,3381.188,19306.0,66022.0,,,,16108.035,91976.0,314532.0,16212.777,92574.0,316577.0
2019-02-01,3336.039,19273.0,62956.0,,,,15688.654,90636.0,296069.0,14523.307,83903.0,274077.0
2019-03-01,3219.877,19476.0,62111.0,,,,14023.149,84822.0,270506.0,13250.974,80151.0,255611.0
2019-04-01,3769.65,21909.0,68818.0,,,,16546.894,96170.0,302076.0,18513.456,107599.0,337978.0
2019-05-01,4781.86,30001.0,87053.0,,,,18665.361,117103.0,339798.0,19862.779,124616.0,361597.0
2019-06-01,4000.781,23187.0,75171.0,,,,16724.536,96928.0,314240.0,18830.683,109135.0,353813.0
2019-07-01,3792.191,22150.0,75390.0,,,,17044.594,99556.0,338853.0,19906.215,116271.0,395743.0
2019-08-01,4190.701,24490.0,83302.0,,,,16381.469,95733.0,325626.0,19893.83,116259.0,395444.0
2019-09-01,3282.928,19068.0,66522.0,,,,12212.235,70930.0,247457.0,14820.837,86082.0,300316.0
2019-10-01,4466.569,25930.0,87340.0,,,,16201.609,94054.0,316808.0,21360.822,124005.0,417692.0
2019-11-01,3962.428,23049.0,77062.0,,,,17584.151,102285.0,341981.0,19287.421,112193.0,375107.0
2019-12-01,4302.904,24808.0,83866.0,,,,18511.857,106729.0,360805.0,19872.239,114572.0,387320.0
2020-01-01,4874.606,27796.0,94432.0,,,,16577.499,94529.0,321142.0,18571.895,105901.0,359777.0
2020-02-01,3933.941,22383.0,74727.0,,,,15597.652,88748.0,296283.0,16409.407,93367.0,311702.0
2020-03-01,3405.11,19702.0,72969.0,,,,13246.422,76643.0,283861.0,12157.468,70342.0,260525.0
2020-04-01,4939.415,28158.0,92354.0,,,,17782.052,101368.0,332479.0,16902.533,96354.0,316034.0
2020-05-01,4243.374,24249.0,79296.0,,,,16800.249,96005.0,313945.0,17909.377,102343.0,334671.0
2020-06-01,4243.006,24303.0,88880.0,,,,13923.135,79750.0,291653.0,15620.859,89474.0,327216.0
2020-07-01,4371.566,25077.0,88681.0,,,,15217.821,87295.0,308708.0,15553.613,89221.0,315520.0
2020-08-01,3334.535,22793.0,78512.0,,,,11230.869,76767.0,264431.0,14636.596,100047.0,344619.0
2020-09-01,3969.818,22866.0,86285.0,,,,13649.574,78621.0,296679.0,15890.608,91529.0,345388.0
2020-10-01,4333.55,25049.0,86877.0,,,,15143.424,87533.0,303588.0,15509.026,89646.0,310918.0
2020-11-01,4154.459,24105.0,88993.0,,,,13338.79,77394.0,285731.0,13240.751,76825.0,283631.0
2020-12-01,3918.94,22755.0,85196.0,,,,12715.487,73830.0,276431.0,12470.573,72408.0,271106.0
2021-01-01,2802.585,16215.0,66933.0,,,,9143.167,52901.0,218361.0,10028.248,58022.0,239499.0
2021-02-01,2341.548,13626.0,59008.0,,,,7525.854,43796.0,189654.0,8968.598,52191.0,226012.0
2021-03-01,2584.042,15181.0,67724.0,,,,6921.037,40660.0,181390.0,8507.921,49983.0,222980.0
2021-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
