measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed",Waste heat not directly attributed to a fuel source - Combined Cycle Steam Part - Other - Generation,Waste heat not directly attributed to a fuel source - Combined Cycle Steam Part - Other - Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source - Combined Cycle Steam Part - Other - Total Fuel Consumed,"Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2007-11-01,,,,,,,77045.64,1048143.0,1214962.0,,,,,,,0.0,0.0,0.0
2007-12-01,,,,,,,82155.36,1117656.0,1264194.0,,,,,,,0.0,0.0,0.0
2008-01-01,,,,,,,78415.714,1066782.0,1153227.0,,,,,,,0.0,0.0,0.0
2008-02-01,,,,,,,66264.234,901471.0,974519.0,,,,,,,0.0,0.0,0.0
2008-03-01,,,,,,,76032.901,1034365.0,1118182.0,,,,,,,0.0,0.0,0.0
2008-04-01,,,,,,,73934.217,1005814.0,1087318.0,,,,,,,0.0,0.0,0.0
2008-05-01,,,,,,,89921.08,1223303.0,1322430.0,,,,,,,0.0,0.0,0.0
2008-06-01,,,,,,,109225.808,1485928.0,1606336.0,,,,,,,0.0,0.0,0.0
2008-07-01,,,,,,,118513.972,1612285.0,1742933.0,,,,,,,0.0,0.0,0.0
2008-08-01,,,,,,,116738.327,1588129.0,1716820.0,,,,,,,0.0,0.0,0.0
2008-09-01,,,,,,,78682.898,1070416.0,1157156.0,,,,,,,0.0,0.0,0.0
2008-10-01,,,,,,,75332.385,1024835.0,1107880.0,,,,,,,0.0,0.0,0.0
2008-11-01,,,,,,,57904.538,787744.0,851576.0,,,,,,,0.0,0.0,0.0
2008-12-01,,,,,,,64176.806,873073.0,943820.0,,,,,,,0.0,0.0,0.0
2009-01-01,,,,,,,64537.748999999996,877983.0,1962665.0,,,,,,,0.0,0.0,0.0
2009-02-01,,,,,,,55071.411,749201.0,1674783.0,,,,,,,0.0,0.0,0.0
2009-03-01,,,,,,,70864.706,964056.0,2155074.0,,,,,,,0.0,0.0,0.0
2009-04-01,,,,,,,61808.702,840857.0,1879671.0,,,,,,,0.0,0.0,0.0
2009-05-01,,,,,,,82746.131,1125693.0,2516402.0,,,,,,,0.0,0.0,0.0
2009-06-01,,,,,,,110653.727,1505353.0,3365103.0,,,,,,,0.0,0.0,0.0
2009-07-01,,,,,,,122059.97,1660526.0,3711979.0,,,,,,,0.0,0.0,0.0
2009-08-01,,,,,,,122470.177,1666106.0,3724455.0,,,,,,,0.0,0.0,0.0
2009-09-01,,,,,,,91642.455,1246720.0,2786949.0,,,,,,,0.0,0.0,0.0
2009-10-01,,,,,,,73762.999,1003485.0,2243215.0,,,,,,,0.0,0.0,0.0
2009-11-01,,,,,,,56745.113,771971.0,1725682.0,,,,,,,0.0,0.0,0.0
2009-12-01,,,,,,,74242.06,1010002.0,2257784.0,,,,,,,0.0,0.0,0.0
2010-01-01,,,,,,,82558.001,1100671.0,1248674.0,,,,,,,0.0,0.0,0.0
2010-02-01,,,,,,,77368.111,1031479.0,1170178.0,,,,,,,0.0,0.0,0.0
2010-03-01,,,,,,,61355.601,817999.0,927991.0,,,,,,,0.0,0.0,0.0
2010-04-01,,,,,,,71934.024,959031.0,1087989.0,,,,,,,0.0,0.0,0.0
2010-05-01,,,,,,,87880.709,1171634.0,1329178.0,,,,,,,0.0,0.0,0.0
2010-06-01,,,,,,,105745.151,1409805.0,1599375.0,,,,,,,0.0,0.0,0.0
2010-07-01,,,,,,,110454.138,1472585.0,1670597.0,,,,,,,0.0,0.0,0.0
2010-08-01,,,,,,,130898.096,1745146.0,1979808.0,,,,,,,0.0,0.0,0.0
2010-09-01,,,,,,,95207.543,1269316.0,1439996.0,,,,,,,0.0,0.0,0.0
2010-10-01,,,,,,,70769.557,943507.0,1070376.0,,,,,,,0.0,0.0,0.0
2010-11-01,,,,,,,63930.340000000004,852325.0,966934.0,,,,,,,0.0,0.0,0.0
2010-12-01,,,,,,,66716.729,889474.0,1009077.0,,,,,,,0.0,0.0,0.0
2011-01-01,,,,,,,67979.251,906306.0,1023180.0,,,,,,,0.0,0.0,0.0
2011-02-01,,,,,,,61724.834,822921.0,929042.0,,,,,,,0.0,0.0,0.0
2011-03-01,,,,,,,55529.155,740320.0,835789.0,,,,,,,0.0,0.0,0.0
2011-04-01,,,,,,,71624.418,954904.0,1078043.0,,,,,,,0.0,0.0,0.0
2011-05-01,,,,,,,76279.476,1016965.0,1148109.0,,,,,,,0.0,0.0,0.0
2011-06-01,,,,,,,99016.369,1320096.0,1490329.0,,,,,,,0.0,0.0,0.0
2011-07-01,,,,,,,120083.99,1600971.0,1807426.0,,,,,,,0.0,0.0,0.0
2011-08-01,,,,,,,129245.94,1723119.0,1945325.0,,,,,,,0.0,0.0,0.0
2011-09-01,,,,,,,90942.07,1212448.0,1368801.0,,,,,,,0.0,0.0,0.0
2011-10-01,,,,,,,69405.124,925316.0,1044640.0,,,,,,,0.0,0.0,0.0
2011-11-01,,,,,,,64037.047,853748.0,963843.0,,,,,,,0.0,0.0,0.0
2011-12-01,,,,,,,76923.329,1025549.0,1157800.0,,,,,,,0.0,0.0,0.0
2012-01-01,,,,,,,77577.4,1055377.0,1130694.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,,,,,,,72309.299,983709.0,1053911.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,,,,,,,79346.38,1079442.0,1156477.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,,,,,,,89282.906,1214621.0,1301302.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,,,,,,,95921.57,1304934.0,1398061.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,,,,,,,106570.95,1449810.0,1553276.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,,,,,,,114975.03,1564141.0,1675766.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,,,,,,,119249.0,1622285.0,1738059.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,,,,,,,92121.414,1253236.0,1342673.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,,,,,,,72353.747,984313.0,1054559.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,,,,,,,65537.301,891581.0,955209.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,,,,,,,70526.007,959448.0,1027919.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,,,,,,,78241.308,1064409.0,1149511.0,,,,,,,0.0,0.0,0.0
2013-02-01,,,,,,,61801.243,840755.0,907977.0,,,,,,,0.0,0.0,0.0
2013-03-01,,,,,,,66528.683,905068.0,977432.0,,,,,,,0.0,0.0,0.0
2013-04-01,,,,,,,71708.711,975538.0,1053537.0,,,,,,,0.0,0.0,0.0
2013-05-01,,,,,,,77190.045,1050107.0,1134068.0,,,,,,,0.0,0.0,0.0
2013-06-01,,,,,,,95282.155,1296236.0,1399875.0,,,,,,,0.0,0.0,0.0
2013-07-01,,,,,,,105664.12,1437474.0,1552406.0,,,,,,,0.0,0.0,0.0
2013-08-01,,,,,,,117605.85,1599931.0,1727853.0,,,,,,,0.0,0.0,0.0
2013-09-01,,,,,,,99501.259,1353633.0,1461861.0,,,,,,,0.0,0.0,0.0
2013-10-01,,,,,,,77853.011,1059126.0,1143808.0,,,,,,,0.0,0.0,0.0
2013-11-01,,,,,,,76108.072,1035388.0,1118172.0,,,,,,,0.0,0.0,0.0
2013-12-01,,,,,,,83219.538,1132134.0,1222652.0,,,,,,,0.0,0.0,0.0
2014-01-01,,,,,,,82299.376,1097223.0,1177787.0,,,,,,,0.0,0.0,0.0
2014-02-01,,,,,,,71820.699,957520.0,1027826.0,,,,,,,0.0,0.0,0.0
2014-03-01,,,,,,,72888.599,971758.0,1043108.0,,,,,,,0.0,0.0,0.0
2014-04-01,,,,,,,75384.617,1005035.0,1078829.0,,,,,,,0.0,0.0,0.0
2014-05-01,,,,,,,83423.48,1112210.0,1193873.0,,,,,,,0.0,0.0,0.0
2014-06-01,,,,,,,97433.645,1298995.0,1394372.0,,,,,,,0.0,0.0,0.0
2014-07-01,,,,,,,113198.91,1509179.0,1619990.0,,,,,,,0.0,0.0,0.0
2014-08-01,,,,,,,126112.13,1681339.0,1804790.0,,,,,,,0.0,0.0,0.0
2014-09-01,,,,,,,102525.23,1366876.0,1467238.0,,,,,,,0.0,0.0,0.0
2014-10-01,,,,,,,89796.307,1197173.0,1285075.0,,,,,,,0.0,0.0,0.0
2014-11-01,,,,,,,77893.114,1038478.0,1114728.0,,,,,,,0.0,0.0,0.0
2014-12-01,,,,,,,85093.887,1134480.0,1217779.0,,,,,,,0.0,0.0,0.0
2015-01-01,,,,,,,81079.579,1103021.0,1164930.0,,,,,,,0.0,0.0,0.0
2015-02-01,,,,,,,73489.443,999764.0,1055878.0,,,,,,,0.0,0.0,0.0
2015-03-01,,,,,,,83311.433,1133384.0,1196999.0,,,,,,,0.0,0.0,0.0
2015-04-01,,,,,,,77197.876,1050214.0,1109160.0,,,,,,,0.0,0.0,0.0
2015-05-01,,,,,,,80275.222,1092079.0,1153375.0,,,,,,,0.0,0.0,0.0
2015-06-01,,,,,,,94457.861,1285022.0,1357148.0,,,,,,,0.0,0.0,0.0
2015-07-01,,,,,,,112008.52,1523784.0,1609311.0,,,,,,,0.0,0.0,0.0
2015-08-01,,,,,,,115080.34,1565574.0,1653446.0,,,,,,,0.0,0.0,0.0
2015-09-01,,,,,,,96492.516,1312702.0,1386380.0,,,,,,,0.0,0.0,0.0
2015-10-01,,,,,,,84063.114,1143610.0,1207798.0,,,,,,,0.0,0.0,0.0
2015-11-01,,,,,,,73013.363,993287.0,1049038.0,,,,,,,0.0,0.0,0.0
2015-12-01,,,,,,,82308.729,1119743.0,1182592.0,,,,,,,0.0,0.0,0.0
2016-01-01,,,,,,,87091.311,415370.0,1282354.0,,,,,,,0.0,0.0,0.0
2016-02-01,,,,,,,76052.8,362723.0,1119820.0,,,,,,,0.0,0.0,0.0
2016-03-01,,,,,,,85602.321,408268.0,1260429.0,,,,,,,0.0,0.0,0.0
2016-04-01,,,,,,,81684.572,389583.0,1202743.0,,,,,,,0.0,0.0,0.0
2016-05-01,,,,,,,91279.965,435347.0,1344028.0,,,,,,,0.0,0.0,0.0
2016-06-01,,,,,,,102070.63,486812.0,1502912.0,,,,,,,0.0,0.0,0.0
2016-07-01,,,,,,,114096.95,544169.0,1679991.0,,,,,,,0.0,0.0,0.0
2016-08-01,,,,,,,117452.93,560175.0,1729405.0,,,,,,,0.0,0.0,0.0
2016-09-01,,,,,,,99222.086,473226.0,1460969.0,,,,,,,0.0,0.0,0.0
2016-10-01,,,,,,,78188.596,372910.0,1151267.0,,,,,,,0.0,0.0,0.0
2016-11-01,,,,,,,69925.622,333500.0,1029602.0,,,,,,,0.0,0.0,0.0
2016-12-01,,,,,,,65127.487,310616.0,958953.0,,,,,,,0.0,0.0,0.0
2017-01-01,,,,,,,69245.376,323651.0,988322.0,,,,,,,0.0,0.0,0.0
2017-02-01,,,,,,,61366.95,286827.0,875874.0,,,,,,,0.0,0.0,0.0
2017-03-01,,,,,,,72304.382,337949.0,1031982.0,,,,,,,0.0,0.0,0.0
2017-04-01,,,,,,,71472.833,334062.0,1020113.0,,,,,,,0.0,0.0,0.0
2017-05-01,,,,,,,81566.6,381240.0,1164178.0,,,,,,,0.0,0.0,0.0
2017-06-01,,,,,,,104481.69,488345.0,1491240.0,,,,,,,0.0,0.0,0.0
2017-07-01,,,,,,,128172.73,599076.0,1829376.0,,,,,,,0.0,0.0,0.0
2017-08-01,,,,,,,122358.25,571899.0,1746387.0,,,,,,,0.0,0.0,0.0
2017-09-01,,,,,,,90237.504,421768.0,1287936.0,,,,,,,0.0,0.0,0.0
2017-10-01,,,,,,,79744.375,372723.0,1138171.0,,,,,,,0.0,0.0,0.0
2017-11-01,,,,,,,66320.16,309979.0,946570.0,,,,,,,0.0,0.0,0.0
2017-12-01,,,,,,,86733.14,405388.0,1237920.0,,,,,,,0.0,0.0,0.0
2018-01-01,,,,,,,84448.392,402765.0,1183284.0,,,,,,,0.0,0.0,0.0
2018-02-01,,,,,,,75957.942,362271.0,1064317.0,,,,,,,0.0,0.0,0.0
2018-03-01,,,,,,,76794.835,366262.0,1076043.0,,,,,,,0.0,0.0,0.0
2018-04-01,,,,,,,71292.61,340020.0,998947.0,,,,,,,0.0,0.0,0.0
2018-05-01,,,,,,,96467.071,460086.0,1351689.0,,,,,,,0.0,0.0,0.0
2018-06-01,,,,,,,105211.87,501793.0,1474221.0,,,,,,,0.0,0.0,0.0
2018-07-01,,,,,,,130835.28,624001.0,1833253.0,,,,,,,0.0,0.0,0.0
2018-08-01,,,,,,,121809.18,580952.0,1706781.0,,,,,,,0.0,0.0,0.0
2018-09-01,,,,,,,103340.8,492869.0,1448003.0,,,,,,,0.0,0.0,0.0
2018-10-01,,,,,,,86822.197,414086.0,1216546.0,,,,,,,0.0,0.0,0.0
2018-11-01,,,,,,,74951.009,357468.0,1050207.0,,,,,,,0.0,0.0,0.0
2018-12-01,,,,,,,81095.818,386775.0,1136309.0,,,,,,,0.0,0.0,0.0
2019-01-01,,,,,,,78696.453,375332.0,1188152.0,,,,,,,0.0,0.0,0.0
2019-02-01,,,,,,,63266.36,301740.0,955191.0,,,,,,,0.0,0.0,0.0
2019-03-01,,,,,,,67980.633,324224.0,1026367.0,,,,,,,0.0,0.0,0.0
2019-04-01,,,,,,,61253.769,292141.0,924805.0,,,,,,,0.0,0.0,0.0
2019-05-01,,,,,,,83321.66,397391.0,1257985.0,,,,,,,0.0,0.0,0.0
2019-06-01,,,,,,,96122.481,458443.0,1451251.0,,,,,,,0.0,0.0,0.0
2019-07-01,,,,,,,110606.95,527524.0,1669936.0,,,,,,,0.0,0.0,0.0
2019-08-01,,,,,,,119080.54,567938.0,1797869.0,,,,,,,0.0,0.0,0.0
2019-09-01,,,,,,,102917.83,490852.0,1553847.0,,,,,,,0.0,0.0,0.0
2019-10-01,,,,,,,79803.186,380610.0,1204863.0,,,,,,,0.0,0.0,0.0
2019-11-01,,,,,,,72386.061,345235.0,1092880.0,,,,,,,0.0,0.0,0.0
2019-12-01,,,,,,,80481.083,383843.0,1215098.0,,,,,,,0.0,0.0,0.0
2020-01-01,,,,,,,80601.58,384418.0,1122430.0,,,,,,,0.0,0.0,0.0
2020-02-01,,,,,,,76685.627,365741.0,1067898.0,,,,,,,0.0,0.0,0.0
2020-03-01,,,,,,,74727.161,356401.0,1040625.0,,,,,,,0.0,0.0,0.0
2020-04-01,,,,,,,66537.273,317340.0,926576.0,,,,,,,0.0,0.0,0.0
2020-05-01,,,,,,,79657.285,379914.0,1109281.0,,,,,,,0.0,0.0,0.0
2020-06-01,,,,,,,94216.485,449352.0,1312027.0,,,,,,,0.0,0.0,0.0
2020-07-01,,,,,,,114629.11,546707.0,1596286.0,,,,,,,0.0,0.0,0.0
2020-08-01,,,,,,,110945.93,529141.0,1544995.0,,,,,,,0.0,0.0,0.0
2020-09-01,,,,,,,91550.443,436637.0,1274900.0,,,,,,,0.0,0.0,0.0
2020-10-01,,,,,,,79169.68,377589.0,1102490.0,,,,,,,0.0,0.0,0.0
2020-11-01,,,,,,,62011.735,295756.0,863555.0,,,,,,,0.0,0.0,0.0
2020-12-01,,,,,,,68152.695,325045.0,949072.0,,,,,,,0.0,0.0,0.0
2021-01-01,,,,,,,91857.298,124679.0,124679.0,,,,,,,0.0,0.0,0.0
2021-02-01,,,,,,,89327.122,121244.0,121244.0,,,,,,,0.0,0.0,0.0
2021-03-01,,,,,,,69617.609,94493.0,94493.0,,,,,,,0.0,0.0,0.0
2021-04-01,,,,,,,79304.912,107641.0,107641.0,,,,,,,0.0,0.0,0.0
2021-05-01,,,,,,,90772.891,123207.0,123207.0,,,,,,,0.0,0.0,0.0
2021-06-01,,,,,,,123559.56,167709.0,167709.0,,,,,,,0.0,0.0,0.0
2021-07-01,,,,,,,136119.02,184756.0,184756.0,,,,,,,0.0,0.0,0.0
2021-08-01,,,,,,,138812.34,188412.0,188412.0,,,,,,,0.0,0.0,0.0
2021-09-01,,,,,,,117298.8,159211.0,159211.0,,,,,,,0.0,0.0,0.0
2021-10-01,,,,,,,99255.258,134721.0,134721.0,,,,,,,0.0,0.0,0.0
2021-11-01,,,,,,,81639.487,110810.0,110810.0,,,,,,,0.0,0.0,0.0
2021-12-01,,,,,,,85669.713,116280.0,116280.0,,,,,,,0.0,0.0,0.0
2022-01-01,,,,,,,90525.326,423113.0,1252168.0,,,,,,,0.0,0.0,0.0
2022-02-01,,,,,,,80594.57,376697.0,1114804.0,,,,,,,0.0,0.0,0.0
2022-03-01,,,,,,,64178.35,299968.0,887730.0,,,,,,,0.0,0.0,0.0
2022-04-01,,,,,,,66901.79,312697.0,925401.0,,,,,,,0.0,0.0,0.0
2022-05-01,,,,,,,98831.891,461938.0,1367066.0,,,,,,,0.0,0.0,0.0
2022-06-01,,,,,,,120306.28,562308.0,1664105.0,,,,,,,0.0,0.0,0.0
2022-07-01,,,,,,,141767.93,662619.0,1960969.0,,,,,,,0.0,0.0,0.0
2022-08-01,,,,,,,142505.86,666069.0,1971176.0,,,,,,,0.0,0.0,0.0
2022-09-01,,,,,,,120123.89,561456.0,1661583.0,,,,,,,0.0,0.0,0.0
2022-10-01,,,,,,,92839.82,433931.0,1284182.0,,,,,,,0.0,0.0,0.0
2022-11-01,,,,,,,87016.493,406713.0,1203633.0,,,,,,,0.0,0.0,0.0
2022-12-01,,,,,,,96566.793,451351.0,1335735.0,,,,,,,0.0,0.0,0.0
2023-01-01,,,,,,,80946.994,378344.0,1108657.0,,,,,,,0.0,0.0,0.0
2023-02-01,,,,,,,76346.41,356841.0,1045647.0,,,,,,,0.0,0.0,0.0
2023-03-01,,,,,,,75348.035,352175.0,1031974.0,,,,,,,0.0,0.0,0.0
2023-04-01,,,,,,,72769.312,340122.0,996655.0,,,,,,,0.0,0.0,0.0
2023-05-01,,,,,,,103892.33,485590.0,1422918.0,,,,,,,0.0,0.0,0.0
2023-06-01,,,,,,,120014.22,560943.0,1643725.0,,,,,,,0.0,0.0,0.0
2023-07-01,,,,,,,131619.19,615184.0,1802668.0,,,,,,,0.0,0.0,0.0
2023-08-01,,,,,,,144868.9,677113.0,1984136.0,,,,,,,0.0,0.0,0.0
2023-09-01,,,,,,,122042.78,570425.0,1671508.0,,,,,,,0.0,0.0,0.0
2023-10-01,,,,,,,90085.244,421056.0,1233816.0,,,,,,,0.0,0.0,0.0
2023-11-01,,,,,,,83522.579,390382.0,1143932.0,,,,,,,0.0,0.0,0.0
2023-12-01,,,,,,,88750.016,414815.0,1215528.0,,,,,,,0.0,0.0,0.0
2024-01-01,,,,,,,107167.7,500899.0,1439935.0,,,,,,,0.0,0.0,0.0
2024-02-01,,,,,,,73990.595,345830.0,994157.0,,,,,,,0.0,0.0,0.0
2024-03-01,,,,,,,83965.548,392453.0,1128183.0,,,,,,,0.0,0.0,0.0
2024-04-01,,,,,,,78887.636,368719.0,1059955.0,,,,,,,0.0,0.0,0.0
