measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Generation,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Combustion Turbine Part - Waste Oil - Total Fuel Consumed,Kerosene - Combined Cycle Steam Part - Waste Oil - Generation,Kerosene - Combined Cycle Steam Part - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combined Cycle Steam Part - Waste Oil - Total Fuel Consumed,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed",Residual Fuel Oil - Combined Cycle Combustion Turbine Part - Residual Fuel Oil - Generation,Residual Fuel Oil - Combined Cycle Combustion Turbine Part - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combined Cycle Combustion Turbine Part - Residual Fuel Oil - Total Fuel Consumed,Residual Fuel Oil - Combined Cycle Steam Part - Residual Fuel Oil - Generation,Residual Fuel Oil - Combined Cycle Steam Part - Residual Fuel Oil - Quantity Consumed For Electricity,Residual Fuel Oil - Combined Cycle Steam Part - Residual Fuel Oil - Total Fuel Consumed
2004-03-01,2.80987,32.95,40.22,0.0,0.0,0.0,0.0,0.0,28.98,158.42718,1857.57,2267.48,0.0,0.0,0.0,7093.2551,83169.02,101521.92,0.0,0.0,0.0,,,,243.44785,2854.45,3484.34,0.0,0.0,0.0
2004-04-01,0.00812,0.1,0.12,0.0,0.0,0.0,0.0,0.0,38.82,158.20238999999998,1854.94,2267.48,0.0,0.0,0.0,6702.76706,78590.52,96069.39,0.0,0.0,0.0,,,,243.10242,2850.4,3484.34,0.0,0.0,0.0
2004-05-01,0.0041,0.05,0.06,0.0,0.0,0.0,0.0,0.0,36.78,159.68607,1872.33,2267.48,0.0,0.0,0.0,9357.95452,109722.82,132879.46,0.0,0.0,0.0,,,,245.38231,2877.13,3484.34,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.84,158.87018,1862.77,2267.48,0.0,0.0,0.0,7699.16223,90273.34,109886.67,0.0,0.0,0.0,,,,244.12859,2862.43,3484.34,0.0,0.0,0.0
2004-07-01,0.00407,0.05,0.06,0.0,0.0,0.0,0.0,0.0,39.98,158.61347,1859.76,2267.48,0.0,0.0,0.0,7285.70934,85425.57,104153.94,0.0,0.0,0.0,,,,243.73411,2857.8,3484.34,0.0,0.0,0.0
2004-08-01,0.004079999999999999,0.05,0.06,0.0,0.0,0.0,0.0,0.0,42.78,158.98004,1864.05,2267.48,0.0,0.0,0.0,7889.79349,92508.5,112529.65,0.0,0.0,0.0,,,,244.29739,2864.41,3484.34,0.0,0.0,0.0
2004-09-01,0.0041,0.05,0.06,0.0,0.0,0.0,0.0,0.0,35.39,159.63732,1871.76,2267.48,0.0,0.0,0.0,9240.49917,108345.65,131251.7,0.0,0.0,0.0,,,,245.30741,2876.25,3484.34,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33,157.37464,1845.23,2267.48,0.0,0.0,0.0,5755.66391,67485.66,82928.65,0.0,0.0,0.0,,,,241.83044999999998,2835.48,3484.34,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36,158.88429,1862.93,2267.48,0.0,0.0,0.0,7723.13344,90554.39,110219.01,0.0,0.0,0.0,,,,244.15026,2862.68,3484.34,0.0,0.0,0.0
2004-12-01,2.2535499999999997,26.42,32.13,0.0,0.0,0.0,0.0,0.0,25.03,159.05557,1864.94,2267.48,0.0,0.0,0.0,8101.48243,94990.57,115494.04,0.0,0.0,0.0,,,,244.41345,2865.77,3484.34,0.0,0.0,0.0
