measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2008-09-01,4614.5160000000005,98910.0,98910.0,0.0,0.0,0.0
2008-10-01,3998.7630000000004,85712.0,85712.0,0.0,0.0,0.0
2008-11-01,3194.3520000000003,68470.0,68470.0,0.0,0.0,0.0
2008-12-01,2907.699,62325.0,62325.0,0.0,0.0,0.0
2009-01-01,3466.3540000000003,71776.0,71776.0,0.0,0.0,0.0
2009-02-01,3331.087,68976.0,68976.0,0.0,0.0,0.0
2009-03-01,3860.1870000000004,79933.0,79933.0,0.0,0.0,0.0
2009-04-01,4179.124,86537.0,86537.0,0.0,0.0,0.0
2009-05-01,4925.393,101990.0,101990.0,0.0,0.0,0.0
2009-06-01,5475.126,113372.0,113372.0,0.0,0.0,0.0
2009-07-01,5608.203,116128.0,116128.0,0.0,0.0,0.0
2009-08-01,5748.5740000000005,119034.0,119034.0,0.0,0.0,0.0
2009-09-01,5776.694,119616.0,119616.0,0.0,0.0,0.0
2009-10-01,5202.593,107730.0,107730.0,0.0,0.0,0.0
2009-11-01,4274.917,88520.0,88520.0,0.0,0.0,0.0
2009-12-01,3670.748,76010.0,76010.0,0.0,0.0,0.0
2010-01-01,,,,1566.144,81266.0,81266.0
2010-02-01,,,,1415.6390000000001,73459.0,73459.0
2010-03-01,,,,1570.7710000000002,81508.0,81508.0
2010-04-01,,,,1625.547,84351.0,84351.0
2010-05-01,,,,2015.7820000000002,104600.0,104600.0
2010-06-01,,,,2241.7760000000003,116327.0,116327.0
2010-07-01,,,,2198.471,114080.0,114080.0
2010-08-01,,,,2255.001,117013.0,117013.0
2010-09-01,,,,2212.1220000000003,114788.0,114788.0
2010-10-01,,,,1866.026,96829.0,96829.0
2010-11-01,,,,1535.1480000000001,79659.0,79659.0
2010-12-01,,,,1696.573,88036.0,88036.0
2011-01-01,,,,5800.533,74477.0,74477.0
2011-02-01,,,,5233.654,67199.0,67199.0
2011-03-01,,,,6207.458,79702.0,79702.0
2011-04-01,,,,7173.462,92105.0,92105.0
2011-05-01,,,,7221.631,92723.0,92723.0
2011-06-01,,,,7925.025,101755.0,101755.0
2011-07-01,,,,8203.419,105329.0,105329.0
2011-08-01,,,,8740.969,112232.0,112232.0
2011-09-01,,,,7948.913,102061.0,102061.0
2011-10-01,,,,6679.184,85759.0,85759.0
2011-11-01,,,,6020.537,77302.0,77302.0
2011-12-01,,,,6095.215,78261.0,78261.0
2012-01-01,,,,6429.378,82786.0,82786.0
2012-02-01,,,,6017.226,77480.0,77480.0
2012-03-01,,,,7117.748,91651.0,91651.0
2012-04-01,,,,7027.017,90483.0,90483.0
2012-05-01,,,,8188.468,105438.0,105438.0
2012-06-01,,,,7950.982,102380.0,102380.0
2012-07-01,,,,8775.301,112995.0,112995.0
2012-08-01,,,,8752.712,112704.0,112704.0
2012-09-01,,,,8148.799,104928.0,104928.0
2012-10-01,,,,7329.908,94383.0,94383.0
2012-11-01,,,,5851.718,75350.0,75350.0
2012-12-01,,,,6572.743,84634.0,84634.0
2013-01-01,,,,5402.146,70034.0,70034.0
2013-02-01,,,,5428.388,70374.0,70374.0
2013-03-01,,,,5558.079,72056.0,72056.0
2013-04-01,,,,5597.352,72565.0,72565.0
2013-05-01,,,,6136.159,79550.0,79550.0
2013-06-01,,,,6842.231,88704.0,88704.0
2013-07-01,,,,6795.866,88103.0,88103.0
2013-08-01,,,,7462.101,96740.0,96740.0
2013-09-01,,,,6724.795,87181.0,87181.0
2013-10-01,,,,6556.331,84997.0,84997.0
2013-11-01,,,,5418.114,70241.0,70241.0
2013-12-01,,,,5096.438,66071.0,66071.0
2014-01-01,,,,5947.23,75635.0,75635.0
2014-02-01,,,,4562.153,58019.0,58019.0
2014-03-01,,,,6028.904,76673.0,76673.0
2014-04-01,,,,6640.323,84449.0,84449.0
2014-05-01,,,,7023.011,89316.0,89316.0
2014-06-01,,,,7108.883,90408.0,90408.0
2014-07-01,,,,7914.942,100660.0,100660.0
2014-08-01,,,,8482.807,107881.0,107881.0
2014-09-01,,,,7368.89,93715.0,93715.0
2014-10-01,,,,6932.54,88165.0,88165.0
2014-11-01,,,,5106.772,64946.0,64946.0
2014-12-01,,,,5408.545,68784.0,68784.0
2015-01-01,,,,5202.651,63825.0,63825.0
2015-02-01,,,,4690.146,57539.0,57539.0
2015-03-01,,,,5420.569,66500.0,66500.0
2015-04-01,,,,6139.911,75325.0,75325.0
2015-05-01,,,,6277.285,77010.0,77010.0
2015-06-01,,,,6544.082,80283.0,80283.0
2015-07-01,,,,6888.088,84504.0,84504.0
2015-08-01,,,,6976.962,85594.0,85594.0
2015-09-01,,,,6530.145,80112.0,80112.0
2015-10-01,,,,6210.113,76186.0,76186.0
2015-11-01,,,,5556.26,68164.0,68164.0
2015-12-01,,,,5608.488,68805.0,68805.0
2016-01-01,,,,5030.297,65321.0,65321.0
2016-02-01,,,,4698.979,61019.0,61019.0
2016-03-01,,,,5100.321,66231.0,66231.0
2016-04-01,,,,5608.121,72825.0,72825.0
2016-05-01,,,,5894.762,76547.0,76547.0
2016-06-01,,,,6440.358,83632.0,83632.0
2016-07-01,,,,6937.086,90083.0,90083.0
2016-08-01,,,,6969.722,90507.0,90507.0
2016-09-01,,,,6264.864,81353.0,81353.0
2016-10-01,,,,5646.608,73324.0,73324.0
2016-11-01,,,,4432.226,57555.0,57555.0
2016-12-01,,,,4587.836,59576.0,59576.0
2017-01-01,,,,5582.672,66891.0,66891.0
2017-02-01,,,,5226.509,62622.0,62622.0
2017-03-01,,,,6012.475,72039.0,72039.0
2017-04-01,,,,6252.129,74911.0,74911.0
2017-05-01,,,,7442.911,89178.0,89178.0
2017-06-01,,,,7356.459,88143.0,88143.0
2017-07-01,,,,8423.893,100932.0,100932.0
2017-08-01,,,,8725.286,104543.0,104543.0
2017-09-01,,,,7581.993,90844.0,90844.0
2017-10-01,,,,7354.532,88119.0,88119.0
2017-11-01,,,,5823.965,69780.0,69780.0
2017-12-01,,,,5647.336,67664.0,67664.0
2018-01-01,,,,5704.952,107637.0,107637.0
2018-02-01,,,,5257.756,99200.0,99200.0
2018-03-01,,,,5642.912,106466.0,106466.0
2018-04-01,,,,5972.402,112683.0,112683.0
2018-05-01,,,,6470.022,122072.0,122072.0
2018-06-01,,,,7322.657,138159.0,138159.0
2018-07-01,,,,7561.961,142674.0,142674.0
2018-08-01,,,,8011.415,151154.0,151154.0
2018-09-01,,,,7983.465,150626.0,150626.0
2018-10-01,,,,7338.234,138453.0,138453.0
2018-11-01,,,,5699.121,107527.0,107527.0
2018-12-01,,,,5014.683,94614.0,94614.0
2019-01-01,,,,4852.394,94490.0,94490.0
2019-02-01,,,,4622.105,90007.0,90007.0
2019-03-01,,,,5041.779,98178.0,98178.0
2019-04-01,,,,5024.403,97840.0,97840.0
2019-05-01,,,,6553.825,127622.0,127622.0
2019-06-01,,,,6776.903,131967.0,131967.0
2019-07-01,,,,7068.393,137643.0,137643.0
2019-08-01,,,,7234.091,140870.0,140870.0
2019-09-01,,,,6965.886,135646.0,135646.0
2019-10-01,,,,6562.931,127800.0,127800.0
2019-11-01,,,,4736.394,92232.0,92232.0
2019-12-01,,,,4980.756,96990.0,96990.0
2020-01-01,,,,4916.453,99421.0,99421.0
2020-02-01,,,,4858.693,98254.0,98254.0
2020-03-01,,,,5549.423,112221.0,112221.0
2020-04-01,,,,5451.252,110237.0,110237.0
2020-05-01,,,,5495.892,111139.0,111139.0
2020-06-01,,,,6300.295,127406.0,127406.0
2020-07-01,,,,6796.396,137438.0,137438.0
2020-08-01,,,,6848.797,138498.0,138498.0
2020-09-01,,,,6146.746,124301.0,124301.0
2020-10-01,,,,6014.72,121631.0,121631.0
2020-11-01,,,,4970.951,100524.0,100524.0
2020-12-01,,,,4539.882,91806.0,91806.0
2021-01-01,,,,6078.073,125387.0,125387.0
2021-02-01,,,,5567.813,114861.0,114861.0
2021-03-01,,,,6281.089,129575.0,129575.0
2021-04-01,,,,6551.987,135164.0,135164.0
2021-05-01,,,,7788.66,160676.0,160676.0
2021-06-01,,,,8046.601,165997.0,165997.0
2021-07-01,,,,8948.205,184597.0,184597.0
2021-08-01,,,,9283.879,191521.0,191521.0
2021-09-01,,,,8533.054,176033.0,176033.0
2021-10-01,,,,8068.594,166451.0,166451.0
2021-11-01,,,,6268.383,129313.0,129313.0
2021-12-01,,,,6661.162,137416.0,137416.0
2022-01-01,,,,6124.001,157295.0,157295.0
2022-02-01,,,,5028.713,129163.0,129163.0
2022-03-01,,,,5804.466,149088.0,149088.0
2022-04-01,,,,5788.556,148679.0,148679.0
2022-05-01,,,,7054.385,181192.0,181192.0
2022-06-01,,,,7726.487,198455.0,198455.0
2022-07-01,,,,8456.325,217202.0,217202.0
2022-08-01,,,,8477.456,217744.0,217744.0
2022-09-01,,,,7420.05,190585.0,190585.0
2022-10-01,,,,6187.966,158939.0,158939.0
2022-11-01,,,,5744.016,147536.0,147536.0
2022-12-01,,,,5788.579,148680.0,148680.0
2023-01-01,,,,6241.664,123159.0,123159.0
2023-02-01,,,,5522.987,108979.0,108979.0
2023-03-01,,,,6275.075,123819.0,123819.0
2023-04-01,,,,6861.863,135398.0,135398.0
2023-05-01,,,,7779.67,153507.0,153507.0
2023-06-01,,,,8226.752,162330.0,162330.0
2023-07-01,,,,9280.201,183115.0,183115.0
2023-08-01,,,,9794.41,193263.0,193263.0
2023-09-01,,,,8475.599,167239.0,167239.0
2023-10-01,,,,7345.736,144946.0,144946.0
2023-11-01,,,,6306.882,124446.0,124446.0
2023-12-01,,,,6288.161,124078.0,124078.0
2024-01-01,,,,6411.021,141838.0,141838.0
2024-02-01,,,,5487.642,121411.0,121411.0
2024-03-01,,,,6460.762,142940.0,142940.0
2024-04-01,,,,6073.988,134383.0,134383.0
2024-05-01,,,,8243.141,182373.0,182373.0
2024-06-01,,,,8318.379,184038.0,184038.0
2024-07-01,,,,9236.668,204355.0,204355.0
2024-08-01,,,,9113.167,201623.0,201623.0
2024-09-01,,,,8867.58,196189.0,196189.0
2024-10-01,,,,7569.907,167479.0,167479.0
2024-11-01,,,,6590.721,145816.0,145816.0
2024-12-01,,,,5842.024,129250.0,129250.0
