measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Purchased Steam-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Sludge Waste-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2005-03-01,30001.99341,150592.91,1095641.8,0.0,0.0,0.0,2594.68184,13023.82,94755.1,0.0,0.0,0.0,1155.99963,5802.46,42215.91,0.0,0.0,0.0,151.09957,758.43,5518.0,7994.11355,40125.89,291936.77
2005-04-01,29591.85222,148534.23,1107666.0,0.0,0.0,0.0,4053.1369,20344.44,151714.8,0.0,0.0,0.0,449.91895999999997,2258.34,16841.12,0.0,0.0,0.0,154.04158,773.2,5766.0,6823.08234,34247.98,255397.88
2005-05-01,29455.09028,147847.77,1075711.6,0.0,0.0,0.0,1251.09636,6279.79,45690.54,0.0,0.0,0.0,80.52793,404.2,2940.91,0.0,0.0,0.0,100.1632,502.76,3658.0,7429.09223,37289.81,271313.4
2005-06-01,27210.802900000002,136582.72,1080620.4,0.0,0.0,0.0,2684.17321,13473.02,106596.35,0.0,0.0,0.0,151.90624,762.48,6032.64,0.0,0.0,0.0,39.03012,195.91,1550.0,6376.67953,32007.3,253236.56
2005-07-01,27953.97604,140313.03,1072525.6,0.0,0.0,0.0,1768.0111000000002,8874.41,67834.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.77544,89.22,682.0,6396.32642,32105.91,245411.38
2005-08-01,19848.26086,99626.96,652186.0,0.0,0.0,0.0,4917.20475,24681.57,161572.45,0.0,0.0,0.0,1141.7627,5731.0,37516.72,137.72347,691.29,4525.4,128.30737,644.03,4216.0,8666.42486,43500.52,284766.56
2005-09-01,26819.20893,134617.15,1084195.8,0.0,0.0,0.0,1180.39254,5924.9,47718.66,0.0,0.0,0.0,275.6025,1383.37,11141.53,258.65315,1298.29,10456.34,59.81286,300.23,2418.0,6514.89802,32701.08,263371.87
2005-10-01,26375.714500000002,132391.06,1112327.0,0.0,0.0,0.0,2175.49547,10919.75,91745.85,0.0,0.0,0.0,1350.45436,6778.51,56951.89,285.56331,1433.37,12042.89,17.64187,88.55,744.0,6757.07649,33916.67,284962.09
2005-11-01,23814.99384,119537.7,968119.2,0.0,0.0,0.0,3990.23194,20028.69,162209.58,0.0,0.0,0.0,507.646,2548.09,20636.66,321.91526,1615.83,13086.39,38.89139,195.21,1581.0,5781.88557,29021.77,235043.29
2005-12-01,26386.14253,132443.4,1110096.8,0.0,0.0,0.0,2174.26587,10913.58,91473.98,0.0,0.0,0.0,725.02169,3639.2,30502.54,172.6106,866.41,7261.94,43.47392,218.21,1829.0,6817.03139,34217.61,286800.72
2006-01-01,24966.80214,125319.12,1146924.6,0.0,0.0,0.0,2397.93905,12036.29,110156.49,0.0,0.0,0.0,1060.83058,5324.77,48732.42,170.82978,857.47,7847.58,21.59433,108.39,992.0,6221.68812,31229.33,285811.82
2006-02-01,24025.88869,120596.27,1014198.2,0.0,0.0,0.0,2786.04354,13984.35,117606.49,0.0,0.0,0.0,193.67345,972.13,8175.48,184.64423,926.81,7794.34,71.96882,361.24,3038.0,5656.86526,28394.24,238791.69
2006-03-01,25618.9163,128592.35,1165769.2,0.0,0.0,0.0,2343.21788,11761.62,106626.34,0.0,0.0,0.0,6.62444,33.25,301.44,191.17816,959.61,8699.42,61.31297,307.76,2790.0,7895.63425,39631.58,359284.8
2006-04-01,16205.52862,81342.52,713770.2,0.0,0.0,0.0,4310.57462,21636.63,189858.65,0.0,0.0,0.0,0.0,0.0,0.0,122.8108,616.44,5409.18,124.57754,625.31,5487.0,5596.74343,28092.46,246507.77
2006-05-01,26394.32481,132484.47,964685.4,0.0,0.0,0.0,2425.64208,12175.34,88654.72,0.0,0.0,0.0,0.0,0.0,0.0,220.54071,1106.99,8060.54,127.22657,638.6,4650.0,7179.62082,36037.61,262407.75
2006-06-01,23512.12056,118017.45,988474.2,0.0,0.0,0.0,2455.60346,12325.73,103236.14,0.0,0.0,0.0,0.0,0.0,0.0,169.44182999999998,850.5,7123.51,16.22224,81.43,682.0,6765.69592,33959.94,284436.95
2006-07-01,23836.35681,119644.93,1028488.0,0.0,0.0,0.0,4241.74219,21291.13,183022.14,0.0,0.0,0.0,0.0,0.0,0.0,178.42142,895.57,7698.5,71.1275,357.02,3069.0,6857.74309,34421.96,295897.0
2006-08-01,24086.4569,120900.3,1070000.4,0.0,0.0,0.0,4243.99784,21302.45,188532.48,0.0,0.0,0.0,0.0,0.0,0.0,155.32166,779.63,6899.9,12.56097,63.05,558.0,4728.04164,23732.08,210035.31
2006-09-01,26194.75279,131482.73,1041220.2,0.0,0.0,0.0,1360.48036,6828.84,54077.99,0.0,0.0,0.0,0.0,0.0,0.0,165.81752,832.31,6591.11,20.27714,101.78,806.0,6138.05719,30809.55,243982.8
2006-10-01,25203.30741,126506.24,1099594.8,0.0,0.0,0.0,3953.80382,19845.84,172500.46,0.0,0.0,0.0,13.39504,67.24,584.41,222.33676,1116.0,9700.33,17.05288,85.6,744.0,6476.51509,32508.41,282563.8
2006-11-01,25446.90978,127728.99,1110993.6,0.0,0.0,0.0,1673.3047000000001,8399.04,73055.27,0.0,0.0,0.0,0.0,0.0,0.0,239.9864,1204.6,10477.63,20.591269999999998,103.36,899.0,6018.44184,30209.15,262760.8
2006-12-01,24980.88636,125389.81,954997.6,0.0,0.0,0.0,3820.036,19174.4,146036.66,0.0,0.0,0.0,0.0,0.0,0.0,284.65873,1428.82,10882.26,64.87199,325.62,2480.0,7388.96192,37088.38,282473.6
2007-01-01,22553.833,113209.0,1026175.0,0.0,0.0,0.0,4194.961,21057.0,190866.0,0.0,0.0,0.0,0.0,0.0,0.0,191.2,958.0,8699.0,39.517,186.0,1798.0,6899.872,34634.0,313937.0
2007-02-01,22509.993,112985.0,968733.0,0.0,0.0,0.0,2881.385,14463.0,124002.0,0.0,0.0,0.0,0.0,0.0,0.0,211.05100000000002,1054.0,9083.0,44.661,217.0,1922.0,5965.985000000001,29946.0,256750.0
2007-03-01,22320.351,112041.0,991471.0,0.0,0.0,0.0,4176.76,20965.0,185532.0,0.0,0.0,0.0,0.0,0.0,0.0,248.101,1246.0,11021.0,0.0,0.0,0.0,5530.469,27757.0,245664.0
2007-04-01,16631.099000000002,83484.0,742044.0,0.0,0.0,0.0,4380.652,21988.0,195455.0,0.0,0.0,0.0,0.0,0.0,0.0,193.067,969.0,8614.0,0.0,0.0,0.0,4291.147,21541.0,191462.0
2007-05-01,22876.124,114828.0,1133040.0,0.0,0.0,0.0,4038.55,20271.0,200027.0,0.0,0.0,0.0,0.0,0.0,0.0,171.55700000000002,862.0,8497.0,0.0,0.0,0.0,4786.126,24026.0,237054.0
2007-06-01,22195.781,111408.0,1021692.0,0.0,0.0,0.0,4243.301,21299.0,195323.0,0.0,0.0,0.0,0.0,0.0,0.0,210.27200000000002,1054.0,9679.0,0.0,0.0,0.0,5271.019,26461.0,242630.0
2007-07-01,21988.108,110364.0,1151712.0,0.0,0.0,0.0,3734.1620000000003,18744.0,195591.0,0.0,0.0,0.0,0.0,0.0,0.0,191.091,958.0,10009.0,15.388,62.0,806.0,5357.826,26896.0,280637.0
2007-08-01,23424.192,117576.0,1011768.0,0.0,0.0,0.0,1593.52,7998.0,68829.0,0.0,0.0,0.0,0.0,0.0,0.0,220.882,1107.0,9541.0,0.0,0.0,0.0,5923.142000000001,29733.0,255840.0
2007-09-01,19420.794,97476.0,1051404.0,0.0,0.0,0.0,3819.5440000000003,19172.0,206783.0,0.0,0.0,0.0,0.0,0.0,0.0,173.27700000000002,873.0,9381.0,0.0,0.0,0.0,5097.693,25584.0,275979.0
2007-10-01,20100.374,100896.0,1056072.0,0.0,0.0,0.0,4859.282,24391.0,255306.0,0.0,0.0,0.0,0.0,0.0,0.0,161.119,809.0,8465.0,0.0,0.0,0.0,4965.425,24920.0,260883.0
2007-11-01,20442.943,102612.0,997812.0,0.0,0.0,0.0,4445.311000000001,22313.0,216974.0,0.0,0.0,0.0,0.0,0.0,0.0,181.94,916.0,8880.0,0.0,0.0,0.0,5659.406,28405.0,276233.0
2007-12-01,21510.128,107964.0,1080768.0,0.0,0.0,0.0,6080.588000000001,30521.0,305517.0,0.0,0.0,0.0,0.0,0.0,0.0,194.757,980.0,9786.0,0.0,0.0,0.0,5354.481000000001,26880.0,269034.0
2008-01-01,22361.248,112241.0,1102416.0,0.0,0.0,0.0,4923.215,24712.0,242716.0,,,,0.0,0.0,0.0,209.935,1054.0,10350.0,37.728,189.0,1860.0,6135.992,30799.0,302506.0
2008-02-01,21537.767,108107.0,1093956.0,0.0,0.0,0.0,3945.1600000000003,19802.0,200384.0,,,,0.0,0.0,0.0,220.74800000000002,1108.0,11212.0,14.766,74.0,750.0,5644.957,28334.0,286721.0
2008-03-01,23302.3,116964.0,1154184.0,0.0,0.0,0.0,4026.237,20209.0,199423.0,,,,0.0,0.0,0.0,228.305,1146.0,11308.0,0.0,0.0,0.0,5640.729,28313.0,279390.0
2008-04-01,23264.318,116774.0,1135704.0,0.0,0.0,0.0,3086.279,15491.0,150664.0,,,,0.0,0.0,0.0,266.105,1336.0,12991.0,0.0,0.0,0.0,5755.011,28887.0,280945.0
2008-05-01,21592.695,108383.0,1156008.0,0.0,0.0,0.0,3327.5420000000004,16702.0,178147.0,,,,0.0,0.0,0.0,254.77900000000002,1279.0,13640.0,0.0,0.0,0.0,5189.67,26049.0,277839.0
2008-06-01,21862.611,109738.0,1092276.0,0.0,0.0,0.0,1789.04,8980.0,89382.0,,,,0.0,0.0,0.0,160.911,808.0,8039.0,0.0,0.0,0.0,4708.349,23633.0,235233.0
2008-07-01,22795.552,114421.0,1142124.0,0.0,0.0,0.0,1877.1660000000002,9422.0,94052.0,,,,0.0,0.0,0.0,182.982,918.0,9168.0,0.0,0.0,0.0,4932.805,24760.0,247148.0
2008-08-01,22812.636,114506.0,1155000.0,0.0,0.0,0.0,2596.473,13033.0,131459.0,,,,0.0,0.0,0.0,155.84,782.0,7890.0,0.0,0.0,0.0,5116.635,25683.0,259054.0
2008-09-01,20048.15,100630.0,1097904.0,0.0,0.0,0.0,2981.099,14963.0,163255.0,,,,0.0,0.0,0.0,103.44,519.0,5665.0,0.0,0.0,0.0,4850.453,24347.0,265627.0
2008-10-01,23386.788,117388.0,1170300.0,0.0,0.0,0.0,2530.61,12702.0,126634.0,,,,0.0,0.0,0.0,97.24300000000001,488.0,4866.0,0.0,0.0,0.0,4109.97,20630.0,205667.0
2008-11-01,22047.554,110666.0,1137096.0,0.0,0.0,0.0,1854.4250000000002,9308.0,95641.0,,,,0.0,0.0,0.0,55.537000000000006,279.0,2864.0,0.0,0.0,0.0,5033.941,25268.0,259624.0
2008-12-01,21529.121,108064.0,1090560.0,0.0,0.0,0.0,4314.725,21657.0,218563.0,,,,0.0,0.0,0.0,113.09100000000001,568.0,5729.0,0.0,0.0,0.0,5550.506,27860.0,281162.0
2009-01-01,23549.452,118205.0,1136544.0,0.0,0.0,0.0,2436.067,12228.0,117569.0,,,,0.0,0.0,0.0,124.876,627.0,6027.0,0.0,0.0,0.0,5656.329000000001,28392.0,272986.0
2009-02-01,20800.106,104405.0,975828.0,98.242,493.0,4609.0,2975.717,14936.0,139604.0,,,,0.0,0.0,0.0,181.8,913.0,8529.0,0.0,0.0,0.0,5588.5960000000005,28052.0,262187.0
2009-03-01,23049.382,115695.0,1129572.0,124.575,625.0,6105.0,3683.9550000000004,18491.0,180538.0,,,,0.0,0.0,0.0,203.806,1023.0,9988.0,0.0,0.0,0.0,5482.849,27521.0,268696.0
2009-04-01,23048.487,115690.0,1077672.0,129.864,652.0,6072.0,1152.996,5787.0,53910.0,,,,0.0,0.0,0.0,205.186,1030.0,9594.0,0.0,0.0,0.0,5434.43,27278.0,254096.0
2009-05-01,22074.63,110802.0,1148976.0,117.186,588.0,6100.0,1425.065,7153.0,74174.0,,,,0.0,0.0,0.0,169.592,851.0,8827.0,0.0,0.0,0.0,5133.9220000000005,25769.0,267219.0
2009-06-01,16394.002,82289.0,711168.0,117.53200000000001,590.0,5099.0,2403.716,12065.0,104273.0,,,,0.0,0.0,0.0,145.312,729.0,6304.0,0.0,0.0,0.0,4361.155000000001,21891.0,189186.0
2009-07-01,24209.497,121518.0,1172484.0,130.485,655.0,6320.0,1466.247,7360.0,71011.0,,,,0.0,0.0,0.0,186.222,935.0,9019.0,0.0,0.0,0.0,5466.977,27441.0,264770.0
2009-08-01,24477.994,122866.0,1121376.0,124.019,623.0,5682.0,1137.886,5712.0,52128.0,,,,0.0,0.0,0.0,170.604,856.0,7816.0,0.0,0.0,0.0,4002.842,20092.0,183377.0
2009-09-01,22297.371,111920.0,1009230.0,116.653,586.0,5280.0,2331.7870000000003,11704.0,105542.0,,,,0.0,0.0,0.0,122.095,613.0,5526.0,0.0,0.0,0.0,4344.42,21807.0,196638.0
2009-10-01,21598.431,108412.0,1060454.0,108.771,546.0,5341.0,2890.492,14509.0,141919.0,,,,0.0,0.0,0.0,179.083,899.0,8793.0,0.0,0.0,0.0,5030.935,25252.0,247012.0
2009-11-01,21376.188000000002,107296.0,1072856.0,109.914,552.0,5517.0,2577.02,12935.0,129339.0,,,,0.0,0.0,0.0,0.013000000000000001,0.0,1.0,0.0,0.0,0.0,5322.045,26714.0,267110.0
2009-12-01,20832.62,104568.0,1046943.0,107.253,538.0,5390.0,4690.338000000001,23543.0,235713.0,,,,0.0,0.0,0.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,5925.238,29741.0,297773.0
2010-01-01,20405.159,102422.0,1005065.0,4.4670000000000005,22.0,220.0,3969.76,19926.0,195532.0,,,,0.0,0.0,0.0,0.011000000000000001,0.0,1.0,113.896,572.0,5610.0,5160.771000000001,25904.0,254196.0
2010-02-01,18962.845,95183.0,963022.0,0.0,0.0,0.0,2647.882,13291.0,134472.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,48.44,243.0,2460.0,5238.836,26296.0,266053.0
2010-03-01,20631.524,103558.0,1087217.0,0.0,0.0,0.0,2960.563,14860.0,156012.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,26.757,134.0,1410.0,4633.182,23256.0,244154.0
2010-04-01,19741.292999999998,99090.0,1065670.0,0.0,0.0,0.0,3699.393,18569.0,199700.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,9.448,47.0,510.0,4533.008,22753.0,244700.0
2010-05-01,21615.913,108500.0,1002929.0,0.0,0.0,0.0,2499.925,12548.0,115991.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,65.305,328.0,3030.0,4685.475,23518.0,217395.0
2010-06-01,19007.176,95405.0,846851.0,0.0,0.0,0.0,2968.11,14898.0,132242.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,40.4,203.0,1800.0,5516.115000000001,27688.0,245766.0
2010-07-01,24372.785,122337.0,1137331.0,0.0,0.0,0.0,1404.423,7049.0,65536.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,39.859,200.0,1860.0,4931.7390000000005,24755.0,230135.0
2010-08-01,23929.8,120114.0,1093777.0,0.0,0.0,0.0,1609.105,8077.0,73549.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,43.975,221.0,2010.0,4493.716,22556.0,205398.0
2010-09-01,21074.641,105783.0,997466.0,0.0,0.0,0.0,2208.533,11086.0,104530.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5324.1630000000005,26724.0,251993.0
2010-10-01,22654.221,113711.0,1065387.0,0.0,0.0,0.0,3411.675,17125.0,160445.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4173.951,20951.0,196293.0
2010-11-01,22945.208,115172.0,1022576.0,0.0,0.0,0.0,1441.8980000000001,7238.0,64260.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5017.28,25184.0,223600.0
2010-12-01,23494.497,117929.0,1079594.0,0.0,0.0,0.0,1262.528,6337.0,58014.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6347.092000000001,31859.0,291655.0
2011-01-01,22562.789,117300.0,1064962.0,0.0,0.0,0.0,1776.797,9237.0,83865.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,108.051,562.0,5100.0,6000.363,31195.0,283217.0
2011-02-01,19702.832,102028.0,971081.0,0.0,0.0,0.0,1963.637,10168.0,96781.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,185.041,958.0,9120.0,5682.49,29426.0,280069.0
2011-03-01,21635.281,112043.0,1092420.0,0.0,0.0,0.0,1456.118,7541.0,73523.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6320.601,32733.0,319143.0
2011-04-01,16570.043,86295.0,809008.0,0.0,0.0,0.0,3828.354,19938.0,186914.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4998.603,26032.0,244049.0
2011-05-01,21437.504,111178.0,1098993.0,0.0,0.0,0.0,2957.58,15338.0,151620.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5634.916,29223.0,288874.0
2011-06-01,21289.599,110549.0,1013856.0,0.0,0.0,0.0,1375.925,7145.0,65524.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5572.476,28936.0,265373.0
2011-07-01,22032.814,114810.0,1105035.0,0.0,0.0,0.0,1248.03,6503.0,62594.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.972,47.0,450.0,5358.184,27921.0,268735.0
2011-08-01,21478.235,113175.0,1075428.0,0.0,0.0,0.0,1404.359,7400.0,70317.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5118.406,26970.0,256282.0
