measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2004-03-01,,,,16.417,213.0,213.0,0.0,0.0,0.0,40.587,584.0,584.0,345.533,3299.0,3299.0
2004-04-01,,,,16.417,213.0,213.0,0.0,0.0,0.0,151.078,2176.0,2176.0,324.339,3097.0,3097.0
2004-05-01,,,,16.417,213.0,213.0,0.0,0.0,0.0,219.187,3156.0,3156.0,312.671,2985.0,2985.0
2004-06-01,,,,16.417,213.0,213.0,0.0,0.0,0.0,238.372,3433.0,3433.0,305.289,2915.0,2915.0
2004-07-01,,,,16.417,213.0,213.0,0.0,0.0,0.0,305.825,4404.0,4404.0,298.85900000000004,2853.0,2853.0
2004-08-01,,,,16.417,213.0,213.0,0.0,0.0,0.0,340.117,4898.0,4898.0,310.528,2965.0,2965.0
2004-09-01,,,,16.417,213.0,213.0,0.0,0.0,0.0,222.613,3206.0,3206.0,278.379,2658.0,2658.0
2004-10-01,,,,16.417,213.0,213.0,0.0,0.0,0.0,157.993,2275.0,2275.0,304.098,2903.0,2903.0
2004-11-01,,,,16.417,213.0,213.0,0.0,0.0,0.0,125.24600000000001,1804.0,1804.0,309.337,2954.0,2954.0
2004-12-01,,,,16.417,213.0,213.0,0.0,0.0,0.0,136.792,1970.0,1970.0,344.819,3292.0,3292.0
2005-01-01,,,,13.187000000000001,151.4,151.4,,,,130.78900000000002,1823.8,1823.8,169.86,1882.08,1882.08
2005-02-01,,,,6.6930000000000005,76.84,76.84,,,,108.57300000000001,1514.02,1514.02,141.008,1562.4,1562.4
2005-03-01,,,,8.1,93.0,93.0,,,,134.459,1874.99,1874.99,174.627,1934.9,1934.9
2005-04-01,,,,8.44,96.91,96.91,,,,132.484,1847.44,1847.44,172.061,1906.47,1906.47
2005-05-01,,,,9.946,114.19,114.19,,,,156.17700000000002,2177.84,2177.84,202.83200000000002,2247.42,2247.42
2005-06-01,,,,9.005,103.39,103.39,,,,197.1,2748.49,2748.49,255.98,2836.31,2836.31
2005-07-01,,,,14.419,165.55,165.55,,,,247.025,3444.68,3444.68,320.82,3554.75,3554.75
2005-08-01,,,,15.957,183.2,183.2,,,,255.89100000000002,3568.31,3568.31,332.334,3682.33,3682.33
2005-09-01,,,,15.846,181.93,181.93,,,,194.717,2715.26,2715.26,252.88600000000002,2802.02,2802.02
2005-10-01,,,,9.455,108.56,108.56,,,,155.555,2169.16,2169.16,202.025,2238.48,2238.48
2005-11-01,,,,7.5360000000000005,86.53,86.53,,,,132.714,1850.66,1850.66,172.36100000000002,1909.79,1909.79
2005-12-01,,,,16.417,188.49,188.49,,,,129.51600000000002,1806.05,1806.05,168.20600000000002,1863.76,1863.76
2006-01-01,,,,7.438000000000001,111.0,111.0,,,,103.72,1459.0,1459.0,87.41600000000001,965.0,965.0
2006-02-01,,,,7.361000000000001,110.0,110.0,,,,123.054,1731.0,1731.0,103.711,1144.0,1144.0
2006-03-01,,,,6.454000000000001,96.0,96.0,,,,140.354,1974.0,1974.0,118.29100000000001,1305.0,1305.0
2006-04-01,,,,8.513,127.0,127.0,,,,156.99,2208.0,2208.0,132.312,1460.0,1460.0
2006-05-01,,,,7.694,115.0,115.0,,,,181.833,2558.0,2558.0,153.25,1691.0,1691.0
2006-06-01,,,,9.202,137.0,137.0,,,,231.705,3260.0,3260.0,195.282,2155.0,2155.0
2006-07-01,,,,8.926,133.0,133.0,,,,291.30400000000003,4098.0,4098.0,245.512,2709.0,2709.0
2006-08-01,,,,9.607000000000001,143.0,143.0,,,,294.97700000000003,4150.0,4150.0,248.608,2743.0,2743.0
2006-09-01,,,,6.825,102.0,102.0,,,,200.703,2823.0,2823.0,169.154,1866.0,1866.0
2006-10-01,,,,8.784,131.0,131.0,,,,181.71900000000002,2556.0,2556.0,153.154,1690.0,1690.0
2006-11-01,,,,7.667000000000001,114.0,114.0,,,,134.955,1898.0,1898.0,113.74,1255.0,1255.0
2006-12-01,,,,8.53,127.0,127.0,,,,140.687,1979.0,1979.0,118.57100000000001,1308.0,1308.0
2007-01-01,,,,34.08,333.0,333.0,,,,330.107,3954.0,3954.0,405.892,3947.0,3947.0
2007-02-01,,,,15.166,146.0,146.0,,,,289.425,3467.0,3467.0,355.87,3461.0,3461.0
2007-03-01,,,,34.13,333.0,333.0,,,,269.324,3225.0,3225.0,331.155,3221.0,3221.0
2007-04-01,,,,28.61,281.0,281.0,,,,333.548,3995.0,3995.0,410.122,3988.0,3988.0
2007-05-01,,,,94.26400000000001,918.0,918.0,,,,458.084,5486.0,5486.0,563.25,5477.0,5477.0
2007-06-01,,,,62.84,608.0,608.0,,,,503.82300000000004,6034.0,6034.0,619.488,6024.0,6024.0
2007-07-01,,,,12.108,117.0,117.0,,,,461.646,5529.0,5529.0,567.629,5520.0,5520.0
2007-08-01,,,,25.59,252.0,252.0,,,,503.2,6027.0,6027.0,618.7230000000001,6016.0,6016.0
2007-09-01,,,,27.42,269.0,269.0,,,,521.215,6242.0,6242.0,640.874,6232.0,6232.0
2007-10-01,,,,24.092000000000002,234.0,234.0,,,,444.711,5327.0,5327.0,546.807,5317.0,5317.0
2007-11-01,,,,49.938,486.0,486.0,,,,442.017,5294.0,5294.0,543.495,5285.0,5285.0
2007-12-01,,,,26.735,257.0,257.0,,,,386.899,4634.0,4634.0,475.721,4626.0,4626.0
2008-01-01,,,,25.019000000000002,240.0,240.0,,,,284.19100000000003,3402.0,3402.0,339.456,3324.0,3324.0
2008-02-01,,,,37.124,363.0,363.0,,,,269.901,3232.0,3232.0,322.387,3156.0,3156.0
2008-03-01,,,,27.973000000000003,275.0,275.0,,,,264.43,3166.0,3166.0,315.85200000000003,3092.0,3092.0
2008-04-01,,,,26.310000000000002,257.0,257.0,,,,276.82300000000004,3315.0,3315.0,330.65500000000003,3237.0,3237.0
2008-05-01,,,,29.737000000000002,293.0,293.0,,,,196.513,2353.0,2353.0,234.728,2298.0,2298.0
2008-06-01,,,,22.936,222.0,222.0,,,,182.622,2187.0,2187.0,218.13500000000002,2136.0,2136.0
2008-07-01,,,,16.93,164.0,164.0,,,,252.30700000000002,3021.0,3021.0,301.37100000000004,2951.0,2951.0
2008-08-01,,,,17.036,170.0,170.0,,,,316.862,3794.0,3794.0,378.48,3705.0,3705.0
2008-09-01,,,,19.441000000000003,193.0,193.0,,,,278.057,3330.0,3330.0,332.12800000000004,3252.0,3252.0
2008-10-01,,,,29.144000000000002,287.0,287.0,,,,256.03000000000003,3066.0,3066.0,305.81800000000004,2993.0,2993.0
2008-11-01,,,,11.124,111.0,111.0,,,,234.157,2803.0,2803.0,279.692,2738.0,2738.0
2008-12-01,,,,34.809000000000005,339.0,339.0,,,,255.107,3054.0,3054.0,304.71500000000003,2983.0,2983.0
2009-01-01,,,,10.054,99.0,99.0,,,,618.269,7420.0,7420.0,361.974,3648.0,3648.0
2009-02-01,,,,22.607,228.0,228.0,,,,585.052,7021.0,7021.0,342.528,3452.0,3452.0
2009-03-01,,,,27.198,275.0,275.0,,,,555.32,6664.0,6664.0,325.12100000000004,3277.0,3277.0
2009-04-01,,,,20.526,205.0,205.0,,,,449.973,5400.0,5400.0,263.444,2655.0,2655.0
2009-05-01,,,,22.507,228.0,228.0,,,,466.84700000000004,5602.0,5602.0,273.32300000000004,2755.0,2755.0
2009-06-01,,,,24.0,240.0,240.0,,,,409.06600000000003,4910.0,4910.0,239.494,2414.0,2414.0
2009-07-01,,,,27.324,275.0,275.0,,,,599.899,7199.0,7199.0,351.22,3540.0,3540.0
2009-08-01,,,,17.785,181.0,181.0,,,,521.525,6259.0,6259.0,305.335,3077.0,3077.0
2009-09-01,,,,24.304000000000002,246.0,246.0,,,,576.873,6923.0,6923.0,337.73900000000003,3404.0,3404.0
2009-10-01,,,,29.533,298.0,298.0,,,,247.86100000000002,2974.0,2974.0,145.114,1462.0,1462.0
2009-11-01,,,,19.469,199.0,199.0,,,,358.895,4307.0,4307.0,210.121,2118.0,2118.0
2009-12-01,,,,26.922,269.0,269.0,,,,639.42,7674.0,7674.0,374.358,3773.0,3773.0
2010-01-01,,,,5.979,59.0,59.0,,,,435.05400000000003,5185.0,5185.0,193.584,1894.0,1894.0
2010-02-01,,,,12.961,129.0,129.0,,,,376.331,4485.0,4485.0,167.455,1639.0,1639.0
2010-03-01,,,,9.766,94.0,94.0,,,,398.66400000000004,4751.0,4751.0,177.392,1737.0,1737.0
2010-04-01,,,,13.183,129.0,129.0,,,,347.651,4143.0,4143.0,154.693,1514.0,1514.0
2010-05-01,,,,14.558,140.0,140.0,,,,308.822,3680.0,3680.0,137.416,1345.0,1345.0
2010-06-01,,,,8.133000000000001,82.0,82.0,,,,292.184,3482.0,3482.0,130.012,1273.0,1273.0
2010-07-01,,,,8.935,88.0,88.0,,,,419.512,5000.0,5000.0,186.669,1827.0,1827.0
2010-08-01,,,,8.502,82.0,82.0,,,,428.57800000000003,5107.0,5107.0,190.703,1867.0,1867.0
2010-09-01,,,,11.043000000000001,105.0,105.0,,,,379.66200000000003,4525.0,4525.0,168.937,1654.0,1654.0
2010-10-01,,,,9.914,99.0,99.0,,,,354.619,4227.0,4227.0,157.794,1545.0,1545.0
2010-11-01,,,,16.71,164.0,164.0,,,,392.493,4678.0,4678.0,174.64700000000002,1710.0,1710.0
2010-12-01,,,,15.974,158.0,158.0,,,,348.43,4152.0,4152.0,155.04,1518.0,1518.0
2011-01-01,,,,0.793,6.0,6.0,,,,11.043,137.0,137.0,5.967,47.0,47.0
2011-02-01,,,,0.741,6.0,6.0,,,,10.567,131.0,131.0,5.711,46.0,46.0
2011-03-01,,,,0.935,6.0,6.0,,,,9.269,115.0,115.0,5.009,40.0,40.0
2011-04-01,,,,0.955,6.0,6.0,,,,9.214,115.0,115.0,4.98,39.0,39.0
2011-05-01,,,,1.302,18.0,18.0,,,,9.605,120.0,120.0,5.191,41.0,41.0
2011-06-01,,,,0.967,6.0,6.0,,,,6.62,83.0,83.0,3.578,29.0,29.0
2011-07-01,,,,0.697,6.0,6.0,,,,12.885,161.0,161.0,6.964,55.0,55.0
2011-08-01,,,,0.359,0.0,0.0,,,,13.245,164.0,164.0,7.158,57.0,57.0
2011-09-01,,,,0.776,6.0,6.0,,,,11.6,144.0,144.0,6.269,49.0,49.0
2011-10-01,,,,0.33,0.0,0.0,,,,10.522,131.0,131.0,5.687,45.0,45.0
2011-11-01,,,,1.28,12.0,12.0,,,,9.837,123.0,123.0,5.317,42.0,42.0
2011-12-01,,,,1.228,12.0,12.0,,,,12.593,157.0,157.0,6.806,54.0,54.0
2012-01-01,,,,1.888,23.0,23.0,,,,1677.468,18144.0,18144.0,2.053,21.0,21.0
2012-02-01,,,,1.308,12.0,12.0,,,,1699.598,18383.0,18383.0,2.08,22.0,22.0
2012-03-01,,,,0.838,6.0,6.0,,,,1766.905,19111.0,19111.0,2.163,23.0,23.0
2012-04-01,,,,3.279,35.0,35.0,,,,1486.773,16081.0,16081.0,1.82,19.0,19.0
2012-05-01,,,,1.487,18.0,18.0,,,,1818.359,19668.0,19668.0,2.226,23.0,23.0
2012-06-01,,,,1.871,18.0,18.0,,,,1861.835,20138.0,20138.0,2.279,24.0,24.0
2012-07-01,,,,1.79,18.0,18.0,,,,1923.139,20801.0,20801.0,2.354,25.0,25.0
2012-08-01,,,,2.856,29.0,29.0,,,,2003.581,21670.0,21670.0,2.452,26.0,26.0
2012-09-01,,,,1.915,18.0,18.0,,,,1687.658,18254.0,18254.0,2.066,22.0,22.0
2012-10-01,,,,2.153,23.0,23.0,,,,1131.846,12242.0,12242.0,1.385,14.0,14.0
2012-11-01,,,,2.103,23.0,23.0,,,,1380.761,14934.0,14934.0,1.69,18.0,18.0
2012-12-01,,,,2.085,23.0,23.0,,,,1519.077,16430.0,16430.0,1.859,19.0,19.0
2013-01-01,,,,2.255,18.0,18.0,,,,3022.63,32537.0,32537.0,6.119,42.0,42.0
2013-02-01,,,,1.63,12.0,12.0,,,,2615.498,28153.0,28153.0,5.295,38.0,38.0
2013-03-01,,,,0.432,6.0,6.0,,,,2691.556,28972.0,28972.0,5.449,39.0,39.0
2013-04-01,,,,1.866,12.0,12.0,,,,2715.435,29230.0,29230.0,5.497,39.0,39.0
2013-05-01,,,,1.825,12.0,12.0,,,,1840.308,19809.0,19809.0,3.726,27.0,27.0
2013-06-01,,,,1.095,6.0,6.0,,,,2301.757,24776.0,24776.0,4.66,33.0,33.0
2013-07-01,,,,0.419,6.0,6.0,,,,3477.91,37437.0,37437.0,7.041,50.0,50.0
2013-08-01,,,,1.552,12.0,12.0,,,,3719.217,40034.0,40034.0,7.529,53.0,53.0
2013-09-01,,,,0.605,6.0,6.0,,,,3421.975,36834.0,36834.0,6.927,49.0,49.0
2013-10-01,,,,0.809,6.0,6.0,,,,3182.758,34260.0,34260.0,6.443,46.0,46.0
2013-11-01,,,,1.234,6.0,6.0,,,,3240.475,34881.0,34881.0,6.56,47.0,47.0
2013-12-01,,,,0.296,0.0,0.0,,,,3821.481,41135.0,41135.0,7.736,55.0,55.0
2014-01-01,,,,0.0,0.0,0.0,,,,1602.405,17342.0,17342.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,,,,,,,1394.047,15089.0,15089.0,,,
2014-03-01,0.0,0.0,0.0,,,,,,,1383.265,14972.0,14972.0,,,
2014-04-01,0.0,0.0,0.0,,,,,,,1190.864,12890.0,12890.0,,,
2014-05-01,0.0,0.0,0.0,,,,,,,1481.537,16035.0,16035.0,,,
2014-06-01,0.0,0.0,0.0,,,,,,,2147.938,23248.0,23248.0,,,
2014-07-01,0.0,0.0,0.0,,,,,,,2512.634,27196.0,27196.0,,,
2014-08-01,0.0,0.0,0.0,,,,,,,2278.95,24667.0,24667.0,,,
2014-09-01,0.0,0.0,0.0,,,,,,,1907.147,20643.0,20643.0,,,
2014-10-01,0.0,0.0,0.0,,,,,,,1801.382,19498.0,19498.0,,,
2014-11-01,0.0,0.0,0.0,,,,,,,1767.51,19131.0,19131.0,,,
2014-12-01,0.0,0.0,0.0,,,,,,,1703.321,18436.0,18436.0,,,
2015-01-01,0.0,0.0,0.0,,,,,,,928.721,10097.0,10097.0,,,
2015-02-01,0.0,0.0,0.0,,,,,,,773.594,8409.0,8409.0,,,
2015-03-01,0.0,0.0,0.0,,,,,,,812.833,8836.0,8836.0,,,
2015-04-01,0.0,0.0,0.0,,,,,,,923.043,10034.0,10034.0,,,
2015-05-01,0.0,0.0,0.0,,,,,,,1109.292,12059.0,12059.0,,,
2015-06-01,0.0,0.0,0.0,,,,,,,1275.184,13862.0,13862.0,,,
2015-07-01,0.0,0.0,0.0,,,,,,,1328.945,14447.0,14447.0,,,
2015-08-01,0.0,0.0,0.0,,,,,,,1414.561,15378.0,15378.0,,,
2015-09-01,0.0,0.0,0.0,,,,,,,1196.519,13007.0,13007.0,,,
2015-10-01,0.0,0.0,0.0,,,,,,,1024.251,11135.0,11135.0,,,
2015-11-01,0.0,0.0,0.0,,,,,,,1145.833,12456.0,12456.0,,,
2015-12-01,0.0,0.0,0.0,,,,,,,1252.224,13613.0,13613.0,,,
2016-01-01,0.0,0.0,0.0,,,,,,,1157.864,12539.0,12539.0,,,
2016-02-01,0.0,0.0,0.0,,,,,,,1004.634,10881.0,10881.0,,,
2016-03-01,0.0,0.0,0.0,,,,,,,1117.349,12102.0,12102.0,,,
2016-04-01,0.0,0.0,0.0,,,,,,,1248.404,13521.0,13521.0,,,
2016-05-01,0.0,0.0,0.0,,,,,,,1266.532,13718.0,13718.0,,,
2016-06-01,0.0,0.0,0.0,,,,,,,1471.807,15941.0,15941.0,,,
2016-07-01,0.0,0.0,0.0,,,,,,,1518.985,16452.0,16452.0,,,
2016-08-01,0.0,0.0,0.0,,,,,,,1438.634,15582.0,15582.0,,,
2016-09-01,0.0,0.0,0.0,,,,,,,1067.234,11559.0,11559.0,,,
2016-10-01,0.0,0.0,0.0,,,,,,,937.203,10151.0,10151.0,,,
2016-11-01,0.0,0.0,0.0,,,,,,,813.385,8809.0,8809.0,,,
2016-12-01,0.0,0.0,0.0,,,,,,,1038.969,11253.0,11253.0,,,
2017-01-01,0.0,0.0,0.0,,,,,,,2455.412,26737.0,26737.0,,,
2017-02-01,0.0,0.0,0.0,,,,,,,1347.609,14674.0,14674.0,,,
2017-03-01,0.0,0.0,0.0,,,,,,,1106.156,12045.0,12045.0,,,
2017-04-01,0.0,0.0,0.0,,,,,,,1081.04,11771.0,11771.0,,,
2017-05-01,0.0,0.0,0.0,,,,,,,1199.659,13063.0,13063.0,,,
2017-06-01,0.0,0.0,0.0,,,,,,,1710.506,18626.0,18626.0,,,
2017-07-01,0.0,0.0,0.0,,,,,,,2419.354,26344.0,26344.0,,,
2017-08-01,0.0,0.0,0.0,,,,,,,2850.112,31035.0,31035.0,,,
2017-09-01,0.0,0.0,0.0,,,,,,,1673.905,18227.0,18227.0,,,
2017-10-01,0.0,0.0,0.0,,,,,,,949.635,10341.0,10341.0,,,
2017-11-01,0.0,0.0,0.0,,,,,,,1120.661,12203.0,12203.0,,,
2017-12-01,0.0,0.0,0.0,,,,,,,1868.951,20351.0,20351.0,,,
2018-01-01,0.0,0.0,0.0,,,,,,,1295.599,14117.0,14117.0,,,
2018-02-01,0.0,0.0,0.0,,,,,,,1101.695,12004.0,12004.0,,,
2018-03-01,0.0,0.0,0.0,,,,,,,1056.308,11510.0,11510.0,,,
2018-04-01,0.0,0.0,0.0,,,,,,,1112.024,12117.0,12117.0,,,
2018-05-01,0.0,0.0,0.0,,,,,,,1300.313,14169.0,14169.0,,,
2018-06-01,0.0,0.0,0.0,,,,,,,1476.597,16090.0,16090.0,,,
2018-07-01,0.0,0.0,0.0,,,,,,,2611.923,28461.0,28461.0,,,
2018-08-01,0.0,0.0,0.0,,,,,,,2588.599,28206.0,28206.0,,,
2018-09-01,0.0,0.0,0.0,,,,,,,2066.651,22519.0,22519.0,,,
2018-10-01,0.0,0.0,0.0,,,,,,,2096.391,22844.0,22844.0,,,
2018-11-01,0.0,0.0,0.0,,,,,,,1828.863,19928.0,19928.0,,,
2018-12-01,0.0,0.0,0.0,,,,,,,1978.037,21554.0,21554.0,,,
2019-01-01,0.0,0.0,0.0,,,,,,,1404.603,15064.0,15064.0,,,
2019-02-01,0.0,0.0,0.0,,,,,,,1389.24,14901.0,14901.0,,,
2019-03-01,0.0,0.0,0.0,,,,,,,1529.346,16404.0,16404.0,,,
2019-04-01,0.0,0.0,0.0,,,,,,,996.477,10688.0,10688.0,,,
2019-05-01,0.0,0.0,0.0,,,,,,,1281.58,13747.0,13747.0,,,
2019-06-01,0.0,0.0,0.0,,,,,,,1248.903,13396.0,13396.0,,,
2019-07-01,0.0,0.0,0.0,,,,,,,1753.251,18805.0,18805.0,,,
2019-08-01,0.0,0.0,0.0,,,,,,,1687.148,18097.0,18097.0,,,
2019-09-01,0.0,0.0,0.0,,,,,,,1198.358,12854.0,12854.0,,,
2019-10-01,0.0,0.0,0.0,,,,,,,1072.983,11508.0,11508.0,,,
2019-11-01,0.0,0.0,0.0,,,,,,,1177.964,12635.0,12635.0,,,
2019-12-01,0.0,0.0,0.0,,,,,,,1390.147,14910.0,14910.0,,,
2020-01-01,0.0,0.0,0.0,,,,,,,1638.937,18795.0,18795.0,,,
2020-02-01,0.0,0.0,0.0,,,,,,,1568.44,17987.0,17987.0,,,
2020-03-01,0.0,0.0,0.0,,,,,,,1088.731,12486.0,12486.0,,,
2020-04-01,0.0,0.0,0.0,,,,,,,829.944,9518.0,9518.0,,,
2020-05-01,0.0,0.0,0.0,,,,,,,1090.981,12512.0,12512.0,,,
2020-06-01,0.0,0.0,0.0,,,,,,,1389.849,15939.0,15939.0,,,
2020-07-01,0.0,0.0,0.0,,,,,,,1906.17,21860.0,21860.0,,,
2020-08-01,0.0,0.0,0.0,,,,,,,2142.299,24569.0,24569.0,,,
2020-09-01,0.0,0.0,0.0,,,,,,,1862.639,21362.0,21362.0,,,
2020-10-01,0.0,0.0,0.0,,,,,,,1536.927,17626.0,17626.0,,,
2020-11-01,0.0,0.0,0.0,,,,,,,1215.196,13937.0,13937.0,,,
2020-12-01,0.0,0.0,0.0,,,,,,,1741.887,19977.0,19977.0,,,
2021-01-01,0.0,0.0,0.0,,,,,,,2440.265,25921.0,25921.0,,,
2021-02-01,0.0,0.0,0.0,,,,,,,2038.341,21652.0,21652.0,,,
2021-03-01,0.0,0.0,0.0,,,,,,,2100.16,22309.0,22309.0,,,
2021-04-01,0.0,0.0,0.0,,,,,,,2189.374,23257.0,23257.0,,,
2021-05-01,0.0,0.0,0.0,,,,,,,2403.677,25533.0,25533.0,,,
2021-06-01,0.0,0.0,0.0,,,,,,,3044.776,32343.0,32343.0,,,
2021-07-01,0.0,0.0,0.0,,,,,,,3413.801,36263.0,36263.0,,,
2021-08-01,0.0,0.0,0.0,,,,,,,3110.197,33038.0,33038.0,,,
2021-09-01,0.0,0.0,0.0,,,,,,,2331.291,24765.0,24765.0,,,
2021-10-01,0.0,0.0,0.0,,,,,,,1684.121,17889.0,17889.0,,,
2021-11-01,0.0,0.0,0.0,,,,,,,2627.297,27908.0,27908.0,,,
2021-12-01,0.0,0.0,0.0,,,,,,,2929.7,31121.0,31121.0,,,
2022-01-01,0.0,0.0,0.0,,,,,,,2972.162,33298.0,33298.0,,,
2022-02-01,0.0,0.0,0.0,,,,,,,2569.404,28783.0,28783.0,,,
2022-03-01,0.0,0.0,0.0,,,,,,,2172.18,24333.0,24333.0,,,
2022-04-01,0.0,0.0,0.0,,,,,,,2160.909,24207.0,24207.0,,,
2022-05-01,0.0,0.0,0.0,,,,,,,2119.7,23745.0,23745.0,,,
2022-06-01,0.0,0.0,0.0,,,,,,,2368.151,26529.0,26529.0,,,
2022-07-01,0.0,0.0,0.0,,,,,,,2807.941,31455.0,31455.0,,,
2022-08-01,0.0,0.0,0.0,,,,,,,2976.595,33345.0,33345.0,,,
2022-09-01,0.0,0.0,0.0,,,,,,,2959.386,33152.0,33152.0,,,
2022-10-01,0.0,0.0,0.0,,,,,,,2796.672,31329.0,31329.0,,,
2022-11-01,0.0,0.0,0.0,,,,,,,2948.191,33027.0,33027.0,,,
2022-12-01,0.0,0.0,0.0,,,,,,,3124.709,35004.0,35004.0,,,
2023-01-01,0.0,0.0,0.0,,,,,,,1861.358,21220.0,21220.0,,,
2023-02-01,0.0,0.0,0.0,,,,,,,1766.717,20141.0,20141.0,,,
2023-03-01,0.0,0.0,0.0,,,,,,,1944.736,22170.0,22170.0,,,
2023-04-01,0.0,0.0,0.0,,,,,,,1525.588,17392.0,17392.0,,,
2023-05-01,0.0,0.0,0.0,,,,,,,1567.042,17865.0,17865.0,,,
2023-06-01,0.0,0.0,0.0,,,,,,,1603.574,18281.0,18281.0,,,
2023-07-01,0.0,0.0,0.0,,,,,,,1959.368,22337.0,22337.0,,,
2023-08-01,0.0,0.0,0.0,,,,,,,2124.882,24224.0,24224.0,,,
2023-09-01,0.0,0.0,0.0,,,,,,,2053.278,23408.0,23408.0,,,
2023-10-01,0.0,0.0,0.0,,,,,,,1443.23,16453.0,16453.0,,,
