measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Kerosene Generation,Kerosene Quantity Consumed For Electricity,Kerosene Total Fuel Consumed
2005-04-01,,,,10.596,163.55,163.55
2005-05-01,,,,9.841000000000001,151.89,151.89
2005-06-01,,,,12.773000000000001,197.14,197.14
2005-07-01,,,,13.001000000000001,200.67,200.67
2005-08-01,,,,15.274000000000001,235.74,235.74
2005-09-01,,,,9.998000000000001,154.32,154.32
2005-10-01,,,,11.103,171.37,171.37
2005-11-01,,,,8.926,137.77,137.77
2005-12-01,,,,18.874000000000002,291.31,291.31
2006-01-01,,,,29.734,474.0,474.0
2006-02-01,,,,15.559000000000001,248.0,248.0
2006-03-01,,,,13.069,208.0,208.0
2006-04-01,,,,25.035,399.0,399.0
2006-05-01,,,,23.401,373.0,373.0
2006-06-01,,,,21.27,339.0,339.0
2006-07-01,,,,30.811,491.0,491.0
2006-08-01,,,,29.886000000000003,476.0,476.0
2006-09-01,,,,13.73,219.0,219.0
2006-10-01,,,,14.503,231.0,231.0
2006-11-01,,,,17.078,272.0,272.0
2006-12-01,,,,18.923000000000002,302.0,302.0
2007-01-01,,,,24.757,414.0,414.0
2007-02-01,,,,42.171,700.0,700.0
2007-03-01,,,,20.354,342.0,342.0
2007-04-01,,,,14.697000000000001,246.0,246.0
2007-05-01,,,,7.351,123.0,123.0
2007-06-01,,,,9.796000000000001,162.0,162.0
2007-07-01,,,,9.98,168.0,168.0
2007-08-01,,,,10.063,168.0,168.0
2007-09-01,,,,6.743,112.0,112.0
2007-10-01,,,,3.839,62.0,62.0
2007-11-01,,,,2.3440000000000003,39.0,39.0
2007-12-01,,,,8.904,146.0,146.0
2008-01-01,,,,19.451,312.0,312.0
2008-02-01,,,,12.434000000000001,200.0,200.0
2008-03-01,,,,3.8680000000000003,61.0,61.0
2008-04-01,,,,1.6420000000000001,28.0,28.0
2008-05-01,,,,2.322,39.0,39.0
2008-06-01,,,,16.478,267.0,267.0
2008-07-01,,,,20.038,323.0,323.0
2008-08-01,,,,7.5760000000000005,122.0,122.0
2008-09-01,,,,5.203,83.0,83.0
2008-10-01,,,,1.921,33.0,33.0
2008-11-01,,,,13.657,223.0,223.0
2008-12-01,,,,38.410000000000004,618.0,618.0
2009-01-01,,,,94.789,1536.0,1536.0
2009-02-01,,,,15.236,250.0,250.0
2009-03-01,,,,9.721,156.0,156.0
2009-04-01,,,,2.826,45.0,45.0
2009-05-01,,,,2.3280000000000003,39.0,39.0
2009-06-01,,,,7.1610000000000005,117.0,117.0
2009-07-01,,,,10.102,167.0,167.0
2009-08-01,,,,16.719,273.0,273.0
2009-09-01,,,,3.3040000000000003,56.0,56.0
2009-10-01,,,,1.554,28.0,28.0
2009-11-01,,,,1.363,22.0,22.0
2009-12-01,,,,10.897,178.0,178.0
2010-01-01,,,,21.911,473.0,473.0
2010-02-01,,,,6.093,134.0,134.0
2010-03-01,,,,3.9440000000000004,89.0,89.0
2010-04-01,,,,3.708,83.0,83.0
2010-05-01,,,,5.085,111.0,111.0
2010-06-01,,,,18.842000000000002,412.0,412.0
2010-07-01,,,,37.303000000000004,818.0,818.0
2010-08-01,,,,20.329,445.0,445.0
2010-09-01,,,,9.288,206.0,206.0
2010-10-01,,,,2.178,50.0,50.0
2010-11-01,,,,2.19,50.0,50.0
2010-12-01,,,,13.129000000000001,289.0,289.0
2011-01-01,,,,175.476,2666.0,2666.0
2011-02-01,,,,43.759,666.0,666.0
2011-03-01,,,,31.712,482.0,482.0
2011-04-01,,,,18.355,280.0,280.0
2011-05-01,,,,29.45,448.0,448.0
2011-06-01,,,,93.783,1428.0,1428.0
2011-07-01,,,,169.243,2576.0,2576.0
2011-08-01,,,,60.86,924.0,924.0
2011-09-01,,,,31.63,482.0,482.0
2011-10-01,,,,22.851,347.0,347.0
2011-11-01,,,,16.139,246.0,246.0
2011-12-01,,,,22.742,347.0,347.0
2012-01-01,,,,0.0,0.0,0.0
2012-02-01,,,,0.0,0.0,0.0
2012-03-01,,,,0.0,0.0,0.0
2012-04-01,,,,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0
2012-06-01,,,,0.0,0.0,0.0
2012-07-01,,,,0.0,0.0,0.0
2012-08-01,,,,0.0,0.0,0.0
2012-09-01,,,,0.0,0.0,0.0
2012-10-01,,,,0.0,0.0,0.0
2012-11-01,,,,0.0,0.0,0.0
2012-12-01,,,,6.0,56.0,56.0
2013-01-01,,,,1.476,224.0,224.0
2013-02-01,,,,0.471,73.0,73.0
2013-03-01,,,,0.141,22.0,22.0
2013-04-01,,,,0.109,17.0,17.0
2013-05-01,,,,0.249,39.0,39.0
2013-06-01,,,,0.424,67.0,67.0
2013-07-01,,,,1.232,196.0,196.0
2013-08-01,,,,0.206,34.0,34.0
2013-09-01,,,,0.271,45.0,45.0
2013-10-01,,,,0.09,17.0,17.0
2013-11-01,,,,0.098,17.0,17.0
2013-12-01,,,,0.233,39.0,39.0
2014-01-01,,,,54.611,532.0,532.0
2014-02-01,,,,19.451,190.0,190.0
2014-03-01,,,,15.364,151.0,151.0
2014-04-01,,,,0.402,6.0,6.0
2014-05-01,,,,0.352,6.0,6.0
2014-06-01,,,,0.839,6.0,6.0
2014-07-01,,,,1.382,11.0,11.0
2014-08-01,,,,1.033,11.0,11.0
2014-09-01,,,,0.747,6.0,6.0
2014-10-01,,,,0.67,6.0,6.0
2014-11-01,,,,0.994,11.0,11.0
2014-12-01,,,,1.155,11.0,11.0
2015-01-01,,,,10.652,162.0,162.0
2015-02-01,,,,38.481,566.0,566.0
2015-03-01,,,,2.962,45.0,45.0
2015-04-01,,,,0.364,6.0,6.0
2015-05-01,,,,0.518,6.0,6.0
2015-06-01,,,,0.444,6.0,6.0
2015-07-01,,,,1.137,17.0,17.0
2015-08-01,,,,1.266,17.0,17.0
2015-09-01,,,,1.076,17.0,17.0
2015-10-01,,,,0.413,6.0,6.0
2015-11-01,,,,0.189,0.0,0.0
2015-12-01,,,,0.498,6.0,6.0
2016-01-01,,,,8.808,118.0,118.0
2016-02-01,,,,21.48,297.0,297.0
2016-03-01,,,,1.517,22.0,22.0
2016-04-01,,,,1.515,22.0,22.0
2016-05-01,,,,0.751,11.0,11.0
2016-06-01,,,,0.935,11.0,11.0
2016-07-01,,,,5.72,78.0,78.0
2016-08-01,,,,8.956,123.0,123.0
2016-09-01,,,,2.506,34.0,34.0
2016-10-01,,,,0.902,11.0,11.0
2016-11-01,,,,1.025,17.0,17.0
2016-12-01,,,,5.885,78.0,78.0
2017-01-01,,,,2.944,39.0,39.0
2017-02-01,,,,2.452,39.0,39.0
2017-03-01,,,,3.738,62.0,62.0
2017-04-01,,,,3.536,56.0,56.0
2017-05-01,,,,1.819,28.0,28.0
2017-06-01,,,,1.403,22.0,22.0
2017-07-01,,,,1.326,22.0,22.0
2017-08-01,,,,1.017,17.0,17.0
2017-09-01,,,,1.105,17.0,17.0
2017-10-01,,,,1.99,34.0,34.0
2017-11-01,,,,2.309,39.0,39.0
2017-12-01,,,,35.361,561.0,561.0
2018-01-01,,,,232.601,4224.0,4224.0
2018-02-01,,,,4.88,90.0,90.0
2018-03-01,,,,4.863,90.0,90.0
2018-04-01,,,,3.868,73.0,73.0
2018-05-01,,,,0.918,17.0,17.0
2018-06-01,,,,2.365,45.0,45.0
2018-07-01,,,,2.177,39.0,39.0
2018-08-01,,,,1.875,34.0,34.0
2018-09-01,,,,2.153,39.0,39.0
2018-10-01,,,,2.331,45.0,45.0
2018-11-01,,,,2.448,45.0,45.0
2018-12-01,,,,4.521,84.0,84.0
2019-01-01,,,,101.931,1638.0,1638.0
2019-02-01,,,,21.088,342.0,342.0
2019-03-01,,,,0.348,6.0,6.0
2019-04-01,,,,0.175,6.0,6.0
2019-05-01,,,,0.277,6.0,6.0
2019-06-01,,,,0.183,6.0,6.0
2019-07-01,,,,0.088,0.0,0.0
2019-08-01,,,,0.168,0.0,0.0
2019-09-01,,,,0.736,11.0,11.0
2019-10-01,,,,0.194,6.0,6.0
2019-11-01,,,,0.383,6.0,6.0
2019-12-01,,,,14.429,236.0,236.0
2020-01-01,,,,10.272,236.0,236.0
2020-02-01,,,,7.702,174.0,174.0
2020-03-01,,,,6.522,146.0,146.0
2020-04-01,,,,4.634,107.0,107.0
2020-05-01,,,,9.799,224.0,224.0
2020-06-01,,,,4.062,90.0,90.0
2020-07-01,,,,6.756,151.0,151.0
2020-08-01,,,,2.734,62.0,62.0
2020-09-01,,,,7.105,163.0,163.0
2020-10-01,,,,4.062,90.0,90.0
2020-11-01,,,,9.831,224.0,224.0
2020-12-01,,,,11.521,264.0,264.0
2021-01-01,,,,11.079,151.0,151.0
2021-02-01,,,,90.916,1268.0,1268.0
2021-03-01,,,,13.62,191.0,191.0
2021-04-01,,,,108.287,1515.0,1515.0
2021-05-01,,,,4.227,62.0,62.0
2021-06-01,,,,3.854,56.0,56.0
2021-07-01,,,,3.469,50.0,50.0
2021-08-01,,,,0.593,6.0,6.0
2021-09-01,,,,7.812,107.0,107.0
2021-10-01,,,,9.904,140.0,140.0
2021-11-01,,,,14.546,202.0,202.0
2021-12-01,,,,41.693,583.0,583.0
2022-01-01,,,,793.094,11637.0,11637.0
2022-02-01,,,,89.503,1316.0,1316.0
2022-03-01,,,,6.363,95.0,95.0
2022-04-01,,,,3.958,56.0,56.0
2022-05-01,,,,11.582,168.0,168.0
2022-06-01,,,,1.398,22.0,22.0
2022-07-01,,,,1.888,28.0,28.0
2022-08-01,,,,1.28,17.0,17.0
2022-09-01,,,,2.043,28.0,28.0
2022-10-01,,,,4.816,73.0,73.0
2022-11-01,,,,14.694,218.0,218.0
2022-12-01,,,,494.381,7258.0,7258.0
2023-01-01,,,,4.172,73.0,73.0
2023-02-01,,,,93.936,1694.0,1694.0
2023-03-01,,,,3.27,62.0,62.0
2023-04-01,,,,1.539,28.0,28.0
2023-05-01,,,,2.975,56.0,56.0
2023-06-01,,,,0.464,6.0,6.0
2023-07-01,,,,0.596,11.0,11.0
2023-08-01,,,,0.693,11.0,11.0
2023-09-01,,,,1.32,22.0,22.0
2023-10-01,,,,2.324,39.0,39.0
2023-11-01,,,,1.112,22.0,22.0
2023-12-01,,,,0.599,11.0,11.0
2024-01-01,,,,425.191,6597.0,6597.0
2024-02-01,,,,20.066,309.0,309.0
2024-03-01,,,,126.743,1964.0,1964.0
