measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed",Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2009-11-01,4478.781,43712.9,43712.9,3227.0040000000004,31495.56,31495.56,,,
2009-12-01,4992.734,48729.08,48729.08,3597.3120000000004,35109.77,35109.77,,,
2010-01-01,0.0,0.0,0.0,6120.323,59710.0,59710.0,,,
2010-02-01,0.0,0.0,0.0,4846.0380000000005,47278.0,47278.0,,,
2010-03-01,0.0,0.0,0.0,6850.52,66834.0,66834.0,,,
2010-04-01,0.0,0.0,0.0,6710.804,65471.0,65471.0,,,
2010-05-01,0.0,0.0,0.0,7309.525000000001,71312.0,71312.0,,,
2010-06-01,0.0,0.0,0.0,6754.935,65901.0,65901.0,,,
2010-07-01,0.0,0.0,0.0,6154.689,60045.0,60045.0,,,
2010-08-01,0.0,0.0,0.0,6754.569,65898.0,65898.0,,,
2010-09-01,0.0,0.0,0.0,6349.033,61941.0,61941.0,,,
2010-10-01,0.0,0.0,0.0,6809.686000000001,66435.0,66435.0,,,
2010-11-01,0.0,0.0,0.0,6348.301,61934.0,61934.0,,,
2010-12-01,0.0,0.0,0.0,7265.577,70883.0,70883.0,,,
2011-01-01,3960.056,38476.0,38476.0,2881.147,27993.0,27993.0,,,
2011-02-01,3627.851,35248.0,35248.0,2639.452,25645.0,25645.0,,,
2011-03-01,3897.552,37869.0,37869.0,2835.674,27551.0,27551.0,,,
2011-04-01,3762.276,36554.0,36554.0,2737.254,26595.0,26595.0,,,
2011-05-01,3807.706,36996.0,36996.0,2770.306,26916.0,26916.0,,,
2011-06-01,3532.02,34317.0,34317.0,2569.73,24967.0,24967.0,,,
2011-07-01,3505.2,34057.0,34057.0,2550.217,24778.0,24778.0,,,
2011-08-01,3517.269,34174.0,34174.0,2558.998,24863.0,24863.0,,,
2011-09-01,3344.675,32497.0,32497.0,2433.426,23643.0,23643.0,,,
2011-10-01,3355.664,32604.0,32604.0,2441.422,23721.0,23721.0,,,
2011-11-01,3687.181,35825.0,35825.0,2682.618,26064.0,26064.0,,,
2011-12-01,3871.55,37616.0,37616.0,2816.756,27368.0,27368.0,,,
2012-01-01,3260.779,31030.0,31030.0,2773.162,26389.0,26389.0,,,
2012-02-01,3080.524,29314.0,29314.0,2619.863,24931.0,24931.0,,,
2012-03-01,3242.408,30855.0,30855.0,2757.538,26241.0,26241.0,,,
2012-04-01,3064.024,29157.0,29157.0,2605.83,24797.0,24797.0,,,
2012-05-01,3188.258,30339.0,30339.0,2711.485,25802.0,25802.0,,,
2012-06-01,3581.598,34082.0,34082.0,3046.006,28986.0,28986.0,,,
2012-07-01,3603.769,34293.0,34293.0,3064.861,29165.0,29165.0,,,
2012-08-01,3608.191,34336.0,34336.0,3068.622,29201.0,29201.0,,,
2012-09-01,3682.499,35043.0,35043.0,3131.818,29802.0,29802.0,,,
2012-10-01,3781.047,35980.0,35980.0,3215.629,30600.0,30600.0,,,
2012-11-01,3957.446,37659.0,37659.0,3365.649,32028.0,32028.0,,,
2012-12-01,4018.457,38240.0,38240.0,3417.537,32521.0,32521.0,,,
2013-01-01,4029.237,38443.0,38443.0,3303.371,31517.0,31517.0,,,
2013-02-01,3685.802,35166.0,35166.0,3021.807,28831.0,28831.0,,,
2013-03-01,3961.551,37797.0,37797.0,3247.879,30988.0,30988.0,,,
2013-04-01,3761.016,35884.0,35884.0,3083.471,29419.0,29419.0,,,
2013-05-01,3726.022,35550.0,35550.0,3054.781,29146.0,29146.0,,,
2013-06-01,3470.745,33114.0,33114.0,2845.492,27149.0,27149.0,,,
2013-07-01,3365.922,32114.0,32114.0,2759.553,26329.0,26329.0,,,
2013-08-01,3420.37,32634.0,32634.0,2804.192,26755.0,26755.0,,,
2013-09-01,3430.713,32732.0,32732.0,2812.672,26836.0,26836.0,,,
2013-10-01,3847.002,36704.0,36704.0,3153.966,30092.0,30092.0,,,
2013-11-01,3851.53,36747.0,36747.0,3157.679,30127.0,30127.0,,,
2013-12-01,4124.09,39348.0,39348.0,3381.137,32259.0,32259.0,,,
2014-01-01,3496.394,33251.0,33251.0,4273.403,40640.0,40640.0,,,
2014-02-01,2939.412,27954.0,27954.0,3592.642,34166.0,34166.0,,,
2014-03-01,3253.575,30941.0,30941.0,3976.622,37818.0,37818.0,,,
2014-04-01,2978.262,28323.0,28323.0,3640.126,34618.0,34618.0,,,
2014-05-01,2970.955,28254.0,28254.0,3631.194,34533.0,34533.0,,,
2014-06-01,2744.19,26097.0,26097.0,3354.035,31897.0,31897.0,,,
2014-07-01,2628.573,24998.0,24998.0,3212.724,30553.0,30553.0,,,
2014-08-01,2855.182,27153.0,27153.0,3489.693,33187.0,33187.0,,,
2014-09-01,2862.703,27224.0,27224.0,3498.886,33274.0,33274.0,,,
2014-10-01,2881.788,27406.0,27406.0,3522.212,33496.0,33496.0,,,
2014-11-01,3222.966,30650.0,30650.0,3939.21,37462.0,37462.0,,,
2014-12-01,3349.0,31849.0,31849.0,4093.253,38927.0,38927.0,,,
2015-01-01,3259.647,30377.0,30377.0,2666.963,24853.0,24853.0,,,
2015-02-01,3322.739,30965.0,30965.0,2718.584,25334.0,25334.0,,,
2015-03-01,3764.596,35082.0,35082.0,3080.101,28703.0,28703.0,,,
2015-04-01,3645.528,33973.0,33973.0,2982.682,27796.0,27796.0,,,
2015-05-01,3655.383,34065.0,34065.0,2990.745,27871.0,27871.0,,,
2015-06-01,3050.375,28426.0,28426.0,2495.742,23258.0,23258.0,,,
2015-07-01,3420.191,31873.0,31873.0,2798.317,26078.0,26078.0,,,
2015-08-01,3295.421,30710.0,30710.0,2696.233,25126.0,25126.0,,,
2015-09-01,3600.2,33550.0,33550.0,2945.596,27450.0,27450.0,,,
2015-10-01,3788.686,35307.0,35307.0,3099.81,28887.0,28887.0,,,
2015-11-01,4403.567,41037.0,41037.0,3602.891,33575.0,33575.0,,,
2015-12-01,4511.667,42044.0,42044.0,3691.336,34400.0,34400.0,,,
2016-01-01,3774.132,34843.0,34843.0,4612.868,42586.0,42586.0,,,
2016-02-01,3474.507,32077.0,32077.0,4246.658,39205.0,39205.0,,,
2016-03-01,3589.401,33137.0,33137.0,4387.084,40502.0,40502.0,,,
2016-04-01,3420.507,31578.0,31578.0,4180.657,38596.0,38596.0,,,
2016-05-01,3483.671,32161.0,32161.0,4257.858,39309.0,39309.0,,,
2016-06-01,2999.532,27692.0,27692.0,3666.127,33846.0,33846.0,,,
2016-07-01,2924.404,26998.0,26998.0,3574.304,32998.0,32998.0,,,
2016-08-01,2946.371,27201.0,27201.0,3601.153,33246.0,33246.0,,,
2016-09-01,3159.682,29170.0,29170.0,3861.869,35653.0,35653.0,,,
2016-10-01,3394.619,31339.0,31339.0,4149.016,38304.0,38304.0,,,
2016-11-01,3580.299,33053.0,33053.0,4375.961,40399.0,40399.0,,,
2016-12-01,3858.875,35625.0,35625.0,4716.445,43542.0,43542.0,,,
2017-01-01,4145.658,38194.0,38194.0,3391.909,31250.0,31250.0,,,
2017-02-01,3651.834,33644.0,33644.0,2987.871,27527.0,27527.0,,,
2017-03-01,4084.451,37630.0,37630.0,3341.832,30788.0,30788.0,,,
2017-04-01,3957.119,36457.0,36457.0,3237.65,29828.0,29828.0,,,
2017-05-01,3825.198,35242.0,35242.0,3129.715,28834.0,28834.0,,,
2017-06-01,3753.509,34581.0,34581.0,3071.06,28294.0,28294.0,,,
2017-07-01,4037.416,37197.0,37197.0,3303.348,30434.0,30434.0,,,
2017-08-01,4010.672,36950.0,36950.0,3281.467,30232.0,30232.0,,,
2017-09-01,3922.242,36136.0,36136.0,3209.115,29566.0,29566.0,,,
2017-10-01,3572.281,32911.0,32911.0,2922.783,26928.0,26928.0,,,
2017-11-01,3838.008,35360.0,35360.0,3140.196,28931.0,28931.0,,,
2017-12-01,3990.612,36766.0,36766.0,3265.054,30081.0,30081.0,,,
2018-01-01,4464.648,40646.0,40646.0,3652.894,33256.0,33256.0,,,
2018-02-01,4244.084,38638.0,38638.0,3472.432,31613.0,31613.0,,,
2018-03-01,4548.684,41411.0,41411.0,3721.651,33882.0,33882.0,,,
2018-04-01,3956.789,36023.0,36023.0,3237.373,29473.0,29473.0,,,
2018-05-01,4577.483,41673.0,41673.0,3745.213,34096.0,34096.0,,,
2018-06-01,4270.979,38883.0,38883.0,3494.437,31813.0,31813.0,,,
2018-07-01,4526.527,41210.0,41210.0,3703.522,33717.0,33717.0,,,
2018-08-01,4517.964,41132.0,41132.0,3696.516,33653.0,33653.0,,,
2018-09-01,4395.288,40015.0,40015.0,3596.145,32739.0,32739.0,,,
2018-10-01,4231.132,38520.0,38520.0,3461.835,31517.0,31517.0,,,
2018-11-01,4421.126,40250.0,40250.0,3617.285,32932.0,32932.0,,,
2018-12-01,4689.296,42691.0,42691.0,3836.697,34929.0,34929.0,,,
2019-01-01,4113.09,36627.0,36627.0,3365.191,29967.0,29967.0,,,
2019-02-01,3831.258,34117.0,34117.0,3134.605,27914.0,27914.0,,,
2019-03-01,4220.769,37586.0,37586.0,3453.29,30752.0,30752.0,,,
2019-04-01,3732.155,33235.0,33235.0,3053.522,27192.0,27192.0,,,
2019-05-01,4019.769,35796.0,35796.0,3288.838,29287.0,29287.0,,,
2019-06-01,3902.618,34753.0,34753.0,3192.99,28434.0,28434.0,,,
2019-07-01,4036.499,35945.0,35945.0,3302.527,29409.0,29409.0,,,
2019-08-01,4075.645,36294.0,36294.0,3334.555,29694.0,29694.0,,,
2019-09-01,3996.4,35588.0,35588.0,3269.718,29117.0,29117.0,,,
2019-10-01,3409.814,30364.0,30364.0,2789.794,24843.0,24843.0,,,
2019-11-01,3113.694,27727.0,27727.0,2547.519,22686.0,22686.0,,,
2019-12-01,3667.289,32657.0,32657.0,3000.451,26719.0,26719.0,,,
2020-01-01,8432.109,73924.0,73924.0,8888.069,77922.0,77922.0,,,
2020-02-01,8976.473,78697.0,78697.0,9461.867,82952.0,82952.0,,,
2020-03-01,9375.098,82191.0,82191.0,9882.047,86636.0,86636.0,,,
2020-04-01,8860.32,77678.0,77678.0,9339.433,81879.0,81879.0,,,
2020-05-01,,,,8919.384,78196.0,78196.0,,,
2020-06-01,,,,8210.425,71981.0,71981.0,,,
2020-07-01,,,,7754.246,67981.0,67981.0,,,
2020-08-01,,,,7543.991,66138.0,66138.0,,,
2020-09-01,,,,8142.779,71388.0,71388.0,,,
2020-10-01,,,,9039.247,79247.0,79247.0,,,
2020-11-01,,,,9643.771,84547.0,84547.0,,,
2020-12-01,,,,10106.741,88606.0,88606.0,,,
2021-01-01,0.0,0.0,0.0,18995.6,167997.0,167997.0,,,
2021-02-01,0.0,0.0,0.0,16643.669,147197.0,147197.0,,,
2021-03-01,0.0,0.0,0.0,14778.036,130697.0,130697.0,,,
2021-04-01,0.0,0.0,0.0,16948.224,149890.0,149890.0,,,
2021-05-01,0.0,0.0,0.0,18744.421,165776.0,165776.0,,,
2021-06-01,0.0,0.0,0.0,16259.67,143801.0,143801.0,,,
2021-07-01,0.0,0.0,0.0,16073.601,142155.0,142155.0,,,
2021-08-01,0.0,0.0,0.0,16323.917,144369.0,144369.0,,,
2021-09-01,0.0,0.0,0.0,16930.185,149731.0,149731.0,,,
2021-10-01,0.0,0.0,0.0,18514.244,163740.0,163740.0,,,
2021-11-01,0.0,0.0,0.0,19038.968,168381.0,168381.0,,,
2021-12-01,0.0,0.0,0.0,21321.465,188567.0,188567.0,,,
2022-01-01,0.0,0.0,0.0,23025.579,78563.0,78563.0,,,
2022-02-01,0.0,0.0,0.0,20182.763,68864.0,68864.0,,,
2022-03-01,0.0,0.0,0.0,18170.431,61998.0,61998.0,,,
2022-04-01,0.0,0.0,0.0,16841.1,57462.0,57462.0,,,
2022-05-01,0.0,0.0,0.0,18188.171,62058.0,62058.0,,,
2022-06-01,0.0,0.0,0.0,17823.304,60813.0,60813.0,,,
2022-07-01,0.0,0.0,0.0,17139.375,58480.0,58480.0,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0,18106.222,61778.0,61778.0,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0,18568.131,63354.0,63354.0,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0,16149.096,55101.0,55101.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0,22973.417,78385.0,78385.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,24153.411,82411.0,82411.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0,21596.0,73686.0,73686.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,19830.0,67660.0,67660.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,22372.0,76333.0,76333.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,19766.0,67442.0,67442.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,19260.0,65715.0,65715.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,16004.0,54606.0,54606.0,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0,15397.0,52535.0,52535.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,15173.0,51770.0,51770.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,18181.0,62034.0,62034.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,21652.0,73877.0,73877.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,22568.0,77002.0,77002.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,23809.0,81236.0,81236.0,0.0,0.0,0.0
2024-01-01,0.0,0.0,0.0,22451.0,76603.0,76603.0,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,19679.0,67145.0,67145.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,20863.0,71185.0,71185.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,19938.0,68028.0,68028.0,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,19671.0,67117.0,67117.0,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,17337.0,59154.0,59154.0,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,16136.0,55056.0,55056.0,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,17310.0,59062.0,59062.0,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,16331.0,55721.0,55721.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,18344.0,62590.0,62590.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,20535.0,70065.0,70065.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,23094.0,78797.0,78797.0,0.0,0.0,0.0
