measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2005-06-01,15.074,217.03,217.03,,,,4191.189,62174.76,62174.76
2005-07-01,24.138,347.52,347.52,,,,5252.813,77923.56,77923.56
2005-08-01,26.712,384.59,384.59,,,,5441.345,80720.36,80720.36
2005-09-01,26.527,381.92,381.92,,,,4140.523,61423.15,61423.15
2005-10-01,15.829,227.89,227.89,,,,3307.773,49069.6,49069.6
2005-11-01,12.617,181.64,181.64,,,,2822.078,41864.49,41864.49
2005-12-01,27.483,395.68,395.68,,,,2754.058,40855.44,40855.44
2006-01-01,24.615,484.0,484.0,,,,1625.91,25073.0,25073.0
2006-02-01,24.358,479.0,479.0,,,,1928.9940000000001,29747.0,29747.0
2006-03-01,21.357,420.0,420.0,,,,2200.195,33929.0,33929.0
2006-04-01,28.173000000000002,553.0,553.0,,,,2460.966,37950.0,37950.0
2006-05-01,25.462,500.0,500.0,,,,2850.413,43955.0,43955.0
2006-06-01,30.451,598.0,598.0,,,,3632.201,56011.0,56011.0
2006-07-01,29.54,580.0,580.0,,,,4566.47,70418.0,70418.0
2006-08-01,31.791,625.0,625.0,,,,4624.058,71306.0,71306.0
2006-09-01,22.585,444.0,444.0,,,,3146.22,48517.0,48517.0
2006-10-01,29.069000000000003,571.0,571.0,,,,2848.6240000000003,43928.0,43928.0
2006-11-01,25.373,498.0,498.0,,,,2115.5460000000003,32623.0,32623.0
2006-12-01,28.227,555.0,555.0,,,,2205.4030000000002,34009.0,34009.0
2007-01-01,-46.15,12939.0,12939.0,,,,-7.85,2201.0,2201.0
2007-02-01,0.0,0.0,0.0,,,,-225.0,1656.0,1656.0
2007-03-01,0.0,0.0,0.0,,,,-178.0,1961.0,1961.0
2007-04-01,0.0,0.0,0.0,,,,-244.0,2135.0,2135.0
2007-05-01,0.0,0.0,0.0,,,,-239.0,1316.0,1316.0
2007-06-01,0.0,0.0,0.0,,,,-155.0,2175.0,2175.0
2007-07-01,0.0,0.0,0.0,,,,1707.0,28297.0,28297.0
2007-08-01,0.0,0.0,0.0,,,,4014.0,64526.0,64526.0
2007-09-01,0.0,0.0,0.0,,,,1772.0,33226.0,33226.0
2007-10-01,0.0,0.0,0.0,,,,201.0,9942.0,9942.0
2007-11-01,0.0,0.0,0.0,,,,-210.0,1021.0,1021.0
2007-12-01,0.0,0.0,0.0,,,,-199.0,2154.0,2154.0
2008-01-01,0.0,0.0,0.0,,,,0.0,2857.0,2857.0
2008-02-01,0.0,0.0,0.0,,,,65.0,3080.0,3080.0
2008-03-01,0.0,0.0,0.0,,,,65.0,3920.0,3920.0
2008-04-01,0.0,0.0,0.0,,,,148.0,6647.0,6647.0
2008-05-01,0.0,0.0,0.0,,,,2827.0,46435.0,46435.0
2008-06-01,0.0,0.0,0.0,,,,3406.0,52396.0,52396.0
2008-07-01,0.0,0.0,0.0,,,,5373.0,79156.0,79156.0
2008-08-01,0.0,0.0,0.0,,,,3105.0,47197.0,47197.0
2008-09-01,0.0,0.0,0.0,,,,2640.0,40299.0,40299.0
2008-10-01,0.0,0.0,0.0,,,,1522.0,28339.0,28339.0
2008-11-01,0.0,0.0,0.0,,,,1994.0,34844.0,34844.0
2008-12-01,308.075,6148.0,6148.0,,,,1976.9250000000002,39452.0,39452.0
2009-01-01,91.096,2320.0,2320.0,,,,766.904,19531.0,19531.0
2009-02-01,7.721,116.0,116.0,,,,5526.279,83030.0,83030.0
2009-03-01,0.0,0.0,0.0,,,,7216.0,103119.0,103119.0
2009-04-01,0.0,0.0,0.0,,,,759.0,17724.0,17724.0
2009-05-01,0.0,0.0,0.0,,,,3285.0,52466.0,52466.0
2009-06-01,0.0,0.0,0.0,,,,9294.0,139846.0,139846.0
2009-07-01,0.0,0.0,0.0,,,,8103.0,129111.0,129111.0
2009-08-01,0.0,0.0,0.0,,,,6392.0,103007.0,103007.0
2009-09-01,0.0,0.0,0.0,,,,908.0,21294.0,21294.0
2009-10-01,0.0,0.0,0.0,,,,225.0,10972.0,10972.0
2009-11-01,0.0,0.0,0.0,,,,255.0,9446.0,9446.0
2009-12-01,0.0,0.0,0.0,,,,1523.0,32206.0,32206.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,143.0,7624.0,7624.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1178.0,25009.0,25009.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,2620.0,45100.0,45100.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,2119.0,36212.0,36212.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,5281.0,84501.0,84501.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,5506.0,88677.0,88677.0
2010-07-01,0.0,0.0,0.0,2892.1620000000003,26393.0,26393.0,5136.0,83500.0,83500.0
2010-08-01,0.0,0.0,0.0,3427.471,31279.0,31279.0,9332.0,143928.0,143928.0
2010-09-01,0.0,0.0,0.0,2492.94,22750.0,22750.0,2013.0,37588.0,37588.0
2010-10-01,0.0,0.0,0.0,1853.049,16910.0,16910.0,-109.0,4317.0,4317.0
2010-11-01,0.0,0.0,0.0,1673.969,15276.0,15276.0,-231.0,1782.0,1782.0
2010-12-01,0.0,0.0,0.0,1746.929,15942.0,15942.0,-79.0,6420.0,6420.0
2011-01-01,0.0,0.0,0.0,1230.527,12016.0,12016.0,209.0,13065.0,13065.0
2011-02-01,-208.477,16164.0,16164.0,1117.313,10910.0,10910.0,-62.523,4848.0,4848.0
2011-03-01,0.0,0.0,0.0,1005.161,9815.0,9815.0,-252.0,3628.0,3628.0
2011-04-01,0.0,0.0,0.0,1296.51,12660.0,12660.0,205.0,9633.0,9633.0
2011-05-01,0.0,0.0,0.0,1380.774,13483.0,13483.0,1650.0,31019.0,31019.0
2011-06-01,0.0,0.0,0.0,1792.346,17502.0,17502.0,5804.0,93908.0,93908.0
2011-07-01,0.0,0.0,0.0,2173.701,21226.0,21226.0,7901.0,122377.0,122377.0
2011-08-01,0.0,0.0,0.0,2339.547,22844.0,22844.0,9783.0,147059.0,147059.0
2011-09-01,85.679,1818.0,1818.0,1646.189,16074.0,16074.0,1388.321,29458.0,29458.0
2011-10-01,0.0,0.0,0.0,1256.337,12268.0,12268.0,227.0,11036.0,11036.0
2011-11-01,0.0,0.0,0.0,1159.167,11319.0,11319.0,-54.0,4820.0,4820.0
2011-12-01,0.0,0.0,0.0,1392.428,13596.0,13596.0,147.0,9114.0,9114.0
2012-01-01,0.0,0.0,0.0,971.69,9726.0,9726.0,57.0,8859.0,8859.0
2012-02-01,0.0,0.0,0.0,905.706,9065.0,9065.0,-44.0,5812.0,5812.0
2012-03-01,0.0,0.0,0.0,993.849,9947.0,9947.0,352.0,5812.0,5812.0
2012-04-01,0.0,0.0,0.0,1118.308,11193.0,11193.0,2596.0,48037.0,48037.0
2012-05-01,0.0,0.0,0.0,1201.46,12026.0,12026.0,2388.0,43968.0,43968.0
2012-06-01,0.0,0.0,0.0,1334.848,13361.0,13361.0,3338.0,55644.0,55644.0
2012-07-01,0.0,0.0,0.0,1440.113,14414.0,14414.0,3238.0,55910.0,55910.0
2012-08-01,0.0,0.0,0.0,1493.647,14950.0,14950.0,3782.0,62524.0,62524.0
2012-09-01,0.0,0.0,0.0,1153.862,11549.0,11549.0,1311.0,26284.0,26284.0
2012-10-01,0.0,0.0,0.0,906.263,9071.0,9071.0,659.0,15539.0,15539.0
2012-11-01,0.0,0.0,0.0,820.884,8216.0,8216.0,546.0,12827.0,12827.0
2012-12-01,0.0,0.0,0.0,883.37,8842.0,8842.0,405.0,13022.0,13022.0
2013-01-01,0.0,0.0,0.0,1204.773,12152.0,12152.0,-111.0,5233.0,5233.0
2013-02-01,0.0,0.0,0.0,951.627,9599.0,9599.0,-65.0,4686.0,4686.0
2013-03-01,0.0,0.0,0.0,1024.42,10333.0,10333.0,65.0,3656.0,3656.0
2013-04-01,0.0,0.0,0.0,1104.183,11137.0,11137.0,611.0,11554.0,11554.0
2013-05-01,0.0,0.0,0.0,1188.586,11988.0,11988.0,1626.0,28183.0,28183.0
2013-06-01,0.0,0.0,0.0,1467.172,14799.0,14799.0,2116.0,36833.0,36833.0
2013-07-01,0.0,0.0,0.0,1627.035,16411.0,16411.0,2531.0,43526.0,43526.0
2013-08-01,0.0,0.0,0.0,1810.916,18266.0,18266.0,3118.0,52811.0,52811.0
2013-09-01,0.0,0.0,0.0,1532.138,15453.0,15453.0,1499.0,28143.0,28143.0
2013-10-01,0.0,0.0,0.0,1198.795,12092.0,12092.0,-25.0,4258.0,4258.0
2013-11-01,0.0,0.0,0.0,1171.926,11820.0,11820.0,553.0,12173.0,12173.0
2013-12-01,0.0,0.0,0.0,1281.429,12925.0,12925.0,-21.0,4854.0,4854.0
2014-01-01,38.182,2004.0,2004.0,1309.924,24241.0,24241.0,84.818,4453.0,4453.0
2014-02-01,266.293,5806.0,5806.0,1143.14,21156.0,21156.0,227.707,4965.0,4965.0
2014-03-01,240.013,5610.0,5610.0,1160.137,21471.0,21471.0,248.987,5820.0,5820.0
2014-04-01,0.0,0.0,0.0,1199.865,22206.0,22206.0,935.0,23127.0,23127.0
2014-05-01,0.0,0.0,0.0,1327.816,24573.0,24573.0,1282.0,29584.0,29584.0
2014-06-01,0.0,0.0,0.0,1550.81,28700.0,28700.0,2841.0,48537.0,48537.0
2014-07-01,0.0,0.0,0.0,1801.739,33345.0,33345.0,3332.0,56503.0,56503.0
2014-08-01,0.0,0.0,0.0,2007.273,37148.0,37148.0,3835.0,64062.0,64062.0
2014-09-01,0.0,0.0,0.0,1631.851,30201.0,30201.0,2223.0,40735.0,40735.0
2014-10-01,0.0,0.0,0.0,1429.25,26451.0,26451.0,976.0,22288.0,22288.0
2014-11-01,0.0,0.0,0.0,1239.792,22945.0,22945.0,485.0,12611.0,12611.0
2014-12-01,0.0,0.0,0.0,1354.403,25066.0,25066.0,-82.0,4713.0,4713.0
2015-01-01,0.0,0.0,0.0,533.328,5916.0,5916.0,-268.0,3127.0,3127.0
2015-02-01,0.0,0.0,0.0,483.401,5362.0,5362.0,-108.0,5317.0,5317.0
2015-03-01,0.0,0.0,0.0,548.009,6078.0,6078.0,90.0,8908.0,8908.0
2015-04-01,0.0,0.0,0.0,507.795,5632.0,5632.0,-115.0,3985.0,3985.0
2015-05-01,0.0,0.0,0.0,528.037,5857.0,5857.0,1252.0,29136.0,29136.0
2015-06-01,0.0,0.0,0.0,621.328,6891.0,6891.0,1895.0,35992.0,35992.0
2015-07-01,0.0,0.0,0.0,736.774,8172.0,8172.0,3911.0,64951.0,64951.0
2015-08-01,0.0,0.0,0.0,756.98,8396.0,8396.0,4902.0,77235.0,77235.0
2015-09-01,0.0,0.0,0.0,634.712,7040.0,7040.0,1371.0,25542.0,25542.0
2015-10-01,0.0,0.0,0.0,552.953,6133.0,6133.0,113.0,5615.0,5615.0
2015-11-01,0.0,0.0,0.0,480.27,5327.0,5327.0,-158.0,2344.0,2344.0
2015-12-01,0.0,0.0,0.0,541.413,6005.0,6005.0,-229.0,1001.0,1001.0
2016-01-01,0.0,0.0,0.0,749.96,8033.0,8033.0,-221.0,1745.0,1745.0
2016-02-01,0.0,0.0,0.0,654.906,7015.0,7015.0,-246.0,995.0,995.0
2016-03-01,0.0,0.0,0.0,737.139,7896.0,7896.0,295.0,12380.0,12380.0
2016-04-01,0.0,0.0,0.0,703.402,7534.0,7534.0,528.0,15550.0,15550.0
2016-05-01,0.0,0.0,0.0,786.03,8419.0,8419.0,280.0,13155.0,13155.0
2016-06-01,0.0,0.0,0.0,878.951,9415.0,9415.0,1308.0,27970.0,27970.0
2016-07-01,0.0,0.0,0.0,982.512,10524.0,10524.0,1997.0,39143.0,39143.0
2016-08-01,0.0,0.0,0.0,1011.411,10834.0,10834.0,2650.0,45838.0,45838.0
2016-09-01,0.0,0.0,0.0,854.421,9152.0,9152.0,1763.0,33273.0,33273.0
2016-10-01,0.0,0.0,0.0,673.298,7212.0,7212.0,759.0,11856.0,11856.0
2016-11-01,0.0,0.0,0.0,602.144,6450.0,6450.0,-119.0,2976.0,2976.0
2016-12-01,0.0,0.0,0.0,560.826,6007.0,6007.0,-216.0,147.0,147.0
2017-01-01,0.0,0.0,0.0,487.326,5669.0,5669.0,-232.0,915.0,915.0
2017-02-01,0.0,0.0,0.0,431.882,5025.0,5025.0,-186.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,508.856,5920.0,5920.0,-201.0,0.0,0.0
2017-04-01,0.0,0.0,0.0,503.004,5852.0,5852.0,-183.0,0.0,0.0
2017-05-01,0.0,0.0,0.0,574.04,6678.0,6678.0,175.0,6533.0,6533.0
2017-06-01,0.0,0.0,0.0,735.31,8554.0,8554.0,1333.0,24639.0,24639.0
2017-07-01,0.0,0.0,0.0,902.04,10494.0,10494.0,2300.0,39100.0,39100.0
2017-08-01,0.0,0.0,0.0,861.12,10019.0,10019.0,598.0,13603.0,13603.0
2017-09-01,0.0,0.0,0.0,635.064,7389.0,7389.0,56.0,4662.0,4662.0
2017-10-01,0.0,0.0,0.0,561.216,6529.0,6529.0,-178.0,956.0,956.0
2017-11-01,0.0,0.0,0.0,466.741,5430.0,5430.0,-207.0,0.0,0.0
2017-12-01,0.0,0.0,0.0,610.401,7101.0,7101.0,-237.0,0.0,0.0
2018-01-01,0.0,0.0,0.0,2377.519,23795.0,23795.0,-186.0,902.0,902.0
2018-02-01,0.0,0.0,0.0,2138.482,21404.0,21404.0,-235.0,0.0,0.0
2018-03-01,0.0,0.0,0.0,2162.044,21640.0,21640.0,-244.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,2007.137,20090.0,20090.0,-237.0,0.0,0.0
2018-05-01,0.0,0.0,0.0,2715.886,27184.0,27184.0,1919.0,31382.0,31382.0
2018-06-01,0.0,0.0,0.0,2962.083,29647.0,29647.0,123.0,6081.0,6081.0
2018-07-01,0.0,0.0,0.0,3683.472,36868.0,36868.0,388.0,10187.0,10187.0
2018-08-01,0.0,0.0,0.0,3429.356,34324.0,34324.0,-185.0,0.0,0.0
2018-09-01,0.0,0.0,0.0,2909.406,29121.0,29121.0,-171.0,0.0,0.0
2018-10-01,0.0,0.0,0.0,2444.349,24466.0,24466.0,-154.0,0.0,0.0
2018-11-01,0.0,0.0,0.0,2110.134,21120.0,21120.0,-109.0,0.0,0.0
2018-12-01,0.0,0.0,0.0,2283.132,22852.0,22852.0,-113.0,0.0,0.0
2019-01-01,0.0,0.0,0.0,502.893,10285.0,10285.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,404.29,8269.0,8269.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,434.416,8885.0,8885.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,391.429,8006.0,8006.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,532.449,10890.0,10890.0,222.0,8705.0,8705.0
2019-06-01,0.0,0.0,0.0,614.25,12563.0,12563.0,-62.0,975.0,975.0
2019-07-01,0.0,0.0,0.0,706.81,14456.0,14456.0,1139.0,21647.0,21647.0
2019-08-01,0.0,0.0,0.0,760.959,15564.0,15564.0,4264.0,71022.0,71022.0
2019-09-01,0.0,0.0,0.0,657.674,13452.0,13452.0,1890.0,34186.0,34186.0
2019-10-01,0.0,0.0,0.0,509.965,10430.0,10430.0,60.0,2424.0,2424.0
2019-11-01,0.0,0.0,0.0,462.568,9461.0,9461.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,514.297,10519.0,10519.0,423.0,9724.0,9724.0
2020-01-01,0.0,0.0,0.0,2041.98,17664.0,17664.0,-113.0,2395.0,2395.0
2020-02-01,0.0,0.0,0.0,1942.773,16807.0,16807.0,-198.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,1893.156,16377.0,16377.0,-168.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,1685.672,14582.0,14582.0,-142.0,0.0,0.0
2020-05-01,0.0,0.0,0.0,2018.057,17457.0,17457.0,-156.0,0.0,0.0
2020-06-01,0.0,0.0,0.0,2386.904,20649.0,20649.0,298.0,14763.0,14763.0
2020-07-01,0.0,0.0,0.0,2904.042,25122.0,25122.0,1238.0,21260.0,21260.0
2020-08-01,0.0,0.0,0.0,2810.732,24315.0,24315.0,4711.0,71757.0,71757.0
2020-09-01,0.0,0.0,0.0,2319.362,20064.0,20064.0,396.0,12926.0,12926.0
2020-10-01,0.0,0.0,0.0,2005.704,17351.0,17351.0,1024.0,16851.0,16851.0
2020-11-01,0.0,0.0,0.0,1571.021,13590.0,13590.0,296.0,5829.0,5829.0
2020-12-01,0.0,0.0,0.0,1726.597,14936.0,14936.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,2734.876,29325.0,29325.0,-174.0,0.0,0.0
2021-02-01,2505.259,42588.0,42588.0,2659.545,28519.0,28519.0,34.741,591.0,591.0
2021-03-01,0.0,0.0,0.0,2072.732,22227.0,22227.0,-1667.0,287.0,287.0
2021-04-01,0.0,0.0,0.0,2361.153,25320.0,25320.0,75.0,47232.0,47232.0
2021-05-01,0.0,0.0,0.0,2702.59,28981.0,28981.0,-204.0,0.0,0.0
2021-06-01,0.0,0.0,0.0,3678.75,39449.0,39449.0,1995.0,38283.0,38283.0
2021-07-01,0.0,0.0,0.0,4052.684,43459.0,43459.0,3477.0,39876.0,39876.0
2021-08-01,0.0,0.0,0.0,4132.873,44318.0,44318.0,2900.0,55509.0,55509.0
2021-09-01,0.0,0.0,0.0,3492.348,37450.0,37450.0,1555.0,33485.0,33485.0
2021-10-01,0.0,0.0,0.0,2955.136,31690.0,31690.0,1174.0,23444.0,23444.0
2021-11-01,0.0,0.0,0.0,2430.66,26065.0,26065.0,-136.0,10153.0,10153.0
2021-12-01,0.0,0.0,0.0,2550.653,27352.0,27352.0,-235.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,1923.071,19686.0,19686.0,-113.0,597.0,597.0
2022-02-01,897.145,14655.0,14655.0,1712.106,17526.0,17526.0,14.855,243.0,243.0
2022-03-01,0.0,0.0,0.0,1363.369,13957.0,13957.0,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0,1421.225,14549.0,14549.0,399.0,5988.0,5988.0
2022-05-01,0.0,0.0,0.0,2099.53,21493.0,21493.0,2377.0,27279.0,27279.0
2022-06-01,0.0,0.0,0.0,2555.72,26163.0,26163.0,2905.0,230922.0,230922.0
2022-07-01,0.0,0.0,0.0,3011.639,30830.0,30830.0,8529.0,579834.0,579834.0
2022-08-01,0.0,0.0,0.0,3027.316,30991.0,30991.0,4801.0,60607.0,60607.0
2022-09-01,0.0,0.0,0.0,2551.845,26123.0,26123.0,2066.0,29764.0,29764.0
2022-10-01,8.652,844.0,844.0,1972.238,20190.0,20190.0,676.348,65949.0,65949.0
2022-11-01,0.0,0.0,0.0,1848.53,18923.0,18923.0,309.0,29675.0,29675.0
2022-12-01,1673.508,28226.0,28226.0,2051.411,21000.0,21000.0,538.492,9083.0,9083.0
2023-01-01,608.431,14628.0,14628.0,1939.671,17772.0,17772.0,88.569,2129.0,2129.0
2023-02-01,1367.228,915659.0,915659.0,1829.431,16761.0,16761.0,43.772,29315.0,29315.0
2023-03-01,-20.343,0.0,0.0,1805.508,16542.0,16542.0,-166.657,0.0,0.0
2023-04-01,0.0,0.0,0.0,1743.716,15976.0,15976.0,432.0,11838.0,11838.0
2023-05-01,0.0,0.0,0.0,2489.493,22809.0,22809.0,618.0,22335.0,22335.0
2023-06-01,0.0,0.0,0.0,2875.809,26348.0,26348.0,3676.0,64774.0,64774.0
2023-07-01,0.0,0.0,0.0,3153.89,28896.0,28896.0,7171.0,112374.0,112374.0
2023-08-01,0.0,0.0,0.0,3471.383,31804.0,31804.0,15023.0,214369.0,214369.0
2023-09-01,0.0,0.0,0.0,2924.418,26793.0,26793.0,4865.0,88713.0,88713.0
2023-10-01,0.0,0.0,0.0,2158.644,19777.0,19777.0,465.0,25561.0,25561.0
2023-11-01,0.0,0.0,0.0,2001.388,18336.0,18336.0,-76.0,6442.0,6442.0
2023-12-01,-24.586,0.0,0.0,2126.649,19484.0,19484.0,-201.414,0.0,0.0
2024-01-01,2313.887,33246.0,33246.0,3110.497,33055.0,33055.0,237.113,3407.0,3407.0
2024-02-01,0.0,0.0,0.0,2147.546,22823.0,22823.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,2437.065,25899.0,25899.0,313.0,5563.0,5563.0
2024-04-01,0.0,0.0,0.0,2289.681,24332.0,24332.0,1139.0,23607.0,23607.0
2024-05-01,0.0,0.0,0.0,3059.266,32511.0,32511.0,1821.0,26706.0,26706.0
2024-06-01,0.0,0.0,0.0,3451.397,36678.0,36678.0,887.0,13174.0,13174.0
2024-07-01,0.0,0.0,0.0,3730.686,39646.0,39646.0,594.0,7557.0,7557.0
2024-08-01,0.0,0.0,0.0,4215.425,44797.0,44797.0,4298.0,60757.0,60757.0
2024-09-01,0.0,0.0,0.0,3497.659,37170.0,37170.0,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,3029.743,32197.0,32197.0,1123.0,17040.0,17040.0
2024-11-01,0.0,0.0,0.0,2427.224,25795.0,25795.0,210.0,2258.0,2258.0
2024-12-01,0.0,0.0,0.0,2603.811,27671.0,27671.0,0.0,0.0,0.0
