measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2008-10-01,-46.5,0.0,0.0,-152.5,0.0,0.0,-78.0,0.0,0.0,,,,-46.5,0.0,0.0,-152.5,0.0,0.0,,,
2008-11-01,-45.0,0.0,0.0,-216.0,0.0,0.0,-84.0,0.0,0.0,,,,-45.0,0.0,0.0,-216.0,0.0,0.0,,,
2008-12-01,-46.5,0.0,0.0,-277.5,0.0,0.0,-20.0,1333.0,1333.0,,,,-46.5,0.0,0.0,-277.5,0.0,0.0,,,
2009-01-01,-46.5,0.0,0.0,-343.0,0.0,0.0,-105.0,0.0,0.0,,,,-46.5,0.0,0.0,-343.0,0.0,0.0,,,
2009-02-01,-42.0,0.0,0.0,-289.5,0.0,0.0,-86.0,0.0,0.0,,,,-42.0,0.0,0.0,-289.5,0.0,0.0,,,
2009-03-01,-46.5,0.0,0.0,-226.5,0.0,0.0,-81.0,0.0,0.0,,,,-46.5,0.0,0.0,-226.5,0.0,0.0,,,
2009-04-01,-45.0,0.0,0.0,-157.5,0.0,0.0,-70.0,0.0,0.0,,,,-45.0,0.0,0.0,-157.5,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,94.0,2578.0,2578.0,,,,1031.0,20473.0,20473.0,71.0,0.0,0.0,,,
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-58.0,0.0,0.0,,,,1288.0,23752.0,23752.0,420.0,1613.0,1613.0,,,
2009-07-01,-46.5,0.0,0.0,-93.5,0.0,0.0,-8.0,909.0,909.0,,,,-46.5,0.0,0.0,-93.5,0.0,0.0,,,
2009-08-01,-46.5,0.0,0.0,-90.0,0.0,0.0,210.0,4643.0,4643.0,,,,-46.5,0.0,0.0,-90.0,0.0,0.0,,,
2009-09-01,-45.0,0.0,0.0,-117.5,0.0,0.0,-23.0,0.0,0.0,,,,-45.0,0.0,0.0,-117.5,0.0,0.0,,,
2009-10-01,-46.5,0.0,0.0,-149.5,0.0,0.0,13.0,791.0,791.0,,,,-46.5,0.0,0.0,-149.5,0.0,0.0,,,
2009-11-01,-45.0,0.0,0.0,-170.0,0.0,0.0,-69.0,0.0,0.0,,,,-45.0,0.0,0.0,-170.0,0.0,0.0,,,
2009-12-01,-46.5,0.0,0.0,-289.0,0.0,0.0,281.0,5375.0,5375.0,,,,-46.5,0.0,0.0,-289.0,0.0,0.0,,,
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,914.0,14449.0,14449.0,,,,-93.0,0.0,0.0,-668.0,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,15790.0,15790.0,,,,-84.0,0.0,0.0,-623.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,,,,-93.0,0.0,0.0,-456.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,0.0,0.0,,,,-90.0,0.0,0.0,-270.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,528.0,9831.0,9831.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-57.0,0.0,0.0,,,,1813.0,33312.0,33312.0,547.0,1949.0,1949.0,,,
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,106.0,2740.0,2740.0,,,,2704.0,46139.0,46139.0,952.0,2021.0,2021.0,,,
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1572.0,1572.0,,,,-93.0,0.0,0.0,-173.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,0.0,0.0,,,,-90.0,0.0,0.0,-229.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-93.0,0.0,0.0,-314.0,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-90.0,0.0,0.0,-457.0,0.0,0.0,,,
2010-12-01,-52.0,324.0,324.0,-733.0,0.0,0.0,-93.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-01-01,-0.039,0.0,0.0,0.0,0.0,0.0,-76.0,601.0,601.0,,,,-90.961,0.0,0.0,-719.0,0.0,0.0,,,
2011-02-01,-0.036,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,,,,-83.964,0.0,0.0,-537.0,0.0,0.0,,,
2011-03-01,-0.04,0.0,0.0,0.0,0.0,0.0,-84.0,254.0,254.0,,,,-92.96,0.0,0.0,-497.0,0.0,0.0,,,
2011-04-01,-0.023,0.0,0.0,0.0,0.0,0.0,-76.0,0.0,0.0,,,,-54.977,0.0,0.0,-460.0,0.0,0.0,,,
2011-05-01,-0.015,0.0,0.0,0.0,0.0,0.0,-63.0,0.0,0.0,,,,-34.985,0.0,0.0,-308.0,0.0,0.0,,,
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-57.0,0.0,0.0,,,,794.0,14321.0,14321.0,-33.0,0.0,0.0,,,
2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,-57.0,75.0,75.0,,,,3119.0,53011.0,53011.0,909.0,1921.0,1921.0,,,
2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,462.0,462.0,,,,-30.0,229.0,229.0,-267.0,0.0,0.0,,,
2011-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-61.0,0.0,0.0,,,,-29.0,224.0,224.0,-261.0,0.0,0.0,,,
2011-10-01,-0.015,0.0,0.0,0.0,0.0,0.0,-67.0,0.0,0.0,,,,-35.985,0.0,0.0,-325.0,0.0,0.0,,,
2011-11-01,-0.018,0.0,0.0,0.0,0.0,0.0,-74.0,0.0,0.0,,,,-41.982,0.0,0.0,-381.0,0.0,0.0,,,
2011-12-01,-0.024,0.0,0.0,0.0,0.0,0.0,-85.0,64.0,64.0,,,,-55.976,0.0,0.0,-504.0,0.0,0.0,,,
2012-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-86.0,0.0,0.0,,,,-69.0,0.0,0.0,-621.0,0.0,0.0,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-57.0,0.0,0.0,,,,452.0,11041.0,11041.0,-575.0,0.0,0.0,,,
2012-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0,,,,1267.0,18570.0,18570.0,-32.0,0.0,0.0,,,
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-59.0,0.0,0.0,,,,2690.0,36589.0,36589.0,421.0,0.0,0.0,,,
2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-61.0,0.0,0.0,,,,741.0,13825.0,13825.0,-234.0,0.0,0.0,,,
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,0.0,0.0,,,,3436.0,51274.0,51274.0,915.0,0.0,0.0,,,
2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1630.0,1630.0,,,,2400.0,41062.0,41062.0,325.0,272.0,272.0,,,
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,0.0,0.0,,,,2783.0,46039.0,46039.0,604.0,2410.0,2410.0,,,
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,,,,-65.0,0.0,0.0,-246.0,0.0,0.0,,,
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,0.0,0.0,,,,-35.0,0.0,0.0,-330.0,0.0,0.0,,,
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,0.0,0.0,,,,-55.0,0.0,0.0,-502.0,0.0,0.0,,,
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,0.0,0.0,,,,6702.0,107332.0,107332.0,1824.0,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,0.0,0.0,,,,-70.0,0.0,0.0,-637.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-56.0,136.0,136.0,,,,-64.0,0.0,0.0,-575.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,0.0,0.0,,,,-56.0,0.0,0.0,-506.0,0.0,0.0,,,
2013-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,0.0,0.0,,,,-33.0,0.0,0.0,-318.0,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,0.0,0.0,,,,4692.0,51373.0,51373.0,1585.0,0.0,0.0,,,
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0,-63.0,0.0,0.0,,,,1951.0,28480.0,28480.0,579.0,0.0,0.0,,,
2013-07-01,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1221.0,1221.0,,,,3432.0,50502.0,50502.0,838.0,0.0,0.0,,,
2013-08-01,0.0,0.0,0.0,0.0,0.0,0.0,-82.0,0.0,0.0,,,,3809.0,57292.0,57292.0,1580.0,0.0,0.0,,,
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1914.0,28783.0,28783.0,631.0,0.0,0.0,,,
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,-67.0,0.0,0.0,,,,2909.0,44584.0,44584.0,883.0,0.0,0.0,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-65.0,0.0,0.0,,,,0.0,0.0,0.0,-438.0,0.0,0.0,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,0.0,0.0,,,,2381.0,41154.0,41154.0,175.0,0.0,0.0,,,
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,273.0,5310.0,5310.0,,,,0.0,0.0,0.0,-709.0,0.0,0.0,,,
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-60.0,0.0,0.0,,,,0.0,0.0,0.0,-582.0,0.0,0.0,,,
2014-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,36.0,3188.0,3188.0,-565.0,0.0,0.0,,,
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,-21.0,0.0,0.0,,,,118.0,2125.0,2125.0,-339.0,2125.0,2125.0,,,
2014-05-01,,,,,,,-22.0,0.0,0.0,,,,3274.0,56879.0,56879.0,791.0,0.0,0.0,,,
2014-06-01,,,,,,,0.0,0.0,0.0,,,,3429.0,54947.0,54947.0,1520.0,0.0,0.0,,,
2014-07-01,,,,,,,-28.0,385.0,385.0,,,,8793.0,164775.0,164775.0,4291.0,0.0,0.0,,,
2014-08-01,,,,,,,-30.0,0.0,0.0,,,,3126.0,51284.0,51284.0,1206.0,2224.0,2224.0,,,
2014-09-01,,,,,,,-29.0,0.0,0.0,,,,1282.0,23815.0,23815.0,403.0,0.0,0.0,,,
2014-10-01,,,,,,,-30.0,114.0,114.0,,,,3376.0,56025.0,56025.0,1525.0,3920.0,3920.0,,,
2014-11-01,,,,,,,-29.0,0.0,0.0,,,,3906.0,65682.0,65682.0,1373.0,0.0,0.0,,,
2014-12-01,,,,,,,-32.0,0.0,0.0,,,,-495.0,0.0,0.0,-165.0,0.0,0.0,,,
2015-01-01,,,,,,,-32.0,0.0,0.0,,,,-588.0,0.0,0.0,-196.0,0.0,0.0,,,
2015-02-01,,,,,,,-27.0,0.0,0.0,,,,-576.0,0.0,0.0,-192.0,0.0,0.0,,,
2015-03-01,,,,,,,-30.0,0.0,0.0,,,,-456.0,0.0,0.0,-152.0,0.0,0.0,,,
2015-04-01,,,,,,,-29.0,0.0,0.0,,,,-55.0,5561.0,5561.0,-52.0,0.0,0.0,,,
2015-05-01,,,,,,,45.0,744.0,744.0,,,,17511.0,271875.0,271875.0,9407.0,27481.0,27481.0,,,
2015-06-01,,,,,,,-29.0,0.0,0.0,,,,9655.0,142786.0,142786.0,5315.0,16574.0,16574.0,,,
2015-07-01,,,,,,,-30.0,0.0,0.0,,,,21823.0,317737.0,317737.0,12853.0,44416.0,44416.0,,,
2015-08-01,,,,,,,10.0,432.0,432.0,,,,2544.0,41798.0,41798.0,1400.0,3723.0,3723.0,,,
2015-09-01,,,,,,,-12.0,0.0,0.0,,,,10207.0,150870.0,150870.0,5584.0,13753.0,13753.0,,,
2015-10-01,,,,,,,-14.0,132.0,132.0,,,,2414.0,46145.0,46145.0,999.0,742.0,742.0,,,
2015-11-01,,,,,,,-11.0,0.0,0.0,,,,-312.0,0.0,0.0,-105.0,0.0,0.0,,,
2015-12-01,,,,,,,7.0,204.0,204.0,,,,128.0,9280.0,9280.0,31.0,0.0,0.0,,,
2016-01-01,,,,,,,-10.0,0.0,0.0,,,,-540.0,0.0,0.0,-180.0,0.0,0.0,,,
2016-02-01,,,,,,,-7.0,0.0,0.0,,,,-456.0,0.0,0.0,-152.0,0.0,0.0,,,
