measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Liquids - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2010-06-01,224.91500000000002,2546.0,2546.0,2185.6820000000002,24743.0,24743.0,0.0,0.0,0.0
2010-07-01,317.552,3596.0,3596.0,2247.835,25447.0,25447.0,0.0,0.0,0.0
2010-08-01,177.175,2007.0,2007.0,2152.215,24365.0,24365.0,0.0,0.0,0.0
2010-09-01,141.428,1601.0,1601.0,1795.6070000000002,20327.0,20327.0,0.0,0.0,0.0
2010-10-01,30.73,348.0,348.0,1621.528,18357.0,18357.0,0.0,0.0,0.0
2010-11-01,54.804,621.0,621.0,2339.137,26480.0,26480.0,0.0,0.0,0.0
2010-12-01,347.49100000000004,3932.0,3932.0,2020.709,22876.0,22876.0,0.0,0.0,0.0
2011-01-01,83.771,835.0,835.0,403.74,3982.0,3982.0,0.0,0.0,0.0
2011-02-01,11.263,110.0,110.0,361.71,3567.0,3567.0,0.0,0.0,0.0
2011-03-01,23.949,238.0,238.0,358.851,3539.0,3539.0,0.0,0.0,0.0
2011-04-01,10.194,99.0,99.0,375.55,3704.0,3704.0,0.0,0.0,0.0
2011-05-01,52.276,516.0,516.0,402.533,3970.0,3970.0,0.0,0.0,0.0
2011-06-01,61.225,603.0,603.0,413.402,4077.0,4077.0,0.0,0.0,0.0
2011-07-01,109.405,1079.0,1079.0,425.761,4199.0,4199.0,0.0,0.0,0.0
2011-08-01,73.203,719.0,719.0,428.368,4225.0,4225.0,0.0,0.0,0.0
2011-09-01,11.383,110.0,110.0,391.428,3860.0,3860.0,0.0,0.0,0.0
2011-10-01,23.219,226.0,226.0,388.248,3829.0,3829.0,0.0,0.0,0.0
2011-11-01,19.09,186.0,186.0,399.321,3938.0,3938.0,0.0,0.0,0.0
2011-12-01,16.806,168.0,168.0,437.304,4313.0,4313.0,0.0,0.0,0.0
2012-01-01,122.747,1264.0,1264.0,2780.514,28747.0,28747.0,0.0,0.0,0.0
2012-02-01,154.283,1595.0,1595.0,2673.628,27642.0,27642.0,0.0,0.0,0.0
2012-03-01,54.718,568.0,568.0,2786.78,28812.0,28812.0,0.0,0.0,0.0
2012-04-01,68.345,708.0,708.0,2839.418,29356.0,29356.0,0.0,0.0,0.0
2012-05-01,137.528,1421.0,1421.0,2977.108,30780.0,30780.0,0.0,0.0,0.0
2012-06-01,356.116,3683.0,3683.0,3213.768,33226.0,33226.0,0.0,0.0,0.0
2012-07-01,904.322,9350.0,9350.0,3108.088,32134.0,32134.0,0.0,0.0,0.0
2012-08-01,96.886,1003.0,1003.0,2997.998,30996.0,30996.0,0.0,0.0,0.0
2012-09-01,139.684,1444.0,1444.0,2631.882,27210.0,27210.0,0.0,0.0,0.0
2012-10-01,132.374,1369.0,1369.0,2480.928,25650.0,25650.0,0.0,0.0,0.0
2012-11-01,88.908,916.0,916.0,3030.103,31328.0,31328.0,0.0,0.0,0.0
2012-12-01,66.067,684.0,684.0,3037.807,31407.0,31407.0,0.0,0.0,0.0
2013-01-01,244.929,2851.0,2851.0,2578.395,29981.0,29981.0,,,
2013-02-01,48.464,564.0,564.0,2367.065,27524.0,27524.0,,,
2013-03-01,59.919,697.0,697.0,2442.516,28402.0,28402.0,,,
2013-04-01,42.685,495.0,495.0,2476.508,28797.0,28797.0,,,
2013-05-01,79.826,927.0,927.0,3261.803,37929.0,37929.0,,,
2013-06-01,184.985,2148.0,2148.0,2945.48,34250.0,34250.0,,,
2013-07-01,294.834,3427.0,3427.0,3255.727,37858.0,37858.0,,,
2013-08-01,272.882,3174.0,3174.0,2971.945,34558.0,34558.0,,,
2013-09-01,107.981,1256.0,1256.0,2661.133,30944.0,30944.0,,,
2013-10-01,55.436,645.0,645.0,2572.653,29915.0,29915.0,,,
2013-11-01,58.585,680.0,680.0,2802.106,32583.0,32583.0,,,
2013-12-01,41.483,484.0,484.0,2864.66,33310.0,33310.0,,,
2014-01-01,2395.798,26262.0,26262.0,5182.203,56799.0,56799.0,,,
2014-02-01,263.576,2888.0,2888.0,4113.15,45081.0,45081.0,,,
2014-03-01,353.16,3869.0,3869.0,4153.203,45521.0,45521.0,,,
2014-04-01,39.672,435.0,435.0,5213.887,57146.0,57146.0,,,
2014-05-01,53.145,580.0,580.0,5819.065,63779.0,63779.0,,,
2014-06-01,46.819,510.0,510.0,5378.604,58951.0,58951.0,,,
2014-07-01,307.792,3376.0,3376.0,5551.273,60844.0,60844.0,,,
2014-08-01,170.702,1873.0,1873.0,5350.199,58640.0,58640.0,,,
2014-09-01,61.445,673.0,673.0,4543.703,49800.0,49800.0,,,
2014-10-01,100.566,1102.0,1102.0,4876.832,53452.0,53452.0,,,
2014-11-01,195.329,2140.0,2140.0,4725.45,51793.0,51793.0,,,
2014-12-01,95.156,1044.0,1044.0,5137.271,56306.0,56306.0,,,
2015-01-01,302.992,3546.0,3546.0,5324.011,62476.0,62476.0,,,
2015-02-01,1895.439,22245.0,22245.0,4373.589,51323.0,51323.0,,,
2015-03-01,102.278,1201.0,1201.0,4706.689,55232.0,55232.0,,,
2015-04-01,22.066,260.0,260.0,4891.858,57405.0,57405.0,,,
2015-05-01,137.199,1611.0,1611.0,5180.383,60791.0,60791.0,,,
2015-06-01,128.008,1502.0,1502.0,5177.884,60761.0,60761.0,,,
2015-07-01,430.584,5053.0,5053.0,5171.006,60681.0,60681.0,,,
2015-08-01,211.904,2489.0,2489.0,5840.7,68540.0,68540.0,,,
2015-09-01,40.173,474.0,474.0,3947.571,46324.0,46324.0,,,
2015-10-01,45.796,537.0,537.0,4941.082,57983.0,57983.0,,,
2015-11-01,138.162,1623.0,1623.0,5578.859,65467.0,65467.0,,,
2015-12-01,107.896,1265.0,1265.0,5212.871,61172.0,61172.0,,,
2016-01-01,1199.644,14068.0,14068.0,4340.471,50894.0,50894.0,,,
2016-02-01,403.028,4724.0,4724.0,3819.539,44785.0,44785.0,,,
2016-03-01,200.361,2350.0,2350.0,4325.902,50723.0,50723.0,,,
2016-04-01,97.794,1149.0,1149.0,4951.687,58060.0,58060.0,,,
2016-05-01,177.912,2085.0,2085.0,4903.164,57491.0,57491.0,,,
2016-06-01,307.378,3604.0,3604.0,5312.448,62290.0,62290.0,,,
2016-07-01,459.382,5388.0,5388.0,5086.226,59638.0,59638.0,,,
2016-08-01,407.413,4776.0,4776.0,5458.963,64008.0,64008.0,,,
2016-09-01,231.638,2714.0,2714.0,4514.229,52931.0,52931.0,,,
2016-10-01,81.089,953.0,953.0,4795.609,56230.0,56230.0,,,
2016-11-01,76.371,895.0,895.0,5144.25,60318.0,60318.0,,,
2016-12-01,85.401,999.0,999.0,5409.101,63424.0,63424.0,,,
2017-01-01,458.725,4591.0,4591.0,4709.239,47120.0,47120.0,,,
2017-02-01,602.935,6035.0,6035.0,4513.432,45161.0,45161.0,,,
2017-03-01,293.664,2939.0,2939.0,4860.805,48637.0,48637.0,,,
2017-04-01,109.247,1091.0,1091.0,5230.244,52333.0,52333.0,,,
2017-05-01,334.677,3350.0,3350.0,5033.984,50369.0,50369.0,,,
2017-06-01,290.825,2911.0,2911.0,5069.129,50721.0,50721.0,,,
2017-07-01,203.812,2039.0,2039.0,5325.899,53290.0,53290.0,,,
2017-08-01,243.133,2431.0,2431.0,4694.339,46971.0,46971.0,,,
2017-09-01,209.623,2096.0,2096.0,5026.275,50292.0,50292.0,,,
2017-10-01,856.798,8570.0,8570.0,5244.743,52478.0,52478.0,,,
2017-11-01,420.188,4204.0,4204.0,4739.061,47418.0,47418.0,,,
2017-12-01,692.383,6930.0,6930.0,5236.84,52399.0,52399.0,,,
2018-01-01,1661.208,16649.0,16649.0,4625.835,46348.0,46348.0,,,
2018-02-01,73.975,739.0,739.0,4999.456,50091.0,50091.0,,,
2018-03-01,60.041,601.0,601.0,5601.65,56125.0,56125.0,,,
2018-04-01,165.524,1657.0,1657.0,5333.4,53437.0,53437.0,,,
2018-05-01,205.304,2056.0,2056.0,5389.333,53998.0,53998.0,,,
2018-06-01,175.846,1761.0,1761.0,5706.151,57172.0,57172.0,,,
2018-07-01,178.294,1784.0,1784.0,5424.532,54350.0,54350.0,,,
2018-08-01,181.365,1819.0,1819.0,5668.058,56790.0,56790.0,,,
2018-09-01,252.367,2529.0,2529.0,3874.348,38819.0,38819.0,,,
2018-10-01,412.623,4135.0,4135.0,5426.173,54367.0,54367.0,,,
2018-11-01,436.987,4377.0,4377.0,5340.152,53505.0,53505.0,,,
2018-12-01,393.721,3944.0,3944.0,5725.657,57367.0,57367.0,,,
2019-01-01,513.609,5567.0,5567.0,5037.678,54677.0,54677.0,,,
2019-02-01,101.91,1109.0,1109.0,4580.784,49718.0,49718.0,,,
2019-03-01,175.35,1906.0,1906.0,4761.313,51677.0,51677.0,,,
2019-04-01,102.418,1109.0,1109.0,4498.776,48828.0,48828.0,,,
2019-05-01,143.071,1553.0,1553.0,5166.719,56077.0,56077.0,,,
2019-06-01,251.336,2726.0,2726.0,5118.618,55555.0,55555.0,,,
2019-07-01,344.591,3742.0,3742.0,4814.698,52257.0,52257.0,,,
2019-08-01,355.184,3858.0,3858.0,4677.332,50766.0,50766.0,,,
2019-09-01,288.148,3130.0,3130.0,4798.853,52085.0,52085.0,,,
2019-10-01,183.905,1998.0,1998.0,4933.174,53542.0,53542.0,,,
2019-11-01,155.409,1686.0,1686.0,4236.348,45979.0,45979.0,,,
2019-12-01,155.632,1686.0,1686.0,5197.144,56408.0,56408.0,,,
2020-01-01,95.319,1109.0,1109.0,4919.027,57311.0,57311.0,,,
2020-02-01,52.95,618.0,618.0,4414.883,51438.0,51438.0,,,
2020-03-01,105.875,1236.0,1236.0,4876.074,56812.0,56812.0,,,
2020-04-01,58.729,681.0,681.0,4662.797,54326.0,54326.0,,,
2020-05-01,148.362,1727.0,1727.0,4879.092,56847.0,56847.0,,,
2020-06-01,129.958,1513.0,1513.0,4345.86,50634.0,50634.0,,,
2020-07-01,228.808,2668.0,2668.0,4818.043,56135.0,56135.0,,,
2020-08-01,220.853,2576.0,2576.0,4930.353,57444.0,57444.0,,,
2020-09-01,272.115,3170.0,3170.0,4749.569,55337.0,55337.0,,,
2020-10-01,90.322,1051.0,1051.0,4559.315,53121.0,53121.0,,,
2020-11-01,188.016,2189.0,2189.0,4792.666,55840.0,55840.0,,,
2020-12-01,305.597,3563.0,3563.0,4952.417,57701.0,57701.0,,,
2021-01-01,85.682,1016.0,1016.0,4456.723,52898.0,52898.0,,,
2021-02-01,477.63,5671.0,5671.0,4561.156,54138.0,54138.0,,,
2021-03-01,257.99,3061.0,3061.0,4816.327,57167.0,57167.0,,,
2021-04-01,126.84,1507.0,1507.0,5238.94,62183.0,62183.0,,,
2021-05-01,104.644,1242.0,1242.0,4926.13,58470.0,58470.0,,,
2021-06-01,152.883,1813.0,1813.0,5075.498,60243.0,60243.0,,,
2021-07-01,178.643,2119.0,2119.0,5391.911,63999.0,63999.0,,,
2021-08-01,170.792,2027.0,2027.0,5118.032,60748.0,60748.0,,,
2021-09-01,133.144,1582.0,1582.0,3112.556,36944.0,36944.0,,,
2021-10-01,113.216,1346.0,1346.0,4854.814,57624.0,57624.0,,,
2021-11-01,160.769,1906.0,1906.0,4928.738,58502.0,58502.0,,,
2021-12-01,134.285,1594.0,1594.0,5106.657,60613.0,60613.0,,,
2022-01-01,502.942,5527.0,5527.0,4140.544,45472.0,45472.0,,,
2022-02-01,151.629,1663.0,1663.0,4743.541,52094.0,52094.0,,,
2022-03-01,81.005,889.0,889.0,5126.641,56302.0,56302.0,,,
2022-04-01,83.703,918.0,918.0,5162.512,56696.0,56696.0,,,
2022-05-01,110.047,1207.0,1207.0,5150.426,56563.0,56563.0,,,
2022-06-01,110.778,1219.0,1219.0,4793.989,52648.0,52648.0,,,
2022-07-01,337.083,3702.0,3702.0,5019.299,55123.0,55123.0,,,
2022-08-01,277.45,3049.0,3049.0,5054.933,55514.0,55514.0,,,
2022-09-01,29.936,329.0,329.0,4662.458,51204.0,51204.0,,,
2022-10-01,50.728,554.0,554.0,5101.675,56027.0,56027.0,,,
2022-11-01,82.039,901.0,901.0,5185.961,56953.0,56953.0,,,
2022-12-01,729.368,8010.0,8010.0,4838.313,53135.0,53135.0,,,
2023-01-01,301.598,3280.0,3280.0,4177.474,45418.0,45418.0,,,
2023-02-01,193.914,2108.0,2108.0,3889.976,42293.0,42293.0,,,
2023-03-01,256.381,2789.0,2789.0,4284.884,46586.0,46586.0,,,
2023-04-01,189.206,2056.0,2056.0,4744.052,51579.0,51579.0,,,
2023-05-01,214.695,2333.0,2333.0,4669.628,50769.0,50769.0,,,
2023-06-01,197.818,2148.0,2148.0,4466.461,48561.0,48561.0,,,
2023-07-01,181.737,1975.0,1975.0,4392.858,47760.0,47760.0,,,
2023-08-01,207.805,2258.0,2258.0,4343.722,47226.0,47226.0,,,
2023-09-01,171.367,1865.0,1865.0,3620.374,39362.0,39362.0,,,
2023-10-01,171.956,1871.0,1871.0,4061.567,44158.0,44158.0,,,
2023-11-01,264.651,2876.0,2876.0,4217.355,45852.0,45852.0,,,
2023-12-01,226.634,2466.0,2466.0,4318.887,46956.0,46956.0,,,
2024-01-01,676.546,6959.0,6959.0,5287.546,54490.0,54490.0,,,
2024-02-01,13.876,144.0,144.0,5106.334,52622.0,52622.0,,,
2024-03-01,39.628,410.0,410.0,4948.757,50998.0,50998.0,,,
2024-04-01,118.856,1224.0,1224.0,5197.681,53563.0,53563.0,,,
2024-05-01,50.44,520.0,520.0,5315.229,54775.0,54775.0,,,
2024-06-01,170.106,1756.0,1756.0,4864.266,50127.0,50127.0,,,
2024-07-01,682.289,7034.0,7034.0,4241.945,43714.0,43714.0,,,
2024-08-01,443.123,4568.0,4568.0,4798.11,49446.0,49446.0,,,
2024-09-01,162.977,1681.0,1681.0,4346.587,44793.0,44793.0,,,
2024-10-01,161.793,1669.0,1669.0,4634.162,47756.0,47756.0,,,
2024-11-01,36.469,375.0,375.0,3696.06,38089.0,38089.0,,,
2024-12-01,92.881,959.0,959.0,4823.339,49705.0,49705.0,,,
