measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-12-01,71405.0,820941.0,820941.0,256.0,3103.0,3103.0,0.0,0.0,0.0
2007-01-01,93394.771,1064090.0,1064090.0,571.229,6508.0,6508.0,0.0,0.0,0.0
2007-02-01,133405.731,1504706.0,1504706.0,278.27,3139.0,3139.0,0.0,0.0,0.0
2007-03-01,143674.747,1610642.0,1610642.0,397.25300000000004,4453.0,4453.0,0.0,0.0,0.0
2007-04-01,126246.971,1448095.0,1448095.0,619.03,7100.0,7100.0,0.0,0.0,0.0
2007-05-01,126018.166,1449303.0,1449303.0,442.834,5093.0,5093.0,0.0,0.0,0.0
2007-06-01,112055.084,1297632.0,1297632.0,422.916,4897.0,4897.0,0.0,0.0,0.0
2007-07-01,81885.852,944719.0,944719.0,565.148,6520.0,6520.0,0.0,0.0,0.0
2007-08-01,131531.88,1508333.0,1508333.0,444.12,5093.0,5093.0,0.0,0.0,0.0
2007-09-01,93273.144,1095498.0,1095498.0,341.856,4015.0,4015.0,0.0,0.0,0.0
2007-10-01,90446.816,1094567.0,1094567.0,313.184,3790.0,3790.0,0.0,0.0,0.0
2007-11-01,86227.269,1007719.0,1007719.0,657.731,7687.0,7687.0,0.0,0.0,0.0
2007-12-01,129215.228,1461472.0,1461472.0,316.772,3583.0,3583.0,0.0,0.0,0.0
2008-01-01,118314.614,1344615.0,1344615.0,281.386,3198.0,3198.0,0.0,0.0,0.0
2008-02-01,132440.705,1495179.0,1495179.0,305.295,3447.0,3447.0,0.0,0.0,0.0
2008-03-01,138568.915,1579580.0,1579580.0,375.08500000000004,4276.0,4276.0,0.0,0.0,0.0
2008-04-01,116932.164,1337019.0,1337019.0,399.836,4572.0,4572.0,0.0,0.0,0.0
2008-05-01,57630.778,673543.0,673543.0,432.22200000000004,5051.0,5051.0,0.0,0.0,0.0
2008-06-01,77190.992,928910.0,928910.0,436.00800000000004,5247.0,5247.0,0.0,0.0,0.0
2008-07-01,104242.57,1219152.0,1219152.0,472.43,5525.0,5525.0,0.0,0.0,0.0
2008-08-01,25141.597999999998,313857.0,313857.0,344.40200000000004,4299.0,4299.0,0.0,0.0,0.0
2008-09-01,10966.226,141028.0,141028.0,369.774,4755.0,4755.0,0.0,0.0,0.0
2008-10-01,13153.233,165658.0,165658.0,358.767,4518.0,4518.0,0.0,0.0,0.0
2008-11-01,-389.66700000000003,0.0,0.0,-389.66700000000003,0.0,0.0,-389.66700000000003,0.0,0.0
2008-12-01,33780.616,444309.0,444309.0,426.384,5608.0,5608.0,0.0,0.0,0.0
2009-01-01,73477.307,883600.0,883600.0,313.69300000000004,3772.0,3772.0,0.0,0.0,0.0
2009-02-01,24100.976000000002,306553.0,306553.0,47.024,598.0,598.0,0.0,0.0,0.0
2009-03-01,27015.458,334327.0,334327.0,344.54200000000003,4264.0,4264.0,0.0,0.0,0.0
2009-04-01,11952.452,166966.0,166966.0,328.548,4590.0,4590.0,0.0,0.0,0.0
2009-05-01,-338.0,0.0,0.0,-338.0,0.0,0.0,-338.0,0.0,0.0
2009-06-01,41406.103,514349.0,514349.0,411.897,5117.0,5117.0,0.0,0.0,0.0
2009-07-01,1835.885,34969.0,34969.0,63.115,1202.0,1202.0,0.0,0.0,0.0
2009-08-01,28656.953999999998,350074.0,350074.0,285.046,3482.0,3482.0,0.0,0.0,0.0
2009-09-01,17079.402000000002,215101.0,215101.0,211.598,2665.0,2665.0,0.0,0.0,0.0
2009-10-01,6142.651,86319.0,86319.0,97.349,1368.0,1368.0,0.0,0.0,0.0
2009-11-01,-350.666,0.0,0.0,-350.66700000000003,0.0,0.0,-350.66700000000003,0.0,0.0
2009-12-01,66853.133,826534.0,826534.0,538.8670000000001,6662.0,6662.0,0.0,0.0,0.0
2010-01-01,106110.849,1262247.0,1262247.0,195.151,2321.0,2321.0,0.0,0.0,0.0
2010-02-01,69300.097,815452.0,815452.0,138.90300000000002,1634.0,1634.0,0.0,0.0,0.0
2010-03-01,15109.307,210664.0,210664.0,255.693,3565.0,3565.0,0.0,0.0,0.0
2010-04-01,14332.491,184941.0,184941.0,290.509,3749.0,3749.0,0.0,0.0,0.0
2010-05-01,14201.819,194304.0,194304.0,105.18100000000001,1439.0,1439.0,0.0,0.0,0.0
2010-06-01,13365.59,189437.0,189437.0,178.41,2529.0,2529.0,0.0,0.0,0.0
2010-07-01,90863.14,1136073.0,1136073.0,388.86,4862.0,4862.0,0.0,0.0,0.0
2010-08-01,78002.797,981853.0,981853.0,363.20300000000003,4572.0,4572.0,0.0,0.0,0.0
2010-09-01,19315.606,268915.0,268915.0,459.394,6396.0,6396.0,0.0,0.0,0.0
2010-10-01,12225.7,172137.0,172137.0,112.3,1581.0,1581.0,0.0,0.0,0.0
2010-11-01,40566.873,498413.0,498413.0,425.127,5223.0,5223.0,0.0,0.0,0.0
2010-12-01,105478.315,1199427.0,1199427.0,242.685,2760.0,2760.0,0.0,0.0,0.0
2011-01-01,74425.751,835766.0,835766.0,161.372,1812.0,1812.0,5.877,66.0,66.0
2011-02-01,43783.921,513425.0,513425.0,240.388,2819.0,2819.0,57.691,677.0,677.0
2011-03-01,49574.051,579240.0,579240.0,381.645,4459.0,4459.0,35.304,413.0,413.0
2011-04-01,1935.954,32873.0,32873.0,1.046,18.0,18.0,0.0,0.0,0.0
2011-05-01,11712.891,164297.0,164297.0,276.109,3873.0,3873.0,0.0,0.0,0.0
2011-06-01,70750.464,829264.0,829264.0,252.119,2955.0,2955.0,39.417,462.0,462.0
2011-07-01,100903.53,1233959.0,1233959.0,282.321,3453.0,3453.0,97.145,1188.0,1188.0
2011-08-01,58297.439,730549.0,730549.0,231.561,2902.0,2902.0,0.0,0.0,0.0
2011-09-01,13280.974,170349.0,170349.0,295.026,3784.0,3784.0,0.0,0.0,0.0
2011-10-01,3937.565,60738.0,60738.0,99.435,1534.0,1534.0,0.0,0.0,0.0
2011-11-01,13215.816,165163.0,165163.0,214.184,2677.0,2677.0,0.0,0.0,0.0
2011-12-01,10007.562,147679.0,147679.0,134.438,1984.0,1984.0,0.0,0.0,0.0
2012-01-01,11073.467,169347.0,169347.0,226.533,3464.0,3464.0,0.0,0.0,0.0
2012-02-01,5269.649,84830.0,84830.0,188.351,3032.0,3032.0,0.0,0.0,0.0
2012-03-01,-1072.21,0.0,0.0,-6.238,0.0,0.0,-0.552,0.0,0.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,-962.902,0.0,0.0,-5.602,0.0,0.0,-0.496,0.0,0.0
2012-06-01,26253.152,332648.0,332648.0,295.848,3749.0,3749.0,0.0,0.0,0.0
2012-07-01,74074.187,946580.0,946580.0,407.813,5211.0,5211.0,0.0,0.0,0.0
2012-08-01,53552.899,672719.0,672719.0,155.101,1948.0,1948.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
