measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Other Biomass Liquids Generation,Other Biomass Liquids Quantity Consumed For Electricity,Other Biomass Liquids Total Fuel Consumed
2008-07-01,66.266,667.0,667.0,0.0,0.0,0.0
2008-08-01,44.480000000000004,447.0,447.0,0.0,0.0,0.0
2008-09-01,37.142,371.0,371.0,0.0,0.0,0.0
2008-10-01,35.064,354.0,354.0,0.0,0.0,0.0
2008-11-01,26.055,261.0,261.0,0.0,0.0,0.0
2008-12-01,145.37,1462.0,1462.0,0.0,0.0,0.0
2009-01-01,55.584,551.0,551.0,0.605,6.0,6.0
2009-02-01,60.993,597.0,597.0,0.501,6.0,6.0
2009-03-01,68.313,667.0,667.0,0.515,6.0,6.0
2009-04-01,69.141,673.0,673.0,0.5940000000000001,6.0,6.0
2009-05-01,42.86,418.0,418.0,0.61,6.0,6.0
2009-06-01,47.167,458.0,458.0,0.625,6.0,6.0
2009-07-01,84.546,824.0,824.0,0.599,6.0,6.0
2009-08-01,51.751000000000005,505.0,505.0,0.928,11.0,11.0
2009-09-01,47.663000000000004,464.0,464.0,0.725,6.0,6.0
2009-10-01,40.726,394.0,394.0,0.8180000000000001,6.0,6.0
2009-11-01,34.178000000000004,331.0,331.0,0.9690000000000001,11.0,11.0
2009-12-01,56.039,545.0,545.0,0.55,6.0,6.0
2010-01-01,9.109,93.0,93.0,0.0,0.0,0.0
2010-02-01,3.701,41.0,41.0,0.0,0.0,0.0
2010-03-01,4.79,52.0,52.0,0.0,0.0,0.0
2010-04-01,4.146,41.0,41.0,0.0,0.0,0.0
2010-05-01,9.077,93.0,93.0,0.0,0.0,0.0
2010-06-01,7.886,81.0,81.0,0.0,0.0,0.0
2010-07-01,6.8,70.0,70.0,0.0,0.0,0.0
2010-08-01,8.224,87.0,87.0,0.0,0.0,0.0
2010-09-01,8.313,87.0,87.0,0.0,0.0,0.0
2010-10-01,8.1,81.0,81.0,0.0,0.0,0.0
2010-11-01,3.2430000000000003,35.0,35.0,0.0,0.0,0.0
2010-12-01,14.611,151.0,151.0,0.0,0.0,0.0
2011-01-01,15.322,139.0,139.0,0.0,0.0,0.0
2011-02-01,4.811,46.0,46.0,0.0,0.0,0.0
2011-03-01,9.103,87.0,87.0,0.0,0.0,0.0
2011-04-01,11.188,104.0,104.0,0.0,0.0,0.0
2011-05-01,20.218,186.0,186.0,0.0,0.0,0.0
2011-06-01,5.991,58.0,58.0,0.0,0.0,0.0
2011-07-01,17.802,168.0,168.0,0.0,0.0,0.0
2011-08-01,8.926,81.0,81.0,0.0,0.0,0.0
2011-09-01,5.079,46.0,46.0,0.0,0.0,0.0
2011-10-01,6.063,58.0,58.0,0.0,0.0,0.0
2011-11-01,3.231,29.0,29.0,0.0,0.0,0.0
2011-12-01,13.266,122.0,122.0,0.0,0.0,0.0
2012-01-01,14.657,157.0,157.0,0.0,0.0,0.0
2012-02-01,12.518,128.0,128.0,0.0,0.0,0.0
2012-03-01,10.298,104.0,104.0,0.0,0.0,0.0
2012-04-01,8.793,93.0,93.0,0.0,0.0,0.0
2012-05-01,10.18,104.0,104.0,0.0,0.0,0.0
2012-06-01,11.091,116.0,116.0,0.0,0.0,0.0
2012-07-01,6.249,64.0,64.0,0.0,0.0,0.0
2012-08-01,9.82,99.0,99.0,0.0,0.0,0.0
2012-09-01,9.449,99.0,99.0,0.0,0.0,0.0
2012-10-01,12.618,128.0,128.0,0.0,0.0,0.0
2012-11-01,5.886,58.0,58.0,0.0,0.0,0.0
2012-12-01,8.441,87.0,87.0,0.0,0.0,0.0
2013-01-01,8.748,99.0,99.0,0.0,0.0,0.0
2013-02-01,11.906,128.0,128.0,0.0,0.0,0.0
2013-03-01,11.541,122.0,122.0,0.0,0.0,0.0
2013-04-01,5.525,58.0,58.0,0.0,0.0,0.0
2013-05-01,6.702,70.0,70.0,0.0,0.0,0.0
2013-06-01,10.061,104.0,104.0,0.0,0.0,0.0
2013-07-01,6.797,70.0,70.0,0.0,0.0,0.0
2013-08-01,12.883,133.0,133.0,0.0,0.0,0.0
2013-09-01,8.164,87.0,87.0,0.0,0.0,0.0
2013-10-01,4.387,46.0,46.0,0.0,0.0,0.0
2013-11-01,4.663,46.0,46.0,0.0,0.0,0.0
2013-12-01,19.623,209.0,209.0,0.0,0.0,0.0
2014-01-01,276.359,2761.0,2761.0,0.0,0.0,0.0
2014-02-01,104.787,1044.0,1044.0,0.0,0.0,0.0
2014-03-01,19.632,197.0,197.0,0.0,0.0,0.0
2014-04-01,27.751,278.0,278.0,0.0,0.0,0.0
2014-05-01,28.787,290.0,290.0,0.0,0.0,0.0
2014-06-01,48.097,481.0,481.0,0.0,0.0,0.0
2014-07-01,27.581,273.0,273.0,0.0,0.0,0.0
2014-08-01,11.696,116.0,116.0,0.0,0.0,0.0
2014-09-01,87.35,870.0,870.0,0.0,0.0,0.0
2014-10-01,35.86,360.0,360.0,0.0,0.0,0.0
2014-11-01,23.006,232.0,232.0,0.0,0.0,0.0
2014-12-01,53.094,528.0,528.0,0.0,0.0,0.0
2015-01-01,12.622,145.0,145.0,0.0,0.0,0.0
2015-02-01,24.516,261.0,261.0,0.0,0.0,0.0
2015-03-01,8.047,87.0,87.0,0.0,0.0,0.0
2015-04-01,10.92,116.0,116.0,0.0,0.0,0.0
2015-05-01,13.187,139.0,139.0,0.0,0.0,0.0
2015-06-01,18.984,203.0,203.0,0.0,0.0,0.0
2015-07-01,16.506,174.0,174.0,0.0,0.0,0.0
2015-08-01,11.471,122.0,122.0,0.0,0.0,0.0
2015-09-01,14.468,157.0,157.0,0.0,0.0,0.0
2015-10-01,8.199,87.0,87.0,0.0,0.0,0.0
2015-11-01,7.706,81.0,81.0,0.0,0.0,0.0
2015-12-01,17.374,186.0,186.0,0.0,0.0,0.0
2016-01-01,16.743,157.0,157.0,0.0,0.0,0.0
2016-02-01,8.004,75.0,75.0,0.0,0.0,0.0
2016-03-01,6.543,64.0,64.0,0.0,0.0,0.0
2016-04-01,9.093,87.0,87.0,0.0,0.0,0.0
2016-05-01,14.738,139.0,139.0,0.0,0.0,0.0
2016-06-01,14.725,139.0,139.0,0.0,0.0,0.0
2016-07-01,18.091,174.0,174.0,0.0,0.0,0.0
2016-08-01,13.949,133.0,133.0,0.0,0.0,0.0
2016-09-01,11.868,116.0,116.0,0.0,0.0,0.0
2016-10-01,6.851,64.0,64.0,0.0,0.0,0.0
2016-11-01,15.912,151.0,151.0,0.0,0.0,0.0
2016-12-01,6.483,64.0,64.0,0.0,0.0,0.0
2017-01-01,19.227,203.0,203.0,0.0,0.0,0.0
2017-02-01,12.142,128.0,128.0,0.0,0.0,0.0
2017-03-01,21.758,226.0,226.0,0.0,0.0,0.0
2017-04-01,14.328,151.0,151.0,0.0,0.0,0.0
2017-05-01,19.809,209.0,209.0,0.0,0.0,0.0
2017-06-01,27.049,284.0,284.0,0.0,0.0,0.0
2017-07-01,26.016,273.0,273.0,0.0,0.0,0.0
2017-08-01,37.926,394.0,394.0,0.0,0.0,0.0
2017-09-01,17.539,186.0,186.0,0.0,0.0,0.0
2017-10-01,18.832,197.0,197.0,0.0,0.0,0.0
2017-11-01,23.913,249.0,249.0,0.0,0.0,0.0
2017-12-01,29.461,307.0,307.0,0.0,0.0,0.0
2018-01-01,96.966,1079.0,1079.0,0.0,0.0,0.0
2018-02-01,59.221,655.0,655.0,0.0,0.0,0.0
2018-03-01,83.797,928.0,928.0,0.0,0.0,0.0
2018-04-01,56.211,626.0,626.0,0.0,0.0,0.0
2018-05-01,78.614,870.0,870.0,0.0,0.0,0.0
2018-06-01,69.993,777.0,777.0,0.0,0.0,0.0
2018-07-01,64.263,713.0,713.0,0.0,0.0,0.0
2018-08-01,87.378,969.0,969.0,0.0,0.0,0.0
2018-09-01,112.91,1253.0,1253.0,0.0,0.0,0.0
2018-10-01,105.973,1177.0,1177.0,0.0,0.0,0.0
2018-11-01,80.313,893.0,893.0,0.0,0.0,0.0
2018-12-01,90.361,1003.0,1003.0,0.0,0.0,0.0
2019-01-01,18.991,197.0,197.0,0.0,0.0,0.0
2019-02-01,9.375,93.0,93.0,0.0,0.0,0.0
2019-03-01,13.179,133.0,133.0,0.0,0.0,0.0
2019-04-01,7.186,70.0,70.0,0.0,0.0,0.0
2019-05-01,9.348,93.0,93.0,0.0,0.0,0.0
2019-06-01,17.614,174.0,174.0,0.0,0.0,0.0
2019-07-01,10.81,110.0,110.0,0.0,0.0,0.0
2019-08-01,7.54,75.0,75.0,0.0,0.0,0.0
2019-09-01,7.39,75.0,75.0,0.0,0.0,0.0
2019-10-01,8.665,87.0,87.0,0.0,0.0,0.0
2019-11-01,6.027,58.0,58.0,0.0,0.0,0.0
2019-12-01,8.875,87.0,87.0,0.0,0.0,0.0
2020-01-01,12.143,116.0,116.0,0.0,0.0,0.0
2020-02-01,9.783,104.0,104.0,0.0,0.0,0.0
2020-03-01,9.599,104.0,104.0,0.0,0.0,0.0
2020-04-01,5.305,58.0,58.0,0.0,0.0,0.0
2020-05-01,12.696,133.0,133.0,0.0,0.0,0.0
2020-06-01,9.686,104.0,104.0,0.0,0.0,0.0
2020-07-01,8.5,93.0,93.0,0.0,0.0,0.0
2020-08-01,12.11,128.0,128.0,0.0,0.0,0.0
2020-09-01,6.355,70.0,70.0,0.0,0.0,0.0
2020-10-01,6.002,64.0,64.0,0.0,0.0,0.0
2020-11-01,8.287,87.0,87.0,0.0,0.0,0.0
2020-12-01,13.534,145.0,145.0,0.0,0.0,0.0
2021-01-01,5.89,70.0,70.0,0.0,0.0,0.0
2021-02-01,4.437,58.0,58.0,0.0,0.0,0.0
2021-03-01,7.674,99.0,99.0,0.0,0.0,0.0
2021-04-01,3.952,52.0,52.0,0.0,0.0,0.0
2021-05-01,8.676,110.0,110.0,0.0,0.0,0.0
2021-06-01,5.418,70.0,70.0,0.0,0.0,0.0
2021-07-01,1.408,17.0,17.0,0.0,0.0,0.0
2021-08-01,6.732,87.0,87.0,0.0,0.0,0.0
2021-09-01,5.255,70.0,70.0,0.0,0.0,0.0
2021-10-01,3.362,41.0,41.0,0.0,0.0,0.0
2021-11-01,5.126,64.0,64.0,0.0,0.0,0.0
2021-12-01,8.07,104.0,104.0,0.0,0.0,0.0
2022-01-01,106.412,1056.0,1056.0,0.0,0.0,0.0
2022-02-01,48.726,481.0,481.0,0.0,0.0,0.0
2022-03-01,55.438,551.0,551.0,0.0,0.0,0.0
2022-04-01,39.031,389.0,389.0,0.0,0.0,0.0
2022-05-01,45.808,452.0,452.0,0.0,0.0,0.0
2022-06-01,64.533,638.0,638.0,0.0,0.0,0.0
2022-07-01,42.245,418.0,418.0,0.0,0.0,0.0
2022-08-01,49.464,493.0,493.0,0.0,0.0,0.0
2022-09-01,45.072,447.0,447.0,0.0,0.0,0.0
2022-10-01,12.428,122.0,122.0,0.0,0.0,0.0
2022-11-01,40.509,400.0,400.0,0.0,0.0,0.0
2022-12-01,188.334,1868.0,1868.0,0.0,0.0,0.0
2023-01-01,14.766,157.0,157.0,0.0,0.0,0.0
2023-02-01,10.873,110.0,110.0,0.0,0.0,0.0
2023-03-01,12.07,128.0,128.0,0.0,0.0,0.0
2023-04-01,13.024,133.0,133.0,0.0,0.0,0.0
2023-05-01,12.889,133.0,133.0,0.0,0.0,0.0
2023-06-01,9.042,93.0,93.0,0.0,0.0,0.0
2023-07-01,10.696,110.0,110.0,0.0,0.0,0.0
2023-08-01,19.953,209.0,209.0,0.0,0.0,0.0
2023-09-01,5.306,52.0,52.0,0.0,0.0,0.0
2023-10-01,7.343,75.0,75.0,0.0,0.0,0.0
2023-11-01,11.165,116.0,116.0,0.0,0.0,0.0
2023-12-01,15.873,162.0,162.0,0.0,0.0,0.0
2024-01-01,6.776,435.0,435.0,0.0,0.0,0.0
2024-02-01,3.296,209.0,209.0,0.0,0.0,0.0
2024-03-01,3.875,244.0,244.0,0.0,0.0,0.0
2024-04-01,5.524,348.0,348.0,0.0,0.0,0.0
2024-05-01,10.727,679.0,679.0,0.0,0.0,0.0
2024-06-01,1.469,93.0,93.0,0.0,0.0,0.0
2024-07-01,6.029,383.0,383.0,0.0,0.0,0.0
2024-08-01,11.852,754.0,754.0,0.0,0.0,0.0
2024-09-01,10.53,667.0,667.0,0.0,0.0,0.0
2024-10-01,5.288,336.0,336.0,0.0,0.0,0.0
2024-11-01,10.712,679.0,679.0,0.0,0.0,0.0
2024-12-01,18.922,1201.0,1201.0,0.0,0.0,0.0
