measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-02-01,,,,,,,3421.04613,22583.33,78152.56,1575.84,19115.73,24188.37,19.52675,119.32,334.94,,,,,,,9185.67387,60637.34,209843.39,7922.83325,48413.58,135900.55
2006-03-01,,,,,,,3118.243,20584.44,66134.35,964.32,5837.42,5837.42,1.54195,9.42,25.25,,,,,,,11111.357,73349.34,235659.1,8127.05805,49661.53,133060.94
2006-04-01,,,,,,,3052.71824,20151.89,56872.81,1223.04,12762.5,12762.5,0.0,0.0,0.0,,,,,,,9648.08176,63689.83,179745.88,9289.69,56765.95,161334.07
2006-05-01,,,,,,,1263.37512,8339.91,22505.97,3128.16,33104.55,33104.55,0.0,0.0,0.0,,,,,,,13295.50488,87767.55,236848.32,7731.87,47246.68,109691.7
2006-06-01,,,,,,,86.41117,570.43,1688.62,2833.18,34367.9,58833.72,12.1006,73.94,154.79,,,,,,,14811.54883,97775.4,289442.11,7657.6894,46793.39,97956.82
2006-07-01,,,,,,,0.0,0.0,0.0,5103.84,49461.95,49461.95,0.0,0.0,0.0,,,,,,,13618.08,89896.96,287465.63,7943.33,48538.83,92880.0
2006-08-01,,,,,,,59.320100000000004,391.59,1198.3,3010.56,32906.77,32906.77,0.0,0.0,0.0,,,,,,,14264.3599,94163.25,288148.71,7589.28,46375.36,92520.98
2006-09-01,,,,,,,0.0,0.0,0.0,1128.96,12564.72,12564.72,0.0,0.0,0.0,,,,,,,13665.12,90207.49,240736.96,7547.57,46120.49,94986.06
2006-10-01,,,,,,,0.0,0.0,0.0,1223.04,12762.5,12762.5,0.0,0.0,0.0,,,,,,,15923.04,105112.68,272443.74,8487.5,51864.06,93082.57
2006-11-01,,,,,,,68.82493,454.33,1198.3,1740.48,18748.19,18748.19,0.0,0.0,0.0,,,,,,,15548.45507,102639.94,270712.15,8170.31,49925.83,95707.15
2006-12-01,,,,,,,915.87193,6045.94,16584.27,635.04,6381.25,6381.25,0.0,0.0,0.0,,,,,,,16653.56807,109935.11,301556.59,8686.35,53079.16,105948.77
2007-01-01,,,,,,,516.745,3409.0,10226.0,2869.44,30260.0,30260.0,0.0,0.0,0.0,,,,,,,17123.255,113036.0,338866.0,4822.84,29471.0,85129.0
2007-02-01,,,,,,,0.0,0.0,0.0,893.76,10843.0,14554.0,0.0,0.0,0.0,,,,,,,16534.56,109150.0,337018.0,4219.5,25784.0,91633.0
2007-03-01,,,,,,,499.302,3298.0,10174.0,1716.96,20144.0,20144.0,0.0,0.0,0.0,,,,,,,16552.698,109269.0,337283.0,4757.85,29074.0,55745.0
2007-04-01,,,,,,,578.772,3822.0,10046.0,470.4,2990.0,2990.0,0.0,0.0,0.0,,,,,,,16567.308,109365.0,287565.0,5236.06,31996.0,54498.0
2007-05-01,,,,,,,4.699,29.0,87.0,1787.52,19946.0,19946.0,0.0,0.0,0.0,,,,,,,14460.101,95456.0,268486.0,8014.14,48972.0,99108.0
2007-06-01,,,,,,,2.8,17.0,47.0,493.92,5584.0,5584.0,0.0,0.0,0.0,,,,,,,14038.64,92673.0,233332.0,7997.65,48871.0,84599.0
2007-07-01,,,,,,,0.338,0.0,6.0,94.08,973.0,973.0,0.0,0.0,0.0,,,,,,,15993.262,105576.0,269399.0,7581.52,46328.0,60782.0
2007-08-01,,,,,,,99.70400000000001,661.0,1710.0,188.16,1988.0,1988.0,0.0,0.0,0.0,,,,,,,15940.936000000002,105230.0,273370.0,7693.07,47010.0,77277.0
2007-09-01,,,,,,,0.0,0.0,0.0,94.08,1142.0,1391.0,0.0,0.0,0.0,,,,,,,15734.88,103871.0,268745.0,6806.49,41592.0,66269.0
2007-10-01,,,,,,,0.0,0.0,0.0,188.16,1206.0,1206.0,0.0,0.0,0.0,,,,,,,11760.0,77631.0,231414.0,6825.89,41710.0,81817.0
2007-11-01,,,,,,,0.20700000000000002,0.0,6.0,117.6,991.0,991.0,0.0,0.0,0.0,,,,,,,7996.593000000001,52788.0,223448.0,6439.83,39352.0,93315.0
2007-12-01,,,,,,,0.475,6.0,12.0,211.68,2185.0,2185.0,0.0,0.0,0.0,,,,,,,14440.805,95328.0,352256.0,7729.93,47235.0,95763.0
2008-01-01,,,,,,,16.731,110.0,191.0,0.0,0.0,0.0,422.632,2583.0,7349.0,,,,,,,15271.269,100810.0,174576.0,14624.008,89362.0,254303.0
2008-02-01,,,,,,,1.018,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,12158.822,80264.0,138445.0,7387.52,45142.0,255138.0
2008-03-01,,,,,,,12.593,83.0,145.0,70.56,400.0,400.0,0.0,0.0,0.0,,,,,,,13135.087,86709.0,151141.0,5617.27,34325.0,209006.0
2008-04-01,,,,,,,3.092,20.0,35.0,117.60000000000001,991.0,991.0,0.0,0.0,0.0,,,,,,,11404.108,75282.0,128281.0,7917.14,48379.0,194570.0
2008-05-01,,,,,,,0.0,0.0,0.0,211.68,2382.0,2382.0,89.21300000000001,545.0,1988.0,,,,,,,13500.48,89121.0,148478.0,7533.0470000000005,46032.0,167867.0
2008-06-01,,,,,,,0.0,0.0,0.0,376.32,3976.0,3976.0,0.0,0.0,0.0,,,,,,,14441.28,95331.0,162133.0,7096.52,43364.0,142419.0
2008-07-01,,,,,,,,,,0.0,0.0,400.0,0.0,0.0,0.0,,,,,,,14323.68,94555.0,163908.0,7316.71,44710.0,131899.0
2008-08-01,,,,,,,,,,18.62,226.0,400.0,0.0,0.0,0.0,,,,,,,14935.2,98592.0,170035.0,6568.84,40140.0,133633.0
2008-09-01,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,14982.24,98902.0,169403.0,5770.53,35262.0,121863.0
2008-10-01,,,,,,,,,,402.78000000000003,2382.0,2382.0,38.231,234.0,991.0,,,,,,,11195.52,73905.0,125179.0,7671.329000000001,46877.0,198874.0
2008-11-01,,,,,,,2.02,13.0,226.0,1578.78,9337.0,9337.0,25.568,156.0,794.0,,,,,,,1260.22,8319.0,141021.0,7065.1320000000005,43172.0,219416.0
2008-12-01,,,,,,,76.93,508.0,846.0,637.98,3831.0,3831.0,0.0,0.0,0.0,,,,,,,16198.91,106934.0,178185.0,7321.56,44739.0,229463.0
2009-01-01,,,,,,,349.834,2309.0,3820.0,503.72,2979.0,2979.0,824.4770000000001,5038.0,32788.0,,,,,,,15831.926,104511.0,172856.0,6635.793000000001,40549.0,263894.0
2009-02-01,,,,,,,9.487,63.0,104.0,1343.58,7946.0,7946.0,0.0,0.0,0.0,,,,,,,13232.273000000001,87350.0,145518.0,6440.8,39357.0,233564.0
