measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
2005-05-01,,,,576.995,5613.84,5613.84
2005-06-01,,,,504.66400000000004,4910.11,4910.11
2005-07-01,,,,1472.3290000000002,14324.95,14324.95
2005-08-01,,,,1782.0980000000002,17338.83,17338.83
2005-09-01,,,,1471.334,14315.27,14315.27
2005-10-01,,,,620.4010000000001,6036.16,6036.16
2005-11-01,,,,621.754,6049.32,6049.32
2005-12-01,,,,1402.422,13644.8,13644.8
2006-01-01,,,,356.873,4291.0,4291.0
2006-02-01,,,,353.153,4246.0,4246.0
2006-03-01,,,,309.641,3723.0,3723.0
2006-04-01,,,,408.47,4911.0,4911.0
2006-05-01,,,,369.156,4438.0,4438.0
2006-06-01,,,,441.495,5308.0,5308.0
2006-07-01,,,,428.28200000000004,5149.0,5149.0
2006-08-01,,,,460.91900000000004,5542.0,5542.0
2006-09-01,,,,327.44100000000003,3937.0,3937.0
2006-10-01,,,,421.454,5067.0,5067.0
2006-11-01,,,,367.86400000000003,4423.0,4423.0
2006-12-01,,,,409.25,4920.0,4920.0
2007-01-01,725.724,8506.0,8506.0,,,
2007-02-01,2766.174,32426.0,32426.0,,,
2007-03-01,807.503,9468.0,9468.0,,,
2007-04-01,582.364,6825.0,6825.0,,,
2007-05-01,119.98400000000001,1408.0,1408.0,,,
2007-06-01,367.002,4301.0,4301.0,,,
2007-07-01,161.96800000000002,1901.0,1901.0,,,
2007-08-01,769.3960000000001,9017.0,9017.0,,,
2007-09-01,96.839,1135.0,1135.0,,,
2007-10-01,190.114,2228.0,2228.0,,,
2007-11-01,60.529,707.0,707.0,,,
2007-12-01,127.4,1491.0,1491.0,,,
2008-01-01,,,,500.22,6403.0,6403.0
2008-02-01,,,,196.00400000000002,2507.0,2507.0
2008-03-01,,,,28.302,362.0,362.0
2008-04-01,,,,59.115,754.0,754.0
2008-05-01,,,,49.407000000000004,630.0,630.0
2008-06-01,,,,530.649,6789.0,6789.0
2008-07-01,,,,258.961,3315.0,3315.0
2008-08-01,,,,102.75200000000001,1313.0,1313.0
2008-09-01,,,,131.493,1681.0,1681.0
2008-10-01,,,,37.754000000000005,481.0,481.0
2008-11-01,,,,563.5,7205.0,7205.0
2008-12-01,,,,453.843,5803.0,5803.0
2009-01-01,,,,265.11,4740.0,4740.0
2009-02-01,,,,97.31,1746.0,1746.0
2009-03-01,,,,76.896,1378.0,1378.0
2009-04-01,,,,7.126,131.0,131.0
2009-05-01,,,,20.128,362.0,362.0
2009-06-01,,,,13.873000000000001,249.0,249.0
2009-07-01,,,,25.047,451.0,451.0
2009-08-01,,,,49.604,891.0,891.0
2009-09-01,,,,6.36,113.0,113.0
2009-10-01,,,,8.156,149.0,149.0
2009-11-01,,,,10.471,190.0,190.0
2009-12-01,,,,12.919,232.0,232.0
2010-01-01,,,,499.56600000000003,5499.0,5499.0
2010-02-01,,,,266.389,2936.0,2936.0
2010-03-01,,,,62.480000000000004,692.0,692.0
2010-04-01,,,,61.873000000000005,680.0,680.0
2010-05-01,,,,145.713,1610.0,1610.0
2010-06-01,,,,742.995,8196.0,8196.0
2010-07-01,,,,1049.019,11574.0,11574.0
2010-08-01,,,,585.29,6458.0,6458.0
2010-09-01,,,,467.199,5156.0,5156.0
2010-10-01,,,,101.515,1122.0,1122.0
2010-11-01,,,,181.042,2000.0,2000.0
2010-12-01,,,,1147.919,12661.0,12661.0
2011-01-01,,,,255.31,4139.0,4139.0
2011-02-01,,,,34.326,556.0,556.0
2011-03-01,,,,72.989,1185.0,1185.0
2011-04-01,,,,31.069,505.0,505.0
2011-05-01,,,,159.323,2586.0,2586.0
2011-06-01,,,,186.595,3028.0,3028.0
2011-07-01,,,,333.434,5415.0,5415.0
2011-08-01,,,,223.099,3623.0,3623.0
2011-09-01,,,,34.691,561.0,561.0
2011-10-01,,,,70.765,1151.0,1151.0
2011-11-01,,,,58.18,947.0,947.0
2011-12-01,,,,51.219,833.0,833.0
2012-01-01,,,,43.031,1264.0,1264.0
2012-02-01,,,,54.086,1599.0,1599.0
2012-03-01,,,,19.182,567.0,567.0
2012-04-01,,,,23.959,709.0,709.0
2012-05-01,,,,48.212,1423.0,1423.0
2012-06-01,,,,124.841,3686.0,3686.0
2012-07-01,,,,317.022,9361.0,9361.0
2012-08-01,,,,33.965,1004.0,1004.0
2012-09-01,,,,48.968,1446.0,1446.0
2012-10-01,,,,46.405,1372.0,1372.0
2012-11-01,,,,31.168,919.0,919.0
2012-12-01,,,,23.161,686.0,686.0
2013-01-01,,,,111.959,1418.0,1418.0
2013-02-01,,,,22.153,278.0,278.0
2013-03-01,,,,27.389,346.0,346.0
2013-04-01,,,,19.511,249.0,249.0
2013-05-01,,,,36.488,459.0,459.0
2013-06-01,,,,84.557,1072.0,1072.0
2013-07-01,,,,134.769,1707.0,1707.0
2013-08-01,,,,124.735,1576.0,1576.0
2013-09-01,,,,49.358,624.0,624.0
2013-10-01,,,,25.34,323.0,323.0
2013-11-01,,,,26.779,340.0,340.0
2013-12-01,,,,18.962,238.0,238.0
2014-01-01,,,,1570.731,20951.0,20951.0
2014-02-01,,,,172.806,2304.0,2304.0
2014-03-01,,,,231.539,3090.0,3090.0
2014-04-01,,,,26.01,347.0,347.0
2014-05-01,,,,34.843,467.0,467.0
2014-06-01,,,,30.696,410.0,410.0
2014-07-01,,,,201.795,2691.0,2691.0
2014-08-01,,,,111.915,1491.0,1491.0
2014-09-01,,,,40.285,535.0,535.0
2014-10-01,,,,65.933,882.0,882.0
2014-11-01,,,,128.061,1707.0,1707.0
2014-12-01,,,,62.386,831.0,831.0
2015-01-01,,,,390.635,3861.0,3861.0
2015-02-01,,,,2443.722,24177.0,24177.0
2015-03-01,,,,131.863,1304.0,1304.0
2015-04-01,,,,28.449,284.0,284.0
2015-05-01,,,,176.886,1752.0,1752.0
2015-06-01,,,,165.037,1633.0,1633.0
2015-07-01,,,,555.136,5494.0,5494.0
2015-08-01,,,,273.2,2705.0,2705.0
2015-09-01,,,,51.794,510.0,510.0
2015-10-01,,,,59.043,584.0,584.0
2015-11-01,,,,178.128,1763.0,1763.0
2015-12-01,,,,139.107,1378.0,1378.0
2016-01-01,,,,1265.812,12662.0,12662.0
2016-02-01,,,,425.257,4251.0,4251.0
2016-03-01,,,,211.412,2111.0,2111.0
2016-04-01,,,,103.188,1030.0,1030.0
2016-05-01,,,,187.725,1878.0,1878.0
2016-06-01,,,,324.332,3244.0,3244.0
2016-07-01,,,,484.72,4843.0,4843.0
2016-08-01,,,,429.884,4297.0,4297.0
2016-09-01,,,,244.415,2441.0,2441.0
2016-10-01,,,,85.561,854.0,854.0
2016-11-01,,,,80.583,808.0,808.0
2016-12-01,,,,90.111,899.0,899.0
2017-01-01,,,,157.48,1656.0,1656.0
2017-02-01,,,,206.987,2179.0,2179.0
2017-03-01,,,,100.815,1058.0,1058.0
2017-04-01,,,,37.504,393.0,393.0
2017-05-01,,,,114.894,1206.0,1206.0
2017-06-01,,,,99.84,1053.0,1053.0
2017-07-01,,,,69.968,734.0,734.0
2017-08-01,,,,83.467,876.0,876.0
2017-09-01,,,,71.963,757.0,757.0
2017-10-01,,,,294.138,3095.0,3095.0
2017-11-01,,,,144.25,1519.0,1519.0
2017-12-01,,,,237.694,2498.0,2498.0
2018-01-01,,,,1167.166,11280.0,11280.0
2018-02-01,,,,51.975,501.0,501.0
2018-03-01,,,,42.185,410.0,410.0
2018-04-01,,,,116.298,1127.0,1127.0
2018-05-01,,,,144.247,1394.0,1394.0
2018-06-01,,,,123.55,1195.0,1195.0
2018-07-01,,,,125.27,1212.0,1212.0
2018-08-01,,,,127.427,1229.0,1229.0
2018-09-01,,,,177.314,1713.0,1713.0
2018-10-01,,,,289.91,2800.0,2800.0
2018-11-01,,,,307.028,2971.0,2971.0
2018-12-01,,,,276.63,2675.0,2675.0
2019-01-01,,,,479.395,4752.0,4752.0
2019-02-01,,,,95.121,942.0,942.0
2019-03-01,,,,163.669,1624.0,1624.0
2019-04-01,,,,95.595,948.0,948.0
2019-05-01,,,,133.54,1324.0,1324.0
2019-06-01,,,,234.593,2330.0,2330.0
2019-07-01,,,,321.636,3191.0,3191.0
2019-08-01,,,,331.523,3289.0,3289.0
2019-09-01,,,,268.953,2671.0,2671.0
2019-10-01,,,,171.654,1705.0,1705.0
2019-11-01,,,,145.057,1439.0,1439.0
2019-12-01,,,,145.264,1439.0,1439.0
2020-01-01,,,,79.645,811.0,811.0
2020-02-01,,,,44.244,452.0,452.0
2020-03-01,,,,88.466,903.0,903.0
2020-04-01,,,,49.073,498.0,498.0
2020-05-01,,,,123.968,1262.0,1262.0
2020-06-01,,,,108.589,1106.0,1106.0
2020-07-01,,,,191.186,1951.0,1951.0
2020-08-01,,,,184.539,1882.0,1882.0
2020-09-01,,,,227.371,2316.0,2316.0
2020-10-01,,,,75.47,770.0,770.0
2020-11-01,,,,157.101,1604.0,1604.0
2020-12-01,,,,255.348,2600.0,2600.0
2021-01-01,,,,49.819,508.0,508.0
2021-02-01,,,,277.714,2783.0,2783.0
2021-03-01,,,,150.006,1507.0,1507.0
2021-04-01,,,,73.75,739.0,739.0
2021-05-01,,,,60.844,612.0,612.0
2021-06-01,,,,88.892,889.0,889.0
2021-07-01,,,,103.87,1039.0,1039.0
2021-08-01,,,,99.305,993.0,993.0
2021-09-01,,,,77.415,774.0,774.0
2021-10-01,,,,65.828,658.0,658.0
2021-11-01,,,,93.478,935.0,935.0
2021-12-01,,,,78.079,785.0,785.0
2022-01-01,,,,351.724,3559.0,3559.0
2022-02-01,,,,106.039,1073.0,1073.0
2022-03-01,,,,56.649,571.0,571.0
2022-04-01,,,,58.537,594.0,594.0
2022-05-01,,,,76.96,779.0,779.0
2022-06-01,,,,77.471,785.0,785.0
2022-07-01,,,,235.734,2383.0,2383.0
2022-08-01,,,,194.03,1961.0,1961.0
2022-09-01,,,,20.935,213.0,213.0
2022-10-01,,,,35.476,358.0,358.0
2022-11-01,,,,57.373,583.0,583.0
2022-12-01,,,,510.072,5157.0,5157.0
2023-01-01,,,,181.117,1809.0,1809.0
2023-02-01,,,,116.45,1158.0,1158.0
2023-03-01,,,,153.962,1535.0,1535.0
2023-04-01,,,,113.622,1130.0,1130.0
2023-05-01,,,,128.929,1284.0,1284.0
2023-06-01,,,,118.794,1181.0,1181.0
2023-07-01,,,,109.137,1084.0,1084.0
2023-08-01,,,,124.791,1244.0,1244.0
2023-09-01,,,,102.909,1027.0,1027.0
2023-10-01,,,,103.263,1027.0,1027.0
2023-11-01,,,,158.928,1581.0,1581.0
2023-12-01,,,,136.098,1358.0,1358.0
2024-01-01,,,,476.063,4877.0,4877.0
2024-02-01,,,,9.764,103.0,103.0
2024-03-01,,,,27.885,285.0,285.0
2024-04-01,,,,83.635,855.0,855.0
2024-05-01,,,,35.493,365.0,365.0
2024-06-01,,,,119.698,1225.0,1225.0
2024-07-01,,,,480.104,4917.0,4917.0
2024-08-01,,,,311.81,3191.0,3191.0
2024-09-01,,,,114.681,1174.0,1174.0
2024-10-01,,,,113.848,1168.0,1168.0
2024-11-01,,,,25.662,262.0,262.0
2024-12-01,,,,65.357,667.0,667.0
