measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2006-07-01,16.0,184.0,184.0,90.0,1005.0,1005.0,568187.0,5993219.0,5993219.0
2006-08-01,9.0,101.0,101.0,132.0,1494.0,1494.0,574718.0,6132984.0,6132984.0
2006-09-01,13.0,148.0,148.0,87.0,987.0,987.0,508388.0,5425136.0,5425136.0
2006-10-01,169.0,1953.0,1953.0,744.0,8494.0,8494.0,437260.0,4673131.0,4673131.0
2006-11-01,205.0,2327.0,2327.0,254.0,2821.0,2821.0,466887.0,4900162.0,4900162.0
2006-12-01,3.0,30.0,30.0,374.0,4159.0,4159.0,514253.0,5414302.0,5414302.0
2007-01-01,4.4670000000000005,47.0,47.0,23.605,251.0,251.0,538643.928,5727151.0,5727151.0
2007-02-01,5.589,59.0,59.0,201.054,2136.0,2136.0,475176.357,5047731.0,5047731.0
2007-03-01,877.59,9386.0,9386.0,1121.07,11991.0,11991.0,525550.34,5621104.0,5621104.0
2007-04-01,29.572000000000003,321.0,321.0,426.956,4629.0,4629.0,245830.473,2665125.0,2665125.0
2007-05-01,0.0,0.0,0.0,1343.797,14205.0,14205.0,417206.203,4410342.0,4410342.0
2007-06-01,0.0,0.0,0.0,249.53400000000002,2643.0,2643.0,512744.466,5430303.0,5430303.0
2007-07-01,0.0,0.0,0.0,901.863,9625.0,9625.0,521866.137,5569815.0,5569815.0
2007-08-01,0.0,0.0,0.0,561.8910000000001,6021.0,6021.0,485869.109,5206434.0,5206434.0
2007-09-01,0.0,0.0,0.0,703.312,7553.0,7553.0,445415.688,4783367.0,4783367.0
2007-10-01,0.0,0.0,0.0,427.658,4611.0,4611.0,260986.342,2813752.0,2813752.0
2007-11-01,0.0,0.0,0.0,1777.078,18250.0,18250.0,397862.922,4086011.0,4086011.0
2007-12-01,0.0,0.0,0.0,385.281,3959.0,3959.0,484233.719,4975372.0,4975372.0
2008-01-01,0.0,0.0,0.0,559.326,5685.0,5685.0,528768.674,5374274.0,5374274.0
2008-02-01,0.0,0.0,0.0,406.47,4141.0,4141.0,418592.53,4264728.0,4264728.0
2008-03-01,0.0,0.0,0.0,1097.933,11020.0,11020.0,298174.067,2992695.0,2992695.0
2008-04-01,0.0,0.0,0.0,103.903,1022.0,1022.0,558496.097,5494020.0,5494020.0
2008-05-01,0.0,0.0,0.0,548.606,5441.0,5441.0,418274.394,4148702.0,4148702.0
2008-06-01,0.0,0.0,0.0,651.3480000000001,6547.0,6547.0,533991.652,5367196.0,5367196.0
2008-07-01,0.0,0.0,0.0,886.714,8936.0,8936.0,578248.286,5827207.0,5827207.0
2008-08-01,0.0,0.0,0.0,523.816,5318.0,5318.0,527070.184,5350927.0,5350927.0
2008-09-01,0.0,0.0,0.0,548.708,5552.0,5552.0,435035.292,4401962.0,4401962.0
2008-10-01,0.0,0.0,0.0,108.32100000000001,1077.0,1077.0,543207.679,5400736.0,5400736.0
2008-11-01,0.0,0.0,0.0,133.537,1380.0,1380.0,141801.463,1465794.0,1465794.0
2008-12-01,0.0,0.0,0.0,422.27200000000005,4325.0,4325.0,265918.728,2723632.0,2723632.0
2009-01-01,0.0,0.0,0.0,4.1530000000000005,42.0,42.0,271377.847,2744416.0,2744416.0
2009-02-01,0.0,0.0,0.0,18.096,185.0,185.0,242702.904,2476124.0,2476124.0
2009-03-01,0.0,0.0,0.0,19.968,199.0,199.0,344029.032,3434259.0,3434259.0
2009-04-01,0.0,0.0,0.0,427.302,4248.0,4248.0,434708.698,4321275.0,4321275.0
2009-05-01,0.0,0.0,0.0,7.331,73.0,73.0,530714.669,5311558.0,5311558.0
2009-06-01,0.0,0.0,0.0,443.562,4454.0,4454.0,479040.438,4810104.0,4810104.0
2009-07-01,0.0,0.0,0.0,1154.952,11743.0,11743.0,455388.048,4630147.0,4630147.0
2009-08-01,0.0,0.0,0.0,43.702000000000005,442.0,442.0,551756.298,5578024.0,5578024.0
2009-09-01,0.0,0.0,0.0,551.01,5624.0,5624.0,389040.99,3970521.0,3970521.0
2009-10-01,0.0,0.0,0.0,56.734,576.0,576.0,273780.266,2779327.0,2779327.0
2009-11-01,0.0,0.0,0.0,33.773,337.0,337.0,252850.227,2522481.0,2522481.0
2009-12-01,0.0,0.0,0.0,735.928,7463.0,7463.0,382575.072,3879553.0,3879553.0
2010-01-01,0.0,0.0,0.0,1267.9070000000002,12901.0,12901.0,481722.093,4901584.0,4901584.0
2010-02-01,0.0,0.0,0.0,402.377,4298.0,4298.0,214294.623,2288732.0,2288732.0
2010-03-01,0.0,0.0,0.0,1288.237,13417.0,13417.0,299342.763,3117621.0,3117621.0
2010-04-01,0.0,0.0,0.0,155.227,1551.0,1551.0,480304.773,4798723.0,4798723.0
2010-05-01,0.0,0.0,0.0,830.053,8326.0,8326.0,435371.947,4367021.0,4367021.0
2010-06-01,0.0,0.0,0.0,17.629,179.0,179.0,523850.371,5320807.0,5320807.0
2010-07-01,0.0,0.0,0.0,12.324,126.0,126.0,536813.676,5492077.0,5492077.0
2010-08-01,0.0,0.0,0.0,6.978000000000001,72.0,72.0,577136.022,5928151.0,5928151.0
2010-09-01,0.0,0.0,0.0,273.391,2817.0,2817.0,508447.609,5238314.0,5238314.0
2010-10-01,0.0,0.0,0.0,505.77200000000005,5115.0,5115.0,465897.228,4712014.0,4712014.0
2010-11-01,0.0,0.0,0.0,44.922000000000004,447.0,447.0,480030.078,4775092.0,4775092.0
2010-12-01,0.0,0.0,0.0,459.404,4583.0,4583.0,549016.596,5476709.0,5476709.0
2011-01-01,0.0,0.0,0.0,279.618,2826.0,2826.0,545648.38,5514610.0,5514610.0
2011-02-01,0.0,0.0,0.0,1096.237,11053.0,11053.0,461119.76,4649468.0,4649468.0
2011-03-01,0.0,0.0,0.0,728.359,7272.0,7272.0,506765.64,5059791.0,5059791.0
2011-04-01,0.0,0.0,0.0,366.894,3682.0,3682.0,295612.11,2966479.0,2966479.0
2011-05-01,0.0,0.0,0.0,1319.215,13242.0,13242.0,522850.79,5248074.0,5248074.0
2011-06-01,0.0,0.0,0.0,7.761,78.0,78.0,577913.24,5841833.0,5841833.0
2011-07-01,0.0,0.0,0.0,188.447,1908.0,1908.0,610910.55,6186787.0,6186787.0
2011-08-01,0.0,0.0,0.0,1541.861,15700.0,15700.0,583435.14,5940654.0,5940654.0
2011-09-01,0.0,0.0,0.0,476.822,4831.0,4831.0,550755.18,5579821.0,5579821.0
2011-10-01,0.0,0.0,0.0,262.761,2655.0,2655.0,535112.24,5406537.0,5406537.0
2011-11-01,0.0,0.0,0.0,579.764,5770.0,5770.0,541635.24,5390681.0,5390681.0
2011-12-01,0.0,0.0,0.0,483.992,4827.0,4827.0,579138.01,5776518.0,5776518.0
2012-01-01,0.0,0.0,0.0,69.801,706.0,706.0,435048.2,4399643.0,4399643.0
2012-02-01,0.0,0.0,0.0,850.068,8777.0,8777.0,205316.93,2119950.0,2119950.0
2012-03-01,0.0,0.0,0.0,514.48,5382.0,5382.0,163103.52,1706162.0,1706162.0
2012-04-01,0.0,0.0,0.0,40.377,412.0,412.0,174798.62,1783011.0,1783011.0
2012-05-01,0.0,0.0,0.0,1758.811,18440.0,18440.0,221394.19,2321158.0,2321158.0
2012-06-01,0.0,0.0,0.0,1298.358,13467.0,13467.0,360520.64,3739429.0,3739429.0
2012-07-01,0.0,0.0,0.0,619.508,6372.0,6372.0,433265.49,4456694.0,4456694.0
2012-08-01,0.0,0.0,0.0,71.785,732.0,732.0,488897.22,4986445.0,4986445.0
2012-09-01,0.0,0.0,0.0,111.458,1119.0,1119.0,409578.54,4112160.0,4112160.0
2012-10-01,0.0,0.0,0.0,1322.405,13514.0,13514.0,392175.6,4007772.0,4007772.0
2012-11-01,0.0,0.0,0.0,693.643,7150.0,7150.0,253795.36,2616079.0,2616079.0
2012-12-01,0.0,0.0,0.0,74.61,763.0,763.0,220021.39,2249635.0,2249635.0
2013-01-01,0.0,0.0,0.0,26.31,278.0,278.0,140432.69,1485836.0,1485836.0
2013-02-01,0.0,0.0,0.0,891.925,9596.0,9596.0,44794.075,481936.0,481936.0
2013-03-01,0.0,0.0,0.0,1205.198,12086.0,12086.0,327594.8,3285223.0,3285223.0
2013-04-01,0.0,0.0,0.0,323.043,3221.0,3221.0,432632.96,4314271.0,4314271.0
2013-05-01,0.0,0.0,0.0,21.608,217.0,217.0,529698.39,5328565.0,5328565.0
2013-06-01,0.0,0.0,0.0,425.151,4304.0,4304.0,525753.85,5322947.0,5322947.0
2013-07-01,0.0,0.0,0.0,522.233,5230.0,5230.0,508250.77,5089991.0,5089991.0
2013-08-01,0.0,0.0,0.0,239.999,2436.0,2436.0,502760.0,5103199.0,5103199.0
2013-09-01,0.0,0.0,0.0,202.732,2072.0,2072.0,344446.27,3519724.0,3519724.0
2013-10-01,0.0,0.0,0.0,1904.988,19405.0,19405.0,390680.01,3979635.0,3979635.0
2013-11-01,0.0,0.0,0.0,321.935,3148.0,3148.0,347382.07,3396558.0,3396558.0
2013-12-01,0.0,0.0,0.0,388.614,3834.0,3834.0,549864.39,5424871.0,5424871.0
2014-01-01,0.0,0.0,0.0,880.634,8719.0,8719.0,494348.37,4894725.0,4894725.0
2014-02-01,0.0,0.0,0.0,286.786,2895.0,2895.0,474899.21,4794472.0,4794472.0
2014-03-01,0.0,0.0,0.0,5.893,60.0,60.0,271734.11,2775490.0,2775490.0
2014-04-01,0.0,0.0,0.0,833.241,8470.0,8470.0,434351.76,4415332.0,4415332.0
2014-05-01,0.0,0.0,0.0,144.852,1471.0,1471.0,558049.15,5666085.0,5666085.0
2014-06-01,0.0,0.0,0.0,336.923,3454.0,3454.0,582410.08,5971352.0,5971352.0
2014-07-01,0.0,0.0,0.0,7.489,78.0,78.0,597237.51,6220829.0,6220829.0
2014-08-01,0.0,0.0,0.0,11.433,119.0,119.0,608336.57,6343640.0,6343640.0
2014-09-01,0.0,0.0,0.0,138.376,1426.0,1426.0,459265.62,4733052.0,4733052.0
2014-10-01,0.0,0.0,0.0,774.024,8035.0,8035.0,346168.98,3593447.0,3593447.0
2014-11-01,0.0,0.0,0.0,338.285,3506.0,3506.0,403847.72,4185308.0,4185308.0
2014-12-01,0.0,0.0,0.0,734.466,7427.0,7427.0,457279.53,4623980.0,4623980.0
2015-01-01,0.0,0.0,0.0,118.186,1244.0,1244.0,319673.81,3365215.0,3365215.0
2015-02-01,0.0,0.0,0.0,123.243,1334.0,1334.0,209397.76,2266310.0,2266310.0
2015-03-01,0.0,0.0,0.0,41.281,428.0,428.0,183689.72,1904612.0,1904612.0
2015-04-01,0.0,0.0,0.0,553.981,5869.0,5869.0,294120.02,3115944.0,3115944.0
2015-05-01,0.0,0.0,0.0,2194.341,24171.0,24171.0,327183.66,3603965.0,3603965.0
2015-06-01,0.0,0.0,0.0,1531.843,16842.0,16842.0,339995.16,3738068.0,3738068.0
2015-07-01,0.0,0.0,0.0,254.69,2767.0,2767.0,387563.31,4211175.0,4211175.0
2015-08-01,0.0,0.0,0.0,284.432,3122.0,3122.0,392045.57,4302590.0,4302590.0
2015-09-01,0.0,0.0,0.0,304.317,3389.0,3389.0,328363.68,3656599.0,3656599.0
2015-10-01,0.0,0.0,0.0,1021.441,11870.0,11870.0,176488.56,2051011.0,2051011.0
2015-11-01,0.0,0.0,0.0,844.863,10107.0,10107.0,86225.137,1031490.0,1031490.0
2015-12-01,0.0,0.0,0.0,1367.685,16354.0,16354.0,143648.32,1717701.0,1717701.0
2016-01-01,0.0,0.0,0.0,940.636,10993.0,10993.0,158955.36,1857615.0,1857615.0
2016-02-01,0.0,0.0,0.0,174.468,2425.0,2425.0,27804.532,386498.0,386498.0
2016-03-01,0.0,0.0,0.0,-3482.0,3271.0,3271.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,896.957,11637.0,11637.0,35366.043,458827.0,458827.0
2016-05-01,0.0,0.0,0.0,302.01,3523.0,3523.0,279697.99,3262957.0,3262957.0
2016-06-01,0.0,0.0,0.0,242.819,2656.0,2656.0,334372.18,3656997.0,3656997.0
2016-07-01,0.0,0.0,0.0,38.005,411.0,411.0,385271.0,4171171.0,4171171.0
2016-08-01,0.0,0.0,0.0,2546.339,28112.0,28112.0,372543.66,4112953.0,4112953.0
2016-09-01,0.0,0.0,0.0,99.213,1090.0,1090.0,353243.79,3879263.0,3879263.0
2016-10-01,0.0,0.0,0.0,550.931,6093.0,6093.0,204284.07,2259345.0,2259345.0
2016-11-01,0.0,0.0,0.0,289.724,3695.0,3695.0,24201.276,308632.0,308632.0
2016-12-01,0.0,0.0,0.0,1236.06,13657.0,13657.0,248153.94,2741818.0,2741818.0
2017-01-01,0.0,0.0,0.0,341.352,3834.0,3834.0,279187.65,3135660.0,3135660.0
2017-02-01,0.0,0.0,0.0,152.945,1674.0,1674.0,175301.06,1918260.0,1918260.0
2017-03-01,0.0,0.0,0.0,1107.315,11936.0,11936.0,238151.69,2567048.0,2567048.0
2017-04-01,0.0,0.0,0.0,269.805,2858.0,2858.0,317931.2,3367765.0,3367765.0
2017-05-01,0.0,0.0,0.0,221.198,2425.0,2425.0,321158.8,3520329.0,3520329.0
2017-06-01,0.0,0.0,0.0,27.719,304.0,304.0,336206.28,3692538.0,3692538.0
2017-07-01,0.0,0.0,0.0,17.789,195.0,195.0,373075.21,4082539.0,4082539.0
2017-08-01,0.0,0.0,0.0,1170.58,12800.0,12800.0,373135.42,4079985.0,4079985.0
2017-09-01,0.0,0.0,0.0,681.073,7574.0,7574.0,318138.93,3537984.0,3537984.0
2017-10-01,0.0,0.0,0.0,54.444,621.0,621.0,298235.56,3403544.0,3403544.0
2017-11-01,0.0,0.0,0.0,368.24,3961.0,3961.0,246657.76,2653258.0,2653258.0
2017-12-01,0.0,0.0,0.0,729.915,7682.0,7682.0,287211.09,3022777.0,3022777.0
2018-01-01,,,,280.517,2881.0,2881.0,236350.48,2427223.0,2427223.0
2018-02-01,,,,451.187,4877.0,4877.0,299213.81,3234489.0,3234489.0
2018-03-01,,,,550.391,5977.0,5977.0,242003.61,2628224.0,2628224.0
2018-04-01,,,,607.248,6606.0,6606.0,306444.75,3333586.0,3333586.0
2018-05-01,,,,151.616,1633.0,1633.0,440756.38,4746004.0,4746004.0
2018-06-01,,,,31.358,334.0,334.0,441666.64,4705643.0,4705643.0
2018-07-01,,,,7.902,85.0,85.0,423442.1,4544740.0,4544740.0
2018-08-01,,,,16.7,177.0,177.0,456884.3,4851461.0,4851461.0
2018-09-01,,,,7.373,79.0,79.0,423466.63,4522792.0,4522792.0
2018-10-01,,,,13.645,147.0,147.0,447637.36,4813175.0,4813175.0
2018-11-01,,,,19.402,207.0,207.0,423719.6,4530726.0,4530726.0
2018-12-01,,,,126.618,1412.0,1412.0,452761.38,5049118.0,5049118.0
2019-01-01,,,,-2832.0,869.0,869.0,0.0,0.0,0.0
2019-02-01,,,,-0.732,0.0,0.0,-1479.268,0.0,0.0
2019-03-01,,,,-0.9,0.0,0.0,-1819.1,0.0,0.0
2019-04-01,,,,-0.596,0.0,0.0,-1203.404,0.0,0.0
2019-05-01,,,,-0.424,0.0,0.0,-857.576,0.0,0.0
2019-06-01,,,,-0.777,0.0,0.0,-1569.223,0.0,0.0
2019-07-01,,,,-0.386,0.0,0.0,-779.614,0.0,0.0
2019-08-01,,,,-0.381,0.0,0.0,-769.619,0.0,0.0
2019-09-01,,,,-0.357,0.0,0.0,-721.643,0.0,0.0
2019-10-01,,,,-0.376,0.0,0.0,-759.624,0.0,0.0
2019-11-01,,,,-0.35,0.0,0.0,-707.65,0.0,0.0
2019-12-01,,,,-0.3,0.0,0.0,-605.7,0.0,0.0
2020-01-01,,,,-289.0,0.0,0.0,-289.0,0.0,0.0
2020-02-01,,,,-273.0,0.0,0.0,-273.0,0.0,0.0
2020-03-01,,,,-270.0,0.0,0.0,-270.0,0.0,0.0
2020-04-01,,,,-258.0,0.0,0.0,-258.0,0.0,0.0
2020-05-01,,,,-264.0,0.0,0.0,-264.0,0.0,0.0
2020-06-01,,,,-263.0,0.0,0.0,-263.0,0.0,0.0
2020-07-01,,,,-275.0,0.0,0.0,-275.0,0.0,0.0
2020-08-01,,,,-290.0,0.0,0.0,-290.0,0.0,0.0
2020-09-01,,,,-275.0,0.0,0.0,-275.0,0.0,0.0
2020-10-01,,,,-283.0,0.0,0.0,-283.0,0.0,0.0
2020-11-01,,,,-254.0,0.0,0.0,-254.0,0.0,0.0
2020-12-01,,,,-283.0,0.0,0.0,-283.0,0.0,0.0
2021-01-01,,,,-285.0,0.0,0.0,-285.0,0.0,0.0
2021-02-01,,,,-272.0,0.0,0.0,-272.0,0.0,0.0
2021-03-01,,,,-261.0,0.0,0.0,-261.0,0.0,0.0
2021-04-01,,,,-252.0,0.0,0.0,-252.0,0.0,0.0
2021-05-01,,,,-253.0,0.0,0.0,-253.0,0.0,0.0
2021-06-01,,,,-250.0,0.0,0.0,-250.0,0.0,0.0
2021-07-01,,,,-255.0,0.0,0.0,-255.0,0.0,0.0
2021-08-01,,,,-251.0,0.0,0.0,-251.0,0.0,0.0
2021-09-01,,,,-238.0,0.0,0.0,-238.0,0.0,0.0
2021-10-01,,,,-242.0,0.0,0.0,-242.0,0.0,0.0
