measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,"Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Kerosene - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2004-11-01,218555.0,2369205.0,2369205.0,,,,,,,,,,6282.0,68095.0,68095.0,0.0,0.0,0.0,,,
2004-12-01,320225.0,3177367.0,3177367.0,,,,,,,,,,590.0,5855.0,5855.0,0.0,0.0,0.0,,,
2005-01-01,334280.0,3421547.83,3421547.83,,,,0.0,0.0,0.0,,,,2099.0,21484.33,21484.33,0.0,0.0,0.0,,,
2005-02-01,213701.0,2264761.77,2264761.77,,,,0.0,0.0,0.0,,,,17640.0,186948.21,186948.21,0.0,0.0,0.0,,,
2005-03-01,121940.0,1295658.99,1295658.99,,,,0.0,0.0,0.0,,,,204.0,2164.14,2164.14,0.0,0.0,0.0,,,
2005-04-01,195735.0,2108188.11,2108188.11,,,,0.0,0.0,0.0,,,,4700.0,50620.63,50620.63,0.0,0.0,0.0,,,
2005-05-01,238814.0,2573681.85,2573681.85,,,,0.0,0.0,0.0,,,,3303.0,35600.62,35600.62,0.0,0.0,0.0,,,
2005-06-01,338256.0,3533345.2,3533345.2,,,,0.0,0.0,0.0,,,,14258.0,148933.29,148933.29,0.0,0.0,0.0,,,
2005-07-01,299127.0,2666803.68,2666803.68,,,,0.0,0.0,0.0,,,,94081.0,838753.82,838753.82,0.0,0.0,0.0,,,
2005-08-01,264771.0,2882040.0,2882040.0,,,,0.0,0.0,0.0,,,,81186.0,883715.22,883715.22,0.0,0.0,0.0,,,
2005-09-01,242341.0,2590424.1,2590424.1,,,,0.0,0.0,0.0,,,,14382.0,153730.43,153730.43,0.0,0.0,0.0,,,
2005-10-01,247044.0,2560858.74,2560858.74,,,,0.0,0.0,0.0,,,,5137.0,53250.44,53250.44,0.0,0.0,0.0,,,
2005-11-01,270860.0,2782407.5,2782407.5,,,,0.0,0.0,0.0,,,,6011.0,61751.3,61751.3,0.0,0.0,0.0,,,
2005-12-01,374184.0,3812147.82,3812147.82,,,,0.0,0.0,0.0,,,,324.0,3295.95,3295.95,0.0,0.0,0.0,,,
2006-01-01,358365.0,3556105.0,3556105.0,,,,,,,,,,2291.0,22731.0,22731.0,0.0,0.0,0.0,,,
2006-02-01,281661.0,2837450.0,2837450.0,,,,,,,,,,4210.0,42408.0,42408.0,0.0,0.0,0.0,,,
2006-03-01,223389.0,2223407.0,2223407.0,,,,,,,,,,4750.0,47276.0,47276.0,0.0,0.0,0.0,,,
2006-04-01,188690.0,2041722.0,2041722.0,,,,,,,,,,1810.0,19583.0,19583.0,0.0,0.0,0.0,,,
2006-05-01,67994.0,755943.0,755943.0,,,,,,,,,,11894.0,132239.0,132239.0,0.0,0.0,0.0,,,
2006-06-01,293579.0,3139876.0,3139876.0,,,,,,,,,,10547.0,112805.0,112805.0,0.0,0.0,0.0,,,
2006-07-01,295842.0,3143862.0,3143862.0,,,,,,,,,,15961.0,169614.0,169614.0,4.0,39.0,39.0,,,
2006-08-01,206237.0,2218176.0,2218176.0,,,,,,,,,,29405.0,316263.0,316263.0,0.0,0.0,0.0,,,
2006-09-01,187288.0,2066173.0,2066173.0,,,,,,,,,,4206.0,46404.0,46404.0,0.0,0.0,0.0,,,
2006-10-01,152490.0,1678010.0,1678010.0,,,,,,,,,,4738.0,52139.0,52139.0,0.0,0.0,0.0,,,
2006-11-01,343576.0,3479564.0,3479564.0,,,,,,,,,,356.0,3608.0,3608.0,0.0,0.0,0.0,,,
2006-12-01,333925.0,3896739.0,3896739.0,,,,,,,,,,342.0,3995.0,3995.0,0.0,0.0,0.0,,,
2007-01-01,178129.819,2049596.0,2049596.0,,,,,,,,,,5329.1810000000005,61319.0,61319.0,0.0,0.0,0.0,,,
2007-02-01,213848.795,2405083.0,2405083.0,,,,,,,,,,4614.205,51894.0,51894.0,0.0,0.0,0.0,,,
2007-03-01,106050.539,1185492.0,1185492.0,,,,,,,,,,16377.461,183076.0,183076.0,0.0,0.0,0.0,,,
2007-04-01,0.0,0.0,0.0,,,,,,,,,,-2514.0,407.0,407.0,0.0,0.0,0.0,,,
2007-05-01,0.0,0.0,0.0,,,,,,,,,,9199.96,121388.0,121388.0,0.0,0.0,0.0,49462.04,652625.0,652625.0
2007-06-01,,,,,,,,,,,,,19405.315000000002,223829.0,223829.0,3.214,37.0,37.0,226026.471,2607082.0,2607082.0
2007-07-01,,,,,,,,,,,,,34765.815,407935.0,407935.0,0.0,0.0,0.0,186104.185,2183708.0,2183708.0
2007-08-01,,,,,,,,,,,,,54276.581,615437.0,615437.0,0.0,0.0,0.0,195822.419,2220411.0,2220411.0
2007-09-01,,,,,,,,,,,,,14366.046,174852.0,174852.0,0.0,0.0,0.0,132136.954,1608264.0,1608264.0
2007-10-01,,,,,,,,,,,,,15445.1,175339.0,175339.0,1.988,23.0,23.0,217151.912,2465194.0,2465194.0
2007-11-01,,,,,,,,,,,,,6033.295,64654.0,64654.0,0.0,0.0,0.0,167972.705,1800025.0,1800025.0
2007-12-01,,,,,,,,,,,,,10214.783,112432.0,112432.0,0.0,0.0,0.0,266752.217,2936086.0,2936086.0
2008-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,3121.4770000000003,30806.0,30806.0,0.0,0.0,0.0,318441.523,3142742.0,3142742.0
2008-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,12577.380000000001,137361.0,137361.0,0.0,0.0,0.0,181089.62,1977726.0,1977726.0
2008-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,8521.512,92153.0,92153.0,0.0,0.0,0.0,147419.488,1594219.0,1594219.0
2008-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,-2218.0,4023.0,4023.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,-2710.0,3465.0,3465.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,65830.519,770702.0,770702.0,0.0,0.0,0.0,89230.481,1044653.0,1044653.0
2008-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,26638.518,313761.0,313761.0,0.0,0.0,0.0,77938.482,917995.0,917995.0
2008-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,11981.917,122958.0,122958.0,0.0,0.0,0.0,318160.083,3264956.0,3264956.0
2008-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,9337.716,95806.0,95806.0,0.0,0.0,0.0,294855.284,3025263.0,3025263.0
2008-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,8974.928,95242.0,95242.0,0.0,0.0,0.0,285099.072,3025475.0,3025475.0
2008-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,8623.496000000001,98739.0,98739.0,0.0,0.0,0.0,81109.504,928700.0,928700.0
2008-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,8377.26,87575.0,87575.0,0.0,0.0,0.0,244831.74,2559437.0,2559437.0
2009-01-01,,,,,,,0.0,0.0,0.0,,,,6005.258000000001,64473.0,64473.0,0.0,0.0,0.0,148880.742,1598394.0,1598394.0
2009-02-01,,,,,,,0.0,0.0,0.0,,,,7960.627,115647.0,115647.0,0.0,0.0,0.0,23672.373,343898.0,343898.0
2009-03-01,,,,,,,0.0,0.0,0.0,,,,14339.494999999999,161802.0,161802.0,0.0,0.0,0.0,229684.505,2591677.0,2591677.0
2009-04-01,,,,,,,0.0,0.0,0.0,,,,804.921,10253.0,10253.0,0.0,0.0,0.0,16495.079,210105.0,210105.0
2009-05-01,,,,,,,0.0,0.0,0.0,,,,1054.634,43868.0,43868.0,0.0,0.0,0.0,1996.366,83039.0,83039.0
2009-06-01,,,,,,,0.0,0.0,0.0,,,,18471.628,216250.0,216250.0,0.0,0.0,0.0,126007.372,1475183.0,1475183.0
2009-07-01,,,,,,,0.0,0.0,0.0,,,,11545.861,136413.0,136413.0,0.0,0.0,0.0,87655.139,1035637.0,1035637.0
2009-08-01,,,,,,,0.0,0.0,0.0,,,,15704.32,168101.0,168101.0,0.0,0.0,0.0,240168.68,2570788.0,2570788.0
2009-09-01,,,,,,,0.0,0.0,0.0,,,,3380.722,38395.0,38395.0,0.0,0.0,0.0,57223.278,649892.0,649892.0
2009-10-01,,,,,,,0.0,0.0,0.0,,,,18696.218,214857.0,214857.0,0.0,0.0,0.0,60551.782,695861.0,695861.0
2009-11-01,,,,,,,0.0,0.0,0.0,,,,3432.637,38953.0,38953.0,0.0,0.0,0.0,42245.363,479391.0,479391.0
2009-12-01,,,,,,,0.0,0.0,0.0,,,,12689.324,129592.0,129592.0,0.0,0.0,0.0,266870.676,2725465.0,2725465.0
2010-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,8721.359,88289.0,88289.0,0.0,0.0,0.0,214705.641,2173519.0,2173519.0
2010-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,20084.358,214006.0,214006.0,0.0,0.0,0.0,182736.642,1947126.0,1947126.0
2010-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,3195.052,33353.0,33353.0,0.0,0.0,0.0,134190.948,1400832.0,1400832.0
2010-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,10168.983,104590.0,104590.0,0.0,0.0,0.0,283332.017,2914120.0,2914120.0
2010-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,11896.846,127522.0,127522.0,0.0,0.0,0.0,131356.154,1408008.0,1408008.0
2010-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,11392.264,122528.0,122528.0,0.0,0.0,0.0,257495.736,2769450.0,2769450.0
2010-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,132347.055,1504934.0,1504934.0,0.0,0.0,0.0,258404.945,2938352.0,2938352.0
2010-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,55735.570999999996,548146.0,548146.0,0.0,0.0,0.0,173342.429,1704781.0,1704781.0
2010-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,22502.064,288852.0,288852.0,0.0,0.0,0.0,27002.936,346628.0,346628.0
2010-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,-201.762,0.0,0.0,0.0,0.0,0.0,-2247.2380000000003,0.0,0.0
2010-11-01,44504.493,562325.0,562325.0,,,,0.0,0.0,0.0,,,,16940.507,214047.0,214047.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,162553.107,1792141.0,1792141.0,,,,0.0,0.0,0.0,,,,12468.893,137469.0,137469.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-01,196986.7,2115019.0,2115019.0,,,,0.0,0.0,0.0,,,,16189.297,173822.0,173822.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,107043.55,1237525.0,1237525.0,,,,0.0,0.0,0.0,,,,1989.447,23000.0,23000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,123572.2,1403260.0,1403260.0,,,,0.0,0.0,0.0,,,,9585.804,108854.0,108854.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,167675.62,1778598.0,1778598.0,,,,0.0,0.0,0.0,,,,5814.381,61675.0,61675.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,247758.16,2659572.0,2659572.0,,,,0.0,0.0,0.0,,,,27751.818,297903.0,297903.0,0.0,0.0,0.0,43939.018,471666.0,471666.0
2011-06-01,207306.18,2088090.0,2088090.0,,,,0.0,0.0,0.0,,,,9137.324,92036.0,92036.0,0.0,0.0,0.0,8396.496,84574.0,84574.0
2011-07-01,231969.81,2485684.0,2485684.0,,,,0.0,0.0,0.0,,,,20801.571,222900.0,222900.0,0.0,0.0,0.0,8725.616,93500.0,93500.0
2011-08-01,231038.27,2817565.0,2817565.0,,,,0.0,0.0,0.0,,,,22797.637,278022.0,278022.0,0.0,0.0,0.0,9222.091,112466.0,112466.0
2011-09-01,34860.711,451450.0,451450.0,,,,0.0,0.0,0.0,,,,7608.552,98532.0,98532.0,0.0,0.0,0.0,1357.737,17583.0,17583.0
2011-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,38053.0,410021.0,410021.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,-452.193,0.0,0.0,,,,0.0,0.0,0.0,,,,-644.786,0.0,0.0,0.0,0.0,0.0,-3478.021,0.0,0.0
2011-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,-5278.0,1385.0,1385.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,29030.147,366898.0,366898.0,,,,0.0,0.0,0.0,,,,3981.853,50325.0,50325.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,-4579.0,125689.0,125689.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,21101.0,367974.0,367974.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,29007.0,386873.0,386873.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,214922.0,2548850.0,2548850.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,86891.0,1145986.0,1145986.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,137738.68,1538014.0,1538014.0,,,,0.0,0.0,0.0,,,,133304.32,1488499.0,1488499.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,57059.64,696345.0,696345.0,,,,0.0,0.0,0.0,,,,90042.36,1098860.0,1098860.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,42859.0,541459.0,541459.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,-2353.0,83843.0,83843.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,-288.298,0.0,0.0,,,,0.0,0.0,0.0,,,,-30.508,0.0,0.0,0.0,0.0,0.0,-13.194,0.0,0.0
2012-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,-2970.0,38969.0,38969.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,21563.596,282717.0,282717.0,,,,0.0,0.0,0.0,,,,91164.404,1195243.0,1195243.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,66621.797,817038.0,817038.0,,,,0.0,0.0,0.0,,,,82178.203,1007819.0,1007819.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,76045.892,902249.0,902249.0,,,,0.0,0.0,0.0,,,,42658.108,506118.0,506118.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,54956.0,693450.0,693450.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,16881.0,302243.0,302243.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,127707.0,1493615.0,1493615.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,216325.0,2477004.0,2477004.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,92027.0,1156563.0,1156563.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,39588.0,477245.0,477245.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,-1732.0,33839.0,33839.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,28629.0,371120.0,371120.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,60550.0,796462.0,796462.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,25946.952,321763.0,321763.0,,,,0.0,0.0,0.0,,,,55863.048,692747.0,692747.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,115364.18,1333105.0,1333105.0,,,,0.0,0.0,0.0,,,,62797.825,725668.0,725668.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,31848.618,378149.0,378149.0,,,,0.0,0.0,0.0,,,,13887.382,164889.0,164889.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,-4086.0,7028.0,7028.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,199000.0,2315284.0,2315284.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,0.0,0.0,0.0,,,,,,,,,,128669.0,1551796.0,1551796.0,,,,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,,,,,,,,,,240734.0,2896788.0,2896788.0,,,,,,
2014-08-01,0.0,0.0,0.0,,,,,,,,,,158027.0,1913090.0,1913090.0,,,,,,
2014-09-01,0.0,0.0,0.0,,,,,,,,,,12655.0,158670.0,158670.0,,,,,,
2014-10-01,0.0,0.0,0.0,,,,,,,,,,-1934.0,3286.0,3286.0,,,,,,
2014-11-01,0.0,0.0,0.0,,,,,,,,,,-3210.0,65851.0,65851.0,,,,,,
2014-12-01,6425.706,92323.0,92323.0,,,,,,,,,,18455.294,265161.0,265161.0,,,,,,
2015-01-01,78778.153,955973.0,955973.0,,,,,,,,,,26355.847,319828.0,319828.0,,,,,,
2015-02-01,27680.094,374955.0,374955.0,,,,,,,,,,46084.906,624267.0,624267.0,,,,,,
2015-03-01,0.0,0.0,0.0,,,,,,,,,,-4453.0,29236.0,29236.0,,,,,,
2015-04-01,0.0,0.0,0.0,,,,,,,,,,-2730.0,71651.0,71651.0,,,,,,
2015-05-01,0.0,0.0,0.0,,,,,,,,,,49710.0,677550.0,677550.0,,,,,,
2015-06-01,0.0,0.0,0.0,,,,,,,,,,25129.0,363809.0,363809.0,,,,,,
2015-07-01,0.0,0.0,0.0,,,,,,,,,,51467.0,690870.0,690870.0,,,,,,
2015-08-01,0.0,0.0,0.0,,,,,,,,,,6865.0,185379.0,185379.0,,,,,,
2015-09-01,0.0,0.0,0.0,,,,,,,,,,33908.0,438656.0,438656.0,,,,,,
2015-10-01,-351.759,0.0,0.0,,,,0.0,0.0,0.0,,,,-1689.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,,,,,,,,,,-3285.0,137.0,137.0,,,,,,
2015-12-01,0.0,0.0,0.0,,,,,,,,,,11952.0,202920.0,202920.0,,,,,,
2016-01-01,5329.631,114853.0,114853.0,,,,,,,,,,4650.369,100215.0,100215.0,,,,,,
2016-02-01,0.0,0.0,0.0,,,,,,,,,,-4660.0,133.0,133.0,,,,,,
2016-03-01,0.0,0.0,0.0,,,,,,,,,,5217.0,144080.0,144080.0,,,,,,
2016-04-01,0.0,0.0,0.0,,,,,,,,,,-1743.0,79.0,79.0,,,,,,
2016-05-01,-533.232,0.0,0.0,,,,0.0,0.0,0.0,,,,-1320.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,,,,,,,,,,-3887.0,37639.0,37639.0,,,,,,
2016-07-01,0.0,0.0,0.0,,,,,,,,,,90692.0,1132930.0,1132930.0,,,,,,
2016-08-01,0.0,0.0,0.0,,,,,,,,,,132573.0,1628232.0,1628232.0,,,,,,
