measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Kerosene-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Waste/Other Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2004-06-01,8.0,1803.0,1803.0,,,,5.0,988.0,988.0,,,,41.0,9061.0,9061.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-07-01,65.0,1869.0,1869.0,,,,0.0,0.0,0.0,,,,472.0,8036.0,8036.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-08-01,35.0,802.0,802.0,,,,184.0,3583.0,3583.0,,,,914.0,13892.0,13892.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-09-01,0.0,233.0,233.0,,,,0.0,0.0,0.0,,,,0.0,103.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-10-01,8.0,83.0,83.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-01,118.0,1575.0,1575.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,380.0,6594.0,6594.0,,,,0.0,0.0,0.0,,,,564.0,8950.0,8950.0,0.0,160.0,160.0,0.0,0.0,0.0
2005-01-01,146.0,1004.8,1004.8,,,,148.0,2847.31,2847.31,,,,0.0,0.0,0.0,0.0,1862.3,1862.3,,,
2005-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2308.9,2308.9,,,
2005-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,20.9,20.9,0.0,1922.8,1922.8,,,
2005-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,56.1,56.1,,,
2005-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-06-01,243.0,4764.18,4764.18,,,,0.0,0.0,0.0,,,,1138.0,18955.13,18955.13,0.0,148.12,148.12,,,
2005-07-01,465.0,8091.25,8091.25,,,,1515.0,26367.12,26367.12,,,,6366.0,110765.19,110765.19,0.0,0.0,0.0,,,
2005-08-01,767.0,14421.46,14421.46,,,,2408.0,40317.26,40317.26,,,,8192.0,116370.1,116370.1,0.0,0.0,0.0,,,
2005-09-01,281.0,5590.44,5590.44,,,,0.0,0.0,0.0,,,,303.0,5616.73,5616.73,0.0,0.0,0.0,,,
2005-10-01,1833.0,31128.32,31128.32,,,,1327.0,22542.62,22542.62,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2005-11-01,290.0,6584.4,6584.4,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,552.28,552.28,,,
2005-12-01,468.0,8386.78,8386.78,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,3001.91,3001.91,,,
2006-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-02-01,151.0,3346.0,3346.0,,,,153.0,3437.0,3437.0,,,,0.0,0.0,0.0,0.0,2280.0,2280.0,,,
2006-03-01,9.0,670.0,670.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1383.0,1383.0,,,
2006-04-01,0.0,0.0,0.0,,,,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,131.0,131.0,,,
2006-05-01,425.0,4901.0,4901.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-06-01,203.0,5395.0,5395.0,,,,133.0,3229.0,3229.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-07-01,458.0,9430.0,9430.0,,,,0.0,0.0,0.0,,,,6753.0,100184.0,100184.0,0.0,0.0,0.0,,,
2006-08-01,1040.0,19826.0,19826.0,,,,0.0,0.0,0.0,,,,6584.0,99183.0,99183.0,0.0,0.0,0.0,,,
2006-09-01,68.0,1343.0,1343.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-10-01,36.0,807.0,807.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-11-01,324.0,6066.0,6066.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,7.0,7.0,,,
2006-12-01,536.0,9986.0,9986.0,,,,104.0,1898.0,1898.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2007-01-01,174.0,3340.0,3340.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1415.0,1415.0,,,
2007-02-01,577.962,13794.0,13794.0,,,,0.0,0.0,0.0,,,,168.038,4011.0,4011.0,205.0,2602.0,2602.0,,,
2007-03-01,86.238,2135.0,2135.0,,,,0.0,0.0,0.0,,,,37.762,935.0,935.0,0.0,0.0,0.0,,,
2007-04-01,54.353,1059.0,1059.0,,,,0.0,0.0,0.0,,,,5.647,110.0,110.0,0.0,10.0,10.0,,,
2007-05-01,309.968,4516.0,4516.0,,,,0.0,0.0,0.0,,,,337.03200000000004,4911.0,4911.0,0.0,0.0,0.0,,,
2007-06-01,885.282,18557.0,18557.0,,,,0.0,0.0,0.0,,,,557.7180000000001,11691.0,11691.0,2183.0,31187.0,31187.0,,,
2007-07-01,373.78200000000004,6850.0,6850.0,,,,0.0,0.0,0.0,,,,1319.218,24177.0,24177.0,3294.0,48437.0,48437.0,,,
2007-08-01,1896.6480000000001,35521.0,35521.0,,,,0.0,0.0,0.0,,,,3159.3520000000003,59169.0,59169.0,12318.0,163052.0,163052.0,,,
2007-09-01,399.05100000000004,6927.0,6927.0,,,,0.0,0.0,0.0,,,,2376.949,41259.0,41259.0,3520.0,48257.0,48257.0,,,
2007-10-01,372.923,7344.0,7344.0,,,,0.0,0.0,0.0,,,,639.077,12586.0,12586.0,2628.0,36037.0,36037.0,,,
2007-11-01,68.0,1388.0,1388.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,2.0,,,
2007-12-01,211.0,3528.0,3528.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,532.0,532.0,,,
2008-01-01,341.858,6710.0,6710.0,,,,10.021,197.0,197.0,,,,1.121,22.0,22.0,265.0,5672.0,5672.0,,,
2008-02-01,172.656,3072.0,3072.0,,,,177.49,3158.0,3158.0,,,,1.854,33.0,33.0,0.0,638.0,638.0,,,
2008-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-05-01,32.0,740.0,740.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-06-01,736.118,13945.0,13945.0,,,,0.0,0.0,0.0,,,,805.8820000000001,15267.0,15267.0,830.0,11629.0,11629.0,,,
2008-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1099.0,21846.0,21846.0,6337.0,98704.0,98704.0,,,
2008-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,487.0,8804.0,8804.0,1063.0,16185.0,16185.0,,,
2008-09-01,75.986,1366.0,1366.0,,,,0.0,0.0,0.0,,,,1823.0140000000001,32783.0,32783.0,923.0,16158.0,16158.0,,,
2008-10-01,28.0,496.0,496.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,40.0,40.0,,,
2008-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,395.0,395.0,,,
2008-12-01,35.0,683.0,683.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1968.0,1968.0,,,
2009-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,957.0,957.0,,,
2009-03-01,47.449000000000005,948.0,948.0,,,,0.0,0.0,0.0,,,,0.551,11.0,11.0,0.0,381.0,381.0,,,
2009-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,,,,11.595,264.0,264.0,,,,185.405,4224.0,4224.0,41.0,4820.0,4820.0,,,
2009-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,562.0,10680.0,10680.0,137.0,2557.0,2557.0,,,
2009-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,677.0,11126.0,11126.0,,,
2009-08-01,60.508,1160.0,1160.0,,,,0.0,0.0,0.0,,,,1174.492,22522.0,22522.0,1995.0,30220.0,30220.0,,,
2009-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,38.0,937.0,937.0,0.0,0.0,0.0,,,
2009-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,11.0,11.0,0.0,0.0,0.0,,,
2009-12-01,0.0,0.0,0.0,,,,360.137,12094.0,12094.0,,,,8.863,298.0,298.0,0.0,0.0,0.0,,,
2010-01-01,0.0,0.0,0.0,,,,41.573,922.0,922.0,,,,6.4270000000000005,142.0,142.0,0.0,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-06-01,0.0,607.0,607.0,,,,0.0,0.0,0.0,,,,0.0,387.0,387.0,491.0,8141.0,8141.0,,,
2010-07-01,63.553000000000004,1180.0,1180.0,,,,0.0,0.0,0.0,,,,3449.447,64067.0,64067.0,0.0,0.0,0.0,,,
2010-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1250.0,23160.0,23160.0,5692.0,72497.0,72497.0,,,
2010-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1271.0,24742.0,24742.0,1343.0,16167.0,16167.0,,,
2010-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,187.0,3214.0,3214.0,0.0,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,27.0,1007.0,1007.0,0.0,0.0,0.0,,,
2010-12-01,0.0,0.0,0.0,,,,129.012,5002.0,5002.0,,,,10.988000000000001,426.0,426.0,0.0,0.0,0.0,,,
2011-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-06-01,37.755,2462.0,2462.0,,,,0.0,0.0,0.0,,,,83.245,5429.0,5429.0,3523.0,44040.0,44040.0,,,
2011-07-01,916.11,19625.0,19625.0,,,,0.0,0.0,0.0,,,,683.89,14651.0,14651.0,12180.0,147402.0,147402.0,,,
2011-08-01,37.0,960.0,960.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2157.0,28393.0,28393.0,,,
2011-09-01,270.0,5065.0,5065.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-10-01,19.0,295.0,295.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-01-01,0.0,0.0,0.0,,,,43.428,1180.0,1180.0,,,,7.572,206.0,206.0,0.0,0.0,0.0,,,
2012-02-01,0.0,0.0,0.0,,,,132.579,3164.0,3164.0,,,,30.421,726.0,726.0,0.0,0.0,0.0,,,
2012-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-05-01,93.0,2050.0,2050.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-06-01,231.453,4404.0,4404.0,,,,0.0,0.0,0.0,,,,0.547,10.0,10.0,4204.0,52965.0,52965.0,,,
2012-07-01,189.454,3960.0,3960.0,,,,464.558,9711.0,9711.0,,,,2.988,62.0,62.0,12261.0,150073.0,150073.0,,,
2012-08-01,45.882,1275.0,1275.0,,,,13.749,382.0,382.0,,,,0.369,10.0,10.0,8944.0,112458.0,112458.0,,,
2012-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,624.0,7569.0,7569.0,,,
2012-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,,,,2.181,208.0,208.0,,,,0.819,78.0,78.0,0.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-04-01,156.0,3071.0,3071.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1031.0,14604.0,14604.0,,,
2013-06-01,61.906,1202.0,1202.0,0.0,0.0,0.0,327.226,6352.0,6352.0,,,,4.868,95.0,95.0,4226.0,52072.0,52072.0,,,
2013-07-01,505.0,9467.0,9467.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,9135.0,106529.0,106529.0,,,
2013-08-01,82.0,1569.0,1569.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,3052.0,37575.0,37575.0,,,
2013-09-01,63.0,1256.0,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2790.0,33071.0,33071.0,,,
2013-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-01-01,3231.97,51591.0,51591.0,0.0,0.0,0.0,1547.03,24695.0,24695.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-03-01,820.941,13564.0,13564.0,0.0,0.0,0.0,131.059,2165.0,2165.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-05-01,5.0,1375.0,1375.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1756.0,24702.0,24702.0,,,
2014-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,4566.0,62212.0,62212.0,,,
2014-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,6903.0,91812.0,91812.0,,,
2014-08-01,89.0,1995.0,1995.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,2902.0,40069.0,40069.0,,,
2014-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,490.0,6945.0,6945.0,,,
2014-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-11-01,0.578,698.0,698.0,,,,0.0,0.0,0.0,,,,34.422,41551.0,41551.0,0.0,0.0,0.0,,,
2014-12-01,4.057,404.0,404.0,,,,0.0,0.0,0.0,,,,11.943,1189.0,1189.0,0.0,0.0,0.0,,,
2015-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,192346.0,192346.0,0.0,0.0,0.0,,,
2015-02-01,115.649,3497.0,3497.0,,,,0.0,0.0,0.0,,,,56.351,1704.0,1704.0,0.0,0.0,0.0,,,
2015-03-01,46.739,1650.0,1650.0,,,,0.0,0.0,0.0,,,,36.261,1280.0,1280.0,0.0,0.0,0.0,,,
2015-04-01,0.0,331.0,331.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-05-01,64.032,918.0,918.0,,,,0.0,0.0,0.0,,,,3359.968,48155.0,48155.0,0.0,0.0,0.0,,,
2015-06-01,972.66,11183.0,11183.0,,,,0.0,0.0,0.0,,,,13996.34,160926.0,160926.0,0.0,0.0,0.0,,,
2015-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,10075.0,114488.0,114488.0,,,,,,
2015-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,5017.0,58573.0,58573.0,0.0,0.0,0.0,,,
2015-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,2618.0,28316.0,28316.0,0.0,0.0,0.0,,,
2015-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2015-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2015-12-01,24.0,771.0,771.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2016-01-01,359.0,7665.0,7665.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2016-02-01,131.0,2196.0,2196.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2016-03-01,80.0,1573.0,1573.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2016-04-01,214.0,2929.0,2929.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2016-05-01,33.0,772.0,772.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,,
2016-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-07-01,138.0,2957.0,2957.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-08-01,350.0,6927.0,6927.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-09-01,100.0,2185.0,2185.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2016-12-01,30.0,681.0,681.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-01-01,40.897,868.0,868.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-02-01,10.841,230.0,230.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-03-01,28.742,610.0,610.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-04-01,13.658,288.0,288.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-05-01,36.713,776.0,776.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-06-01,28.746,610.0,610.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-07-01,43.546,920.0,920.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-08-01,26.118,552.0,552.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-09-01,42.585,903.0,903.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-10-01,23.427,495.0,495.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-11-01,32.819,696.0,696.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2017-12-01,47.908,1012.0,1012.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2018-01-01,2179.286,41884.0,41884.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2018-02-01,122.118,2348.0,2348.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
