measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2019-02-01,14.611,138.0,138.0,3863.635,82087.0,82087.0
2019-03-01,0.241,0.0,0.0,3596.851,76419.0,76419.0
2019-04-01,0.121,0.0,0.0,3164.955,67243.0,67243.0
2019-05-01,0.192,0.0,0.0,3068.208,65188.0,65188.0
2019-06-01,0.127,0.0,0.0,4087.353,86840.0,86840.0
2019-07-01,0.061,0.0,0.0,6955.925,147786.0,147786.0
2019-08-01,0.116,0.0,0.0,6080.928,129196.0,129196.0
2019-09-01,0.51,6.0,6.0,4344.174,92296.0,92296.0
2019-10-01,0.135,0.0,0.0,3662.982,77824.0,77824.0
2019-11-01,0.266,0.0,0.0,3867.619,82171.0,82171.0
2019-12-01,9.997,94.0,94.0,4314.565,91668.0,91668.0
2020-01-01,18.49,187.0,187.0,4179.623,50038.0,89224.0
2020-02-01,13.864,138.0,138.0,3926.973,47013.0,83832.0
2020-03-01,11.74,116.0,116.0,3844.336,46024.0,82067.0
2020-04-01,8.342,83.0,83.0,2743.145,32841.0,58560.0
2020-05-01,17.637,176.0,176.0,3205.344,38374.0,68426.0
2020-06-01,7.312,72.0,72.0,5098.927,61044.0,108849.0
2020-07-01,12.16,121.0,121.0,7341.955,87897.0,156733.0
2020-08-01,4.921,50.0,50.0,6539.668,78292.0,139606.0
2020-09-01,12.789,127.0,127.0,5131.575,61434.0,109547.0
2020-10-01,7.312,72.0,72.0,3843.04,46008.0,82040.0
2020-11-01,17.696,176.0,176.0,3961.592,47428.0,84570.0
2020-12-01,20.737,209.0,209.0,4037.822,48340.0,86198.0
2021-01-01,5.469,39.0,39.0,4543.421,54393.0,76715.0
2021-02-01,44.871,363.0,363.0,3818.427,45714.0,64473.0
2021-03-01,6.722,55.0,55.0,3764.732,45071.0,63566.0
2021-04-01,53.445,435.0,435.0,3201.981,38334.0,54065.0
2021-05-01,2.086,17.0,17.0,4049.508,48480.0,68374.0
2021-06-01,1.902,17.0,17.0,5754.566,68893.0,97164.0
2021-07-01,1.712,17.0,17.0,6402.641,76652.0,108107.0
2021-08-01,0.293,0.0,0.0,6966.38,83400.0,117625.0
2021-09-01,3.856,33.0,33.0,4737.819,56720.0,79997.0
2021-10-01,4.888,39.0,39.0,4687.574,56119.0,79148.0
2021-11-01,7.179,61.0,61.0,4723.049,56544.0,79748.0
2021-12-01,20.577,165.0,165.0,4679.902,56027.0,79019.0
2022-01-01,119.103,864.0,864.0,3428.313,41043.0,57886.0
2022-02-01,13.441,99.0,99.0,3150.984,37723.0,53204.0
2022-03-01,0.956,6.0,6.0,3451.034,41315.0,58270.0
2022-04-01,0.594,6.0,6.0,3778.542,45236.0,63800.0
2022-05-01,1.739,11.0,11.0,4430.746,53044.0,74812.0
2022-06-01,0.21,0.0,0.0,4642.38,55578.0,78386.0
2022-07-01,0.284,0.0,0.0,6266.191,75018.0,105804.0
2022-08-01,0.192,0.0,0.0,6241.778,74725.0,105392.0
2022-09-01,0.307,0.0,0.0,4234.577,50696.0,71501.0
2022-10-01,0.723,6.0,6.0,3981.181,47662.0,67222.0
2022-11-01,2.207,17.0,17.0,3681.016,44068.0,62153.0
2022-12-01,74.244,534.0,534.0,3929.258,47040.0,66345.0
2023-01-01,5.426,33.0,33.0,3298.854,39494.0,68933.0
2023-02-01,122.2,875.0,875.0,2973.789,35602.0,62139.0
2023-03-01,4.254,33.0,33.0,2885.957,34550.0,60303.0
2023-04-01,2.002,17.0,17.0,2549.784,30526.0,53280.0
2023-05-01,3.87,28.0,28.0,2882.052,34504.0,60222.0
2023-06-01,0.604,6.0,6.0,3833.923,45899.0,80112.0
2023-07-01,0.775,6.0,6.0,5578.007,66780.0,116556.0
2023-08-01,0.901,6.0,6.0,4388.371,52537.0,91698.0
2023-09-01,1.718,11.0,11.0,3958.839,47395.0,82722.0
2023-10-01,3.023,22.0,22.0,3104.605,37168.0,64872.0
2023-11-01,1.447,11.0,11.0,3727.766,44629.0,77894.0
2023-12-01,0.78,6.0,6.0,3568.053,42716.0,74557.0
2024-01-01,77.952,612.0,612.0,3795.601,43169.0,74401.0
2024-02-01,3.679,29.0,29.0,3444.528,39176.0,67518.0
2024-03-01,23.236,182.0,182.0,3309.681,37642.0,64875.0
2024-04-01,5.607,47.0,47.0,2845.889,32367.0,55784.0
2024-05-01,2.822,24.0,24.0,3366.402,38287.0,65987.0
2024-06-01,2.285,18.0,18.0,4177.692,47514.0,81890.0
2024-07-01,4.559,35.0,35.0,5338.301,60714.0,104639.0
2024-08-01,3.012,24.0,24.0,4750.346,54027.0,93114.0
2024-09-01,2.824,24.0,24.0,3918.802,44570.0,76814.0
2024-10-01,5.105,41.0,41.0,3333.433,37912.0,65340.0
2024-11-01,7.161,59.0,59.0,3485.701,39644.0,68325.0
2024-12-01,53.758,423.0,423.0,4099.624,46626.0,80359.0
