measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-05-01,0.9440000000000001,10.63,13.05,870.18761,10561.43,32962.76,712.01876,8641.74,26971.31,,,,,,,51.11163,620.34,1936.11
2004-06-01,0.468,5.28,6.43,872.20768,10585.95,32962.76,713.67165,8661.81,26971.31,,,,,,,47.43868,575.76,1792.82
2004-07-01,2.589,29.16,35.73,877.40956,10649.09,32962.76,717.92801,8713.46,26971.31,,,,,,,37.98043,460.97,1426.86
2004-08-01,0.311,3.51,4.29,879.19677,10670.78,32962.76,719.39037,8731.21,26971.31,,,,,,,34.73086,421.53,1302.13
2004-09-01,0.999,11.25,13.8,875.68388,10628.14,32962.76,716.5160000000001,8696.33,26971.31,,,,,,,41.11813,499.05,1547.78
2004-10-01,0.19,2.13,2.61,877.11127,10645.47,32962.76,717.68394,8710.5,26971.31,,,,,,,38.52279,467.55,1447.73
2004-11-01,0.251,2.83,3.48,879.39897,10673.23,32962.76,719.55582,8733.22,26971.31,,,,,,,34.363209999999995,417.06,1288.05
2004-12-01,1.1860000000000002,13.36,16.36,871.60745,10578.67,32962.76,713.18052,8655.84,26971.31,,,,,,,48.53004,589.01,1835.33
2005-01-01,2.528,28.47,42.14,842.48806,10225.24,30448.79,661.9782,8034.4,23924.89,,,,,,,35.10673,426.09,1268.81
2005-02-01,0.5820000000000001,6.56,9.68,751.66949,9122.98,27162.69,590.62321,7168.37,21343.04,,,,,,,31.127309999999998,377.79,1124.83
2005-03-01,0.499,5.62,8.35,857.64271,10409.17,31023.62,673.88591,8178.92,24376.56,,,,,,,37.107369999999996,450.37,1342.29
2005-04-01,0.5,5.63,8.35,855.31484,10380.92,30959.48,672.05858,8156.75,24326.23,,,,,,,38.01957,461.44,1376.18
2005-05-01,0.504,5.67,8.4,946.31774,11485.42,34035.41,743.56375,9024.6,26743.13,,,,,,,31.040519999999997,376.74,1116.41
2005-06-01,0.61,6.88,10.2,925.55329,11233.4,33719.29,727.24818,8826.58,26494.74,,,,,,,52.13453,632.75,1899.34
2005-07-01,1.1560000000000001,13.01,19.24,951.24698,11545.25,34914.45,747.43868,9071.63,27433.89,,,,,,,66.68433999999999,809.35,2447.57
2005-08-01,1.024,11.52,17.04,944.30699,11461.02,34756.68,741.98736,9005.48,27309.99,,,,,,,71.09666,862.9,2616.82
2005-09-01,0.57,6.41,9.51,900.37795,10927.85,32740.55,707.46853,8586.52,25725.76,,,,,,,47.60453,577.77,1731.05
2005-10-01,0.798,9.0,13.33,917.17211,11131.68,33049.19,720.66089,8746.63,25968.15,,,,,,,33.222,403.21,1197.11
2005-11-01,0.538,6.06,8.98,925.7475,11235.76,33286.06,727.40256,8828.45,26154.39,,,,,,,29.88494,362.71,1074.54
2005-12-01,1.473,16.59,24.58,926.53011,11245.26,33360.38,728.01391,8835.88,26212.67,,,,,,,32.24398,391.34,1160.97
2006-01-01,0.657,7.4,96.68,,,,,,,,,,,,,34.0189,412.89,1182.79
2006-02-01,0.8240000000000001,9.27,121.19,,,,,,,,,,,,,33.79077,410.12,1179.35
2006-03-01,1.5,16.89,220.65,,,,,,,,,,,,,36.66957,445.06,1286.61
2006-04-01,0.7110000000000001,8.01,104.62,,,,,,,,,,,,,31.21325,378.83,1081.74
2006-05-01,0.49100000000000005,5.53,72.28,,,,,,,,,,,,,30.326159999999998,368.07,1049.35
2006-06-01,0.47300000000000003,5.32,69.55,,,,,,,,,,,,,38.590939999999996,468.38,1342.33
2006-07-01,0.5860000000000001,6.6,86.24,,,,,,,,,,,,,57.24223,694.75,2010.22
2006-08-01,0.624,7.02,91.75,,,,,,,,,,,,,54.01419,655.57,1892.57
2006-09-01,0.365,4.11,53.67,,,,,,,,,,,,,38.57859,468.23,1342.39
2006-10-01,0.36300000000000004,4.08,53.44,,,,,,,,,,,,,42.86064,520.2,1497.1
2006-11-01,0.59,6.64,86.77,,,,,,,,,,,,,36.8645,447.42,1287.71
2006-12-01,0.657,7.41,96.68,,,,,,,,,,,,,36.09539,438.09,1258.27
2007-01-01,0.0,75.0,75.0,,,,,,,,,,,,,35.72,433.0,1399.0
2007-02-01,0.0,157.0,157.0,,,,,,,,,,,,,65.57600000000001,796.0,2568.0
2007-03-01,0.0,23.0,23.0,,,,,,,,,,,,,37.52,456.0,1469.0
2007-04-01,0.0,17.0,17.0,,,,,,,,,,,,,47.852000000000004,580.0,1874.0
2007-05-01,0.0,23.0,23.0,,,,,,,,,,,,,24.512,298.0,960.0
2007-06-01,0.0,23.0,23.0,,,,,,,,,,,,,46.691,567.0,1829.0
2007-07-01,0.0,17.0,17.0,,,,,,,,,,,,,47.175,572.0,1848.0
2007-08-01,0.0,0.0,0.0,,,,,,,,,,,,,53.293,646.0,2088.0
2007-09-01,0.0,6.0,6.0,,,,,,,,,,,,,29.524,359.0,1157.0
2007-10-01,0.0,6.0,6.0,,,,,,,,,,,,,30.964000000000002,376.0,1212.0
2007-11-01,0.0,23.0,23.0,,,,,,,,,,,,,31.409000000000002,381.0,1230.0
2007-12-01,0.0,35.0,35.0,,,,,,,,,,,,,53.173,645.0,2083.0
2008-01-01,0.0,63.0,76.0,,,,,,,,,,,,,50.631,596.0,2035.0
2008-02-01,0.0,81.0,94.0,,,,,,,,,,,,,50.094,590.0,2013.0
2008-03-01,0.0,32.0,35.0,,,,,,,,,,,,,81.12,955.0,3260.0
2008-04-01,0.0,0.0,0.0,,,,,,,,,,,,,26.583000000000002,313.0,1068.0
2008-05-01,0.0,0.0,0.0,,,,,,,,,,,,,58.61,690.0,2356.0
2008-06-01,0.0,0.0,0.0,,,,,,,,,,,,,37.828,445.0,1520.0
2008-07-01,0.0,0.0,0.0,,,,,,,,,,,,,83.55,984.0,3358.0
2008-08-01,0.0,0.0,0.0,,,,,,,,,,,,,69.055,813.0,2775.0
2008-09-01,0.0,0.0,0.0,,,,,,,,,,,,,40.347,475.0,1622.0
2008-10-01,0.0,0.0,0.0,,,,,,,,,,,,,29.907,352.0,1202.0
2008-11-01,0.0,0.0,0.0,,,,,,,,,,,,,51.543,607.0,2072.0
2008-12-01,0.0,0.0,0.0,,,,,,,,,,,,,109.8,1293.0,4413.0
2009-01-01,0.0,0.0,0.0,,,,,,,,,,,,,54.403000000000006,640.0,2715.0
2009-02-01,0.0,0.0,0.0,,,,,,,,,,,,,34.339,404.0,1713.0
2009-03-01,0.0,0.0,0.0,,,,,,,,,,,,,31.118000000000002,366.0,1553.0
2009-04-01,0.0,0.0,0.0,,,,,,,,,,,,,31.213,367.0,1557.0
2009-05-01,0.0,0.0,0.0,,,,,,,,,,,,,24.623,290.0,1229.0
2009-06-01,0.0,0.0,0.0,,,,,,,,,,,,,55.24,650.0,2756.0
2009-07-01,0.0,0.0,0.0,,,,,,,,,,,,,24.397000000000002,287.0,1217.0
2009-08-01,0.0,0.0,0.0,,,,,,,,,,,,,50.165,591.0,2503.0
2009-09-01,0.0,0.0,0.0,,,,,,,,,,,,,66.321,781.0,3309.0
2009-10-01,0.0,117.0,2159.0,,,,,,,,,,,,,40.356,475.0,2014.0
2009-11-01,0.0,57.0,1065.0,,,,,,,,,,,,,27.905,329.0,1392.0
2009-12-01,0.0,157.0,2913.0,,,,,,,,,,,,,55.677,655.0,2778.0
2010-01-01,0.0,0.0,0.0,,,,,,,,,,,,,27.678,569.0,2991.0
2010-02-01,0.0,0.0,0.0,,,,,,,,,,,,,19.871000000000002,409.0,2148.0
2010-03-01,0.0,0.0,0.0,,,,,,,,,,,,,10.695,220.0,1156.0
2010-04-01,0.0,0.0,0.0,,,,,,,,,,,,,13.767000000000001,283.0,1488.0
2010-05-01,0.0,0.0,0.0,,,,,,,,,,,,,39.748000000000005,817.0,4296.0
2010-06-01,0.0,0.0,0.0,,,,,,,,,,,,,28.519000000000002,586.0,3082.0
2010-07-01,0.0,0.0,0.0,,,,,,,,,,,,,63.545,1307.0,6868.0
2010-08-01,0.0,0.0,0.0,,,,,,,,,,,,,66.703,1372.0,7210.0
2010-09-01,0.0,0.0,0.0,,,,,,,,,,,,,14.772,304.0,1597.0
2010-10-01,0.0,0.0,0.0,,,,,,,,,,,,,26.109,537.0,2822.0
2010-11-01,0.0,0.0,0.0,,,,,,,,,,,,,20.575,423.0,2224.0
2010-12-01,0.0,22.0,35.0,,,,,,,,,,,,,19.208000000000002,395.0,2076.0
2011-01-01,0.0,3.0,6.0,,,,,,,,,,,,,8.983,141.0,527.0
2011-02-01,0.0,3.0,6.0,,,,,,,,,,,,,5.992,94.0,351.0
2011-03-01,0.0,5.0,6.0,,,,,,,,,,,,,7.457,117.0,436.0
2011-04-01,0.0,5.0,6.0,,,,,,,,,,,,,5.502,86.0,322.0
2011-05-01,0.0,0.0,0.0,,,,,,,,,,,,,3.071,48.0,180.0
2011-06-01,0.0,0.0,0.0,,,,,,,,,,,,,6.741,106.0,394.0
2011-07-01,0.0,3.0,6.0,,,,,,,,,,,,,26.872,421.0,1573.0
2011-08-01,0.0,0.0,0.0,,,,,,,,,,,,,15.094,237.0,883.0
2011-09-01,0.0,0.0,0.0,,,,,,,,,,,,,4.958,78.0,290.0
2011-10-01,0.0,0.0,0.0,,,,,,,,,,,,,5.218,82.0,305.0
2011-11-01,0.0,4.0,6.0,,,,,,,,,,,,,3.135,49.0,183.0
2011-12-01,0.0,25.0,29.0,,,,,,,,,,,,,7.784,122.0,455.0
2012-01-01,0.039,0.0,0.0,,,,,,,,,,,,,3.84,64.0,181.0
2012-02-01,0.396,4.0,6.0,,,,,,,,,,,,,7.517,124.0,356.0
2012-03-01,0.094,0.0,0.0,,,,,,,,,,,,,8.03,133.0,380.0
2012-04-01,0.099,0.0,0.0,,,,,,,,,,,,,9.686,160.0,459.0
2012-05-01,1.252,14.0,23.0,,,,,,,,,,,,,12.069,200.0,572.0
2012-06-01,0.643,7.0,12.0,,,,,,,,,,,,,13.487,223.0,639.0
2012-07-01,1.564,18.0,23.0,,,,,,,,,,,,,22.852,378.0,1083.0
2012-08-01,0.152,0.0,0.0,,,,,,,,,,,,,10.949,181.0,519.0
2012-09-01,0.106,0.0,0.0,,,,,,,,,,,,,4.829,80.0,229.0
2012-10-01,0.334,4.0,6.0,,,,,,,,,,,,,3.767,62.0,178.0
2012-11-01,0.139,0.0,0.0,,,,,,,,,,,,,6.184,102.0,293.0
2012-12-01,0.082,0.0,0.0,,,,,,,,,,,,,9.708,161.0,460.0
2013-01-01,1.243,6.0,6.0,,,,,,,,,,,,,8.517,103.0,379.0
2013-02-01,0.125,0.0,0.0,,,,,,,,,,,,,40.527,492.0,1761.0
2013-03-01,0.332,4.0,6.0,,,,,,,,,,,,,14.287,173.0,582.0
2013-04-01,0.358,4.0,6.0,,,,,,,,,,,,,19.517,237.0,859.0
2013-05-01,1.244,14.0,17.0,,,,,,,,,,,,,2.478,30.0,89.0
2013-06-01,0.945,11.0,12.0,,,,,,,,,,,,,4.241,51.0,129.0
2013-07-01,1.085,12.0,12.0,,,,,,,,,,,,,2.405,29.0,84.0
2013-08-01,0.338,4.0,6.0,,,,,,,,,,,,,11.025,134.0,271.0
2013-09-01,2.708,31.0,35.0,,,,,,,,,,,,,2.298,28.0,65.0
2013-10-01,1.671,17.0,17.0,,,,,,,,,,,,,2.534,31.0,79.0
2013-11-01,1.256,14.0,17.0,,,,,,,,,,,,,2.002,24.0,58.0
2013-12-01,3.395,38.0,41.0,,,,,,,,,,,,,68.91,836.0,2867.0
2014-01-01,2.387,23.0,23.0,,,,,,,,,,,,,344.738,4184.0,12286.0
2014-02-01,1.342,15.0,17.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-03-01,2.563,29.0,35.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-04-01,0.363,4.0,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-05-01,0.347,4.0,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-06-01,0.41,5.0,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-07-01,0.327,4.0,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-08-01,0.164,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-09-01,0.101,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-10-01,0.278,3.0,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-11-01,0.191,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-12-01,0.347,4.0,6.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-01-01,1.165,12.0,12.0,,,,,,,,,,,,,24.956,303.0,822.0
2015-02-01,3.893,41.0,41.0,,,,,,,,,,,,,34.379,417.0,1135.0
2015-03-01,5.994,58.0,58.0,,,,,,,,,,,,,47.171,573.0,1556.0
2015-04-01,0.816,6.0,6.0,,,,,,,,,,,,,44.831,544.0,1479.0
2015-05-01,3.739,35.0,35.0,,,,,,,,,,,,,20.8,252.0,687.0
2015-06-01,1.561,17.0,17.0,,,,,,,,,,,,,45.237,549.0,1493.0
2015-07-01,1.64,17.0,17.0,,,,,,,,,,,,,70.58,857.0,2329.0
2015-08-01,1.885,17.0,17.0,,,,,,,,,,,,,59.954,728.0,1979.0
2015-09-01,2.793,29.0,29.0,,,,,,,,,,,,,60.818,738.0,2007.0
2015-10-01,1.385,12.0,12.0,,,,,,,,,,,,,33.236,403.0,1097.0
2015-11-01,1.817,17.0,17.0,,,,,,,,,,,,,30.299,368.0,1000.0
2015-12-01,1.732,17.0,17.0,,,,,,,,,,,,,61.29,744.0,2022.0
2016-01-01,1.4,8.0,23.0,,,,,,,,,,,,,34.527,190.0,1173.0
2016-02-01,1.148,6.0,17.0,,,,,,,,,,,,,33.806,186.0,1148.0
2016-03-01,0.509,3.0,6.0,,,,,,,,,,,,,33.118,182.0,1126.0
2016-04-01,0.924,5.0,17.0,,,,,,,,,,,,,36.971,203.0,1256.0
2016-05-01,1.101,6.0,17.0,,,,,,,,,,,,,37.448,206.0,1273.0
2016-06-01,2.394,13.0,41.0,,,,,,,,,,,,,37.184,204.0,1263.0
2016-07-01,3.628,20.0,58.0,,,,,,,,,,,,,48.682,268.0,1654.0
2016-08-01,1.935,11.0,29.0,,,,,,,,,,,,,59.016,324.0,2005.0
2016-09-01,0.691,4.0,12.0,,,,,,,,,,,,,19.658,108.0,668.0
2016-10-01,3.204,17.0,52.0,,,,,,,,,,,,,19.6,108.0,666.0
2016-11-01,1.027,6.0,17.0,,,,,,,,,,,,,21.125,116.0,718.0
2016-12-01,3.039,17.0,46.0,,,,,,,,,,,,,17.345,95.0,589.0
2017-01-01,2.68,15.0,23.0,,,,,,,,,,,,,20.627,113.0,712.0
2017-02-01,0.998,5.0,12.0,,,,,,,,,,,,,9.225,51.0,319.0
2017-03-01,0.35,2.0,6.0,,,,,,,,,,,,,26.679,147.0,922.0
2017-04-01,2.476,13.0,29.0,,,,,,,,,,,,,23.573,130.0,814.0
2017-05-01,1.737,9.0,17.0,,,,,,,,,,,,,18.393,101.0,635.0
2017-06-01,6.624,36.0,70.0,,,,,,,,,,,,,24.53,135.0,848.0
2017-07-01,4.504,25.0,46.0,,,,,,,,,,,,,32.193,177.0,1112.0
2017-08-01,2.288,12.0,23.0,,,,,,,,,,,,,20.13,111.0,696.0
2017-09-01,1.95,11.0,23.0,,,,,,,,,,,,,14.97,82.0,517.0
2017-10-01,4.298,23.0,46.0,,,,,,,,,,,,,12.84,71.0,444.0
2017-11-01,2.079,11.0,23.0,,,,,,,,,,,,,14.08,77.0,486.0
2017-12-01,1.016,6.0,12.0,,,,,,,,,,,,,20.647,113.0,713.0
2018-01-01,0.799,4.0,6.0,,,,,,,,,,,,,35.694,196.0,1286.0
2018-02-01,0.515,3.0,6.0,,,,,,,,,,,,,48.338,266.0,1739.0
2018-03-01,0.57,3.0,6.0,,,,,,,,,,,,,62.848,345.0,2262.0
2018-04-01,0.761,4.0,12.0,,,,,,,,,,,,,57.026,313.0,2053.0
2018-05-01,2.007,11.0,23.0,,,,,,,,,,,,,67.781,373.0,2439.0
2018-06-01,3.075,17.0,35.0,,,,,,,,,,,,,77.175,424.0,2778.0
2018-07-01,0.67,4.0,6.0,,,,,,,,,,,,,106.133,583.0,3820.0
2018-08-01,1.798,10.0,23.0,,,,,,,,,,,,,97.912,538.0,3524.0
2018-09-01,1.447,8.0,17.0,,,,,,,,,,,,,69.901,384.0,2516.0
2018-10-01,2.04,11.0,23.0,,,,,,,,,,,,,30.859,170.0,1110.0
2018-11-01,0.865,5.0,12.0,,,,,,,,,,,,,37.949,209.0,1366.0
2018-12-01,0.453,2.0,6.0,,,,,,,,,,,,,32.319,178.0,1164.0
2019-01-01,0.553,3.0,46.0,,,,,,,,,,,,,14.309,79.0,522.0
2019-02-01,1.768,10.0,162.0,,,,,,,,,,,,,23.412,129.0,855.0
2019-03-01,0.417,2.0,41.0,,,,,,,,,,,,,21.68,119.0,793.0
2019-04-01,1.36,7.0,128.0,,,,,,,,,,,,,24.184,133.0,884.0
2019-05-01,2.3,13.0,215.0,,,,,,,,,,,,,19.874,109.0,726.0
2019-06-01,1.073,6.0,99.0,,,,,,,,,,,,,26.559,146.0,970.0
2019-07-01,0.619,3.0,58.0,,,,,,,,,,,,,34.173,188.0,1249.0
2019-08-01,0.76,4.0,70.0,,,,,,,,,,,,,35.061,193.0,1281.0
2019-09-01,1.427,8.0,133.0,,,,,,,,,,,,,26.91,148.0,984.0
2019-10-01,2.477,13.0,232.0,,,,,,,,,,,,,25.98,143.0,950.0
2019-11-01,1.783,10.0,168.0,,,,,,,,,,,,,22.003,121.0,804.0
2019-12-01,1.143,6.0,104.0,,,,,,,,,,,,,28.945,159.0,1058.0
2020-01-01,0.562,3.0,6.0,,,,,,,,,,,,,53.048,292.0,1991.0
2020-02-01,0.741,4.0,17.0,,,,,,,,,,,,,37.306,205.0,1401.0
2020-03-01,0.067,0.0,0.0,,,,,,,,,,,,,36.192,199.0,1359.0
2020-04-01,0.306,2.0,6.0,,,,,,,,,,,,,32.711,180.0,1228.0
2020-05-01,1.948,11.0,29.0,,,,,,,,,,,,,25.961,143.0,976.0
2020-06-01,1.291,7.0,17.0,,,,,,,,,,,,,38.504,212.0,1446.0
2020-07-01,0.539,3.0,6.0,,,,,,,,,,,,,50.872,280.0,1911.0
2020-08-01,2.277,12.0,35.0,,,,,,,,,,,,,37.92,208.0,1425.0
2020-09-01,0.562,3.0,6.0,,,,,,,,,,,,,23.277,128.0,875.0
2020-10-01,0.692,4.0,12.0,,,,,,,,,,,,,32.526,179.0,1222.0
2020-11-01,0.395,2.0,6.0,,,,,,,,,,,,,25.282,139.0,950.0
2020-12-01,1.4,8.0,23.0,,,,,,,,,,,,,39.929,219.0,1500.0
2021-01-01,0.592,3.0,6.0,,,,,,,,,,,,,20.821,114.0,650.0
2021-02-01,0.516,3.0,6.0,,,,,,,,,,,,,14.4,79.0,448.0
2021-03-01,0.171,0.0,0.0,,,,,,,,,,,,,14.131,78.0,440.0
2021-04-01,1.207,7.0,17.0,,,,,,,,,,,,,13.486,74.0,420.0
2021-05-01,0.269,0.0,0.0,,,,,,,,,,,,,17.606,97.0,549.0
2021-06-01,1.139,6.0,6.0,,,,,,,,,,,,,20.932,115.0,652.0
2021-07-01,0.357,0.0,0.0,,,,,,,,,,,,,26.672,147.0,831.0
2021-08-01,0.325,0.0,0.0,,,,,,,,,,,,,24.192,133.0,754.0
2021-09-01,0.288,0.0,0.0,,,,,,,,,,,,,15.853,87.0,493.0
2021-10-01,0.64,3.0,6.0,,,,,,,,,,,,,22.595,124.0,704.0
2021-11-01,0.544,3.0,6.0,,,,,,,,,,,,,23.002,126.0,717.0
2021-12-01,0.812,4.0,6.0,,,,,,,,,,,,,25.005,137.0,779.0
2022-01-01,0.948,5.0,6.0,,,,,,,,,,,,,27.966,154.0,829.0
2022-02-01,1.515,8.0,12.0,,,,,,,,,,,,,21.238,117.0,630.0
2022-03-01,1.373,7.0,12.0,,,,,,,,,,,,,14.712,81.0,436.0
2022-04-01,0.745,4.0,6.0,,,,,,,,,,,,,16.155,89.0,479.0
2022-05-01,1.192,6.0,12.0,,,,,,,,,,,,,15.101,83.0,448.0
2022-06-01,2.459,13.0,41.0,,,,,,,,,,,,,23.389,129.0,694.0
2022-07-01,0.939,5.0,6.0,,,,,,,,,,,,,32.272,177.0,957.0
2022-08-01,2.625,14.0,23.0,,,,,,,,,,,,,33.362,183.0,990.0
2022-09-01,3.942,21.0,35.0,,,,,,,,,,,,,26.854,148.0,797.0
2022-10-01,3.399,18.0,29.0,,,,,,,,,,,,,18.987,104.0,563.0
2022-11-01,2.173,12.0,17.0,,,,,,,,,,,,,11.217,62.0,333.0
2022-12-01,2.21,12.0,17.0,,,,,,,,,,,,,18.211,100.0,540.0
2023-01-01,1.967,11.0,29.0,,,,,,,,,,,,,23.322,128.0,712.0
2023-02-01,1.369,7.0,17.0,,,,,,,,,,,,,13.255,73.0,406.0
2023-03-01,1.369,7.0,17.0,,,,,,,,,,,,,32.914,181.0,1007.0
2023-04-01,1.59,9.0,17.0,,,,,,,,,,,,,21.82,120.0,668.0
2023-05-01,1.001,5.0,12.0,,,,,,,,,,,,,18.83,103.0,577.0
2023-06-01,2.534,14.0,29.0,,,,,,,,,,,,,45.716,251.0,1400.0
2023-07-01,1.498,8.0,17.0,,,,,,,,,,,,,49.572,272.0,1518.0
2023-08-01,2.329,13.0,29.0,,,,,,,,,,,,,43.766,241.0,1341.0
