measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2004-05-01,26122.378,287169.0,287169.0,294.29200000000003,3152.0,3152.0,,,,,,
2004-06-01,29051.482,319369.0,319369.0,190.44,2040.0,2040.0,,,,,,
2004-07-01,30649.716,336939.0,336939.0,169.05800000000002,1811.0,1811.0,,,,,,
2004-08-01,32606.986,358456.0,358456.0,232.99,2496.0,2496.0,,,,,,
2004-09-01,29540.536,324746.0,324746.0,236.317,2531.0,2531.0,,,,,,
2004-10-01,30285.577,332936.0,332936.0,71.552,766.0,766.0,,,,,,
2004-11-01,32189.063000000002,353862.0,353862.0,116.67,1250.0,1250.0,,,,,,
2004-12-01,33347.756,366599.0,366599.0,142.853,1530.0,1530.0,,,,,,
2005-01-01,38869.652,424824.67,424824.67,88.662,851.32,851.32,0.0,0.0,0.0,,,
2005-02-01,33842.487,369880.41,369880.41,70.93,681.06,681.06,0.0,0.0,0.0,,,
2005-03-01,35111.487,383749.92,383749.92,98.429,945.1,945.1,0.0,0.0,0.0,,,
2005-04-01,31291.242,341996.66,341996.66,93.434,897.14,897.14,0.0,0.0,0.0,,,
2005-05-01,34351.492,375443.58,375443.58,89.345,857.88,857.88,0.0,0.0,0.0,,,
2005-06-01,38260.438,418166.29,418166.29,168.65800000000002,1619.44,1619.44,0.0,0.0,0.0,,,
2005-07-01,40445.332,442046.02,442046.02,222.03,2131.91,2131.91,0.0,0.0,0.0,,,
2005-08-01,40895.325,446964.2,446964.2,220.565,2117.84,2117.84,0.0,0.0,0.0,,,
2005-09-01,37477.156,409605.44,409605.44,133.538,1282.22,1282.22,0.0,0.0,0.0,,,
2005-10-01,35390.155,386795.6,386795.6,94.686,909.17,909.17,0.0,0.0,0.0,,,
2005-11-01,34503.761,377107.79,377107.79,82.985,796.81,796.81,0.0,0.0,0.0,,,
2005-12-01,38533.475,421150.42,421150.42,103.739,996.09,996.09,0.0,0.0,0.0,,,
2006-01-01,31824.112,329180.0,329180.0,83.336,913.0,913.0,,,,,,
2006-02-01,30308.974,313508.0,313508.0,94.20400000000001,1032.0,1032.0,,,,,,
2006-03-01,30970.164,320347.0,320347.0,124.138,1360.0,1360.0,,,,,,
2006-04-01,26348.713,272544.0,272544.0,102.729,1125.0,1125.0,,,,,,
2006-05-01,28158.339,291262.0,291262.0,135.32,1482.0,1482.0,,,,,,
2006-06-01,30505.335,315539.0,315539.0,174.30800000000002,1909.0,1909.0,,,,,,
2006-07-01,34699.763,358925.0,358925.0,311.91700000000003,3417.0,3417.0,,,,,,
2006-08-01,34950.141,361515.0,361515.0,277.166,3036.0,3036.0,,,,,,
2006-09-01,29039.349000000002,300375.0,300375.0,163.035,1786.0,1786.0,,,,,,
2006-10-01,30036.633,310691.0,310691.0,176.59900000000002,1934.0,1934.0,,,,,,
2006-11-01,29698.92,307198.0,307198.0,118.726,1300.0,1300.0,,,,,,
2006-12-01,32151.558,332567.0,332567.0,120.522,1320.0,1320.0,,,,,,
2007-01-01,39082.199,446468.0,446468.0,61.801,706.0,706.0,,,,,,
2007-02-01,39886.641,482588.0,482588.0,37.359,452.0,452.0,,,,,,
2007-03-01,46178.351,518468.0,518468.0,135.649,1523.0,1523.0,,,,,,
2007-04-01,44592.129,492470.0,492470.0,77.87100000000001,860.0,860.0,,,,,,
2007-05-01,36733.274,412210.0,412210.0,58.726000000000006,659.0,659.0,,,,0.0,0.0,0.0
2007-06-01,31004.585,356031.0,356031.0,75.415,866.0,866.0,,,,,,
2007-07-01,35076.476,414709.0,414709.0,35.524,420.0,420.0,,,,,,
2007-08-01,38129.6,438659.0,438659.0,90.4,1040.0,1040.0,,,,0.0,0.0,0.0
2007-09-01,33302.644,381813.0,381813.0,45.356,520.0,520.0,,,,,,
2007-10-01,38531.664000000004,448366.0,448366.0,74.336,865.0,865.0,,,,,,
2007-11-01,35113.734,407625.0,407625.0,82.266,955.0,955.0,,,,,,
2007-12-01,30479.297,375750.0,375750.0,62.703,773.0,773.0,,,,,,
2008-01-01,36635.962,443519.0,443519.0,98.628,1194.0,1194.0,,,,1653.41,20016.0,20016.0
2008-02-01,32694.702,404977.0,404977.0,129.333,1602.0,1602.0,,,,1615.9650000000001,20016.0,20016.0
2008-03-01,29855.317000000003,380996.0,380996.0,219.17600000000002,2797.0,2797.0,,,,1568.506,20016.0,20016.0
2008-04-01,28454.635000000002,339488.0,339488.0,261.842,3124.0,3124.0,,,,1691.5230000000001,20181.0,20181.0
2008-05-01,27841.923000000003,343282.0,343282.0,82.646,1019.0,1019.0,,,,1623.43,20016.0,20016.0
2008-06-01,31860.714,388583.0,388583.0,14.103000000000002,172.0,172.0,,,,1641.183,20016.0,20016.0
2008-07-01,28616.491,363161.0,363161.0,214.25300000000001,2719.0,2719.0,,,,1577.256,20016.0,20016.0
2008-08-01,36292.248,443706.0,443706.0,68.543,838.0,838.0,,,,1637.209,20016.0,20016.0
2008-09-01,34276.16,405018.0,405018.0,62.879000000000005,743.0,743.0,,,,1693.96,20016.0,20016.0
2008-10-01,-2992.212,12925.0,12925.0,0.0,0.0,0.0,,,,-4633.7880000000005,20016.0,20016.0
2008-11-01,29581.749,363513.0,363513.0,168.37,2069.0,2069.0,,,,1628.881,20016.0,20016.0
2008-12-01,32168.920000000002,396226.0,396226.0,91.986,1133.0,1133.0,,,,1625.093,20016.0,20016.0
2009-01-01,31022.905,378341.0,378341.0,81.095,989.0,989.0,,,,,,
2009-02-01,26069.952,319488.0,319488.0,33.048,405.0,405.0,,,,,,
2009-03-01,26113.721,328028.0,328028.0,65.279,820.0,820.0,,,,,,
2009-04-01,22447.242,291983.0,291983.0,19.758000000000003,257.0,257.0,,,,,,
2009-05-01,17040.328,214283.0,214283.0,74.672,939.0,939.0,,,,,,
2009-06-01,22525.764,266717.0,266717.0,168.23600000000002,1992.0,1992.0,,,,,,
2009-07-01,12739.069,147118.0,147118.0,139.931,1616.0,1616.0,,,,,,
2009-08-01,25584.301,311831.0,311831.0,130.699,1593.0,1593.0,,,,,,
2009-09-01,24260.316,293617.0,293617.0,46.684000000000005,565.0,565.0,,,,,,
2009-10-01,24553.152000000002,297406.0,297406.0,175.848,2130.0,2130.0,,,,,,
2009-11-01,23992.205,291568.0,291568.0,35.795,435.0,435.0,,,,,,
2009-12-01,23700.009,283717.0,283717.0,30.991000000000003,371.0,371.0,,,,,,
2010-01-01,23747.105,288720.0,288720.0,64.895,789.0,789.0,,,,,,
2010-02-01,18661.796000000002,242666.0,242666.0,104.20400000000001,1355.0,1355.0,,,,,,
2010-03-01,19437.423000000003,259470.0,259470.0,104.577,1396.0,1396.0,,,,,,
2010-04-01,20035.861,254433.0,254433.0,59.139,751.0,751.0,,,,,,
2010-05-01,22707.017,302148.0,302148.0,65.983,878.0,878.0,,,,,,
2010-06-01,23099.629,307238.0,307238.0,120.37100000000001,1601.0,1601.0,,,,,,
2010-07-01,30295.7,369728.0,369728.0,134.3,1639.0,1639.0,,,,,,
2010-08-01,28430.549,367834.0,367834.0,94.45100000000001,1222.0,1222.0,,,,,,
2010-09-01,22400.602,280870.0,280870.0,91.39800000000001,1146.0,1146.0,,,,,,
2010-10-01,3647.175,35376.0,35376.0,356.82500000000005,3461.0,3461.0,,,,,,
2010-11-01,13721.845000000001,182487.0,182487.0,749.1550000000001,9963.0,9963.0,,,,,,
2010-12-01,22635.999,296718.0,296718.0,120.001,1573.0,1573.0,,,,0.0,0.0,0.0
2011-01-01,27964.037,353445.0,353445.0,128.963,1630.0,1630.0,,,,,,
2011-02-01,22481.548,297811.0,297811.0,158.452,2099.0,2099.0,,,,,,
2011-03-01,23130.675,303720.0,303720.0,243.325,3195.0,3195.0,,,,,,
2011-04-01,20664.505,269362.0,269362.0,130.495,1701.0,1701.0,,,,,,
2011-05-01,16963.688,217493.0,217493.0,218.312,2799.0,2799.0,,,,,,
2011-06-01,26498.226,259899.0,259899.0,50.774,498.0,498.0,,,,,,
2011-07-01,26685.879,331459.0,331459.0,82.121,1020.0,1020.0,,,,,,
2011-08-01,21577.984,273376.0,273376.0,52.016,659.0,659.0,,,,,,
2011-09-01,19606.889,248066.0,248066.0,50.111,634.0,634.0,,,,,,
2011-10-01,20728.482,268251.0,268251.0,80.518,1042.0,1042.0,,,,,,
2011-11-01,20591.954,260097.0,260097.0,91.046,1150.0,1150.0,,,,,,
2011-12-01,13255.516,185703.0,185703.0,654.484,9169.0,9169.0,,,,,,
2012-01-01,21961.457,289727.0,289727.0,129.543,1709.0,1709.0,,,,,,
2012-02-01,20497.905,260700.0,260700.0,125.095,1591.0,1591.0,,,,,,
2012-03-01,21392.482,276031.0,276031.0,100.518,1297.0,1297.0,,,,,,
2012-04-01,19493.544,259758.0,259758.0,135.456,1805.0,1805.0,,,,,,
2012-05-01,23194.432,297235.0,297235.0,169.568,2173.0,2173.0,,,,,,
2012-06-01,26175.378,318729.0,318729.0,93.622,1140.0,1140.0,,,,,,
2012-07-01,31131.934,388391.0,388391.0,116.066,1448.0,1448.0,,,,,,
2012-08-01,11843.716,169170.0,169170.0,95.284,1361.0,1361.0,,,,,,
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2012-10-01,15200.148,190205.0,190205.0,400.852,5016.0,5016.0,,,,,,
2012-11-01,21172.194,281361.0,281361.0,84.806,1127.0,1127.0,,,,,,
2012-12-01,21840.183,272566.0,272566.0,60.817,759.0,759.0,,,,,,
2013-01-01,19647.666,256555.0,256555.0,236.334,3086.0,3086.0,,,,,,
2013-02-01,13862.664,186311.0,186311.0,324.336,4359.0,4359.0,,,,,,
2013-03-01,11169.6,156424.0,156424.0,316.4,4431.0,4431.0,,,,,,
2013-04-01,12235.019,161257.0,161257.0,56.981,751.0,751.0,,,,,,
2013-05-01,999.717,24321.0,24321.0,98.283,2391.0,2391.0,,,,,,
2013-06-01,11257.966,168089.0,168089.0,65.034,971.0,971.0,,,,,,
2013-07-01,3757.314,58759.0,58759.0,2.686,42.0,42.0,,,,,,
2013-08-01,9828.927,140951.0,140951.0,88.073,1263.0,1263.0,,,,,,
2013-09-01,0.0,0.0,0.0,-621.0,218.0,218.0,,,,,,
2013-10-01,6012.686,91025.0,91025.0,369.314,5591.0,5591.0,,,,,,
2013-11-01,10509.679,165801.0,165801.0,295.321,4659.0,4659.0,,,,,,
2013-12-01,23088.82,316894.0,316894.0,89.18,1224.0,1224.0,,,,,,
2014-01-01,24170.503,305912.0,305912.0,647.497,8195.0,8195.0,,,,,,
2014-02-01,18169.698,251573.0,251573.0,669.302,9267.0,9267.0,,,,,,
2014-03-01,22937.687,322081.0,322081.0,183.313,2574.0,2574.0,,,,,,
2014-04-01,20736.337,295728.0,295728.0,48.663,694.0,694.0,,,,,,
2014-05-01,21605.565,319618.0,319618.0,36.435,539.0,539.0,,,,,,
2014-06-01,22597.817,318692.0,318692.0,82.183,1159.0,1159.0,,,,,,
2014-07-01,4492.218,77622.0,77622.0,120.782,2087.0,2087.0,,,,,,
2014-08-01,22969.224,315138.0,315138.0,63.776,875.0,875.0,,,,,,
2014-09-01,251.892,11139.0,11139.0,1.108,49.0,49.0,,,,,,
2014-10-01,0.0,0.0,0.0,-883.0,2905.0,2905.0,,,,,,
2014-11-01,0.0,0.0,0.0,-794.0,8627.0,8627.0,,,,,,
2014-12-01,15827.796,234533.0,234533.0,527.204,7812.0,7812.0,,,,,,
2015-01-01,11783.961,159367.0,159367.0,228.039,3084.0,3084.0,,,,,,
2015-02-01,19720.784,258813.0,258813.0,187.216,2457.0,2457.0,,,,,,
2015-03-01,16712.909,226756.0,226756.0,255.091,3461.0,3461.0,,,,,,
2015-04-01,1501.703,21001.0,21001.0,10.297,144.0,144.0,,,,,,
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-06-01,19145.821,238883.0,238883.0,293.179,3658.0,3658.0,,,,,,
2015-07-01,34736.271,426941.0,426941.0,62.729,771.0,771.0,,,,,,
2015-08-01,21572.883,269888.0,269888.0,146.117,1828.0,1828.0,,,,,,
2015-09-01,28536.287,344844.0,344844.0,52.713,637.0,637.0,,,,,,
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2015-11-01,26903.452,330802.0,330802.0,278.548,3425.0,3425.0,,,,,,
2015-12-01,23237.793,291550.0,291550.0,41.207,517.0,517.0,,,,,,
2016-01-01,17222.942,228420.0,228420.0,237.058,3144.0,3144.0,,,,,,
2016-02-01,23888.162,302076.0,302076.0,154.838,1958.0,1958.0,,,,,,
2016-03-01,13145.197,159131.0,159131.0,31.803,385.0,385.0,,,,,,
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016-05-01,29582.686,346302.0,346302.0,67.314,788.0,788.0,,,,,,
2016-06-01,30312.288,360839.0,360839.0,130.712,1556.0,1556.0,,,,,,
2016-07-01,38157.788,451814.0,451814.0,22.212,263.0,263.0,,,,,,
2016-08-01,39353.737,470289.0,470289.0,23.263,278.0,278.0,,,,,,
2016-09-01,36287.865,434337.0,434337.0,20.135,241.0,241.0,,,,,,
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2016-11-01,25669.092,303135.0,303135.0,72.908,861.0,861.0,,,,,,
2016-12-01,31304.331,383429.0,383429.0,120.669,1478.0,1478.0,,,,,,
2017-01-01,33673.228,399344.0,399344.0,58.772,697.0,697.0,,,,,,
2017-02-01,29851.989,353020.0,353020.0,104.011,1230.0,1230.0,,,,,,
2017-03-01,18591.808,219635.0,219635.0,39.192,463.0,463.0,,,,,,
2017-04-01,-401.755,0.0,0.0,-1.245,0.0,0.0,,,,,,
2017-05-01,19516.781,225888.0,225888.0,121.219,1403.0,1403.0,,,,,,
2017-06-01,36436.233,421085.0,421085.0,20.767,240.0,240.0,,,,,,
2017-07-01,34244.701,408532.0,408532.0,122.299,1459.0,1459.0,,,,,,
2017-08-01,36349.061,450771.0,450771.0,138.939,1723.0,1723.0,,,,,,
2017-09-01,21207.773,260658.0,260658.0,42.227,519.0,519.0,,,,,,
2017-10-01,-399.762,0.0,0.0,-1.238,0.0,0.0,,,,,,
2017-11-01,10792.777,131461.0,131461.0,129.223,1574.0,1574.0,,,,,,
2017-12-01,34031.349,398240.0,398240.0,39.651,464.0,464.0,,,,,,
2018-01-01,35521.724,419817.0,419817.0,18.276,216.0,216.0,,,,,,
2018-02-01,24344.76,296895.0,296895.0,72.24,881.0,881.0,,,,,,
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2018-06-01,32511.599,390864.0,390864.0,367.401,4417.0,4417.0,,,,,,
2018-07-01,28225.904,356227.0,356227.0,77.096,973.0,973.0,,,,,,
2018-08-01,26291.344,329962.0,329962.0,105.656,1326.0,1326.0,,,,,,
2018-09-01,196.045,2322.0,2322.0,15.955,189.0,189.0,,,,,,
2018-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2018-11-01,240.053,4275.0,4275.0,67.947,1210.0,1210.0,,,,,,
2018-12-01,23307.949,322594.0,322594.0,17.051,236.0,236.0,,,,,,
2019-01-01,22757.727,324583.0,324583.0,8.273,118.0,118.0,,,,,,
2019-02-01,20064.048,281037.0,281037.0,95.952,1344.0,1344.0,,,,,,
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-06-01,24079.926,320152.0,320152.0,105.074,1397.0,1397.0,,,,,,
2019-07-01,13017.496,166530.0,166530.0,89.504,1145.0,1145.0,,,,,,
2019-08-01,28116.19,323400.0,323400.0,79.81,918.0,918.0,,,,,,
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2019-10-01,13158.414,182321.0,182321.0,91.586,1269.0,1269.0,,,,,,
2019-11-01,22600.249,316167.0,316167.0,49.751,696.0,696.0,,,,,,
2019-12-01,22880.302,351795.0,351795.0,54.698,841.0,841.0,,,,,,
2020-01-01,23024.883,372067.0,372067.0,214.117,3460.0,3460.0,,,,,,
2020-02-01,9336.832,160884.0,160884.0,87.168,1502.0,1502.0,,,,,,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
