measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Liquids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed"
2004-01-01,1281.66074,6698.85,208901.62,740.63826,3871.09,120718.79,,,,,,
2004-02-01,1064.1843000000001,5562.16,174209.9,1186.8037000000002,6203.06,194283.04,,,,,,
2004-03-01,1086.89242,5680.85,177317.98,725.22258,3790.51,118314.38,,,,,,
2004-04-01,829.57515,4335.93,135875.78,1001.05785,5232.22,163962.87,,,,,,
2004-05-01,920.18407,4809.52,150189.86,658.83193,3443.51,107532.7,,,,,,
2004-06-01,1079.1678,5640.48,175861.75,604.0262,3157.06,98432.43,,,,,,
2004-07-01,1217.66191,6364.35,198360.62,643.37609,3362.73,104807.81,,,,,,
2004-08-01,1164.36625,6085.78,189995.78,801.55075,4189.46,130793.27,,,,,,
2004-09-01,1021.09589,5336.95,166523.28,643.87611,3365.34,105005.18,,,,,,
2004-10-01,921.78439,4817.88,150565.54,740.46861,3870.2,120949.17,,,,,,
2004-11-01,1009.13956,5274.46,164686.37,707.64244,3698.63,115483.59,,,,,,
2004-12-01,1125.74344,5883.91,184056.58,1042.89856,5450.91,170511.62,,,,,,
2006-01-01,960.4317599999999,5019.88,152258.33,356.55781,1863.62,56525.51,,,,30.76843,160.82,4877.75
2006-02-01,901.4648000000001,4711.68,143156.78,354.90623,1854.99,56360.75,,,,27.508969999999998,143.78,4368.55
2006-03-01,876.9133,4583.36,139795.15,385.69557,2015.91,61486.54,,,,24.60214,128.59,3922.01
2006-04-01,887.00395,4636.1,139928.39,327.69798,1712.78,51695.66,,,,22.60307,118.14,3565.72
2006-05-01,934.54599,4884.58,147162.1,318.46492,1664.52,50148.38,,,,26.353089999999998,137.74,4149.8
2006-06-01,951.96307,4975.62,150543.15,405.65057,2120.21,64149.46,,,,17.84736,93.28,2822.38
2006-07-01,976.74592,5105.15,158090.31,593.54604,3102.28,96067.85,,,,23.12904,120.89,3743.53
2006-08-01,980.01125,5122.22,158021.06,560.92147,2931.76,90445.29,,,,22.82028,119.27,3679.64
2006-09-01,896.65807,4686.56,142709.82,403.07787,2106.77,64152.85,,,,21.49905,112.37,3421.73
2006-10-01,869.35765,4543.86,139721.18,445.16699,2326.75,71546.22,,,,24.39736,127.52,3921.09
2006-11-01,887.70526,4639.76,141652.75,385.65272,2015.69,61539.31,,,,26.990019999999998,141.07,4306.85
2006-12-01,951.03924,4970.79,150981.19,378.77893,1979.76,60132.63,,,,27.82283,145.42,4416.98
2007-01-01,1189.525,6226.0,119971.0,781.533,4085.0,78820.0,6.873,36.0,693.0,,,
2007-02-01,1317.2640000000001,6883.0,132860.0,714.231,3733.0,72032.0,6.363,32.0,644.0,,,
2007-03-01,1327.2340000000002,6931.0,133857.0,624.0160000000001,3262.0,62934.0,6.9190000000000005,36.0,698.0,,,
2007-04-01,1066.8010000000002,5569.0,107592.0,838.05,4380.0,84519.0,6.517,36.0,657.0,,,
2007-05-01,1317.1190000000001,6883.0,132836.0,572.697,2994.0,57758.0,6.654,36.0,671.0,,,
2007-06-01,1292.477,6761.0,130355.0,633.648,3312.0,63906.0,6.986000000000001,36.0,707.0,,,
2007-07-01,1409.457,7369.0,142150.0,802.7370000000001,4196.0,80959.0,7.446000000000001,41.0,752.0,,,
2007-08-01,1446.29,7564.0,145871.0,2069.9,10819.0,208756.0,7.619000000000001,41.0,770.0,,,
2007-09-01,1341.7440000000001,7004.0,135316.0,949.32,4962.0,95742.0,6.922000000000001,36.0,698.0,,,
2007-10-01,1252.669,6542.0,126342.0,535.783,2801.0,54035.0,6.587000000000001,36.0,666.0,,,
2007-11-01,1170.7910000000002,6129.0,118074.0,537.465,2809.0,54205.0,6.433000000000001,32.0,648.0,,,
2007-12-01,1314.788,6883.0,132593.0,648.182,3387.0,65371.0,7.45,41.0,752.0,,,
2008-01-01,1586.576,8044.0,141988.0,1347.929,6834.0,120625.0,12.467,63.0,1160.0,,,
2008-02-01,1394.3210000000001,7069.0,124777.0,1374.803,6970.0,123030.0,10.703000000000001,54.0,957.0,,,
2008-03-01,1387.661,7035.0,124193.0,1233.123,6252.0,110352.0,12.432,63.0,1102.0,,,
2008-04-01,1114.557,5651.0,99742.0,1024.199,5193.0,91654.0,13.006,66.0,1160.0,,,
2008-05-01,1235.891,6266.0,110588.0,619.167,3139.0,55409.0,12.919,65.0,1160.0,,,
2008-06-01,1404.5910000000001,7121.0,125705.0,1306.1000000000001,6622.0,116882.0,12.681000000000001,64.0,1131.0,,,
2008-07-01,1522.385,7718.0,136233.0,647.789,3284.0,57970.0,13.345,68.0,1189.0,,,
2008-08-01,1439.3790000000001,7297.0,128808.0,1110.961,5632.0,99419.0,12.987,66.0,1160.0,,,
2008-09-01,1115.9850000000001,5658.0,99874.0,1056.835,5358.0,94575.0,12.641,64.0,1131.0,,,
2008-10-01,1083.891,5495.0,96984.0,378.96700000000004,1921.0,33914.0,10.728,54.0,957.0,,,
2008-11-01,1092.3890000000001,5538.0,97753.0,881.927,4471.0,78923.0,9.229000000000001,47.0,812.0,,,
2008-12-01,1252.116,6348.0,112047.0,1055.222,5350.0,94431.0,10.097000000000001,51.0,899.0,,,
2009-01-01,514.441,2608.0,75396.0,686.017,3478.0,100561.0,3.06,16.0,477.0,,,
2009-02-01,401.46200000000005,2035.0,58861.0,975.7180000000001,4947.0,143031.0,3.061,16.0,449.0,,,
2009-03-01,394.153,1998.0,57767.0,527.018,2672.0,77256.0,3.834,19.0,561.0,,,
2009-04-01,387.321,1964.0,56780.0,590.554,2994.0,86570.0,3.9370000000000003,20.0,589.0,,,
2009-05-01,371.575,1884.0,54460.0,533.038,2702.0,78139.0,3.4970000000000003,18.0,505.0,,,
2009-06-01,396.899,2012.0,58194.0,481.43100000000004,2441.0,70573.0,3.762,19.0,561.0,,,
2009-07-01,381.207,1933.0,55874.0,261.142,1324.0,38281.0,3.882,20.0,561.0,,,
2009-08-01,460.821,2336.0,67555.0,649.0160000000001,3290.0,95139.0,3.984,20.0,589.0,,,
2009-09-01,292.84,1485.0,42939.0,659.181,3342.0,96629.0,3.6660000000000004,19.0,533.0,,,
2009-10-01,361.511,1833.0,52993.0,703.063,3564.0,103062.0,3.498,18.0,505.0,,,
2009-11-01,335.154,1699.0,49126.0,773.572,3922.0,113398.0,3.51,18.0,505.0,,,
2009-12-01,489.716,2483.0,71796.0,612.729,3106.0,89819.0,3.73,19.0,533.0,,,
2010-01-01,388.61600000000004,1970.0,59920.0,498.891,2529.0,76885.0,39.176,199.0,6033.0,,,
2010-02-01,342.529,1737.0,52789.0,324.115,1643.0,49950.0,34.241,174.0,5269.0,,,
2010-03-01,307.305,1558.0,47346.0,123.414,626.0,19019.0,36.5,185.0,5631.0,,,
2010-04-01,320.44,1625.0,49384.0,346.074,1755.0,53334.0,37.001000000000005,188.0,5711.0,,,
2010-05-01,321.087,1628.0,49491.0,400.648,2031.0,61745.0,38.423,195.0,5912.0,,,
2010-06-01,323.093,1638.0,49786.0,545.414,2765.0,84055.0,38.098,193.0,5872.0,,,
2010-07-01,393.961,1997.0,60725.0,1555.356,7885.0,239701.0,40.409,205.0,6234.0,,,
2010-08-01,355.80400000000003,1804.0,54826.0,2049.7560000000003,10392.0,315895.0,39.921,202.0,6154.0,,,
2010-09-01,246.15800000000002,1248.0,37936.0,1068.635,5418.0,164691.0,38.309000000000005,194.0,5912.0,,,
2010-10-01,215.955,1095.0,33271.0,110.165,559.0,16978.0,38.191,194.0,5892.0,,,
2010-11-01,228.61200000000002,1159.0,35228.0,313.136,1588.0,48259.0,38.67,196.0,5953.0,,,
2010-12-01,359.62,1823.0,55416.0,1148.854,5825.0,177054.0,38.423,195.0,5912.0,,,
2011-01-01,256.622,1301.0,57013.0,224.35,1137.0,49850.0,3.478,18.0,806.0,,,
2011-02-01,218.165,1106.0,48467.0,103.437,524.0,22983.0,3.267,17.0,733.0,,,
2011-03-01,227.278,1152.0,50505.0,117.395,595.0,26085.0,3.707,19.0,831.0,,,
2011-04-01,210.866,1069.0,46854.0,119.115,604.0,26466.0,3.661,19.0,806.0,,,
2011-05-01,200.83,1018.0,44631.0,892.806,4526.0,198375.0,3.677,19.0,806.0,,,
2011-06-01,255.857,1297.0,56854.0,966.305,4899.0,214707.0,3.663,19.0,806.0,,,
2011-07-01,292.452,1483.0,64976.0,1441.589,7309.0,320312.0,3.875,20.0,855.0,,,
2011-08-01,266.493,1351.0,59209.0,811.0,4112.0,180199.0,3.82,19.0,855.0,,,
2011-09-01,243.154,1233.0,54023.0,982.74,4982.0,218358.0,3.562,18.0,782.0,,,
2011-10-01,167.688,850.0,37250.0,26.071,132.0,5792.0,3.5,18.0,782.0,,,
2011-11-01,184.385,935.0,40980.0,73.611,373.0,16356.0,3.558,18.0,782.0,,,
2011-12-01,224.76,1140.0,49949.0,137.491,697.0,30549.0,3.772,19.0,831.0,,,
2012-01-01,0.0,0.0,0.0,1184.894,6007.0,164687.0,0.0,0.0,0.0,,,
2012-02-01,0.0,0.0,0.0,884.425,4484.0,122925.0,0.0,0.0,0.0,,,
2012-03-01,0.0,0.0,0.0,773.001,3919.0,107438.0,0.0,0.0,0.0,,,
2012-04-01,0.0,0.0,0.0,1190.823,6037.0,165510.0,0.0,0.0,0.0,,,
2012-05-01,0.0,0.0,0.0,1765.917,8953.0,245442.0,0.0,0.0,0.0,,,
2012-06-01,0.0,0.0,0.0,1265.065,6414.0,175830.0,0.0,0.0,0.0,,,
2012-07-01,0.0,0.0,0.0,3399.163,17233.0,472443.0,0.0,0.0,0.0,,,
2012-08-01,0.0,0.0,0.0,1747.811,8861.0,242925.0,0.0,0.0,0.0,,,
2012-09-01,0.0,0.0,0.0,858.596,4353.0,119334.0,0.0,0.0,0.0,,,
2012-10-01,0.0,0.0,0.0,1065.072,5400.0,148032.0,0.0,0.0,0.0,,,
2012-11-01,0.0,0.0,0.0,795.047,4031.0,110502.0,0.0,0.0,0.0,,,
2012-12-01,0.0,0.0,0.0,346.186,1755.0,48116.0,0.0,0.0,0.0,,,
