measured_on,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2009-10-01,4991.876,48720.71,48720.71,,,
2009-11-01,8583.618,83776.11,83776.11,,,
2009-12-01,9568.612000000001,93389.65,93389.65,,,
2010-01-01,6238.002,60858.0,60858.0,,,
2010-02-01,4939.214,48187.0,48187.0,,,
2010-03-01,6982.237,68119.0,68119.0,,,
2010-04-01,6839.835,66729.0,66729.0,,,
2010-05-01,7450.067,72683.0,72683.0,,,
2010-06-01,6884.814,67168.0,67168.0,,,
2010-07-01,6273.027,61200.0,61200.0,,,
2010-08-01,6884.441000000001,67165.0,67165.0,,,
2010-09-01,6471.108,63132.0,63132.0,,,
2010-10-01,6940.618,67713.0,67713.0,,,
2010-11-01,6470.362,63125.0,63125.0,,,
2010-12-01,7405.275000000001,72246.0,72246.0,,,
2011-01-01,6390.125,62086.0,62086.0,,,
2011-02-01,5854.064,56878.0,56878.0,,,
2011-03-01,6289.266,61107.0,61107.0,,,
2011-04-01,6070.979,58986.0,58986.0,,,
2011-05-01,6144.287,59698.0,59698.0,,,
2011-06-01,5699.427,55376.0,55376.0,,,
2011-07-01,5656.149,54955.0,54955.0,,,
2011-08-01,5675.624,55144.0,55144.0,,,
2011-09-01,5397.118,52438.0,52438.0,,,
2011-10-01,5414.851,52611.0,52611.0,,,
2011-11-01,5949.802,57808.0,57808.0,,,
2011-12-01,6247.308,60699.0,60699.0,,,
2012-01-01,5189.622,49384.0,49384.0,,,
2012-02-01,4902.741,46654.0,46654.0,,,
2012-03-01,5160.384,49106.0,49106.0,,,
2012-04-01,4876.481,46405.0,46405.0,,,
2012-05-01,5074.202,48286.0,48286.0,,,
2012-06-01,5700.214,54243.0,54243.0,,,
2012-07-01,5735.499,54579.0,54579.0,,,
2012-08-01,5742.538,54646.0,54646.0,,,
2012-09-01,5860.801,55771.0,55771.0,,,
2012-10-01,6017.643,57264.0,57264.0,,,
2012-11-01,6298.387,59935.0,59935.0,,,
2012-12-01,6395.488,60859.0,60859.0,,,
2013-01-01,5039.115,48078.0,48078.0,,,
2013-02-01,4609.604,43980.0,43980.0,,,
2013-03-01,4954.466,47271.0,47271.0,,,
2013-04-01,4703.67,44878.0,44878.0,,,
2013-05-01,4659.904,44460.0,44460.0,,,
2013-06-01,4340.645,41414.0,41414.0,,,
2013-07-01,4209.55,40163.0,40163.0,,,
2013-08-01,4277.645,40813.0,40813.0,,,
2013-09-01,4290.58,40936.0,40936.0,,,
2013-10-01,4811.207,45904.0,45904.0,,,
2013-11-01,4816.87,45958.0,45958.0,,,
2013-12-01,5157.744,49210.0,49210.0,,,
2014-01-01,4568.319,43445.0,43445.0,,,
2014-02-01,3840.579,36524.0,36524.0,,,
2014-03-01,4251.058,40428.0,40428.0,,,
2014-04-01,3891.339,37007.0,37007.0,,,
2014-05-01,3881.792,36916.0,36916.0,,,
2014-06-01,3585.505,34098.0,34098.0,,,
2014-07-01,3434.441,32662.0,32662.0,,,
2014-08-01,3730.525,35477.0,35477.0,,,
2014-09-01,3740.352,35571.0,35571.0,,,
2014-10-01,3765.288,35808.0,35808.0,,,
2014-11-01,4211.064,40047.0,40047.0,,,
2014-12-01,4375.738,41613.0,41613.0,,,
2015-01-01,3242.198,30214.0,30214.0,,,
2015-02-01,3304.954,30799.0,30799.0,,,
2015-03-01,3744.447,34895.0,34895.0,,,
2015-04-01,3626.015,33791.0,33791.0,,,
2015-05-01,3635.817,33882.0,33882.0,,,
2015-06-01,3034.048,28274.0,28274.0,,,
2015-07-01,3401.885,31702.0,31702.0,,,
2015-08-01,3277.783,30546.0,30546.0,,,
2015-09-01,3580.93,33371.0,33371.0,,,
2015-10-01,3768.407,35118.0,35118.0,,,
2015-11-01,4379.997,40817.0,40817.0,,,
2015-12-01,4487.519,41819.0,41819.0,,,
2016-01-01,3587.59,33121.0,33121.0,,,
2016-02-01,3302.776,30491.0,30491.0,,,
2016-03-01,3411.99,31499.0,31499.0,,,
2016-04-01,3251.444,30017.0,30017.0,,,
2016-05-01,3311.486,30572.0,30572.0,,,
2016-06-01,2851.277,26323.0,26323.0,,,
2016-07-01,2779.862,25664.0,25664.0,,,
2016-08-01,2800.744,25856.0,25856.0,,,
2016-09-01,3003.511,27728.0,27728.0,,,
2016-10-01,3226.836,29790.0,29790.0,,,
2016-11-01,3403.339,31420.0,31420.0,,,
2016-12-01,3668.145,33864.0,33864.0,,,
2017-01-01,3247.841,29922.0,29922.0,,,
2017-02-01,2860.963,26358.0,26358.0,,,
2017-03-01,3199.89,29481.0,29481.0,,,
2017-04-01,3100.133,28562.0,28562.0,,,
2017-05-01,2996.783,27609.0,27609.0,,,
2017-06-01,2940.619,27092.0,27092.0,,,
2017-07-01,3163.041,29141.0,29141.0,,,
2017-08-01,3142.089,28948.0,28948.0,,,
2017-09-01,3072.81,28310.0,28310.0,,,
2017-10-01,2798.64,25784.0,25784.0,,,
2017-11-01,3006.818,27702.0,27702.0,,,
2017-12-01,3126.373,28803.0,28803.0,,,
2018-01-01,2639.214,24027.0,24027.0,,,
2018-02-01,2508.831,22840.0,22840.0,,,
2018-03-01,2688.892,24480.0,24480.0,,,
2018-04-01,2339.001,21294.0,21294.0,,,
2018-05-01,2705.916,24635.0,24635.0,,,
2018-06-01,2524.73,22985.0,22985.0,,,
2018-07-01,2675.794,24360.0,24360.0,,,
2018-08-01,2670.732,24314.0,24314.0,,,
2018-09-01,2598.214,23654.0,23654.0,,,
2018-10-01,2501.175,22771.0,22771.0,,,
2018-11-01,2613.488,23793.0,23793.0,,,
2018-12-01,2772.013,25236.0,25236.0,,,
2019-01-01,3029.947,26982.0,26982.0,,,
2019-02-01,2822.333,25133.0,25133.0,,,
2019-03-01,3109.269,27688.0,27688.0,,,
2019-04-01,2749.327,24483.0,24483.0,,,
2019-05-01,2961.201,26369.0,26369.0,,,
2019-06-01,2874.901,25601.0,25601.0,,,
2019-07-01,2973.526,26479.0,26479.0,,,
2019-08-01,3002.363,26736.0,26736.0,,,
2019-09-01,2943.986,26216.0,26216.0,,,
2019-10-01,2511.872,22368.0,22368.0,,,
2019-11-01,2293.732,20426.0,20426.0,,,
2019-12-01,2701.543,24057.0,24057.0,,,
2020-01-01,2667.366,23385.0,23385.0,,,
2020-02-01,2839.569,24895.0,24895.0,,,
2020-03-01,2965.668,26000.0,26000.0,,,
2020-04-01,2802.825,24572.0,24572.0,,,
2020-05-01,2676.766,23467.0,23467.0,,,
2020-06-01,2464.003,21602.0,21602.0,,,
2020-07-01,2327.101,20402.0,20402.0,,,
2020-08-01,2264.002,19849.0,19849.0,,,
2020-09-01,2443.702,21424.0,21424.0,,,
2020-10-01,2712.738,23783.0,23783.0,,,
2020-11-01,2894.16,25373.0,25373.0,,,
2020-12-01,3033.1,26591.0,26591.0,,,
2021-01-01,3201.176,28311.0,28311.0,,,
2021-02-01,2804.823,24806.0,24806.0,,,
2021-03-01,2490.423,22025.0,22025.0,,,
2021-04-01,2856.147,25260.0,25260.0,,,
2021-05-01,3158.846,27937.0,27937.0,,,
2021-06-01,2740.111,24234.0,24234.0,,,
2021-07-01,2708.754,23956.0,23956.0,,,
2021-08-01,2750.938,24329.0,24329.0,,,
2021-09-01,2853.108,25233.0,25233.0,,,
2021-10-01,3120.056,27594.0,27594.0,,,
2021-11-01,3208.484,28376.0,28376.0,,,
2021-12-01,3593.134,31778.0,31778.0,,,
2022-01-01,3591.585,12254.0,12254.0,,,
2022-02-01,3148.155,10742.0,10742.0,,,
2022-03-01,2834.267,9671.0,9671.0,,,
2022-04-01,2626.915,8963.0,8963.0,,,
2022-05-01,2837.034,9680.0,9680.0,,,
2022-06-01,2780.121,9486.0,9486.0,,,
2022-07-01,2673.441,9122.0,9122.0,0.0,0.0,0.0
2022-08-01,2824.252,9636.0,9636.0,0.0,0.0,0.0
2022-09-01,2896.301,9882.0,9882.0,0.0,0.0,0.0
2022-10-01,2518.974,8595.0,8595.0,0.0,0.0,0.0
2022-11-01,3583.448,12227.0,12227.0,0.0,0.0,0.0
2022-12-01,3767.507,12855.0,12855.0,0.0,0.0,0.0
2023-01-01,4218.0,14392.0,14392.0,0.0,0.0,0.0
2023-02-01,4041.0,13788.0,13788.0,0.0,0.0,0.0
2023-03-01,4258.0,14528.0,14528.0,0.0,0.0,0.0
2023-04-01,3487.0,11898.0,11898.0,0.0,0.0,0.0
2023-05-01,3259.0,11120.0,11120.0,0.0,0.0,0.0
2023-06-01,2123.0,7244.0,7244.0,0.0,0.0,0.0
2023-07-01,2117.0,7223.0,7223.0,0.0,0.0,0.0
2023-08-01,2746.0,9369.0,9369.0,0.0,0.0,0.0
2023-09-01,2807.0,9577.0,9577.0,0.0,0.0,0.0
2023-10-01,2745.0,9366.0,9366.0,0.0,0.0,0.0
2023-11-01,3046.0,10393.0,10393.0,0.0,0.0,0.0
2023-12-01,3250.0,11089.0,11089.0,0.0,0.0,0.0
2024-01-01,3567.0,12171.0,12171.0,0.0,0.0,0.0
2024-02-01,3942.0,13450.0,13450.0,0.0,0.0,0.0
2024-03-01,4249.0,14498.0,14498.0,0.0,0.0,0.0
2024-04-01,3852.0,13143.0,13143.0,0.0,0.0,0.0
2024-05-01,3295.0,11243.0,11243.0,0.0,0.0,0.0
2024-06-01,2359.0,8049.0,8049.0,0.0,0.0,0.0
2024-07-01,1988.0,6783.0,6783.0,0.0,0.0,0.0
2024-08-01,2248.0,7670.0,7670.0,0.0,0.0,0.0
2024-09-01,2167.0,7394.0,7394.0,0.0,0.0,0.0
2024-10-01,3059.0,10437.0,10437.0,0.0,0.0,0.0
2024-11-01,3328.0,11355.0,11355.0,0.0,0.0,0.0
2024-12-01,2619.0,8936.0,8936.0,0.0,0.0,0.0
