measured_on,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2016-01-01,1169.598,13160.0,13160.0,,,
2016-02-01,928.223,10443.0,10443.0,,,
2016-03-01,721.908,8122.0,8122.0,,,
2016-04-01,690.38,7767.0,7767.0,,,
2016-05-01,745.228,8384.0,8384.0,,,
2016-06-01,1133.737,12756.0,12756.0,,,
2016-07-01,1337.261,15045.0,15045.0,,,
2016-08-01,1479.059,16641.0,16641.0,,,
2016-09-01,1224.431,13776.0,13776.0,,,
2016-10-01,1207.812,13589.0,13589.0,,,
2016-11-01,928.704,10448.0,10448.0,,,
2016-12-01,1051.659,11832.0,11832.0,,,
2017-01-01,1095.213,11966.0,11966.0,,,
2017-02-01,835.954,9133.0,9133.0,,,
2017-03-01,692.283,7563.0,7563.0,,,
2017-04-01,618.418,6757.0,6757.0,,,
2017-05-01,767.206,8382.0,8382.0,,,
2017-06-01,1009.375,11027.0,11027.0,,,
2017-07-01,1376.456,15038.0,15038.0,,,
2017-08-01,1553.827,16975.0,16975.0,,,
2017-09-01,1278.51,13968.0,13968.0,,,
2017-10-01,1210.834,13228.0,13228.0,,,
2017-11-01,1052.309,11497.0,11497.0,,,
2017-12-01,1115.615,12188.0,12188.0,,,
2018-01-01,908.18,10039.0,10039.0,0.0,0.0,0.0
2018-02-01,797.405,8816.0,8816.0,0.0,0.0,0.0
2018-03-01,829.33,9168.0,9168.0,0.0,0.0,0.0
2018-04-01,624.14,6900.0,6900.0,0.0,0.0,0.0
2018-05-01,569.752,6298.0,6298.0,0.0,0.0,0.0
2018-06-01,779.396,8616.0,8616.0,0.0,0.0,0.0
2018-07-01,1360.043,15035.0,15035.0,0.0,0.0,0.0
2018-08-01,1258.161,13909.0,13909.0,0.0,0.0,0.0
2018-09-01,1012.57,11194.0,11194.0,0.0,0.0,0.0
2018-10-01,1131.823,12512.0,12512.0,0.0,0.0,0.0
2018-11-01,1011.805,11186.0,11186.0,0.0,0.0,0.0
2018-12-01,1019.395,11269.0,11269.0,0.0,0.0,0.0
2019-01-01,1307.723,14511.0,14511.0,65.4,582.0,582.0
2019-02-01,1212.537,13453.0,13453.0,76.311,680.0,680.0
2019-03-01,1057.391,11732.0,11732.0,115.917,1032.0,1032.0
2019-04-01,741.969,8232.0,8232.0,134.82,1201.0,1201.0
2019-05-01,639.365,7094.0,7094.0,140.369,1250.0,1250.0
2019-06-01,854.945,9485.0,9485.0,169.698,1511.0,1511.0
2019-07-01,1347.739,14954.0,14954.0,167.47,1491.0,1491.0
2019-08-01,1583.081,17565.0,17565.0,164.017,1461.0,1461.0
2019-09-01,1392.994,15455.0,15455.0,134.132,1194.0,1194.0
2019-10-01,1426.727,15830.0,15830.0,123.245,1097.0,1097.0
2019-11-01,1399.246,15525.0,15525.0,78.819,702.0,702.0
2019-12-01,1451.283,16102.0,16102.0,50.802,452.0,452.0
2020-01-01,1405.964,15666.0,15666.0,60.475,530.0,530.0
2020-02-01,1241.598,13834.0,13834.0,81.976,719.0,719.0
2020-03-01,1378.257,15357.0,15357.0,80.219,703.0,703.0
2020-04-01,974.704,10860.0,10860.0,101.098,886.0,886.0
2020-05-01,916.486,10211.0,10211.0,132.312,1160.0,1160.0
2020-06-01,1289.23,14365.0,14365.0,131.756,1155.0,1155.0
2020-07-01,1803.497,20095.0,20095.0,148.821,1305.0,1305.0
2020-08-01,2242.774,24990.0,24990.0,123.294,1081.0,1081.0
2020-09-01,1953.107,21763.0,21763.0,96.81,849.0,849.0
2020-10-01,2028.35,22601.0,22601.0,89.484,785.0,785.0
2020-11-01,1620.174,18053.0,18053.0,70.744,620.0,620.0
2020-12-01,1795.859,20010.0,20010.0,56.011,491.0,491.0
2021-01-01,805.176,8749.0,8749.0,75.394,667.0,667.0
2021-02-01,682.814,7418.0,7418.0,98.763,873.0,873.0
2021-03-01,734.157,7976.0,7976.0,127.52,1128.0,1128.0
2021-04-01,651.443,7077.0,7077.0,159.621,1412.0,1412.0
2021-05-01,680.842,7397.0,7397.0,173.984,1539.0,1539.0
2021-06-01,931.012,10115.0,10115.0,169.007,1495.0,1495.0
2021-07-01,1284.779,13959.0,13959.0,161.877,1432.0,1432.0
2021-08-01,1173.046,12744.0,12744.0,159.222,1408.0,1408.0
2021-09-01,998.124,10844.0,10844.0,137.291,1214.0,1214.0
2021-10-01,951.519,10338.0,10338.0,114.27,1011.0,1011.0
2021-11-01,874.493,9501.0,9501.0,90.924,804.0,804.0
2021-12-01,902.595,9807.0,9807.0,62.127,549.0,549.0
2022-01-01,968.119,13412.0,14521.0,73.741,252.0,252.0
2022-02-01,803.797,11136.0,12057.0,87.955,300.0,300.0
2022-03-01,743.725,10304.0,11156.0,116.61,398.0,398.0
2022-04-01,761.823,10554.0,11427.0,131.54,449.0,449.0
2022-05-01,699.102,9685.0,10486.0,154.169,526.0,526.0
2022-06-01,950.826,13173.0,14262.0,160.529,548.0,548.0
2022-07-01,1270.208,17598.0,19053.0,154.828,528.0,528.0
2022-08-01,1532.675,21234.0,22990.0,143.756,490.0,490.0
2022-09-01,1404.692,19461.0,21070.0,121.318,414.0,414.0
2022-10-01,1289.994,17872.0,19350.0,111.769,381.0,381.0
2022-11-01,1184.637,16412.0,17770.0,82.858,283.0,283.0
2022-12-01,1309.402,18141.0,19641.0,57.927,198.0,198.0
2023-01-01,1644.98,18542.0,19056.0,53.0,181.0,181.0
2023-02-01,1401.203,15794.0,16233.0,71.0,242.0,242.0
2023-03-01,1346.736,15180.0,15601.0,99.0,338.0,338.0
2023-04-01,1052.082,11859.0,12188.0,133.0,454.0,454.0
2023-05-01,681.428,7681.0,7894.0,168.0,573.0,573.0
2023-06-01,896.444,10104.0,10384.0,138.0,471.0,471.0
2023-07-01,2075.092,23390.0,24039.0,147.0,502.0,502.0
2023-08-01,2093.809,23601.0,24255.0,128.0,437.0,437.0
2023-09-01,1482.056,16705.0,17169.0,106.0,362.0,362.0
2023-10-01,1809.865,20400.0,20967.0,93.0,317.0,317.0
2023-11-01,1700.166,19164.0,19696.0,68.0,232.0,232.0
2023-12-01,1914.139,21576.0,22175.0,44.0,150.0,150.0
2024-01-01,1656.43,18756.0,18890.0,40.0,136.0,136.0
2024-02-01,1123.587,12723.0,12812.0,50.0,171.0,171.0
2024-03-01,804.23,9107.0,9170.0,71.0,242.0,242.0
2024-04-01,684.609,7752.0,7806.0,92.0,314.0,314.0
2024-05-01,615.985,6975.0,7024.0,133.0,454.0,454.0
2024-06-01,947.673,10731.0,10806.0,186.0,635.0,635.0
2024-07-01,1820.679,20616.0,20761.0,187.0,638.0,638.0
2024-08-01,1581.451,17907.0,18033.0,165.0,563.0,563.0
2024-09-01,1392.966,15773.0,15884.0,139.0,474.0,474.0
2024-10-01,1459.407,16525.0,16642.0,110.0,375.0,375.0
2024-11-01,1175.207,13307.0,13400.0,69.0,235.0,235.0
2024-12-01,1289.776,14605.0,14707.0,48.0,164.0,164.0
