measured_on,"Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2008-04-01,4167.926,57709.0,57709.0,0.07400000000000001,1.0,1.0
2008-05-01,4248.0,57609.0,57609.0,0.0,0.0,0.0
2008-06-01,3823.0,52749.0,52749.0,0.0,0.0,0.0
2008-07-01,4050.0,56946.0,56946.0,0.0,0.0,0.0
2008-08-01,4192.0,56227.0,56227.0,0.0,0.0,0.0
2008-09-01,4017.0,53739.0,53739.0,0.0,0.0,0.0
2008-10-01,3958.9210000000003,51293.0,51293.0,0.079,1.0,1.0
2008-11-01,4040.925,55187.0,55187.0,0.075,1.0,1.0
2008-12-01,4140.856,59269.0,59269.0,0.14400000000000002,2.0,2.0
2009-01-01,4100.929,59127.0,59127.0,0.07100000000000001,1.0,1.0
2009-02-01,3626.93,53223.0,53223.0,0.07,1.0,1.0
2009-03-01,3940.931,58495.0,58495.0,0.069,1.0,1.0
2009-04-01,3638.9320000000002,55223.0,55223.0,0.068,1.0,1.0
2009-05-01,3078.933,47252.0,47252.0,0.067,1.0,1.0
2009-06-01,3834.929,55803.0,55803.0,0.07100000000000001,1.0,1.0
2009-07-01,3978.9280000000003,57301.0,57301.0,0.07200000000000001,1.0,1.0
2009-08-01,3929.927,55814.0,55814.0,0.07300000000000001,1.0,1.0
2009-09-01,3707.929,53835.0,53835.0,0.07100000000000001,1.0,1.0
2009-10-01,3784.8450000000003,50458.0,50458.0,0.155,2.0,2.0
2009-11-01,3434.786,49565.0,49565.0,0.21400000000000002,3.0,3.0
2009-12-01,3757.7090000000003,53241.0,53241.0,0.29100000000000004,4.0,4.0
2010-01-01,3755.719,53379.0,53379.0,0.281,4.0,4.0
2010-02-01,3419.931,49500.0,49500.0,0.069,1.0,1.0
2010-03-01,3723.8,55988.0,55988.0,0.2,3.0,3.0
2010-04-01,3729.86,53218.0,53218.0,0.14,2.0,2.0
2010-05-01,3545.0,51845.0,51845.0,0.0,0.0,0.0
2010-06-01,3596.0,55492.0,55492.0,0.0,0.0,0.0
2010-07-01,3692.0,57172.0,57172.0,0.0,0.0,0.0
2010-08-01,3701.0,55786.0,55786.0,0.0,0.0,0.0
2010-09-01,3439.0,52135.0,52135.0,0.0,0.0,0.0
2010-10-01,1938.0,29293.0,29293.0,0.0,0.0,0.0
2010-11-01,3352.9370000000004,53501.0,53501.0,0.063,1.0,1.0
2010-12-01,3162.936,49195.0,49195.0,0.064,1.0,1.0
2011-01-01,3634.0,57498.0,57498.0,0.0,0.0,0.0
2011-02-01,3265.0,50836.0,50836.0,0.0,0.0,0.0
2011-03-01,3635.0,53657.0,53657.0,0.0,0.0,0.0
2011-04-01,3471.977,51254.0,51254.0,2.023,30.0,30.0
2011-05-01,3483.0,50374.0,50374.0,0.0,0.0,0.0
2011-06-01,3354.0,44418.0,44418.0,0.0,0.0,0.0
2011-07-01,3355.0,49877.0,49877.0,0.0,0.0,0.0
2011-08-01,3313.0,51581.0,51581.0,0.0,0.0,0.0
2011-09-01,3314.0,50486.0,50486.0,0.0,0.0,0.0
2011-10-01,3409.0,52302.0,52302.0,0.0,0.0,0.0
2011-11-01,3270.0,48588.0,48588.0,0.0,0.0,0.0
2011-12-01,3227.933,49637.0,49637.0,0.067,1.0,1.0
2012-01-01,3335.0,51436.0,51436.0,0.0,0.0,0.0
2012-02-01,3116.0,47704.0,47704.0,0.0,0.0,0.0
2012-03-01,3308.934,52011.0,52011.0,0.066,1.0,1.0
2012-04-01,3203.0,50000.0,50000.0,0.0,0.0,0.0
2012-05-01,2193.934,33905.0,33905.0,2.066,32.0,32.0
2012-06-01,3139.0,48199.0,48199.0,0.0,0.0,0.0
2012-07-01,3082.932,47015.0,47015.0,0.068,1.0,1.0
2012-08-01,3121.163,49008.0,49008.0,1.837,29.0,29.0
2012-09-01,2966.934,46109.0,46109.0,0.066,1.0,1.0
2012-10-01,3115.472,48627.0,48627.0,0.528,8.0,8.0
2012-11-01,3038.868,47292.0,47292.0,0.132,2.0,2.0
2012-12-01,2344.862,35122.0,35122.0,0.138,2.0,2.0
2013-01-01,3125.0,47469.0,47469.0,0.0,0.0,0.0
2013-02-01,2801.0,42407.0,42407.0,0.0,0.0,0.0
2013-03-01,3023.0,45989.0,45989.0,0.0,0.0,0.0
2013-04-01,2880.0,43853.0,43853.0,0.0,0.0,0.0
2013-05-01,3001.0,45946.0,45946.0,0.0,0.0,0.0
2013-06-01,2877.0,44231.0,44231.0,0.0,0.0,0.0
2013-07-01,2956.0,45169.0,45169.0,0.0,0.0,0.0
2013-08-01,2896.94,44631.0,44631.0,21.06,324.0,324.0
2013-09-01,2760.606,42830.0,42830.0,17.394,270.0,270.0
2013-10-01,2511.253,39062.0,39062.0,7.747,121.0,121.0
2013-11-01,2762.0,42617.0,42617.0,0.0,0.0,0.0
2013-12-01,2908.0,44939.0,44939.0,0.0,0.0,0.0
2014-01-01,2915.0,44935.0,44935.0,0.0,0.0,0.0
2014-02-01,2572.0,40336.0,40336.0,0.0,0.0,0.0
2014-03-01,2768.0,43144.0,43144.0,0.0,0.0,0.0
2014-04-01,2572.0,39782.0,39782.0,0.0,0.0,0.0
2014-05-01,2693.0,41895.0,41895.0,0.0,0.0,0.0
2014-06-01,2570.0,40040.0,40040.0,0.0,0.0,0.0
2014-07-01,2620.0,41477.0,41477.0,0.0,0.0,0.0
2014-08-01,2517.241,39796.0,39796.0,1.759,28.0,28.0
2014-09-01,2519.0,39780.0,39780.0,0.0,0.0,0.0
2014-10-01,2540.0,41755.0,41755.0,0.0,0.0,0.0
2014-11-01,2330.0,38673.0,38673.0,0.0,0.0,0.0
2014-12-01,2532.0,43552.0,43552.0,0.0,0.0,0.0
2015-01-01,2164.776,36014.0,36014.0,50.224,836.0,836.0
2015-02-01,2252.469,37304.0,37304.0,47.531,787.0,787.0
2015-03-01,2436.61,38653.0,38653.0,36.39,577.0,577.0
2015-04-01,2327.115,38080.0,38080.0,93.885,1536.0,1536.0
2015-05-01,2247.537,37883.0,37883.0,130.463,2199.0,2199.0
2015-06-01,2362.94,40379.0,40379.0,145.06,2479.0,2479.0
2015-07-01,2410.844,41448.0,41448.0,139.156,2392.0,2392.0
2015-08-01,2452.4,42023.0,42023.0,118.6,2032.0,2032.0
2015-09-01,2397.494,40296.0,40296.0,116.506,1958.0,1958.0
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0
