measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,29919.94876,313388.96,331364.76,52.4043,548.9,580.38,12357.51618,129435.69,136860.04,327.61675,3431.54,3628.37,,,
2004-02-01,26678.82595,279440.64,295958.3,0.0,0.0,0.0,12895.96013,135075.49,143059.76,953.71491,9989.45,10579.92,,,
2004-03-01,29443.96469,308403.39,334817.28,46.28479,484.8,526.32,11708.60437,122638.82,133142.5,1526.81415,15992.23,17361.92,,,
2004-04-01,2050.91865,21481.83,28350.72,915.85407,9592.88,12660.24,627.63028,6573.95,8676.0,0.0,0.0,0.0,,,
2004-05-01,30388.31558,318294.76,350433.88,297.90157,3120.29,3435.36,9182.4195,96178.94,105890.4,811.59136,8500.81,9359.16,,,
2004-06-01,30798.298,322589.02,357660.96,41.369119999999995,433.31,480.42,10394.75073,108877.2,120714.35,566.48015,5933.45,6578.54,,,
2004-07-01,29925.55617,313447.69,345081.28,35.11652,367.82,404.94,11815.84887,123762.13,136252.38,632.24744,6622.32,7290.65,,,
2004-08-01,28043.5089,293734.66,313075.26,123.16113,1290.02,1374.96,13218.88981,138457.93,147574.52,829.22816,8685.54,9257.43,,,
2004-09-01,28088.78297,294208.88,325820.22,79.40408,831.7,921.06,12820.95779,134289.89,148718.7,549.59216,5756.56,6375.08,,,
2004-10-01,24951.15271,261344.56,280456.32,186.93592999999998,1958.01,2101.2,12253.85551,128349.92,137735.97,473.64486,4961.07,5323.87,,,
2004-11-01,28113.6125,294468.95,320436.57,57.094649999999994,598.02,650.76,11565.04485,121135.15,131817.4,592.04599,6201.24,6748.09,,,
2004-12-01,29830.6069,312453.18,346793.56,174.33681,1826.05,2026.74,9837.73021,103042.83,114367.82,714.63608,7485.28,8307.95,,,
2005-01-01,28442.97461,297918.78,311718.24,76.05718999999999,796.64,833.54,11172.86683,117027.38,122448.04,1271.61837,13319.25,13936.19,,,
2005-02-01,25838.21264,270635.85,296010.29,80.49676,843.14,922.2,9331.25749,97737.91,106901.68,1216.46511,12741.56,13936.19,,,
2005-03-01,31512.23604,330066.98,350671.68,0.0,0.0,0.0,9790.51395,102548.27,108949.93,1633.22301,17106.78,18174.69,,,
2005-04-01,33293.85327,348728.08,392832.97,0.0,0.0,0.0,6402.33336,67059.63,75540.9,1275.97238,13364.85,15055.15,,,
2005-05-01,17391.08481,182158.53,195759.9,290.42309,3041.96,3269.1,6544.97358,68553.67,73672.42,593.43252,6215.76,6679.88,,,
2005-06-01,25037.18163,262245.65,283516.98,0.0,0.0,0.0,15952.85615,167094.17,180647.56,1149.84622,12043.77,13020.67,,,
2005-07-01,28151.21292,294862.78,324004.23,0.0,0.0,0.0,13123.59538,137459.79,151045.02,730.63469,7652.85,8409.18,,,
2005-08-01,29311.61468,307017.12,334883.82,110.61577,1158.62,1263.78,10140.19414,106210.91,115851.24,688.55041,7212.05,7866.66,,,
2005-09-01,24459.00726,256189.7,277018.68,0.09024,0.95,1.02,16128.83256,168937.39,182672.5,613.74195,6428.49,6951.14,,,
2005-10-01,28582.15936,299376.63,323842.86,0.0,0.0,0.0,13902.08526,145613.89,157514.03,164.59839,1724.04,1864.94,,,
2005-11-01,25651.23465,268677.39,291886.27,143.78021999999999,1505.99,1636.08,12308.50866,128922.37,140058.94,613.85247,6429.64,6985.05,,,
2005-12-01,24357.35672,255125.0,280462.06,0.80038,8.38,9.22,16832.35486,176306.26,193815.65,1266.27104,13263.24,14580.44,,,
2006-01-01,21916.9256,229563.32,253849.42,2.64195,27.67,30.6,17626.24888,184621.7,204153.32,1223.71958,12817.54,14173.54,,,
2006-02-01,19424.528700000003,203457.33,223026.03,0.0,0.0,0.0,16075.89108,168382.87,184578.08,1370.29823,14352.84,15733.31,,,
2006-03-01,21897.59413,229360.83,252333.58,163.56064,1713.17,1884.77,12059.24631,126311.54,138962.88,1009.29391,10571.59,11630.44,,,
2006-04-01,26113.20498,273516.18,304328.28,0.0,0.0,0.0,13445.79089,140834.55,156699.82,1326.73713,13896.57,15462.05,,,
2006-05-01,9677.91618,101368.89,112773.9,345.01775,3613.8,4020.39,4952.39819,51872.65,57708.83,151.31387999999998,1584.9,1763.22,,,
2006-06-01,25895.53077,271236.2,298233.65,60.194500000000005,630.49,693.25,13725.44234,143763.68,158073.18,686.0034,7185.37,7900.56,,,
2006-07-01,24358.59608,255137.98,283769.71,99.27874,1039.87,1156.57,12925.37846,135383.62,150576.45,1341.80472,14054.4,15631.59,,,
2006-08-01,24300.0176,254524.42,267725.38,0.0,0.0,0.0,13486.47319,141260.67,148587.18,1492.6602,15634.49,16445.38,,,
2006-09-01,28307.23333,296496.97,332696.12,0.0,0.0,0.0,8773.76208,91898.56,103118.4,689.5246000000001,7222.25,8104.01,,,
2006-10-01,26399.50395,276514.96,304214.4,353.98888,3707.77,4079.19,5367.02891,56215.59,61846.9,576.73226,6040.84,6645.97,,,
2006-11-01,34217.55711,358403.19,384602.78,59.174589999999995,619.81,665.12,5971.3291,62545.18,67117.29,235.30619000000002,2464.66,2644.82,,,
2006-12-01,22422.916,234863.18,252367.62,209.05309,2189.67,2352.87,5405.0775,56614.12,60833.59,457.93541,4796.53,5154.02,,,
2007-01-01,31180.156,326599.0,364315.0,182.97,1917.0,2138.0,8152.051,85382.0,95250.0,687.783,7188.0,8036.0,,,
2007-02-01,28752.588,301168.0,325315.0,0.0,0.0,0.0,8944.087,93683.0,101196.0,1237.728,12953.0,14004.0,,,
2007-03-01,26637.722,279001.0,309743.0,254.488,2666.0,2959.0,8973.192000000001,93989.0,104340.0,1662.161,17395.0,19328.0,,,
2007-04-01,26576.017,278355.0,312854.0,363.90200000000004,3812.0,4284.0,9070.659,95021.0,106780.0,1604.373,16818.0,18887.0,,,
2007-05-01,13352.204,139855.0,157098.0,469.06800000000004,4914.0,5519.0,4471.378000000001,46829.0,52609.0,288.194,3018.0,3391.0,,,
2007-06-01,27746.732,290636.0,342137.0,6.115,64.0,75.0,9626.946,100824.0,118707.0,1171.45,12275.0,14445.0,,,
2007-07-01,28237.595,295776.0,322663.0,53.952000000000005,566.0,616.0,10040.056,105160.0,114725.0,1044.537,10952.0,11936.0,,,
2007-08-01,30967.307,324359.0,357445.0,75.65700000000001,793.0,873.0,9172.456,96076.0,105875.0,299.63800000000003,3153.0,3459.0,,,
2007-09-01,28501.876,298529.0,334117.0,421.851,4418.0,4945.0,8004.472000000001,83834.0,93834.0,511.97700000000003,5357.0,6002.0,,,
2007-10-01,17711.809,185527.0,205963.0,0.08800000000000001,1.0,1.0,4742.668000000001,49678.0,55151.0,250.769,2611.0,2916.0,,,
2007-11-01,21457.156,224744.0,252373.0,339.791,3559.0,3997.0,5984.167,62683.0,70384.0,521.808,5459.0,6137.0,,,
2007-12-01,27672.956,289856.0,331811.0,163.51,1713.0,1961.0,8161.479,85484.0,97860.0,981.287,10274.0,11766.0,,,
2008-01-01,30281.832,340739.0,377478.0,0.0,0.0,0.0,8209.5,92375.0,102336.0,618.667,6961.0,7712.0,,,
2008-02-01,24042.337,271337.0,289394.0,0.0,0.0,0.0,9351.851,105543.0,112567.0,1254.8120000000001,14162.0,15104.0,,,
2008-03-01,26830.066,302902.0,341232.0,0.0,0.0,0.0,8529.347,96293.0,108479.0,953.5880000000001,10766.0,12128.0,,,
2008-04-01,24909.506,280702.0,314656.0,0.0,0.0,0.0,10079.541,113585.0,127325.0,1481.953,16700.0,18720.0,,,
2008-05-01,8957.111,101985.0,111066.0,0.0,0.0,0.0,3362.889,38290.0,41699.0,0.0,0.0,0.0,,,
2008-06-01,24231.585,273613.0,298733.0,0.0,0.0,0.0,9473.431,106970.0,116791.0,487.985,5510.0,6016.0,,,
2008-07-01,29192.935,328779.0,368497.0,0.0,0.0,0.0,8990.758,101256.0,113489.0,58.307,657.0,736.0,,,
2008-08-01,30321.447,342082.0,382076.0,0.0,0.0,0.0,3075.3160000000003,34695.0,38752.0,15.237,172.0,192.0,,,
2008-09-01,30006.611,338856.0,381552.0,0.0,0.0,0.0,845.682,9550.0,10753.0,334.707,3780.0,4256.0,,,
2008-10-01,36826.051,424539.0,469117.0,0.0,0.0,0.0,1016.4340000000001,11718.0,12948.0,316.51500000000004,3649.0,4032.0,,,
2008-11-01,29521.794,332087.0,371871.0,0.0,0.0,0.0,7329.485000000001,82449.0,92326.0,1051.721,11831.0,13248.0,,,
2008-12-01,30064.091,338444.0,359472.0,0.0,0.0,0.0,7121.856000000001,80174.0,85155.0,942.053,10605.0,11264.0,,,
2009-01-01,31001.057,349111.0,387603.0,,,,5819.9890000000005,65540.0,72767.0,1141.756,12858.0,14275.0,629.198,7086.0,7867.0
2009-02-01,27200.22,306441.0,343286.0,,,,2098.846,23646.0,26489.0,0.0,0.0,0.0,3939.934,44388.0,49725.0
2009-03-01,14723.872,165314.0,186731.0,,,,0.0,0.0,0.0,187.157,2101.0,2374.0,590.971,6635.0,7495.0
2009-04-01,21770.029,246536.0,280253.0,,,,4348.342000000001,49243.0,55978.0,431.97200000000004,4892.0,5561.0,3518.657,39847.0,45297.0
2009-05-01,27973.628,316775.0,354830.0,,,,4145.05,46939.0,52578.0,1938.0690000000002,21947.0,24583.0,4503.253000000001,50995.0,57121.0
2009-06-01,25940.554,293259.0,335149.0,,,,955.798,10805.0,12349.0,1091.785,12343.0,14106.0,8005.863,90507.0,103435.0
2009-07-01,29147.275,329502.0,383467.0,,,,0.0,0.0,0.0,497.427,5623.0,6544.0,6164.298000000001,69686.0,81099.0
2009-08-01,21587.937,247046.0,287505.0,,,,0.0,0.0,0.0,,,,3760.063,43029.0,50076.0
2009-09-01,29273.703,334885.0,373298.0,,,,0.0,0.0,0.0,,,,5517.2970000000005,63117.0,70357.0
2009-10-01,31291.972999999998,358912.0,410971.0,,,,0.0,0.0,0.0,,,,5546.027,63612.0,72838.0
2009-11-01,26656.222,301241.0,344099.0,,,,0.0,0.0,0.0,,,,3206.7780000000002,36240.0,41396.0
2009-12-01,25810.928,293864.0,328166.0,,,,0.0,0.0,0.0,,,,3724.072,42399.0,47349.0
2010-01-01,22101.97,253036.0,285122.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3041.03,34816.0,39230.0
2010-02-01,28016.318,319707.0,347894.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2492.6820000000002,28445.0,30953.0
2010-03-01,27452.353,313384.0,353035.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,4587.647,52371.0,58997.0
2010-04-01,23728.219,271013.0,308216.0,,,,1214.2340000000002,13868.0,15772.0,0.0,0.0,0.0,4248.5470000000005,48525.0,55186.0
2010-05-01,26979.501,307088.0,359074.0,,,,1081.22,12307.0,14390.0,0.0,0.0,0.0,4260.279,48492.0,56701.0
2010-06-01,19442.056,221613.0,254003.0,,,,3509.722,40006.0,45853.0,0.0,0.0,0.0,6123.222000000001,69796.0,79998.0
2010-07-01,18022.275,205581.0,236730.0,,,,2680.005,30571.0,35203.0,0.0,0.0,0.0,5662.72,64595.0,74382.0
2010-08-01,13423.756000000001,153985.0,189727.0,,,,1348.692,15471.0,19062.0,,,,3811.552,43723.0,53871.0
2010-09-01,24464.193,280052.0,336191.0,,,,0.0,0.0,0.0,,,,5341.807000000001,61150.0,73408.0
2010-10-01,16483.618000000002,191464.0,218964.0,,,,0.0,0.0,0.0,,,,3187.382,37023.0,42340.0
2010-11-01,1754.5130000000001,20665.0,22249.0,,,,0.0,0.0,0.0,,,,339.487,3998.0,4305.0
2010-12-01,22205.96,254439.0,303899.0,,,,0.0,0.0,0.0,,,,1407.04,16122.0,19256.0
2011-01-01,33004.621,376948.0,455533.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,3209.379,36655.0,44296.0
2011-02-01,22937.965,262913.0,308578.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2884.035,33057.0,38798.0
2011-03-01,33853.0,385901.0,450920.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,31821.0,362656.0,427771.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,12367.0,143071.0,167531.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,734.0,11784.0,11784.0
2011-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,3089.0,44599.0,59777.0
2012-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,5044.0,67462.0,123658.0
2012-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,15913.0,198634.0,269205.0
2012-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,7282.0,97285.0,138311.0
2012-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,16672.0,212595.0,305810.0
2012-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,12645.0,159446.0,256835.0
2012-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,19469.0,242036.0,398578.0
2012-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,22393.0,276234.0,414799.0
2012-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,24047.0,297206.0,421303.0
2012-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,22184.0,271738.0,389532.0
2012-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,18231.0,218479.0,302130.0
2012-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,17352.0,214023.0,279330.0
2012-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,18379.0,227391.0,299756.0
2013-01-01,0.0,0.0,0.0,2921.168,36331.0,48141.0,0.0,0.0,0.0,,,,20894.832,259870.0,344345.0
2013-02-01,0.0,0.0,0.0,1194.816,14824.0,19014.0,0.0,0.0,0.0,,,,15268.184,189432.0,242972.0
2013-03-01,0.0,0.0,0.0,615.123,7830.0,10440.0,0.0,0.0,0.0,,,,4796.877,61060.0,81417.0
2013-04-01,0.0,0.0,0.0,644.309,8059.0,10458.0,0.0,0.0,0.0,,,,22232.691,278093.0,360865.0
2013-05-01,0.0,0.0,0.0,742.232,9117.0,11988.0,0.0,0.0,0.0,,,,26594.768,326654.0,429546.0
2013-06-01,0.0,0.0,0.0,1081.658,13369.0,16596.0,0.0,0.0,0.0,,,,22135.342,273578.0,339632.0
2013-07-01,0.0,0.0,0.0,912.137,11390.0,14250.0,0.0,0.0,0.0,,,,18723.863,233814.0,292509.0
2013-08-01,0.0,0.0,0.0,681.872,8037.0,11665.0,0.0,0.0,0.0,,,,20651.128,243423.0,353275.0
2013-09-01,0.0,0.0,0.0,512.698,6350.0,8671.0,0.0,0.0,0.0,,,,16951.302,209937.0,286687.0
2013-10-01,0.0,0.0,0.0,587.123,7267.0,10115.0,0.0,0.0,0.0,,,,13019.877,161142.0,224306.0
2013-11-01,0.0,0.0,0.0,563.113,6874.0,10013.0,0.0,0.0,0.0,,,,24386.887,297675.0,433647.0
2013-12-01,0.0,0.0,0.0,766.304,9185.0,13936.0,0.0,0.0,0.0,,,,16513.696,197928.0,300326.0
2014-01-01,0.0,0.0,0.0,762.375,8860.0,12797.0,0.0,0.0,0.0,,,,20022.625,232693.0,336106.0
2014-02-01,0.0,0.0,0.0,532.461,6161.0,8727.0,0.0,0.0,0.0,,,,13994.539,161925.0,229381.0
2014-03-01,0.0,0.0,0.0,357.331,4168.0,5799.0,0.0,0.0,0.0,,,,22843.669,266464.0,370752.0
2014-04-01,0.0,0.0,0.0,306.688,3618.0,4825.0,0.0,0.0,0.0,,,,25262.312,298044.0,397430.0
2014-05-01,0.0,0.0,0.0,559.424,6874.0,9907.0,0.0,0.0,0.0,,,,3529.576,43368.0,62509.0
2014-06-01,0.0,0.0,0.0,797.882,9463.0,12395.0,0.0,0.0,0.0,,,,27194.118,322525.0,422453.0
2014-07-01,0.0,0.0,0.0,1282.027,15224.0,20218.0,0.0,0.0,0.0,,,,23121.973,274579.0,364633.0
2014-08-01,0.0,0.0,0.0,1198.635,14145.0,17890.0,0.0,0.0,0.0,,,,21579.365,254656.0,322085.0
2014-09-01,0.0,0.0,0.0,526.531,6165.0,8068.0,0.0,0.0,0.0,,,,19816.469,232009.0,303650.0
2014-10-01,0.0,0.0,0.0,478.306,5591.0,8095.0,0.0,0.0,0.0,,,,18612.694,217585.0,315000.0
2014-11-01,0.0,0.0,0.0,304.938,3553.0,4818.0,0.0,0.0,0.0,,,,27561.062,321143.0,435432.0
2014-12-01,0.0,0.0,0.0,509.127,5968.0,8216.0,0.0,0.0,0.0,,,,26368.873,309092.0,425526.0
2015-01-01,0.0,0.0,0.0,1437.989,17157.0,22410.0,0.0,0.0,0.0,,,,20721.011,247229.0,322924.0
2015-02-01,0.0,0.0,0.0,923.787,10603.0,13863.0,0.0,0.0,0.0,,,,20415.213,234320.0,306375.0
2015-03-01,0.0,0.0,0.0,402.067,4737.0,5997.0,0.0,0.0,0.0,,,,19967.933,235257.0,297813.0
2015-04-01,0.0,0.0,0.0,1060.39,12732.0,17002.0,0.0,0.0,0.0,,,,14516.61,174304.0,232755.0
2015-05-01,0.0,0.0,0.0,598.109,7057.0,9848.0,0.0,0.0,0.0,,,,28166.891,332344.0,463770.0
2015-06-01,0.0,0.0,0.0,564.611,6698.0,9096.0,0.0,0.0,0.0,,,,23863.389,283085.0,384450.0
2015-07-01,0.0,0.0,0.0,700.546,8168.0,11740.0,0.0,0.0,0.0,,,,16763.454,195455.0,280919.0
2015-08-01,0.0,0.0,0.0,492.55,5882.0,8034.0,0.0,0.0,0.0,,,,20861.45,249119.0,340281.0
2015-09-01,0.0,0.0,0.0,201.736,2426.0,4402.0,0.0,0.0,0.0,,,,23546.264,283193.0,513760.0
2015-10-01,0.0,0.0,0.0,548.481,6951.0,18849.0,0.0,0.0,0.0,,,,2333.519,29572.0,80191.0
2015-11-01,0.0,0.0,0.0,410.821,4809.0,6504.0,0.0,0.0,0.0,,,,24730.179,289461.0,391521.0
2015-12-01,0.0,0.0,0.0,704.835,8359.0,12103.0,0.0,0.0,0.0,,,,25211.165,298996.0,432918.0
2016-01-01,0.0,0.0,0.0,1998.47,32733.0,34826.0,0.0,0.0,0.0,,,,21272.53,348428.0,370698.0
2016-02-01,0.0,0.0,0.0,263.593,4157.0,4157.0,0.0,0.0,0.0,,,,25435.407,401158.0,401158.0
2016-03-01,0.0,0.0,0.0,727.477,12056.0,12208.0,0.0,0.0,0.0,,,,15029.523,249084.0,252214.0
2016-04-01,0.0,0.0,0.0,997.341,16322.0,18082.0,0.0,0.0,0.0,,,,20198.659,330569.0,366214.0
2016-05-01,0.0,0.0,0.0,33.174,539.0,547.0,0.0,0.0,0.0,,,,26110.826,424473.0,430844.0
2016-06-01,0.0,0.0,0.0,183.336,2891.0,3016.0,0.0,0.0,0.0,,,,24934.664,393133.0,410233.0
2016-07-01,0.0,0.0,0.0,322.953,5232.0,5232.0,0.0,0.0,0.0,,,,22216.047,359879.0,359879.0
2016-08-01,0.0,0.0,0.0,512.285,8348.0,8529.0,0.0,0.0,0.0,,,,20680.715,337001.0,344322.0
2016-09-01,0.0,0.0,0.0,687.767,11242.0,11788.0,0.0,0.0,0.0,,,,19250.233,314672.0,329937.0
2016-10-01,0.0,0.0,0.0,404.782,6548.0,6577.0,0.0,0.0,0.0,,,,12608.218,203959.0,204859.0
2016-11-01,0.0,0.0,0.0,374.347,5750.0,5750.0,0.0,0.0,0.0,,,,25661.653,394177.0,394177.0
2016-12-01,0.0,0.0,0.0,1212.308,19440.0,19440.0,0.0,0.0,0.0,,,,17086.692,273995.0,273995.0
2017-01-01,0.0,0.0,0.0,1107.043,18046.0,19886.0,0.0,0.0,0.0,,,,10249.957,167089.0,184120.0
2017-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0,929.207,15023.0,17254.0,0.0,0.0,0.0,,,,12051.793,194843.0,223779.0
2017-04-01,0.0,0.0,0.0,215.456,3472.0,3682.0,0.0,0.0,0.0,,,,27023.544,435461.0,461790.0
2017-05-01,0.0,0.0,0.0,159.973,2459.0,2459.0,0.0,0.0,0.0,,,,27659.027,425094.0,425094.0
2017-06-01,0.0,0.0,0.0,457.462,7649.0,7965.0,0.0,0.0,0.0,,,,18307.538,306092.0,318774.0
2017-07-01,0.0,0.0,0.0,429.835,6881.0,6881.0,0.0,0.0,0.0,,,,20245.165,324090.0,324090.0
2017-08-01,0.0,0.0,0.0,527.026,8705.0,9194.0,0.0,0.0,0.0,,,,23086.974,381328.0,402741.0
2017-09-01,0.0,0.0,0.0,481.998,7948.0,8375.0,0.0,0.0,0.0,,,,21900.002,361135.0,380534.0
2017-10-01,0.0,0.0,0.0,687.976,11234.0,12069.0,0.0,0.0,0.0,,,,15110.024,246740.0,265078.0
2017-11-01,0.0,0.0,0.0,414.16,6049.0,6049.0,0.0,0.0,0.0,,,,27732.84,405054.0,405054.0
2017-12-01,0.0,0.0,0.0,1479.725,24071.0,24419.0,0.0,0.0,0.0,,,,24977.275,406318.0,412184.0
2018-01-01,0.0,0.0,0.0,244.517,3963.0,4122.0,0.0,0.0,0.0,,,,24733.483,400837.0,416988.0
2018-02-01,0.0,0.0,0.0,165.823,2709.0,2839.0,0.0,0.0,0.0,,,,7467.177,121979.0,127826.0
2018-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2018-04-01,0.0,0.0,0.0,735.54,10566.0,10566.0,0.0,0.0,0.0,,,,19983.46,287056.0,287056.0
2018-05-01,0.0,0.0,0.0,187.144,2876.0,2876.0,0.0,0.0,0.0,,,,22897.856,351842.0,351842.0
2018-06-01,0.0,0.0,0.0,106.277,1658.0,1658.0,0.0,0.0,0.0,,,,28088.723,438095.0,438095.0
2018-07-01,0.0,0.0,0.0,83.14,1347.0,1378.0,0.0,0.0,0.0,,,,25959.86,420717.0,430342.0
2018-08-01,0.0,0.0,0.0,349.502,5540.0,5540.0,0.0,0.0,0.0,,,,28163.498,446394.0,446394.0
2018-09-01,0.0,0.0,0.0,109.884,1695.0,1695.0,0.0,0.0,0.0,,,,21743.116,335306.0,335306.0
2018-10-01,0.0,0.0,0.0,87.178,1384.0,1384.0,0.0,0.0,0.0,,,,27073.822,429936.0,429936.0
2018-11-01,0.0,0.0,0.0,78.828,1203.0,1203.0,0.0,0.0,0.0,,,,17838.172,272142.0,272142.0
