measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2006-06-01,10.425,105.0,105.0,,,
2006-07-01,15.101,151.0,151.0,,,
2006-08-01,14.648000000000001,147.0,147.0,,,
2006-09-01,6.729,68.0,68.0,,,
2006-10-01,7.1080000000000005,71.0,71.0,,,
2006-11-01,8.37,84.0,84.0,,,
2006-12-01,9.274000000000001,93.0,93.0,,,
2007-01-01,5.992,64.0,64.0,,,
2007-02-01,6.823,69.0,69.0,,,
2007-03-01,5.687,58.0,58.0,,,
2007-04-01,6.033,64.0,64.0,,,
2007-05-01,6.213,64.0,64.0,,,
2007-06-01,7.3020000000000005,75.0,75.0,,,
2007-07-01,5.71,58.0,58.0,,,
2007-08-01,4.569,46.0,46.0,,,
2007-09-01,4.328,46.0,46.0,,,
2007-10-01,6.2170000000000005,64.0,64.0,,,
2007-11-01,5.105,52.0,52.0,,,
2007-12-01,9.021,92.0,92.0,,,
2008-01-01,1.982,29.0,29.0,,,
2008-02-01,1.195,12.0,12.0,,,
2008-03-01,1.913,17.0,17.0,,,
2008-04-01,1.421,17.0,17.0,,,
2008-05-01,1.34,12.0,12.0,,,
2008-06-01,2.29,23.0,23.0,,,
2008-07-01,1.863,17.0,17.0,,,
2008-08-01,1.9340000000000002,17.0,17.0,,,
2008-09-01,1.5750000000000002,17.0,17.0,,,
2008-10-01,1.718,17.0,17.0,,,
2008-11-01,1.483,17.0,17.0,,,
2008-12-01,2.286,23.0,23.0,,,
2009-01-01,1.231,6.0,6.0,,,
2009-02-01,1.091,12.0,12.0,,,
2009-03-01,1.005,12.0,12.0,,,
2009-04-01,0.8160000000000001,6.0,6.0,,,
2009-05-01,1.748,18.0,18.0,,,
2009-06-01,1.341,12.0,12.0,,,
2009-07-01,0.871,12.0,12.0,,,
2009-08-01,0.9680000000000001,12.0,12.0,,,
2009-09-01,0.92,12.0,12.0,,,
2009-10-01,0.883,12.0,12.0,,,
2009-11-01,0.913,12.0,12.0,,,
2009-12-01,1.213,12.0,12.0,,,
2010-01-01,5.025,46.0,46.0,,,
2010-02-01,3.237,35.0,35.0,,,
2010-03-01,4.16,41.0,41.0,,,
2010-04-01,3.124,35.0,35.0,,,
2010-05-01,6.601,70.0,70.0,,,
2010-06-01,5.454000000000001,58.0,58.0,,,
2010-07-01,4.596,46.0,46.0,,,
2010-08-01,4.738,46.0,46.0,,,
2010-09-01,3.867,41.0,41.0,,,
2010-10-01,2.399,23.0,23.0,,,
2010-11-01,3.181,35.0,35.0,,,
2010-12-01,4.618,46.0,46.0,,,
2011-01-01,11.594,122.0,122.0,,,
2011-02-01,6.859,70.0,70.0,,,
2011-03-01,6.297,64.0,64.0,,,
2011-04-01,7.777,81.0,81.0,,,
2011-05-01,7.765,81.0,81.0,,,
2011-06-01,9.973,105.0,105.0,,,
2011-07-01,6.417,70.0,70.0,,,
2011-08-01,6.227,64.0,64.0,,,
2011-09-01,3.75,41.0,41.0,,,
2011-10-01,4.849,52.0,52.0,,,
2011-11-01,8.25,87.0,87.0,,,
2011-12-01,7.242,76.0,76.0,,,
2012-01-01,28.374,291.0,291.0,,,
2012-02-01,11.2,116.0,116.0,,,
2012-03-01,12.188,128.0,128.0,,,
2012-04-01,10.549,111.0,111.0,,,
2012-05-01,10.332,105.0,105.0,,,
2012-06-01,16.291,169.0,169.0,,,
2012-07-01,21.021,215.0,215.0,,,
2012-08-01,16.19,169.0,169.0,,,
2012-09-01,12.489,128.0,128.0,,,
2012-10-01,15.834,163.0,163.0,,,
2012-11-01,17.752,186.0,186.0,,,
2012-12-01,22.78,239.0,239.0,,,
2013-01-01,8.632,93.0,93.0,,,
2013-02-01,8.375,87.0,87.0,,,
2013-03-01,8.305,87.0,87.0,,,
2013-04-01,5.446,58.0,58.0,,,
2013-05-01,11.505,116.0,116.0,,,
2013-06-01,9.82,98.0,98.0,,,
2013-07-01,14.104,145.0,145.0,,,
2013-08-01,7.217,75.0,75.0,,,
2013-09-01,9.663,98.0,98.0,,,
2013-10-01,6.181,64.0,64.0,,,
2013-11-01,8.371,87.0,87.0,,,
2013-12-01,7.381,75.0,75.0,,,
2014-01-01,7.178,75.0,75.0,,,
2014-02-01,3.677,40.0,40.0,,,
2014-03-01,3.512,34.0,34.0,,,
2014-04-01,2.135,23.0,23.0,,,
2014-05-01,2.042,23.0,23.0,,,
2014-06-01,2.39,23.0,23.0,,,
2014-07-01,1.581,17.0,17.0,,,
2014-08-01,2.324,23.0,23.0,,,
2014-09-01,0.997,11.0,11.0,,,
2014-10-01,1.082,11.0,11.0,,,
2014-11-01,1.417,17.0,17.0,,,
2014-12-01,1.665,17.0,17.0,,,
2015-01-01,20.118,215.0,215.0,,,
2015-02-01,15.236,157.0,157.0,,,
2015-03-01,17.167,174.0,174.0,,,
2015-04-01,11.878,122.0,122.0,,,
2015-05-01,18.651,191.0,191.0,,,
2015-06-01,20.731,215.0,215.0,,,
2015-07-01,22.309,232.0,232.0,,,
2015-08-01,13.249,133.0,133.0,,,
2015-09-01,10.355,104.0,104.0,,,
2015-10-01,10.947,110.0,110.0,,,
2015-11-01,16.201,168.0,168.0,,,
2015-12-01,26.158,267.0,267.0,,,
2016-01-01,24.581,273.0,273.0,,,
2016-02-01,24.457,255.0,255.0,,,
2016-03-01,25.373,267.0,267.0,,,
2016-04-01,20.802,220.0,220.0,,,
2016-05-01,33.26,348.0,348.0,,,
2016-06-01,28.718,302.0,302.0,,,
2016-07-01,26.047,273.0,273.0,,,
2016-08-01,26.117,273.0,273.0,,,
2016-09-01,18.309,191.0,191.0,,,
2016-10-01,17.768,186.0,186.0,,,
2016-11-01,33.138,348.0,348.0,,,
2016-12-01,45.43,476.0,476.0,,,
2017-01-01,13.207,139.0,139.0,,,
2017-02-01,10.409,110.0,110.0,,,
2017-03-01,13.696,139.0,139.0,,,
2017-04-01,10.428,110.0,110.0,,,
2017-05-01,15.238,157.0,157.0,,,
2017-06-01,15.297,157.0,157.0,,,
2017-07-01,14.243,145.0,145.0,,,
2017-08-01,11.87,122.0,122.0,,,
2017-09-01,11.369,116.0,116.0,,,
2017-10-01,10.584,110.0,110.0,,,
2017-11-01,22.691,232.0,232.0,,,
2017-12-01,12.968,133.0,133.0,,,
2018-01-01,28.319,290.0,290.0,,,
2018-02-01,16.993,174.0,174.0,,,
2018-03-01,16.939,174.0,174.0,,,
2018-04-01,23.778,243.0,243.0,,,
2018-05-01,36.64,376.0,376.0,,,
2018-06-01,22.905,237.0,237.0,,,
2018-07-01,17.29,180.0,180.0,,,
2018-08-01,19.659,203.0,203.0,,,
2018-09-01,25.643,266.0,266.0,,,
2018-10-01,22.012,226.0,226.0,,,
2018-11-01,27.854,284.0,284.0,,,
2018-12-01,26.968,278.0,278.0,,,
2019-01-01,14.282,150.0,150.0,,,
2019-02-01,17.092,168.0,168.0,,,
2019-03-01,17.536,174.0,174.0,,,
2019-04-01,18.168,179.0,179.0,,,
2019-05-01,10.526,104.0,104.0,,,
2019-06-01,19.179,191.0,191.0,,,
2019-07-01,16.555,162.0,162.0,,,
2019-08-01,9.459,93.0,93.0,,,
2019-09-01,8.922,87.0,87.0,,,
2019-10-01,8.12,81.0,81.0,,,
2019-11-01,25.399,249.0,249.0,,,
2019-12-01,14.762,145.0,145.0,,,
2020-01-01,20.786,203.0,203.0,,,
2020-02-01,26.342,261.0,261.0,,,
2020-03-01,16.111,162.0,162.0,,,
2020-04-01,17.866,180.0,180.0,,,
2020-05-01,23.624,232.0,232.0,,,
2020-06-01,25.882,255.0,255.0,,,
2020-07-01,37.473,371.0,371.0,,,
2020-08-01,22.357,220.0,220.0,,,
2020-09-01,13.796,139.0,139.0,,,
2020-10-01,30.281,301.0,301.0,,,
2020-11-01,21.921,220.0,220.0,,,
2020-12-01,17.561,174.0,174.0,,,
2021-01-01,16.068,168.0,168.0,,,
2021-02-01,19.983,220.0,220.0,,,
2021-03-01,15.198,168.0,168.0,,,
2021-04-01,17.288,185.0,185.0,,,
2021-05-01,42.98,469.0,469.0,,,
2021-06-01,38.069,417.0,417.0,,,
2021-07-01,12.79,139.0,139.0,,,
2021-08-01,18.996,209.0,209.0,,,
2021-09-01,17.851,197.0,197.0,,,
2021-10-01,23.883,261.0,261.0,,,
2021-11-01,42.265,458.0,458.0,,,
2021-12-01,24.629,266.0,266.0,,,
2022-01-01,13.832,151.0,151.0,,,
2022-02-01,13.216,145.0,145.0,,,
2022-03-01,10.499,116.0,116.0,,,
2022-04-01,8.705,98.0,98.0,,,
2022-05-01,12.465,139.0,139.0,,,
2022-06-01,17.081,191.0,191.0,,,
2022-07-01,17.972,203.0,203.0,,,
2022-08-01,7.89,87.0,87.0,,,
2022-09-01,9.555,104.0,104.0,,,
2022-10-01,16.223,179.0,179.0,,,
2022-11-01,11.308,127.0,127.0,,,
2022-12-01,24.254,272.0,272.0,,,
2023-01-01,13.179,139.0,139.0,,,
2023-02-01,5.133,58.0,58.0,,,
2023-03-01,10.823,116.0,116.0,,,
2023-04-01,13.15,145.0,145.0,,,
2023-05-01,23.846,261.0,261.0,,,
2023-06-01,14.79,162.0,162.0,,,
2023-07-01,14.479,156.0,156.0,,,
2023-08-01,9.283,98.0,98.0,,,
2023-09-01,11.388,122.0,122.0,,,
2023-10-01,18.917,203.0,203.0,,,
2023-11-01,12.224,133.0,133.0,,,
2023-12-01,19.788,214.0,214.0,,,
2024-01-01,19.995,458.0,458.0,,,
2024-02-01,12.136,284.0,284.0,,,
2024-03-01,19.161,446.0,446.0,,,
2024-04-01,32.184,747.0,747.0,,,
2024-05-01,21.263,492.0,492.0,,,
2024-06-01,22.27,516.0,516.0,,,
2024-07-01,17.296,400.0,400.0,,,
2024-08-01,25.103,585.0,585.0,,,
2024-09-01,25.127,585.0,585.0,,,
2024-10-01,17.124,400.0,400.0,,,
2024-11-01,27.047,626.0,626.0,,,
2024-12-01,34.294,794.0,794.0,,,
