measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed,Other Biomass Gas-Fuel Cell Generation,Other Biomass Gas-Fuel Cell Quantity Consumed For Electricity,Other Biomass Gas-Fuel Cell Total Fuel Consumed
2023-07-01,45.978,327.0,327.0,0.0,0.0,0.0
2023-08-01,46.393,330.0,330.0,0.0,0.0,0.0
2023-09-01,32.838,233.0,233.0,0.0,0.0,0.0
2023-10-01,40.101,284.0,284.0,0.0,0.0,0.0
2023-11-01,37.671,268.0,268.0,0.0,0.0,0.0
2023-12-01,42.412,301.0,301.0,0.0,0.0,0.0
2024-01-01,765.0,5203.0,5203.0,0.0,0.0,0.0
2024-02-01,717.0,4919.0,4919.0,0.0,0.0,0.0
2024-03-01,752.0,5152.0,5152.0,0.0,0.0,0.0
2024-04-01,739.0,5131.0,5131.0,0.0,0.0,0.0
2024-05-01,740.0,5206.0,5206.0,0.0,0.0,0.0
2024-06-01,710.0,5101.0,5101.0,0.0,0.0,0.0
2024-07-01,718.0,4893.0,4893.0,0.0,0.0,0.0
2024-08-01,725.0,4723.0,4723.0,0.0,0.0,0.0
2024-09-01,698.0,4557.0,4557.0,0.0,0.0,0.0
2024-10-01,708.0,4626.0,4626.0,0.0,0.0,0.0
2024-11-01,690.0,4523.0,4523.0,0.0,0.0,0.0
2024-12-01,706.0,4644.0,4644.0,0.0,0.0,0.0
