measured_on,"Hydroelectric-Energy Storage, Reversible Hydraulic Turbine (Pumped Storage) Generation","Hydroelectric-Energy Storage, Reversible Hydraulic Turbine (Pumped Storage) Quantity Consumed For Electricity","Hydroelectric-Energy Storage, Reversible Hydraulic Turbine (Pumped Storage) Total Fuel Consumed"
2017-10-01,-1161.0,0.0,0.0
2017-11-01,-507.0,0.0,0.0
2017-12-01,-2209.0,0.0,0.0
2018-01-01,-676.0,0.0,0.0
2018-02-01,-825.0,0.0,0.0
2018-03-01,-832.0,0.0,0.0
2018-04-01,-1540.0,0.0,0.0
2018-05-01,-521.0,0.0,0.0
2018-06-01,-1448.0,0.0,0.0
2018-07-01,-1759.0,0.0,0.0
2018-08-01,-1723.0,0.0,0.0
2018-09-01,-1264.0,0.0,0.0
2018-10-01,-2046.0,0.0,0.0
2018-11-01,-1119.0,0.0,0.0
2018-12-01,-1504.0,0.0,0.0
2019-01-01,-1038.0,0.0,0.0
2019-02-01,-1583.0,0.0,0.0
2019-03-01,-2997.0,0.0,0.0
2019-04-01,-2773.0,0.0,0.0
2019-05-01,-2161.0,0.0,0.0
2019-06-01,-3045.0,0.0,0.0
2019-07-01,-1722.0,0.0,0.0
2019-08-01,-1813.0,0.0,0.0
2019-09-01,-918.0,0.0,0.0
2019-10-01,-169.0,0.0,0.0
2019-11-01,-1461.0,0.0,0.0
2019-12-01,-2932.0,0.0,0.0
2020-01-01,-775.0,0.0,0.0
2020-02-01,-2231.0,0.0,0.0
2020-03-01,-1731.0,0.0,0.0
2020-04-01,-6123.0,0.0,0.0
2020-05-01,17.0,0.0,0.0
2020-06-01,-2339.0,0.0,0.0
2020-07-01,206.0,0.0,0.0
2020-08-01,-1023.0,0.0,0.0
2020-09-01,15.0,0.0,0.0
2020-10-01,-1766.0,0.0,0.0
2020-11-01,-1542.0,0.0,0.0
2020-12-01,-1398.0,0.0,0.0
2021-01-01,-1302.0,0.0,0.0
2021-02-01,-1965.0,0.0,0.0
2021-03-01,-1042.0,0.0,0.0
2021-04-01,-1311.0,0.0,0.0
2021-05-01,-751.0,0.0,0.0
2021-06-01,696.0,0.0,0.0
2021-07-01,-833.0,0.0,0.0
2021-08-01,-1330.0,0.0,0.0
2021-09-01,-720.0,0.0,0.0
2021-10-01,-3107.0,0.0,0.0
2021-11-01,-849.0,0.0,0.0
2021-12-01,-2279.0,0.0,0.0
2022-01-01,-2532.0,0.0,0.0
2022-02-01,-1653.0,0.0,0.0
2022-03-01,-1350.0,0.0,0.0
2022-04-01,-2267.0,0.0,0.0
2022-05-01,-6408.0,0.0,0.0
2022-06-01,-489.0,0.0,0.0
2022-07-01,-71.0,0.0,0.0
2022-08-01,-75.0,0.0,0.0
2022-09-01,1567.0,0.0,0.0
2022-10-01,-1218.0,0.0,0.0
2022-11-01,-72.0,0.0,0.0
2022-12-01,-58.0,0.0,0.0
2023-01-01,-62.0,0.0,0.0
2023-02-01,-63.0,0.0,0.0
2023-03-01,-3587.0,0.0,0.0
2023-04-01,-1563.0,0.0,0.0
2023-05-01,-72.0,0.0,0.0
2023-06-01,-83.0,0.0,0.0
2023-07-01,-87.0,0.0,0.0
2023-08-01,-88.0,0.0,0.0
2023-09-01,-88.0,0.0,0.0
2023-10-01,-90.0,0.0,0.0
2023-11-01,-86.0,0.0,0.0
2023-12-01,-94.0,0.0,0.0
2024-01-01,-86.0,0.0,0.0
2024-02-01,-77.0,0.0,0.0
2024-03-01,-57.0,0.0,0.0
2024-04-01,-39.0,0.0,0.0
2024-05-01,-41.0,0.0,0.0
2024-06-01,-40.0,0.0,0.0
2024-07-01,-43.0,0.0,0.0
2024-08-01,-46.0,0.0,0.0
2024-09-01,-46.0,0.0,0.0
2024-10-01,-41.0,0.0,0.0
2024-11-01,-43.0,0.0,0.0
2024-12-01,0.0,0.0,0.0
