measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2012-01-01,269.856,5288.0,53765.0,192.153,3765.0,38280.0,,,
2012-02-01,269.835,5288.0,53761.0,173.433,3399.0,34552.0,,,
2012-03-01,256.645,5029.0,51133.0,177.223,3473.0,35312.0,,,
2012-04-01,237.788,4660.0,47376.0,153.923,3016.0,30664.0,,,
2012-05-01,236.129,4627.0,47045.0,171.369,3358.0,34144.0,,,
2012-06-01,249.982,4899.0,49806.0,179.693,3521.0,35800.0,,,
2012-07-01,295.65,5794.0,58904.0,166.506,3263.0,33176.0,,,
2012-08-01,389.305,7629.0,77564.0,168.271,3297.0,33528.0,,,
2012-09-01,353.661,6930.0,70462.0,145.942,2860.0,29080.0,,,
2012-10-01,327.256,6413.0,65202.0,135.006,2646.0,26896.0,,,
2012-11-01,282.559,5537.0,56296.0,145.704,2855.0,29032.0,,,
2012-12-01,266.557,5223.0,53108.0,175.554,3440.0,34976.0,,,
2013-01-01,165.506,4392.0,48028.0,145.558,3863.0,42238.0,,,
2013-02-01,152.458,4046.0,44243.0,130.035,3451.0,37733.0,,,
2013-03-01,147.037,3902.0,42669.0,107.128,2843.0,31084.0,,,
2013-04-01,126.526,3358.0,36716.0,61.834,1641.0,17947.0,,,
2013-05-01,133.621,3546.0,38775.0,81.533,2164.0,23656.0,,,
2013-06-01,158.083,4195.0,45875.0,146.964,3900.0,42647.0,,,
2013-07-01,200.59,5323.0,58210.0,149.368,3964.0,43346.0,,,
2013-08-01,204.574,5429.0,59366.0,149.028,3955.0,43250.0,,,
2013-09-01,204.063,5415.0,59218.0,146.823,3896.0,42607.0,,,
2013-10-01,177.061,4699.0,51382.0,132.257,3510.0,38383.0,,,
2013-11-01,174.648,4635.0,50681.0,130.967,3475.0,38006.0,,,
2013-12-01,203.379,5397.0,59019.0,138.959,3688.0,40327.0,,,
2014-01-01,10.321,832.0,47787.0,10.331,833.0,47843.0,,,
2014-02-01,9.638,777.0,44625.0,8.949,722.0,41435.0,,,
2014-03-01,8.364,674.0,38725.0,9.82,792.0,45466.0,,,
2014-04-01,7.953,641.0,36821.0,8.846,713.0,40953.0,,,
2014-05-01,8.019,647.0,37129.0,8.719,703.0,40367.0,,,
2014-06-01,7.905,637.0,36603.0,8.853,714.0,40985.0,,,
2014-07-01,11.185,902.0,51788.0,10.248,826.0,47449.0,,,
2014-08-01,11.546,931.0,53459.0,10.601,855.0,49079.0,,,
2014-09-01,12.077,974.0,55919.0,10.255,827.0,47481.0,,,
2014-10-01,11.914,961.0,55163.0,5.882,474.0,27238.0,,,
2014-11-01,8.61,694.0,39866.0,9.075,732.0,42021.0,,,
2014-12-01,9.366,755.0,43365.0,9.523,768.0,44093.0,,,
2015-01-01,0.0,0.0,0.0,,,,128.815,1200.0,1200.0
2015-02-01,0.0,0.0,0.0,,,,131.539,1226.0,1226.0
2015-03-01,0.0,0.0,0.0,,,,116.001,1081.0,1081.0
2015-04-01,0.0,0.0,0.0,,,,117.159,1092.0,1092.0
2015-05-01,0.0,0.0,0.0,,,,146.819,1368.0,1368.0
2015-06-01,0.0,0.0,0.0,,,,105.024,979.0,979.0
2015-07-01,0.0,0.0,0.0,,,,146.116,1362.0,1362.0
2015-08-01,0.0,0.0,0.0,,,,142.725,1330.0,1330.0
2015-09-01,0.0,0.0,0.0,,,,137.59,1282.0,1282.0
2015-10-01,0.0,0.0,0.0,,,,136.025,1268.0,1268.0
2015-11-01,0.0,0.0,0.0,,,,134.124,1250.0,1250.0
2015-12-01,0.0,0.0,0.0,,,,146.063,1361.0,1361.0
2016-01-01,0.0,0.0,0.0,,,,105.207,971.0,971.0
2016-02-01,0.0,0.0,0.0,,,,78.372,724.0,724.0
2016-03-01,0.0,0.0,0.0,,,,71.052,656.0,656.0
2016-04-01,0.0,0.0,0.0,,,,64.056,591.0,591.0
2016-05-01,0.0,0.0,0.0,,,,95.042,877.0,877.0
2016-06-01,0.0,0.0,0.0,,,,114.263,1055.0,1055.0
2016-07-01,0.0,0.0,0.0,,,,120.767,1115.0,1115.0
2016-08-01,0.0,0.0,0.0,,,,103.484,955.0,955.0
2016-09-01,0.0,0.0,0.0,,,,119.22,1101.0,1101.0
2016-10-01,0.0,0.0,0.0,,,,122.555,1131.0,1131.0
2016-11-01,0.0,0.0,0.0,,,,122.991,1135.0,1135.0
2016-12-01,0.0,0.0,0.0,,,,126.991,1172.0,1172.0
2017-01-01,0.0,0.0,0.0,,,,10.771,99.0,99.0
2017-02-01,0.0,0.0,0.0,,,,10.773,99.0,99.0
2017-03-01,0.0,0.0,0.0,,,,13.792,127.0,127.0
2017-04-01,0.0,0.0,0.0,,,,13.558,125.0,125.0
2017-05-01,0.0,0.0,0.0,,,,13.334,123.0,123.0
2017-06-01,0.0,0.0,0.0,,,,13.769,127.0,127.0
2017-07-01,0.0,0.0,0.0,,,,13.397,123.0,123.0
2017-08-01,0.0,0.0,0.0,,,,13.405,124.0,124.0
2017-09-01,0.0,0.0,0.0,,,,12.447,115.0,115.0
2017-10-01,0.0,0.0,0.0,,,,10.029,92.0,92.0
2017-11-01,0.0,0.0,0.0,,,,12.839,118.0,118.0
2017-12-01,0.0,0.0,0.0,,,,13.886,128.0,128.0
2018-01-01,0.0,0.0,0.0,,,,897.585,8172.0,8172.0
2018-02-01,0.0,0.0,0.0,,,,696.963,6345.0,6345.0
2018-03-01,0.0,0.0,0.0,,,,1014.159,9233.0,9233.0
2018-04-01,0.0,0.0,0.0,,,,1161.442,10574.0,10574.0
2018-05-01,0.0,0.0,0.0,,,,1104.363,10054.0,10054.0
2018-06-01,0.0,0.0,0.0,,,,1085.351,9881.0,9881.0
2018-07-01,0.0,0.0,0.0,,,,1092.413,9945.0,9945.0
2018-08-01,0.0,0.0,0.0,,,,1120.802,10204.0,10204.0
2018-09-01,0.0,0.0,0.0,,,,1017.909,9267.0,9267.0
2018-10-01,0.0,0.0,0.0,,,,1050.371,9563.0,9563.0
2018-11-01,0.0,0.0,0.0,,,,1034.914,9422.0,9422.0
2018-12-01,0.0,0.0,0.0,,,,1012.728,9220.0,9220.0
2019-01-01,0.0,0.0,0.0,,,,1099.185,9788.0,9788.0
2019-02-01,0.0,0.0,0.0,,,,885.015,7881.0,7881.0
2019-03-01,0.0,0.0,0.0,,,,1003.88,8940.0,8940.0
2019-04-01,0.0,0.0,0.0,,,,935.483,8330.0,8330.0
2019-05-01,0.0,0.0,0.0,,,,859.198,7651.0,7651.0
2019-06-01,0.0,0.0,0.0,,,,1013.63,9026.0,9026.0
2019-07-01,0.0,0.0,0.0,,,,1045.195,9307.0,9307.0
2019-08-01,0.0,0.0,0.0,,,,1140.824,10159.0,10159.0
2019-09-01,0.0,0.0,0.0,,,,1025.713,9134.0,9134.0
2019-10-01,0.0,0.0,0.0,,,,1113.572,9916.0,9916.0
2019-11-01,0.0,0.0,0.0,,,,947.941,8441.0,8441.0
2019-12-01,0.0,0.0,0.0,,,,1004.364,8944.0,8944.0
2020-01-01,0.0,0.0,0.0,,,,1027.846,9011.0,9011.0
2020-02-01,0.0,0.0,0.0,,,,794.182,6963.0,6963.0
2020-03-01,0.0,0.0,0.0,,,,1218.648,10684.0,10684.0
2020-04-01,0.0,0.0,0.0,,,,1080.641,9474.0,9474.0
2020-05-01,0.0,0.0,0.0,,,,1046.962,9179.0,9179.0
2020-06-01,0.0,0.0,0.0,,,,929.82,8152.0,8152.0
2020-07-01,0.0,0.0,0.0,,,,1099.316,9638.0,9638.0
2020-08-01,0.0,0.0,0.0,,,,1095.595,9605.0,9605.0
2020-09-01,0.0,0.0,0.0,,,,1184.431,10384.0,10384.0
2020-10-01,0.0,0.0,0.0,,,,1264.925,11090.0,11090.0
2020-11-01,0.0,0.0,0.0,,,,1246.863,10931.0,10931.0
2020-12-01,0.0,0.0,0.0,,,,1164.771,10212.0,10212.0
2021-01-01,0.0,0.0,0.0,,,,902.511,7982.0,7982.0
2021-02-01,0.0,0.0,0.0,,,,963.673,8523.0,8523.0
2021-03-01,0.0,0.0,0.0,,,,1084.15,9588.0,9588.0
2021-04-01,0.0,0.0,0.0,,,,1052.901,9312.0,9312.0
2021-05-01,0.0,0.0,0.0,,,,890.891,7879.0,7879.0
2021-06-01,0.0,0.0,0.0,,,,1028.096,9092.0,9092.0
2021-07-01,0.0,0.0,0.0,,,,1029.39,9104.0,9104.0
2021-08-01,0.0,0.0,0.0,,,,1032.452,9131.0,9131.0
2021-09-01,0.0,0.0,0.0,,,,1146.96,10144.0,10144.0
2021-10-01,0.0,0.0,0.0,,,,990.914,8764.0,8764.0
2021-11-01,0.0,0.0,0.0,,,,1062.899,9400.0,9400.0
2021-12-01,0.0,0.0,0.0,,,,1055.163,9332.0,9332.0
2022-01-01,0.0,0.0,0.0,,,,543.933,1856.0,1856.0
2022-02-01,0.0,0.0,0.0,,,,571.415,1950.0,1950.0
2022-03-01,0.0,0.0,0.0,,,,528.885,1805.0,1805.0
2022-04-01,0.0,0.0,0.0,,,,553.936,1890.0,1890.0
2022-05-01,0.0,0.0,0.0,,,,586.996,2003.0,2003.0
2022-06-01,0.0,0.0,0.0,,,,592.945,2023.0,2023.0
2022-07-01,0.0,0.0,0.0,,,,616.034,2102.0,2102.0
2022-08-01,0.0,0.0,0.0,,,,632.919,2160.0,2160.0
2022-09-01,0.0,0.0,0.0,,,,567.478,1936.0,1936.0
2022-10-01,0.0,0.0,0.0,,,,633.26,2161.0,2161.0
2022-11-01,0.0,0.0,0.0,,,,586.263,2000.0,2000.0
2022-12-01,0.0,0.0,0.0,,,,591.936,2020.0,2020.0
2023-01-01,0.0,0.0,0.0,,,,1239.894,4231.0,4231.0
2023-02-01,0.0,0.0,0.0,,,,1020.819,3483.0,3483.0
2023-03-01,0.0,0.0,0.0,,,,1156.83,3947.0,3947.0
2023-04-01,0.0,0.0,0.0,,,,1218.029,4156.0,4156.0
2023-05-01,0.0,0.0,0.0,,,,1158.631,3953.0,3953.0
2023-06-01,0.0,0.0,0.0,,,,1111.472,3792.0,3792.0
2023-07-01,0.0,0.0,0.0,,,,1152.206,3931.0,3931.0
2023-08-01,0.0,0.0,0.0,,,,1097.177,3744.0,3744.0
2023-09-01,0.0,0.0,0.0,,,,1040.136,3549.0,3549.0
2023-10-01,0.0,0.0,0.0,,,,1261.516,4304.0,4304.0
2023-11-01,0.0,0.0,0.0,,,,1200.407,4096.0,4096.0
2023-12-01,0.0,0.0,0.0,,,,1080.883,3688.0,3688.0
2024-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
