measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2005-04-01,21.828,232.87,232.87,,,,30.475,304.72,304.72
2005-05-01,20.273,216.27,216.27,,,,27.568,275.65,275.65
2005-06-01,26.313000000000002,280.7,280.7,,,,31.052000000000003,310.49,310.49
2005-07-01,26.783,285.72,285.72,,,,33.331,333.28,333.28
2005-08-01,31.463,335.65,335.65,,,,28.202,281.99,281.99
2005-09-01,20.596,219.72,219.72,,,,23.336000000000002,233.33,233.33
2005-10-01,22.872,244.0,244.0,,,,19.917,199.15,199.15
2005-11-01,18.387,196.15,196.15,,,,21.315,213.13,213.13
2005-12-01,38.88,414.76,414.76,,,,26.09,260.87,260.87
2006-01-01,16.571,175.0,175.0,,,,20.658,205.0,205.0
2006-02-01,8.671000000000001,92.0,92.0,,,,18.628,185.0,185.0
2006-03-01,7.284000000000001,77.0,77.0,,,,16.411,163.0,163.0
2006-04-01,13.952,148.0,148.0,,,,17.863,177.0,177.0
2006-05-01,13.042,138.0,138.0,,,,21.12,209.0,209.0
2006-06-01,11.854000000000001,126.0,126.0,,,,20.752000000000002,206.0,206.0
2006-07-01,17.171,182.0,182.0,,,,21.761000000000003,216.0,216.0
2006-08-01,16.656000000000002,176.0,176.0,,,,21.604000000000003,214.0,214.0
2006-09-01,7.652,81.0,81.0,,,,14.024000000000001,139.0,139.0
2006-10-01,8.083,86.0,86.0,,,,12.363000000000001,123.0,123.0
2006-11-01,9.518,101.0,101.0,,,,14.481,144.0,144.0
2006-12-01,10.546000000000001,112.0,112.0,,,,15.334000000000001,152.0,152.0
2007-01-01,20.891000000000002,211.0,211.0,,,,20.368000000000002,201.0,201.0
2007-02-01,64.542,650.0,650.0,,,,17.317,171.0,171.0
2007-03-01,12.154,123.0,123.0,,,,21.15,209.0,209.0
2007-04-01,11.882000000000001,117.0,117.0,,,,22.535,223.0,223.0
2007-05-01,13.053,129.0,129.0,,,,21.226000000000003,210.0,210.0
2007-06-01,18.884,187.0,187.0,,,,17.997,178.0,178.0
2007-07-01,17.074,170.0,170.0,,,,13.91,137.0,137.0
2007-08-01,34.016,340.0,340.0,,,,13.816,137.0,137.0
2007-09-01,16.401,164.0,164.0,,,,11.582,114.0,114.0
2007-10-01,10.719000000000001,105.0,105.0,,,,19.9,197.0,197.0
2007-11-01,11.429,117.0,117.0,,,,14.496,143.0,143.0
2007-12-01,11.955,123.0,123.0,,,,15.703000000000001,155.0,155.0
2008-01-01,1.993,23.0,23.0,,,,25.042,247.0,247.0
2008-02-01,1.9420000000000002,23.0,23.0,,,,12.096,119.0,119.0
2008-03-01,1.173,18.0,18.0,,,,6.073,60.0,60.0
2008-04-01,1.248,18.0,18.0,,,,19.947000000000003,197.0,197.0
2008-05-01,0.6880000000000001,12.0,12.0,,,,19.679000000000002,194.0,194.0
2008-06-01,2.14,29.0,29.0,,,,25.126,248.0,248.0
2008-07-01,1.145,18.0,18.0,,,,29.743000000000002,293.0,293.0
2008-08-01,0.5680000000000001,6.0,6.0,,,,22.882,225.0,225.0
2008-09-01,0.803,12.0,12.0,,,,17.875,176.0,176.0
2008-10-01,0.35900000000000004,6.0,6.0,,,,16.638,164.0,164.0
2008-11-01,0.501,6.0,6.0,,,,25.258000000000003,249.0,249.0
2008-12-01,1.44,18.0,18.0,,,,22.641000000000002,223.0,223.0
2009-01-01,1.661,6.0,6.0,,,,17.014,166.0,166.0
2009-02-01,1.6920000000000002,18.0,18.0,,,,11.578000000000001,113.0,113.0
2009-03-01,1.865,18.0,18.0,,,,15.696000000000002,153.0,153.0
2009-04-01,1.415,18.0,18.0,,,,15.53,152.0,152.0
2009-05-01,2.733,29.0,29.0,,,,16.338,159.0,159.0
2009-06-01,1.9340000000000002,23.0,23.0,,,,19.942,195.0,195.0
2009-07-01,1.4360000000000002,18.0,18.0,,,,20.918,204.0,204.0
2009-08-01,1.965,23.0,23.0,,,,19.974,195.0,195.0
2009-09-01,0.8530000000000001,12.0,12.0,,,,16.163,158.0,158.0
2009-10-01,1.16,12.0,12.0,,,,19.47,190.0,190.0
2009-11-01,1.383,18.0,18.0,,,,19.967000000000002,195.0,195.0
2009-12-01,1.903,23.0,23.0,,,,14.41,141.0,141.0
2010-01-01,2.44,29.0,29.0,,,,16.279,159.0,159.0
2010-02-01,1.566,18.0,18.0,,,,12.547,122.0,122.0
2010-03-01,0.9470000000000001,12.0,12.0,,,,10.464,102.0,102.0
2010-04-01,0.8470000000000001,12.0,12.0,,,,22.732,222.0,222.0
2010-05-01,1.0390000000000001,12.0,12.0,,,,16.911,165.0,165.0
2010-06-01,0.746,6.0,6.0,,,,23.128,226.0,226.0
2010-07-01,1.1280000000000001,12.0,12.0,,,,24.701,241.0,241.0
2010-08-01,3.1550000000000002,35.0,35.0,,,,21.791,213.0,213.0
2010-09-01,2.777,29.0,29.0,,,,12.092,118.0,118.0
2010-10-01,1.403,18.0,18.0,,,,18.466,180.0,180.0
2010-11-01,0.87,12.0,12.0,,,,23.473000000000003,229.0,229.0
2010-12-01,2.0820000000000003,23.0,23.0,,,,17.416,170.0,170.0
2011-01-01,0.766,6.0,6.0,,,,20.453,199.0,199.0
2011-02-01,1.175,18.0,18.0,,,,14.245,138.0,138.0
2011-03-01,1.384,12.0,12.0,,,,4.834,47.0,47.0
2011-04-01,2.287,23.0,23.0,,,,6.707,65.0,65.0
2011-05-01,1.688,18.0,18.0,,,,7.764,75.0,75.0
2011-06-01,2.34,23.0,23.0,,,,25.957,252.0,252.0
2011-07-01,3.088,29.0,29.0,,,,27.041,263.0,263.0
2011-08-01,2.44,23.0,23.0,,,,24.31,236.0,236.0
2011-09-01,1.042,12.0,12.0,,,,21.707,211.0,211.0
2011-10-01,0.666,6.0,6.0,,,,22.081,215.0,215.0
2011-11-01,1.697,18.0,18.0,,,,16.402,159.0,159.0
2011-12-01,2.427,23.0,23.0,,,,9.499,92.0,92.0
2012-01-01,0.834,6.0,6.0,,,,9.082,86.0,86.0
2012-02-01,0.782,6.0,6.0,,,,16.294,155.0,155.0
2012-03-01,0.517,6.0,6.0,,,,11.68,111.0,111.0
2012-04-01,0.322,6.0,6.0,,,,23.581,224.0,224.0
2012-05-01,0.986,12.0,12.0,,,,14.43,137.0,137.0
2012-06-01,1.178,12.0,12.0,,,,18.317,174.0,174.0
2012-07-01,3.66,41.0,41.0,,,,18.676,178.0,178.0
2012-08-01,0.605,6.0,6.0,,,,16.788,160.0,160.0
2012-09-01,1.323,12.0,12.0,,,,17.335,165.0,165.0
2012-10-01,1.18,12.0,12.0,,,,18.925,180.0,180.0
2012-11-01,2.05,23.0,23.0,,,,20.322,193.0,193.0
2012-12-01,0.563,6.0,6.0,,,,13.57,129.0,129.0
2013-01-01,0.0,0.0,0.0,,,,15.244,145.0,145.0
2013-02-01,0.0,0.0,0.0,,,,14.564,139.0,139.0
2013-03-01,0.0,0.0,0.0,,,,14.058,134.0,134.0
2013-04-01,0.0,0.0,0.0,,,,15.505,148.0,148.0
2013-05-01,0.0,0.0,0.0,,,,20.865,199.0,199.0
2013-06-01,0.0,0.0,0.0,,,,20.23,193.0,193.0
2013-07-01,0.0,0.0,0.0,,,,14.271,136.0,136.0
2013-08-01,0.0,0.0,0.0,,,,23.164,221.0,221.0
2013-09-01,0.0,0.0,0.0,,,,20.231,193.0,193.0
2013-10-01,0.0,0.0,0.0,,,,21.311,203.0,203.0
2013-11-01,0.0,0.0,0.0,,,,19.356,185.0,185.0
2013-12-01,0.0,0.0,0.0,,,,6.201,59.0,59.0
2014-01-01,0.0,0.0,0.0,,,,13.84,132.0,132.0
2014-02-01,0.0,0.0,0.0,,,,10.38,99.0,99.0
2014-03-01,0.0,0.0,0.0,,,,19.869,189.0,189.0
2014-04-01,0.0,0.0,0.0,,,,17.51,167.0,167.0
2014-05-01,0.0,0.0,0.0,,,,18.092,172.0,172.0
2014-06-01,0.0,0.0,0.0,,,,22.753,216.0,216.0
2014-07-01,0.0,0.0,0.0,,,,28.356,270.0,270.0
2014-08-01,0.0,0.0,0.0,,,,22.242,212.0,212.0
2014-09-01,0.0,0.0,0.0,,,,25.499,242.0,242.0
2014-10-01,0.0,0.0,0.0,,,,22.82,217.0,217.0
2014-11-01,0.0,0.0,0.0,,,,23.293,222.0,222.0
2014-12-01,0.0,23.0,23.0,,,,18.346,174.0,174.0
2015-01-01,0.0,0.0,0.0,,,,20.338,190.0,190.0
2015-02-01,0.0,0.0,0.0,,,,21.936,204.0,204.0
2015-03-01,0.0,0.0,0.0,,,,8.847,82.0,82.0
2015-04-01,0.0,0.0,0.0,,,,9.68,90.0,90.0
2015-05-01,0.0,0.0,0.0,,,,31.527,294.0,294.0
2015-06-01,0.0,0.0,0.0,,,,25.852,241.0,241.0
2015-07-01,0.0,0.0,0.0,,,,21.846,204.0,204.0
2015-08-01,0.0,0.0,0.0,,,,30.624,285.0,285.0
2015-09-01,0.0,0.0,0.0,,,,22.008,205.0,205.0
2015-10-01,0.0,0.0,0.0,,,,31.036,289.0,289.0
2015-11-01,0.0,0.0,0.0,,,,42.394,395.0,395.0
2015-12-01,0.0,0.0,0.0,,,,29.912,279.0,279.0
2016-01-01,0.0,0.0,0.0,,,,32.419,299.0,299.0
2016-02-01,0.0,0.0,0.0,,,,15.138,140.0,140.0
2016-03-01,0.0,0.0,0.0,,,,24.133,223.0,223.0
2016-04-01,0.0,0.0,0.0,,,,31.695,293.0,293.0
2016-05-01,0.0,0.0,0.0,,,,22.876,211.0,211.0
2016-06-01,0.0,0.0,0.0,,,,31.731,293.0,293.0
2016-07-01,0.0,0.0,0.0,,,,33.199,306.0,306.0
2016-08-01,0.0,0.0,0.0,,,,35.053,324.0,324.0
2016-09-01,0.0,0.0,0.0,,,,20.82,192.0,192.0
2016-10-01,0.0,0.0,0.0,,,,30.72,284.0,284.0
2016-11-01,0.0,0.0,0.0,,,,35.208,325.0,325.0
2016-12-01,0.0,12.0,12.0,,,,25.008,231.0,231.0
2017-01-01,0.0,0.0,0.0,,,,31.768,293.0,293.0
2017-02-01,0.0,0.0,0.0,,,,29.695,274.0,274.0
2017-03-01,0.0,0.0,0.0,,,,31.697,292.0,292.0
2017-04-01,0.0,0.0,0.0,,,,25.302,233.0,233.0
2017-05-01,0.0,0.0,0.0,,,,24.915,230.0,230.0
2017-06-01,0.0,0.0,0.0,,,,25.432,234.0,234.0
2017-07-01,0.0,0.0,0.0,,,,27.324,252.0,252.0
2017-08-01,0.0,0.0,0.0,,,,26.796,247.0,247.0
2017-09-01,0.0,0.0,0.0,,,,24.442,225.0,225.0
2017-10-01,0.0,0.0,0.0,,,,25.232,232.0,232.0
2017-11-01,0.0,0.0,0.0,,,,27.404,252.0,252.0
2017-12-01,0.0,23.0,23.0,,,,24.993,230.0,230.0
2018-01-01,0.0,0.0,0.0,,,,23.6,215.0,215.0
2018-02-01,0.0,0.0,0.0,,,,20.807,189.0,189.0
2018-03-01,0.0,0.0,0.0,,,,21.464,195.0,195.0
2018-04-01,0.0,0.0,0.0,,,,21.898,199.0,199.0
2018-05-01,0.0,0.0,0.0,,,,23.751,216.0,216.0
2018-06-01,0.0,0.0,0.0,,,,23.329,212.0,212.0
2018-07-01,0.0,0.0,0.0,,,,21.12,192.0,192.0
2018-08-01,0.0,0.0,0.0,,,,19.73,180.0,180.0
2018-09-01,0.0,0.0,0.0,,,,23.499,214.0,214.0
2018-10-01,0.0,0.0,0.0,,,,25.109,229.0,229.0
2018-11-01,0.0,0.0,0.0,,,,27.146,247.0,247.0
2018-12-01,0.0,18.0,18.0,,,,28.547,260.0,260.0
2019-01-01,0.0,0.0,0.0,,,,34.449,307.0,307.0
2019-02-01,0.0,0.0,0.0,,,,28.199,251.0,251.0
2019-03-01,0.0,0.0,0.0,,,,34.765,310.0,310.0
2019-04-01,0.0,0.0,0.0,,,,29.9,266.0,266.0
2019-05-01,0.0,0.0,0.0,,,,31.146,277.0,277.0
2019-06-01,0.0,0.0,0.0,,,,27.525,245.0,245.0
2019-07-01,0.0,0.0,0.0,,,,30.441,271.0,271.0
2019-08-01,0.0,0.0,0.0,,,,30.689,273.0,273.0
2019-09-01,0.0,0.0,0.0,,,,30.929,275.0,275.0
2019-10-01,0.0,0.0,0.0,,,,34.692,309.0,309.0
2019-11-01,0.0,0.0,0.0,,,,35.044,312.0,312.0
2019-12-01,0.0,12.0,12.0,,,,34.221,305.0,305.0
2020-01-01,0.0,0.0,0.0,,,,36.02,316.0,316.0
2020-02-01,0.0,0.0,0.0,,,,31.937,280.0,280.0
2020-03-01,0.0,0.0,0.0,,,,35.329,310.0,310.0
2020-04-01,0.0,0.0,0.0,,,,34.224,300.0,300.0
2020-05-01,0.0,0.0,0.0,,,,36.035,316.0,316.0
2020-06-01,0.0,0.0,0.0,,,,35.168,308.0,308.0
2020-07-01,0.0,0.0,0.0,,,,34.924,306.0,306.0
2020-08-01,0.0,0.0,0.0,,,,32.948,289.0,289.0
2020-09-01,0.0,0.0,0.0,,,,34.815,305.0,305.0
2020-10-01,0.0,0.0,0.0,,,,34.724,304.0,304.0
2020-11-01,0.0,0.0,0.0,,,,36.637,321.0,321.0
2020-12-01,2.0,53.0,53.0,,,,39.239,344.0,344.0
2021-01-01,0.0,0.0,0.0,,,,34.177,302.0,302.0
2021-02-01,0.0,0.0,0.0,,,,27.12,240.0,240.0
2021-03-01,0.0,0.0,0.0,,,,29.987,265.0,265.0
2021-04-01,0.0,0.0,0.0,,,,30.948,274.0,274.0
2021-05-01,0.0,0.0,0.0,,,,29.033,257.0,257.0
2021-06-01,0.0,0.0,0.0,,,,28.259,250.0,250.0
2021-07-01,0.0,0.0,0.0,,,,27.712,245.0,245.0
2021-08-01,0.0,0.0,0.0,,,,29.84,264.0,264.0
2021-09-01,0.0,0.0,0.0,,,,25.571,226.0,226.0
2021-10-01,0.0,0.0,0.0,,,,27.551,244.0,244.0
2021-11-01,0.0,0.0,0.0,,,,26.987,239.0,239.0
2021-12-01,0.0,23.0,23.0,,,,29.815,264.0,264.0
2022-01-01,0.0,0.0,0.0,,,,26.321,90.0,90.0
2022-02-01,0.0,0.0,0.0,,,,22.409,76.0,76.0
2022-03-01,0.0,0.0,0.0,,,,29.184,100.0,100.0
2022-04-01,0.0,0.0,0.0,,,,30.667,105.0,105.0
2022-05-01,0.0,0.0,0.0,,,,32.513,111.0,111.0
2022-06-01,0.0,0.0,0.0,,,,30.219,103.0,103.0
2022-07-01,0.0,0.0,0.0,,,,21.886,75.0,75.0
2022-08-01,0.0,0.0,0.0,,,,25.371,87.0,87.0
2022-09-01,0.0,0.0,0.0,,,,26.464,90.0,90.0
2022-10-01,0.0,0.0,0.0,,,,21.037,72.0,72.0
2022-11-01,0.0,0.0,0.0,,,,29.601,101.0,101.0
2022-12-01,0.0,12.0,12.0,,,,28.328,97.0,97.0
2023-01-01,0.0,0.0,0.0,,,,33.0,113.0,113.0
2023-02-01,0.0,0.0,0.0,,,,29.0,99.0,99.0
2023-03-01,0.0,0.0,0.0,,,,37.0,126.0,126.0
2023-04-01,0.0,0.0,0.0,,,,27.0,92.0,92.0
2023-05-01,0.0,0.0,0.0,,,,39.0,133.0,133.0
2023-06-01,0.0,0.0,0.0,,,,18.0,61.0,61.0
2023-07-01,0.0,0.0,0.0,,,,22.0,75.0,75.0
2023-08-01,0.0,0.0,0.0,,,,21.0,72.0,72.0
2023-09-01,0.0,0.0,0.0,,,,23.0,78.0,78.0
2023-10-01,0.0,0.0,0.0,,,,33.0,113.0,113.0
2023-11-01,0.0,0.0,0.0,,,,37.0,126.0,126.0
2023-12-01,0.0,0.0,0.0,,,,30.0,102.0,102.0
2024-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2024-02-01,0.0,0.0,0.0,,,,16.0,55.0,55.0
2024-03-01,0.0,0.0,0.0,,,,34.0,116.0,116.0
2024-04-01,0.0,0.0,0.0,,,,41.0,140.0,140.0
2024-05-01,0.0,0.0,0.0,,,,39.0,133.0,133.0
2024-06-01,0.0,0.0,0.0,,,,41.0,140.0,140.0
2024-07-01,0.0,0.0,0.0,,,,30.0,102.0,102.0
2024-08-01,0.0,0.0,0.0,,,,28.0,96.0,96.0
2024-09-01,0.0,0.0,0.0,,,,24.0,82.0,82.0
2024-10-01,0.0,0.0,0.0,,,,23.0,78.0,78.0
2024-11-01,0.0,0.0,0.0,,,,31.0,106.0,106.0
2024-12-01,,,,0.0,0.0,0.0,35.0,119.0,119.0
