measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2014-07-01,0.0,0.0,0.0,47797.0,541870.0,541870.0
2014-08-01,225.959,2546.0,2546.0,58475.041,658878.0,658878.0
2014-09-01,0.0,0.0,0.0,44048.0,508932.0,508932.0
2014-10-01,5362.049,91369.0,91369.0,11696.951,199316.0,199316.0
2014-11-01,4165.048,52873.0,52873.0,39193.952,497545.0,497545.0
2014-12-01,2064.552,24637.0,24637.0,47551.448,567452.0,567452.0
2015-01-01,0.533,6.0,6.0,53757.467,593567.0,593567.0
2015-02-01,0.0,0.0,0.0,49740.0,554394.0,554394.0
2015-03-01,0.526,6.0,6.0,50304.474,562146.0,562146.0
2015-04-01,229.524,2634.0,2634.0,20483.476,235088.0,235088.0
2015-05-01,98.772,1100.0,1100.0,46956.228,522732.0,522732.0
2015-06-01,0.0,0.0,0.0,50959.0,576057.0,576057.0
2015-07-01,0.0,0.0,0.0,55478.0,618230.0,618230.0
2015-08-01,95.736,1076.0,1076.0,46181.264,519063.0,519063.0
2015-09-01,0.527,6.0,6.0,46886.473,522977.0,522977.0
2015-10-01,13.17,147.0,147.0,40371.83,450634.0,450634.0
2015-11-01,142.487,1599.0,1599.0,35301.513,396246.0,396246.0
2015-12-01,6.63,76.0,76.0,44754.37,516024.0,516024.0
2016-01-01,0.0,0.0,0.0,43876.0,513672.0,513672.0
2016-02-01,0.0,0.0,0.0,42652.0,490766.0,490766.0
2016-03-01,0.0,0.0,0.0,42011.0,490580.0,490580.0
2016-04-01,7.058,82.0,82.0,1691.942,19735.0,19735.0
2016-05-01,141.009,1688.0,1688.0,16409.991,196391.0,196391.0
2016-06-01,0.0,0.0,0.0,52304.0,587514.0,587514.0
2016-07-01,0.0,0.0,0.0,56583.0,635255.0,635255.0
2016-08-01,6.877,76.0,76.0,55223.123,613833.0,613833.0
2016-09-01,0.0,0.0,0.0,45725.0,511736.0,511736.0
2016-10-01,180.125,1987.0,1987.0,35918.875,396317.0,396317.0
2016-11-01,97.131,1064.0,1064.0,50429.869,552571.0,552571.0
2016-12-01,4.161,47.0,47.0,52498.839,593458.0,593458.0
2017-01-01,177.021,2034.0,2034.0,42216.979,485196.0,485196.0
2017-02-01,0.0,0.0,0.0,42148.0,467586.0,467586.0
2017-03-01,4.304,47.0,47.0,26813.696,293079.0,293079.0
2017-04-01,0.0,465.0,465.0,0.0,0.0,0.0
2017-05-01,72.843,2499.0,2499.0,38.157,1309.0,1309.0
2017-06-01,88.507,1011.0,1011.0,51559.493,589163.0,589163.0
2017-07-01,3.11,35.0,35.0,53674.89,608935.0,608935.0
2017-08-01,308.902,3687.0,3687.0,30609.098,365320.0,365320.0
2017-09-01,0.0,0.0,0.0,22888.0,263211.0,263211.0
2017-10-01,0.0,429.0,429.0,0.0,0.0,0.0
2017-11-01,406.325,8497.0,8497.0,627.675,13125.0,13125.0
2017-12-01,0.501,6.0,6.0,51798.499,608457.0,608457.0
2018-01-01,26.394,312.0,312.0,50803.606,599848.0,599848.0
2018-02-01,106.12,1252.0,1252.0,41745.88,492692.0,492692.0
2018-03-01,0.0,0.0,0.0,44781.0,536004.0,536004.0
2018-04-01,186.192,2181.0,2181.0,36925.808,432633.0,432633.0
2018-05-01,174.001,2058.0,2058.0,30103.999,356055.0,356055.0
2018-06-01,0.0,0.0,0.0,51092.0,602453.0,602453.0
2018-07-01,0.0,0.0,0.0,58354.0,684009.0,684009.0
2018-08-01,0.0,0.0,0.0,56790.0,666523.0,666523.0
2018-09-01,0.0,0.0,0.0,45753.0,540749.0,540749.0
2018-10-01,277.704,3334.0,3334.0,21857.296,262406.0,262406.0
2018-11-01,0.0,0.0,0.0,49155.0,578676.0,578676.0
2018-12-01,0.0,0.0,0.0,48590.0,572982.0,572982.0
2019-01-01,0.0,0.0,0.0,52470.0,624221.0,624221.0
2019-02-01,5.836,71.0,71.0,47101.164,569517.0,569517.0
2019-03-01,114.023,1376.0,1376.0,43656.977,526811.0,526811.0
2019-04-01,193.726,2299.0,2299.0,12809.274,152017.0,152017.0
2019-05-01,0.0,0.0,0.0,54947.0,678169.0,678169.0
2019-06-01,0.0,0.0,0.0,45419.0,543099.0,543099.0
2019-07-01,0.0,0.0,0.0,51388.0,633468.0,633468.0
2019-08-01,0.0,0.0,0.0,48412.0,597138.0,597138.0
2019-09-01,9.532,112.0,112.0,34334.468,402407.0,402407.0
2019-10-01,137.102,1635.0,1635.0,30871.898,368079.0,368079.0
2019-11-01,0.0,0.0,0.0,40459.0,476017.0,476017.0
2019-12-01,3.443,41.0,41.0,42893.557,512764.0,512764.0
2020-01-01,37.965,456.0,456.0,42872.035,514933.0,514933.0
2020-02-01,0.0,0.0,0.0,38798.0,474384.0,474384.0
2020-03-01,0.0,0.0,0.0,40940.0,492588.0,492588.0
2020-04-01,63.186,798.0,798.0,3906.814,49341.0,49341.0
2020-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,150.106,1790.0,1790.0,29693.894,354057.0,354057.0
2020-07-01,87.605,1026.0,1026.0,46457.395,544096.0,544096.0
2020-08-01,23.254,274.0,274.0,50501.746,594179.0,594179.0
2020-09-01,0.0,0.0,0.0,44665.0,521261.0,521261.0
2020-10-01,91.385,1060.0,1060.0,6891.615,79953.0,79953.0
2020-11-01,249.719,3004.0,3004.0,11706.281,140816.0,140816.0
2020-12-01,39.519,467.0,467.0,44848.481,530433.0,530433.0
2021-01-01,0.0,0.0,0.0,45377.0,526975.0,526975.0
2021-02-01,0.0,0.0,0.0,48935.0,570253.0,570253.0
2021-03-01,6.37,74.0,74.0,6568.63,76410.0,76410.0
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,212.664,2383.0,2383.0,49938.336,559487.0,559487.0
2021-07-01,0.0,0.0,0.0,58758.0,665579.0,665579.0
2021-08-01,6.591,74.0,74.0,57939.409,651347.0,651347.0
2021-09-01,0.0,0.0,0.0,47842.0,546633.0,546633.0
2021-10-01,199.658,2360.0,2360.0,8380.342,99049.0,99049.0
2021-11-01,1.464,17.0,17.0,51215.536,598043.0,598043.0
2021-12-01,50.482,587.0,587.0,46800.518,544281.0,544281.0
2022-01-01,0.0,0.0,0.0,37794.0,450960.0,450960.0
2022-02-01,74.267,844.0,844.0,41334.733,469521.0,469521.0
2022-03-01,28.966,325.0,325.0,30429.034,341314.0,341314.0
2022-04-01,189.567,2177.0,2177.0,9065.433,104127.0,104127.0
2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,155.105,1733.0,1733.0,49392.895,551805.0,551805.0
2022-07-01,0.0,0.0,0.0,63898.0,707761.0,707761.0
2022-08-01,3.623,40.0,40.0,66296.377,730084.0,730084.0
2022-09-01,0.0,0.0,0.0,41449.0,460459.0,460459.0
2022-10-01,230.447,2531.0,2531.0,7196.553,79034.0,79034.0
2022-11-01,192.455,2149.0,2149.0,36556.545,408181.0,408181.0
2022-12-01,3.555,40.0,40.0,56718.445,636610.0,636610.0
2023-01-01,0.0,0.0,0.0,56051.0,628228.0,628228.0
2023-02-01,0.0,0.0,0.0,39635.0,454746.0,454746.0
2023-03-01,0.0,0.0,0.0,42834.0,485955.0,485955.0
2023-04-01,7.875,91.0,91.0,5152.125,59663.0,59663.0
2023-05-01,121.524,1368.0,1368.0,34605.476,389555.0,389555.0
2023-06-01,284.942,3192.0,3192.0,37084.058,415426.0,415426.0
2023-07-01,0.0,0.0,0.0,54415.0,607814.0,607814.0
2023-08-01,4.589,51.0,51.0,53638.411,599595.0,599595.0
2023-09-01,0.0,0.0,0.0,23357.0,263762.0,263762.0
2023-10-01,0.0,234.0,234.0,0.0,0.0,0.0
2023-11-01,0.0,388.0,388.0,0.0,0.0,0.0
2023-12-01,563.396,6606.0,6606.0,14104.604,165388.0,165388.0
2024-01-01,0.0,0.0,0.0,53779.0,602132.0,602132.0
2024-02-01,82.141,935.0,935.0,27955.859,318150.0,318150.0
2024-03-01,36.042,399.0,399.0,16786.958,185840.0,185840.0
2024-04-01,139.695,1596.0,1596.0,10573.305,120798.0,120798.0
2024-05-01,159.277,1835.0,1835.0,25727.723,296469.0,296469.0
2024-06-01,0.0,0.0,0.0,46009.0,518078.0,518078.0
2024-07-01,0.0,0.0,0.0,51226.0,574564.0,574564.0
2024-08-01,0.0,0.0,0.0,49907.0,552807.0,552807.0
2024-09-01,4.509,51.0,51.0,10829.491,123211.0,123211.0
2024-10-01,198.802,2348.0,2348.0,4771.198,56361.0,56361.0
2024-11-01,77.104,895.0,895.0,14624.896,169743.0,169743.0
2024-12-01,0.0,0.0,0.0,45931.0,509846.0,509846.0
