measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2008-11-01,3528.338,59669.0,59669.0,688.24,11399.0,11399.0
2008-12-01,3612.223,61087.0,61087.0,704.6030000000001,11671.0,11671.0
2009-01-01,2435.4120000000003,43886.0,43886.0,459.67600000000004,7522.0,7522.0
2009-02-01,2944.264,53055.0,53055.0,555.7180000000001,9094.0,9094.0
2009-03-01,3195.65,57586.0,57586.0,603.166,9871.0,9871.0
2009-04-01,2901.494,52285.0,52285.0,547.645,8962.0,8962.0
2009-05-01,3056.85,55084.0,55084.0,576.9680000000001,9442.0,9442.0
2009-06-01,3253.442,58627.0,58627.0,614.0740000000001,10049.0,10049.0
2009-07-01,3347.445,60321.0,60321.0,631.817,10340.0,10340.0
2009-08-01,2970.984,53537.0,53537.0,560.7610000000001,9177.0,9177.0
2009-09-01,3121.0750000000003,56242.0,56242.0,589.091,9641.0,9641.0
2009-10-01,3204.556,57746.0,57746.0,604.847,9898.0,9898.0
2009-11-01,3073.313,55381.0,55381.0,580.076,9493.0,9493.0
2009-12-01,3211.5150000000003,57871.0,57871.0,606.1610000000001,9920.0,9920.0
2010-01-01,3427.444,63192.0,63192.0,867.01,12112.0,12112.0
2010-02-01,3031.3740000000003,55890.0,55890.0,766.82,10713.0,10713.0
2010-03-01,2947.617,54346.0,54346.0,745.633,10416.0,10416.0
2010-04-01,3050.5930000000003,56244.0,56244.0,771.681,10781.0,10781.0
2010-05-01,3114.715,57427.0,57427.0,787.902,11007.0,11007.0
