measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2018-07-01,,,,,,,185.035,1685.0,1685.0
2018-08-01,,,,,,,186.323,1696.0,1696.0
2018-09-01,,,,,,,176.381,1606.0,1606.0
2018-10-01,,,,,,,138.965,1265.0,1265.0
2018-11-01,,,,,,,95.586,870.0,870.0
2018-12-01,,,,,,,76.043,692.0,692.0
2019-01-01,711.061,6364.0,6364.0,,,,74.422,663.0,663.0
2019-02-01,659.304,5900.0,5900.0,,,,86.836,773.0,773.0
2019-03-01,574.945,5145.0,5145.0,,,,131.906,1175.0,1175.0
2019-04-01,403.437,3610.0,3610.0,,,,153.415,1366.0,1366.0
2019-05-01,347.648,3111.0,3111.0,,,,159.73,1422.0,1422.0
2019-06-01,464.867,4160.0,4160.0,,,,193.104,1720.0,1720.0
2019-07-01,732.819,6558.0,6558.0,,,,190.57,1697.0,1697.0
2019-08-01,860.783,7704.0,7704.0,,,,186.64,1662.0,1662.0
2019-09-01,757.425,6778.0,6778.0,,,,152.632,1359.0,1359.0
2019-10-01,775.767,6942.0,6942.0,,,,140.244,1249.0,1249.0
2019-11-01,760.825,6809.0,6809.0,,,,89.691,799.0,799.0
2019-12-01,789.119,7061.0,7061.0,,,,57.81,515.0,515.0
2020-01-01,476.979,4862.0,4862.0,,,,60.114,527.0,527.0
2020-02-01,421.217,4291.0,4291.0,,,,81.487,714.0,714.0
2020-03-01,467.579,4764.0,4764.0,,,,79.74,699.0,699.0
2020-04-01,330.672,3369.0,3369.0,,,,100.495,881.0,881.0
2020-05-01,310.922,3168.0,3168.0,,,,131.522,1153.0,1153.0
2020-06-01,437.377,4456.0,4456.0,,,,130.97,1148.0,1148.0
2020-07-01,611.844,6234.0,6234.0,,,,147.933,1297.0,1297.0
2020-08-01,760.87,7753.0,7753.0,,,,122.558,1074.0,1074.0
2020-09-01,662.6,6751.0,6751.0,,,,96.232,844.0,844.0
2020-10-01,688.126,7011.0,7011.0,,,,88.95,780.0,780.0
2020-11-01,549.651,5601.0,5601.0,,,,70.322,617.0,617.0
2020-12-01,609.253,6207.0,6207.0,,,,55.677,488.0,488.0
2021-01-01,371.798,4925.0,4925.0,,,,73.127,647.0,647.0
2021-02-01,315.298,4176.0,4176.0,,,,95.793,847.0,847.0
2021-03-01,339.006,4490.0,4490.0,,,,123.686,1094.0,1094.0
2021-04-01,300.812,3985.0,3985.0,,,,154.822,1369.0,1369.0
2021-05-01,314.387,4164.0,4164.0,,,,168.754,1492.0,1492.0
2021-06-01,429.906,5695.0,5695.0,,,,163.926,1450.0,1450.0
2021-07-01,593.262,7859.0,7859.0,,,,157.01,1389.0,1389.0
2021-08-01,541.668,7175.0,7175.0,,,,154.435,1366.0,1366.0
2021-09-01,460.896,6106.0,6106.0,,,,133.163,1178.0,1178.0
2021-10-01,439.375,5820.0,5820.0,,,,110.835,980.0,980.0
2021-11-01,403.808,5350.0,5350.0,,,,88.19,780.0,780.0
2021-12-01,416.784,5521.0,5521.0,,,,60.259,533.0,533.0
2022-01-01,359.402,4844.0,4844.0,,,,79.968,273.0,273.0
2022-02-01,298.398,4022.0,4022.0,,,,95.385,325.0,325.0
2022-03-01,276.098,3722.0,3722.0,,,,126.46,431.0,431.0
2022-04-01,282.816,3812.0,3812.0,,,,142.651,487.0,487.0
2022-05-01,259.532,3499.0,3499.0,,,,167.191,570.0,570.0
2022-06-01,352.981,4758.0,4758.0,,,,174.088,594.0,594.0
2022-07-01,471.547,6356.0,6356.0,,,,167.905,573.0,573.0
2022-08-01,568.984,7670.0,7670.0,,,,155.899,532.0,532.0
2022-09-01,521.473,7030.0,7030.0,,,,131.566,449.0,449.0
2022-10-01,478.892,6456.0,6456.0,,,,121.21,414.0,414.0
2022-11-01,439.78,5928.0,5928.0,,,,89.857,307.0,307.0
2022-12-01,486.097,6553.0,6553.0,,,,62.82,214.0,214.0
2023-01-01,599.71,4040.0,4040.0,,,,62.0,212.0,212.0
2023-02-01,510.838,3441.0,3441.0,,,,73.0,249.0,249.0
2023-03-01,490.981,3308.0,3308.0,,,,90.0,307.0,307.0
2023-04-01,383.558,2583.0,2583.0,,,,119.0,406.0,406.0
2023-05-01,248.429,1674.0,1674.0,,,,113.0,386.0,386.0
2023-06-01,326.817,2201.0,2201.0,,,,109.0,372.0,372.0
2023-07-01,756.518,5096.0,5096.0,,,,134.0,457.0,457.0
2023-08-01,763.341,5142.0,5142.0,,,,131.0,447.0,447.0
2023-09-01,540.314,3640.0,3640.0,,,,100.0,341.0,341.0
2023-10-01,659.824,4444.0,4444.0,,,,96.0,328.0,328.0
2023-11-01,619.831,4175.0,4175.0,,,,70.0,239.0,239.0
2023-12-01,697.839,4701.0,4701.0,,,,49.0,167.0,167.0
2024-01-01,,,,0.0,0.0,0.0,54.0,184.0,184.0
2024-02-01,,,,0.0,0.0,0.0,52.0,177.0,177.0
2024-03-01,,,,0.0,0.0,0.0,89.0,304.0,304.0
2024-04-01,,,,0.0,0.0,0.0,105.0,358.0,358.0
2024-05-01,,,,0.0,0.0,0.0,107.0,365.0,365.0
2024-06-01,,,,0.0,0.0,0.0,119.0,406.0,406.0
2024-07-01,,,,0.0,0.0,0.0,124.0,423.0,423.0
2024-08-01,,,,0.0,0.0,0.0,117.0,399.0,399.0
2024-09-01,,,,0.0,0.0,0.0,78.0,266.0,266.0
2024-10-01,,,,0.0,0.0,0.0,54.0,184.0,184.0
2024-11-01,,,,0.0,0.0,0.0,44.0,150.0,150.0
2024-12-01,,,,0.0,0.0,0.0,34.0,116.0,116.0
