measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other - Other - Other - Generation,Other - Other - Other - Quantity Consumed For Electricity,Other - Other - Other - Total Fuel Consumed
2017-02-01,,,,,,,14920.0,286917.0,286917.0,,,,,,
2017-03-01,,,,,,,16664.0,303131.0,303131.0,,,,,,
2017-04-01,,,,,,,14296.0,250993.0,250993.0,,,,,,
2017-05-01,,,,,,,14295.0,262931.0,262931.0,,,,,,
2017-06-01,,,,,,,14088.0,260121.0,260121.0,,,,,,
2017-07-01,,,,,,,17573.0,311895.0,311895.0,,,,,,
2017-08-01,,,,,,,18264.0,348705.0,348705.0,,,,,,
2017-09-01,,,,,,,19739.0,343495.0,343495.0,,,,,,
2017-10-01,,,,,,,17299.0,325625.0,325625.0,,,,,,
2017-11-01,,,,,,,11510.0,263137.0,263137.0,,,,,,
2017-12-01,,,,,,,21830.0,417272.0,417272.0,,,,,,
2018-01-01,0.0,0.0,0.0,,,,19828.0,381739.0,381739.0,,,,,,
2018-02-01,0.0,0.0,0.0,,,,19387.0,359279.0,359279.0,,,,,,
2018-03-01,0.0,0.0,0.0,,,,21618.0,401562.0,401562.0,,,,,,
2018-04-01,,,,,,,11599.0,266566.0,266566.0,,,,,,
2018-05-01,,,,1.0,12.0,12.0,17670.0,374950.0,374950.0,35538.0,274230.0,274230.0,0.0,0.0,0.0
2018-06-01,,,,0.0,0.0,0.0,24359.0,469533.0,469533.0,38062.0,201713.0,201713.0,0.0,0.0,0.0
2018-07-01,,,,0.0,0.0,0.0,23333.0,454485.0,454485.0,30303.0,209853.0,209853.0,0.0,0.0,0.0
2018-08-01,,,,0.0,0.0,0.0,23142.0,431188.0,431188.0,35913.0,206734.0,206734.0,0.0,0.0,0.0
2018-09-01,,,,0.0,0.0,0.0,25605.0,490347.0,490347.0,21765.0,100763.0,100763.0,0.0,0.0,0.0
2018-10-01,,,,0.0,0.0,0.0,15342.0,330858.0,330858.0,22048.0,233904.0,233904.0,0.0,0.0,0.0
2018-11-01,,,,0.0,0.0,0.0,10281.0,218128.0,218128.0,41665.0,171107.0,171107.0,0.0,0.0,0.0
2018-12-01,,,,0.0,0.0,0.0,8533.0,181925.0,181925.0,43330.0,184919.0,184919.0,0.0,0.0,0.0
2019-01-01,,,,0.0,0.0,0.0,13073.0,289165.0,289165.0,41103.75,213933.0,213933.0,0.0,0.0,0.0
2019-02-01,,,,0.0,0.0,0.0,14430.0,286694.0,286694.0,33252.57,180097.0,180097.0,0.0,0.0,0.0
2019-03-01,,,,0.0,0.0,0.0,11547.0,250034.0,250034.0,45039.0,205235.0,205235.0,0.0,0.0,0.0
2019-04-01,,,,0.0,0.0,0.0,17165.0,329704.0,329704.0,43669.0,227425.0,227425.0,0.0,0.0,0.0
2019-05-01,,,,0.0,0.0,0.0,16832.0,317129.0,317129.0,53725.0,237012.0,237012.0,0.0,0.0,0.0
2019-06-01,,,,0.0,0.0,0.0,14174.0,287250.0,287250.0,46791.0,225849.0,225849.0,0.0,0.0,0.0
2019-07-01,,,,0.0,0.0,0.0,14479.0,277542.0,277542.0,50971.0,257002.0,257002.0,0.0,0.0,0.0
2019-08-01,,,,0.0,0.0,0.0,14842.0,271047.0,271047.0,58811.0,287389.0,287389.0,0.0,0.0,0.0
2019-09-01,,,,0.0,0.0,0.0,19791.0,365651.0,365651.0,22781.0,151797.0,151797.0,0.0,0.0,0.0
2019-10-01,,,,0.0,0.0,0.0,16224.0,288678.0,288678.0,34002.0,221648.0,221648.0,0.0,0.0,0.0
2019-11-01,,,,0.0,0.0,0.0,15401.0,282210.0,282210.0,37260.0,179367.0,179367.0,0.0,0.0,0.0
2019-12-01,,,,0.0,0.0,0.0,10329.0,225192.0,225192.0,34944.0,193575.0,193575.0,0.0,0.0,0.0
2020-01-01,,,,0.0,0.0,0.0,11373.0,238967.0,238967.0,43960.0,204543.0,204543.0,0.0,0.0,0.0
2020-02-01,,,,0.0,0.0,0.0,10123.0,215398.0,215398.0,38715.0,180001.0,180001.0,0.0,0.0,0.0
2020-03-01,,,,0.0,0.0,0.0,12533.0,237902.0,237902.0,39792.0,247801.0,247801.0,0.0,0.0,0.0
2020-04-01,,,,0.0,0.0,0.0,11902.0,243587.0,243587.0,40373.0,228444.0,228444.0,0.0,0.0,0.0
2020-05-01,,,,0.0,0.0,0.0,11776.0,256534.0,256534.0,42221.0,199097.0,199097.0,0.0,0.0,0.0
2020-06-01,,,,0.0,0.0,0.0,13039.0,245290.0,245290.0,39800.0,199067.0,199067.0,0.0,0.0,0.0
2020-07-01,,,,0.0,0.0,0.0,12268.0,235582.0,235582.0,44460.0,201984.0,201984.0,0.0,0.0,0.0
2020-08-01,,,,0.0,0.0,0.0,12891.0,236670.0,236670.0,43029.0,207342.0,207342.0,0.0,0.0,0.0
2020-09-01,,,,0.0,0.0,0.0,15185.0,272248.0,272248.0,28329.0,130060.0,130060.0,0.0,0.0,0.0
2020-10-01,,,,0.0,0.0,0.0,13877.0,271872.0,271872.0,35844.0,216650.0,216650.0,0.0,0.0,0.0
2020-11-01,,,,0.0,0.0,0.0,10204.0,225461.0,225461.0,40682.0,214992.0,214992.0,0.0,0.0,0.0
2020-12-01,,,,0.0,0.0,0.0,9407.0,227913.0,227913.0,35944.0,188231.0,188231.0,0.0,0.0,0.0
