measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-07-01,38065.0,647280.0,647280.0,,,,,,,15335.0,201720.0,201720.0
2004-08-01,35683.0,557280.0,557280.0,,,,,,,17243.0,210740.0,210740.0
2004-09-01,31605.0,567600.0,567600.0,,,,,,,17373.0,238620.0,238620.0
2004-10-01,35128.0,583680.0,583680.0,,,,,,,19648.0,257480.0,257480.0
2004-11-01,30046.0,485040.0,485040.0,,,,,,,22847.0,288640.0,288640.0
2004-12-01,31139.0,568960.0,568960.0,,,,,,,20720.0,300940.0,300940.0
2005-01-01,26490.0,388892.0,388892.0,,,,,,,23175.0,528000.0,528000.0
2005-02-01,23972.0,354588.8,354588.8,,,,,,,22485.0,529500.0,529500.0
2005-03-01,27818.0,400435.2,400435.2,,,,,,,23537.0,528000.0,528000.0
2005-04-01,24064.0,363683.2,363683.2,,,,,,,24189.0,582000.0,582000.0
2005-05-01,13643.0,219403.8,219403.8,,,,,,,15226.0,391500.0,391500.0
2005-06-01,22520.0,330600.0,330600.0,,,,,,,20795.0,486000.0,486000.0
2005-07-01,23858.0,352176.0,352176.0,,,,,,,22468.0,528000.0,528000.0
2005-08-01,23649.0,344790.6,344790.6,,,,,,,22521.0,525000.0,525000.0
2005-09-01,21677.0,328001.6,328001.6,,,,,,,21295.0,513000.0,513000.0
2005-10-01,25026.0,381057.6,381057.6,,,,,,,25199.0,613500.0,613500.0
2005-11-01,21799.0,344402.0,344402.0,,,,,,,23761.0,602850.0,602850.0
2005-12-01,7624.0,98076.0,98076.0,,,,,,,28257.0,610260.0,610260.0
2006-01-01,9360.0,129272.0,129272.0,,,,,,,26362.0,611280.0,611280.0
2006-02-01,14874.0,166430.0,166430.0,,,,,,,31116.0,584535.0,584535.0
2006-03-01,17189.0,214240.0,214240.0,,,,,,,32902.0,582555.0,582555.0
2006-04-01,19331.0,209014.0,209014.0,,,,,,,29540.0,453705.0,453705.0
2006-05-01,14909.0,187200.0,187200.0,,,,,,,28947.0,516300.0,516300.0
2006-06-01,9205.0,133848.0,133848.0,,,,,,,22356.0,461760.0,461760.0
2006-07-01,19550.0,209898.0,209898.0,,,,,,,29602.0,451500.0,451500.0
2006-08-01,14779.0,186238.0,186238.0,,,,,,,29903.0,535290.0,535290.0
2006-09-01,15094.0,201162.0,201162.0,,,,,,,29513.0,558720.0,558720.0
2006-10-01,14857.0,195754.0,195754.0,,,,,,,30914.0,578640.0,578640.0
2006-11-01,17738.0,211718.0,211718.0,,,,,,,31765.0,538605.0,538605.0
2006-12-01,26892.0,226070.0,226070.0,,,,,,,25967.0,310095.0,310095.0
2007-01-01,13303.255000000001,220974.0,220974.0,,,,,,,38365.745,637275.0,637275.0
2007-02-01,13890.127,189358.0,189358.0,,,,,,,30383.873,414210.0,414210.0
2007-03-01,15882.886,219960.0,219960.0,,,,,,,35549.114,492315.0,492315.0
2007-04-01,2849.0840000000003,77246.0,77246.0,,,,,,,15209.916000000001,412380.0,412380.0
2007-05-01,13695.307,206830.0,206830.0,,,,,,,34664.693,523515.0,523515.0
2007-06-01,12686.894,198250.0,198250.0,,,,,,,33668.106,526110.0,526110.0
2007-07-01,14686.973,195832.0,195832.0,,,,,,,29122.027000000002,388305.0,388305.0
2007-08-01,16766.79,239850.0,239850.0,,,,,,,32921.21,470940.0,470940.0
2007-09-01,16059.323,215488.0,215488.0,,,,,,,34221.677,459195.0,459195.0
2007-10-01,13370.514,207896.0,207896.0,,,,,,,35051.486,545010.0,545010.0
2007-11-01,13196.999,192400.0,192400.0,,,,,,,31787.001,463425.0,463425.0
2007-12-01,13736.042000000001,164866.0,164866.0,,,,,,,24809.958,297780.0,297780.0
2008-01-01,18646.447,235742.0,235742.0,,,,,,,36471.553,461100.0,461100.0
2008-02-01,17602.869,204490.0,204490.0,,,,,,,30212.131,350970.0,350970.0
2008-03-01,29070.242,633094.0,633094.0,,,,,,,19076.758,415455.0,415455.0
2008-04-01,26807.406,550238.0,550238.0,,,,,,,15166.594000000001,311303.0,311303.0
2008-05-01,20610.195,451700.0,451700.0,,,,,,,27027.805,592350.0,592350.0
2008-06-01,15614.880000000001,425989.0,425989.0,,,,,,,22079.12,602340.0,602340.0
2008-07-01,18144.492,420200.0,420200.0,,,,,,,26871.508,622305.0,622305.0
2008-08-01,19744.616,434733.0,434733.0,,,,,,,25417.384,559635.0,559635.0
2008-09-01,24892.984,501430.0,501430.0,,,,,,,22979.016,462876.0,462876.0
2008-10-01,22930.779,453460.0,453460.0,,,,,,,24962.221,493632.0,493632.0
2008-11-01,12244.507,310060.0,310060.0,,,,,,,16633.493000000002,421200.0,421200.0
2008-12-01,22225.085,466443.0,466443.0,,,,,,,24550.915,515256.0,515256.0
2009-01-01,18321.725,456300.0,456300.0,,,,,,,26244.275,653610.0,653610.0
2009-02-01,16642.62,449377.0,449377.0,,,,,,,21700.38,585945.0,585945.0
2009-03-01,15489.987000000001,387419.0,387419.0,,,,,,,25514.013,638130.0,638130.0
2009-04-01,15549.345000000001,416211.0,416211.0,,,,,,,23882.655,639270.0,639270.0
2009-05-01,17164.734,456293.0,456293.0,,,,,,,24775.266,658605.0,658605.0
2009-06-01,18188.09,461439.0,461439.0,,,,,,,24898.91,631695.0,631695.0
2009-07-01,18965.591,461117.0,461117.0,,,,,,,27205.409,661455.0,661455.0
2009-08-01,15962.734,463704.0,463704.0,,,,,,,20769.266,603330.0,603330.0
2009-09-01,21193.638,471881.0,471881.0,,,,,,,24762.362,551340.0,551340.0
2009-10-01,11185.239,287090.0,287090.0,,,,,,,15904.761,408225.0,408225.0
2009-11-01,16834.099000000002,420345.0,420345.0,,,,,,,21648.901,540570.0,540570.0
2009-12-01,25433.141,616460.0,616460.0,,,,,,,23742.859,575490.0,575490.0
2010-01-01,26291.521,684321.0,684321.0,,,,,,,20869.479,543195.0,543195.0
2010-02-01,23539.863,583519.0,583519.0,,,,,,,21913.137,543195.0,543195.0
2010-03-01,17996.058,526421.0,526421.0,,,,,,,22156.942,648135.0,648135.0
2010-04-01,20724.435,500000.0,500000.0,,,,,,,25327.565000000002,611055.0,611055.0
2010-05-01,22675.36,529007.0,529007.0,,,,,,,25278.64,589740.0,589740.0
2010-06-01,16960.913,394852.0,394852.0,,,,,,,23610.087,549645.0,549645.0
2010-07-01,17514.712,438611.0,438611.0,,,,,,,25148.288,629775.0,629775.0
2010-08-01,17561.891,490092.0,490092.0,,,,,,,23145.109,645900.0,645900.0
2010-09-01,17709.588,406282.0,406282.0,,,,,,,26029.412,597150.0,597150.0
2010-10-01,14194.117,340956.0,340956.0,,,,,,,17758.883,426585.0,426585.0
2010-11-01,23774.734,546023.0,546023.0,,,,,,,26192.266,601545.0,601545.0
2010-12-01,24205.019,561068.0,561068.0,,,,,,,27977.981,648525.0,648525.0
2011-01-01,22221.004,539138.0,539138.0,,,,,,,26943.996,653730.0,653730.0
2011-02-01,20543.173,523869.0,523869.0,,,,,,,23606.827,601995.0,601995.0
2011-03-01,22318.584,495437.0,495437.0,,,,,,,25321.416,562095.0,562095.0
2011-04-01,19837.027,445542.0,445542.0,,,,,,,25736.973,578055.0,578055.0
2011-05-01,21985.896,511618.0,511618.0,,,,,,,24037.104,559350.0,559350.0
2011-06-01,20069.503,459199.0,459199.0,,,,,,,22623.497,517635.0,517635.0
2011-07-01,22121.986,555896.0,555896.0,,,,,,,22417.014,563310.0,563310.0
2011-08-01,18168.024,404553.0,404553.0,,,,,,,27719.976,617250.0,617250.0
2011-09-01,17103.448,428552.0,428552.0,,,,,,,22253.552,557595.0,557595.0
2011-10-01,14846.97,381105.0,381105.0,,,,,,,23059.03,591900.0,591900.0
2011-11-01,4415.781,302504.0,302504.0,,,,,,,5238.219,358845.0,358845.0
2011-12-01,23678.807,542127.0,542127.0,,,,,,,29950.193,685710.0,685710.0
2012-01-01,22139.413,510265.0,510265.0,,,,,,,30560.587,704355.0,704355.0
2012-02-01,19889.178,488916.0,488916.0,,,,,,,29691.822,729885.0,729885.0
2012-03-01,17943.514,390390.0,390390.0,,,,,,,34629.486,753420.0,753420.0
2012-04-01,20157.993,456808.0,456808.0,,,,,,,30159.007,683445.0,683445.0
2012-05-01,20563.141,458018.0,458018.0,,,,,,,29751.859,662685.0,662685.0
2012-06-01,16706.395,369449.0,369449.0,,,,,,,30031.605,664125.0,664125.0
2012-07-01,17608.142,357299.0,357299.0,,,,,,,31345.858,636060.0,636060.0
2012-08-01,19704.401,502792.0,502792.0,,,,,,,26706.599,681465.0,681465.0
2012-09-01,18641.735,422224.0,422224.0,,,,,,,29582.265,670020.0,670020.0
2012-10-01,14919.946,348413.0,348413.0,,,,,,,20057.054,468375.0,468375.0
2012-11-01,21374.721,458617.0,458617.0,,,,,,,24030.279,515595.0,515595.0
2012-12-01,26029.059,579082.0,579082.0,,,,,,,27027.941,601305.0,601305.0
2013-01-01,19767.011,536207.0,536207.0,,,,,,,24052.989,652470.0,652470.0
2013-02-01,21604.849,483811.0,483811.0,,,,,,,27534.151,616590.0,616590.0
2013-03-01,24445.479,539153.0,539153.0,,,,,,,30503.521,672765.0,672765.0
2013-04-01,22937.639,527096.0,527096.0,,,,,,,24617.361,565695.0,565695.0
2013-05-01,22765.46,470333.0,470333.0,,,,,,,23251.54,480375.0,480375.0
2013-06-01,19643.42,454244.0,454244.0,,,,,,,27314.58,631635.0,631635.0
2013-07-01,18240.242,387952.0,387952.0,,,,,,,31354.758,666885.0,666885.0
2013-08-01,23924.946,611908.0,611908.0,,,,,,,25902.054,662475.0,662475.0
2013-09-01,20207.271,488769.0,488769.0,,,,,,,23968.729,579750.0,579750.0
2013-10-01,13390.571,327906.0,327906.0,,,,,,,19603.429,480045.0,480045.0
2013-11-01,24684.545,671480.0,671480.0,,,,,,,25307.455,688425.0,688425.0
2013-12-01,21249.986,518967.0,518967.0,,,,,,,28201.014,688725.0,688725.0
2014-01-01,22567.378,282063.0,527058.0,,,,,,,30137.622,376681.0,703860.0
2014-02-01,15920.939,201079.0,406224.0,,,,,,,24566.061,310266.0,626805.0
2014-03-01,22224.074,278322.0,532695.0,,,,,,,29928.926,374814.0,717375.0
2014-04-01,20307.042,254619.0,479003.0,,,,,,,28841.958,361634.0,680325.0
2014-05-01,21677.303,271678.0,571541.0,0.0,0.0,0.0,0.0,0.0,0.0,25670.697,321726.0,676830.0
2014-06-01,15396.724,192909.0,339652.0,0.0,0.0,0.0,0.0,0.0,0.0,29589.276,370731.0,652740.0
2014-07-01,17948.615,229072.0,483605.0,0.0,0.0,0.0,0.0,0.0,0.0,22900.385,292270.0,617025.0
2014-08-01,19561.268,243655.0,461920.0,0.0,0.0,0.0,0.0,0.0,0.0,27910.732,347656.0,659085.0
2014-09-01,15119.29,188928.0,331768.0,0.0,0.0,0.0,0.0,0.0,0.0,30709.71,383742.0,673875.0
2014-10-01,20424.384,254297.0,449408.0,0.0,0.0,0.0,0.0,0.0,0.0,29679.616,369530.0,653055.0
2014-11-01,19385.29,242541.0,405107.0,0.0,0.0,0.0,0.0,0.0,0.0,29394.71,367775.0,614280.0
2014-12-01,22842.618,285567.0,524507.0,0.0,0.0,0.0,0.0,0.0,0.0,30597.382,382514.0,702570.0
2015-01-01,22949.211,288176.0,570533.0,0.0,0.0,0.0,0.0,0.0,0.0,28633.789,359558.0,711855.0
2015-02-01,23906.219,298677.0,545469.0,0.0,0.0,0.0,0.0,0.0,0.0,25755.781,321784.0,587670.0
2015-03-01,25738.014,321419.0,547758.0,0.0,0.0,0.0,0.0,0.0,0.0,28313.986,353588.0,602580.0
2015-04-01,15088.783,193667.0,297920.0,0.0,0.0,0.0,0.0,0.0,0.0,15083.217,193595.0,297810.0
2015-05-01,18785.434,235132.0,418081.0,0.0,0.0,0.0,0.0,0.0,0.0,30095.566,376697.0,669795.0
2015-06-01,16894.512,212470.0,390042.0,0.0,0.0,0.0,0.0,0.0,0.0,27022.488,339842.0,623865.0
2015-07-01,18732.433,233695.0,435125.0,0.0,0.0,0.0,0.0,0.0,0.0,28347.567,353647.0,658470.0
2015-08-01,16238.684,202631.0,361070.0,0.0,0.0,0.0,0.0,0.0,0.0,30583.316,381628.0,680025.0
2015-09-01,15494.428,195692.0,419267.0,0.0,0.0,0.0,0.0,0.0,0.0,25228.572,318633.0,682665.0
2015-10-01,15915.647,200872.0,428858.0,0.0,0.0,0.0,0.0,0.0,0.0,25094.353,316717.0,676185.0
2015-11-01,17649.583,219486.0,376683.0,0.0,0.0,0.0,0.0,0.0,0.0,30780.417,382778.0,656925.0
2015-12-01,13453.403,173975.0,406695.0,0.0,0.0,0.0,0.0,0.0,0.0,20410.597,263944.0,617010.0
2016-01-01,19144.021,109917.0,462235.0,0.0,0.0,0.0,0.0,0.0,0.0,24599.979,141243.0,593970.0
2016-02-01,19767.782,113334.0,472877.0,0.0,0.0,0.0,0.0,0.0,0.0,25932.218,148676.0,620340.0
2016-03-01,18525.836,105826.0,419089.0,0.0,0.0,0.0,0.0,0.0,0.0,26985.164,154148.0,610455.0
2016-04-01,11864.295,68704.0,269790.0,0.0,0.0,0.0,0.0,0.0,0.0,19838.705,114882.0,451125.0
2016-05-01,18768.268,108509.0,454599.0,0.0,0.0,0.0,0.0,0.0,0.0,23953.732,138489.0,580200.0
2016-06-01,17135.54,98164.0,367361.0,0.0,0.0,0.0,0.0,0.0,0.0,27100.46,155250.0,580995.0
2016-07-01,18721.053,106519.0,421564.0,0.0,0.0,0.0,0.0,0.0,0.0,26435.947,150415.0,595290.0
2016-08-01,14801.347,85032.0,392306.0,0.0,0.0,0.0,0.0,0.0,0.0,28269.653,162405.0,749280.0
2016-09-01,18804.398,97217.0,320131.0,0.0,0.0,0.0,0.0,0.0,0.0,25424.602,131443.0,432835.0
2016-10-01,25588.158,147612.0,398888.0,0.0,0.0,0.0,0.0,0.0,0.0,14678.842,84678.0,228825.0
2016-11-01,15580.163,89531.0,411035.0,0.0,0.0,0.0,0.0,0.0,0.0,29135.837,167429.0,768660.0
2016-12-01,17469.753,99413.0,437043.0,0.0,0.0,0.0,0.0,0.0,0.0,32383.247,184279.0,810135.0
2017-01-01,16083.681,93525.0,463912.0,0.0,0.0,0.0,0.0,0.0,0.0,25679.319,149322.0,740685.0
2017-02-01,15232.221,87665.0,390811.0,0.0,0.0,0.0,0.0,0.0,0.0,25362.779,145969.0,650730.0
2017-03-01,17206.983,97723.0,398598.0,0.0,0.0,0.0,0.0,0.0,0.0,32091.017,182253.0,743385.0
2017-04-01,17486.403,100441.0,434989.0,0.0,0.0,0.0,0.0,0.0,0.0,25939.597,148996.0,645270.0
2017-05-01,19360.495,110945.0,447454.0,0.0,0.0,0.0,0.0,0.0,0.0,24859.505,142458.0,574545.0
2017-06-01,16290.253,93198.0,397696.0,0.0,0.0,0.0,0.0,0.0,0.0,27805.747,159078.0,678825.0
2017-07-01,17161.379,98565.0,434874.0,0.0,0.0,0.0,0.0,0.0,0.0,26403.621,151648.0,669075.0
2017-08-01,11679.246,68958.0,362441.0,0.0,0.0,0.0,0.0,0.0,0.0,21543.754,127201.0,668565.0
2017-09-01,17069.448,97574.0,430887.0,0.0,0.0,0.0,0.0,0.0,0.0,27885.552,159402.0,703920.0
2017-10-01,19384.545,110785.0,447831.0,0.0,0.0,0.0,0.0,0.0,0.0,26909.455,153790.0,621675.0
2017-11-01,12301.796,71833.0,294017.0,0.0,0.0,0.0,0.0,0.0,0.0,18196.204,106252.0,434895.0
2017-12-01,19299.799,111742.0,451204.0,0.0,0.0,0.0,0.0,0.0,0.0,27129.201,157072.0,634245.0
2018-01-01,20280.464,116509.0,491049.0,0.0,0.0,0.0,0.0,0.0,0.0,22790.536,130929.0,551825.0
2018-03-01,21703.718,124041.0,408158.0,0.0,0.0,0.0,0.0,0.0,0.0,41149.282,235176.0,773850.0
2018-04-01,17783.747,102123.0,433806.0,0.0,0.0,0.0,0.0,0.0,0.0,26865.253,154273.0,655335.0
2018-05-01,15662.296,89977.0,392859.0,0.0,0.0,0.0,0.0,0.0,0.0,27158.704,156023.0,681225.0
2018-06-01,14563.243,83833.0,380532.0,0.0,0.0,0.0,69.595,401.0,1818.0,26107.162,150285.0,682170.0
2018-07-01,15219.558,87321.0,366249.0,0.0,0.0,0.0,62.613,359.0,1507.0,26576.829,152483.0,639555.0
2018-08-01,16784.827,96118.0,400837.0,0.0,0.0,0.0,25.866,148.0,618.0,24527.307,140455.0,585735.0
2018-09-01,10157.643,59514.0,313098.0,0.0,0.0,0.0,10.676,63.0,329.0,19965.681,116979.0,615420.0
2018-10-01,13607.212,78995.0,373685.0,0.0,0.0,0.0,0.0,0.0,0.0,25484.788,147949.0,699870.0
2018-11-01,8307.747,51851.0,305394.0,0.0,0.0,0.0,18.06,113.0,664.0,11546.193,72063.0,424440.0
2018-12-01,11928.524,72746.0,433806.0,0.0,0.0,0.0,102.865,627.0,3741.0,16822.611,102593.0,611790.0
2019-01-01,18050.036,101908.0,492651.0,0.0,0.0,0.0,151.233,854.0,4128.0,26528.731,149778.0,724065.0
2019-02-01,21675.184,119712.0,433057.0,0.0,0.0,0.0,0.0,0.0,0.0,34058.816,188107.0,680475.0
2019-03-01,16744.901,94569.0,443693.0,0.0,0.0,0.0,47.06,266.0,1247.0,28195.039,159235.0,747090.0
2019-04-01,20848.305,115943.0,524098.0,0.0,0.0,0.0,0.0,0.0,0.0,28582.695,158956.0,718530.0
2019-05-01,16694.756,98074.0,467777.0,0.0,0.0,0.0,0.0,0.0,0.0,25397.244,149198.0,711615.0
2019-06-01,17817.295,101150.0,466896.0,0.0,0.0,0.0,0.0,0.0,0.0,23477.705,133285.0,615225.0
2019-07-01,18450.336,105995.0,442639.0,0.0,0.0,0.0,0.0,0.0,0.0,24620.664,141442.0,590670.0
2019-08-01,17090.406,99498.0,496275.0,0.0,0.0,0.0,0.0,0.0,0.0,19887.594,115783.0,577500.0
2019-10-01,17503.281,104042.0,429433.0,0.0,0.0,0.0,0.0,0.0,0.0,22848.719,135816.0,560580.0
2019-11-01,16176.848,96354.0,441176.0,0.0,0.0,0.0,22.65,135.0,618.0,21032.502,125276.0,573600.0
2019-12-01,17327.659,96566.0,441379.0,0.0,0.0,0.0,0.0,0.0,0.0,24721.341,137771.0,629715.0
2020-01-01,17977.519,100916.0,454762.0,0.0,0.0,0.0,0.0,0.0,0.0,22379.481,125626.0,566115.0
2020-02-01,14023.443,83794.0,437101.0,0.0,0.0,0.0,19.818,118.0,618.0,19569.739,116935.0,609975.0
2020-03-01,14143.988,82204.0,376725.0,0.0,0.0,0.0,3.468,20.0,92.0,23893.544,138868.0,636405.0
2020-04-01,18531.59,106791.0,486846.0,0.0,0.0,0.0,89.437,515.0,2350.0,19541.973,112613.0,513390.0
2020-05-01,12576.658,71573.0,345627.0,0.0,0.0,0.0,38.863,221.0,1068.0,23288.479,132533.0,640005.0
2020-06-01,15113.836,84983.0,406913.0,0.0,0.0,0.0,38.382,216.0,1033.0,21092.782,118601.0,567885.0
2020-07-01,15579.906,92150.0,444776.0,0.0,0.0,0.0,0.0,0.0,0.0,23432.094,138594.0,668940.0
2020-08-01,13661.699,76820.0,380091.0,0.0,0.0,0.0,174.093,979.0,4844.0,21459.208,120666.0,597030.0
2020-09-01,13791.438,76141.0,335645.0,0.0,0.0,0.0,54.558,301.0,1328.0,24004.004,132523.0,584190.0
2020-10-01,8807.25,53238.0,285336.0,0.0,0.0,0.0,190.308,1150.0,6166.0,9659.442,58389.0,312945.0
2020-11-01,17804.079,103693.0,476244.0,0.0,0.0,0.0,11.87,69.0,318.0,23316.051,135796.0,623685.0
2020-12-01,12563.607,72996.0,442059.0,0.0,0.0,0.0,105.17,611.0,3700.0,16787.223,97536.0,590670.0
2021-01-01,13416.873,75262.0,356554.0,0.0,0.0,0.0,139.681,784.0,3712.0,24871.446,139516.0,660960.0
2021-02-01,15914.49,93195.0,484914.0,0.0,0.0,0.0,0.0,0.0,0.0,22180.51,129888.0,675840.0
2021-03-01,14207.993,77836.0,394315.0,0.0,0.0,0.0,95.686,524.0,2656.0,18155.321,99461.0,503865.0
2021-04-01,16537.394,92529.0,403087.0,0.0,0.0,0.0,12.796,72.0,312.0,24787.81,138691.0,604185.0
2021-05-01,8502.045,56342.0,308944.0,0.0,0.0,0.0,109.145,723.0,3966.0,12071.81,79999.0,438660.0
2021-06-01,12409.597,71685.0,376870.0,0.0,0.0,0.0,1.901,11.0,58.0,20070.502,115938.0,609525.0
2021-07-01,11662.672,69857.0,374372.0,0.0,0.0,0.0,22.121,132.0,710.0,15925.207,95389.0,511200.0
2021-08-01,10939.545,62036.0,330589.0,0.0,0.0,0.0,189.506,1075.0,5727.0,18716.949,106140.0,565620.0
2021-09-01,15278.862,86775.0,492885.0,0.0,0.0,0.0,66.035,375.0,2130.0,15123.103,85890.0,487860.0
2021-10-01,1745.917,16628.0,59647.0,0.0,0.0,0.0,258.54,2462.0,8833.0,2647.543,25214.0,90450.0
2021-11-01,12609.366,71605.0,345400.0,0.0,0.0,0.0,242.576,1378.0,6645.0,19616.058,111394.0,537330.0
2021-12-01,16636.708,94436.0,450552.0,0.0,0.0,0.0,63.311,359.0,1715.0,21459.981,121815.0,581175.0
2022-01-01,18928.845,110244.0,508739.0,0.0,0.0,0.0,129.738,756.0,3487.0,22641.417,131867.0,608520.0
2022-02-01,16390.042,94884.0,393380.0,0.0,0.0,0.0,40.89,237.0,981.0,21877.068,126649.0,525075.0
2022-03-01,21900.228,128720.0,566160.0,0.0,0.0,0.0,304.15,1788.0,7863.0,19205.622,112882.0,496500.0
2022-04-01,17473.888,101572.0,450582.0,0.0,0.0,0.0,158.508,921.0,4087.0,22906.604,133152.0,590670.0
2022-05-01,16925.615,99296.0,459964.0,0.0,0.0,0.0,169.734,996.0,4613.0,23066.651,135323.0,626850.0
2022-06-01,15552.433,92073.0,495262.0,0.0,0.0,0.0,111.31,659.0,3545.0,18999.257,112479.0,605025.0
2022-07-01,15646.386,93206.0,383700.0,0.0,0.0,0.0,94.399,562.0,2315.0,18658.215,111148.0,457560.0
2022-08-01,14742.51,87726.0,458213.0,0.0,0.0,0.0,7.987,48.0,248.0,20840.503,124013.0,647745.0
2022-09-01,13659.021,82058.0,452552.0,0.0,0.0,0.0,164.31,987.0,5444.0,17981.669,108027.0,595770.0
2022-10-01,12078.489,73852.0,437375.0,0.0,0.0,0.0,35.871,219.0,1299.0,17131.64,104749.0,620355.0
2022-11-01,18367.643,105520.0,503780.0,0.0,0.0,0.0,191.538,1100.0,5253.0,24511.819,140817.0,672300.0
2022-12-01,20358.348,108884.0,525841.0,0.0,0.0,0.0,137.68,736.0,3556.0,25077.972,134126.0,647745.0
2023-01-01,9411.846,61358.0,282900.0,0.0,0.0,0.0,1300.132,8476.0,39079.0,6986.022,45543.0,209985.0
2023-02-01,10545.241,64826.0,374455.0,0.0,0.0,0.0,215.252,1323.0,7643.0,12932.507,79502.0,459225.0
2023-03-01,9773.153,57661.0,501312.0,11480.705,67735.0,588900.0,422.609,2493.0,21678.0,12375.533,73015.0,634800.0
2023-04-01,13996.524,83463.0,449361.0,0.0,0.0,0.0,2.697,16.0,87.0,17958.779,107091.0,576570.0
2023-05-01,12020.596,72506.0,458532.0,0.0,0.0,0.0,167.384,1010.0,6385.0,16787.02,101256.0,640350.0
2023-06-01,6166.912,40523.0,350734.0,0.0,0.0,0.0,168.297,1106.0,9572.0,10464.791,68765.0,595170.0
2023-07-01,0.0,0.0,56667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
