measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2011-02-01,,,,2208.367,33025.0,33025.0,-6.277,52.0,52.0,0.0,0.0,0.0,542.211,8109.0,8109.0,,,,11561.422,172896.0,172896.0
2011-03-01,,,,415.674,6110.0,6110.0,-2.864,23.0,23.0,0.0,0.0,0.0,254.134,3736.0,3736.0,,,,9653.192,141895.0,141895.0
2011-04-01,,,,0.0,0.0,0.0,-8.778,75.0,75.0,0.0,0.0,0.0,2.267,562.0,562.0,,,,20.733,5138.0,5138.0
2011-05-01,,,,0.0,0.0,0.0,-7.559,64.0,64.0,0.0,0.0,0.0,496.729,7699.0,7699.0,,,,5525.271,85635.0,85635.0
2011-06-01,,,,0.0,0.0,0.0,-12.564,104.0,104.0,0.0,0.0,0.0,718.354,10493.0,10493.0,,,,9082.646,132674.0,132674.0
2011-07-01,,,,0.0,0.0,0.0,-6.073,52.0,52.0,0.0,0.0,0.0,2888.03,40409.0,40409.0,,,,24760.97,346450.0,346450.0
2011-08-01,,,,0.0,0.0,0.0,-5.291,46.0,46.0,0.0,0.0,0.0,3230.483,50995.0,50995.0,,,,7933.517,125235.0,125235.0
2011-09-01,,,,0.0,0.0,0.0,-3.946,35.0,35.0,0.0,0.0,0.0,2396.228,40293.0,40293.0,,,,2954.772,49686.0,49686.0
2011-10-01,,,,0.0,0.0,0.0,-5.546,46.0,46.0,0.0,0.0,0.0,3467.0,61485.0,61485.0,,,,0.0,0.0,0.0
2011-11-01,,,,-75.338,0.0,0.0,-8.625,75.0,75.0,-0.001,0.0,0.0,-24.532,0.0,0.0,,,,-308.129,0.0,0.0
2011-12-01,,,,0.0,0.0,0.0,-4.962,41.0,41.0,0.0,0.0,0.0,66.0,8039.0,8039.0,,,,0.0,0.0,0.0
2012-01-01,,,,-26.071,0.0,0.0,-3.586,23.0,23.0,0.0,0.0,0.0,-60.621,0.0,0.0,,,,-351.308,0.0,0.0
2012-02-01,,,,0.0,0.0,0.0,-5.597,35.0,35.0,0.0,0.0,0.0,-336.0,1740.0,1740.0,,,,0.0,0.0,0.0
2012-03-01,,,,0.0,0.0,0.0,-2.783,17.0,17.0,0.0,0.0,0.0,688.0,15509.0,15509.0,,,,0.0,0.0,0.0
2012-04-01,,,,0.0,0.0,0.0,-11.272,75.0,75.0,0.0,0.0,0.0,12946.0,203807.0,203807.0,,,,0.0,0.0,0.0
2012-05-01,,,,0.0,0.0,0.0,-11.084,70.0,70.0,0.0,0.0,0.0,15747.0,226129.0,226129.0,,,,0.0,0.0,0.0
2012-06-01,,,,0.0,0.0,0.0,-13.597,87.0,87.0,0.0,0.0,0.0,20968.0,308064.0,308064.0,,,,0.0,0.0,0.0
2012-07-01,,,,0.0,0.0,0.0,-6.092,41.0,41.0,0.0,0.0,0.0,19399.0,286778.0,286778.0,,,,0.0,0.0,0.0
2012-08-01,,,,0.0,0.0,0.0,-2.432,17.0,17.0,0.0,0.0,0.0,3356.0,56212.0,56212.0,,,,0.0,0.0,0.0
2012-09-01,,,,0.0,0.0,0.0,-3.498,23.0,23.0,0.0,0.0,0.0,2657.0,46541.0,46541.0,,,,0.0,0.0,0.0
2012-10-01,,,,0.0,0.0,0.0,-8.167,52.0,52.0,0.0,0.0,0.0,5384.0,92696.0,92696.0,,,,0.0,0.0,0.0
2012-11-01,,,,0.0,0.0,0.0,-6.451,41.0,41.0,0.0,0.0,0.0,112.0,7717.0,7717.0,,,,0.0,0.0,0.0
2012-12-01,,,,0.0,0.0,0.0,-7.441,46.0,46.0,0.0,0.0,0.0,1646.0,32795.0,32795.0,,,,0.0,0.0,0.0
2013-01-01,,,,0.0,0.0,0.0,-5.525,75.0,75.0,,,,3817.0,68061.0,68061.0,,,,0.0,0.0,0.0
2013-02-01,,,,0.0,0.0,0.0,-4.37,58.0,58.0,,,,4442.0,77257.0,77257.0,,,,0.0,0.0,0.0
2013-03-01,,,,0.0,0.0,0.0,-8.06,104.0,104.0,,,,2499.0,48765.0,48765.0,,,,0.0,0.0,0.0
2013-04-01,,,,0.0,0.0,0.0,-13.319,168.0,168.0,,,,105.0,7489.0,7489.0,,,,0.0,0.0,0.0
2013-05-01,,,,0.0,0.0,0.0,-6.998,87.0,87.0,,,,2106.0,37392.0,37392.0,,,,0.0,0.0,0.0
2013-06-01,,,,0.0,0.0,0.0,-7.234,93.0,93.0,,,,683.0,15916.0,15916.0,,,,0.0,0.0,0.0
2013-07-01,,,,0.0,0.0,0.0,-6.441,81.0,81.0,,,,5968.0,98368.0,98368.0,,,,0.0,0.0,0.0
2013-08-01,,,,0.0,0.0,0.0,-6.758,87.0,87.0,,,,4405.0,75214.0,75214.0,,,,0.0,0.0,0.0
2013-09-01,,,,0.0,0.0,0.0,-5.215,64.0,64.0,,,,6010.0,100009.0,100009.0,,,,0.0,0.0,0.0
2013-10-01,,,,0.0,0.0,0.0,-5.166,64.0,64.0,,,,2130.0,38150.0,38150.0,,,,0.0,0.0,0.0
2013-11-01,,,,0.0,0.0,0.0,-5.593,70.0,70.0,,,,715.0,16628.0,16628.0,,,,0.0,0.0,0.0
2013-12-01,,,,0.0,0.0,0.0,-17.321,220.0,220.0,,,,-385.0,1037.0,1037.0,,,,0.0,0.0,0.0
2014-01-01,,,,0.0,0.0,0.0,-9.974,0.0,0.0,,,,1619.0,32114.0,32114.0,,,,0.0,0.0,0.0
2014-02-01,,,,0.0,0.0,0.0,-10.633,0.0,0.0,,,,2783.0,48970.0,48970.0,,,,0.0,0.0,0.0
2014-03-01,0.0,0.0,0.0,,,,-8.606,0.0,0.0,,,,-479.0,89.0,89.0,0.0,0.0,0.0,,,
2014-04-01,,,,0.0,0.0,0.0,-3.349,0.0,0.0,,,,-57.0,5474.0,5474.0,,,,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,,,,-13.613,0.0,0.0,,,,-274.0,0.0,0.0,0.0,0.0,0.0,,,
2014-06-01,,,,0.0,0.0,0.0,-8.058,0.0,0.0,,,,1197.0,21041.0,21041.0,,,,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,,,,-1.825,0.0,0.0,,,,-274.0,0.0,0.0,0.0,0.0,0.0,,,
2014-08-01,,,,0.0,0.0,0.0,-3.856,0.0,0.0,,,,4211.0,63858.0,63858.0,,,,0.0,0.0,0.0
2014-09-01,,,,0.0,0.0,0.0,-3.698,0.0,0.0,,,,2130.0,40682.0,40682.0,,,,0.0,0.0,0.0
2014-10-01,,,,0.0,0.0,0.0,-5.245,0.0,0.0,,,,-24.0,4931.0,4931.0,,,,0.0,0.0,0.0
2014-11-01,,,,0.0,0.0,0.0,-11.047,0.0,0.0,,,,-122.0,3648.0,3648.0,,,,0.0,0.0,0.0
2014-12-01,,,,0.0,0.0,0.0,-2.096,0.0,0.0,,,,364.0,10639.0,10639.0,,,,0.0,0.0,0.0
2015-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,-349.0,0.0,0.0,,,,0.0,0.0,0.0
2015-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,-285.0,0.0,0.0,,,,0.0,0.0,0.0
2015-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,-258.0,0.0,0.0,,,,0.0,0.0,0.0
2015-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,-264.0,0.0,0.0,,,,0.0,0.0,0.0
2015-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,-282.0,147.0,147.0,,,,0.0,0.0,0.0
2015-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,-285.0,208.0,208.0,,,,0.0,0.0,0.0
2015-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,353.0,10540.0,10540.0,,,,0.0,0.0,0.0
2015-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,-302.0,0.0,0.0,,,,0.0,0.0,0.0
2015-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,-274.0,216.0,216.0,,,,0.0,0.0,0.0
