measured_on,Natural Gas-Other Generation,Natural Gas-Other Quantity Consumed For Electricity,Natural Gas-Other Total Fuel Consumed,Other-Other Generation,Other-Other Quantity Consumed For Electricity,Other-Other Total Fuel Consumed
2008-06-01,669.861,7401.0,7401.0,,,
2008-07-01,787.546,8702.0,8702.0,,,
2008-08-01,724.495,8006.0,8006.0,,,
2008-09-01,555.6850000000001,6140.0,6140.0,,,
2008-10-01,562.7860000000001,6219.0,6219.0,,,
2008-11-01,476.699,5267.0,5267.0,,,
2008-12-01,513.674,5676.0,5676.0,,,
2009-01-01,521.857,4418.0,4418.0,,,
2009-02-01,433.339,3670.0,3670.0,,,
2009-03-01,465.41700000000003,3941.0,3941.0,,,
2009-04-01,450.427,3815.0,3815.0,,,
2009-05-01,527.729,4469.0,4469.0,,,
2009-06-01,643.175,5447.0,5447.0,,,
2009-07-01,709.991,6013.0,6013.0,,,
2009-08-01,705.6320000000001,5976.0,5976.0,,,
2009-09-01,619.923,5251.0,5251.0,,,
2009-10-01,552.902,4682.0,4682.0,,,
2009-11-01,479.355,4059.0,4059.0,,,
2009-12-01,545.253,4618.0,4618.0,,,
2010-01-01,818.952,5522.0,5522.0,,,
2010-02-01,613.919,4139.0,4139.0,,,
2010-03-01,661.062,4456.0,4456.0,,,
2010-04-01,729.9290000000001,4921.0,4921.0,,,
2010-05-01,894.293,6029.0,6029.0,,,
2010-06-01,1036.06,6985.0,6985.0,,,
2010-07-01,1136.7720000000002,7664.0,7664.0,,,
2010-08-01,1289.848,8696.0,8696.0,,,
2010-09-01,1016.301,6852.0,6852.0,,,
2010-10-01,768.421,5181.0,5181.0,,,
2010-11-01,649.279,4377.0,4377.0,,,
2010-12-01,839.164,5657.0,5657.0,,,
2011-01-01,1060.718,92493.0,92493.0,,,
2011-02-01,1024.213,89311.0,89311.0,,,
2011-03-01,945.825,82476.0,82476.0,,,
2011-04-01,1151.626,100422.0,100422.0,,,
2011-05-01,1190.832,103840.0,103840.0,,,
2011-06-01,1195.282,104228.0,104228.0,,,
2011-07-01,1308.995,114144.0,114144.0,,,
2011-08-01,1409.047,122869.0,122869.0,,,
2011-09-01,1022.276,89142.0,89142.0,,,
2011-10-01,932.582,81321.0,81321.0,,,
2011-11-01,961.1,83807.0,83807.0,,,
2011-12-01,947.504,82622.0,82622.0,,,
2012-01-01,1223.457,180286.0,180286.0,,,
2012-02-01,1207.795,177978.0,177978.0,,,
2012-03-01,1396.868,205840.0,205840.0,,,
2012-04-01,1487.803,219240.0,219240.0,,,
2012-05-01,1836.453,270616.0,270616.0,,,
2012-06-01,1930.301,284445.0,284445.0,,,
2012-07-01,1982.048,292070.0,292070.0,,,
2012-08-01,1916.898,282470.0,282470.0,,,
2012-09-01,1664.382,245260.0,245260.0,,,
2012-10-01,1478.826,217917.0,217917.0,,,
2012-11-01,1195.495,176166.0,176166.0,,,
2012-12-01,1480.674,218189.0,218189.0,,,
2013-01-01,1339.631,210682.0,210682.0,,,
2013-02-01,1044.445,164259.0,164259.0,,,
2013-03-01,1166.078,183388.0,183388.0,,,
2013-04-01,1288.613,202659.0,202659.0,,,
2013-05-01,1248.573,196363.0,196363.0,,,
2013-06-01,1518.376,238794.0,238794.0,,,
2013-07-01,1647.968,259175.0,259175.0,,,
2013-08-01,1654.903,260266.0,260266.0,,,
2013-09-01,1406.959,221272.0,221272.0,,,
2013-10-01,1251.194,196775.0,196775.0,,,
2013-11-01,1331.623,209424.0,209424.0,,,
2013-12-01,1504.637,236633.0,236633.0,,,
2014-01-01,0.0,0.0,0.0,1485.471,431091.0,431091.0
2014-02-01,0.0,0.0,0.0,1121.514,325469.0,325469.0
2014-03-01,0.0,0.0,0.0,462.85,134322.0,134322.0
2014-04-01,0.0,0.0,0.0,340.656,98861.0,98861.0
2014-05-01,0.0,0.0,0.0,572.179,166050.0,166050.0
2014-06-01,0.0,0.0,0.0,648.465,188188.0,188188.0
2014-07-01,0.0,0.0,0.0,702.5,203870.0,203870.0
2014-08-01,0.0,0.0,0.0,786.126,228138.0,228138.0
2014-09-01,0.0,0.0,0.0,786.7,228305.0,228305.0
2014-10-01,0.0,0.0,0.0,578.758,167958.0,167958.0
2014-11-01,0.0,0.0,0.0,818.748,237606.0,237606.0
2014-12-01,0.0,0.0,0.0,921.033,267289.0,267289.0
2015-01-01,0.0,0.0,0.0,1716.275,256650.0,256650.0
2015-02-01,0.0,0.0,0.0,1604.296,239905.0,239905.0
2015-03-01,0.0,0.0,0.0,1256.969,187966.0,187966.0
2015-04-01,0.0,0.0,0.0,1272.976,190359.0,190359.0
2015-05-01,0.0,0.0,0.0,1424.297,212988.0,212988.0
2015-06-01,0.0,0.0,0.0,1437.369,214943.0,214943.0
2015-07-01,0.0,0.0,0.0,1986.349,297036.0,297036.0
2015-08-01,0.0,0.0,0.0,1779.301,266075.0,266075.0
2015-09-01,0.0,0.0,0.0,1285.514,192234.0,192234.0
2015-10-01,0.0,0.0,0.0,1289.845,192882.0,192882.0
2015-11-01,0.0,0.0,0.0,1985.193,296863.0,296863.0
2015-12-01,0.0,0.0,0.0,1880.616,281225.0,281225.0
2016-01-01,0.0,0.0,0.0,1761.516,20034.0,250073.0
2016-02-01,0.0,0.0,0.0,1633.556,18579.0,231908.0
2016-03-01,0.0,0.0,0.0,1082.874,12316.0,153730.0
2016-04-01,0.0,0.0,0.0,1474.159,16766.0,209278.0
2016-05-01,0.0,0.0,0.0,1590.024,18084.0,225727.0
2016-06-01,0.0,0.0,0.0,1692.987,19255.0,240345.0
2016-07-01,0.0,0.0,0.0,1669.79,18991.0,237051.0
2016-08-01,0.0,0.0,0.0,1974.846,22461.0,280358.0
2016-09-01,0.0,0.0,0.0,1954.959,22234.0,277535.0
2016-10-01,0.0,0.0,0.0,1646.489,18726.0,233744.0
2016-11-01,0.0,0.0,0.0,1790.853,20368.0,254238.0
2016-12-01,0.0,0.0,0.0,1324.947,15069.0,188096.0
2017-01-01,0.0,0.0,0.0,1127.791,12827.0,149089.0
2017-02-01,0.0,0.0,0.0,944.268,10739.0,124829.0
2017-03-01,0.0,0.0,0.0,1097.498,12482.0,145085.0
2017-04-01,0.0,0.0,0.0,1164.94,13249.0,154001.0
2017-05-01,0.0,0.0,0.0,1114.196,12672.0,147292.0
2017-06-01,0.0,0.0,0.0,1176.171,13377.0,155485.0
2017-07-01,0.0,0.0,0.0,1782.896,20277.0,235691.0
2017-08-01,0.0,0.0,0.0,1689.91,19220.0,223399.0
2017-09-01,0.0,0.0,0.0,1706.934,19414.0,225649.0
2017-10-01,0.0,0.0,0.0,772.572,8787.0,102131.0
2017-11-01,0.0,0.0,0.0,1035.693,11779.0,136915.0
2017-12-01,0.0,0.0,0.0,1054.131,11989.0,139352.0
2018-01-01,0.0,0.0,0.0,1197.962,13625.0,166094.0
2018-02-01,0.0,0.0,0.0,1262.145,14355.0,174992.0
2018-03-01,0.0,0.0,0.0,1461.053,16617.0,202570.0
2018-04-01,0.0,0.0,0.0,1341.321,15255.0,185969.0
2018-05-01,0.0,0.0,0.0,1609.547,18306.0,223158.0
2018-06-01,0.0,0.0,0.0,1682.736,19138.0,233305.0
2018-07-01,0.0,0.0,0.0,1513.835,17217.0,209887.0
2018-08-01,0.0,0.0,0.0,1474.905,16775.0,204491.0
2018-09-01,0.0,0.0,0.0,1089.485,12391.0,151053.0
2018-10-01,0.0,0.0,0.0,1176.972,13386.0,163183.0
2018-11-01,0.0,0.0,0.0,1053.036,11977.0,146000.0
2018-12-01,0.0,0.0,0.0,1243.003,14137.0,172337.0
2019-01-01,0.0,0.0,0.0,1307.106,14866.0,227250.0
2019-02-01,0.0,0.0,0.0,1257.038,14297.0,218543.0
2019-03-01,0.0,0.0,0.0,1189.974,13534.0,206884.0
2019-04-01,0.0,0.0,0.0,1105.809,12577.0,192251.0
2019-05-01,0.0,0.0,0.0,1204.214,13696.0,209359.0
2019-06-01,0.0,0.0,0.0,1128.934,12840.0,196271.0
2019-07-01,0.0,0.0,0.0,1087.028,12363.0,188986.0
2019-08-01,0.0,0.0,0.0,1206.603,13723.0,209775.0
2019-09-01,0.0,0.0,0.0,1312.44,14927.0,228176.0
2019-10-01,0.0,0.0,0.0,1149.34,13072.0,199819.0
2019-11-01,0.0,0.0,0.0,1122.578,12767.0,195166.0
2019-12-01,0.0,0.0,0.0,1005.936,11441.0,174888.0
2020-01-01,0.0,0.0,0.0,1127.279,12821.0,182277.0
2020-02-01,0.0,0.0,0.0,1062.614,12085.0,171822.0
2020-03-01,0.0,0.0,0.0,994.0,11305.0,160727.0
2020-04-01,0.0,0.0,0.0,953.347,10843.0,154154.0
2020-05-01,0.0,0.0,0.0,853.417,9706.0,137995.0
2020-06-01,0.0,0.0,0.0,950.59,10811.0,153708.0
2020-07-01,0.0,0.0,0.0,1066.207,12126.0,172402.0
2020-08-01,0.0,0.0,0.0,1269.715,14441.0,205309.0
2020-09-01,0.0,0.0,0.0,1107.964,12601.0,179155.0
2020-10-01,0.0,0.0,0.0,1259.314,14323.0,203627.0
2020-11-01,0.0,0.0,0.0,1166.44,13266.0,188610.0
2020-12-01,0.0,0.0,0.0,1106.113,12580.0,178855.0
2021-01-01,0.0,0.0,0.0,1212.803,13794.0,190346.0
2021-02-01,0.0,0.0,0.0,950.369,10809.0,149159.0
2021-03-01,0.0,0.0,0.0,1157.401,13164.0,181652.0
2021-04-01,0.0,0.0,0.0,1126.694,12814.0,176833.0
2021-05-01,0.0,0.0,0.0,1247.722,14191.0,195828.0
2021-06-01,0.0,0.0,0.0,1333.699,15169.0,209322.0
2021-07-01,0.0,0.0,0.0,1187.674,13508.0,186404.0
2021-08-01,0.0,0.0,0.0,1123.922,12783.0,176398.0
2021-09-01,0.0,0.0,0.0,1186.158,13491.0,186166.0
2021-10-01,0.0,0.0,0.0,1346.166,15310.0,211279.0
2021-11-01,0.0,0.0,0.0,1025.986,11669.0,161027.0
2021-12-01,0.0,0.0,0.0,1449.406,16485.0,227482.0
2022-01-01,0.0,0.0,0.0,1068.451,12152.0,229049.0
2022-02-01,0.0,0.0,0.0,908.173,10329.0,194690.0
2022-03-01,0.0,0.0,0.0,917.093,10430.0,196602.0
2022-04-01,0.0,0.0,0.0,692.81,7880.0,148521.0
2022-05-01,0.0,0.0,0.0,1012.157,11512.0,216981.0
2022-06-01,0.0,0.0,0.0,980.391,11150.0,210171.0
2022-07-01,0.0,0.0,0.0,912.217,10375.0,195556.0
2022-08-01,0.0,0.0,0.0,779.716,8868.0,167152.0
2022-09-01,0.0,0.0,0.0,681.115,7747.0,146014.0
2022-10-01,0.0,0.0,0.0,787.222,8953.0,168761.0
2022-11-01,0.0,0.0,0.0,789.558,8980.0,169262.0
2022-12-01,0.0,0.0,0.0,727.097,8270.0,155871.0
2023-01-01,0.0,0.0,0.0,1001.176,11387.0,200073.0
2023-02-01,0.0,0.0,0.0,993.091,11295.0,198456.0
2023-03-01,0.0,0.0,0.0,1009.959,11487.0,201827.0
2023-04-01,0.0,0.0,0.0,846.235,9625.0,169109.0
2023-05-01,0.0,0.0,0.0,1016.248,11558.0,203084.0
2023-06-01,0.0,0.0,0.0,860.651,9788.0,171990.0
2023-07-01,0.0,0.0,0.0,786.236,8942.0,157119.0
2023-08-01,0.0,0.0,0.0,1037.791,11803.0,207389.0
2023-09-01,0.0,0.0,0.0,968.037,11010.0,193450.0
2023-10-01,0.0,0.0,0.0,968.583,11016.0,193559.0
2023-11-01,0.0,0.0,0.0,903.573,10277.0,180567.0
2023-12-01,0.0,0.0,0.0,894.42,10173.0,178738.0
2024-01-01,0.0,0.0,0.0,909.737,10347.0,167037.0
2024-02-01,0.0,0.0,0.0,1026.322,11673.0,188443.0
2024-03-01,0.0,0.0,0.0,1088.109,12375.0,199788.0
2024-04-01,0.0,0.0,0.0,1039.755,11825.0,190909.0
2024-05-01,0.0,0.0,0.0,1095.128,12455.0,201076.0
2024-06-01,0.0,0.0,0.0,1001.505,11390.0,183887.0
2024-07-01,0.0,0.0,0.0,989.644,11256.0,181708.0
2024-08-01,0.0,0.0,0.0,1024.937,11657.0,188189.0
2024-09-01,0.0,0.0,0.0,891.984,10145.0,163778.0
2024-10-01,0.0,0.0,0.0,1017.829,11576.0,186884.0
2024-11-01,0.0,0.0,0.0,947.521,10776.0,173974.0
2024-12-01,0.0,0.0,0.0,1077.529,12255.0,197845.0
