measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Residual Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2013-12-01,10.602,259.0,259.0,-12.587,17.0,17.0,723.442,17676.0,17676.0,,,
2014-01-01,10.962,264.0,264.0,0.0,0.0,0.0,736.467,17240.0,17240.0,,,
2014-02-01,10.401,242.0,242.0,0.0,0.0,0.0,698.77,16355.0,16355.0,,,
2014-03-01,10.153,237.0,237.0,0.0,0.0,0.0,682.127,15965.0,15965.0,,,
2014-04-01,9.539,226.0,226.0,0.0,0.0,0.0,640.906,15004.0,15004.0,,,
2014-05-01,8.054,187.0,187.0,0.0,0.0,0.0,541.142,12667.0,12667.0,,,
2014-06-01,4.801,110.0,110.0,0.0,0.0,0.0,322.546,7552.0,7552.0,,,
2014-07-01,8.487,198.0,198.0,0.0,0.0,0.0,570.229,13346.0,13346.0,,,
2014-08-01,6.829,160.0,160.0,0.0,0.0,0.0,458.789,10738.0,10738.0,,,
2014-09-01,8.034,187.0,187.0,0.0,0.0,0.0,539.782,12632.0,12632.0,,,
2014-10-01,10.62,248.0,248.0,0.0,0.0,0.0,713.543,16703.0,16703.0,,,
2014-11-01,7.763,182.0,182.0,0.0,0.0,0.0,521.548,12207.0,12207.0,,,
2014-12-01,10.097,237.0,237.0,-125.0,50.0,50.0,678.411,15877.0,15877.0,,,
2015-01-01,615.341,16814.0,16814.0,-12.89,0.0,0.0,0.0,0.0,0.0,,,
2015-02-01,542.683,14834.0,14834.0,-11.368,0.0,0.0,0.0,0.0,0.0,,,
2015-03-01,545.924,14922.0,14922.0,-11.436,0.0,0.0,0.0,0.0,0.0,,,
2015-04-01,565.38,15455.0,15455.0,-11.844,0.0,0.0,0.0,0.0,0.0,,,
2015-05-01,454.377,12419.0,12419.0,-9.519,0.0,0.0,0.0,0.0,0.0,,,
2015-06-01,452.685,12375.0,12375.0,-9.483,0.0,0.0,0.0,0.0,0.0,,,
2015-07-01,470.421,12859.0,12859.0,-9.855,0.0,0.0,0.0,0.0,0.0,,,
2015-08-01,534.076,14597.0,14597.0,-11.188,0.0,0.0,0.0,0.0,0.0,,,
2015-09-01,481.001,13145.0,13145.0,-10.076,0.0,0.0,0.0,0.0,0.0,,,
2015-10-01,550.298,15043.0,15043.0,-11.528,0.0,0.0,0.0,0.0,0.0,,,
2015-11-01,384.777,10516.0,10516.0,-8.061,0.0,0.0,0.0,0.0,0.0,,,
2015-12-01,370.037,10115.0,10115.0,-7.752,0.0,0.0,0.0,0.0,0.0,,,
2016-01-01,587.927,12810.0,12810.0,-9.567,6.0,6.0,0.0,0.0,0.0,,,
2016-02-01,652.448,14212.0,14212.0,-10.618,6.0,6.0,0.0,0.0,0.0,,,
2016-03-01,617.443,13448.0,13448.0,-10.048,6.0,6.0,0.0,0.0,0.0,,,
2016-04-01,505.65,11011.0,11011.0,-8.229,0.0,0.0,0.0,0.0,0.0,,,
2016-05-01,461.245,10049.0,10049.0,-7.506,0.0,0.0,0.0,0.0,0.0,,,
2016-06-01,463.96,10104.0,10104.0,-7.55,0.0,0.0,0.0,0.0,0.0,,,
2016-07-01,388.125,8454.0,8454.0,-6.316,0.0,0.0,0.0,0.0,0.0,,,
2016-08-01,508.668,11077.0,11077.0,-8.278,0.0,0.0,0.0,0.0,0.0,,,
2016-09-01,518.301,11292.0,11292.0,-8.435,6.0,6.0,0.0,0.0,0.0,,,
2016-10-01,595.184,12964.0,12964.0,-9.686,6.0,6.0,0.0,0.0,0.0,,,
2016-11-01,830.536,18090.0,18090.0,-13.516,6.0,6.0,0.0,0.0,0.0,,,
2016-12-01,1121.513,24426.0,24426.0,-18.251,6.0,6.0,0.0,0.0,0.0,,,
2017-01-01,624.408,14014.0,14014.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-02-01,504.17,11308.0,11308.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-03-01,580.507,13019.0,13019.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-04-01,535.221,12001.0,12001.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-05-01,534.644,11990.0,11990.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-06-01,563.912,12645.0,12645.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-07-01,574.656,12887.0,12887.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-08-01,593.585,13310.0,13310.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-09-01,590.416,13239.0,13239.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-10-01,602.602,13514.0,13514.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-11-01,533.733,11968.0,11968.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017-12-01,543.146,12183.0,12183.0,-121.0,77.0,77.0,0.0,0.0,0.0,,,
2018-01-01,324.582,7299.0,7299.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-02-01,302.714,6809.0,6809.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-03-01,302.759,6809.0,6809.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-04-01,305.821,6875.0,6875.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-05-01,349.924,7871.0,7871.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-06-01,326.692,7348.0,7348.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-07-01,352.025,7915.0,7915.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-08-01,359.479,8085.0,8085.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-09-01,365.923,8228.0,8228.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-10-01,384.215,8641.0,8641.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-11-01,345.7,7777.0,7777.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018-12-01,331.166,7447.0,7447.0,-124.0,22.0,22.0,0.0,0.0,0.0,,,
2019-01-01,553.616,11644.0,11644.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-02-01,615.349,12953.0,12953.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-03-01,609.822,12837.0,12837.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-04-01,560.419,11798.0,11798.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-05-01,609.918,12837.0,12837.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-06-01,524.075,11033.0,11033.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-07-01,596.935,12568.0,12568.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-08-01,660.925,13915.0,13915.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-09-01,784.797,16522.0,16522.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-10-01,824.812,17364.0,17364.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-11-01,626.528,13189.0,13189.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019-12-01,835.804,17595.0,17595.0,-118.0,39.0,39.0,0.0,0.0,0.0,,,
2020-01-01,1785.797,33264.0,33264.0,-15.244,22.0,22.0,0.0,0.0,0.0,,,
2020-02-01,1157.724,21566.0,21566.0,-9.883,11.0,11.0,0.0,0.0,0.0,,,
2020-03-01,1168.838,21775.0,21775.0,-9.978,11.0,11.0,0.0,0.0,0.0,,,
2020-04-01,1121.621,20895.0,20895.0,-9.575,11.0,11.0,0.0,0.0,0.0,,,
2020-05-01,949.716,17694.0,17694.0,-8.107,11.0,11.0,0.0,0.0,0.0,,,
2020-06-01,1195.734,22275.0,22275.0,-10.207,11.0,11.0,0.0,0.0,0.0,,,
2020-07-01,1558.666,29035.0,29035.0,-13.306,17.0,17.0,0.0,0.0,0.0,,,
2020-08-01,1597.023,29750.0,29750.0,-13.633,17.0,17.0,0.0,0.0,0.0,,,
2020-09-01,1015.508,18920.0,18920.0,-8.669,11.0,11.0,0.0,0.0,0.0,,,
2020-10-01,1215.456,22644.0,22644.0,-10.376,11.0,11.0,0.0,0.0,0.0,,,
2020-11-01,942.571,17562.0,17562.0,-8.046,11.0,11.0,0.0,0.0,0.0,,,
2020-12-01,934.346,17408.0,17408.0,-7.976,11.0,11.0,0.0,0.0,0.0,,,
2021-01-01,699.534,13321.0,13321.0,-8.955,11.0,11.0,0.0,0.0,0.0,,,
2021-02-01,774.59,14751.0,14751.0,-9.914,11.0,11.0,0.0,0.0,0.0,,,
2021-03-01,837.725,15950.0,15950.0,-10.722,11.0,11.0,0.0,0.0,0.0,,,
2021-04-01,805.268,15334.0,15334.0,-10.307,11.0,11.0,0.0,0.0,0.0,,,
2021-05-01,417.036,7942.0,7942.0,-5.338,6.0,6.0,0.0,0.0,0.0,,,
2021-06-01,559.815,10659.0,10659.0,-7.165,11.0,11.0,0.0,0.0,0.0,,,
2021-07-01,547.082,10417.0,10417.0,-7.002,11.0,11.0,0.0,0.0,0.0,,,
2021-08-01,788.959,15021.0,15021.0,-10.098,11.0,11.0,0.0,0.0,0.0,,,
2021-09-01,1021.86,19459.0,19459.0,-13.079,17.0,17.0,0.0,0.0,0.0,,,
2021-10-01,1015.24,19333.0,19333.0,-12.995,17.0,17.0,0.0,0.0,0.0,,,
2021-11-01,792.693,15092.0,15092.0,-10.146,11.0,11.0,0.0,0.0,0.0,,,
2021-12-01,881.198,16781.0,16781.0,-11.279,17.0,17.0,0.0,0.0,0.0,,,
2022-01-01,837.068,15681.0,15681.0,-10.502,17.0,17.0,0.0,0.0,0.0,,,
2022-02-01,690.324,12942.0,12942.0,-8.661,11.0,11.0,0.0,0.0,0.0,,,
2022-03-01,799.419,14982.0,14982.0,-10.029,17.0,17.0,0.0,0.0,0.0,,,
2022-04-01,710.697,13321.0,13321.0,-8.916,11.0,11.0,0.0,0.0,0.0,,,
2022-05-01,666.021,12485.0,12485.0,-8.356,11.0,11.0,0.0,0.0,0.0,,,
2022-06-01,811.125,15202.0,15202.0,-10.176,17.0,17.0,0.0,0.0,0.0,,,
2022-07-01,738.778,13849.0,13849.0,-9.269,17.0,17.0,0.0,0.0,0.0,,,
2022-08-01,496.863,9312.0,9312.0,-6.234,11.0,11.0,0.0,0.0,0.0,,,
2022-09-01,582.048,10912.0,10912.0,-7.302,11.0,11.0,0.0,0.0,0.0,,,
2022-10-01,653.064,12243.0,12243.0,-8.193,11.0,11.0,0.0,0.0,0.0,,,
2022-11-01,620.021,11622.0,11622.0,-7.779,11.0,11.0,0.0,0.0,0.0,,,
2022-12-01,843.572,15813.0,15813.0,-10.583,17.0,17.0,0.0,0.0,0.0,,,
2023-01-01,663.884,13288.0,13288.0,-12.049,6.0,6.0,0.0,0.0,0.0,,,
2023-02-01,515.396,10313.0,10313.0,-9.355,11.0,11.0,0.0,0.0,0.0,,,
2023-03-01,486.39,9735.0,9735.0,-8.828,11.0,11.0,0.0,0.0,0.0,,,
2023-04-01,574.964,11506.0,11506.0,-10.436,11.0,11.0,0.0,0.0,0.0,,,
2023-05-01,568.139,11369.0,11369.0,-10.312,11.0,11.0,0.0,0.0,0.0,,,
2023-06-01,489.184,9790.0,9790.0,-8.879,11.0,11.0,0.0,0.0,0.0,,,
2023-07-01,463.212,9268.0,9268.0,-8.408,11.0,11.0,0.0,0.0,0.0,,,
2023-08-01,482.143,9647.0,9647.0,-8.751,11.0,11.0,0.0,0.0,0.0,,,
2023-09-01,418.165,8371.0,8371.0,-7.59,11.0,11.0,0.0,0.0,0.0,,,
2023-10-01,474.344,9493.0,9493.0,-8.61,11.0,11.0,0.0,0.0,0.0,,,
2023-11-01,598.206,11974.0,11974.0,-10.858,11.0,11.0,0.0,0.0,0.0,,,
2023-12-01,656.973,13145.0,13145.0,-11.924,11.0,11.0,0.0,0.0,0.0,,,
2024-01-01,772.737,16935.0,16935.0,-7.99,11.0,11.0,0.0,0.0,0.0,,,
2024-02-01,695.851,15252.0,15252.0,-7.195,11.0,11.0,0.0,0.0,0.0,,,
2024-03-01,838.678,18381.0,18381.0,-8.672,11.0,11.0,0.0,0.0,0.0,,,
2024-04-01,883.595,19366.0,19366.0,-9.136,17.0,17.0,0.0,0.0,0.0,,,
2024-05-01,517.978,11352.0,11352.0,-5.356,11.0,11.0,0.0,0.0,0.0,,,
2024-06-01,924.772,20268.0,20268.0,-9.562,17.0,17.0,0.0,0.0,0.0,,,
