measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2005-05-01,76.631,1281.89,1281.89,,,
2005-06-01,92.828,1552.83,1552.83,,,
2005-07-01,175.806,2940.88,2940.88,,,
2005-08-01,155.71200000000002,2604.77,2604.77,,,
2005-09-01,86.64200000000001,1449.36,1449.36,,,
2005-10-01,121.474,2032.01,2032.01,,,
2005-11-01,81.795,1368.28,1368.28,,,
2005-12-01,224.056,3748.01,3748.01,,,
2006-01-01,35.375,531.0,531.0,,,
2006-02-01,18.511,278.0,278.0,,,
2006-03-01,15.549000000000001,233.0,233.0,,,
2006-04-01,29.785,447.0,447.0,,,
2006-05-01,27.841,418.0,418.0,,,
2006-06-01,25.306,380.0,380.0,,,
2006-07-01,36.656,550.0,550.0,,,
2006-08-01,35.556000000000004,533.0,533.0,,,
2006-09-01,16.335,245.0,245.0,,,
2006-10-01,17.255,259.0,259.0,,,
2006-11-01,20.318,305.0,305.0,,,
2006-12-01,22.513,338.0,338.0,,,
2007-01-01,274.778,4650.0,4650.0,0.0,0.0,0.0
2007-02-01,464.25800000000004,7857.0,7857.0,0.0,0.0,0.0
2007-03-01,219.67600000000002,3719.0,3719.0,0.0,0.0,0.0
2007-04-01,104.613,1769.0,1769.0,0.0,0.0,0.0
2007-05-01,146.493,2479.0,2479.0,0.0,0.0,0.0
2007-06-01,51.738,873.0,873.0,0.0,0.0,0.0
2007-07-01,46.233000000000004,780.0,780.0,0.0,0.0,0.0
2007-08-01,67.123,1135.0,1135.0,0.0,0.0,0.0
2007-09-01,66.58800000000001,1129.0,1129.0,0.0,0.0,0.0
2007-10-01,60.532000000000004,1024.0,1024.0,0.0,0.0,0.0
2007-11-01,61.213,1036.0,1036.0,0.0,0.0,0.0
2007-12-01,262.75600000000003,4446.0,4446.0,0.0,0.0,0.0
2008-01-01,111.23400000000001,2431.0,2431.0,0.0,0.0,0.0
2008-02-01,64.796,1416.0,1416.0,0.0,0.0,0.0
2008-03-01,55.43,1215.0,1215.0,0.0,0.0,0.0
2008-04-01,46.324000000000005,1015.0,1015.0,0.0,0.0,0.0
2008-05-01,38.176,838.0,838.0,0.0,0.0,0.0
2008-06-01,55.089000000000006,1204.0,1204.0,0.0,0.0,0.0
2008-07-01,36.231,791.0,791.0,0.0,0.0,0.0
2008-08-01,19.495,425.0,425.0,0.0,0.0,0.0
2008-09-01,25.066000000000003,549.0,549.0,0.0,0.0,0.0
2008-10-01,30.119,661.0,661.0,0.0,0.0,0.0
2008-11-01,38.531,844.0,844.0,0.0,0.0,0.0
2008-12-01,84.509,1847.0,1847.0,0.0,0.0,0.0
2009-01-01,152.90300000000002,3322.0,3322.0,0.0,0.0,0.0
2009-02-01,37.523,814.0,814.0,0.0,0.0,0.0
2009-03-01,30.487000000000002,661.0,661.0,0.0,0.0,0.0
2009-04-01,13.478,295.0,295.0,0.0,0.0,0.0
2009-05-01,7.6610000000000005,165.0,165.0,0.0,0.0,0.0
2009-06-01,4.95,106.0,106.0,0.0,0.0,0.0
2009-07-01,6.863,148.0,148.0,0.0,0.0,0.0
2009-08-01,22.557000000000002,490.0,490.0,0.0,0.0,0.0
2009-09-01,9.66,212.0,212.0,0.0,0.0,0.0
2009-10-01,16.593,360.0,360.0,0.0,0.0,0.0
2009-11-01,5.026,106.0,106.0,0.0,0.0,0.0
2009-12-01,9.299000000000001,201.0,201.0,0.0,0.0,0.0
2010-01-01,20.39,382.0,382.0,0.0,0.0,0.0
2010-02-01,45.406,864.0,864.0,0.0,0.0,0.0
2010-03-01,16.264,312.0,312.0,0.0,0.0,0.0
2010-04-01,12.511000000000001,235.0,235.0,0.0,0.0,0.0
2010-05-01,26.337,500.0,500.0,0.0,0.0,0.0
2010-06-01,30.452,576.0,576.0,0.0,0.0,0.0
2010-07-01,92.607,1758.0,1758.0,0.0,0.0,0.0
2010-08-01,79.48400000000001,1511.0,1511.0,0.0,0.0,0.0
2010-09-01,29.885,570.0,570.0,0.0,0.0,0.0
2010-10-01,29.648,564.0,564.0,0.0,0.0,0.0
2010-11-01,84.37,1605.0,1605.0,0.0,0.0,0.0
2010-12-01,67.646,1288.0,1288.0,0.0,0.0,0.0
2011-01-01,195.097,3301.0,3301.0,0.0,0.0,0.0
2011-02-01,84.977,1432.0,1432.0,0.0,0.0,0.0
2011-03-01,54.878,926.0,926.0,0.0,0.0,0.0
2011-04-01,42.524,716.0,716.0,0.0,0.0,0.0
2011-05-01,18.18,307.0,307.0,0.0,0.0,0.0
2011-06-01,25.828,437.0,437.0,0.0,0.0,0.0
2011-07-01,73.011,1233.0,1233.0,0.0,0.0,0.0
2011-08-01,31.622,534.0,534.0,0.0,0.0,0.0
2011-09-01,15.64,261.0,261.0,0.0,0.0,0.0
2011-10-01,53.476,903.0,903.0,0.0,0.0,0.0
2011-11-01,11.546,193.0,193.0,0.0,0.0,0.0
2011-12-01,21.221,358.0,358.0,0.0,0.0,0.0
2012-01-01,74.173,1529.0,1529.0,0.0,0.0,0.0
2012-02-01,25.76,530.0,530.0,0.0,0.0,0.0
2012-03-01,11.677,244.0,244.0,0.0,0.0,0.0
2012-04-01,16.529,339.0,339.0,0.0,0.0,0.0
2012-05-01,13.123,274.0,274.0,0.0,0.0,0.0
2012-06-01,35.861,738.0,738.0,0.0,0.0,0.0
2012-07-01,47.425,982.0,982.0,0.0,0.0,0.0
2012-08-01,15.752,327.0,327.0,0.0,0.0,0.0
2012-09-01,5.688,119.0,119.0,0.0,0.0,0.0
2012-10-01,18.064,375.0,375.0,0.0,0.0,0.0
2012-11-01,49.54,1023.0,1023.0,0.0,0.0,0.0
2012-12-01,15.408,315.0,315.0,0.0,0.0,0.0
2013-01-01,105.27,2358.0,2358.0,0.0,0.0,0.0
2013-02-01,105.617,2364.0,2364.0,0.0,0.0,0.0
2013-03-01,5.605,127.0,127.0,0.0,0.0,0.0
2013-04-01,32.222,723.0,723.0,0.0,0.0,0.0
2013-05-01,12.495,277.0,277.0,0.0,0.0,0.0
2013-06-01,9.152,202.0,202.0,0.0,0.0,0.0
2013-07-01,42.49,948.0,948.0,0.0,0.0,0.0
2013-08-01,15.04,335.0,335.0,0.0,0.0,0.0
2013-09-01,1.96,46.0,46.0,0.0,0.0,0.0
2013-10-01,7.774,173.0,173.0,0.0,0.0,0.0
2013-11-01,6.056,133.0,133.0,0.0,0.0,0.0
2013-12-01,92.319,2063.0,2063.0,0.0,0.0,0.0
2014-01-01,1024.891,17214.0,17214.0,0.0,0.0,0.0
2014-02-01,119.048,1998.0,1998.0,0.0,0.0,0.0
2014-03-01,512.142,8598.0,8598.0,0.0,0.0,0.0
2014-04-01,12.695,214.0,214.0,0.0,0.0,0.0
2014-05-01,20.383,342.0,342.0,0.0,0.0,0.0
2014-06-01,21.693,365.0,365.0,0.0,0.0,0.0
2014-07-01,7.56,127.0,127.0,0.0,0.0,0.0
2014-08-01,76.033,1280.0,1280.0,0.0,0.0,0.0
2014-09-01,5.636,93.0,93.0,0.0,0.0,0.0
2014-10-01,10.703,179.0,179.0,0.0,0.0,0.0
2014-11-01,20.756,347.0,347.0,0.0,0.0,0.0
2014-12-01,9.46,156.0,156.0,0.0,0.0,0.0
2015-01-01,479.389,8071.0,8071.0,0.0,0.0,0.0
2015-02-01,1432.493,24121.0,24121.0,0.0,0.0,0.0
2015-03-01,97.606,1644.0,1644.0,0.0,0.0,0.0
2015-04-01,4.039,69.0,69.0,0.0,0.0,0.0
2015-05-01,10.689,179.0,179.0,0.0,0.0,0.0
2015-06-01,6.432,110.0,110.0,0.0,0.0,0.0
2015-07-01,53.578,903.0,903.0,0.0,0.0,0.0
2015-08-01,26.495,446.0,446.0,0.0,0.0,0.0
2015-09-01,52.819,892.0,892.0,0.0,0.0,0.0
2015-10-01,29.385,492.0,492.0,0.0,0.0,0.0
2015-11-01,7.924,133.0,133.0,0.0,0.0,0.0
2015-12-01,17.151,290.0,290.0,0.0,0.0,0.0
2016-01-01,115.462,1879.0,1879.0,0.0,0.0,0.0
2016-02-01,331.245,5410.0,5410.0,0.0,0.0,0.0
2016-03-01,11.37,185.0,185.0,0.0,0.0,0.0
2016-04-01,4.456,75.0,75.0,0.0,0.0,0.0
2016-05-01,12.838,208.0,208.0,0.0,0.0,0.0
2016-06-01,34.917,572.0,572.0,0.0,0.0,0.0
2016-07-01,26.073,428.0,428.0,0.0,0.0,0.0
2016-08-01,52.04,850.0,850.0,0.0,0.0,0.0
2016-09-01,6.34,104.0,104.0,0.0,0.0,0.0
2016-10-01,14.423,237.0,237.0,0.0,0.0,0.0
2016-11-01,7.03,116.0,116.0,0.0,0.0,0.0
2016-12-01,32.806,538.0,538.0,0.0,0.0,0.0
2017-01-01,71.439,1191.0,1191.0,0.0,0.0,0.0
2017-02-01,38.7,647.0,647.0,0.0,0.0,0.0
2017-03-01,46.484,775.0,775.0,0.0,0.0,0.0
2017-04-01,32.176,538.0,538.0,0.0,0.0,0.0
2017-05-01,32.983,549.0,549.0,0.0,0.0,0.0
2017-06-01,32.823,549.0,549.0,0.0,0.0,0.0
2017-07-01,22.529,376.0,376.0,0.0,0.0,0.0
2017-08-01,22.047,370.0,370.0,0.0,0.0,0.0
2017-09-01,37.445,624.0,624.0,0.0,0.0,0.0
2017-10-01,36.383,607.0,607.0,0.0,0.0,0.0
2017-11-01,61.175,1023.0,1023.0,0.0,0.0,0.0
2017-12-01,847.816,14155.0,14155.0,0.0,0.0,0.0
2018-01-01,499.268,10739.0,10739.0,0.0,0.0,0.0
2018-02-01,19.216,416.0,416.0,0.0,0.0,0.0
2018-03-01,21.334,457.0,457.0,0.0,0.0,0.0
2018-04-01,16.355,353.0,353.0,0.0,0.0,0.0
2018-05-01,18.137,393.0,393.0,0.0,0.0,0.0
2018-06-01,15.61,335.0,335.0,0.0,0.0,0.0
2018-07-01,21.511,462.0,462.0,0.0,0.0,0.0
2018-08-01,38.75,832.0,832.0,0.0,0.0,0.0
2018-09-01,19.057,410.0,410.0,0.0,0.0,0.0
2018-10-01,17.254,370.0,370.0,0.0,0.0,0.0
2018-11-01,37.103,798.0,798.0,0.0,0.0,0.0
2018-12-01,20.405,439.0,439.0,0.0,0.0,0.0
2019-01-01,195.534,4764.0,4764.0,0.0,0.0,0.0
2019-02-01,122.31,2978.0,2978.0,0.0,0.0,0.0
2019-03-01,127.485,3105.0,3105.0,0.0,0.0,0.0
2019-04-01,99.022,2413.0,2413.0,0.0,0.0,0.0
2019-05-01,50.633,1233.0,1233.0,0.0,0.0,0.0
2019-06-01,61.67,1503.0,1503.0,0.0,0.0,0.0
2019-07-01,83.854,2045.0,2045.0,0.0,0.0,0.0
2019-08-01,159.926,3894.0,3894.0,0.0,0.0,0.0
2019-09-01,77.039,1878.0,1878.0,0.0,0.0,0.0
2019-10-01,121.178,2949.0,2949.0,0.0,0.0,0.0
2019-11-01,167.484,4078.0,4078.0,0.0,0.0,0.0
2019-12-01,189.865,4625.0,4625.0,0.0,0.0,0.0
2020-01-01,98.778,2258.0,2258.0,0.0,0.0,0.0
2020-02-01,105.427,2413.0,2413.0,0.0,0.0,0.0
2020-03-01,81.932,1872.0,1872.0,0.0,0.0,0.0
2020-04-01,91.027,2085.0,2085.0,0.0,0.0,0.0
2020-05-01,63.685,1457.0,1457.0,0.0,0.0,0.0
2020-06-01,61.861,1417.0,1417.0,0.0,0.0,0.0
2020-07-01,73.494,1682.0,1682.0,0.0,0.0,0.0
2020-08-01,69.341,1584.0,1584.0,0.0,0.0,0.0
2020-09-01,78.622,1797.0,1797.0,0.0,0.0,0.0
2020-10-01,123.428,2822.0,2822.0,0.0,0.0,0.0
2020-11-01,124.293,2845.0,2845.0,0.0,0.0,0.0
2020-12-01,696.112,15926.0,15926.0,0.0,0.0,0.0
2021-01-01,27.192,557.0,557.0,0.0,0.0,0.0
2021-02-01,60.16,1216.0,1216.0,0.0,0.0,0.0
2021-03-01,15.178,310.0,310.0,0.0,0.0,0.0
2021-04-01,7.799,158.0,158.0,0.0,0.0,0.0
2021-05-01,6.746,135.0,135.0,0.0,0.0,0.0
2021-06-01,6.603,135.0,135.0,0.0,0.0,0.0
2021-07-01,9.966,203.0,203.0,0.0,0.0,0.0
2021-08-01,11.881,242.0,242.0,0.0,0.0,0.0
2021-09-01,7.6,152.0,152.0,0.0,0.0,0.0
2021-10-01,13.18,265.0,265.0,0.0,0.0,0.0
2021-11-01,15.965,321.0,321.0,0.0,0.0,0.0
2021-12-01,68.73,1391.0,1391.0,0.0,0.0,0.0
2022-01-01,168.761,3500.0,3500.0,0.0,0.0,0.0
2022-02-01,24.212,502.0,502.0,0.0,0.0,0.0
2022-03-01,3.268,68.0,68.0,0.0,0.0,0.0
2022-04-01,1.641,34.0,34.0,0.0,0.0,0.0
2022-05-01,1.143,23.0,23.0,0.0,0.0,0.0
2022-06-01,8.575,177.0,177.0,0.0,0.0,0.0
2022-07-01,5.276,108.0,108.0,0.0,0.0,0.0
2022-08-01,1.573,34.0,34.0,0.0,0.0,0.0
2022-09-01,3.153,63.0,63.0,0.0,0.0,0.0
2022-10-01,2.45,51.0,51.0,0.0,0.0,0.0
2022-11-01,2.774,57.0,57.0,0.0,0.0,0.0
2022-12-01,58.174,1208.0,1208.0,0.0,0.0,0.0
2023-01-01,35.856,960.0,960.0,0.0,0.0,0.0
2023-02-01,239.665,6446.0,6446.0,0.0,0.0,0.0
2023-03-01,27.569,742.0,742.0,0.0,0.0,0.0
2023-04-01,22.862,615.0,615.0,0.0,0.0,0.0
2023-05-01,15.75,426.0,426.0,0.0,0.0,0.0
2023-06-01,17.868,483.0,483.0,0.0,0.0,0.0
2023-07-01,22.73,610.0,610.0,0.0,0.0,0.0
2023-08-01,15.727,426.0,426.0,0.0,0.0,0.0
2023-09-01,26.055,702.0,702.0,0.0,0.0,0.0
2023-10-01,31.852,857.0,857.0,0.0,0.0,0.0
2023-11-01,32.394,868.0,868.0,0.0,0.0,0.0
2023-12-01,43.672,1173.0,1173.0,0.0,0.0,0.0
2024-01-01,10.217,380.0,380.0,0.0,0.0,0.0
2024-02-01,5.229,190.0,190.0,0.0,0.0,0.0
2024-03-01,3.31,121.0,121.0,0.0,0.0,0.0
2024-04-01,3.536,127.0,127.0,0.0,0.0,0.0
2024-05-01,3.976,144.0,144.0,0.0,0.0,0.0
2024-06-01,10.169,368.0,368.0,0.0,0.0,0.0
2024-07-01,12.019,437.0,437.0,0.0,0.0,0.0
2024-08-01,7.982,288.0,288.0,0.0,0.0,0.0
2024-09-01,2.756,98.0,98.0,0.0,0.0,0.0
2024-10-01,3.277,121.0,121.0,0.0,0.0,0.0
2024-11-01,5.794,213.0,213.0,0.0,0.0,0.0
2024-12-01,42.735,1553.0,1553.0,0.0,0.0,0.0
