measured_on,Municiapl Landfill Gas Generation,Municiapl Landfill Gas Quantity Consumed For Electricity,Municiapl Landfill Gas Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2009-09-01,1365.1280000000002,30215.0,30215.0,201.872,4468.0,4468.0
2009-10-01,777.629,17600.0,17600.0,120.37100000000001,2724.0,2724.0
2009-11-01,1561.209,36779.0,36779.0,196.791,4636.0,4636.0
2009-12-01,1435.433,31730.0,31730.0,197.567,4367.0,4367.0
2010-01-01,1548.0990000000002,34643.0,34643.0,203.901,4563.0,4563.0
2010-02-01,1385.366,30531.0,30531.0,198.63400000000001,4378.0,4378.0
2010-03-01,1553.559,34666.0,34666.0,213.441,4763.0,4763.0
2010-04-01,1425.3870000000002,32124.0,32124.0,213.613,4814.0,4814.0
2010-05-01,1312.642,28256.0,28256.0,203.358,4378.0,4378.0
2010-06-01,1337.9450000000002,32926.0,32926.0,189.055,4653.0,4653.0
2010-07-01,1467.507,33788.0,33788.0,212.49300000000002,4893.0,4893.0
2010-08-01,1418.742,32110.0,32110.0,215.258,4872.0,4872.0
2010-09-01,1384.913,31603.0,31603.0,194.08700000000002,4429.0,4429.0
2010-10-01,1243.535,29483.0,29483.0,182.465,4326.0,4326.0
2010-11-01,1327.83,30445.0,30445.0,204.17000000000002,4681.0,4681.0
2010-12-01,1511.2440000000001,31997.0,31997.0,224.756,4759.0,4759.0
2011-01-01,1311.402,21132.0,21132.0,274.598,4425.0,4425.0
2011-02-01,1278.357,29442.0,29442.0,185.643,4276.0,4276.0
2011-03-01,1480.649,30896.0,30896.0,220.351,4598.0,4598.0
2011-04-01,1324.203,28773.0,28773.0,211.797,4602.0,4602.0
2011-05-01,1362.232,30029.0,30029.0,208.768,4602.0,4602.0
2011-06-01,1258.755,28129.0,28129.0,205.245,4587.0,4587.0
2011-07-01,1271.626,30898.0,30898.0,195.374,4747.0,4747.0
2011-08-01,1268.322,29945.0,29945.0,200.678,4738.0,4738.0
2011-09-01,619.3,13750.0,13750.0,106.7,2369.0,2369.0
2011-10-01,11.93,267.0,267.0,2.07,46.0,46.0
