measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other Biomass Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2011-06-01,256.592,2869.0,15633.0,,,,0.0,0.0,0.0,45.631,510.0,2774.0,2523.03,28214.0,153824.0
2011-07-01,319.848,3577.0,19494.0,,,,0.0,0.0,0.0,38.864,435.0,2375.0,2439.168,27277.0,148709.0
2011-08-01,301.224,3369.0,18360.0,,,,0.0,0.0,0.0,43.241,484.0,2641.0,2615.205,29245.0,159445.0
2011-09-01,243.185,2719.0,14823.0,,,,0.0,0.0,0.0,38.124,426.0,2318.0,2472.092,27645.0,150722.0
2011-10-01,235.628,2635.0,14364.0,,,,0.0,0.0,0.0,42.757,478.0,2603.0,2594.629,29015.0,158191.0
2011-11-01,201.148,2249.0,12258.0,,,,0.0,0.0,0.0,42.441,475.0,2584.0,2624.244,29346.0,159995.0
2011-12-01,256.237,2865.0,15633.0,,,,0.0,0.0,0.0,43.69,489.0,2660.0,2642.123,29546.0,161084.0
2012-01-01,220.872,2566.0,13026.0,,,,0.0,0.0,0.0,41.796,486.0,2468.0,2150.581,24987.0,126630.0
2012-02-01,176.768,2054.0,10400.0,,,,0.0,0.0,0.0,41.552,483.0,2450.0,2008.045,23331.0,118250.0
2012-03-01,165.733,1926.0,9750.0,,,,0.0,0.0,0.0,39.126,455.0,2300.0,2039.093,23692.0,120070.0
2012-04-01,163.55,1900.0,9620.0,,,,0.0,0.0,0.0,43.862,510.0,2581.0,1994.718,23176.0,117460.0
2012-05-01,153.727,1786.0,9048.0,,,,0.0,0.0,0.0,47.749,555.0,2805.0,1684.854,19576.0,99210.0
2012-06-01,227.801,2647.0,13416.0,,,,0.0,0.0,0.0,43.712,508.0,2581.0,1992.616,23152.0,117340.0
2012-07-01,294.936,3427.0,17368.0,,,,0.0,0.0,0.0,37.188,432.0,2188.0,2105.916,24468.0,124010.0
2012-08-01,292.124,3394.0,17212.0,,,,0.0,0.0,0.0,49.455,575.0,2917.0,2144.398,24916.0,126270.0
2012-09-01,231.372,2688.0,13624.0,,,,0.0,0.0,0.0,42.219,491.0,2487.0,2029.319,23578.0,119500.0
2012-10-01,222.311,2583.0,13078.0,,,,0.0,0.0,0.0,43.977,511.0,2581.0,1941.645,22560.0,114340.0
2012-11-01,241.419,2805.0,14222.0,,,,0.0,0.0,0.0,45.201,525.0,2655.0,2092.696,24315.0,123230.0
2012-12-01,221.938,2579.0,13078.0,,,,0.0,0.0,0.0,40.84,475.0,2412.0,2214.891,25735.0,130430.0
2013-01-01,252.832,2899.0,15333.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2165.202,24823.0,131694.0
2013-02-01,244.057,2798.0,14841.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2219.2,25443.0,134986.0
2013-03-01,256.571,2942.0,15618.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2345.507,26891.0,142670.0
2013-04-01,238.034,2729.0,14478.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2297.271,26338.0,139727.0
2013-05-01,234.303,2686.0,14245.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2300.395,26373.0,139923.0
2013-06-01,280.472,3216.0,17068.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2093.27,23999.0,127323.0
2013-07-01,336.3,3856.0,20461.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2405.751,27581.0,146333.0
2013-08-01,297.713,3413.0,18104.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2384.348,27336.0,145025.0
2013-09-01,262.129,3005.0,15954.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1689.588,19371.0,102765.0
2013-10-01,233.228,2674.0,14193.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2100.739,24084.0,127781.0
2013-11-01,242.623,2782.0,14763.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2039.561,23383.0,124053.0
2013-12-01,326.414,3742.0,19865.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1938.492,22224.0,117905.0
2014-01-01,557.898,1122.0,1122.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2030.402,3946.0,3946.0
2014-02-01,401.196,783.0,783.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2208.302,4295.0,4295.0
2014-03-01,384.618,757.0,757.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2235.723,4349.0,4349.0
2014-04-01,312.795,600.0,600.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1768.024,3444.0,3444.0
2014-05-01,333.771,653.0,653.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2095.804,4077.0,4077.0
2014-06-01,448.805,861.0,861.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1820.029,3543.0,3543.0
2014-07-01,422.412,809.0,809.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2102.282,4088.0,4088.0
2014-08-01,491.708,966.0,966.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2254.121,4382.0,4382.0
2014-09-01,380.973,731.0,731.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1691.194,3292.0,3292.0
2014-10-01,310.509,600.0,600.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1363.388,2649.0,2649.0
2014-11-01,340.301,653.0,653.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1949.119,3793.0,3793.0
2014-12-01,404.995,783.0,783.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2245.631,4371.0,4371.0
2015-01-01,416.046,894.0,894.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1864.047,3883.0,3883.0
2015-02-01,346.445,710.0,710.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1905.654,3982.0,3982.0
2015-03-01,329.073,684.0,684.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1873.552,3916.0,3916.0
2015-04-01,281.403,579.0,579.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1727.432,3608.0,3608.0
2015-05-01,287.489,605.0,605.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1770.07,3696.0,3696.0
2015-06-01,367.318,763.0,763.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1856.421,3872.0,3872.0
2015-07-01,426.995,894.0,894.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1837.397,3839.0,3839.0
2015-08-01,422.007,868.0,868.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2067.206,4312.0,4312.0
2015-09-01,379.658,789.0,789.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1508.122,3146.0,3146.0
2015-10-01,324.422,684.0,684.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1533.625,3201.0,3201.0
2015-11-01,279.636,579.0,579.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1617.076,3377.0,3377.0
2015-12-01,322.642,684.0,684.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1545.264,3223.0,3223.0
2016-01-01,449.984,2468.0,25537.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2549.29,13981.0,144540.0
2016-02-01,359.873,1974.0,20409.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2307.743,12657.0,130845.0
2016-03-01,258.045,1415.0,14623.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2357.954,12932.0,133694.0
2016-04-01,250.33,1373.0,14202.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2187.304,11996.0,124014.0
2016-05-01,314.989,1728.0,17858.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2625.879,14401.0,148885.0
2016-06-01,448.416,2459.0,25432.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1929.468,10582.0,109395.0
2016-07-01,519.101,2847.0,29430.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2586.368,14185.0,146641.0
2016-08-01,524.216,2875.0,29719.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2090.507,11465.0,118525.0
2016-09-01,451.892,2478.0,25616.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1560.852,8560.0,88495.0
2016-10-01,367.563,2016.0,20830.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1722.453,9447.0,97658.0
2016-11-01,371.321,2036.0,21040.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2263.118,12412.0,128315.0
2016-12-01,415.664,2280.0,23565.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2750.67,15086.0,155958.0
2017-01-01,363.163,1983.0,20698.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2567.1,14018.0,146157.0
2017-02-01,314.705,1718.0,17921.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2188.907,11953.0,124620.0
2017-03-01,329.951,1802.0,18785.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2298.809,12553.0,130882.0
2017-04-01,291.045,1589.0,16558.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2156.594,11776.0,122786.0
2017-05-01,300.222,1639.0,17082.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1755.658,9587.0,99962.0
2017-06-01,358.508,1958.0,20410.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2317.461,12655.0,131943.0
2017-07-01,423.394,2312.0,24104.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1987.332,10852.0,113146.0
2017-08-01,371.686,2030.0,21170.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2405.272,13134.0,136939.0
2017-09-01,315.818,1725.0,17973.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1976.279,10792.0,112517.0
2017-10-01,305.621,1669.0,17397.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2488.47,13588.0,141677.0
2017-11-01,322.452,1761.0,18366.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2896.763,15818.0,164924.0
2017-12-01,357.624,1953.0,20357.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,2869.166,15667.0,163358.0
2018-01-01,276.496,1661.0,20384.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1743.547,10472.0,128612.0
2018-02-01,229.723,1380.0,16952.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1537.668,9235.0,113432.0
2018-03-01,162.089,974.0,11960.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1483.62,8911.0,109439.0
2018-04-01,205.165,1232.0,15132.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1363.549,8190.0,100584.0
2018-05-01,211.859,1272.0,15626.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1498.124,8998.0,110517.0
2018-06-01,273.887,1645.0,20202.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1395.216,8380.0,102927.0
2018-07-01,310.972,1868.0,22932.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1600.36,9612.0,118052.0
2018-08-01,329.309,1978.0,24284.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1525.02,9159.0,112497.0
2018-09-01,264.287,1587.0,19500.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1360.583,8172.0,100364.0
2018-10-01,258.265,1551.0,19058.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1526.957,9171.0,112640.0
2018-11-01,283.973,1706.0,20956.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1891.044,11358.0,139502.0
2018-12-01,316.753,1902.0,23374.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1762.534,10586.0,130020.0
2019-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
