measured_on,"Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Generation","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Quantity Consumed For Electricity","Blast Furnace Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Gases - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2007-06-01,1072.982,5190.0,144581.0,399.795,1934.0,53871.0,263.522,1275.0,35509.0
2007-07-01,1518.0620000000001,7343.0,199277.0,274.55400000000003,1328.0,36041.0,312.284,1511.0,40994.0
2007-08-01,1998.175,9665.0,240896.0,228.52700000000002,1105.0,27551.0,401.99800000000005,1944.0,48464.0
2007-09-01,1501.816,7264.0,196266.0,465.595,2252.0,60847.0,321.789,1557.0,42053.0
2007-10-01,1244.37,6019.0,209790.0,377.422,1825.0,63630.0,143.608,695.0,24211.0
2007-11-01,1888.48,9134.0,266974.0,414.98,2007.0,58666.0,286.44,1386.0,40494.0
2007-12-01,1271.508,6150.0,260557.0,229.39100000000002,1110.0,47007.0,109.301,529.0,22398.0
2008-01-01,1199.076,7680.0,256236.0,287.92400000000004,1844.0,61528.0,,,
2008-02-01,760.798,5181.0,243429.0,169.202,1152.0,54139.0,,,
2008-03-01,968.085,6328.0,235058.0,201.91500000000002,1320.0,49026.0,,,
2008-04-01,339.086,6448.0,281824.0,35.914,683.0,29850.0,,,
2008-05-01,295.129,7535.0,238289.0,66.87100000000001,1707.0,53993.0,,,
2008-06-01,281.73400000000004,7196.0,240428.0,67.266,1718.0,57404.0,,,
2008-07-01,135.79500000000002,4161.0,94407.0,109.205,3346.0,75922.0,,,
2008-08-01,143.485,2811.0,163208.0,50.515,990.0,57459.0,,,
2008-09-01,145.798,2675.0,157860.0,33.202,609.0,35949.0,,,
2008-10-01,144.321,3195.0,161222.0,33.679,746.0,37624.0,,,
2008-11-01,123.998,2616.0,72952.0,45.002,949.0,26476.0,,,
2008-12-01,,,,172.0,3706.0,17270.0,,,
2009-01-01,868.0,1122.0,1122.0,0.0,0.0,0.0,,,
2009-02-01,854.0,1038.0,1038.0,0.0,0.0,0.0,,,
2009-03-01,1059.0,1425.0,1425.0,0.0,0.0,0.0,,,
2009-04-01,805.0,1160.0,1160.0,0.0,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,,,
2009-08-01,0.0,0.0,16564.0,0.0,0.0,18549.0,,,
2009-09-01,0.0,0.0,189272.0,0.0,0.0,23316.0,,,
2009-10-01,0.0,0.0,154867.0,0.0,0.0,27787.0,,,
2009-11-01,0.0,0.0,167700.0,0.0,0.0,29145.0,,,
2009-12-01,0.0,0.0,169300.0,0.0,0.0,20860.0,,,
