measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Generation,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Jet Fuel-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Kerosene-Combustion (Gas) Turbine (including jet engine design) Generation,Kerosene-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Kerosene-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2010-12-01,,,,,,,956.543,13367.0,13367.0,1963.457,27437.0,27437.0
2011-01-01,,,,,,,2033.309,28363.0,28363.0,336.691,4697.0,4697.0
2011-02-01,,,,,,,735.534,10170.0,10170.0,1831.466,25322.0,25322.0
2011-03-01,,,,,,,157.614,2279.0,2279.0,2311.386,33424.0,33424.0
2011-04-01,,,,,,,114.077,1686.0,1686.0,2775.923,41017.0,41017.0
2011-05-01,,,,,,,0.0,0.0,0.0,2010.0,29343.0,29343.0
2011-06-01,,,,,,,172.714,2582.0,2582.0,7101.286,106145.0,106145.0
2011-07-01,,,,,,,587.643,8960.0,8960.0,8130.357,123966.0,123966.0
2011-08-01,,,,,,,436.829,6574.0,6574.0,9201.171,138480.0,138480.0
2011-09-01,,,,,,,152.654,2303.0,2303.0,4490.346,67737.0,67737.0
2011-10-01,,,,,,,101.339,1495.0,1495.0,1340.661,19781.0,19781.0
2011-11-01,,,,,,,366.464,5314.0,5314.0,2984.536,43281.0,43281.0
2011-12-01,,,,,,,225.317,3226.0,3226.0,2447.683,35041.0,35041.0
2012-01-01,,,,,,,24.795,365.0,365.0,740.205,10890.0,10890.0
2012-02-01,,,,,,,0.0,0.0,0.0,1068.0,15130.0,15130.0
2012-03-01,,,,,,,781.472,11666.0,11666.0,3110.528,46433.0,46433.0
2012-04-01,,,,,,,0.0,0.0,0.0,7822.0,111640.0,111640.0
2012-05-01,,,,,,,188.107,2806.0,2806.0,6251.893,93246.0,93246.0
2012-06-01,,,,,,,26.237,386.0,386.0,14990.763,220771.0,220771.0
2012-07-01,,,,,,,221.358,3321.0,3321.0,11377.642,170687.0,170687.0
2012-08-01,,,,,,,0.0,0.0,0.0,7208.0,107586.0,107586.0
2012-09-01,,,,,,,214.128,3259.0,3259.0,4751.872,72327.0,72327.0
2012-10-01,,,,,,,1380.078,19561.0,19561.0,22417.922,317745.0,317745.0
2012-11-01,,,,,,,16.271,230.0,230.0,9533.729,134527.0,134527.0
2012-12-01,,,,,,,6.751,97.0,97.0,2003.249,28753.0,28753.0
2013-01-01,,,,,,,2239.849,30951.0,30951.0,1315.151,18173.0,18173.0
2013-02-01,,,,,,,227.631,3237.0,3237.0,2554.369,36322.0,36322.0
2013-03-01,,,,,,,104.258,1562.0,1562.0,978.742,14662.0,14662.0
2013-04-01,,,,,,,0.0,0.0,0.0,1050.0,14996.0,14996.0
2013-05-01,,,,,,,0.0,0.0,0.0,2546.0,37765.0,37765.0
2013-06-01,,,,,,,208.552,3158.0,3158.0,5679.448,86012.0,86012.0
2013-07-01,,,,,,,1181.812,17875.0,17875.0,19002.188,287413.0,287413.0
2013-08-01,,,,,,,157.746,2383.0,2383.0,3749.254,56629.0,56629.0
2013-09-01,,,,,,,195.84,2975.0,2975.0,4948.16,75178.0,75178.0
2013-10-01,,,,,,,849.474,13526.0,13526.0,1166.526,18574.0,18574.0
2013-11-01,,,,,,,26.742,382.0,382.0,3343.258,47746.0,47746.0
2013-12-01,,,,,,,373.942,5273.0,5273.0,6135.058,86503.0,86503.0
2014-01-01,,,,,,,10779.757,150252.0,150252.0,1416.243,19740.0,19740.0
2014-02-01,,,,,,,863.667,12027.0,12027.0,6923.333,96411.0,96411.0
2014-03-01,,,,,,,2748.28,38618.0,38618.0,3118.72,43823.0,43823.0
2014-04-01,,,,,,,19.044,286.0,286.0,1547.956,23214.0,23214.0
2014-05-01,,,,,,,0.0,0.0,0.0,1313.0,19335.0,19335.0
2014-06-01,,,,,,,0.0,0.0,0.0,2503.0,38003.0,38003.0
2014-07-01,,,,,,,0.0,0.0,0.0,5735.0,86800.0,86800.0
2014-08-01,,,,,,,134.334,2055.0,2055.0,1599.666,24474.0,24474.0
2014-09-01,,,,,,,123.533,1870.0,1870.0,4634.467,70170.0,70170.0
2014-10-01,,,,,,,114.246,1708.0,1708.0,3322.754,49676.0,49676.0
2014-11-01,,,,,,,153.532,2240.0,2240.0,2027.468,29580.0,29580.0
2014-12-01,,,,,,,48.969,694.0,694.0,5149.031,73016.0,73016.0
2015-01-01,,,,,,,0.0,0.0,0.0,777.0,10907.0,10907.0
2015-02-01,,,,,,,1228.93,17041.0,17041.0,831.07,11524.0,11524.0
2015-03-01,,,,,,,246.976,3528.0,3528.0,3902.024,55740.0,55740.0
2015-04-01,,,,,,,88.691,1355.0,1355.0,690.309,10548.0,10548.0
2015-05-01,,,,,,,3.429,50.0,50.0,5028.571,73916.0,73916.0
2015-06-01,,,,,,,0.37,6.0,6.0,2334.63,35332.0,35332.0
2015-07-01,,,,,,,0.0,0.0,0.0,1956.0,29852.0,29852.0
2015-08-01,,,,,,,0.0,0.0,0.0,4035.0,60475.0,60475.0
2015-09-01,,,,,,,0.0,0.0,0.0,8103.0,121100.0,121100.0
2015-10-01,,,,,,,3.945,56.0,56.0,2065.055,29317.0,29317.0
2015-11-01,,,,,,,13.051,190.0,190.0,3433.949,50096.0,50096.0
2015-12-01,,,,,,,46.476,678.0,678.0,3740.524,54535.0,54535.0
2016-01-01,,,,,,,281.03,4116.0,4116.0,283.97,4159.0,4159.0
2016-02-01,,,,,,,665.477,9386.0,9386.0,768.523,10839.0,10839.0
2016-03-01,,,,,,,18.614,269.0,269.0,1538.386,22215.0,22215.0
2016-04-01,,,,,,,0.0,0.0,0.0,4830.0,71014.0,71014.0
2016-05-01,,,,,,,0.0,0.0,0.0,1983.0,29739.0,29739.0
2016-06-01,,,,,,,0.0,0.0,0.0,3936.0,59712.0,59712.0
2016-07-01,,,,,,,0.0,0.0,0.0,13852.0,206795.0,206795.0
2016-08-01,,,,,,,0.0,0.0,0.0,11648.0,175575.0,175575.0
2016-09-01,,,,,,,2.638,39.0,39.0,1103.362,16398.0,16398.0
2016-10-01,,,,,,,888.743,12874.0,12874.0,1220.257,17677.0,17677.0
2016-11-01,,,,,,,57.677,851.0,851.0,2357.323,34790.0,34790.0
2016-12-01,,,,,,,45.29,655.0,655.0,2663.71,38535.0,38535.0
2017-01-01,,,,,,,23.582,347.0,347.0,2381.18,35181.0,35181.0
2017-02-01,,,,,,,19.643,291.0,291.0,2067.877,30552.0,30552.0
2017-03-01,,,,,,,29.946,442.0,442.0,2256.002,33331.0,33331.0
2017-04-01,,,,,,,28.329,420.0,420.0,1957.061,28914.0,28914.0
2017-05-01,,,,,,,14.573,213.0,213.0,2118.722,31303.0,31303.0
2017-06-01,,,,,,,11.239,168.0,168.0,2651.08,39168.0,39168.0
2017-07-01,,,,,,,10.623,157.0,157.0,3374.027,49849.0,49849.0
2017-08-01,,,,,,,8.15,123.0,123.0,3192.331,47165.0,47165.0
2017-09-01,,,,,,,8.852,129.0,129.0,2644.286,39068.0,39068.0
2017-10-01,,,,,,,15.941,235.0,235.0,2117.291,31282.0,31282.0
2017-11-01,,,,,,,18.5,274.0,274.0,1917.018,28323.0,28323.0
2017-12-01,,,,,,,283.277,4183.0,4183.0,2310.47,34136.0,34136.0
2018-01-01,,,,,,,1159.339,17231.0,17231.0,2627.021,39039.0,39039.0
2018-02-01,,,,,,,24.323,364.0,364.0,2285.803,33968.0,33968.0
2018-03-01,,,,,,,24.24,358.0,358.0,2540.83,37758.0,37758.0
2018-04-01,,,,,,,19.277,286.0,286.0,2627.195,39041.0,39041.0
2018-05-01,,,,,,,4.577,67.0,67.0,2916.585,43341.0,43341.0
2018-06-01,,,,,,,11.786,174.0,174.0,3388.575,50356.0,50356.0
2018-07-01,,,,,,,10.852,162.0,162.0,4805.909,71418.0,71418.0
2018-08-01,,,,,,,9.347,140.0,140.0,5013.435,74502.0,74502.0
2018-09-01,,,,,,,10.733,157.0,157.0,3742.488,55615.0,55615.0
2018-10-01,,,,,,,11.619,174.0,174.0,3117.523,46327.0,46327.0
2018-11-01,,,,,,,12.199,179.0,179.0,2685.272,39904.0,39904.0
2018-12-01,,,,,,,22.532,336.0,336.0,2660.54,39537.0,39537.0
2019-01-01,,,,,,,225.159,3366.0,3366.0,1325.212,19797.0,19797.0
2019-02-01,,,,,,,46.583,694.0,694.0,1266.793,18925.0,18925.0
2019-03-01,,,,,,,0.768,11.0,11.0,1179.321,17618.0,17618.0
2019-04-01,,,,,,,0.386,6.0,6.0,1037.713,15503.0,15503.0
2019-05-01,,,,,,,0.613,11.0,11.0,1005.992,15029.0,15029.0
2019-06-01,,,,,,,0.405,6.0,6.0,1340.145,20021.0,20021.0
2019-07-01,,,,,,,0.195,6.0,6.0,2280.681,34071.0,34071.0
2019-08-01,,,,,,,0.37,6.0,6.0,1993.791,29786.0,29786.0
2019-09-01,,,,,,,1.626,22.0,22.0,1424.351,21278.0,21278.0
2019-10-01,,,,,,,0.429,6.0,6.0,1201.004,17942.0,17942.0
2019-11-01,,,,,,,0.847,11.0,11.0,1268.1,18944.0,18944.0
2019-12-01,,,,,,,31.873,476.0,476.0,1414.643,21133.0,21133.0
2020-01-01,,,,,,,45.536,661.0,661.0,1507.208,22133.0,22133.0
2020-02-01,,,,,,,34.141,504.0,504.0,1416.1,20794.0,20794.0
2020-03-01,,,,,,,28.912,426.0,426.0,1386.301,20357.0,20357.0
2020-04-01,,,,,,,20.543,302.0,302.0,989.202,14526.0,14526.0
2020-05-01,,,,,,,43.434,638.0,638.0,1155.875,16973.0,16973.0
2020-06-01,,,,,,,18.006,263.0,263.0,1838.717,27001.0,27001.0
2020-07-01,,,,,,,29.945,442.0,442.0,2647.572,38878.0,38878.0
2020-08-01,,,,,,,12.119,179.0,179.0,2358.261,34630.0,34630.0
2020-09-01,,,,,,,31.495,465.0,465.0,1850.49,27173.0,27173.0
2020-10-01,,,,,,,18.006,263.0,263.0,1385.834,20350.0,20350.0
2020-11-01,,,,,,,43.578,638.0,638.0,1428.584,20978.0,20978.0
2020-12-01,,,,,,,51.067,750.0,750.0,1456.074,21382.0,21382.0
2021-01-01,,,,,,,47.938,700.0,700.0,2857.202,41852.0,41852.0
2021-02-01,,,,,,,393.321,5762.0,5762.0,2401.277,35173.0,35173.0
2021-03-01,,,,,,,58.923,862.0,862.0,2367.511,34679.0,34679.0
2021-04-01,,,,,,,468.473,6860.0,6860.0,2013.616,29495.0,29495.0
2021-05-01,,,,,,,18.287,269.0,269.0,2546.597,37302.0,37302.0
2021-06-01,,,,,,,16.672,246.0,246.0,3618.849,53009.0,53009.0
2021-07-01,,,,,,,15.007,218.0,218.0,4026.401,58979.0,58979.0
2021-08-01,,,,,,,2.564,39.0,39.0,4380.917,64171.0,64171.0
2021-09-01,,,,,,,33.797,493.0,493.0,2979.452,43643.0,43643.0
2021-10-01,,,,,,,42.846,627.0,627.0,2947.855,43180.0,43180.0
2021-11-01,,,,,,,62.93,924.0,924.0,2970.163,43507.0,43507.0
2021-12-01,,,,,,,180.372,2643.0,2643.0,2943.03,43110.0,43110.0
2022-01-01,,,,,,,445.662,6433.0,6433.0,2531.37,36546.0,36546.0
2022-02-01,,,,,,,1141.626,16481.0,16481.0,6484.453,93618.0,93618.0
2022-03-01,,,,,,,499.305,7209.0,7209.0,2836.063,40945.0,40945.0
2022-04-01,,,,,,,444.246,6416.0,6416.0,2523.324,36430.0,36430.0
2022-05-01,,,,,,,382.627,5522.0,5522.0,2173.326,31377.0,31377.0
2022-06-01,,,,,,,315.062,4549.0,4549.0,1789.557,25836.0,25836.0
2022-07-01,,,,,,,952.84,13754.0,13754.0,5412.145,78137.0,78137.0
2022-08-01,,,,,,,1899.583,27423.0,27423.0,10789.658,155774.0,155774.0
2022-09-01,,,,,,,35.545,512.0,512.0,201.897,2915.0,2915.0
2022-10-01,,,,,,,70.549,1018.0,1018.0,400.722,5785.0,5785.0
2022-11-01,,,,,,,121.88,1760.0,1760.0,692.28,9995.0,9995.0
2022-12-01,,,,,,,884.321,12770.0,12770.0,5022.958,72518.0,72518.0
2023-01-01,,,,,,,5.949,84.0,84.0,1074.183,15439.0,15439.0
2023-02-01,,,,,,,133.965,1923.0,1923.0,968.335,13917.0,13917.0
2023-03-01,,,,,,,4.664,67.0,67.0,939.735,13506.0,13506.0
2023-04-01,,,,,,,2.195,34.0,34.0,830.269,11934.0,11934.0
2023-05-01,,,,,,,4.242,62.0,62.0,938.463,13488.0,13488.0
2024-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
