measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Generation","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Quantity Consumed For Electricity","Petroleum Coke - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Petroleum Coke - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Tire-Derived Fuels - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2009-05-01,,,,20.655,226.0,226.0,12755.68,139692.0,139692.0,51473.665,563706.0,563706.0,,,
2009-06-01,,,,16.338,180.0,180.0,18006.23,198156.0,198156.0,72316.432,795832.0,795832.0,,,
2009-07-01,,,,9.42,104.0,104.0,18776.506,208096.0,208096.0,73474.074,814297.0,814297.0,,,
2009-08-01,,,,115.13900000000001,1276.0,1276.0,17352.392,192304.0,192304.0,69590.469,771221.0,771221.0,,,
2009-09-01,,,,43.589,481.0,481.0,12800.833,141372.0,141372.0,52585.578,580753.0,580753.0,,,
2009-10-01,,,,43.992000000000004,481.0,481.0,14679.453000000001,160636.0,160636.0,60237.555,659174.0,659174.0,,,
2009-11-01,,,,14.359,157.0,157.0,18315.957000000002,199752.0,199752.0,75154.684,819629.0,819629.0,,,
2009-12-01,,,,21.096,238.0,238.0,24810.469,279664.0,279664.0,100388.435,1131580.0,1131580.0,,,
2010-01-01,,,,47.732,545.0,545.0,23636.139,269976.0,269976.0,94032.129,1074051.0,1074051.0,,,
2010-02-01,,,,6.75,75.0,75.0,24225.896,270620.0,270620.0,94619.354,1056964.0,1056964.0,,,
2010-03-01,,,,24.560000000000002,278.0,278.0,17690.925,200536.0,200536.0,70973.515,804522.0,804522.0,,,
2010-04-01,,,,24.004,267.0,267.0,15570.91,173068.0,173068.0,58829.086,653875.0,653875.0,,,
2010-05-01,,,,20.826,226.0,226.0,20363.069,221172.0,221172.0,82592.105,897068.0,897068.0,,,
2010-06-01,,,,7.767,87.0,87.0,21149.021,236880.0,236880.0,89936.212,1007332.0,1007332.0,,,
2010-07-01,,,,65.149,713.0,713.0,22409.8,245392.0,245392.0,98379.051,1077271.0,1077271.0,,,
2010-08-01,0.0,0.0,0.0,1.046,12.0,12.0,23970.806,265832.0,265832.0,97054.148,1076313.0,1076313.0,,,
2010-09-01,,,,31.900000000000002,354.0,354.0,13668.263,151592.0,151592.0,62211.837,689979.0,689979.0,,,
2010-10-01,,,,36.9,394.0,394.0,14672.948,156828.0,156828.0,62385.152,666788.0,666788.0,,,
2010-11-01,,,,8.631,93.0,93.0,17335.65,186396.0,186396.0,77260.719,830721.0,830721.0,,,
2010-12-01,,,,27.512,313.0,313.0,16882.357,192192.0,192192.0,69758.131,794140.0,794140.0,,,
2011-01-01,0.0,0.0,0.0,3.138,35.0,35.0,27617.134,306292.0,306292.0,109582.73,1215344.0,1215344.0,,,
2011-02-01,0.0,0.0,0.0,17.635,197.0,197.0,22612.671,252868.0,252868.0,90088.694,1007424.0,1007424.0,,,
2011-03-01,,,,46.838,516.0,516.0,16056.64,176960.0,176960.0,80208.522,883977.0,883977.0,,,
2011-04-01,,,,111.026,1259.0,1259.0,11865.807,134512.0,134512.0,49035.167,555868.0,555868.0,,,
2011-05-01,,,,0.0,0.0,0.0,18859.589,207788.0,207788.0,76514.411,843008.0,843008.0,,,
2011-06-01,,,,4.294,46.0,46.0,13962.465,150892.0,150892.0,80080.241,865425.0,865425.0,,,
2011-07-01,,,,18.025,197.0,197.0,15271.404,167076.0,167076.0,105506.57,1154289.0,1154289.0,,,
2011-08-01,,,,35.348,389.0,389.0,12617.601,138712.0,138712.0,86424.051,950106.0,950106.0,,,
2011-09-01,,,,27.859,302.0,302.0,3442.474,37268.0,37268.0,78293.667,847602.0,847602.0,,,
2011-10-01,,,,52.793,574.0,574.0,6840.169,74396.0,74396.0,40629.038,441895.0,441895.0,,,
2011-11-01,,,,43.682,487.0,487.0,12321.217,137424.0,137424.0,39514.101,440718.0,440718.0,,,
2011-12-01,,,,85.991,922.0,922.0,7999.752,85792.0,85792.0,50913.257,546011.0,546011.0,,,
2012-01-01,,,,59.714,655.0,655.0,1515.348,16632.0,16632.0,46156.938,506604.0,506604.0,,,
2012-02-01,0.0,0.0,0.0,19.915,215.0,215.0,15.59,168.0,168.0,33176.495,357506.0,357506.0,,,
2012-03-01,,,,21.457,220.0,220.0,0.0,0.0,0.0,52167.543,535842.0,535842.0,,,
2012-04-01,,,,35.083,354.0,354.0,0.0,0.0,0.0,43885.917,442578.0,442578.0,,,
2012-05-01,,,,42.421,435.0,435.0,0.0,0.0,0.0,87464.579,896895.0,896895.0,,,
2012-06-01,,,,26.25,273.0,273.0,0.0,0.0,0.0,92715.75,962842.0,962842.0,,,
2012-07-01,,,,40.057,406.0,406.0,0.0,0.0,0.0,101822.94,1032030.0,1032030.0,,,
2012-08-01,,,,16.087,168.0,168.0,0.0,0.0,0.0,97957.913,1024233.0,1024233.0,,,
2012-09-01,,,,49.99,522.0,522.0,0.0,0.0,0.0,73702.01,769605.0,769605.0,,,
2012-10-01,,,,67.41,702.0,702.0,0.0,0.0,0.0,55643.59,579297.0,579297.0,,,
2012-11-01,,,,40.237,412.0,412.0,0.0,0.0,0.0,94149.763,963555.0,963555.0,,,
2012-12-01,,,,21.254,232.0,232.0,0.0,0.0,0.0,68366.746,746274.0,746274.0,,,
2013-01-01,0.0,0.0,0.0,57.535,609.0,609.0,0.0,0.0,0.0,73312.465,775997.0,775997.0,,,
2013-02-01,,,,39.219,423.0,423.0,0.0,0.0,0.0,82391.781,889479.0,889479.0,,,
2013-03-01,0.0,0.0,0.0,42.531,447.0,447.0,0.0,0.0,0.0,89221.469,936882.0,936882.0,,,
2013-04-01,,,,46.509,481.0,481.0,0.0,0.0,0.0,94025.491,973218.0,973218.0,,,
2013-05-01,,,,42.021,441.0,441.0,0.0,0.0,0.0,108507.98,1138255.0,1138255.0,,,
2013-06-01,,,,55.697,592.0,592.0,0.0,0.0,0.0,85485.303,908004.0,908004.0,,,
2013-07-01,,,,31.878,336.0,336.0,0.0,0.0,0.0,106101.12,1119660.0,1119660.0,,,
2013-08-01,,,,49.439,522.0,522.0,0.0,0.0,0.0,104299.56,1101252.0,1101252.0,,,
2013-09-01,,,,30.403,319.0,319.0,0.0,0.0,0.0,75804.597,795384.0,795384.0,,,
2013-10-01,,,,80.201,824.0,824.0,0.0,0.0,0.0,57894.799,594533.0,594533.0,,,
2013-11-01,,,,46.142,476.0,476.0,0.0,0.0,0.0,83074.858,856285.0,856285.0,,,
2013-12-01,,,,36.773,389.0,389.0,0.0,0.0,0.0,109586.23,1158072.0,1158072.0,,,
2014-01-01,,,,14.308,151.0,151.0,0.0,0.0,0.0,119210.69,1256437.0,1256437.0,,,
2014-02-01,0.0,0.0,0.0,46.811,487.0,487.0,0.0,0.0,0.0,97136.189,1010966.0,1010966.0,,,
2014-03-01,,,,41.204,423.0,423.0,0.0,0.0,0.0,72025.796,740116.0,740116.0,,,
2014-04-01,,,,39.883,406.0,406.0,0.0,0.0,0.0,84391.117,859089.0,859089.0,,,
2014-05-01,,,,16.625,168.0,168.0,0.0,0.0,0.0,118359.67,1197497.0,1197497.0,1693.709,17136.0,17136.0
2014-06-01,,,,28.371,307.0,307.0,0.0,0.0,0.0,97149.157,1052597.0,1052597.0,1793.472,19432.0,19432.0
2014-07-01,,,,33.693,371.0,371.0,0.0,0.0,0.0,87915.726,968589.0,968589.0,1659.581,18284.0,18284.0
2014-08-01,,,,19.655,209.0,209.0,0.0,0.0,0.0,100309.04,1065582.0,1065582.0,1510.309,16044.0,16044.0
2014-09-01,,,,38.154,400.0,400.0,0.0,0.0,0.0,81718.718,857163.0,857163.0,1420.128,14896.0,14896.0
2014-10-01,,,,54.986,557.0,557.0,0.0,0.0,0.0,66958.096,678033.0,678033.0,1495.918,15148.0,15148.0
2014-11-01,,,,20.498,220.0,220.0,0.0,0.0,0.0,92378.238,993288.0,993288.0,1320.264,14196.0,14196.0
2014-12-01,0.0,0.0,0.0,43.263,452.0,452.0,0.0,0.0,0.0,77155.737,806816.0,806816.0,0.0,0.0,0.0
2015-01-01,,,,40.671,423.0,423.0,0.0,0.0,0.0,80314.329,836103.0,836103.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,22.24,238.0,238.0,0.0,0.0,0.0,89688.76,958994.0,958994.0,0.0,0.0,0.0
2015-03-01,,,,57.419,621.0,621.0,0.0,0.0,0.0,57418.127,620595.0,620595.0,370.454,4004.0,4004.0
2015-04-01,,,,55.083,592.0,592.0,0.0,0.0,0.0,51211.709,550026.0,550026.0,894.208,9604.0,9604.0
2015-05-01,,,,38.945,406.0,406.0,0.0,0.0,0.0,77611.723,809090.0,809090.0,1117.332,11648.0,11648.0
2015-06-01,,,,21.656,232.0,232.0,0.0,0.0,0.0,87829.793,940935.0,940935.0,1450.551,15540.0,15540.0
2015-07-01,,,,19.15,203.0,203.0,0.0,0.0,0.0,94219.025,998760.0,998760.0,1621.825,17192.0,17192.0
2015-08-01,,,,7.303,75.0,75.0,0.0,0.0,0.0,111584.1,1152107.0,1152107.0,935.593,9660.0,9660.0
2015-09-01,,,,43.585,464.0,464.0,0.0,0.0,0.0,78763.447,838511.0,838511.0,433.968,4620.0,4620.0
2015-10-01,,,,11.081,116.0,116.0,0.0,0.0,0.0,101275.48,1060216.0,1060216.0,1040.442,10892.0,10892.0
2015-11-01,0.0,0.0,0.0,28.38,302.0,302.0,0.0,0.0,0.0,95486.326,1014758.0,1014758.0,113.294,1204.0,1204.0
2015-12-01,,,,111.634,1160.0,1160.0,0.0,0.0,0.0,75402.366,783515.0,783515.0,0.0,0.0,0.0
