measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2010-09-01,,,,-3.0660000000000003,163.0,163.0
2010-10-01,,,,-1.199,64.0,64.0
2010-11-01,,,,-1.052,58.0,58.0
2010-12-01,,,,-14.638,779.0,779.0
2011-01-01,,,,18.951,1102.0,1102.0
2011-02-01,,,,2.285,133.0,133.0
2011-03-01,,,,2.423,139.0,139.0
2011-04-01,,,,4.381,255.0,255.0
2011-05-01,,,,3.255,191.0,191.0
2011-06-01,,,,8.139,470.0,470.0
2011-07-01,,,,8.746,505.0,505.0
2011-08-01,,,,2.735,157.0,157.0
2011-09-01,,,,1.166,70.0,70.0
2011-10-01,,,,0.366,23.0,23.0
2011-11-01,,,,1.135,64.0,64.0
2011-12-01,,,,3.418,197.0,197.0
2012-01-01,,,,-5.268,450.0,450.0
2012-02-01,,,,-1.13,99.0,99.0
2012-03-01,,,,-0.267,23.0,23.0
2012-04-01,,,,-3.489,304.0,304.0
2012-05-01,,,,-2.608,228.0,228.0
2012-06-01,,,,-6.652,573.0,573.0
2012-07-01,,,,-8.478,731.0,731.0
2012-08-01,,,,-3.065,263.0,263.0
2012-09-01,,,,-2.156,187.0,187.0
2012-10-01,,,,-1.948,170.0,170.0
2012-11-01,,,,-1.861,164.0,164.0
2012-12-01,,,,-2.078,181.0,181.0
2013-01-01,,,,24.786,1144.0,1144.0
2013-02-01,,,,3.585,163.0,163.0
2013-03-01,,,,4.728,215.0,215.0
2013-04-01,,,,2.29,105.0,105.0
2013-05-01,,,,4.266,197.0,197.0
2013-06-01,,,,2.323,105.0,105.0
2013-07-01,,,,20.894,958.0,958.0
2013-08-01,,,,3.425,157.0,157.0
2013-09-01,,,,7.541,343.0,343.0
2013-10-01,,,,1.071,46.0,46.0
2013-11-01,,,,0.769,35.0,35.0
2013-12-01,,,,4.322,197.0,197.0
2014-01-01,,,,40.601,7371.0,7371.0
2014-02-01,,,,5.107,924.0,924.0
2014-03-01,,,,9.259,1677.0,1677.0
2014-04-01,,,,0.469,82.0,82.0
2014-05-01,,,,0.224,41.0,41.0
2014-06-01,,,,0.69,124.0,124.0
2014-07-01,,,,1.226,224.0,224.0
2014-08-01,,,,1.151,206.0,206.0
2014-09-01,,,,0.265,47.0,47.0
2014-10-01,,,,0.012,0.0,0.0
2014-11-01,,,,0.004,0.0,0.0
2014-12-01,,,,0.992,182.0,182.0
2015-01-01,,,,14.321,322.0,322.0
2015-02-01,,,,38.542,848.0,848.0
2015-03-01,,,,4.386,94.0,94.0
2015-04-01,,,,3.557,76.0,76.0
2015-05-01,,,,5.108,111.0,111.0
2015-06-01,,,,6.7,146.0,146.0
2015-07-01,,,,7.837,170.0,170.0
2015-08-01,,,,5.249,117.0,117.0
2015-09-01,,,,2.938,64.0,64.0
2015-10-01,,,,3.204,70.0,70.0
2015-11-01,,,,7.559,164.0,164.0
2015-12-01,,,,3.599,82.0,82.0
2016-01-01,,,,66.487,1240.0,1240.0
2016-02-01,,,,33.338,626.0,626.0
2016-03-01,,,,17.888,336.0,336.0
2016-04-01,,,,18.363,342.0,342.0
2016-05-01,,,,19.139,359.0,359.0
2016-06-01,,,,29.997,562.0,562.0
2016-07-01,,,,57.476,1078.0,1078.0
2016-08-01,,,,47.817,898.0,898.0
2016-09-01,,,,16.932,319.0,319.0
2016-10-01,,,,20.409,383.0,383.0
2016-11-01,,,,21.83,412.0,412.0
2016-12-01,,,,20.324,383.0,383.0
2017-01-01,,,,0.0,0.0,0.0
2017-02-01,,,,0.0,0.0,0.0
2017-03-01,,,,0.0,0.0,0.0
2017-04-01,,,,0.0,0.0,0.0
2017-05-01,,,,0.0,0.0,0.0
2017-06-01,,,,0.0,0.0,0.0
2017-07-01,,,,0.0,0.0,0.0
2017-08-01,,,,0.0,0.0,0.0
2017-09-01,,,,0.0,0.0,0.0
2017-10-01,,,,0.0,0.0,0.0
2017-11-01,,,,0.0,0.0,0.0
2017-12-01,,,,38.0,58.0,58.0
2018-01-01,,,,252.165,4150.0,4150.0
2018-02-01,,,,24.187,400.0,400.0
2018-03-01,,,,27.288,446.0,446.0
2018-04-01,,,,31.102,510.0,510.0
2018-05-01,,,,44.476,730.0,730.0
2018-06-01,,,,37.645,620.0,620.0
2018-07-01,,,,27.025,446.0,446.0
2018-08-01,,,,39.428,649.0,649.0
2018-09-01,,,,45.014,742.0,742.0
2018-10-01,,,,37.93,626.0,626.0
2018-11-01,,,,36.387,597.0,597.0
2018-12-01,,,,46.353,765.0,765.0
2019-01-01,,,,10.438,626.0,626.0
2019-02-01,,,,4.57,280.0,280.0
2019-03-01,,,,8.373,509.0,509.0
2019-04-01,,,,5.662,341.0,341.0
2019-05-01,,,,5.95,363.0,363.0
2019-06-01,,,,8.002,486.0,486.0
2019-07-01,,,,8.997,548.0,548.0
2019-08-01,,,,8.404,509.0,509.0
2019-09-01,,,,5.842,352.0,352.0
2019-10-01,,,,6.593,402.0,402.0
2019-11-01,,,,5.184,313.0,313.0
2019-12-01,,,,6.985,425.0,425.0
2020-01-01,,,,0.0,290.0,290.0
2020-02-01,,,,0.0,232.0,232.0
2020-03-01,,,,0.0,151.0,151.0
2020-04-01,,,,0.0,122.0,122.0
2020-05-01,,,,0.0,197.0,197.0
2020-06-01,,,,0.0,215.0,215.0
2020-07-01,,,,0.0,267.0,267.0
2020-08-01,,,,0.0,203.0,203.0
2020-09-01,,,,0.0,220.0,220.0
2020-10-01,,,,0.0,162.0,162.0
2020-11-01,,,,0.0,151.0,151.0
2020-12-01,,,,0.0,284.0,284.0
2021-01-01,,,,3.661,192.0,192.0
2021-02-01,,,,7.247,378.0,378.0
2021-03-01,,,,3.742,198.0,198.0
2021-04-01,,,,2.955,157.0,157.0
2021-05-01,,,,2.818,145.0,145.0
2021-06-01,,,,3.96,209.0,209.0
2021-07-01,,,,3.135,163.0,163.0
2021-08-01,,,,3.843,198.0,198.0
2021-09-01,,,,2.709,140.0,140.0
2021-10-01,,,,2.718,140.0,140.0
2021-11-01,,,,2.474,128.0,128.0
2021-12-01,,,,3.738,198.0,198.0
2022-01-01,,,,0.0,280.0,280.0
2022-02-01,,,,0.0,117.0,117.0
2022-03-01,,,,0.0,350.0,350.0
2022-04-01,,,,0.0,122.0,122.0
2022-05-01,,,,0.0,140.0,140.0
2022-06-01,,,,0.0,163.0,163.0
2022-07-01,,,,0.0,192.0,192.0
2022-08-01,,,,0.0,163.0,163.0
2022-09-01,,,,0.0,122.0,122.0
2022-10-01,,,,0.0,111.0,111.0
2022-11-01,,,,0.0,146.0,146.0
2022-12-01,,,,0.0,553.0,553.0
2023-01-01,,,,-582.309,442.0,442.0
2023-02-01,,,,-374.399,285.0,285.0
2023-03-01,,,,-495.006,373.0,373.0
2023-04-01,,,,-365.308,274.0,274.0
2023-05-01,,,,-414.521,314.0,314.0
2023-06-01,,,,-381.937,291.0,291.0
2023-07-01,,,,-350.889,268.0,268.0
2023-08-01,,,,-401.218,303.0,303.0
2023-09-01,,,,-330.866,250.0,250.0
2023-10-01,,,,-332.002,250.0,250.0
2023-11-01,,,,-510.973,384.0,384.0
2023-12-01,,,,-437.572,332.0,332.0
2024-01-01,,,,-560.09,544.0,544.0
2024-02-01,,,,-200.43,197.0,197.0
2024-03-01,,,,-158.221,156.0,156.0
2024-04-01,,,,-572.737,562.0,562.0
2024-05-01,,,,-326.512,319.0,319.0
2024-06-01,,,,-241.216,237.0,237.0
2024-07-01,,,,-515.536,504.0,504.0
2024-08-01,,,,-381.707,376.0,376.0
2024-09-01,,,,-174.204,174.0,174.0
2024-10-01,,,,-252.124,249.0,249.0
2024-11-01,,,,-229.306,226.0,226.0
2024-12-01,,,,-547.917,539.0,539.0
