measured_on,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2009-11-01,0.0,0.0,0.0,,,,2276.25,25889.0,112699.0,,,
2009-12-01,0.0,0.0,0.0,,,,1954.55,22230.0,96771.0,,,
2010-01-01,1775.961,27401.0,97038.0,,,,,,,,,
2010-02-01,1605.2920000000001,24768.0,87711.0,,,,,,,,,
2010-03-01,1781.207,27482.0,97323.0,,,,,,,,,
2010-04-01,1843.3210000000001,28440.0,100716.0,,,,,,,,,
2010-05-01,2285.8360000000002,35268.0,124895.0,,,,,,,,,
2010-06-01,2542.107,39222.0,138897.0,,,,,,,,,
2010-07-01,2493.0,38464.0,136214.0,,,,,,,,,
2010-08-01,2557.1040000000003,39453.0,139717.0,,,,,,,,,
2010-09-01,2508.48,38703.0,137060.0,,,,,,,,,
2010-10-01,2116.018,32648.0,115616.0,,,,,,,,,
2010-11-01,1740.8110000000001,26859.0,95116.0,,,,,,,,,
2010-12-01,1923.863,29683.0,105117.0,,,,,,,,,
2011-01-01,2960.048,36986.0,36986.0,0.0,0.0,0.0,,,,,,
2011-02-01,2670.767,33374.0,33374.0,0.0,0.0,0.0,,,,,,
2011-03-01,3167.705,39584.0,39584.0,0.0,0.0,0.0,,,,,,
2011-04-01,3660.663,45744.0,45744.0,0.0,0.0,0.0,,,,,,
2011-05-01,3685.244,46051.0,46051.0,0.0,0.0,0.0,,,,,,
2011-06-01,4044.19,50536.0,50536.0,0.0,0.0,0.0,,,,,,
2011-07-01,4186.256,52310.0,52310.0,0.0,0.0,0.0,,,,,,
2011-08-01,4460.572,55739.0,55739.0,0.0,0.0,0.0,,,,,,
2011-09-01,4056.38,50688.0,50688.0,0.0,0.0,0.0,,,,,,
2011-10-01,3408.43,42591.0,42591.0,0.0,0.0,0.0,,,,,,
2011-11-01,3072.318,38392.0,38392.0,0.0,0.0,0.0,,,,,,
2011-12-01,3110.427,38868.0,38868.0,0.0,0.0,0.0,,,,,,
2012-01-01,2469.886,38108.0,63723.0,0.0,0.0,0.0,,,,,,
2012-02-01,2311.556,35665.0,59639.0,0.0,0.0,0.0,,,,,,
2012-03-01,2734.329,42188.0,70546.0,0.0,0.0,0.0,,,,,,
2012-04-01,2699.474,41650.0,69648.0,0.0,0.0,0.0,,,,,,
2012-05-01,3145.653,48534.0,81159.0,0.0,0.0,0.0,,,,,,
2012-06-01,3054.421,47126.0,78805.0,0.0,0.0,0.0,,,,,,
2012-07-01,3371.088,52012.0,86975.0,0.0,0.0,0.0,,,,,,
2012-08-01,3362.411,51878.0,86751.0,0.0,0.0,0.0,,,,,,
2012-09-01,3130.414,48299.0,80765.0,0.0,0.0,0.0,,,,,,
2012-10-01,2815.831,43445.0,72650.0,0.0,0.0,0.0,,,,,,
2012-11-01,2247.975,34684.0,57998.0,0.0,0.0,0.0,,,,,,
2012-12-01,2524.962,38957.0,65145.0,0.0,0.0,0.0,,,,,,
2013-01-01,,,,,,,3504.758,39861.0,49529.0,,,
2013-02-01,,,,,,,3521.783,40054.0,49768.0,,,
2013-03-01,,,,,,,3605.924,41011.0,50957.0,,,
2013-04-01,,,,,,,3631.403,41301.0,51318.0,,,
2013-05-01,,,,,,,3980.965,45277.0,56257.0,,,
2013-06-01,,,,,,,4439.045,50487.0,62730.0,,,
2013-07-01,,,,,,,4408.964,50145.0,62306.0,,,
2013-08-01,,,,,,,4841.199,55061.0,68414.0,,,
2013-09-01,,,,,,,4362.856,49620.0,61654.0,,,
2013-10-01,,,,,,,4253.561,48377.0,60109.0,,,
2013-11-01,,,,,,,3515.118,39979.0,49674.0,,,
2013-12-01,,,,,,,3306.424,37605.0,46725.0,,,
2014-01-01,,,,,,,3572.958,40636.0,51241.0,,,
2014-02-01,,,,,,,2740.836,31172.0,39308.0,,,
2014-03-01,,,,,,,3622.026,41195.0,51945.0,,,
2014-04-01,,,,,,,3989.352,45372.0,57213.0,,,
2014-05-01,,,,,,,4219.262,47987.0,60510.0,,,
2014-06-01,,,,,,,4270.852,48574.0,61250.0,,,
2014-07-01,,,,,,,4755.114,54081.0,68195.0,,,
2014-08-01,,,,,,,5096.274,57962.0,73088.0,,,
2014-09-01,,,,,,,4427.059,50350.0,63491.0,,,
2014-10-01,,,,,,,4164.909,47369.0,59731.0,,,
2014-11-01,,,,,,,3068.03,34894.0,44000.0,,,
2014-12-01,,,,,,,3249.328,36956.0,46600.0,,,
2015-01-01,,,,,,,2813.249,31996.0,41301.0,,,
2015-02-01,,,,,,,2536.12,28844.0,37234.0,,,
2015-03-01,,,,,,,2931.084,33336.0,43033.0,,,
2015-04-01,,,,,,,3320.057,37760.0,48744.0,,,
2015-05-01,,,,,,,3394.34,38605.0,49834.0,,,
2015-06-01,,,,,,,3538.606,40246.0,51952.0,,,
2015-07-01,,,,,,,3724.621,42361.0,54683.0,,,
2015-08-01,,,,,,,3772.679,42908.0,55389.0,,,
2015-09-01,,,,,,,3531.07,40160.0,51841.0,,,
2015-10-01,,,,,,,3358.018,38192.0,49301.0,,,
2015-11-01,,,,,,,3004.457,34171.0,44110.0,,,
2015-12-01,,,,,,,3032.699,34492.0,44525.0,,,
2016-01-01,,,,,,,3496.668,50460.0,50460.0,,,
2016-02-01,,,,,,,3266.362,47136.0,47136.0,,,
2016-03-01,,,,,,,3545.344,51161.0,51161.0,,,
2016-04-01,,,,,,,3898.327,56255.0,56255.0,,,
2016-05-01,,,,,,,4097.577,59131.0,59131.0,,,
2016-06-01,,,,,,,4476.833,64603.0,64603.0,,,
2016-07-01,,,,,,,4822.119,69586.0,69586.0,,,
2016-08-01,,,,,,,4844.805,69914.0,69914.0,,,
2016-09-01,,,,,,,4354.843,62843.0,62843.0,,,
2016-10-01,,,,,,,3925.08,56641.0,56641.0,,,
2016-11-01,,,,,,,3080.937,44460.0,44460.0,,,
2016-12-01,,,,,,,3189.105,46021.0,46021.0,,,
2017-01-01,,,,,,,3330.538,48957.0,48957.0,,,
2017-02-01,,,,,,,3118.056,45833.0,45833.0,,,
2017-03-01,,,,,,,3586.951,52725.0,52725.0,,,
2017-04-01,,,,,,,3729.925,54827.0,54827.0,,,
2017-05-01,,,,,,,4440.328,65270.0,65270.0,,,
2017-06-01,,,,,,,4388.752,64512.0,64512.0,,,
2017-07-01,,,,,,,5025.567,73873.0,73873.0,,,
2017-08-01,,,,,,,5205.374,76515.0,76515.0,,,
2017-09-01,,,,,,,4523.302,66489.0,66489.0,,,
2017-10-01,,,,,,,4387.603,64495.0,64495.0,,,
2017-11-01,,,,,,,3474.489,51072.0,51072.0,,,
2017-12-01,,,,,,,3369.115,49524.0,49524.0,,,
2018-01-01,,,,,,,3145.495,45532.0,45532.0,,,
2018-02-01,,,,,,,2898.928,41965.0,41965.0,,,
2018-03-01,,,,,,,3111.289,45039.0,45039.0,,,
2018-04-01,,,,,,,3292.957,47668.0,47668.0,,,
2018-05-01,,,,,,,3567.326,51639.0,51639.0,,,
2018-06-01,,,,,,,4037.437,58445.0,58445.0,,,
2018-07-01,,,,,,,4169.38,60355.0,60355.0,,,
2018-08-01,,,,,,,4417.192,63942.0,63942.0,,,
2018-09-01,,,,,,,4401.782,63719.0,63719.0,,,
2018-10-01,,,,,,,4046.026,58569.0,58569.0,,,
2018-11-01,,,,,,,3142.281,45487.0,45487.0,,,
2018-12-01,,,,,,,2764.907,40024.0,40024.0,,,
2019-01-01,,,,,,,3098.317,45263.0,45263.0,,,
2019-02-01,,,,,,,2951.274,43112.0,43112.0,,,
2019-03-01,,,,,,,3219.242,47027.0,47027.0,,,
2019-04-01,,,,,,,3208.147,46865.0,46865.0,,,
2019-05-01,,,,,,,4184.703,61131.0,61131.0,,,
2019-06-01,,,,,,,4327.141,63212.0,63212.0,,,
2019-07-01,,,,,,,4513.261,65930.0,65930.0,,,
2019-08-01,,,,,,,4619.062,67476.0,67476.0,,,
2019-09-01,,,,,,,4447.809,64975.0,64975.0,,,
2019-10-01,,,,,,,4190.517,61216.0,61216.0,,,
2019-11-01,,,,,,,3024.25,44178.0,44178.0,,,
2019-12-01,,,,,,,3180.277,46458.0,46458.0,,,
2020-01-01,,,,,,,3121.381,46575.0,46575.0,,,
2020-02-01,,,,,,,3084.709,46027.0,46027.0,,,
2020-03-01,,,,,,,3523.244,52570.0,52570.0,,,
2020-04-01,,,,,,,3460.916,51640.0,51640.0,,,
2020-05-01,,,,,,,3489.257,52063.0,52063.0,,,
2020-06-01,,,,,,,3999.961,59684.0,59684.0,,,
2020-07-01,,,,,,,4314.928,64383.0,64383.0,,,
2020-08-01,,,,,,,4348.196,64880.0,64880.0,,,
2020-09-01,,,,,,,3902.474,58229.0,58229.0,,,
2020-10-01,,,,,,,3818.653,56978.0,56978.0,,,
2020-11-01,,,,,,,3155.98,47091.0,47091.0,,,
2020-12-01,,,,,,,2882.301,43007.0,43007.0,,,
2021-01-01,,,,,,,2897.657,43894.0,43894.0,,,
2021-02-01,,,,,,,2654.395,40208.0,40208.0,,,
2021-03-01,,,,,,,2994.442,45359.0,45359.0,,,
2021-04-01,,,,,,,3123.589,47315.0,47315.0,,,
2021-05-01,,,,,,,3713.16,56246.0,56246.0,,,
2021-06-01,,,,,,,3836.13,58109.0,58109.0,,,
2021-07-01,,,,,,,4265.96,64620.0,64620.0,,,
2021-08-01,,,,,,,4425.989,67044.0,67044.0,,,
2021-09-01,,,,,,,4068.042,61622.0,61622.0,,,
2021-10-01,,,,,,,3846.615,58268.0,58268.0,,,
2021-11-01,,,,,,,2988.384,45267.0,45267.0,,,
2021-12-01,,,,,,,3175.637,48104.0,48104.0,,,
2022-01-01,,,,,,,3105.814,46817.0,46817.0,,,
2022-02-01,,,,,,,2550.334,38445.0,38445.0,,,
2022-03-01,,,,,,,2943.761,44375.0,44375.0,,,
2022-04-01,,,,,,,2935.692,44254.0,44254.0,,,
2022-05-01,,,,,,,3577.663,53931.0,53931.0,,,
2022-06-01,,,,,,,3918.522,59069.0,59069.0,,,
2022-07-01,,,,,,,4288.663,64649.0,64649.0,,,
2022-08-01,,,,,,,4299.38,64811.0,64811.0,,,
2022-09-01,,,,,,,3763.111,56727.0,56727.0,,,
2022-10-01,,,,,,,3138.254,47307.0,47307.0,,,
2022-11-01,,,,,,,2913.103,43913.0,43913.0,,,
2022-12-01,,,,,,,2935.703,44254.0,44254.0,,,
2023-01-01,,,,,,,2357.033,36759.0,36759.0,,,
2023-02-01,,,,,,,2085.638,32524.0,32524.0,,,
2023-03-01,,,,,,,2369.648,36953.0,36953.0,,,
2023-04-01,,,,,,,2591.236,40409.0,40409.0,,,
2023-05-01,,,,,,,2937.827,45814.0,45814.0,,,
2023-06-01,,,,,,,3106.658,48446.0,48446.0,,,
2023-07-01,,,,,,,3504.47,54650.0,54650.0,,,
2023-08-01,,,,,,,3698.65,57678.0,57678.0,,,
2023-09-01,,,,,,,3200.629,49912.0,49912.0,,,
2023-10-01,,,,,,,2773.961,43258.0,43258.0,,,
2023-11-01,,,,,,,2381.66,37140.0,37140.0,,,
2023-12-01,,,,,,,2374.59,37030.0,37030.0,,,
2024-01-01,,,,,,,2447.329,39019.0,39019.0,,,
2024-02-01,,,,,,,2094.841,33399.0,33399.0,,,
2024-03-01,,,,,,,2466.317,39321.0,39321.0,,,
2024-04-01,,,,,,,2318.671,36967.0,36967.0,,,
2024-05-01,,,,,,,3146.718,50169.0,50169.0,,,
2024-06-01,,,,,,,3175.44,50626.0,50626.0,,,
2024-07-01,,,,,,,3525.985,56215.0,56215.0,,,
2024-08-01,,,,,,,3478.84,55464.0,55464.0,,,
2024-09-01,,,,,,,3385.091,53969.0,53969.0,,,
2024-10-01,,,,,,,2889.72,46072.0,46072.0,,,
2024-11-01,,,,,,,2515.927,40112.0,40112.0,,,
2024-12-01,,,,,,,2230.121,35555.0,35555.0,,,
