measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-12-01,0.0,0.0,0.0,,,,5.0,52.0,52.0,0.0,0.0,0.0,3.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-01-01,0.0,0.0,0.0,,,,0.65,9.0,9.0,0.0,0.0,0.0,422.72,6911.0,6911.0,78.643,0.0,0.0,57.955,2683.0,2683.0,,,
2004-02-01,0.0,0.0,0.0,,,,0.369,5.0,5.0,0.0,0.0,0.0,424.89300000000003,6946.0,6946.0,73.569,0.0,0.0,63.865,2957.0,2957.0,,,
2004-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,419.06300000000005,6851.0,6851.0,134.598,0.0,0.0,92.134,4265.0,4265.0,,,
2004-04-01,0.0,0.0,0.0,,,,0.755,10.0,10.0,0.0,0.0,0.0,468.733,7663.0,7663.0,129.61100000000002,0.0,0.0,105.199,4870.0,4870.0,,,
2004-05-01,0.0,0.0,0.0,,,,2.9330000000000003,39.0,39.0,0.0,0.0,0.0,526.107,8601.0,8601.0,167.377,0.0,0.0,107.723,4987.0,4987.0,,,
2004-06-01,0.0,0.0,0.0,,,,45.835,610.0,610.0,0.0,0.0,0.0,595.643,9738.0,9738.0,216.336,0.0,0.0,134.75,6238.0,6238.0,,,
2004-07-01,0.0,0.0,0.0,,,,66.943,891.0,891.0,0.0,0.0,0.0,622.863,10183.0,10183.0,238.77100000000002,0.0,0.0,146.358,6776.0,6776.0,,,
2004-08-01,0.0,0.0,0.0,,,,0.738,10.0,10.0,0.0,0.0,0.0,606.962,9923.0,9923.0,220.68,0.0,0.0,136.99,6342.0,6342.0,,,
2004-09-01,0.0,0.0,0.0,,,,4.619000000000001,62.0,62.0,0.0,0.0,0.0,595.305,9732.0,9732.0,214.22400000000002,0.0,0.0,195.627,9057.0,9057.0,,,
2004-10-01,0.0,0.0,0.0,,,,0.7020000000000001,9.0,9.0,0.0,0.0,0.0,584.7230000000001,9559.0,9559.0,224.73700000000002,0.0,0.0,149.042,6900.0,6900.0,,,
2004-11-01,0.0,0.0,0.0,,,,1.0010000000000001,13.0,13.0,0.0,0.0,0.0,460.74100000000004,7532.0,7532.0,146.389,0.0,0.0,75.357,3489.0,3489.0,,,
2004-12-01,0.0,0.0,0.0,,,,0.457,6.0,6.0,0.0,0.0,0.0,435.24800000000005,7116.0,7116.0,108.066,0.0,0.0,68.998,3194.0,3194.0,,,
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,9.573,99.32,99.32,0.0,0.0,0.0,613.7470000000001,9789.09,9789.09,199.66,0.0,0.0,407.398,8961.84,8961.84,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,4.8580000000000005,50.41,50.41,0.0,0.0,0.0,509.49800000000005,8126.34,8126.34,165.746,0.0,0.0,338.199,7439.61,7439.61,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,5.88,61.01,61.01,0.0,0.0,0.0,630.971,10063.81,10063.81,205.263,0.0,0.0,418.832,9213.35,9213.35,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,6.127000000000001,63.57,63.57,0.0,0.0,0.0,621.701,9915.96,9915.96,202.24800000000002,0.0,0.0,412.67900000000003,9078.0,9078.0,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,7.22,74.9,74.9,0.0,0.0,0.0,732.8860000000001,11689.32,11689.32,238.417,0.0,0.0,486.482,10701.49,10701.49,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,6.537,67.82,67.82,0.0,0.0,0.0,924.922,14752.24,14752.24,300.889,0.0,0.0,613.953,13505.57,13505.57,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,10.467,108.6,108.6,0.0,0.0,0.0,1159.204,18488.97,18488.97,377.10400000000004,0.0,0.0,769.467,16926.52,16926.52,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,0.0,0.0,0.0,11.583,120.17,120.17,0.0,0.0,0.0,1200.809,19152.57,19152.57,390.639,0.0,0.0,797.0840000000001,17534.04,17534.04,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,11.503,119.34,119.34,0.0,0.0,0.0,913.7410000000001,14573.91,14573.91,297.252,0.0,0.0,606.5310000000001,13342.31,13342.31,0.0,0.0,0.0
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,6.864000000000001,71.21,71.21,0.0,0.0,0.0,729.967,11642.77,11642.77,237.46800000000002,0.0,0.0,484.545,10658.88,10658.88,0.0,0.0,0.0
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,5.471,56.76,56.76,0.0,0.0,0.0,622.783,9933.21,9933.21,202.59900000000002,0.0,0.0,413.39700000000005,9093.79,9093.79,0.0,0.0,0.0
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,11.917,123.64,123.64,0.0,0.0,0.0,607.772,9693.8,9693.8,197.716,0.0,0.0,403.433,8874.6,8874.6,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4.524,52.0,52.0,0.0,0.0,0.0,880.9530000000001,10608.0,10608.0,0.0,0.0,0.0,371.671,8205.0,8205.0,0.0,0.0,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,4.477,51.0,51.0,0.0,0.0,0.0,1045.17,12585.0,12585.0,0.0,0.0,0.0,440.95300000000003,9735.0,9735.0,0.0,0.0,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,3.925,45.0,45.0,0.0,0.0,0.0,1192.112,14354.0,14354.0,0.0,0.0,0.0,502.94800000000004,11103.0,11103.0,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,5.178,59.0,59.0,0.0,0.0,0.0,1333.404,16056.0,16056.0,0.0,0.0,0.0,562.558,12419.0,12419.0,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,4.68,53.0,53.0,0.0,0.0,0.0,1544.415,18597.0,18597.0,0.0,0.0,0.0,651.5830000000001,14385.0,14385.0,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,5.597,64.0,64.0,0.0,0.0,0.0,1968.0040000000001,23697.0,23697.0,0.0,0.0,0.0,830.293,18330.0,18330.0,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,5.429,62.0,62.0,0.0,0.0,0.0,2474.2110000000002,29792.0,29792.0,0.0,0.0,0.0,1043.86,23045.0,23045.0,0.0,0.0,0.0
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,5.843,67.0,67.0,0.0,0.0,0.0,2505.414,30168.0,30168.0,0.0,0.0,0.0,1057.0240000000001,23336.0,23336.0,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4.151,47.0,47.0,0.0,0.0,0.0,1704.689,20526.0,20526.0,0.0,0.0,0.0,719.202,15878.0,15878.0,0.0,0.0,0.0
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,5.343,61.0,61.0,0.0,0.0,0.0,1543.445,18585.0,18585.0,0.0,0.0,0.0,651.174,14376.0,14376.0,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,4.664000000000001,53.0,53.0,0.0,0.0,0.0,1146.248,13802.0,13802.0,0.0,0.0,0.0,483.598,10676.0,10676.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,5.188000000000001,59.0,59.0,0.0,0.0,0.0,1194.934,14388.0,14388.0,0.0,0.0,0.0,504.13800000000003,11130.0,11130.0,0.0,0.0,0.0
2007-01-01,,,,,,,4.06,46.0,46.0,,,,1065.035,16956.0,16956.0,454.57300000000004,0.0,0.0,-195.0,175.0,175.0,,,
2007-02-01,,,,,,,7.979,86.0,86.0,,,,1073.425,17089.0,17089.0,426.079,0.0,0.0,-159.0,150.0,150.0,,,
2007-03-01,,,,,,,4.523000000000001,46.0,46.0,,,,1069.519,17027.0,17027.0,427.119,0.0,0.0,-156.0,0.0,0.0,,,
2007-04-01,,,,,,,9.413,104.0,104.0,,,,1418.1180000000002,22577.0,22577.0,445.16400000000004,0.0,0.0,270.0,8023.0,8023.0,,,
2007-05-01,,,,,,,9.497,104.0,104.0,,,,1520.5990000000002,24208.0,24208.0,502.145,0.0,0.0,298.0,7648.0,7648.0,,,
2007-06-01,,,,,,,10.484,115.0,115.0,,,,1558.0020000000002,24804.0,24804.0,534.791,0.0,0.0,420.0,10571.0,10571.0,,,
2007-07-01,,,,,,,11.775,127.0,127.0,,,,1725.0130000000001,27463.0,27463.0,570.113,0.0,0.0,334.0,11720.0,11720.0,,,
2007-08-01,,,,,,,16.891000000000002,179.0,179.0,,,,1852.871,29498.0,29498.0,613.83,0.0,0.0,2178.0,44160.0,44160.0,,,
2007-09-01,,,,,,,10.809000000000001,115.0,115.0,,,,1720.0690000000002,27384.0,27384.0,548.542,0.0,0.0,115.0,6353.0,6353.0,,,
2007-10-01,,,,,,,10.371,109.0,109.0,,,,1696.152,27004.0,27004.0,520.273,0.0,0.0,2559.0,45385.0,45385.0,,,
2007-11-01,,,,,,,3.8160000000000003,40.0,40.0,,,,1362.627,21694.0,21694.0,423.988,0.0,0.0,-86.0,2476.0,2476.0,,,
2007-12-01,,,,,,,2.382,23.0,23.0,,,,1320.57,21024.0,21024.0,453.384,0.0,0.0,-20.0,2961.0,2961.0,,,
2008-01-01,,,,,,,78.541,3840.0,3840.0,,,,130.434,1801.0,1801.0,47.0,0.0,0.0,-7.0,1130.0,1130.0,,,
2008-02-01,,,,,,,69.239,3393.0,3393.0,,,,1093.431,15101.0,15101.0,394.0,0.0,0.0,0.0,0.0,0.0,,,
2008-03-01,,,,,,,77.083,3776.0,3776.0,,,,2497.685,34494.0,34494.0,900.0,0.0,0.0,747.0,11112.0,11112.0,,,
2008-04-01,,,,,,,152.76500000000001,7482.0,7482.0,,,,2000.923,27633.0,27633.0,721.0,0.0,0.0,271.0,4753.0,4753.0,,,
2008-05-01,,,,,,,155.372,7610.0,7610.0,,,,3746.527,51740.0,51740.0,1350.0,0.0,0.0,0.0,147.0,147.0,,,
2008-06-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-07-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-08-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-09-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-10-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-11-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2008-12-01,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
