measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-12-01,28610.0,413400.0,413400.0,,,,53.0,756.0,756.0,,,,0.0,0.0,0.0,,,
2005-01-01,29134.0,417312.52,417312.52,,,,62.0,876.46,876.46,,,,0.0,0.0,0.0,,,
2005-02-01,26746.0,378433.26,378433.26,,,,27.0,384.93,384.93,,,,0.0,0.0,0.0,,,
2005-03-01,31346.0,426767.26,426767.26,,,,9.0,118.44,118.44,,,,276.0,3838.45,3838.45,,,
2005-04-01,30386.0,404952.29,404952.29,,,,30.0,402.7,402.7,,,,4602.0,63016.77,63016.77,,,
2005-05-01,35061.0,477312.53,477312.53,,,,11.0,148.05,148.05,,,,1500.0,20370.0,20370.0,,,
2005-06-01,33727.0,464395.62,464395.62,,,,43.0,586.28,586.28,,,,0.0,0.0,0.0,,,
2005-07-01,35498.0,477488.82,477488.82,,,,33.0,438.23,438.23,,,,0.0,0.0,0.0,,,
2005-08-01,35860.0,487984.8,487984.8,,,,13.0,171.74,171.74,,,,0.0,0.0,0.0,,,
2005-09-01,34403.0,451564.68,451564.68,,,,80.0,1060.04,1060.04,,,,0.0,0.0,0.0,,,
2005-10-01,16238.0,213677.2,213677.2,,,,18.0,230.96,230.96,,,,0.0,0.0,0.0,,,
2005-11-01,29420.0,394550.84,394550.84,,,,97.0,1267.31,1267.31,,,,0.0,0.0,0.0,,,
2005-12-01,33490.0,461942.18,461942.18,,,,65.0,858.69,858.69,,,,0.0,0.0,0.0,,,
2006-01-01,36604.0,489050.0,489050.0,,,,24.0,326.0,326.0,,,,0.0,0.0,0.0,,,
2006-02-01,28024.0,379531.0,379531.0,,,,79.0,1048.0,1048.0,,,,0.0,0.0,0.0,,,
2006-03-01,13719.0,186019.0,186019.0,,,,70.0,918.0,918.0,,,,0.0,0.0,0.0,,,
2006-04-01,28724.0,383744.0,383744.0,,,,73.0,971.0,971.0,,,,0.0,0.0,0.0,,,
2006-05-01,35005.0,482604.0,482604.0,,,,22.0,302.0,302.0,,,,0.0,0.0,0.0,,,
2006-06-01,34000.0,469940.0,469940.0,,,,13.0,178.0,178.0,,,,0.0,0.0,0.0,,,
2006-07-01,35120.0,474826.0,474826.0,,,,28.0,385.0,385.0,,,,0.0,0.0,0.0,,,
2006-08-01,35311.0,501760.0,501760.0,,,,14.0,190.0,190.0,,,,0.0,0.0,0.0,,,
2006-09-01,1090.0,14478.0,14478.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2006-10-01,17166.0,235482.0,235482.0,,,,302.0,4086.0,4086.0,,,,0.0,0.0,0.0,,,
2006-11-01,35806.0,492339.0,492339.0,,,,10.0,130.0,130.0,,,,0.0,0.0,0.0,,,
2006-12-01,36877.0,502685.0,502685.0,,,,14.0,190.0,190.0,,,,0.0,0.0,0.0,,,
2007-01-01,36447.479,495009.0,495009.0,0.0,0.0,0.0,105.521,1433.0,1433.0,,,,0.0,0.0,0.0,,,
2007-02-01,28333.391,373114.0,373114.0,0.0,0.0,0.0,137.609,1812.0,1812.0,,,,0.0,0.0,0.0,,,
2007-03-01,34024.077,470674.0,470674.0,0.0,0.0,0.0,0.42800000000000005,6.0,6.0,,,,2870.4950000000003,39709.0,39709.0,,,
2007-04-01,32678.664,447446.0,447446.0,0.0,0.0,0.0,7.353000000000001,101.0,101.0,,,,2512.983,34409.0,34409.0,,,
2007-05-01,31208.446,434896.0,434896.0,0.0,0.0,0.0,38.247,533.0,533.0,,,,1735.307,24182.0,24182.0,,,
2007-06-01,34860.292,483222.0,483222.0,0.0,0.0,0.0,2.948,41.0,41.0,,,,1740.759,24130.0,24130.0,,,
2007-07-01,32980.254,462620.0,462620.0,0.0,0.0,0.0,22.058,309.0,309.0,,,,2490.688,34937.0,34937.0,,,
2007-08-01,33391.587,463490.0,463490.0,0.0,0.0,0.0,8.412,117.0,117.0,,,,2395.001,33244.0,33244.0,,,
2007-09-01,32570.862,454359.0,454359.0,0.0,0.0,0.0,83.281,1162.0,1162.0,,,,1514.856,21132.0,21132.0,,,
2007-10-01,33647.964,488401.0,488401.0,0.0,0.0,0.0,41.829,607.0,607.0,,,,2365.206,34331.0,34331.0,,,
2007-11-01,31585.319,431739.0,431739.0,0.0,0.0,0.0,8.542,117.0,117.0,,,,3104.139,42430.0,42430.0,,,
2007-12-01,31452.14,448797.0,448797.0,0.0,0.0,0.0,21.684,309.0,309.0,,,,2643.176,37716.0,37716.0,,,
2008-01-01,26163.745,357904.0,357904.0,0.0,6.0,6.0,150.109,2053.0,2053.0,,,,1595.1460000000002,21821.0,21821.0,,,
2008-02-01,23915.588,351968.0,351968.0,0.0,6.0,6.0,165.612,2437.0,2437.0,,,,1574.8010000000002,23176.0,23176.0,,,
2008-03-01,31450.155,443848.0,443848.0,0.0,12.0,12.0,106.75500000000001,1507.0,1507.0,,,,2481.091,35015.0,35015.0,,,
2008-04-01,32052.215,445449.0,445449.0,0.0,6.0,6.0,9.627,134.0,134.0,,,,2923.1580000000004,40625.0,40625.0,,,
2008-05-01,14980.277,215663.0,215663.0,0.0,6.0,6.0,119.197,1716.0,1716.0,,,,672.5260000000001,9682.0,9682.0,,,
2008-06-01,23364.705,344470.0,344470.0,0.0,17.0,17.0,144.013,2123.0,2123.0,,,,2008.2820000000002,29608.0,29608.0,,,
2008-07-01,30969.831,457687.0,457687.0,0.0,12.0,12.0,43.691,646.0,646.0,,,,2356.478,34825.0,34825.0,,,
2008-08-01,31363.922,472891.0,472891.0,0.0,6.0,6.0,71.76,1082.0,1082.0,,,,1472.318,22199.0,22199.0,,,
2008-09-01,34006.28,498324.0,498324.0,0.0,6.0,6.0,24.215,355.0,355.0,,,,1372.506,20113.0,20113.0,,,
2008-10-01,27496.815000000002,381559.0,381559.0,0.0,6.0,6.0,36.89,512.0,512.0,,,,2536.2960000000003,35195.0,35195.0,,,
2008-11-01,21307.184,307259.0,307259.0,0.0,6.0,6.0,33.884,489.0,489.0,,,,1955.932,28205.0,28205.0,,,
2008-12-01,21954.247,315183.0,315183.0,0.0,6.0,6.0,59.157000000000004,849.0,849.0,,,,1042.596,14968.0,14968.0,,,
2009-01-01,29093.896,427933.0,427933.0,3.087,41.0,41.0,66.045,971.0,971.0,,,,663.0590000000001,9753.0,9753.0,,,
2009-02-01,26679.634,386234.0,386234.0,1.458,17.0,17.0,5.224,76.0,76.0,,,,2146.1420000000003,31069.0,31069.0,,,
2009-03-01,11802.074,164241.0,164241.0,2.2030000000000003,23.0,23.0,2.926,41.0,41.0,,,,0.0,0.0,0.0,,,
2009-04-01,24452.854,341004.0,341004.0,2.209,23.0,23.0,128.058,1786.0,1786.0,,,,2152.088,30012.0,30012.0,,,
2009-05-01,25685.251,379690.0,379690.0,3.5380000000000003,41.0,41.0,25.185,372.0,372.0,,,,2831.5640000000003,41857.0,41857.0,,,
2009-06-01,12372.287,181751.0,181751.0,3.9210000000000003,47.0,47.0,82.76,1216.0,1216.0,,,,1758.953,25839.0,25839.0,,,
2009-07-01,23667.975,331510.0,331510.0,2.262,29.0,29.0,47.344,663.0,663.0,,,,1730.681,24241.0,24241.0,,,
2009-08-01,25131.347,342435.0,342435.0,2.698,29.0,29.0,18.357,250.0,250.0,,,,2540.2960000000003,34614.0,34614.0,,,
2009-09-01,24571.02,350138.0,350138.0,1.545,17.0,17.0,17.553,250.0,250.0,,,,2310.427,32924.0,32924.0,,,
2009-10-01,25291.315000000002,361227.0,361227.0,2.195,23.0,23.0,11.811,169.0,169.0,,,,2641.8740000000003,37733.0,37733.0,,,
2009-11-01,18275.055,252202.0,252202.0,1.342,17.0,17.0,72.5,1001.0,1001.0,,,,1917.445,26461.0,26461.0,,,
2009-12-01,0.0,0.0,0.0,1.542,17.0,17.0,0.0,256.0,256.0,,,,0.0,0.0,0.0,,,
2010-01-01,8993.288,125516.0,125516.0,1.806,12.0,12.0,71.271,995.0,995.0,,,,856.441,11953.0,11953.0,,,
2010-02-01,23520.756,322144.0,322144.0,1.4440000000000002,17.0,17.0,51.391000000000005,704.0,704.0,,,,1929.853,26432.0,26432.0,,,
2010-03-01,26288.556,372672.0,372672.0,1.651,23.0,23.0,31.186,442.0,442.0,,,,2398.2580000000003,33998.0,33998.0,,,
2010-04-01,22294.308,282214.0,282214.0,1.669,23.0,23.0,56.982,721.0,721.0,,,,2519.71,31896.0,31896.0,,,
2010-05-01,24416.004,341152.0,341152.0,3.563,47.0,47.0,58.701,820.0,820.0,,,,2021.295,28243.0,28243.0,,,
2010-06-01,26154.341,361686.0,361686.0,2.531,29.0,29.0,77.39800000000001,1070.0,1070.0,,,,2351.261,32515.0,32515.0,,,
2010-07-01,26946.802,374838.0,374838.0,1.864,23.0,23.0,46.418,646.0,646.0,,,,2238.78,31142.0,31142.0,,,
2010-08-01,26886.107,365817.0,365817.0,2.314,29.0,29.0,73.535,1001.0,1001.0,,,,2394.358,32578.0,32578.0,,,
2010-09-01,23576.132,326160.0,326160.0,1.792,23.0,23.0,62.230000000000004,861.0,861.0,,,,2331.638,32257.0,32257.0,,,
2010-10-01,0.0,0.0,0.0,0.9420000000000001,12.0,12.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2010-11-01,7786.098,107956.0,107956.0,1.2,17.0,17.0,81.81,1134.0,1134.0,,,,467.09200000000004,6476.0,6476.0,,,
2010-12-01,27340.366,373376.0,373376.0,2.224,29.0,29.0,82.634,1128.0,1128.0,,,,0.0,0.0,0.0,,,
2011-01-01,21915.942,300194.0,300194.0,0.954,17.0,17.0,87.058,1192.0,1192.0,,,,0.0,0.0,0.0,,,
2011-02-01,24428.359,339874.0,339874.0,0.678,6.0,6.0,65.641,913.0,913.0,,,,0.0,0.0,0.0,,,
2011-03-01,24431.686,330544.0,330544.0,0.818,12.0,12.0,53.314,721.0,721.0,,,,0.0,0.0,0.0,,,
2011-04-01,28283.397,367994.0,367994.0,2.429,29.0,29.0,45.603,593.0,593.0,,,,0.0,0.0,0.0,,,
2011-05-01,18507.819,272687.0,272687.0,1.202,12.0,12.0,123.181,1815.0,1815.0,,,,0.0,0.0,0.0,,,
2011-06-01,20716.971,293233.0,293233.0,1.348,17.0,17.0,46.029,652.0,652.0,,,,0.0,0.0,0.0,,,
2011-07-01,8973.835,123922.0,123922.0,1.516,17.0,17.0,15.165,209.0,209.0,,,,0.0,0.0,0.0,,,
2011-08-01,0.0,0.0,0.0,1.379,17.0,17.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2011-09-01,0.0,0.0,0.0,0.612,6.0,6.0,0.0,64.0,64.0,,,,0.0,0.0,0.0,,,
2011-10-01,22064.948,314934.0,314934.0,0.855,12.0,12.0,251.052,3583.0,3583.0,,,,0.0,0.0,0.0,,,
2011-11-01,16987.045,258244.0,258244.0,0.51,6.0,6.0,97.955,1489.0,1489.0,,,,0.0,0.0,0.0,,,
2011-12-01,25007.374,359553.0,359553.0,0.699,6.0,6.0,90.626,1303.0,1303.0,,,,0.0,0.0,0.0,,,
2012-01-01,25689.269,374624.0,374624.0,0.688,6.0,6.0,24.731,361.0,361.0,,,,0.0,0.0,0.0,,,
2012-02-01,19212.781,272905.0,272905.0,0.669,12.0,12.0,35.219,500.0,500.0,,,,0.0,0.0,0.0,,,
2012-03-01,21759.641,310154.0,310154.0,0.589,12.0,12.0,58.359,832.0,832.0,,,,0.0,0.0,0.0,,,
2012-04-01,23482.533,319860.0,319860.0,1.904,29.0,29.0,29.467,401.0,401.0,,,,0.0,0.0,0.0,,,
2012-05-01,22819.818,310598.0,310598.0,1.15,17.0,17.0,37.182,506.0,506.0,,,,0.0,0.0,0.0,,,
2012-06-01,24103.138,329685.0,329685.0,,,,17.862,244.0,244.0,,,,0.0,0.0,0.0,,,
2012-07-01,24958.566,366064.0,366064.0,,,,19.434,285.0,285.0,,,,0.0,0.0,0.0,,,
2012-08-01,11430.389,175348.0,175348.0,,,,32.611,500.0,500.0,,,,0.0,0.0,0.0,,,
2012-09-01,6725.565,99980.0,99980.0,,,,106.435,1582.0,1582.0,,,,0.0,0.0,0.0,,,
2012-10-01,15414.7,227752.0,227752.0,,,,56.3,832.0,832.0,,,,0.0,0.0,0.0,,,
2012-11-01,16263.624,244280.0,244280.0,,,,43.376,652.0,652.0,,,,0.0,0.0,0.0,,,
2012-12-01,14366.808,224750.0,224750.0,,,,95.192,1489.0,1489.0,,,,0.0,0.0,0.0,,,
2013-01-01,15700.611,242926.0,242926.0,,,,51.131,791.0,791.0,0.0,0.0,0.0,0.0,0.0,0.0,438.258,6781.0,6781.0
2013-02-01,15405.303,244997.0,244997.0,,,,38.406,611.0,611.0,0.0,0.0,0.0,0.0,0.0,0.0,430.291,6843.0,6843.0
2013-03-01,20089.016,300829.0,300829.0,,,,22.919,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,607.065,9091.0,9091.0
2013-04-01,2943.753,48573.0,48573.0,,,,41.247,681.0,681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,21277.333,323580.0,323580.0,,,,22.568,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,301.099,4579.0,4579.0
2013-06-01,18156.358,282847.0,282847.0,,,,15.683,244.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,567.959,8848.0,8848.0
2013-07-01,18392.068,284011.0,284011.0,,,,13.184,204.0,204.0,15.934,246.0,246.0,0.0,0.0,0.0,781.814,12073.0,12073.0
2013-08-01,16802.146,260859.0,260859.0,,,,1.499,23.0,23.0,17.131,266.0,266.0,0.0,0.0,0.0,994.224,15436.0,15436.0
2013-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,4732.426,76073.0,76073.0,,,,41.253,663.0,663.0,186.321,2995.0,2995.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,21702.376,324635.0,324635.0,,,,4.667,70.0,70.0,29.957,448.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,26704.456,381528.0,381528.0,,,,17.508,250.0,250.0,43.152,617.0,617.0,0.0,0.0,0.0,372.884,5327.0,5327.0
2014-02-01,28350.076,405574.0,405574.0,,,,11.385,163.0,163.0,28.576,409.0,409.0,0.0,0.0,0.0,1168.963,16723.0,16723.0
2014-03-01,24260.971,348586.0,348586.0,,,,22.267,320.0,320.0,11.983,172.0,172.0,0.0,0.0,0.0,807.779,11606.0,11606.0
2014-04-01,20033.323,288994.0,288994.0,,,,0.0,0.0,0.0,18.292,264.0,264.0,0.0,0.0,0.0,960.385,13854.0,13854.0
2014-05-01,15594.753,229171.0,229171.0,,,,0.0,0.0,0.0,25.438,374.0,374.0,0.0,0.0,0.0,1603.809,23569.0,23569.0
2014-06-01,17992.655,263508.0,263508.0,,,,0.0,0.0,0.0,123.78,1813.0,1813.0,0.0,0.0,0.0,1342.565,19662.0,19662.0
2014-07-01,17626.546,262555.0,262555.0,,,,0.0,0.0,0.0,22.417,334.0,334.0,0.0,0.0,0.0,2071.037,30849.0,30849.0
2014-08-01,15777.199,239168.0,239168.0,,,,0.0,0.0,0.0,42.354,642.0,642.0,0.0,0.0,0.0,2520.447,38208.0,38208.0
2014-09-01,17192.827,264674.0,264674.0,,,,0.0,0.0,0.0,46.997,723.0,723.0,0.0,0.0,0.0,194.176,2989.0,2989.0
2014-10-01,14543.703,223109.0,223109.0,,,,0.0,0.0,0.0,72.718,1116.0,1116.0,0.0,0.0,0.0,158.579,2433.0,2433.0
2014-11-01,15619.777,231698.0,231698.0,,,,0.0,0.0,0.0,56.477,838.0,838.0,0.0,0.0,0.0,1857.746,27557.0,27557.0
2014-12-01,20995.379,300339.0,300339.0,,,,0.0,0.0,0.0,16.625,238.0,238.0,0.0,0.0,0.0,2378.996,34032.0,34032.0
2015-01-01,20240.04,296126.0,296126.0,,,,0.0,0.0,0.0,36.079,528.0,528.0,0.0,0.0,0.0,1905.881,27884.0,27884.0
2015-02-01,19377.422,280024.0,280024.0,,,,0.0,0.0,0.0,53.391,772.0,772.0,0.0,0.0,0.0,2052.187,29656.0,29656.0
2015-03-01,15062.971,221304.0,221304.0,,,,0.0,0.0,0.0,69.962,1028.0,1028.0,0.0,0.0,0.0,1661.067,24404.0,24404.0
2015-04-01,7180.33,106719.0,106719.0,,,,0.0,0.0,0.0,88.182,1311.0,1311.0,0.0,0.0,0.0,1136.488,16891.0,16891.0
2015-05-01,18742.195,281542.0,281542.0,,,,0.0,0.0,0.0,40.54,609.0,609.0,0.0,0.0,0.0,2439.265,36642.0,36642.0
2015-06-01,19474.407,286059.0,286059.0,,,,0.0,0.0,0.0,142.607,2095.0,2095.0,0.0,0.0,0.0,1252.986,18405.0,18405.0
2015-07-01,17449.169,268656.0,268656.0,,,,0.0,0.0,0.0,199.206,3067.0,3067.0,0.0,0.0,0.0,2195.625,33805.0,33805.0
2015-08-01,16996.351,256756.0,256756.0,,,,0.0,0.0,0.0,10.994,166.0,166.0,0.0,0.0,0.0,2854.655,43124.0,43124.0
2015-09-01,16805.392,254014.0,254014.0,,,,0.0,0.0,0.0,49.342,746.0,746.0,0.0,0.0,0.0,2542.266,38426.0,38426.0
2015-10-01,11150.111,165758.0,165758.0,,,,0.0,0.0,0.0,3650.438,54268.0,54268.0,0.0,0.0,0.0,2732.451,40621.0,40621.0
2015-11-01,8332.511,125977.0,125977.0,,,,0.0,0.0,0.0,4899.91,74080.0,74080.0,0.0,0.0,0.0,2796.579,42281.0,42281.0
2015-12-01,5445.77,82021.0,82021.0,,,,0.0,0.0,0.0,3294.67,49623.0,49623.0,0.0,0.0,0.0,2022.56,30463.0,30463.0
2016-01-01,7749.598,114762.0,114762.0,,,,0.0,0.0,0.0,4807.586,71195.0,71195.0,0.0,0.0,0.0,2740.816,40588.0,40588.0
2016-02-01,9981.967,151839.0,151839.0,,,,0.0,0.0,0.0,2758.671,41963.0,41963.0,0.0,0.0,0.0,2613.362,39753.0,39753.0
2016-03-01,8137.493,121836.0,121836.0,,,,0.0,0.0,0.0,5172.916,77450.0,77450.0,0.0,0.0,0.0,2894.591,43338.0,43338.0
2016-04-01,11183.598,165457.0,165457.0,,,,0.0,0.0,0.0,305.925,4526.0,4526.0,0.0,0.0,0.0,2670.477,39509.0,39509.0
2016-05-01,19775.148,311700.0,311700.0,,,,0.0,0.0,0.0,127.403,2008.0,2008.0,0.0,0.0,0.0,131.449,2072.0,2072.0
2016-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
