measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2011-10-01,3335.605,60494.0,60494.0,0.0,0.0,0.0,36.395,660.0,660.0,,,,,,
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,-811.0,140.0,140.0,,,,,,
2011-12-01,0.0,0.0,0.0,4.0,47.0,47.0,-905.0,309.0,309.0,,,,,,
2012-01-01,-837.439,0.0,0.0,0.0,0.0,0.0,-2.561,0.0,0.0,,,,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,-503.0,415.0,415.0,,,,,,
2012-03-01,-731.762,0.0,0.0,0.0,0.0,0.0,-2.238,0.0,0.0,,,,,,
2012-04-01,-713.817,0.0,0.0,0.0,0.0,0.0,-2.183,0.0,0.0,,,,,,
2012-05-01,19568.382,216430.0,216430.0,0.0,0.0,0.0,335.618,3712.0,3712.0,,,,,,
2012-06-01,30047.704,421513.0,421513.0,0.0,0.0,0.0,144.296,2024.0,2024.0,,,,,,
2012-07-01,127912.75,1437672.0,1437672.0,6.0,64.0,64.0,153.249,1722.0,1722.0,,,,,,
2012-08-01,93950.992,1062841.0,1062841.0,0.0,0.0,0.0,164.008,1855.0,1855.0,,,,,,
2012-09-01,5540.132,107267.0,107267.0,0.0,0.0,0.0,21.868,423.0,423.0,,,,,,
2012-10-01,23092.744,250560.0,250560.0,0.0,0.0,0.0,112.256,1218.0,1218.0,,,,,,
2012-11-01,78192.012,804845.0,804845.0,0.0,0.0,0.0,172.988,1781.0,1781.0,,,,,,
2012-12-01,-1018.884,0.0,0.0,0.0,0.0,0.0,-3.116,0.0,0.0,,,,,,
2013-01-01,9185.713,92146.0,92146.0,0.0,0.0,0.0,61.287,615.0,615.0,,,,,,
2013-02-01,-895.573,0.0,0.0,0.0,0.0,0.0,-3.427,0.0,0.0,,,,,,
2013-03-01,32616.859,335845.0,335845.0,1.0,17.0,17.0,92.141,949.0,949.0,,,,,,
2013-04-01,27972.686,307797.0,307797.0,0.0,0.0,0.0,81.314,895.0,895.0,,,,,,
2013-05-01,19516.096,255368.0,255368.0,1.0,23.0,23.0,228.904,2995.0,2995.0,,,,,,
2013-06-01,26164.129,276102.0,276102.0,0.0,0.0,0.0,114.871,1212.0,1212.0,,,,,,
2013-07-01,87417.215,969895.0,969895.0,53.0,570.0,570.0,278.785,3093.0,3093.0,,,,,,
2013-08-01,37618.927,384342.0,384342.0,4.0,52.0,52.0,142.073,1452.0,1452.0,,,,,,
2013-09-01,17915.549,162961.0,162961.0,19.0,225.0,225.0,111.451,1014.0,1014.0,,,,,,
2013-10-01,56754.526,597471.0,597471.0,0.0,0.0,0.0,147.474,1553.0,1553.0,,,,,,
2013-11-01,22697.719,224696.0,224696.0,0.0,58.0,58.0,151.281,1498.0,1498.0,,,,,,
2013-12-01,53925.824,579252.0,579252.0,0.0,0.0,0.0,118.176,1269.0,1269.0,,,,,,
2014-01-01,108933.16,1146736.0,1146736.0,48.0,464.0,464.0,192.838,2030.0,2030.0,,,,0.0,0.0,0.0
2014-02-01,80211.114,844069.0,844069.0,0.0,0.0,0.0,181.886,1914.0,1914.0,,,,0.0,0.0,0.0
2014-03-01,25105.728,275256.0,275256.0,2.0,58.0,58.0,174.272,1911.0,1911.0,,,,0.0,0.0,0.0
2014-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2014-06-01,9296.631,129636.0,129636.0,8.0,116.0,116.0,740.369,10324.0,10324.0,,,,0.0,0.0,0.0
2014-07-01,9557.355,137214.0,137214.0,0.0,0.0,0.0,1078.645,15486.0,15486.0,,,,0.0,0.0,0.0
2014-08-01,23358.118,261434.0,261434.0,0.0,0.0,0.0,1850.003,20706.0,20706.0,,,,1864.879,20873.0,20873.0
2014-09-01,2627.402,29348.0,29348.0,0.0,0.0,0.0,109.042,1218.0,1218.0,,,,190.556,2129.0,2129.0
2014-10-01,663.49,8854.0,8854.0,0.0,0.0,0.0,126.049,1682.0,1682.0,,,,49.461,660.0,660.0
2014-11-01,32151.602,336807.0,336807.0,0.0,0.0,0.0,311.715,3265.0,3265.0,,,,2384.683,24981.0,24981.0
2014-12-01,0.0,0.0,0.0,3.0,58.0,58.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2015-01-01,37275.078,410490.0,410490.0,0.0,0.0,0.0,976.24,10751.0,10751.0,,,,2930.682,32274.0,32274.0
2015-02-01,75257.933,818161.0,818161.0,0.0,0.0,0.0,464.152,5046.0,5046.0,,,,5938.915,64565.0,64565.0
2015-03-01,26688.85,293038.0,293038.0,0.0,0.0,0.0,268.475,2948.0,2948.0,,,,1998.675,21945.0,21945.0
2015-04-01,3395.299,52226.0,52226.0,0.0,0.0,0.0,294.111,4524.0,4524.0,,,,259.59,3993.0,3993.0
2015-05-01,11125.445,140511.0,140511.0,0.0,0.0,0.0,343.238,4335.0,4335.0,,,,875.317,11055.0,11055.0
2015-06-01,31677.482,379873.0,379873.0,0.0,0.0,0.0,835.764,10022.0,10022.0,,,,2597.754,31152.0,31152.0
2015-07-01,35211.061,420749.0,420749.0,0.0,0.0,0.0,565.939,6763.0,6763.0,,,,0.0,0.0,0.0
2015-08-01,30640.79,346300.0,346300.0,9.0,116.0,116.0,903.21,10208.0,10208.0,,,,0.0,0.0,0.0
2015-09-01,27275.504,257095.0,257095.0,0.0,0.0,0.0,461.496,4350.0,4350.0,,,,0.0,0.0,0.0
2015-10-01,17843.346,177113.0,177113.0,0.0,0.0,0.0,385.654,3828.0,3828.0,,,,0.0,0.0,0.0
2015-11-01,-524.846,0.0,0.0,0.0,0.0,0.0,-8.999,0.0,0.0,,,,-8.155,0.0,0.0
2015-12-01,1348.51,29645.0,29645.0,0.0,0.0,0.0,47.49,1044.0,1044.0,,,,0.0,0.0,0.0
2016-01-01,51391.261,575425.0,575425.0,0.0,0.0,0.0,740.739,8294.0,8294.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,69035.858,680883.0,680883.0,0.0,0.0,0.0,545.142,5377.0,5377.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,42441.954,442568.0,442568.0,4.0,117.0,117.0,341.046,3556.0,3556.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3561.0,62291.0,62291.0,0.0,0.0,0.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58658.0,656944.0,656944.0,0.0,0.0,0.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72012.0,833357.0,833357.0,0.0,0.0,0.0
2016-07-01,0.0,0.0,0.0,3.0,58.0,58.0,0.0,0.0,0.0,146891.0,1685080.0,1685080.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,28.0,290.0,290.0,0.0,0.0,0.0,135305.0,1575399.0,1575399.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135591.0,1576399.0,1576399.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104466.0,1155660.0,1155660.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,-503.0,0.0,0.0,0.0,0.0,0.0,4457.0,45522.0,45522.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,3.0,58.0,58.0,0.0,0.0,0.0,9414.0,122101.0,122101.0,0.0,0.0,0.0
2017-01-01,,,,0.978,18.0,18.0,,,,-550.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,,,,0.766,12.0,12.0,,,,-487.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,,,,0.999,12.0,12.0,,,,26650.0,316313.0,316313.0,0.0,0.0,0.0
2017-04-01,,,,0.671,6.0,6.0,,,,4726.0,60780.0,60780.0,0.0,0.0,0.0
2017-05-01,,,,1.083,12.0,12.0,,,,12951.0,162266.0,162266.0,0.0,0.0,0.0
2017-06-01,,,,1.153,12.0,12.0,,,,78809.0,911797.0,911797.0,0.0,0.0,0.0
2017-07-01,,,,0.962,12.0,12.0,,,,132593.0,1538418.0,1538418.0,0.0,0.0,0.0
2017-08-01,,,,1.295,18.0,18.0,,,,91026.0,1039991.0,1039991.0,0.0,0.0,0.0
2017-09-01,,,,0.939,12.0,12.0,,,,109077.0,1253459.0,1253459.0,0.0,0.0,0.0
2017-10-01,,,,0.682,6.0,6.0,,,,75327.0,894462.0,894462.0,0.0,0.0,0.0
2017-11-01,,,,1.247,18.0,18.0,,,,46650.0,525146.0,525146.0,0.0,0.0,0.0
2017-12-01,,,,1.225,18.0,18.0,,,,34689.0,427347.0,427347.0,0.0,0.0,0.0
2018-01-01,,,,15.902,174.0,174.0,,,,114115.0,1243216.0,1243216.0,0.0,0.0,0.0
2018-02-01,,,,6.348,70.0,70.0,,,,-619.0,713.0,713.0,0.0,0.0,0.0
2018-03-01,,,,4.892,52.0,52.0,,,,15397.0,188006.0,188006.0,0.0,0.0,0.0
2018-04-01,,,,5.506,58.0,58.0,,,,25516.0,306808.0,306808.0,0.0,0.0,0.0
2018-05-01,,,,5.514,58.0,58.0,,,,42807.0,525903.0,525903.0,0.0,0.0,0.0
2018-06-01,,,,9.043,93.0,93.0,,,,44979.0,546231.0,546231.0,0.0,0.0,0.0
2018-07-01,,,,3.555,35.0,35.0,,,,57649.0,671852.0,671852.0,0.0,0.0,0.0
2018-08-01,,,,5.634,58.0,58.0,,,,45988.0,559345.0,559345.0,0.0,0.0,0.0
2018-09-01,,,,2.875,29.0,29.0,,,,55324.0,658071.0,658071.0,0.0,0.0,0.0
2018-10-01,,,,4.019,41.0,41.0,,,,34988.0,417095.0,417095.0,0.0,0.0,0.0
2018-11-01,,,,6.484,70.0,70.0,,,,521.0,8642.0,8642.0,0.0,0.0,0.0
2018-12-01,,,,8.228,87.0,87.0,,,,3643.0,52186.0,52186.0,0.0,0.0,0.0
2019-01-01,,,,0.719,6.0,6.0,,,,15820.0,209898.0,209898.0,0.0,0.0,0.0
2019-02-01,,,,0.659,6.0,6.0,,,,3227.0,32953.0,32953.0,0.0,0.0,0.0
2019-03-01,,,,0.405,6.0,6.0,,,,-611.0,4836.0,4836.0,0.0,0.0,0.0
2019-04-01,,,,0.218,0.0,0.0,,,,9015.0,117356.0,117356.0,0.0,0.0,0.0
2019-05-01,,,,0.628,6.0,6.0,,,,662.0,13623.0,13623.0,0.0,0.0,0.0
2019-06-01,,,,1.302,12.0,12.0,,,,21075.0,283559.0,283559.0,0.0,0.0,0.0
2019-07-01,,,,0.442,6.0,6.0,,,,72822.0,864618.0,864618.0,0.0,0.0,0.0
2019-08-01,,,,1.093,12.0,12.0,,,,63355.0,747436.0,747436.0,0.0,0.0,0.0
2019-09-01,,,,0.68,6.0,6.0,,,,51741.0,633100.0,633100.0,0.0,0.0,0.0
2019-10-01,,,,1.411,29.0,29.0,,,,56177.0,654439.0,654439.0,0.0,0.0,0.0
2019-11-01,,,,1.242,12.0,12.0,,,,26262.0,312957.0,312957.0,0.0,0.0,0.0
2019-12-01,,,,0.201,0.0,0.0,,,,28516.0,337218.0,337218.0,0.0,0.0,0.0
2020-01-01,,,,7.169,75.0,75.0,,,,67531.0,788138.0,788138.0,0.0,0.0,0.0
2020-02-01,,,,5.504,58.0,58.0,,,,41400.0,480912.0,480912.0,0.0,0.0,0.0
2020-03-01,,,,7.649,81.0,81.0,,,,20183.0,266772.0,266772.0,0.0,0.0,0.0
2020-04-01,,,,5.597,58.0,58.0,,,,11576.0,129848.0,129848.0,0.0,0.0,0.0
2020-05-01,,,,7.062,75.0,75.0,,,,32228.0,381339.0,381339.0,0.0,0.0,0.0
2020-06-01,,,,5.217,52.0,52.0,,,,91355.0,1071844.0,1071844.0,0.0,0.0,0.0
2020-07-01,,,,7.319,75.0,75.0,,,,143007.0,1644339.0,1644339.0,0.0,0.0,0.0
2020-08-01,,,,6.486,69.0,69.0,,,,52410.0,643770.0,643770.0,0.0,0.0,0.0
2020-09-01,,,,6.003,63.0,63.0,,,,19775.0,257192.0,257192.0,0.0,0.0,0.0
2020-10-01,,,,4.721,46.0,46.0,,,,42732.0,520263.0,520263.0,0.0,0.0,0.0
2020-11-01,,,,5.667,58.0,58.0,,,,19499.0,249502.0,249502.0,0.0,0.0,0.0
2020-12-01,,,,6.606,69.0,69.0,,,,10875.0,143278.0,143278.0,0.0,0.0,0.0
2021-01-01,,,,5.65,58.0,58.0,,,,4615.0,68491.0,68491.0,0.0,0.0,0.0
2021-02-01,,,,6.286,69.0,69.0,,,,7047.0,109093.0,109093.0,0.0,0.0,0.0
2021-03-01,,,,4.362,46.0,46.0,,,,12394.0,176482.0,176482.0,0.0,0.0,0.0
